"username","rating","helpful","total","date","title","review"
"paskuniag-584-890551","9","29","32","20 November 2017"," Like the film? Read the book.
","I've seen the film many times, have always enjoyed it. But I've been reading the book for the first time. It's a very long novel, and you have to stay with it if you want to see the ending. It's a good read, but Margaret Mitchell, former newspaper reporter, is very thorough in her description of both Southern culture and the changes that the Civil War brought to it. It's the size of the book that was the biggest challenge for David O Selznick. Not what parts to film, but which parts to leave out. So many characters that appeared in the book couldn't be introduced in the movie without extending the film's length to well over four hours. So he had Sidney Howard write the screenplay, then cut that down to a filmable length by hiring several more writers to further pare the script, and was still rewriting it himself while it was being filmed. Selznick was close to running out of money, so he asked his angel, millionaire Jock Whitney, to loan him enough to finish the film. The film was finally completed and edited, then was test-marketed at a theatre not far from LA. The viewers were excited about having seen it and said so on their preview cards, which allowed Selznick to rest easy, knowing he had a hit on his hands."
"bkoganbing","10","104","126","21 October 2006"," Scarlett's So High Spirited And Vivacious
","Before I ever saw Gone With the Wind, I was well acquainted with Max Steiner's theme. It opened WOR TV's Million Dollar Movie before every broadcast in New York in the Fifties and Sixties. When my parents took me to see Gone With the Wind in one of MGM's re-releases as the film music started in my youthful eagerness to show off my knowledge I remarked to all who could hear that that was stolen from Million Dollar Movie.<br/><br/>Million Dollar Movie is gone now, but Gone With the Wind, book and film, remain eternal. In these days Margaret Mitchell's southern point of view book might have trouble finding a publisher, let alone selling film rights to the story. But it is a tribute to her and the characters she created that they remain alive in everyone's mind who reads the novel or sees the film. And that's just about the same because I can't think of another film that remained so faithful to the text.<br/><br/>It is said that Margaret Mitchell wrote the book with Clark Gable in mind as Rhett Butler. As the sober and ever realistic, but charming Rhett, Gable for most of the film is playing a character not to dissimilar from what he usually played on screen. However in the last half hour of the film when he's hit with unbelievable tragedy and he edges to the point of madness, Gable reached dimensions he never did before or subsequently. <br/><br/>If Mitchell knew who she wanted as Rhett, nobody knew who would be Scarlett. The search for Scarlett O'Hara is one of those Hollywood legends as every actress with the possible exception of Edna May Oliver read for the part. Gone With the Wind started filming without a Scarlett as the famous burning of Atlanta sequence was done first. While it was being down, David O. Selznick settled on a fairly unknown British actress, at least in the USA, Vivien Leigh.<br/><br/>It was a stroke of casting genius. Vivien Leigh's screen output is pretty small, she was primarily a stage actress. Gone With the Wind is more her film than Rhett Butler's. The story is her story, how she evolved from a flighty young southern belle to a hardbitten woman who is determined to survive in the style of living she's become accustomed to from the pre-Civil War era. In the process she helps all those around her economically, but loses all their previous affection. <br/><br/>I've always felt the key scene in the film is after Leslie Howard tells Leigh, he'll be marrying Olivia DeHavilland and Leigh makes a fool of herself with him, she finds out that Clark Gable has overheard the whole thing. He's fascinated by her, but because of that he's on to all her ploys.<br/><br/>Leslie Howard usually comes in for the smallest amount of analysis among the four leads. His Ashley Wilkes is not all that different from Alan Squire in The Petrified Forest. Imagine Squire as a wealthy plantation owner and you've Ashley. He's stronger than he realizes though, he's the one that reluctantly enlists in the Confederate Army while the cynical Rhett Butler makes some big bucks as a blockade runner.<br/><br/>I've always felt however that the most difficult acting job in Gone With the Wind was the role of Melanie Hamilton. Olivia DeHavilland after initially considering trying out for Scarlett, decided to go after Melanie. <br/><br/>It's a deceptive part, superficially it's a lot like the crinoline heroines DeHavilland was doing at Warner Brothers. Melanie is the counterpoint to Scarlett, an incredibly kind and decent soul who can't see bad in anyone. One of her best scenes is with Ona Munson who is Belle Watling, the most prominent madam in Atlanta. The other women of society snub her, but DeHavilland accepts her help for the Confederate cause. It's not about politics or slavery for Melanie, her husband is at war and his cause is her's.<br/><br/>And DeHavilland's death scene would move the Medusa to tears. It's a great tribute to the playing skill of Olivia DeHavilland in that Melanie NEVER becomes a maudlin character. She got her first Oscar nomination for Melanie in the Supporting Actress category, but lost it to fellow cast member Hattie McDaniel as Scarlett's mammy.<br/><br/>Hattie's a shrewd judge of character, she's a slave, but she's also a family confidante of the O'Haras. As Gable says, she's one of the few people he knows whose respect he wants.<br/><br/>Of course Gone With the Wind is from the southern point of view. Growing up in Atlanta, Margaret Mitchell heard reminisces from many Confederate veterans and the stories they told found their way into Gone With the Wind. It's about what the white civilian population endured during the war and Reconstruction.<br/><br/>David O. Selznick got a bit of irony in there though. Please note during the burning of Atlanta the slaves who are being marched out to dig trenches are singing 'Let My People Go.' And that's just what the Union Army was coming to Atlanta to do.<br/><br/>Gone With the Wind copped so many Oscars for 1939 that Bob Hope quipped at the Academy Awards ceremony that it was a benefit for David O. Selznick. Of course it was the Best Picture of 1939 and Vivien Leigh won the first of her two Best Actress Awards.<br/><br/>Metro-Goldwyn-Mayer kept itself in the black for years by simply re-releasing Gone With the Wind. Unlike any other classic film, it won new generations of fans with theatrical re-release. Somewhere on this planet there are people seeing this 67 year old classic and it is winning new fans as I write this.<br/><br/>And I think Gone With the Wind, the telling of the interwoven lives of Rhett, Scarlett, Ashley, and Melanie and the world they knew, will be something viewed and read hundreds of years from now."
"jotix100","10","253","318","22 February 2005"," Georgia on my mind
","This film shows the best of the American cinema. Whether we like the film, or not, one has to recognize the greatest achievement, perhaps, of the creative talent of the people working in the movie industry. ""Gone with the Wind"" represents a monumental leap, as well as a departure, for the movies, as they were done prior to this film.<br/><br/>The vision of David O. Selznick, the power behind bringing Margaret Mitchell's massive account about the South, before and after the Civil War, pays handsomely with the film that Victor Fleming directed. This movie will live forever because it reminds us of how this great nation came into being, despite the different opinions from the two stubborn factions in the war.<br/><br/>""Gone with the Wind"" brought together the best people in Hollywood. The end result is the stunning film that for about four hours keep us interested in the story unfolding in the screen. Of course, credit must be due to the director, Victor Fleming, and his vision, as well as the adaptation by Sydney Howard, who gave the right tone to the film. The gorgeous cinematography created by Ernest Haller gives us a vision of the gentle South before the war, and the Phoenix raising from the ashes of a burned Atlanta. The music of Max Steiner puts the right touch behind all that is seen in the movie.<br/><br/>One can't conceive another Scarlett O'Hara played by no one, but Vivien Leigh. Her beauty, her sense of timing, her intelligent approach to this role, makes this a hallmark performance. Ms. Leigh was at the best moment of her distinguished career and it shows. Scarlett goes from riches to rags, back to riches again and in the process finds an inner strength she didn't know she possessed. Her impossible love for Ashley will consume her and will keep her away from returning the love to the man that really loves her, Rhett.<br/><br/>The same thing applies to the Rhett Butler of Clark Gable. No one else comes to mind for playing him with the passion he projects throughout the movie. This is a man's man. Captain Butler was torn between his loyalty to the cause of the South and his sense of decency. His love for Scarlett, the woman he knows is in love with a dream, speaks eloquently for itself.<br/><br/>The other two principals, Olivia de Havilland and Leslie Howard, give performances that are amazing to watch. Ms. de Havilland's Melanie Hamilton is perfect. Melanie is loyal to the woman that does everything to undermine her marriage to Ashley. Mr. Howard's Ashley gives a perfect balance to the man in love with his wife, while Scarlett keeps tempting him.<br/><br/>The rest of the cast is too numerous to make justice to all the actors one sees on the screen, but omitting the contribution of Hattie McDaniel to the film would be sinful. Ms. McDaniel was such a natural actress that she is excellent no matter in what movie she is playing. This huge talent is a joy to watch.<br/><br/>Comments to this forum express their objections to the way the race relations play in the movie, but being realistic, this movie speaks about the not too distant past where all kinds of atrocities, such as the slavery, were the norm of the land. While those things are repugnant to acknowledge, in the film, they are kept at a minimum. After all, this film is based on a book by one of the daughters of that South, Margaret Mitchell, who is presenting the story as she saw it in her mind, no doubt told to her from relatives that lived in that period of a horrible page in the American history.<br/><br/>Enjoy this monumental classic in all its splendor."
"murtaza_mma","10","84","105","8 July 2011"," A Potpourri of Vestiges Review: An American magnum opus which must be watched and often, and by those who understand cinema
","Margaret Mitchell's Gone with the Wind, in its true essence, is a case study on the Old American way of living where pride and honor were the very essence of human existence. Victor Fleming's rendition of the classic novel, a classic within its own right, does full justice to the themes propagated by Mitchell's evocative masterpiece. In the words of Mitchell herself, Gone with the Wind is the story of the people whose gift of gumption gave them a definitive edge to endure the tribulation and throes of the American Civil War vis-à-vis those who lacked an inner resolve and determination needed for survival.<br/><br/>Scarlet O'Hara, the well bred, haughty, tempestuous and opportunistic protagonist of the saga, is an ostensibly flawed individual whose inexorable urge to placate her ego and realize her fancies appears far stronger than her adherence to any credence pious to her people and relevant to her time. Her scintillating charm and unrestrained zeal not only make her an object of desire for her male counterparts but also an object of envy for the girls around her.<br/><br/>Vivian Leigh perfectly fits into the caricature of Scarlet O'Hara. She makes full use of her talent, courage and guile to portray a part that requires subtlety, brusqueness and poise in equal parts. It may sound like a hyperbole, but no other actress seemed better equipped to play the part a southern belle than Leigh herself, who won not one but two Oscars while playing one: first for her portrayal of Scarlet O'Hara and second for portraying Blanche DuBois in A Streetcar Named Desire opposite Marlon Brando. In fact, her portrayal of Scarlet O'Hara, in which she perfectly blends panache, poignancy and peremptoriness, is arguably the greatest portrayal by a female lead in cinematic history. Leigh uses her on-stage experience to improvise in order to add new dimensions and complexities to Scarlet's caricature, which according to the novel was mostly one dimensional: out-and-out bad. Scarlet's stubbornness and her impish obsession for a conformist like Ashley, who is not only indifferent to her feelings but also incapable of reciprocating the passion and zeal with which she pursues him, represent just one dimension of her multifaceted self, which is revealed layer by layer with the progression of the narrative. The viewer is gifted to see Scarlet in various avatars: a usurper, an egomaniac, a damsel, a nemesis, a menace, a guardian, a savior, a patriot, a fighter and most importantly as a quintessence of womanhood.<br/><br/>Clark Gable as Rhett Butler perfectly complements Vivian Leigh's larger than life portrayal. He is an outright reprobate, an unscrupulous opportunist whose life revolves around making money and pursuing carnal pleasures. However, behind this facade, just like Scarlet, there is a human capable of love, and worthy of being loved. These unobtrusive yet obvious similarities make Scarlet and Rhett a perfect match for each other. The subtle chemistry and tension between the two protagonists give the story its impetus and resonant charm. The rest of the cast has given exemplary performances with a special mention of Olivia de Havilland, who as Melanie is a paragon of love, humility and forgiveness. She provides a striking contrast to Scarlet's caricature and represents a more traditional picture of womanhood.<br/><br/>The movie's direction, cinematography, editing and music are all top notch and it is the great synergy of all these elements that makes the movie an extravaganza and an undisputed master piece, one to be savored till eternity. The movie is an amalgam of scenes, high on emotion and drama, which keeps the viewer absorbed throughout. The scene in which Scarlet's father tells her the importance of mother land, deeming it as the only thing worth fighting for, is pure gold. Other scenes that come close to matching its brilliance include the one in which Scarlet performs the duties of an obstetrician to help Melanie give birth to her child, and the one in which Scarlet pledges to protect Tara till her last breath. The movie also has an amazing repertoire of dialogs that are delivered with a nice mix of finesse and accuracy. Butler's famous dialog in which he says to Scarlet, ""You should be kissed and often, and by someone who knows how,"" also happens to be one of all time favorite. <br/><br/>The movie, especially its anti-climatic ending, brings tears to eyes and leaves the viewer overwhelmed as he experiences a rainbow of different emotions, being awestruck by the tremendous impact of the journey that he is vicariously made to undergo.<br/><br/>PS. Gone with the Wind is undoubtedly one of cinema's greatest marvels and is a living testament to cinema's timelessness, and its limitless potential. A must watch for everyone. 10/10<br/><br/>http://www.apotpourriofvestiges.com/"
"Alexis_Ray","10","164","224","15 November 2003"," Astounding Film - GWTW is the Definition of a Classic!
","The setting is a Georgia plantation. The year is 1861, and sixteen-year-old Scarlett O'Hara is infatuated with the blond, drowsy-eyed Ashley Wilkes - the problem is, Ashley plans to marry another woman. Little matter that every other man in the county is courting Scarlett and that a charming scoundrel named Rhett Butler is staring at her with questionable intent - she cares only for Ashley.<br/><br/>Suddenly, the Civil War brakes out, changing the fates and fortunes of all. Scarlett, clever, manipulative, and charming, proves an adept survivor - but what will she have to do to survive? And will she ever learn whom it is that she really loves?<br/><br/>GWTW is one of the most meticulously cast films ever; with the possible exception of Leslie Howard as Ashley (in his forties, rather old to be playing a man half that age), every role was perfectly assigned. After you watch Vivien Leigh you will be unable to imagine anyone else playing Scarlett, and Hattie McDaniel's strong, unforgettable performance as ""Mammy"" netted her an academy award (the first for an African-American actor).<br/><br/>
GWTW's backdrop is the gruesome Civil War, and in the end this film is the story a woman and a civilization (the Old South) going through a war that will not leave either of them unchanged.<br/><br/>The cinematography is beautiful, memorable. Gone With the Wind was shot entirely in gorgeous technicolor; the scene of the fire in Atlanta required the use of all eight technicolor cameras in existence at the time.<br/><br/>
The pragmatic may think Gone with the Wind overly dramatic; the restless may find it too long; the action-stimulated, too subtle. None of this, however, detracts from the fact that GWTW retains a lasting appeal as one of the crowning cinematic achievements of the 20th century. Those who see its ending as depressing - tragic, even - perhaps miss the point - which Scarlett O'Hara makes in her very last instant with us, tear-stained eyes uplifted in a sudden, curious burst of hope beneath all the turmoil; that .. . ""After all, tomorrow is another day."" 10/10"
"dhable","10","192","269","27 September 2006"," The Greatest Film of its Time, and All Time
","I believe that when one views a film, one should consider the context in which it was made.<br/><br/>Barely 10 years after talking pictures were first created; less than that after the first full-length color feature film was created; near the end of the greatest depression this country ever experienced, and in which pretty much the only entertainment available to most was radio or the movies; David O Selznik decided to turn the biggest pot-boiler blockbuster novel into a movie.<br/><br/>And what a movie. Stunning color, the most popular mail actor of his time, perfect music score, incredible action scenes, story line only 70 years removed from when it happened, and on, and on. Can you imagine what a store-clerk or a farmer, or a teacher experienced in that world, seeing Gone With the Wind? What was there to compare with? 1939 was a watershed year for great movies, and this one was the greatest produced. Try watching this movie as if there were no TV, no DVD's, only a few radio stations, spending maybe the second to the last quarter you owned, never having seen such a movie before, and you get what I mean. Masterful for its time, and still timeless today."
"mikazuki","10","216","305","13 December 2000"," A Classic in the History of Movie-making.
","Every time I watch this film, and I've seen it more times than I can remember, I'm always astonished by the freshness of the story, the power of the emotions it conveys and the beautiful, detailed images of a time long gone. That this film was made in the 1930's is almost incomprehensible to me. The challenges that had to be overcome in order to bring it to life must have been monumental. But come to life it did, and still does! A triumph of film-making ingenuity and genius, that will live on for many generations to come."
"angel_de_tourvel","8","120","165","7 January 2005"," An immortal and towering achievement
","It is always in people's nature to put down great things and to nit-pick or sometimes just be plain mean. No matter what anyone says, this is utterly fantastic: in story, in special effects, in casting (with perhaps the sad exception of Leslie Howard as ""Ashley"") and in captivation. Vivien Leigh is so powerful, passionate, magnificent and beautiful that you could watch it 1000 times on that ground alone. She brings something so convincing and human to the role of the selfish, spoilt Scarlett; the character is larger than life.<br/><br/>Leaving Vivien's astounding performance aside, this remains a sweeping unrivalled epic. Watch it. Esther's rating: 20/10"
"Tweetienator","10","17","20","11 October 2017"," One of the Greatest
","A perfect epic movie with a great story and a superb playing cast and one of the biggest productions imaginable. Like Ben Hur and War and Peace a classic for all eternity. <br/><br/>A world is going down, a new world is rising out of the ashes of the gone - melancholy, fear, the sacrifice, and hope of a whole generation fighting and suffering in the Amercian Civil War. <br/><br/>In our troubled times, where war and terror are present almost in every corner of our world and in times where the status quo seems to be a faster and faster-going constant stream and faster-going flow, where nobody can be sure or predict what the future ahead may bring to us, a movie more relevant than most people think."
"Nazi_Fighter_David","9","71","98","26 April 2008"," A rich romantic film...
","Gerard O'Hara (Thomas Mitchell), an Irish immigrant, settles in North Georgia and becomes a prosperous plantation owner By great luck he marries young Ellen Robillard (Barbara O'Neill) of Savannah, the daughter of one of the noblest Georgian families and becomes accepted by his aristocratic neighbors They are blessed with three daughters, Scarlett (Vivien Leigh), Suellen (Evelyn Keyes), and Carreen (Ann Rutherford).<br/><br/>Scarlett, the eldest, worships her mother Yet, under her beauty and Southern coquetry, she is charming, but proud, willful and vain She believes she is in love with Ashley Wilkes (Leslie Howard), a good-hearted young army captain But Ashley loves his cousin, Melanie Hamilton (Olivia de Havilland), a delicate, selfless woman He is frightened by Scarlett's energy and animation And although he admits his feelings for her, he is afraid to marry her and decides to take Melanie for his bride <br/><br/>When Scarlett loses Ashley she is more certain than ever that she must have him On their wedding day, she meets Rhett Butler (Clark Gable), a wealthy adventurer from an old Charleston family Rhett, a gamblerwho believes that self-interest is the motive of all human conductis attracted by Scarlett's beauty and realizes that they are equally merciless and conscienceless<br/><br/>Vivien Leigh is magnificent as the spoiled, selfish southern belle... She carries the picture, and controls it... She reproduces the spirited character of Scarlett in all its fluent complexity... <br/><br/>Clark Gablewith a smile and great light in his eyesis fascinating as the elegant, heroic gentleman ... He is perfect as the ladies man... His dramatic high point is his scene crying in Melanie's presence... His love scenes with Scarlett give the picture a vibrancy that is one of its great attractions... The film begins with their first stormy meeting in the library at Twelve Oaks and intensifies at the Atlanta bazaar, when he shocks the confederacy by bidding $l00 ""in gold,"" to dance with the newly widowed Mrs. Hamilton who cares for nothing but herself<br/><br/>Hattie McDaniel gives a rich characterization as Mammy, Scarlett's shrewd black servant who was never fooled by Scarlett's airs and tears...<br/><br/>With a memorable music score by Max Steiner, the film was an instant classic, winner of eight Academy Awards..."
"IshtiaqAhmed","10","12","14","15 December 2019"," Miracle in Film Making - Can't believe they did it in 1939!
","This movie was on my watch list since 1996 or 1997 when I read its review in a local newspaper. I though it must be a dull movie as it is very old and procrastinated to watch until Dec 2019.<br/><br/>And friends, I can't tell you how much I am impressed with this movie - wonderful story, superb acting, mesmerizing cinematography and direction. And they did it in 1939 - which is really hard to digest.<br/><br/>I am stupid enough to miss this glory for so many years."
"mallaverack","8","12","14","29 September 2017"," The brilliant Vivien Leigh made me so angry!!
","Just yesterday, I watched the entire GWTW for the first time (excellent quality DVD)and even though in comfort of my own home, I found this film way too long. I would not, could not, sit for almost four hours in a cinema to watch any movie. As a great number of reviewers have pointed out here, this is a movie of two parts, the second bordered on soap opera and partly for that reason, I am unable to give a 10 star, gushing endorsement to GWTW.<br/><br/>The characterisation also bothered me. Of the four principal parts, Leslie Howard's (Ashley Wilkes)was the least credible performance.Here we have someone ready and eager to go off to war but someone unable or unwilling to express his genuine love for his wife Melanie when taunted by the scheming, jealous Scarlett O'Hara. And it seems so odd that Selznick would cast an Englishman as a southern gentleman, particularly when Howard's 'Englishness' was so apparent for his entire performance?! Surely there were better-looking US actors (who sounded like southerners) to play the part of a so-called dashing lead character!<br/><br/>Despite the fact that it was apparent that everybody regarded Melanie(Olivia De Havilland) as a saintly figure who never spoke ill of anybody, it was almost beyond credibility that she appeared so blithely unaware of Scarlett's manipulative, brattish intentions and behaviour. And on learning of the possible romantic link between Ashley and Scarlett, Melanie reacts in an even more incredible fashion.<br/><br/>It was the portrayal, the brilliant portrayal by Vivien Leigh of the story's heroine, that unnerved me more than anything else. Despite the many reasonable defences of Scarlett's character and behaviour - she shows stoicism in hardship, displays admirable strength in returning the fortunes of Tara etc etc - I found Scarlett O'Hara such a most unlikeable, indeed, almost detestable character, that I longed for the scene in which she would get her comeuppance! She was selfish (selfless when material gain beckoned), simpering, headstrong, jealous, vindictive, childish, scheming, stubborn, cruel and seemingly incapable of genuine affection for anybody save her father - most noticeably not for any of her three husbands nor for the presumed object of her unrequited love, Ashley Wilkes. She even steals her younger sister's fiancé Frank Kennedy whom she marries for financial gain. Scarlett also shows no qualms in engaging in dubious business practices and exploiting convict labour in her lumber business.<br/><br/>How typical that shortly after marriage, Rhett insists he'll spend as much as necessary on a new mansion in Atlanta and Scarlett responds with: ""Oh Rhett, I want everybody who's been mean to me to be pea-green with envy.""<br/><br/>On three occasions, Scarlett uses physical force to show her anger and pride when she slaps somebody across the face - if only Ashley or Rhett or even Mammy had the gumption to give this hoyden a similar whack!<br/><br/>From my perspective, never has there been a more apt closing line in a movie because regarding the fate of Scarlett O'Hara, I couldn't give a damn."
