"username","rating","helpful","total","date","title","review"
"claudiaeilcinema","10","111","134","28 December 2017"," Look Into My Eyes
","Shattered. Yes, that's exactly how I felt. Unable to utter a word. Jonathan Banks creates one of the most hateful creatures I've ever seen on the screen and I've seen hateful creatures. I had a physical reaction to his recognizable monster, we saw him or one of his ilk marching down the streets of Charlottesville in 2017. Carey Mulligan is simply sublime. Garret Hedlund and Jason Mitchell have become two of my favorite actors. Their truth made of confusion, outrage and pain is pungently present in their eyes. Mary J Blige provides a powerful poster child for dignity and composure. A remarkable performance and Rob Morgan moved me so very deeply. A film experience that we all should confront. My gratitude and admiration to the extraordinary Dee Rees."
"Alexander_Blanchett","8","93","118","17 November 2017"," One of the most beautiful final shots of the year
","A good and extremely well acted film. It is really the netflix film that could make the difference in terms of awards recognition. It is not your typical racism film as it tells another side of it. It is about two young men who would never be in any way friends if it wasn't for one thing they have in common. Both are war veterans and return home with a trauma. One is the son of a farm aid, the other is the brother of the owner of the farm. But it is not the only story this ensemble piece tells. The acting is the best reason to see the film. Rob Morgan was the MVP for me. It was a performance that worked way beneath his dialogue. A very deep and moving character and he managed it absolutely realistic. Jason Mitchell was great as well, especially towards the end. He has for sure the battiest role. Garrett Hedlund comes right after with a very controlled and intense turn. He surely is underrated for his acting, I also liked Mary J. Blige who had some great small moments, but after all the buzz I expected something more intense. Much of her performance works through her expressions which were great and real. Carey Mulligan and Jonathan Banks were great as well. Jason Clarke had his moments but was possibly the weakest of the bunch, but that was mostly because of his pale character, The film was extremely well shot, nicely directed and had a great screenplay. At the beginning it dragged a little bit but it is definitely worth to see and the ending is extremely intense, shocking and memorable. And the final scene has to be one of the most beautiful scenes of the year."
"ElMaruecan82","9","55","71","20 November 2017"," ""Mud"" happens... but it can also create the most unexpected and inspiring bonds...
","Racism, war, violence, female solidarity  however relevant these subjects are, they seem rather exhausted on a cinematic level especially when the Awards season starts.<br/><br/>Indeed, on the simple basis of its trailer, one would believe that ""Mudbound"" is simply Netflix making its ""Color Purple"", ""Mississippi Burning"" or ""12 Years a Slave"". Maybe. But there is something fresh and original in Dee Rees' adaptation of Hillary Jordan's novel and it's a considerable achievement that owes a lot to the writing, the directing and the unusual structure and patient pace of the film. Sure it is a companion to all the movies I mentioned but it has a sort of haunting quality, something that sticks to your mind and dwarfs a rather good film like ""The Help"".<br/><br/>What is ""Mudbound"" about? That's not an easy question to answer, a few negative critics pointed out the film's lack of focus because it's a multi-character story and there's no lead or supporting roles at first stance, just as they criticized the overuse of voice-over. I didn't mind the voice-over much, the story is so complex and multi-layered that I'd rather have a voice-over explaining things and make it my 'privilege' to pay or not pay attention to it. The lack of focus now is just a matter of half-empty or half-full glass. But here's a way to present the film in simpler terms. ""Mudbound"" is about two families, the McAllans (white) and the Jacksons (black) living in two neighboring farms in the Mississippi of the 40's.<br/><br/>Laura (Carey Mulligan) married Henry McAllan (Jason Clarke), less moved by love than a desire to escape from her ""old maid"" condition, and marital life made her feel relevant and important. Henry isn't the romantic type but no bad man either, and I was glad the movie didn't take one path I expected. No, it's not about that kind of abuse. The McAllans are a steady couple and the Jacksons form a united clan whose patriarch Hap (Rob Morgan) is the descendant of former slaves who worked on that same land, Hap's dreams is to own it in the future although he's not fooled by the worth of any act of property in that racist state. The Jacksons might strike as too 'virtuous' and taking very solemn poses but once you get drawn by the atmosphere and the hostility they constantly face, you realize that ""disunion"" couldn't be an option. Hap and his wife Florence (Oscar- worthy Mary J. Blige) can't afford the luxury of not being at least ""happy together"".<br/><br/>But the film doesn't venture yet in these unsafe territories; the tone is only set with the presence of Henry's father: Pappy McAllan, a bigoted racist played by Jonathan Banks and whom we suspect will act like a ticking bomb. Henry buys a farm and Laura follows him, circumstances of life will force Florence to work for the McAllans, but as long as these two families mind their own business, so to speak, nothing seem ready to create conflicts. Except for what sets up the second act of the film, the second World War. The merit of ""Mudbound"" is to paint notable differences at first until you realize that the two families have a lot more in common. This 'common denominator' is the core of ""Mudbound"": the bond between the two veterans of each family: Henry's brother Jamie (Garrett Hedlund) and Ronsel Jackson (Jason Mitchell). Here are two men who've seen hell in Europe, the things we expect and that are not overplayed, but they also lived the exhilaration of liberating countries and discovering a fraternity that transcends racial barriers.<br/><br/>""Mudbound"" breaks a taboo seldom explored by the movies: the hypocritical treatment of Black soldiers. America takes pride for having liberated Europe but not to the point of questioning the internal ""prisons"", and this is the concealed wound the film tries to heal. Ronsel is the most complex of all the characters because he embraced his country's idealism and couldn't believe he wouldn't be rewarded for it. Jamie suffers from PTSD and finds in Ronsel the only man capable to understand him, ""Mudbound"" began like the stories of two women, Laura and Florence who were growing to understand each other, a sort of ""Color Purple"" of the 2010's, directed by a woman and with enough narrative to play like a feminist hymn, but no, this is a movie about two men, Ronsel and Jamie who grow to respect each other because they found in the mud of the battle-fight the universally human bond. You know what that movie truly reminded me of? ""The Defiant Ones"".<br/><br/>The image that immediately comes to mind from that Stanley Kramer's masterpiece of 1958 is Tony Curtis and Sidney Poitier as two ex-convicts chained together and escaping from the police. They hate each other, they still carry some bits of racism but the first display of solidarity happens when they're stuck in a deep pool of mud and must climb their way to the ground. Mud isn't just about dirt or about ground but can be a powerful metaphor of something uniting two men, a metaphor for an even dirtier stuff, when ""natural enemies"" discover they're equally worthless when put in the same 'mud'... unless they try to overcome it. ""Mudbound"" carries this image but it's less about 'mud' than it is about a color-blind ""bound"". The mud is either literal in the film or represented by the trauma of war and also the suffering of women, while not the focus, ""Mudbound"" has a saying on that subject as well.<br/><br/>""Mudbound"" is a proof that Netflix is becoming a major contender in the years to come, I don't know whether the film will meet with Oscar recognition but there should be some love to the haunting cinematography, the screenplay and Mary J. Blige should be a lock if Octavia Spencer and Viola Davis won for what I believe are lesser movies."
"riorita-63879","10","76","109","3 November 2017"," One of the Best of This Year
","Wasn't going to go to this, but so very glad I did. Netflix has made a film worthy of the highest praise. If the book is better than this movie, this is a book for your library. The entire screening audience became engrossed in this movie, so quiet you could hear a pin drop on the carpet. The story unfolds necessarily slow and snares you. The narrations by different characters at different times, helps to pull the viewer in lightly forcing a personal touch to each story. The different perspectives of the storytellers is blatantly obvious while the movie spares little in realistic actions that make the viewer cringe at times, laugh at times and cry at times. it doesn't hold back The acting is top notch, even though I had only heard of a hand full of these players, one not even being an actor. The cinematography is up there, crisp and a great player in the mood of this movie. It had educational moments too, while not being preachy, it just shows and tells where we have been. It is also a movie for our times. People from the screening audience are still taking about this move 4 days later. An Oscar contender this should be."
"ArthurMausser","10","56","90","15 September 2017"," This FIlm is engrossing, endearing, enveloping, and enthralling...
","I WikiFLix Sneakpeaked this one. The acting is superb. The Cinematography is crisp, gritty and very believable. It is refreshing to have a movie entertain you WITHOUT over the top action & coffee shop contrived dialogue. The story line unfolds in a way that keeps you captivated with nostalgia and wonder of what will happen next. This will definitely be nominated for an Oscar. It could be the first Best Picture win for Netflix! Garrett Hedlund & Dee Rees will have a great chance of winning awards as well. I would like to go into further detail about the movie but will refrain from spoiling anything. All I can say is that this 20th Century drama captures the normal events in the Deep South to perfection. You are going to want to have food & drink near you couch to avoid having to hit the pause button..."
"themadmovieman","7","71","122","17 November 2017"," At times astonishingly powerful, but incredibly boring at others
","If there were ever a film that sums up the phrase 'mixed bag', then Mudbound is surely it. Ranging from emotionally devastating and harrowing drama to downright tedious periods of nothingness, this is one of the most inconsistent films you'll ever see, and although its highest points prove utterly enthralling and truly memorable, its lowest offer next to nothing in terms of riveting drama. Its performances are strong and its directing confident, but that doesn't escape the fact that this film is just a real mixed bag.<br/><br/>Let's start with the film's opening act, which is one of the most boring and frustrating hours I've spent watching a film. Starting off with a confusing and poorly executed opening scene, the film really fails to pick itself up over the course of its whole first hour, doing little more than to establish some of the main characters and the hardships of the muddy, isolated rural community, things that could have surely been done just as effectively in a good ten minutes.<br/><br/>For the duration of the whole first act, it's pretty difficult to tell what the end game of the movie actually is. For one, you've got the story of a young woman whose marriage allowed her to escape her dull family, and who also is deeply frustrated with the muddiness and poverty-stricken nature of her current life. Then there's some detailing of the horrific levels of racism in 1940s Mississippi, with the family's grandfather being the main example for some nasty remarks throughout. There's also a young black man who goes off to war, who we occasionally check in with during his battles in Europe, while we also see the brother of the central white family flying in the Air Force during the war.<br/><br/>As you can tell by that very bungled description, the film's first act is an absolute mess. There's very little way to tell what the main story is, and what you should really be focusing on for the biggest emotional intrigue, and that, coupled with the fact that it moves at a deathly slow pace, makes it a very frustrating and extremely tedious first hour.<br/><br/>However, things really do pick up come the second act. Upon seeing the two men return to Mississippi from the war, the film's central focus finally comes to the forefront, and we immediately get a very tense exchange between the racist grandfather and the African-American war veteran. That's undoubtedly one of the film's highest points, and sets up the atmosphere of deep racial tensions well, finally giving the film at least a continuing and consistent tension under the surface, something that was completely absent from its first act.<br/><br/>The second act then goes into looking at how different generations respond to the institutionalised racism, while also shedding light on how horrifically unjust some of the hardships suffered by so many hard-working African-Americans were at the time, which proves for an interesting, albeit never quite powerful watch. The film's middle portion is a great insight into the time period, and holds your attention throughout, but it never quite manages to hit you hard enough as a film telling such a story should do.<br/><br/>And then comes the film's final act, which is exceptional. For the final thirty minutes or so, the devastating reality of racism in the past is brought brutally into focus, and it makes for a deeply disturbing and uncomfortable but powerfully moving watch. With the film's tension at its height, it doesn't hold back in displaying some truly horrifying scenes, some of which are easily the most intense and powerful I have ever seen in a film dealing with the topic.<br/><br/>The final act is directed brilliantly, being frank and brutally realistic in its depiction of injustice, and moving along at a slow but tense pace to emphasise some truly horrible acts, all the while maintaining a strong dignity that allows the deeper, emotional side of the sequences to shine through too, all of which makes it simply astonishing to see.<br/><br/>It's fair to say then, given the huge range of comments I have for this film, ranging from total boredom to transfixing and hard-hitting emotion, that Mudbound is a very inconsistent mixed bag, however there is one element to it that works well from start to finish: the performances.<br/><br/>The wide range of characters in the first act does make its story somewhat muddled, but each of the actors really shines in bringing their own character to life. Carey Mulligan is very strong and convincing as a young mother frustrated with her life in poverty, Garrett Hedlund and Jason Mitchell are both charismatic young men, meaning that their relationship really shines when it's on display, while Jonathan Banks is excellent as the terrifyingly racist old man, bringing a powerful tension into the film every time he walks into a room.<br/><br/>Overall, then, it's pretty clear that Mudbound isn't a resoundingly successful movie. At times an interesting insight into racism and injustice in the Deep South in the 40s, at others a tedious slog of randomly muddled drama and characters, and at others an astonishingly powerful, hard-hitting and truly memorable (dare I say it, even Oscar- worthy) drama, it's a very inconsistent and overall frustrating film. However, with its strong performances all the way through and exceptional drama at points, it is a memorable watch."
"ferguson-6","7","35","61","9 November 2017"," hatred is not new
","Greetings again from the darkness. The Jim Crow South and WWII have each spawned many movies, and both play a crucial role in director Dee Rees' (BESSIE) adaptation (co-written with Virgil Williams) of Hillary Jordan's 2008 novel. It's the story of two families, the Jacksons and the McAllans, striving for daily survival in rural Mississippi during the 1940's. <br/><br/>The Jacksons are a black family tenant-farming on land owned by the white McAllans who transplanted from Memphis. This land is so remote and life so hard, that tractors are almost non-existent and mules are rare enough. There is such a bleakness to this existence that all seem oblivious to the always present mudhole leading to the front door of their shack. Elation comes in the form of a privacy wall constructed around the outdoor family shower, or the sweetness of a bar of chocolate. Soon after D-Day, Florence and Hap Jackson send their son Ronsel off to war. The same thing is happening across the 200 acre farm to Jamie McAllan, brother of Henry and son of Pappy. <br/><br/>A shifting of multiple narrators throughout allows us access to the perspectives of multiple characters. We get both black and white views on war and farming. Days in war bring injury, death and dirt  not so dissimilar to life on a Mississippi farm. When Ronsel and Jamie return from war, they are both suffering. Ronsel can't come to grips with how he was treated as a redeemer in Europe, but just another 'black man' being targeted by the KKK at home, while Jamie is shell-shocked into alcoholism and an inability to function in society. The parallels between the war experience of Ronsel and Jamie lead them to a friendship that ultimately can't be good for either. <br/><br/>Jason Clarke plays Henry and Carey Mulligan, his wife Laura. Jonathan Banks (""Breaking Bad"", ""Better Call Saul"") is the ultimate nasty racist Pappy, while Garrett Hedlund is Jamie. Rob Morgan and Mary J Blige are Hap and Florence Jackson, and Jason Mitchell (STRAIGHT OUTTA COMPTON) is Ronsel. While all perform well, it's Mitchell and Hedlund who are particular standouts, as is a radio reference of the great Lou Boudreau. Rachel Morrison's cinematography is terrific and captures both the hardscrabble life of Mississippi, but also the frantic and tragic abruptness of war (in just a couple of scenes). <br/><br/>Racism is always difficult to watch, and in that era, everyone had their place/plight in life. It was a structure built to ensure misery for most, and one guaranteed to collapse. The acting here is very strong and the film is well made. The story-telling is consistently disquieting and periodically unbearable. Still, we are all tired (or should be) of hatred. The somewhat hopeful ending caused an audible sigh of relief from an audience of viewers who had been angry and clinched for more than two hours. And though there is no joy in Mudville, we remain hopeful, even today."
"barrylyman","10","40","71","19 November 2017"," Extraordinary!!!
","I can't remember the last time I watched a film that was so touching. Especially set more than a half century ago, The acting is exceptionally great. The narrative is as smooth as molasses. But what really caught in my soul was that some of these racial prejudices still exist.<br/><br/>I was fortunate to have grown up in Canada in the 1950s. My Dad started his dental practice with a Japanese partner. Most of his patients were Native or Metis, who would, often as nought, pay him with chickens or a side of venison.<br/><br/>As I said, this story was relaetable to me, not because I share the centuries of oppression suffered by many many millions of African Americans, But because I am a Jew. And in the decade that came after WWII, was, practically, in a small town.<br/><br/>There is hate out there always THOSE WHO HATE ARE INSECURE.<br/><br/>In my opinion, this film is so important to where we were and where we've arrived, that it should have been given wider distribution beyond Netflix/s web. This story and its' storytellers should have been picked-up by a major studio.<br/><br/>Still, well done to all the tellers and actors - You have made my month! (maybe my year) I'd bet you'll never be the same for having the chance to perform these roles.<br/><br/>Bravo!"
"freddyj8882002","5","54","100","12 December 2017"," Tired of this kind of movie
","As an African American, who is 70 years old, it is difficult to watch these kinds of movies. I don't require movies to describe what the Jim Crow south was all about. this movie was well made, but at times it was boring. The acting was well done, but some of the actors were not required to do much. It was a good movie for Netflix standards, but I would have never gone to the theater to see it. I hope that the song ""Mighty River"" wins the Golden Globe."
"katish7","6","56","107","21 November 2017"," Unfocused and because of it clichéd, lost an opportunity to be better
","Gave it a 6 because it's very unfocused. I wonder if it's the fault of the screenplay or is the original book is that way too. It felt like big pieces were missing from the story or rather not needed there. By the end of the movie you realize that Carey Malligan's character wasn't really crucial to the main racism theme and two main characters involved in it, so it makes you wonder why the first part of the film actually focuses on her so much. It will be funny is she's nominated for this absolutely unnecessary role. I was more interested to find out more about 2 main characters, but because of the lack of the focus they both came up as cliché as well."
