"username","rating","helpful","total","date","title","review"
"Rockford_6","6","65","89","4 September 2008"," Good action, but bad plot
","I knew going into this movie that it was going to be easy viewing, but I thought it would have more of a plot. Sure, the action scenes are great in that classic John Woo, ultra-choreographed way, but the plot isn't original or have much to it. Dougray Scott tries as the villain, but he's not scary at all, just sort of mildly irritable. After all, this is a villain who demands stock options as part of his bounty. (Truly, a sign of the times, and the audience laughed at that one.) Thandie Newton, who I had never seen before, is certainly beautiful, but she carries two expressions on her face through the entire movie, and resembles Ally McBeal in a tighter T-shirt. And then there's Tom. His character is more of a James Bond clone than the character is the original movie; I admire his guts and fearlessness for doing several scenes (especially the opening one), and the truth is, he's not bad. This just could have been much more. I did like Anthony Hopkins, though. He brings class to whatever he appears in."
"theshadow908","6","111","160","3 May 2006"," Totally different style.
","Mission: Impossible was a fast paced espionage thriller that actually made you think, which is what I like in a movie. Since John Woo, who is one of the kings of the action genre, took over for Brian De Palma, you can expect Mission: Impossible II to be an intense action movie with a majorly dumbed down plot. Everything to do with the plot is laid out for us basically right away. Now, all there is to do is sit back and watch those classic John Woo action sequences. In this movie, Ethan Hunt is once again a secret agent, and he is sent on a mission to stop a crooked agent from stealing a deadly virus for his own use.<br/><br/>I liked the first Mission: Impossible better because it had a more advanced plot. This Mission: Impossible is just a bland shoot 'em up action film. Now there's nothing wrong with that. The movie was still immensely entertaining. It just didn't fit in with the first film. Even the character of Ethan Hunt, though still played by Tom Cruise, is different. In this movie he doesn't seem as serious about his job. He's more cocky. However, I do like that the character now has absolutely amazing skills in hand to hand combat.<br/><br/>Overall, if you're looking for a smart spy thriller like the first film, this ain't it. If you're looking for a fun action film with amazing action sequences, this is it.<br/><br/>6.5/10"
"miriamlaufey","1","118","176","8 May 2006"," The awfulness is amazing
","Wow. I've seen lots of bad movies and lots of bad sequels, but this one was just incredibly bad. I didn't even know it was possible to sink that low. And it wasn't even bad in a funny way, but simply bad in an extremely painful way. I don't even know why I watched it to the end.<br/><br/>The story is nothing but a series of clichés. The bad guys have stolen a killer virus and are intending to let it loose to make a fortune selling the antidote. Very predictable, eh? The characters couldn't be more two-dimensional if they were in a Nintendo game. Being a tomboy, I absolutely hate it when women in movies have no personality and are just added in as a love interest. Nyah, the chick in MI2, is a perfect example of this. She was the only female in the entire film and her sole purpose was to be sexy (as is subtly shown by several pointless cleavage shots). Sure, the movie wants you to think that she could kick ass if she wanted to by making her a professional thief, but isn't very convincing at that. In the end, while Tom Cruise is engaged in a very unrealistic battle sequence on a beach, she roams around aimlessly, considering the possibility of throwing herself off a cliff (which would have been a relief).<br/><br/>I was going to talk about the extremely pointless car chase sequence between the hero and the chick, in which they demolish their cars for no reason whatsoever, but I don't really know what to say about it.<br/><br/>The only good thing about this film is that it was so boring that I preferred doing the homework I'd been postponing for ages to watching the dumb motorcycle chases."
"barrytwomey-1","1","60","87","25 August 2007"," I blame John Woo for this one
","Well, this was a pretty poor excuse for a movie. I liked the first and third but the second was awful. You would know John Woo was involved by the inclusion of doves flying through the under ground lair shortly after an explosion! I just don't get the dove thing.<br/><br/>It is a pretty straight forward, brain at the door action movie but the real problem with it is the huge inconsistencies throughout the movie. OK, the acting is a bit crappy, there's the token love interest and everything else is pretty forgettable but its an action movie, thats their nature sometimes.<br/><br/>The 'chase' scenes are awful to be fair to them, especially the motorbike one. How is it that his bike doesn't explode when his gas tank is hit but everything he shoots blows up? How can a bullet fired almost directly at you shatter the visor on the bike and not hit the passenger? Then to top it all off before duelling with there bikes on the sand, the high performance road bikes take an off camera pit-stop to change the slick tires to off-road. This brief rant illustrates the stream of flaws through the movie and I think Mr. Woo should be accountable. Tut tut John. If you want action try somewhere else because this will leave you under whelmed. Try number III, its not all bad."
"Anonymous_Maxine","7","30","42","29 May 2000"," M:I 2 definitely delivers as far as hard-core action, but some elements were excessive to the point of being cartoonish.
","Ethan Hunt is back with another theoretically impossible mission. Tom Cruise once again delivered at least a satisfactory performance, along with all other actors involved, but John Woo's direction was a little bit excessive at some points. I fail to see what made it necessary for Hunt to be riding his motorcycle on the front wheel while firing at an oncoming car. Or how about that gun that was lying in the sand toward the end of the film? Was that a little too unrealistic, or was it just me?<br/><br/>The story was good, the acting was convincing enough, and the action sequences were well put together, but they were just too much. One of the other things that really saved this film from action-packed obscurity was some very clever and well placed dialogue, particularly on the part of Ving Rhames, back once again as Luther Stickell (""Ethan! Nyah is in the building! Do you copy!"")<br/><br/>Despite M:I 2's shortcoming's, it will undoubtedly be very satisfying to the true action fan. It has explosions, gun fights, car chases, lethal viruses, Jackie Chan style fight scenes, and even a hint of a few WWF moves in those fights. Mission: Impossible 2 is a good action film. I was not tremendously impressed, but I also didn't feel like I had just wasted two hours. Go watch the movie, just don't expect it to be the phenomenal gift from the action movie gods that it was made out to be."
"bob the moo","Null","43","64","18 August 2002"," Really dumb and lazy film  barely manages to be fun at all
","IMF Agent Ethan Hunt is sent on a seemingly impossible mission to capture a destroy the only existing supply of a deadly disease known as Chimera. However a group of terrorists, led by ex-IMF agent Ambrose also want the disease so that they can us it to infect the world as they have already got the only cure.  Hunt turns to jewel thief Nyah to help him by infiltrating her ex-lover's (Ambrose) group to spy on them.<br/><br/>John Woo must have thought of the elements he needed to follow up the solid thrills of the original movie.  Big action scenes? Yes.  Slow-motion? Yes. Plot?  Characters?  Good theme music?  Logic of any kind?  Nope  won't be needing those!  Or at least that's how it felt.  The plot of the first film was clever despite being open to holes  the plot here makes the first one look like a watertight piece of genius!  The story only really serves to set up action scenes and the like  I can barely remember the disease and can only recall rubbish action scenes!<br/><br/>For a director like John Woo I knew to expect slow-mo and OTT action, but I didn't know that it would all be so very superficial and weak.  For example the car chase where Hunt and Nyah meet is just ridiculous and very annoying. The robbery of the disease is a pale shadow of the original film's robbery scene and the final motorbike chase is good but only a hint of what Woo has done before.  The plot overuses the whole `face mask' thing  it must do it about 8 or 9 times  many of those time's there's no way Hunt could have made a mask of the people involved!  It's another example of how silly it is.<br/><br/>While Cruise was cool in the first film, here he is slick and tough  an image that doesn't work.  He was much better in the first film.  Scott is non-existent as a villain and is pretty dull.  Newton is sexy but no more than that.  Rhames is good and Hopkins has an enjoyable minor role.<br/><br/>Overall this film is an OTT mess.  The plot is a shambles and the action scenes are silly and often have no logical reason behind them!  The overuse of the face masks just points to the total lack of a good script and Woo's slow motion just feels tired and unimaginative.  Only the final action scene is enjoyable, but by then you're ony interesting in turning this off and watching De Palma's much better film instead."
"crowrobot","1","62","101","11 December 2005"," Lame James Bond rip-off.
","I really liked 1996's 'Mission: Impossible'. Now here is the antithesis of the first movie: 'Mission: Impossible II'. The first film was a tight, smooth thriller that barreled along at warp speed, and was a nice break from conventional Hollywood action thrillers. 'II' pretty much IS a conventional Hollywood thriller.<br/><br/>Almost nothing from the first film has been picked up here: Tom Cruise? Yes, he's back, but he's not a spy anymore. He's James Bond, minus ANY cool gadgets or charisma. The awesome theme music? Gone, replaced with a horrible rock score. The action is typical Hollywood: Slow-motion gunplay and martial arts.<br/><br/>Ugh, I hate this movie! The acting and dialogue is lame, the techno-rock score even lamer, and the action scenes are mundane. Here's hoping 'MI: III' won't be as cringe-inducing as this disaster."
"judas_figo","4","4","4","23 August 2000"," ¡¡IN SPAIN WE DON'T BURN SAINTS!!
","How it's possible that a film of millions dollars make this mistakes. In Spain we don't burn saints, but that's not all, John Woo mixed two different festivals. For US people, imaging that in a Spanish film we see Boston local festivals, and you see that is a mix of St. Patrick's Day with Halloween."
"DoctorSkyTower","1","49","82","11 February 2001"," MISSION: PATHETIC
","The Cruise-man goes to Octane Cool! See him show off his 'martial arts abilities'! See him perform the most wicked stunts ever done by amateur stunt men! See the Cruise-Control Motorcycle Road Runner's Chase! See the Cool Cruise-man win High Points on the Score Board! <br/><br/>This is little more than a shoddy imitation of The Matrix or another boring, cliche-ridden movie episode of James Bond, but with a poorer story line. What story line you say? There wasn't one, actually.<br/><br/>WARNING! SPOILER ALERT!<br/><br/>Complete suspense of disbelief is an absolute necessity in order for one to sit through this flick without laughing aloud, or groaning at all the ridiculous stunts Tom Cruise performs.<br/><br/>The 80 m.p.h 'Shoes-On-Asphalt-Slide' is probably the best (and worst!) phony stunt I have ever seen! Next time I ride my moped I'll hop off and slide down the street alongside of it wearing my jandals while shooting a pea shooter at bulls eye targets on passing lamposts.<br/><br/>Tom fighting??? He may be able to act, but he simply can't fight. His martial arts looked like the way I would do martial arts. And I'm fairly hopeless! To make this even worse (or funnier!) they show Tom's fights in slow-mo! <br/><br/>Other memorable moments: The slow-mo 80 m.p.h chest slap and waves crashing on beach during the (anti) climatic fight (most of it also in slow-mo). Tom's flying-shoe kicks and clumsily-performed cartwheels in the sand. Tom's shoes-sand-gun-hand manouver (all at once). His Hair. His sun glasses. Priceless!!! <br/><br/>This whole awful flick was produced by Tom so that simply makes this a 'Cruise-Mobile'. Admittedly I missed half of this 'movie' on video. I watched the Second Half, and found it to be ridiculous to the point of hilarious. <br/><br/>CONCLUSION? Watch only if you wish to learn how to become a famous actor's stunt double."
"No 6","1","103","184","25 July 2001"," Simply the worst film ever made (Contains Spoilers!!!)
","I thoroughly enjoyed the first Mission Impossible. It was probably the only film that puts you into the mind of a secret agent as he tries to uncover a conspiracy that wiped out his cohorts. It had excellent twists, who would have thought that the hero of the TV series (Jim Phelps) finally turns into the bad guy.<br/><br/>The sequel however has no plot, no interesting dialogue just mindless shootouts that would leave Gun and ballistic experts laughing in disbelief. John Woo is not a director he is a second unit director that got lucky. He cannot control his cast, he cannot convey any plot and he cannot stage believable action sequences.<br/><br/>Woo seems to be directing (if you could call it that) in his sleep. The storyline seems to slightly mirror the original film in that a member of IMF goes rogue (not another one!!) and tries to release a Killer Virus called Chimaera on an unsuspecting world.<br/><br/>Apparently IMF Boss (Anthony Hopkins) knows the whereabouts of the Villain's hideout and orders Ethan Hunt to plant the Bad Guy's Ex girlfriend in an attempt to undermine him. (Wouldn't it have been better if they just attacked the HQ with commandos etc)<br/><br/>In the original film Ethan Hunt gets promoted to Jim Phelps rank within the organisation but in the sequel he is still a ""Point man"" jumping around in commando gear. Ving Rhames and his Australian colleague seem to do absolutely nothing in this film other than occassionally tap on a computer laptop keyboard and try to look serious. By removing the ""team"" element that made the series so great it makes the whole thing look like James Bond rather than Mission Impossible.<br/><br/>An interesting point to note is that since we know that Jim Phelp's salary was 60K PA There is no way the Rogue IMF grunt in this film could afford a massive private army along with a beach front Condo.<br/><br/>Some other laughable points in this film include:<br/><br/>The painstaking attempt by Hunt to infiltrate a building by bungee jumping down a giant ventilator shaft while the Rogue IMF villain and his private army gingerly stroll through the front door of said building.<br/><br/>The IMF villain must be unbelievably dumb to initiate a shootout (including explosions) with Ethan Hunt in a deadly Virus/Chemical research lab.<br/><br/>The Second Unit Director's (Woo) laughable obsession with White Doves that seem to have more screen time than Anthony Hopkins.<br/><br/>The throat elastoplast that enables people to talk like other people including perfecting their accents (South African, Scottish, American)<br/><br/>And finally the car and motorcycle chases that seem to break the laws of physics rather than breaking the monotony of the plot.<br/><br/>It is hard to believe that it took four years of rewrites and production/ shooting to create this sorry mess. Even the soundtrack by Metallica and Limp Bizkit is absolutely Tuneless and irrelevant to the film.<br/><br/>Although it made an impressive opening weekend this film got so slated by critics and the media that it would be lucky to break even from box office takings. So do not expect an MI3 so quickly.<br/><br/>This movie will have the distinction of earning a Golden Turkey award."
