"username","rating","helpful","total","date","title","review"
"MR_Heraclius","9","52","66","13 February 2020"," 007
","Spectre was a classy action movie....making the expected James Bond signatures always look new. loved the suave and class of our favourite British spy. Daniel Craig just re-immersed us in giving us another classic to relish for years."
"tjwb84","5","551","790","9 November 2015"," Let down by poor script, confused tone
","By the third time a helicopter flew into view, I was exhausted, and dreaded the prospect of yet another interminable and unconvincingly rendered crash scene. <br/><br/>The plot was an unappealing mess of recycled ideas. This film brings us yet another revenge story about someone who shares history with Bond but has since turned evil. That was precisely the plot of the last movie - and rather like the last three Star Trek films, most Batman films, the Superman reboot, this year's Avengers, etc.<br/><br/>Like last time, the stakes are raised by nebulous and non- frightening, yet world threatening (so we are told, but never shown) computer network technology. <br/><br/>The film once again focuses on the question: ""are spies still relevant?"" I don't find that to be an interesting premise for a Bond film. Why not just assume that the answer is 'yes' and make a fun and smart action movie with a heart? Casino Royale nailed this. If you really must cover the question of whether your main character is relevant, then at least deal with it once and accept the answer! In Skyfall we learned that you still want a man in the field. In this movie, we learn that you still want a man in the field (and, in case anyone was still not getting it, poor Ralph Fiennes in his role as a flaccid M spells it out literally).<br/><br/>While I liked both actors involved, I didn't care for the romance - the movie desperately wants to build it up to be something more than an just another Bond girl. That is an admirable idea, but since the result pales in comparison to the stellar romance in Casino Royale, it seems totally unconvincing when Bond sacrifices his entire career for her at the end. Holy moly - Bond settles down? For THIS girl? What an ending to Craig's character arc that started with Vesper's death (so much more meaningful than anything in any of the other Craig Bond films). Bam, all his emotional problems are solved, because he met a hot blonde. ""I've got something better to do than all this!"" (throws gun away, gets into car with whatshername). Gee, great ending.<br/><br/>All the interesting plot developments from Casino Royale and (and even Quantum of Solace to some extent), such as Bond's emotional state after losing Vesper and the Quantum organization, are chucked out the window. Skyfall discarded Quantum in favor of a good idea (Bond/M son/mother relationship) and a bad one (""is MI6 still relevant?""). Now, Quantum is back... Kinda. This time, it forms no threat at all - you see, it turns out this OTHER organization that THIS movie is about is even moar powerfuller. And it was really this other, super duper evil organization all along. Muahaha!<br/><br/>That is a tiresome plot twist if ever I've seen one. It completely missed the mark for me; it's weak to try and make your own plot look better by retroactively stating that all villains of the previous movies were really just pawns in this guy's game of chess.<br/><br/>And that's not the only aspect of Bond history that is severely diminished by this film. In Skyfall, we learned about Bond's youth, spent with an old Scottish dude named McAngus. I think. And, of course, his relationship with M.<br/><br/>This time, however, it turns out that Bond actually grew up in the Bavarian Alps with a couple of yodeling Germans named Oberhausen. Errr? Am I the only one confused here? (Possibly.)<br/><br/>Bond turns out to have a sort of surrogate brother, who is very blond, very German, and very jealous. Oh and he also happens to be a supervillain, with an enormous army, who somehow managed to stay absolutely hidden for all these years. There is a powerful and compelling reason for his having all these skills and resources: it's convenient for the plot.<br/><br/>And so, all previous Bond movies are reduced to one large scam operation, a plan by an Alpine superhero that makes absolutely no sense, in a failed attempt to give this movie a great villain. Christoph Waltz is a joy to watch, but he is never allowed to be a real threat. The man gets little to work with, as did Javier Bardem in the last one - criminally underused, awesome actors.<br/><br/>The film's tone was confusing. There is one gruesomely violent scene involving eyeballs - I don't enjoy seeing such aggressive violence, although here I seem to be in a vanishingly small minority. Call me old fashioned, but I was always happy that Bond films used polite violence: gentle fist fights until one guy faints, or perhaps someone shoots a gun and somewhere else, far away, someone falls to the floor.<br/><br/>Putting my personal feelings aside, it was jarring to have this scene be followed up by a cartoonish fist fight on a train, after which the eye-ripping guy is yanked out of a train by a rope, but not before realizing his predicament like Wile E. Coyote hanging over the ravine and saying ""shit!"". Is this a corny spy movie with train fights a la Bond vs Jaws? Where Bond leisurely glides a crashing airplane around for a few minutes and then humorously lands precisely on top of the bad guy's car? Or is it a somber drama about an aging man's career in a time when nobody knows whether spies are still relevant? Or does it want to be a raw, violent gangster film like Goodfellas, reveling in the sight of bad guys proving their credentials by maiming others?<br/><br/>Finally, I found the camera work jarring in many action scenes - shaky cam, etc. This may have been (partly) due to my sitting in the fourth row, though."
"kalle_ankare","1","122","185","4 April 2016"," Ronald Bond
","This movie is somewhat watchable if you manage to convince yourself that the hero is Ronald Bond, brother of the more famous and successful James Bond. Ronald of course, unlike his brother, is not the suave charmer and rascal type, but has more of a polish wrestler look and demeanor. This makes for some light comedy when Ronald is shown to be one of the few men that can't look smart and elegant wearing a suit, which incidentally only make him look more silly and distinctly out of place. Ronald also has to rely on fools luck more than skill and intelligence to save his ill conceived ways of handling things. At the start of the movie for instance, he manages to raze two entire blocks of houses whilst trying to perform the simple task of taking out a bad guy with a snipers rifle. Not only that, but he also manages to miss the intended target.<br/><br/>He then proceeds to chase said villain into a helicopter that takes off and flies around over a huge crowd of people. Unlike his brother James, who would simply have disposed of the bad guy and then asked the pilot to land at some convenient location, Ronald finds it a good idea to also try and take out the pilot at the same time although should he succeed, the heli would undoubtedly crash into the crowd. Fools luck saves him this time though.<br/><br/>We get another show of his ineptness later on when he escapes out of a window. Since the bad guys chasing him would have no option but to follow him the same route, his brother would undoubtedly just turned around, wait for them to exit and them pick them off one by one with his Beretta. Ronald here of course just continues running and tries to speed off in his car resulting in a car chase. Fortunately someone must have called in a bomb threat because the city, Rome, is almost completely devoid of people. I know this, because I have been in Rome, and there's people and cars everywhere.<br/><br/>Later on when a woman he has, like only an idiot can, fallen in love with at first site gets kidnapped by bad guys he proceeds to go after them in an aeroplane. His brother would of course just kept his distance, landed close to where the kidnappers cars stopped, and then snuck over to take care of business. Not so Ronald, he proceeds to attack them with the plane itself, seemingly without a plan. After failing miserably, as predicted, the plane crashes through a wood. Sheer luck however, not skill, eventually makes it so that he ends up at the same place as the baddies, most of them disposing of themselves in a crash, and thus lets him save the girl.<br/><br/>Ronalds plan for the end game has to be seen to be believed. After finding out somehow where the bad guy has his bad guy compound, Ronalds plan is simple; even though the villain knows his name, what he looks like and who he is, he will just go there, waltz right in, hope to be taken to the villain, tell him that he has come to kill him, and then do so. That's it, that's the whole plan. For some reason bringing a girl along also seems like a good idea.<br/><br/>The villain first does the obvious to thwart this ""plan"": send someone to dispose of this idiot en route. When this fails (on a train, incidentally also most likely bomb threatened, because like Rome before it, it's empty) this villain changes his mind for some reason, and instead of shooting the fool right in the face on sight when he arrives, proceeds to house him, give him a guided tour of his lair and then hit him over the head and torture him for a while whilst revealing some back story so ridiculous it must have had the writers rolling on the floor with laughter. One can't help wonder what Ronalds contingency plan was throughout all this. <br/><br/>The plot on it's whole is incomprehensible and stupid, apparently all the intelligence agencies in the world are about to pool into one giant data base that NONE of all the experts that thus must have been involved, with all their vast resources, have managed to find out is controlled by the bad guy. Incidentally, on the plus side, the bad guy also turns out to be an idiot who makes it only through luck. (watch how he miraculously survives not only the explosion of a hand grenade type watch (don't ask) thrown at him, but also the explosion of his whole bad guy hideout. (no explanation is of course given as to how he managed this) There's a fun sequence near the end that can only work if we assume that said bad guy spent some time printing out Ronald Bonds passport photo, as well as those of various friends and colleagues of his, and spent what must have been a considerable amount of time walking around a building taping these up presumable to unnerve Ronald when he arrives there. He also apparently went out to buy a spray can so the could spray ""Bond"" and an arrow on the wall. The latter implies that his plan actually hinged on the certainty that Bond would escape from the henchmen that captured him earlier on. There is however nothing that shows that the henchmen were intended to let him go so that he could reach this target, so why anyone would bother with the printing, spraying and taping when the odds of Ronald Bond actually getting there are extremely slim, is any ones guess.<br/><br/>All great fun though but watching James Bonds brother clown and clumsy his way through an adventure like this makes one long for an actual James Bond movie, it has been too long!"
"Dr_Sagan","Null","409","657","25 December 2015"," Mediocre and overbudgeted !
","Despite an initial action scene full of CGI that you can also experience in the trailer, this movie hasn't got too much to offer.<br/><br/>The main problem is the bad script and dialogs and the pretentious style which tries to keep the tradition of older Bond films incorporating some not-so-witty and cliché humor and ludicrous action sequences with nothing new to offer. Planes, helicopters, cars...Well we've seen it all before and in much better executions.<br/><br/>Also Blofeld (or should I say BLOWfeld), despite the fact he is the King of all previous villains, seems quite harmless.<br/><br/>Casino Royale (2006) is far more entertaining (I've watched it again recently) and engaging. Spectre is ""Meh!"" in almost every department including (unfortunately) the ladies.<br/><br/>Thomas Newman who serves as the composer of the film, is proved to be a bad decision too. At the beginning he tries to revive the good-old 007 theme in almost every scene and the outcome is sub-par to say the least. Later he replaces the music with the same note again and again (da-da-da-da-da-da-da). David Arnold did a great job in C.R. and should have been the composer in this too (although I doubt that he could save this movie).<br/><br/>And what's the deal with this lame song? Unsuitable for a Bond movie or any movie out there. Same goes for the same-o same-o intro sequence. The combination of these 2 makes it look like it was made by Liberace.<br/><br/>Overall: The whole movie is pale like the Pale King it mentions."
"Gurubu","3","175","295","13 December 2015"," Save your money this is a rental (if you must see it)
","Before I unload my barrage of critique against this film I would like to first state something. Whenever I watch a movie, and I have so many issues with it, I will take a step back and ask myself for what it is, is it at least a good action movie? The answer is no, it is not.<br/><br/>Good things about the movie: <br/><br/>High production quality and some good visuals / The intro sequence before the helicopter<br/><br/>**SPOILERS BELOW** -AVERT YOUR EYES!-<br/><br/>Problems with the movie: <br/><br/>1) You kill a bad guy, bad guys organization wants to kill the wife cause she's a loose end, Bond prevents the assassins, she finds out Bond killed her husband, then... she sleeps with him immediately. What? Sure she didn't love her husband but with all the stuff going down and after a powerful organization sends 2 assassins they have time to take a break and get busy? (possibly Assassins come in pairs and more arrive only after 30 minutes enough time to shag) <br/><br/>2) WASTED TALENT.<br/><br/>2a) Christoph Waltz. Such a great actor, with a horrible script. At the beginning they make him out to be a bada$$ in the shadows requiring to whisper things to underlings who then announce it to the rest of the group at a meeting. But then he randomly talks on his own because he can, and even has time to say hello to Mr. Bond in the crowd just as Bond realizes he's been caught, and manages to escape bumbling security guards. They attempted to make Waltz' character this mastermind who I was never afraid of, and he wasn't that menacing. For the leader of one of the most powerful organizations his master plans came off weak and his ruthlessness tame.<br/><br/>2b) Dave Bautista. They used him pretty good with his introduction and a fight scene in the movie, but the car chase scene was horrible. Bond was essentially talking to moneypenny on the phone about bad guys rap sheets while Bautista's character was chasing him down in a car (but he was more following Bond then attempting to shoot him or run him off the road). At one point during the chase scene Bautista pulls up next to bond and is looking at Bond and their eyes meet up... and nothing happens Bond pulls ahead. Is this a love story between two men or is this a bada$$ car chase scene where the bad guy is trying run him off the road/pound him into the ground? <br/><br/>3) This film has max level cheese that at times I could have sworn this movie was written by Bollywood writers. I don't mind a decent amount of cheese, but if you're piling it on and the expiry date shows 10 years ago there's a problem. 3a) Helicopter intro Scene 3b) save the girl or building blows up scene 3c) Bonds helicopter chasing vehicle convoy <br/><br/>4) Boring car chase and fight scenes (with camera tricks to make it look more epic which i'm not a fan of and its as bad as lens flares) <br/><br/>5) Bond falls in love with a woman he hardly knows (it didn't feel believable) but that's OK because he's ready to leave his life as a spy<br/><br/>6) The story felt all over the place, and at times Bond is purposely made to look weak and suddenly drinks a RedBull and tears it up 007 style. I didn't really connect with a lot of the characters either.<br/><br/>7) The instant you saw Bond towering over the enemy at the end you already knew he wasn't going to do anything they gave you obvious clues earlier on through M thats how it was going to play out.<br/><br/>I couldn't even disconnect myself from the flaws just to enjoy it as an action movie since it was overall boring. If you can't connect with the story, 2.5 hours is way too long for a few flashy scene's."
"harril-586-26745","1","397","700","22 November 2015"," A truly unexciting 'action' movie
","This is the worst Bond movie ever, filled with emotionless characters that I couldn't care less about. The pace of this film after a predictably exciting start is slow and boring. Unlike his fellow actors, Ben Whishaw as Q manages to portray the only believable human in this whole fake production. Why couldn't JB have been given a touch of Q's wit, humour or vulnerability? No wonder Daniel Craig wants out of this franchise - it's beneath his talent. Such a cacophony of totally forgettable dialogue, people and silly stunts is hard to imagine in a single movie and yet here it is. During one of the 'action' fights when James was being hammered by the evil assassin I noticed the person next to me had fallen asleep and was snoring. That person was an exceedingly eloquent critic."
"austinicity","3","88","146","13 February 2016"," I understand why Daniel Craig doesn't want to do another Bond.
","This is one of the worst Bond films. There was some good cinematography and an all star cast, but just God awful plot and story telling. I don't recommend seeing it.<br/><br/>I like all of Craig's Bond films, except this one. Actually, Craig is my favorite Bond actor. In the previous Craig films, they did a good job of using ancillary characters like M, Q and Moneypenny to augment his character so that that his missions seemed logically paced and not solely center on his prowess alone. They deviated from the traditional Bond by allowing him to have Blonde hair, who had a an experience worn face and body that did break down from wear and tear, who was detail oriented and mission driven. <br/><br/>While this film still tried to keep to it's current trend, it reverted back to just stupid unrealistic scenes, like Bond shooting SMG's with one hand from 200 yards out and saying clever one liners like ""You're bluffing,"" I lost track of how many helicopters were used in this film. How many times was bond apprehended and somehow able to break his 'bonds' from his captors and escape the villain's carefully planned exotic methods of execution? And it was 2.5 hours long; plus the editing made no sense of how they got from point A to point B. They could've at least had the villains die in extreme and weird ways, but no, a total let down even on that point. <br/><br/>This is a first time I've written a review and encouraged the audience members not to see this film. It reminds me the Die Another Day film with Pierce Bronson which was terrible, but they squeezed it in because he only had one film left on his contract. Forgivable, Yes, but I hope the producers have something better for the next Bond film seeing as they are pacing these releases 2.5 years apart, which a tight deadline."
"ma-cortes","7","22","33","22 January 2019"," Enjoyable installment in Bond series with lots of noisy action, thrills, emotion and spectacular scenes
","Nice entry stars Daniel Craig as the tough, two-fisted James Bond who takes on nasty organization nicknamed Spectra with a octopus-like symbol . After a risked and disastrous assignment in Mexico, Bond is suspended. But he goes on his activities by tracking down a massive criminal syndicate. Then Bond receives a cryptic message from his dark past, it sends him pitted against a sinister and criminal group. It is led by a terrorist chief, Blofeld : Chistoph Waltz who has an ancient relationship with Bond's own childhood. While Q , Ben Wishaw, delivers him some rare and fantastic artifacts to carry out his dangerous missions. Shortly after, MI6 chief M : Ralph Fiennes is replaced by another boss, Andrew Scott. Later on, Bond meets the beautiful daughter, Lea Seydoux, of a long time enemy and then things go wrong.<br/><br/>Once again Bond confronts an ominous and bloody organization with terrorist purports . This film takes parts of other 007 episodes as the violent fight between Bond and a hunk contender : Dave Bautista on a train , similar to Sean Connery versus Robert Shaw in From Russia with love. And the impresssive finale including the stronhold facility in the sunny desert and its destruction bears remarkable resemblance to Quantum of solace. Nicely played by Daniel Craig, this is his fourth entry, first was Casino Royale, following Quantum of solace and Skyfall. He is well accompanied by a young Bond girl, Lea Seydoux, and another Bond woman, the mature Monica Bellucci, the eldest Bond girl. The heinous leader of the powerful organization Spectra is magnetically performed by usual villain Christoph Waltz. Adding regulars of the old franchise as M well played by Ralph Fiennes, Q finely acted Ben Wishaw and Naomy Harris as Moneypenny.<br/><br/>The film packs a colorful and glimmering cinematography by Hoyte Van Hoytema, shot in various locations as Mexico city, Austria and especially in London. As well as pounding and rousing musical score by Thomas Newman. The motion picture was well directed by Sam Mendes, though with no originaly. Mendes is a good director who has made some successful films played by important actors, such as : Jarhead, American Beauty, Revolutionary road, Road to perdition and another Bond movie : Skyfall. Rating: Above average. Well worth watching."
"Fan-of-Rare-Movies","7","188","348","5 November 2015"," Not a masterpiece - but an entertaining love letter to the classic Bond films peppered with a healthy dose of irony
","First off, let me get something out of the way here: I like to be entertained. Entertainment, as we all know, comes in different shapes and sizes; it can be smart, profound, intellectually stimulating and so forth – or it can just be escapist fun. Now what kind of entertainment you expect from a James Bond film is up to you; as for me, I go with fun. Regrettably, the last three 007 instalments fell a bit short in that department (at least for my taste), and since I expected this new film to be more of the same, I didn't exactly get my hopes up. <br/><br/>Well, I can only say I was pleasantly surprised (although judging from most reviews here, I seem to be in the minority). Instead of further exploring the somewhat dark, dramatic route the previous three films took - which, I must admit, worked very well in Casino Royale - Spectre unexpectedly goes in the exact opposite direction. Sam Mendes and John Logan apparently came to the conclusion that it was time to bring back one of the most crucial ingredients for Bond's success with audiences over the years: the fun.<br/><br/>Don't get me wrong; it's not suddenly ALL fun and games for Her Majesty's finest spy (and Craig still portrays him as a character driven by inner rage) - but the new film is a virtual celebration of the whole James Bond universe, from past to present, including the less grounded and over-the-top elements from the older films. In fact, after a stand-out intro sequence in classic fashion, the spy with a license to kill takes us on a ride which - tonally - feels like travelling back in time to the glory days of such classics as You Only Live Twice, Goldfinger or From Russia With Love (and it's a ride back in time in more senses than one).<br/><br/>This is supposed to be a spoiler-free review, so I won't go into any of the story details, but what unfolds after the introduction plays like a combination of the more grounded, serious Bond we've come to associate with Daniel Craig's films, and the more self-aware spy-romps of the Roger Moore era. It's a mix that doesn't always work and tone and pacing can be a bit uneven at times (especially during the third act), but Spectre largely succeeds in paying homage to many of the classic Bond films while still delivering the gritty action people come to expect from the newer instalments and staying true to the character Craig has so successfully made his own. And despite all the references and callbacks to classic 007 adventures, Spectre still manages to continue the storyline of the three previous films. So while his second entry in the world's longest living franchise is far from a perfect film, I believe Sam Mendes achieves exactly what he wants: he intentionally embraces the old Bond formula, but he also plays with it, twists it and introduces new story elements. <br/><br/>So my verdict: Spectre is a love letter to the classic Bond films, and while it might not be the masterpiece many people seem to have expected, there is a lot to enjoy here. It's a solid, almost classic Bond film with insane action, great set-pieces and a fantastic cast; upon first viewing, I'd rate it 7 stars out of 10.<br/><br/>Rare Film Gems For Cinephiles: http://www.imdb.com/list/ls070242495/"
"jjoffe","1","380","745","8 November 2015"," B for boring, very very boring.
","Wonder what the refund policy is at Premier Theaters. Of course they are not responsible for this fiasco. It just went on and on and on......plot meandering went nowhere...actors mumbling...no suspense, just one predictable scene after another. Some of the scenes looked like they were shot on my grandpa 8mm Kodak movie camera. And to boot, the ""reality"" of the fight scenes would meet a standard of a 5 year old. We all know this is not a documentary, but when Bond / Craig get pummeled by the bad guy on the train and his tie stays in place and he suffers not a scratch or a black eye where is the realism...The Islander aircraft flying with its wings clipped outboard of the engines?????.Come on Broccoli team - is this the best you can do? Sean Connery is rolling his eyes and chuckling at the new low in Bond movies. Wasted evening, could have snoozed on a couch instead of a movie theater. Now, let us face it..10 lines of comments on this almost two and a half hours of boredom is a task that even Sam Mendez could not master."
