"username","rating","helpful","total","date","title","review"
"naveen64","7","232","275","14 August 2019"," An original homage that helps break the current biopic trend
","After being subjected to a number of films documenting the lives of musicians - most notably ""Bohemian Rhapsody"", ""Rocketman"" and ""Rolling Thunder Revue: A Bob Dylan Story"" - it is truly a pleasure to be presented with a film that sheds light on the work and life of an artist while not adhering to the strict (though desirable) biographical approach. That is exactly what makes the piece so marvellous; I came out of the cinema with a greater appreciation of The Beatles, and their music, through a fictional story that did not feature the four men we are familiar with at all. Quite often the film achieved my admiration for the band without me consciously noticing.<br/><br/>On another level, the film made a satire of the modern music industry. It revealed how the apparent ""solo"" artists are far from their titles; with huge teams of people pushing them in a preferred, and more commercial, creative direction, taking the musicians' creative power. This was done in a humorous light (as most themes are presented in the film). The romantic aspect of the film is evident from the beginning and is a dominant aspect of the story, possibly shifting the focus of the piece a little too much. However, it still helps provides a satisfying ending.<br/><br/>The film pays a great amount of respect in a fresh way while cleverly interweaving other conflicts."
"TheLittleSongbird","7","36","42","3 December 2019"," Troubles seemed far away after watching
","There were three main reasons really in seeing 'Yesterday'. The alternative world scenario sounded truly fascinating, one of the most fascinating concepts in recent years to me and a refreshing change from the remakes and sequels constantly made today. Like to love a lot of Danny Boyle's previous films and find him a talented director. The Beatles are not all time favourites but do appreciate him highly, understand their influence in music and like a lot of their songs a lot.<br/><br/>While it could have done more with its concept, 'Yesterday' turned out to still be entertaining and charming that put me and my sister in an uplifting mood leaving the cinema. Had not had an easy day, or week even, up to seeing the film, so 'Yesterday' was a much needed and appreciated antidote. As far as films released in 2019 go, it is neither one of the best or worst in a hit and miss year and somewhere around solid middle if having to rank.<br/><br/>'Yesterday' is a slick looking film, not exemplary but never cheap. Lily James looks great and the camera clearly loves her. The music of course is fantastic, it is The Beatles after all, with some of their greatest hits exuberantly performed, making one want to sing along regardless of whether they know all the words or not. ""Hey Jude"" is one of the most memorable examples. The script balances amusing comedy and never over-sentimental drama without making it too cartoonish or mawkish (well mostly).<br/><br/>Story-wise, 'Yesterday' captures the feel-good spirit affectionately and the portrayal of the music industry was fun and didn't get over the top. The John Lennon bit is a highlight. Boyle has done better and more inspired direction, but still directs at a crisp pace and balances things quite well. The performances are good, a truly charming James coming off best. Himesh Patel has come on a long way since 'EastEnders' while Kate McKinnon is riotous in the manager role.<br/><br/>On the other viewpoint, the concept was so fascinating and while it is always engaging the story is predictable and a bit too ordinary. Especially the final third, which is pretty much exactly as one would expect.<br/><br/>Ed Sheeran's ""extended cameo"" for my tastes was rather puzzling and didn't seem to gel with everything else.<br/><br/>All that aside, it was an enjoyable film on the whole and worth seeing. 7/10"
"oshanda","6","496","664","1 July 2019"," Could have been great
","The original premise of the movie was fantastic - only one man knows that The Beatles ever existed and brings their music to the world.<br/><br/>It could have been really really great. Unfortunately the idea was under developed, it felt as if the film's makers weren't quite sure what to do with it.<br/><br/>It ended up being ""nice"" and ""sweet"" when it could have been brilliant."
"leobryan-03453","6","250","329","13 July 2019"," Interesting concept. Awkward execution.
","It was a great idea and in some ways the film made the vision work. I just don't think they did enough with it though and instead fell back into the traditional love story formula. The music helped carry a lot of it through (unsurprisingly). What they missed was it wasn't necessarily the songs themselves but the era in which they came out and the meaning of the time. Movie just presented it as almost instant stardom if today's world heard the songs which lets be honest today's generation wouldn't understand half of it. It didn't really present a clear vision of ""why"" which I was looking for towards the end to help tie things up. Lights go off on the planet he takes a bump on the head then the Beatles never existed? Alternate universe? Dream? Thought there would've been something more there. There were a few things that bothered me with the story that the movie made it seem like they were pieces to the puzzle but then never did anything with them. First is through the film he also finds out other things don't exist as well such as coke, cigarettes, the band oasis, and Harry Potter. It seemed like these things were going to connect into the story and why the Beatles music isn't present but they just left it there and he kind of says ""oh well"" and nothing comes of it. The second was he finds out there are two others that also know the Beatles music and again seems like this should be a big part of the story to tie things together as to a bit of ""why"" but they just have a conversation about it she gives him an address and then that's it. His conversation with what I think is supposed to be John Lennon didn't make sense either. Does that mean the other 4 exist? Did they never meet to make music? Just all added up to a great idea that worked early in the film but didn't follow through properly. All my opinion of course"
"jkanderson-74461","10","352","470","29 June 2019"," The antidote to sequels and super heroes
","Refreshingly original and entertaining. The story flows and the characters are relatable and well developed. Not what I expected from the trailer but I liked it better than what I expected. So nice to see someone take a chance on an original story."
"cizewski5","9","238","316","28 June 2019"," Could've Been Hokey, Turned Out Great!
","I went into this wondering if they were going to explain the whole premise with it being a dream or such? Was he going to get caught and crucified for it? Was he going to get the girl, lose the girl? So many movies are fixated on realism and difficulties and negativity. Yes, he faces several difficulties. But, the movie is light and beautiful with fantastic music. If I want realism, I watch a documentary. This is what I go to the movies for. Really well done!"
"bob-the-movie-man","10","292","407","21 June 2019"," ""Well, I'll bet you I'm gonna be a big star"".
","There are some movies that when released simply don't need a big marketing campaign. Just a few words of description of the plot are enough to put it on your ""must see"" list: ""A struggling musician has a cycling accident during a freak global blackout and wakes to a world where noone other than him remembers the Beatles or any of their songs."" When I heard this I said to myself ""yes, Yes, YES""! But would it live up to my expectations?<br/><br/>This is a Richard Curtis penned film, and that's immediately enough to put a tranche of movie-goers off. All his movies have an accent on the uplifting, the positive and/or the whimsical, and I can understand why that winds some people up. If ""Richard-Curtissy"" was an adjective, and I think it should be, many of these films can be so classified.<br/><br/>Here, although again very Richard-Curtissy, I think he gets the mixture JUST RIGHT.... ""Yesterday"", for me, was a complete joy from beginning to end.<br/><br/>I imagine Curtis getting this story from a rowdy dinner party round his gaff. He asks his guests, over the third bottle of dessert wine, to play a wild and fantastical ""what if"" game (in pursuit of the ""very good"" spare brownie of course). At this particular event, I guess it was co-story-author Jack Barth (in his movie-writing debut) that made the successful attempt to ""hog the brownie"". For the premise of ""Yesterday"" is quite brilliant, whilst at the same time being utterly bonkers too!<br/><br/>That being said, the story is not completely original. I thought there were many similarities to the Ricky Gervais vehicle of 2009, ""The Invention of Lying"", where Gervais alone finds he suddenly has the ability to tell lies, and finds ill-gotten fortune and fame as a result. Much like that earlier film, much of the joy here is in the recognition of the gift given and the dawning realisation of what this might actually mean to him. As such, I found the first half of the film a lot more enjoyable than the second.<br/><br/>The conundrum facing Jack is to remeber all of the Beatles songs and their lyrics (without having Google as a reference), and much fun is had with him stumbling into situations that suddenly remind him of a new track or a particular snatch of lyric.<br/><br/>There is of course an obvious explanation for the whacky storyline, since the hero has received a potentially serious head injury. But would the film go there? (No spoilers here).<br/><br/>Himesh Patel is from TV's ""Eastenders"" but here makes his movie debut. He is perfectly cast as Jack Malik: in the film, he's a name about to rise from utter obscurity as a Lowestoft retail assistant to global superstardom. Patel is charming and believable as he squirms with his conscience. A surprising and touching beach scene in the final reel of the film is exquisitely acted.<br/><br/>The ever-watchable and utterly gorgeous Lily James here goes brunette: she was actually unrecognisable to me from both the trailer and the poster! Here she makes a very believable high-school teacher with a side-line in management and roadie-ing.<br/><br/>I found Ed Sheeran's cameo in ""Bridget Jones Baby"" to be excruciating! But here, in what is quite an extensive part, he is much, much better. I think he's been getting lessons.<br/><br/>One of the slight disappointments with the film is that it is a Danny Boyle film that doesn't FEEL like a Danny Boyle film. Aside from some inventive on-screen titles, I didn't detect much of the stylisation that I would expect from one of his films. Yes, there are occasional flashes of genius - for example, the scenes where Malik is desperately trying to remember the lyrics of Eleanor Rigby, and those of him watching, big screen, his own social-media led rise to super stardom. But otherwise, the visuals and storyline are pretty linear in nature.<br/><br/>Although there are cloyingly gooey bits of this film, the element that weaves it all together - such that ""all is forgiven"" in my book - is the magical music and lyrics of McCartney, Lennon and Harrison.<br/><br/>Was there a better year to be born that 1961? (Well, possibly the mid- to late- 50's so you were old enough to remember more of it). But although only a child aged between two and nine during their album releases, I felt the benefit of three older siblings who WERE able to fully embrace Beatlemania. And the film delights with its modern day recreations of the classic tracks and, as already mentioned, Himesh Patel belts them out wonderfully (especially, I thought, with ""Help!"").<br/><br/>I can't not give this one 10 stars. I simply loved it, and can't wait for its general release (in the UK, on June 28th 2019) so I can go and love it all over again. Is it technically a 10-star film? Possibly not, but sometimes you just have to go with the way a film makes you feel, not just as you walk, whistling, out of the cinema but for the whole of the next 48 hours and (I suspect) longer. In summary, he loves it. ""Yeah, yeah, yeah, yeeeeeaaaaaah"".<br/><br/>(This is an edited version. The full graphical review is available on ""One Mann's Movies"" on t'internet or Facebook. Please consider checking it out. Thanks!)"
"martimusross","6","139","194","20 June 2019"," The Movie Was OK, The Music Was Brilliant
","Yesterday<br/><br/>So much of this movie was charming, brilliantly acted, and inventive, however somewhere around the middle of the movie, (the missing the train scene) it just turned into a big farce. The plot just became unbelievable, it also turned corny and over-sentimental. Of course I accept the whole movie was built on supernatural premise but what follows must hang together and keep the audience rooting for our hero.<br/><br/>What was good:<br/><br/>1, I loved the music, I think this made the movie.<br/><br/>2, Jack Malik, played by Himesh Patel, did a fine job, he has mastered irony and deadpan, we were all wanted this antihero to have his dream.<br/><br/>What was challenging;<br/><br/>1, the plot was either so corny or so contrived, some plot twists were just unnecessary and added nothing.<br/><br/>2, Elle, played by Lily James, lost our sympathy, she was presented as needy and pathetic and just as the culmination of him achieving ""their"" dream, she tries to make him choose between his dream and her.<br/><br/>3, The conclusion was unsatisfactory, he wanted to be a musician and was fabulous at it, he ended up a teacher, big mistake.<br/><br/>Overall, the was an overly contrived feel good movie, I enjoyed whilst I was watching it, but feel cheated and unsatisfied at the end."
"trenmast","5","183","262","1 September 2019"," I really, really wanted to love this one
","What a great premise totally wasted by a mediocre screenplay.
Acting is good, but everything else falls flat. Sheeran's participation doesn't really make any sense. He should've been just a cameo...<br/><br/>All in all, a big disappointment."
"krazy-mm","8","138","196","27 June 2019"," Feel-good movie and a real crowd pleaser. I love it!
","Saw it at my cinema in Lovran, Croatia just a few hours ago, so it's still pretty ""fresh"" while I'm writing this.
The whole idea is great, haven't seen those yet in mainstream cinema. The plot is pretty much straight-forward, with likeable characters, great music (of course) and when the movie was over, it left me with good feeling and a smile on my face still singing Hey Jude.<br/><br/>All actors are really good, but Lily James is so adorable in this movie! She shines in her character and steals every scene she is in. Liked her the most (obviously).<br/><br/>Take your girlfriend/boyfriend/friends/family to see this rom-com fantasy music comedy in cinema on a big screen, and even if you won't like the movie, you will sing Beatles songs after and feel good about it (guaranteed)!"
