"username","rating","helpful","total","date","title","review"
"Buck_Thruster","Null","187","204","12 April 2004"," The last good WW2 film made by people ""who were there""
","This is perhaps one of the most ambitious, epic WW2 films to have been made; certainly it is the last of the classic B&W films made about the subject. Featuring an all-star cast (John Wayne, Richard Burton, Kurt Jurgens... even a cameo by Sean Connery!), it comprehensively details the build-up and execution of the Normandy landings in 1944, taking care to show how the event was perceived by Allied and Axis soldiers and commanders, as well as the Free French resistance.  This is a film that takes great care in documenting the events of the day, without lapsing into sickly sentimentalism or getting distracted with fictional characters' personal lives (a failing of many WW2 movies since about 1970), or over-emphasising any one nation's importance in the operation (although, admittedly, Canadians may feel a little short-changed).<br/><br/>Classic moments abound, notably the landing at St.Mere-Eglise and the soldier who gets caught in the church steeple, the frustrations of the front-line German commanders and fighters, and the numerous cameos for film nerds to keep track of.<br/><br/>If you want a wartime romance, or an appearance by Matt Damon or Ben Affleck, or long, loving shots of the Stars & Stripes in slo-mo, or a gritty blood'n'guts fest, you'll be disappointed.  This film has broader concerns, and was made with much more thoroughness.  There is no agenda at work here, pro-war or anti-.  It is solely concerned with documenting Operation ""Overlord"" for the film-going public, and succeeds brilliantly; a shame then, that it has not made the top 50 war films list.<br/><br/>A must-see for any fan of war films."
"ma-cortes","8","43","47","21 December 2007"," Spectacular recounting about the D-Day landings at Normandy on June 6, 1944, based on Cornelius Ryan novel
","This an important, interesting movie depicting the Overlord operation with monumental logistic and means of effecting the Normandy landing , the most difficult campaign of war . The picture brings to life the famous images of WWII and splendidly the most sensational military operation of the history in an Allied hard-fought effort . The film develops the previous days to the D-Day invasion , such as the landings and the advance over France . The film is magnificently produced in big budget by the great 20th Century Fox producer Darryl F. Zanuck . Evocative cinematography by Jean Bourgoun and catching song by Paul Anka with musical score by Maurice Jarre . Excellent casting by a great plethora of stars . Special mention for John Wayne as Lt. Colonel Benjamin Vandervoort , he's top-notch as a tough , valiant officer in this believable war film and terrific acting by Richard Todd as Major commanding Us paratroopers dropped to protect the flanks of the invasion and taking strategic bridge . Furthermore , known Generals and officers played by prestigious players , as Germans : General Gunther (Curt Jurgens) , Field Marshal Erwin Rommel (Hinz) , Field Marshal Von Rundstedt (Paul Hartmann), and Allied : Brig. General Theodore Roosevelt Jr (Henry Fonda) , Brig. General Norman Cota (Robert Mitchum) , General Haines (Mel Ferrer) , Brig. General James Gavin (Robert Ryan) , General Raymond Barton (Edmond O'Brien), Lt General OMar N Bradley (Stuart) , General Bernard L Montgomery (T. Reid) and General Dwight D. Eisenhower played by Henry Grace . Grace was a famed set designer , while he worked extensively for many films , his only appearance was an uncredited performance as Eisenhower ; despite not being an actor , he was cast for his uncanny resemblance to the General . This famous event from how was orchestrated the dangerous , risky landing maneuvers was professionally directed by a magnificent trio of directors , Ken Annakin , Bernhard Wicki and Andrew Marton.<br/><br/>Adding more details along with the well developed on the movie , the events that happened on June 6, 1944 were the following ones : Shortly after midnight on June 6, about 23.500 US and British paratroopers landed along the edges of the landing beaches . Their mission was to seize vital bridges and communications centers. They also had to hold off any Germans counterattacks until they were relieved by the amphibious forces. The Airbone landings were largely successful. Some US troops missed their target and end up scattered over the countryside. The main amphibious landings took place after an artillery bombardment from some 200 Allied warships at German positions also came under attack from Allied medium and heavy bombers. They were part of the 11,500 aircraft committed to D-Day. They bombed the Germans on and behind the five landing beaches. US troops landed on Utah beach. Strong currents and inaccurate navigation meant that they were a little away from their precise target. They landed about 1 mile (1,6 km) south. The beach there was relatively undefended. The troops soon knocked out the only concrete gun position guarding the beach.Demolitions teams cleared paths through the obstacles the beach and the first tanks crossed the Atlantic Wall. They fanned out into the countryside to link up with the paratroopers. By nightfall of D-Day some 23,000 men and 1,700 vehicles had gone ashore. The beach had been highly congested for much of the day. Utah was a triumph ,however Omaha beach was nearly a disaster, the fight was the most difficult. The Us troops were unable to get off the beach to make room for later waves of invaders. There were better defenses there than on the other beaches, and the German defenders were positioned on high ground, from where they could pour fire down on the attackers.The allies also made mistakes. The naval bombardment ended too soon, and the bombers missed their targets and launched landing crafts and amphibious tanks too far out from the beach, may were sunk. When the first assault wave landed ,it faced a bar-rage of fire , some men were thinking of evacuation. However small groups began to make it off the beach to the high ground beyond. By dusk, some men were ashore, most were still crowed on the beach. The high ground beyond was only thinly held by exhausted survivors waves. Some 2300 US troops had been killed in the landings. The operation had come close to disaster. The three Anglo-Canadian beaches-Gold, Sword and Juno stretched fore some 25 miles. They were wide and open and ideal for amphibious landings. The British on Gold and Sword quickly crashed though the Atlantic wall. Their success was due partly to a range of specially developed armored vehicles known as Funnies. The Canadians at Juno had a tougher time. They faced rough seas and alert defenders .By late morning ,they were also pushing inland. Despite the horror of beaches , overall Allied losses were far lower than expected. Some 6000 US personnel were killed, wounded, or missing, along with 4300 British and Canadian troops. German losses totaled between 4000 and 8000. By the day's end ,some 128000 Allied soldiers were ashore and many more were on their way."
"tggilchrist","Null","15","15","3 September 2011"," Candian Presence in The Longest Day
","The previous comments about Canadian participation in the Normandy invasion were significant - insofar as there weren't very many. One of the five Normandy beaches was Canadian (Juno), but there is almost no mention of this in The Longest Day, and I'm sure that one would be hard pressed to find many Americans (and not a whole lot more Canadians) who know this. Unfortunately, it is movies such as this and other popular media that shape the historic knowledge of people on both sides of the border. In the near absence of Canadian content, I find it ironic that a young Canadian (Paul Anka) not only played a part in the movie as an American soldier, but also wrote the theme music. I find it also ironic that the legendary rifle used by US soldiers during WW2 and shown in this movie was designed by a Canadian as well (Garand is a French Canadian name). The cruelest irony, of course, is the fact that thousands of Canadian soldiers were maimed or lost there lives on 6 June 1944 and the days thereafter, with virtually no acknowledgement in this movie. I have always enjoyed watching this movie, but it is unfortunate that I must use my imagination to see in it the heroic and selfless wartime effort of my father's generation, in similar fashion to viewers in the US and UK."
"Nazi_Fighter_David","10","78","90","1 October 2002"," An absolutely remarkable film...
","'The Longest Day' is June 6, 1944, the day the Allied assault on Hitler's Fortress Europe... And when it came everything went much according to plan... But fighting through the tough country of Normandy took much longer than had been expected...<br/><br/>Dwight D. Eisenhower, the four-star Supreme Commander of the Allied Expeditionary Forces, made up the force of some two million men massed in England for the strike at Europe...<br/><br/>Combined American, British, Irish and Canadian forces assault the beaches of Normandy in an effort to gain a foothold on the continent... From the viewpoint of the Americans and Germans involved, the story unfolds through numerous episodes highlighting the 'Longest Day.' We see the commands posts occupied by the Germans; Caen, the starting point; the French underground network; Omaha Beach; Utah Beach; Ste-Mère-Église; as well as sites and camps in England...<br/><br/>The film is a clear examination of D-Day looked at from almost every viewpoint, particularly from that of the Germans who are overwhelmed by the forces brought against them... It is in fact Field Marshal Erwin Rommel (profiled against the French beach thoroughly planted with mined obstacles) who looks out to where the invasion fleet will appear later-or sooner, and gives the film its title: ""The first 24 hours of the invasion will be decisive... For the Allies as well as the Germans, it will be the longest day.""<br/><br/>In the first half, much attention is focused on the weather, as the troops... American, British, Irish, Canadian and French are poised on board their boats and ships, waiting for the rain to stop... In the key scene when Gen. Eisenhower (David Grace), makes the decision to go ahead with the invasion on June 6, more than 5,000 ships moved to assigned positions... The importance of time is emphasized by increasing the ticking of a clock... On the other side of the channel, the German generals, who know the invasion is imminent, see the same nasty weather and decide to take some time off for war games...<br/><br/>French Resistance fighters receive their coded instructions from BBC radio and increase their sabotage activities... Much of the early going is also devoted to some of the Allies' more unorthodox ideas, the kinds of things that make more sense cinematic ally than militarily: the use of metal clickers by paratroopers for identification, and parachuting mechanical dummies loaded with firecrackers behind German lines to create confusion...<br/><br/>The film reaches its peak when the two sides in the battle are finally engaged...<br/><br/>The first assault wave hit the Normandy beaches at 6:30 A.M. on June 6... The soil of France looked sordid and uninviting... Planning has been as complete as possible, but in the vast confusion of invasion under enemy fire, so many men fell uselessly when they left their landing craft, and stepped into water... Others fell into underwater shell craters and drowned...<br/><br/>The Allied air bombing that was to have knocked out German beach defense guns had not been accurate, especially on Omaha Beach where the bombs had been laid down too far inland to do much good... As a result, the gunfire that met American troops there was more murderous than anything they had been prepared for..<br/><br/>Today it is difficult to watch the invasion scenes and not compare them to the opening of Steven Spielberg's 'Saving Private Ryan,' but that really is unfair... Zanuck manages to display the image of thousands of young soldiers who were killed fighting to liberate France... <br/><br/>A long aerial shot from the point of view of a German pilot Josef 'Pips' Priller (Heinz Reincke) strafing Normandy Beach reveals a shore-line of successive waves of men running for their lives trying to secure Omaha Beach... This awful waste and destruction of war: scores of trucks and boats hit by shells, or sunk by mines with their crew lost... Trucks overturned and swamped, partly sunken barges, and many jeeps half submerged... <br/><br/>Field Marshal Rommel set to work to do everything possible to make the beaches if not impregnable, very uninviting indeed... 'The war will be won or lost on the beaches,' he states... The German command was slow to react to the invasion... They had been misled by the weather and the Allied deception plan that Normandy was a diversion and the main landing would be at Pas-de-Calais...<br/><br/>Shot in CinemaScope and in black-and-white, 'The Longest Day' captures the history of the moment... The film tracks the book very closely, shifting the viewpoints from German to French to American to British throughout... In three hours Zanuck and his staff expand on the scope of one day, to tell mostly everything, with an exceptionally strong cast playing cameo roles... The cast could not be better, in spite of the brevity of their roles: <br/><br/><ul><li>Bourvil is the French Mayor of Colleville who welcomes the British soldiers with a bottle of champagne...</li></ul><br/><br/><ul><li>Irina Demick is Janine Boitard, the sexy good-looking Resistance member...</li></ul><br/><br/><ul><li>Henry Fonda is Theodore Roosevelt Jr., the Brigadier General who limps ashore with the first of the assault boats landing on Utah Beach...</li></ul><br/><br/><ul><li>Christian Marquand is Philippe Kieffer, the French Commander in desperate situation in Ouistreham...</li></ul><br/><br/><ul><li>Robert Mitchum is Norman Cota, the Brigadier general who chops on his cold cigar, and walks along the beach and rallies his men... Mitchum gets some great lines and delivers them with the right amount of idealism and cynicism...</li></ul><br/><br/><ul><li>Richard Todd is John Howard, the major who lands by glider at Bénouville to capture the canal bridge over the Orne River...</li></ul><br/><br/>All the characters speak in their own languages... The motion picture is Winner of two Academy Awards for Cinematography and Special Effects, Zanuck's 'The Longest Day' is one without doubt an absolutely remarkable film, one of the most impressive and most authentic documentation of war ever put on film..."
"mrcaw1","Null","11","11","27 April 2004"," Classic WWII Film!!
","The Longest Day (1962) - CO-Directors: Ken Annakin & Andrew Morton Everyone knows this was producer Darryl F. Zanuck's baby and it earns its place in cinema history as one of those epic style movies that treats its subject matter with the most serious of attitudes. Obviously a war is no laughing matter but, for better or worse, movies tend to simplify logistics while highlighting emotional chords, such as bravery and homemade apple pie. Zanuck, however, wanted the audience to understand the scope and grandeur of an enterprise like D-Day.<br/><br/>Utilizing a cast of thousands, half of which seemed to be cameo appearances by major stars of the day, Zanuck presents on wide screen all the action and turmoil that surrounded this turning point of WW II. The ever-fighting Republican John Wayne is there, along with Democrat Henry Fonda, tough guy Bob Mitchum, brooding Richard Burton, sexy Sean Connery and pit bullish Rod Steiger.  Still for my money, one of the best landing on the beach scenes ever filmed.  Sorry Mr.Spielberg. (B&W)"
"sawyertom","Null","88","107","16 March 2003"," One of the Greatest War Films Ever Bar None!!!
","The Longest Day is one of the greatest war films ever. Bar none. The  acting, the cinematography, the storline and the acuraccy are great. if  any of you fans watch AMC watch the Backstory behind this movie. It's  amazing that it was even made. This is Zanuck's greatest work. The  perspective from the different combatants regardless of their rank is  great. Like somebody else said it did not portray the Germans as  cartoonish evil doers. It gave a good honest portrayal that I wish more  war movies would have. As a history buff I love to see movies from  other countries soldier perspectives. This captures it better than  every other war movie. The only one that comes close is Tora, Tora,  Tora. There is one drawback however and that is the rangers at Pointe  De Hoc. They did find the big guns but,they were further inland and  later destroyed before they could be used. Zanuck used this to show the  futility and waste of war. Other than that is a classic with very few  flaws. The comparison between SPR and TLD are well like comparing  apples and oranges. Yes, SPR has gritty realism that stuns you, but  like another reviewer said, this was 1962 and the movie was about the  entire scope of the battle. It was not meant to be up close and  personal like SPR. Many of us  appreciate movies from different perspctives. This is not a movie you  should not rent. You should own it as part of your video collection.  This movie may appear to be pro-war and patriotic, but Zanuck himself  said he wanted to make an anti-war film. I think he did so  magnificantly. He captured the essence of the book where Cornelius Ryan  said he wrote about the men,not the battles. That is why Zanucks film  is so successful. He captured the men and their feelings, whether they  were American, British,German's or French and what they were feeling  going into one WW2's most decisive battle. This is a Four Star  Classic!!!!"
"phantomsteve_","8","54","65","2 May 2004"," Still a classic after 42 years!
","Invariably compared with ""Saving Private Ryan"" (SPR), this scores over the more modern work because of the focus on all the major sides of the action (British, American, French and German).<br/><br/>All languages are used (with subtitles as appropriate - eg the Germans speak in German, etc).<br/><br/>While true that the battle scenes are not gory as SPR's, and that the sounds of battle are muted during the dialog (unlike SPR's), it should be borne in mind that in '62, the audience rating of the time *was* a General Release (""G"" in the US, ""A"" in the UK (I'm guessing for the UK, but it is now PG)) - which more detail would not have allowed.<br/><br/>I think part of the purpose of this film is to allow *everyone* to see what happened 18 years before!"
"cariart","Null","15","16","9 August 2003"," An Unforgettable Overview of an Epic Battle!
","'The Longest Day' is perhaps the greatest dramatic record of one of the defining moments in world history. After the intimacy of 'Saving Private Ryan', many critics have accused it of being a 'sanitized' version of the Normandy Invasion, but it is a different kind of film, entirely! While Steven Speilberg's aim was to personalize the horror facing the first wave of troops to hit the beach, Producer Darryl F. Zanuck, a D-Day vet, himself, wanted to create a mosaic of the myriad of personalities, events, and experiences that shaped the day. It is a film that looks objectively at all the forces who fought this epic battle, wisely casting major stars of each country to portray actual and fictitious characters. This was a bold move at the time, as subtitles are used extensively, giving the film has a uniquely international flavor. This is not your usual war film with 'American actors doing funny accents'!<br/><br/>
There are many standout performances; a few that deserve particular recognition are Richard Burton's war-weary RAF pilot, the last survivor of his original squadron; Dietmar Schönherr as one of the few remaining Luftwaffe pilots, faced with the impossible order of stopping the invasion with two airplanes; Jeffrey Hunter, a young sergeant who is 'Dear John'ed and faces the horrendous Omaha landing; a pre-James Bond Sean Connery as a cocky Irish infantryman; Red Buttons, as a paratrooper whose chute snags on a church tower, and is forced to view the carnage as Germans annihilate jumpers dropping into a French town square; and John Wayne (himself a war film icon), as Lieutenant Colonel Benjamin Vandervoort, the Airborne commander, who impatiently waits for the 'Go' order, then breaks his ankle jumping into Normandy.<br/><br/>
Filled with drama, humor, and pathos, 'The Longest Day' works on many levels, and is never dull! Over forty years after its initial release, it's semi-documentary style still seems as fresh and engrossing as ever, and works equally well viewed by itself, or paired with 'Saving Private Ryan'.<br/><br/>
It should be an essential part of your film library!"
"bkoganbing","10","61","77","7 August 2006"," ""Gentlemen, We Start the War from Right Here.""
","Simply put if things had gone differently on June 6, 1944 we would be living in a very different and very much uglier world than we have now. The Longest Day is Darryl F. Zanuck's tribute to all who were involved in Allied invasion at Normandy.<br/><br/>Even viewing it now as opposed to the theaters back then back then I am staggered at Zanuck's incredible eye and grasp for the detail of the Normandy invasion. He did the smart thing and not only bought Cornelius Ryan's standard account of D-Day, but got Ryan to write a very coherent screenplay. Even one who has absolutely no grasp of military history will be able to follow exactly what was going on.<br/><br/>Several of the people who are portrayed in the film also served as technical advisers of it. When you Peter Lawford as Lord Lovat or Robert Ryan as General James Gavin and many others these people aided in recreating the project.<br/><br/>Zanuck may have had the largest movie set in history to work with, at least up to that time. You are seeing the film photographed in the places it actually happened. The beaches, the towns of St. Mere Eglise and Ouisterham, even the embarkation areas in the UK. I doubt you could do The Longest Day today because of the changes in all these places now. Lots of cooperation from the British and French governments was necessary.<br/><br/>You also couldn't do it because the budget would be the size of the U.S. national debt today. This was the last days of the all powerful studio system and even with a lot of the stars free-lancing at that point, Darryl F. Zanuck was still a most powerful man in Hollywood with a lot of favors owed. One example was Richard Burton who was shooting Cleopatra at the time The Longest Day was also shooting. For his two brief, but memorable scenes as an RAF pilot, they shot around him on Cleopatra also a 20th Century Fox production while he filmed his part for Zanuck.<br/><br/>Even the Germans came in for a portrait of them as human beings. Curt Jurgens as General Blumentritt, who was also a technical adviser, put it philosophically best about how after he can't convince Chief of Staff Alfred Jodl to wake up Hitler to move the Panzer Divisions, breaks open a bottle of cognac and decides to drink it before the Allies arrive.<br/><br/>I have several favorites in The Longest Day. Richard Todd who actually was at D-Day and was a decorated hero himself, plays commando leader, Major John Howard who is asked to paratroop into France and capture and hold a key bridge intact. Todd is channeling his own as well as Howard's war experience into the film and gives a performance of unusual depth.<br/><br/>Norman Rossington and a pre-James Bond Sean Connery who was just making his debut as Bond in Dr. No, give some good comic relief as a cockney and Irish soldier landing on Sword Beach. So does Kenneth More as a British beachmaster with his bulldog Winston.<br/><br/>The French are well represented by Arletty, Bourvil, Christian Marquand and by Irina Demich. Being that three of these play civilian roles they get the only two women's parts of any substance in The Longest Day. I do like the scene where some Germans checking Irina out in a low cut dress, fail to properly search her. Irina also demonstrates how much the women were equal partners in the Resistance. Marquand as a captain of a Free French company is involved in a particularly bloody battle for a coastal town.<br/><br/>Of course the American cinema is well represented. Charlton Heston was to originally play the part that John Wayne does, but he couldn't get free of some commitments of his own and when Wayne became available, Zanuck grabbed him. Heston was later quoted as saying Wayne did a better job than he would have in any event. Wayne's best scene was when he saw some American bodies dangling from roofs in St. Mere Eglise. As I've said many times, John Wayne had one of the best faces for movie closeups ever. One look at the horror expressed in his face tells you all you need to know.<br/><br/>Henry Fonda plays General Theodore Roosevelt, Jr. who would within a month after the invasion die on Normandy Beach. Had he lived, Roosevelt might have picked up the pieces of a stalled political career. But that was not to be the case. Roosevelt was found dead of a heart attack in his tent after the invasion when the Allies were trying to break out of the beach.<br/><br/>The heaviest casualties on D-Day were on Omaha Beach where Robert Mitchum plays General Norman Cota a division commander. Mitchum is involved at the climax of the film where American GIS after being hung up for hours, break through and insure the invasion's success.<br/><br/>The Longest Day is not only great drama and a great war film, but it is as accurate a film as you will ever get depicting the Normandy invasion, good history as well."
"giorgiosurbani","9","96","126","26 November 2007"," Shaving Ryan's Privates
","True, the first half an hour of Spielberg's ""Saving Private Ryan"" is truly mesmerizing but then it degenerates into a soap opera of sorts and all the angst and horror of war evaporates until the truly sentimental finale. ""The Longest Day"" doesn't depend on special effects but on the minute by minute horror of its moment. It's also, if I'm permitted to say it, a lot of fun to watch. Strangely enough the all star cast is not distracting at all. It was much more in ""Saving Private Ryan"" with a cast of up and comings headed by Tom Hanks himself. In ""The Longest Day"" there are real moments, film, cinematic moments that are intimately connected with the profoundest sense of drama: The clicking of the rifle. Richard Burton, Richard Beymer and the boots of the dead German. Red Buttons hanging from the Cathedral. Paul Anka, Fabian, Robert Wagner, the landing in Normandy. This film remains one of the best, from every angle, films of its kind."
