"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","111","130","13 September 2015"," A Nightmare on Elm Street (1984) The best slasher horror film in The Elm Street series.
","I am written this review In Memorie of my all time favorite the best horror director Wes Craven that sadly is no longer with us anymore. On August 30th 2015, Craven died of brain cancer at home in Los Angeles. I am doing this for him. <br/><br/>A Nightmare on Elm Street is a 1984 American supernatural Classic slasher horror film written and directed by Wes Craven, and the first film of the Nightmare on Elm Street franchise. <br/><br/>The best horror flick I have ever seen.I love this film to death, I love it!!! It is one of my personal favorite horror movies. It is my number 1 favorite film in the franchise it stays in my heart forever. I am a big fan of this film I even have a poster hang on door in my room, my girlfriend give it to me as gift. I love some other films of Wes Craven that he directed like are New Nightmare, Scream, Shocker,The People Under the Stairs, Scream 2 and Scream 3. A Nightmare on Elm Street (1984) for me will be always in the genre the best slasher classic horror film written and directed by Wes Craven. He gave us Freddy Krueger which was followed six sequels one crossover and one remake after success of the first film that gross $26.505.000 in USA. The sequel after the first film A Nightmare on Elm Street Part 2: Freddy's Revenge was refused from Wes Craven to work on the film because he never wanted or intended A Nightmare on Elm Street (1984) to become an ongoing franchise (and even wanted the first film to have a happy ending), and also because he didn't like the idea of Freddy manipulating the protagonist into committing the murders. The sequel for me wasn't a good movie after the original was released. My top 5 films of We Craven would be A Nightmare On Elm Street, Scream , New Nightmare, Shocker and The People Under the Stairs. <br/><br/>The first film is so original, realistic, and overall terrifying horror classic slasher flick that is actually happening in dreams, a sociopath child killer with sharp clawed glove who has knives in stead for a fingers, can enter into your dreams. If he kills you in your dreams, you're dead for real. The main protagonist is Nancy Thompson a teenager where her friends start dying and are killed one by one from Freddy Krueger, she try's to warn people from Freddy coming in to their dreams, but no one listens to her not her father the Sheriff not her mom or her friends. Her parents hold a dark secret from her long ago. She is alone in this and she has to fight him by her self by going back in to her dreams and get Freddy out of her dream in to the real world. Nancy the character was so clever, smart and intense carefully. She was awesome unique legendary heroine did you see how she put booby-traps for Freddy? Awesome!<br/><br/>Tina Grey played by Amanda Wyss, is really good in her role for the short time she is in this film. <br/><br/>Heather Langenkamp is excellent in her role as the main protagonist in this film. She's legendary unique teen heroine a very attractive,and gives 100% as Tina's friend Nancy Thompson who starts to have the same nightmares. <br/><br/>Robert Englund as Freddy Krueger the actor's contribution to the character is 100% superb. I think that Freddy Kruegar IS Robert Englund and vice versa, even though a lot of his moments in this film are about injecting a scary visual presence, he also creates a mystic before the film's revelation: Who is he? Where does he come from? Why is he doing these things? After the third film of the series, Englund would become a Hollywood star and a horror icon. For me Robert Englund will be the only Freddy Krueger I love him in all Nightmare films. <br/><br/>John Saxon as Lt. Donald Thompson, Nancy's dad was fantastic in his role and his performance. <br/><br/>Johnny Depp in his first role as Glen Lantz was awesome, I seriously loved him in 21 Jump Street TV Series and today I still love him in Pirates of the Caribbean film franchise. <br/><br/>I love the main theme Nightmare Freddy Krueger score from Charles Bernstein and I love the song at the of the credits Nightmare by 213.<br/><br/>A Nightmare On Elm Street (1984) is the best classic slasher film,one of the best horror movies ever made. It is one of my personal favorite horror movies. My number one favorite horror film in the franchise and it will always be the best one in the series. I have always enjoyed seeing this film, it is fast paced, entertaining, not boring or over long film, but short and very intense from the beginning till the end. I love this movie death. 10/10 Grade: Bad Ass Seal Of Approval"
"Gafke","9","87","102","8 December 2005"," The original and best of the Elm Street series!
","The teenagers of Springfield, Illinois are having nightmares. Tina and her best friend Nancy learn that they're dreaming about the same creature, a hideously burned man in a dirty red and green sweater who bears an odd weapon; a glove with razor fingers. When Tina is brutally murdered in her bed one night, suspicion falls upon her volatile boyfriend Rod, who was the only other person in the room with Tina when she died. But Rod swears he didn't do it, and tells Nancy that he too has been suffering from terrible nightmares in which a knife- fingered man is trying to kill him. Nancy begins to suspect that something evil is happening within their dreams, and that perhaps the boogeyman is real. When Rod turns up dead in his jail cell, Nancy is convinced that a ghostly killer is stalking them in their sleep. Her mother, worried for Nancy's sanity, takes her to a dream clinic where her sleep patterns can be monitored. When Nancy awakens screaming from a nightmare with a bloody slash mark on her arm, she shows her mother and the doctor what she has pulled out of her dream: the battered fedora that the killer always wears. The hat bears a name tag: Fred Krueger. Nancy's mother recognizes the name and soon tells Nancy the story of a brutal child killer who had terrorized the town many years ago. When he was released on a technicality, Nancy's parents and the parents of the other nightmare-plagued children hunted Fred Krueger down and burned him alive. Fred Krueger is dead, but he's found a way to return and wreak vengeance upon the children of his killers. Nancy knows that she must find a way to stop him before he kills her and everyone else on Elm Street.<br/><br/>I just sat down and watched this movie again the other day and it's still damn impressive. The acting isn't always the greatest and it looks just the slightest bit dated, but it's still a really damn good movie. It's power lies in the fact that sleep cannot be avoided. In so many other horror movies, the victims are nothing more than vapid cattle wandering dumbly up the slaughterhouse chute and calling out: ""Is anyone there?"" as they go up. They purposefully get themselves into stupid and dangerous situations and therefore we feel no real pity for them when they are eviscerated. However, in A Nightmare On Elm Street, all the characters have to do to endanger themselves is to go to sleep. Even the most hardcore insomniac (like myself) knows that eventually, sleep will come for you; it is unavoidable. We cannot blame our cast for wandering around doing stupid things in their dreams, because how many of us have had dreams in which we show up for work naked? Very rarely are we in control of our dreams, and in A Nightmare On Elm Street, the only person in control is Freddy Krueger. <br/><br/>Robert Englund as Freddy is flawless. Before this movie was released, the boogeymen of horror films had always been hulking, silent, expressionless shapes usually hidden way behind masks. Not that there's anything wrong with that! But Englund gave us a new kind of Boogeyman - a smartass. Freddy is hideously burned, covered in scar tissue and has all the fashion sense of a wino, but he's cool. Not content to simply disembowel his screaming victims, Freddy has to tease them a little first, flirting, humiliating or showing off. He makes Tina watch him cut off his own fingers and smiles at her like a drunken uncle who's just pulled a coin out from behind her ear. He sticks his tongue in Nancy's mouth via her telephone. He doesn't waste his sense of humor on the guys in this film, but there's plenty of sequels in which he makes up for that. <br/><br/>This is such a great, innovative film, filled with pretty cool special effects, disturbing sound effects (including scraping metal fingernails and baby goats bleating in terror) and creepy music. The boiler room is an especially unnerving set, complete with hissing pipes and dripping chains. A young Johnny Depp and his feathery 80s hair make their debut in this film as well, and though his character is about half a million miles away from Captain Jack Sparrow, the raw talent is still very much in evidence here. <br/><br/>This remains the best movie of the Elm Street series, with a few good sequels and some really crappy ones. But Freddy is always worth watching."
"Atulur","10","118","143","7 January 1999"," A horror classic...
","The ""Nightmare"" has been recently on in our TV and I must admit that even after those fourteen years it made a deep impression on me. I saw the film for the first time in 1989 and at that time I was scared because I was just a teenager then. But now, I can see that the film has got something unique, which makes the film different from other horror movies. I think it`s down to the basic idea of this film - dreams and everything that can happen in our dreams sometimes become true. The authors of this film did not have to be bound with the need to stay realistic and that opens a free way to their wildest imaginations. Charles Bernstein`s music in this movie has become clasic and we can hear the basic melodic motive in some of the sequels. Original music composed by different authors in the sequels to this first Nightmare stays far far behind Bernstein`s masterpiece."
"Smells_Like_Cheese","10","95","115","28 July 2002"," Whatever you do, don't fall asleep
","A Nightmare on Elm Street, one of the scariest movies of all time, and one of the scariest in the 80's. It also introduced one of the scariest villains of all time, Freddy Krueger, one of the ultimate boogeymen that you know who he is just by his name. Wes Craven brought us one of the most terrifying ideas, what would happen if your nightmares were real? That if you died in your dream, you died in real life? He brought us A Nightmare on Elm Street, a low budget horror film that has made it huge in the horror genre's world. The whole concept of the film is just what makes it so brilliant. Not to mention how cool is it that this is Johnny Depp's first film role? Who knew that that kid was going to be so huge one day, right? But the entire cast made this into one of the scariest movies that will always bring you a few nightmares on it's own.<br/><br/>Tina is a girl who has been having tons of nightmares about a scary figure, a man who is severely burned and has knives for fingers. She's so scared of this man that she asks her friends, Nancy, Nancy's boyfriend, Glenn, and her boyfriend, Rod to stay over. But Tina is brutally killed in the middle of the night, the only witness is her boyfriend, leaving him as the suspect of murder. But when he is murdered in jail, Nancy knows there's something wrong and soon she's having the same nightmares as Tina. Soon she knows that she might be next, no one believes her, until her mom reveals a deep dark secret about the mysterious figure, Freddy Krueger. He was a sick child molester/killer who the neighbors burned alive to keep him away, but now he's after their kids and he's not going to take it easy on Nancy.<br/><br/>A classic horror film that's perfect for a sleep over with your friends to watch in the dark. It's such a great film that sparked quite a few sequels and a new icon for slasher films. Freddy Krueger is so cool and extremely scary just for the fact that he's so confident in knowing that he will kill you. He's ruthless, scary, and clever and he's coming to kill the kids in their dreams. A Nightmare on Elm Street is such a great film and I highly recommend it, Wes Craven is an original genius who spawned a new type of terror.<br/><br/>10/10"
"kylopod","7","125","154","24 October 2005"," You'll never want to fall asleep again
","While I love horror films, I am not a big fan of the slasher genre, which has come to dominate and indeed practically to define horror since the late 1970s. While I do love the original ""Psycho,"" most slasher films follow a different, and far more predictable, formula. The idea of a faceless killer going around stabbing teenagers just doesn't frighten me a whole lot, though some of these films do fill me with disgust--a rather different sort of emotion.<br/><br/>I am far more frightened by films that deal with distortions of reality, where it's hard for the characters to tell what's real and what's not. Admittedly, that genre isn't always so lofty either. Dreams are one of the most overused devices in the movies, having a whole set of clichés associated with them. We are all familiar with the common scene in which a character awakens from a nightmare by jerking awake in cold sweat. This convention is not only overused, it's blatantly unrealistic, for people waking up from dreams do not jerk awake in such a violent fashion. Moreover, these scenes are usually nothing more than little throwaway sequences designed to amuse or frighten the audience without advancing the plot.<br/><br/>What makes ""Nightmare on Elm Street"" so clever is how it creates an entirely new convention for representing dreams on screen. The dreaming scenes are filmed with an airy, murky quality, but so are many of the waking scenes, making it very difficult to tell whether a character is awake or asleep. Indeed, the movie never shows any character actually fall asleep, and as a result we are constantly on guard whenever characters so much as close their eyes for a moment. In crucial scenes, it is impossible to tell whether what we are seeing is real or happening only in a character's mind. But the movie ultimately suggests that the difference doesn't matter. The premise of the movie, in which a child-killer haunts teenager's dreams and has the capability of killing them while they're asleep, turns the whole ""It was all just a dream"" convention on its head: in this movie, the real world is safe, and the dream world is monstrously dangerous.<br/><br/>The movie finds a number of ways to explore this ambiguity, including a bathtub scene that invites comparisons with the shower scene in ""Psycho"" without being a cheap ripoff. My personal favorite scene, and one of the scariest I've ever seen in a movie, is the one where Nancy dozes off in the classroom while a student is standing up in front of the class reading a passage from Shakespeare. The way the scene transitions from the real classroom to a nightmarish version of it is brilliantly subtle.<br/><br/>The director, Wes Craven, understood that the anticipation of danger is usually more frightening than the final attack. There are some great visual shots to that effect, including one where Freddy's arms becomes unnaturally long in an alleyway, and another where the stairs literally turn into a gooey substance, in imitation of the common nightmare where it is hard to get away from a pursuer. The movie continually finds creative ways to tease the audience, never resorting to red herring, that tired old convention used in almost all other slasher films.<br/><br/>Despite the creativity in these scenes, ""A Nightmare on Elm Street"" is still a formula movie, with relatively one-dimensional characters and no great performances. This was Johnny Depp's first role, as Heather Langenkamp's boyfriend, and although he does get a few neat lines of exposition (his speech about ""dream skills""), his personality is not fleshed out, and there is no sense of the great actor Depp would go on to become.<br/><br/>Within the genre, however, ""A Nightmare on Elm Street"" is a fine work. My main criticism isn't its failure to transcend the formula, but its confusing and obtuse ending, apparently put there in anticipation of sequels, but managing to create a mystery that the sequels were unable to clear up. The climactic confrontation between Freddy and Nancy is weakly handled. The crucial words she says to him are surprisingly clunky, and her father's muted behavior during that scene is almost inexplicable. It has led me to consider an alternative interpretation of the scene, but one that feels like a cop-out. The scene that follows, and where the movie ends, is anticlimactic and unnecessary. These clumsily-made final two scenes come close to ruining the movie, and it is a testament to the film's many good qualities that it still stands as an unusually effective horror film that invites repeat viewings."
"mjw2305","9","83","101","26 January 2005"," Genuine Horror Classic
","Wes Craven created Freddy Krueger and when he did the world of Horror welcomed a great new character to its screens (or should that be its Screams).<br/><br/>Freddy, a child murderer in life, now hunts the children of the men and women that killed him, while they sleep.<br/><br/>Very gory, tense and full of over the top deaths scenes A Nightmare on Elm Street brought something new to the Horror Genre, and will go down in history in recognition of this.<br/><br/>The rarity of the film, is the character of Freddy, because he actually has character without distracting from the terror (in this outing at least) <br/><br/>Thanks Wes <br/><br/>9/10"
"Boba_Fett1138","10","82","104","20 February 2005"," A real horror classic and among the best of all time.
","This movie might very well be one of the best horror movies of all time, together with movies like ""Poltergeist"", ""Dawn of the Dead (1978)"" ""The Exorcist"" and ""The Texas Chain Saw Massacre (1974)"".<br/><br/>I didn't expected it to be but this movie was just brilliant. Certainly the best slasher movie ever made. There are several things that make this movie a good horror classic. Of course the classic 'killer' Freddy Kruger is one of them. Another thing is the concept. Yes, the story of course is just simply ridiculous at times but it's the perfect concept to fill a movie with, with some scary scene's and brutal killings with tons of blood.<br/><br/>The movie has the same scary gritty atmosphere like a horror movie from the 70's, when the horror genre was at an all-time high. <br/><br/>The actors are giving their best but some of the dialog is just plain cheesy. Still I think that the actors should deserve more credit then they are getting right now, especially Johnny Depp made a impressive movie debut. The talent was already showing, back then. His role in this movie was way bigger than I expected it to be by the way.<br/><br/>Really entertaining horror classic. Some things might look cheesy, especially the ending (I really laughed my butt off!) and the story in general but the atmosphere, gore and Kruger make up everything! Guess you have to be a fan of the genre to fully appreciate it though.<br/><br/>10/10<br/><br/>http://bobafett1138.blogspot.com/"
"Nightman85","10","18","20","21 January 2006"," Horror's favorite neighborhood!
","The 80's biggest horror landmark was this smash-hit that brought director Craven into mainstream film and gave birth to an unstoppable horror icon!<br/><br/>Young lady discovers that she and her friends are having the same terrifying dreams about a scar-faced maniac, who's about to transcend into murderous life!<br/><br/>Wes Craven's biggest claim to fame, A Nightmare on Elm Street was a far more imaginative slasher film than the numerous others that flooded the 80's cinema scene. Craven's clever premise and inventively shocking story added a kind of dark fantasy element that made this film so much more engrossing (and frightening) than the average slasher flick. It also turned villain Freddy Kruger into the biggest horror icon since the monsters of 50's horror cinema. Craven's direction is truly great, giving this film plenty of feverish atmosphere, tight suspense, and a share of good scares! Adding even more to the movie is the occasional touch of dark humor, who could ever forget that 'tounge phone' bit. The movie also has lots of gruesome special FX as well. The Elm Street theme by Charles Bernstein is a nicely chilling touch too.<br/><br/>The cast is quite good. Heather Langenkamp makes for a terrific and likable heroine. John Saxon and Ronee Blakley are both great as Langenkamp's disbelieving parents. Amanda Wyss, Nick Corri, and Johnny Depp (in his debut role) are also great as some troubled Elm Street youths. Robert Englund is a power-house villain as Freddy Kruger.<br/><br/>A modern horror classic all the way, A Nightmare on Elm Street is still making folks afraid to sleep all these years later!<br/><br/>Followed by numerous sequels.<br/><br/>**** out of ****"
"Jane FlamE","9","72","92","26 January 2001"," Genre defining
","If Sean Cunningham, John Carpenter and Tobe Hooper defined the horror genre in the late 70's, early 80's then Wes Craven destroyed it, not only once, but twice, with Scream. However, before Scream, there was A Nightmare On Elm St and before there was the ghostface, there was Freddy Krueger, bastard son of 100 maniacs. Up until this point, horror was very predictable, most films adhered to the 'rules' of horror (if you have no idea what the rules are, they are simply, the 'virgin' survives, if you have sex, you die, if you drink or get high, you die and never say, ""I'll be right back"" cause u won't, for more details, see Randy in the Scream Trilogy). In 1984, this little film came out about a murderer who killed you in your dreams.<br/><br/>It was a seemingly simple concept, but it was terrifying to see the main character Nancy, (played brilliantly by a young Heather Langenkamp) battling not only her adversary, (the irrepressible Robert Englund) but the trauma's of her alcoholic mother, smothering and absent father, their divorce, her idea that she might be going crazy and sleep, as she deduces from fairly early on that if she sleeps, she dies. Nancy was a character that you cared about. She wasn't devoid of emotion or reduced to simply running and screaming from her attacker, she had emotion, she had issues, she was like most teenagers in America.<br/><br/>The film begins pretty typically enough. Freddy Krueger stalks those who according to the rules, deserve what they get. Freddy himself is frightening, with a very limited dialogue and terrifying persona. In later sequels, he becomes a humourous villain, but in the first of the series is where we see Krueger at his menacing best. But somewhere along the line, it all goes haywire, culminating in the death of Glen (Johnny Depp)Nancy's boyfriend, polite and sweet who doesn't have sex during the course of the film.You find yourself saying,""hey this can't be right, he shouldn't be dead"". But that is exactly the kind of reaction that Craven wants from you.<br/><br/>The horror, doesn't end with the apparent death of Freddy, Craven still pays homage to the typical ending of his genre, with the 'he's-not-quite-dead-yet' ending, but it is the way in which he does it. Craven makes you comfortable by having you believe that everything is ok, that it was all just a lil dream and dreams can't really hurt you, that is until the very end. It shocks you, leaving to come to your own deductions, similar to the ending of The Exorcist, it is up to you to judge who triumphed, good or evil.<br/><br/>When you think about it, what was worse for Nancy, the stalking of Freddy or her gradual sleep depravation, how long can anyone survive in their right mind with no sleep. Plus it also demonstrates that at the core of those sleepy American towns, something is rotten. The image of these surbanites in the form of Nancy and her friends parents, forming a mob and setting fire to Freddy Krueger, is in a sense more frightening than the child molesting, murdering image of Freddy himself. Craven like Stephen King, likes to illustrate in his work that some of the most horrid things happen in small quite towns. Maybe because around these times, America was reeling from the emergence of numerous serial killers. Whatever the reason, this film is a classic for so many reasons, and I dare anyone to tell me different!!"
"CalDexter","10","16","18","26 July 2008"," The classic original is the best in the series.
","I love A Nightmare On Elm Street. Every time i watch this i think it has a terrific energy and strength running through it. I like the way the film starts with Freddy Kruegar making his Finger Knife Glove in his basement cellar, then the music kicks in (what a creepy score) as the first teenager is frantically running around his maze-like Boiler Room in her dream state. Freddy is only hinted at in the shadows or ripping through cloth with his glove and i love the way you can hear animals and creepy noises emitting from all around Tina, as she becomes cornered before Freddy comes out of the shadows. A great opening.<br/><br/>Tina Grey is played by Amanda Wyss, who is really good in her role for the short time she is in this film. I always remember her character in this film the way i remember the Chrissie Watkins character at the start of Jaws, i think you know what i'm coming too. Tina's encounter with Freddy in her backyard is my favourite moment in this film, and it is one of the most horrifying deaths I've ever seen. Its frightening to see and if you are faint hearted at splashing blood then look away because it is a screamer.<br/><br/>Heather Langenkamp is excellent in this film. Shes very attractive,and gives 100% as Tina's friend Nancy Thompson who starts to have the same nightmares. My favourite moments with Nancy are mostly her scary encounters with Freddy scored to an energetic music beat by Charles Bernstein. I would say part of the movie's success is down to his creepy score. I also love the bathroom scene when Nancy falls asleep, absolutely gross and hilarious at the same time. The thing is, these 'funny' moments are actual imagines of how Freddy wants to prey on his victims before killing them, this is done in this first film with a measured discipline, then you watch The Dream Master and Freddy is basically killing kids while being 100% comic about it as well.<br/><br/>One of my favourite other scenes in this film is when Nancy is following Tina's corpse down her School halls (having falling asleep)and runs into a prefect women who states 'Wheres your pass?' Nancy doesn't respond in kind, and as she goes running down the hall, the girl reveals herself to be Freddy 'No running in the hallway' an eerie moment that is funny too.<br/><br/>Finally, special mention must go to Robert Englund as Freddy Kruegar. This actor's contribution to the character is 100% superb. I think that Freddy Kruegar IS Robert Englund and vice versa, even though a lot of his moments in this film are about injecting a scary visual presence, he also creates a mystic before the film's revelation: Who is he? Where does he come from? Why is he doing these things? After the third film of the series, Englund would become a Hollywood star and a horror icon. Rightfully so.<br/><br/>A Nightmare On Elm Street is a classic horror thriller and, along with Halloween, is one of the best horror movies ever made."
