"username","rating","helpful","total","date","title","review"
"harricks","8","406","531","21 August 2007"," An old fashioned modern western
","I saw this film last night at a preview in the lead up to the Toronto International Film Festival. Having never been a big western fan (with a few exceptions - Shane, High Noon, The Wild Bunch) and having been rather indifferent to Walking The Line, James Mangold's last directorial effort, my expectations were modest, despite the hype that the film has received. But I was duly impressed. The action and tension remain constant throughout but, more importantly, the plot is compelling and the acting is terrific. No doubt many will be impressed by Ben Foster's affected performance as Russell Crowe's loyal but psychopathic sidekick (think Johnny Depp in the Pirate movies) but to my taste it was much too over the top in a cast that offered a number of subtle and well thought out performances.<br/><br/>Russell Crowe is brilliant as the arrogant, amoral outlaw Ben Wade and Christian Bales infuses his role as a beleaguered rancher and Civil War veteran with just the right mix of pathos and dignity. Iy was wonderful to see Peter Fonda be given a role in which he was allowed to demonstrate his genuine talent, much too long hidden away. In my view, though, it is Logan Lerman who most deserves the accolades that will certainly come his way. He plays Bales' teenage son who comes of age in the course of the film. Initially disillusioned with a father whom he sees as drudge and a failure, he eventually recognizes his father as the hero he is (or at least becomes).<br/><br/>Cinematically, this film ranks up there with the best westerns of all time. It is consistently beautiful to watch and captures the expanse and majesty of the American west as well as any movie I've ever seen.<br/><br/>In many respects this is a traditional western (it is a remake, after all). They really don't make movies like this much anymore and it will be interesting to see whether it finds an audience in this era of dumbed down teen comedies and quirky slices of dysfunctional modern life. I wish it well."
"jdesando","Null","339","470","21 August 2007"," Seven/Noon
","""The boys dressed themselves, hid their accoutrements, and went off grieving that there were no outlaws any more, and wondering what modern civilization could claim to have done to compensate for their loss. They said they would rather be outlaws a year in Sherwood Forest than President of the United States forever."" Mark Twain's Adventures of Tom Sawyer <br/><br/>In 3:10 to Yuma, a few references to The Magnificent Seven and the idea of a train arriving at a specific time when good and bad guys converge, as in High Noon, made viewing this Glenn Ford remake from 1957 a pleasant one. And right I was but for even more good reasons.<br/><br/>Not since Unforgiven and The Quick and the Dead have I been as excited about seeing a Western in its heroic and revisionist forms. 3:10 to Yuma is a true Western in the American film tradition about the 19th-century American West: It has clear heroes and villains (and a mixture of those), wide prairies, dirty towns, fast guns, weak lawmen, cunning murderers, kids on the cusp, and women marginalized, just for starters.<br/><br/>Then ratchet up to the philosophical/post modern/post Eastwood reflections on the profession of being a gunman juxtaposed with being a responsible father, and you have an classic angst-filled clash where villain has a wee bit of heart and hero an equal measure of cowardice. Delightfully mix in a certifiable baddie in the Lee Van Cleef/Jack Palance tradition, Ben Foster (Alpha Dog) as Wade's amoral lieutenant Charlie Prince (as in ""of darkness""). Best of all, it is nail-bitingly suspenseful and beautifully photographed.<br/><br/>In order to pickup some home-saving cash, poor crippled farmer Dan Evans (Christian Bale) is helping transport murderer Ben Wade (Russell Crowe) to court via the 3:10 to Yuma from Bisbee, Arizona. Getting Wade to the station is no easy task, even for the several deputies, because Wade's evil gang is in hot pursuit and more importantly, Wade is psychologically working on them from within, alternately charming and brutal; just imagine his roguish smile behind an extremely fast gun and unscrupulous conscience.<br/><br/>It's hard to believe a studio could dump such a winner in the dog days of summer. I will say only that if you have even a modicum of respect for this genre, see 3:10 to Yuma and relive the golden days of straight-up shoot-em ups with rough-hewn characters, electric plot, and revisionist attitude about the romance of being an outlaw or a farmer. Get there on time because that movie train goes fast from the get go."
"Nazi_Fighter_David","8","93","127","30 March 2008"," No western, with courageous sacrifice, can be stunning by accident!
","Christian Bale (Dan Evans) holds the screen as an honest rancher who volunteers for two hundred dollars to be part of a doomed group of guards to take the enigmatic bandit and killer Ben Wade (Russell Crowe) to a train, the 3:10, leaving Bisbee, Arizona for Yuma prison to trial<br/><br/>Beaten down by an old Civil War injury, and unable to protect his farm and his family from Wade's ruthless gang and humiliated by his teenage son (Logan Lerman) who makes no efforts to hide his disappointment in his impoverished father, and who doesn't try to hide the fact that he admires the charismatic criminal, Dan finds a great quantity of reasons to undertake the perilous trip to Contention City to fight back like a real man and regain his son's respect The story concentrates on Evans whose unknown destiny tries to paint to his son an unforgettable picture turning up poignant and endearing <br/><br/>Wadeleader of a murderous band of robbershad great respect for Dan throughout the film and develops a kind of understanding and appreciation for him Their short scenes in the hotel room celebrate the virtues of two opposite men who stand up for what they believe stopping on issues in relation with family, dignity, virtue, and admirable integrity The best scenes are those in which Wade teases Dan: ""Your conscience is sensitive, Dan. It's not my favorite part of you."" <br/><br/>Crowe's interpretation of a gifted cold-blooded smooth-talking bad man is one of the most compelling parts of the film Bale is splendid as the struggling, crippled rancher, misunderstood by his whole family The two actors comfortably inhabit this stunning western <br/><br/>It is nice to see that there are still good westerns being made lately And James Mangold's ""3:10 to Yuma,"" a remake of Delmer Daves' 1957 picture, is one of them It is a Western with realistic violence, great action sequences, breathtaking photography, and an inevitable final shoot-out"
"teresa-elbin","10","318","483","3 September 2007"," Don't Miss This Movie
","It's one of the best westerns and best all-around movies I've seen in a long time. That's largely due to the outstanding performances by the cast, ably led by the alpha male, bad guy, Russell Crowe. His protagonist is Christian Bale who turns in a nuanced performance as the down-on-his luck rancher. The scenes between these two men are riveting and a display of acting at its best. The supporting cast are all wonderful and in particular, Ben Foster, Fonda and Logan Lerman as Bale's oldest son.<br/><br/>The action is virtually non-stop which makes for a compelling, exciting story. But what really drew me in were the stellar performances, particularly that of Crowe. He is the bad guy you actually might end up rooting for. He goes from charming to deadly and back again all in the blink of an eye. He carries the film on his very able shoulders, but Bale gives him a good run for his money in the acting department.<br/><br/>This is one movie that any lover of westerns or anyone simply longing for a good movie with good acting will not want to miss. The two hours will go by in the blink of an eye and you'll be wishing there was more."
"bjxmas","9","110","161","23 September 2007"," Shades of gray. The measure of a man and what price he is willing to pay for justice
","Being a fan of westerns from a young age, I really wanted to like this movie and I did. I just didn't love it because of a few too many plot holes and inconsistencies. If you are willing to suspend belief and enjoy the ride, it is a very satisfying movie filled with action, suspense and terrific acting showcasing the intricacies of complicated men. <br/><br/>As most westerns ultimately are, this was a movie about the measure of a man. When faced with extraordinary circumstances how far will a man go to do the right thing and what price separates good and evil. It is a story of youth with a riveting performance by a young Logan Lerman as a rancher's son who doubts his father's worth and struggles to come to terms with his expectations of what makes a man great and who he will idolize. Being a fan of the TV series Jack and Bobby, it was great seeing Logan again and enjoying his work. He gives a sensitive, nuanced performance and holds his own against some powerhouse acting from Russell Crowe and Christian Bale.<br/><br/>Russell is the perfect actor to play Ben Wade bringing a depth and humanity to a character who is established early on as a dangerous, ruthless outlaw. There are indications from the start that Ben isn't your standard villain, and Russell does a great job at showing the shadings in this character while maintaining the threatening nature of Ben Wade. There is a hint of gentleness and sensitivity and even though you suspect childhood damage might have produced a man capable of such evil, you never doubt the viciousness this character is capable of.<br/><br/>Christian Bale turns in another intricate portrayal as the rancher, Dan Evans. Slowly the layers and truths of Dan are revealed until he is laid bare, with all his regrets and failings threatening to define him. As a man trying to provide for his family and gain the respect of his older son, he gives a captivating performance as an average man struggling to do what is right while faced with overwhelming obstacles. <br/><br/>The interaction between these two fine actors and how their characters end up on the continuum between good and evil is the focus of the movie. 3:10 to Yuma is an interesting merging between the old-fashioned westerns of long ago and the new psychological metaphors of modern movie-making. There are lots of dead bodies littering up the landscape, but the blood and guts movie style of Peckinpah is thankfully missing and we are left with a character study wrapped up in an action, chase flick.<br/><br/>Peter Fonda has a wonderful role as a grizzled old bounty hunter and even though I knew he was in the movie it took me forever to recognize him. I kept thinking the character reminded me of Richard Widmark, but perhaps there was a touch of Henry in there too. Alan Tudyk has a nice turn as a quirky doctor and Ben Foster is mesmerizing as the big bad sidekick of Ben Wade. Many will think Ben goes overboard on the characterization, but it was difficult to not watch him as the crazy, vicious killer, Charlie Prince. I think he held back just enough to make the character believable, in an intensely crazed, vicious old-west world.<br/><br/>Ultimately the bad guys were more believable to me than the good guys. There were several instances where I wanted to yell at the screen and tell the good guys they were doomed because of their inept actions, but perhaps they just haven't seen as many westerns as I have and didn't realize these bad guys were truly vicious animals and no mercy would be offered. <br/><br/>Towards the end is when the stretches of believability most disturbed me and the movie lost some of its sheen. I just didn't buy all the contrivances they threw at me and for me, that made the ending less than satisfying. My sister, on the other hand, loved the ending and was actually crying, but don't let the crying scare you off. She tends to get overly emotional when she buys into the story and she had no problem suspending belief and taking the ride they offered.<br/><br/>If you love westerns as I do, then you owe it to yourself to support this western at the theater in hopes the box office receipts will encourage more westerns to be produced. If you enjoy great acting and character development and the wider framework of what makes a man a hero and what forces drive a man to despair then this movie provides ample fuel for further discussion. <br/><br/>3:10 to Yuma could have been a great movie if they would have cleaned up some of the plot holes and reined in the ending, but all in all, it was a nice time at the movies and it certainly offered up some lively discussion afterward. The entire cast was stunningly good, the movie was beautifully photographed and the direction kept it moving at a good pace with no lulls or boring moments. <br/><br/>It offers a glance back at the old-time westerns with a few nice improvements. Even if you don't normally appreciate westerns, the acting and action should be enough to make the time spent enjoyable. And if you never appreciated westerns before then maybe it will be enough to make you want to check out some of the greats like High Noon and The Searchers. Westerns have always been a fertile ground for examining the complexities of man, what makes a man great, and the shades of gray that resides in all of us."
"socrates99","9","160","243","9 September 2007"," Reminds me of some of the better westerns except with more guts
","There's a scene near the end where Christian Bale is clearing the air, so to speak, between himself and Russel Crowe's character, that suddenly made clear to me what the entire film was about. It also dawned on me that Bale is a bit like this generation's Gregory Peck, only better. He seems able to explore other ways of being on screen without losing sight of reality. That's quite a trick, and key in this film, as it's really all about his character, Dan Evans, a struggling ex-soldier with a family and a marginal farm to take care of.<br/><br/>Courage is the central preoccupation of this film, so it's more than welcome to see it in the film's production as well. There's a sensibility for weapons, dirt, wagons, injuries, even clothing of the period, on display here that's more than just admirable. It makes you wonder why old westerns didn't explore these elements more thoroughly, though I suppose it had to do with expense. But in having spared that expense these older flicks also failed to pull off the kind of true to life drama that this movie manages to delve into.<br/><br/>I also enjoyed the interaction between Crowe, Bale, and his teenage son, William. Though the focus is constantly moving, including generous episodes with a wonderfully nuanced badman played by Ben Foster and some quality time with Peter Fonda and Gretchen Mol, most of the story is in what happens between the ex-soldier, his son, and Crowe's gang leader, Ben Wade. Talk about art imitating life, Crowe is pretty much flawless as the intelligent but amoral Wade.<br/><br/>Don't expect a conventional ending. Think about it after you've exited the theater. Aren't we all a mix of good and bad?"
"robertblanton","4","175","291","7 September 2007"," ""Ahm gonna keel me sum law-men, Mabel!""
","Here is an undeniable truth of movie reviewers: When you really want to promote a movie that's not that good, talk about the great performances of the actors. Then you can praise the movie to high heaven, feel you have done your penance, and content yourself with the ingenuity of your expansive insights. This is the case with 3:10 to Yuma.<br/><br/>So, what's wrong with this movie? Well, let's just look at the last 20 or so minutes of the film: <br/><br/>1. Apparently the bartender/hotel clerk in Contention, AZ, whom we've not been introduced to until this point in the movie, is in cahoots with the bad guys because he make a point of surreptitiously and eagerly directing the bad guys to the location of the incarcerated Mr. Crowe. Why does he do this? Who knows. The filmmaker never lets us in on the secret.<br/><br/>2. Apparently the Neanderthal menfolk of Contention, AZ, are a simple-minded lot who, at the thought of earning $200.00 by murdering the the folks holding murderous Russell Crowe in custody, just can't wait to start throwing lead. ""Mabel, Whar's mah raffle? Ahm gonna keel me sum law-men an geet myselves $200.00 dollah cash on that thar barrelhead!"" <br/><br/>3. Apparently no one in Contention has a problem with watching their unarmed police force viciously gunned down in broad daylight. After this atrocity, folks continue to wander the streets, go in and out of stores, and continue their daily lives as though nothing has happened. Except for, of course, the menfolk who are hiding in wait for a chance to earn that $200.00.<br/><br/>4. Apparently no one bothers to theorize that when you are firing dozens of rounds of ammunition at two men who are as close together as they can be without being Siamese twins you just might hit the guy you're trying to rescue.<br/><br/>5. Apparently, when Russell Crowe's psychotic gunslinging hero-worshiping gang member finally realizes the implications of the above, he figures he better start shootin' them menfolk he'd promised that thar munny to. Of course, none of the surviving menfolk think to start shooting at him.<br/><br/>6. Apparently--well, you get the idea. In other words, this excuse for movie-making is, quite frankly, stupid! In order to take this seriously, you must convince yourself that the type of behavior exhibited by many of the characters in this film is the way people really act. Whether it be the above examples, or Peter Fonda being shot in the stomach, at close range, having the bullet removed, and then immediately riding out into the desert on horseback as though nothing had ever happened to him, much of this film is just plain ludicrous! By the way, I'm no gun expert, but I do know this: If you are shot in the stomach at close range you ain't gonna be going' nowhere and you certainly ain't gonna be trottin' around on a horse! <br/><br/>The bigger problem with this movie is its message, which is this: People who do the right thing because it's the right thing to do are fools. Good people don't thrive. As Christian Bale says, ""I've been asking God to help me for three years and he hasn't done it yet."" For those who would attempt to live a righteous, honorable life there is nothing but despair and hopelessness. In fact, at the end of the movie the true hero of the piece is the psychopathic, vicious, murdering Russell Crowe character. And, by the way, this film does NOT retain the ending of the original, so if you were hoping it would, forget about that.<br/><br/>If you see this film, you might recognize material from other Westerns. You have an iron clad stagecoach, reminiscent of John Wayne's ""War Wagon,"" quotes from the Bible, reminiscent of Randolph Scott in ""Ride the High Country,"" the psychological bantering between the Crowe and Christian Bale characters, reminiscent of not only ""Ride the High Country"" but also of ""The Tall T"", an Elmore Leonard story with Randolph Scott and Richard Boone, and Christian Bales's cursing teenage son, reminiscent of Ron Howard in John Wayne's ""The Shootist."" <br/><br/>Your better bets: All of the other movies I named above plus the original with Glen Ford and Van Heflin."
"mstomaso","8","122","200","11 September 2007"," Thoroughly Enjoyable Remake of a Classic Western
","Long ago, I saw the original 3:10 to Yuma featuring Van Heflin and Glen Ford, but I don't remember it well enough to compare it with James Mangold's new remake. Instead, my review will focus exclusively on the new film.<br/><br/>Mangold's film is a tense, traditional western based on an Elmore Leonard story. Leonard is a solid writer, and gave the material upon which the film is based enough background and characterization to permit willful suspension of disbelief. Mangold's film does the same. Our protagonist and antagonist are, respectively, Dan Evans (Bale) and Ben Wade (Crowe). Evans is a would-be rancher and family-man whose family is suffering from a drought and a merciless landlord. Evans and his boys cross paths with notorious outlaw Ben Wade and his gang on their way into town to confront their landlord, and Wade whimsically lets them go. But the connection between these two men and Dan's eldest son is far from over. Eventually Dan will accept an offer made by a railroad agent to help escort Wade to a train headed to Yuma prison, while Wade's crew of murderers dogs their every step.<br/><br/>Two performances stood out for me - Bale and Ben Foster (Charlie Prince). Crowe was good, but it's not clear that he engaged with his role with his usual intensity. There are several very talented actors in supporting roles, and they each pull off the transition to the western genre quite nicely (Alan Tudyk, Logan Lerman, Gretchen Mol, Peter Fonda and others). The film showcases the acting talent very well without losing sight of its straightforward but interesting story.<br/><br/>More often than not, good westerns are at least as much character studies as they are 'shoot-em-ups'. After all, it pretty close to impossible to enjoy a film in which anybody might drop dead at any given time without caring about the people you are watching die, or those doing the killing. Mangold achieves this by drawing on the simple strengths of the original material and allowing relationships to dominate both the story's development and the cinematography. For a western, there is a tremendous amount of dialog in this film, coupled with the usual meaningful stares. Wade is so wily and unpredictable that you really never know what to expect out of him, and his crew is headed up by his loyal and equally nihilistic protégé Charlie Prince. Dan Evans is his polar opposite, and Dan's son is an unusually accurate and complex Hollywood portrayal of a teenager. These and other relationships are the strengths and the medium of the film. When the camera isn't being used to build tension before a battle or showing us a gun-fight, it is establishing relationships and character. And many of the characters and relationships we see are surprising, ambiguous and more than a little ironic.<br/><br/>Highly recommended for western fans."
"tomcat91468","1","312","537","14 September 2007"," Just awful
","I have to think that I am so out of step with the masses. What can others be seeing that I missed. I will say that in the restroom after the movie the other women were laughing at the movie and shaking their heads in disbelief of the hype. There will be many spoilers below. First of all, the acting was fine...that's about all the good I could see. The screen play was illogical. Why would Russell Crow's character continually miss opportunities to escape and the good guys continually miss opportunities to kill the bad guys? Why would they sit around a roaring fire in Apache territory and why wouldn't the Apaches just kill them as they most certainly would have? Why would Russell Crow's character kill all his guys who risked life and limb for him? Why would the writer put a stupid schtick in a chase scene where one character throws an explosive and another character shoots the explosive in mid air while riding full out on a horse? Why would the mine team just stand there and wait to be shot by men they knew to be psycho killers? Why would Russell Crow risk his life jumping over roofs just trying to get to the train? Why would the good guys miss the opportunity to shoot the bad guys in the street with a perfect shot from the bridal suite? How did Peter Fonda recover completely in a 24 hour period after being gut shot? How did Russell Crow's mouth heal completely after being beaten unmercifully by Peter Fonda? Why was Russell Crow's hands handcuffed in front and not in the back? I could go on and on, but I've already wasted enough time and money on this complete mess of a movie."
"alexkolokotronis","9","91","149","18 February 2008"," A Modern Classic
","This is the best western since Unforgiven. Every aspect of this film is great. <br/><br/>The acting was superb. Russell Crowe continues to give great and much overlooked performances. He delivers a great performance as outlaw Ben Wade. Crowe just keeps on putting me in shock with his spectacular performances. Crowe brought a mystique to his role that would of fit in with the old westerns. He seems as if he play anything and was a joy to watch here. He needs to be given much more and was definitely worthy of an Oscar nomination. Christain Bale also gives as a surprise to me a great performance as Dan Evans. He is on the verge of losing everything he's got. Bale displays his desperation and his willingness to feel that he has a purpose in life. He is definitely turning into a very good all around actor. I think he also deserved an Oscar nomination. Peter Fonda and Ben Foster also give very solid performances in their supporting roles. <br/><br/>I have heard some people say that this western was to talky but I don't believe so. I think this was filled with great dialog and was engaging for the length of the movie.<br/><br/>The directing by James Mangold was probably the best I have seen from him. He was able to bring back the old western style but yet mix it together with a modern effects and etc. He did not fall into the trap of making it boring or to violent. He carried the movie all the way through keeping the viewer entertained. The cinematography was amazing. The sceneries were spectacular and many of the shooting scenes were delivered with such excellence with the acting, directing but the cinematography brought those scenes and this movie to another level. The music was great as well. It did not become cliché but instead made you feel like you were back watching Clint Eastwood, Gary Cooper or John Wayne. It just captured me like no other western has in a while. <br/><br/>This movie is truly a modern classic."
