"username","rating","helpful","total","date","title","review"
"crazy_child_of_the_south","Null","85","93","17 June 2004"," Hilarious, great fun for kids and adults.
","I think this film is wonderful. It is sheer entertainment for kids and hilarious for adults.<br/><br/>I first watched this movie age 7, and i loved it...now i watch it again age 14 and I'm howling with laughter. The 'You wanna buy a sundial?' sequence renders me unable to breathe for laughter, whilst when i was younger it got not so much as a giggle.<br/><br/>As with all Disney films, the jokes are for the 'big kids' and the entertainment value is for the little ones.<br/><br/>This film has been criticized for not staying true to Greek Mythology. My response is, it doesn't matter. This a witty, sarcastic and enjoyable film. Accuracies play no purpose.<br/><br/>The characters are wonderful, particularly Phil and Hades. Also, Megara provides a feisty, totally non 'princessy' female character, which is wonderful!<br/><br/>Overall - 8/10"
"MR_Heraclius","10","41","44","21 February 2020"," the best animation film of disney
","One of, if not, the best Disney films ever made. The vocal talents of James Woods, Danny DeVito, Tate Donovan, and Rip Torn are all spot on. The music isn't the best work Disney has put out, but the movie itself is downright amazing. The tale of a son trying to regain his heroism to return home is one that has been told before. However, the way this one is told just feels fresh and new. James Woods as Hades is perfect casting. It is on the level as James Earl Jones as Darth Vader. I can't imagine anyone else playing the role of Hades. Great job Disney on this perfection. If anyone likes Greek mythology then this is a great, kid friendly, version of it."
"ntadema","8","109","126","12 December 2000"," Disney's funniest
","I'm shocked to see this movie with a rating below 7.  As a big Disney fan, I'll go out on a limb and say this is one Disney's top 5.  There isn't a Disney movie out there with wit as sharp as this one's with much of it probably lost on the audience guessing by the rating given to this movie. <br/><br/>
""Meg"" definitely emerges as my all-time favorite female Disney role. Breaking from tradition, her character is not all that lady-like in her biting wit and sarcasm, but it works, serving to make the movie funny and her character lovable despite working with questionable motives. <br/><br/>
The set-up and plot is typical for the movie but the script, animation, and music are most original AND good.  IF I had to register a complaint, I would say that it's perpetual humor kept the movie from being emotionally wrenching.  However, this movie remains one of the most entertaining I've seen.  8.5/10"
"Lady Jasmine","Null","68","81","14 June 2002"," The last of the new classics
","Although I know I have heaped praise on several other Disney films...Hercules stands out as my favourite among them all. After this movie the Disney features once again seemed to slip downhill. However I can watch this movie again and again, it has a spectacular Greek chorus, gospel type score, which will ring in your head for days (and you will like it!). The characters are all likeable, even the villain and it is absolutely hilarious!<br/><br/>I have never understood the panning this film got from Disney fans, as I have never comprehended what there is to dislike. The animation is beautifully done, although it is done in the style of Greek art, which may not be to everyone's taste (very similar situation to Sleeping Beauty which was disliked by some because it was animated in the style of a medieval tapestry), but it works wonderfully for the film.<br/><br/>Take a chance and watch it...and when you're done watching it for the sixteenth time, go out and buy the soundtrack!"
"Polar Bear","9","67","83","17 July 2000"," God-like
","""Hercules"" is a cracking Disney film and for once it's not just for the kids. The animation is more like the ""old-school"" Disney, before the cute, big-eye syndrome and the characters are hugely entertaining. It has sly humour and in-jokes, but what sets it apart are the songs; soul, RNB, jazz and not a drippy sugar-song in sight. Quality entertainment!"
"LeonStyloroy","10","49","60","10 January 2008"," An Olympian achievement
","This is possibly my favorite Disney movie ever. With a razor-sharp wit, perfect comic timing and a fresh plot that transcends most other Disney fairy tales, this one's definitely a keeper.<br/><br/>You'll be enchanted right from the first number, in which the five Muses (from Greek mythology) set the stage of ancient Greece in a powerhouse gospel number which gives a whole new meaning to a Greek chorus. Recalling the three ladies in Little Shop of Horrors or Motown groups like the Supremes, the Muses appear randomly throughout the movie to narrate the story of Hercules with jazzy musical numbers that you'll be humming for days. The songs (by Alan Menken) are certainly a twist from the classic Disney musical, but there's enough variety to create a great, well-rounded musical. The writing is the wittiest in any Disney movie ever, with constant in-jokes and hilarious references to Greek mythology to reward the amateur scholar. The lyrics, too, are witty and full of tricky rhyme schemes that must have been a doozy to write but play out perfectly on screen. (You'll be flat-out awed by how many things rhyme with the phrase ""gospel truth"".) <br/><br/>Another of the highlights is the heroine, Megara or Meg. She's in no way a typical Disney princess. She's sassy, sexy, cynical and dangerous - and more winning by far than any warbling Cinderella or whiny little mermaid. The villain, Hades, is also a fun, witty character, although plenty dangerous in his own right.<br/><br/>Of course liberties have been taken with Greek mythology. The dysfunctional Olympian family has been cleaned up (No more Zeus having affairs or Hera trying to kill people) and the story has little in it of the original Greek legend. Instead, it's really an archetype, a modern retelling of all the Greek legends at once. Appearances are made by the Muses, the Hydra, satyrs, the Fates, Pegasus, the Titans, Narcissus, and of course all of the Olympian gods. Scholars may take offense, but since legends evolve and are to be taken with a grain of salt anyway, I didn't have a problem with it.<br/><br/>Yes, it's cheesy, just like other Disneys. But when nobody else is around, there's no resisting the corn. The third act is absolutely heart-wrenching, and even if it's over-the-top, it never truly goes over the top, and the constant bombarding of wit keeps things from getting too touchy-feely. Besides, tied together with a golden Disney score, who couldn't resist a dose of adventure, heartache, redeeming love, and most of all, heroism? Just let yourself be carried away to ancient Greece and you'll forget the movie's problems in a Pelyponnesian minute. As the Muses would say, that's the gospel truth."
"Judith-4","Null","38","48","13 June 1999"," A great villain
","I don't usually like villains, even in Disney movies, because they're too scary, but I loved James Woods as Hades.  He was so funny.  I loved the way he called Megara ""my little nutmeg.""  I also loved the way they depicted Thebes like New York and they called it ""the big olive.""  I loved Meg's cynical and sarcastic attitude.  Hercules himself was rather bland.  I loved the song ""Go the Distance.""  Paul Wylie skated to it and showed how powerful the song is.  I really enjoyed this movie and I don't care if it departs from Greek mythology.  It was really about our time anyway.  I'd watch it again in a Pelopenisian minute."
"rapier7","8","43","60","29 June 2004"," Hey mythology lovers, get a grip!
","I have seen many Disney movies, animated and not, and this one has more action than most, has no cute animals and is more humorous (ala Aladdin) than a typical Disney movie--Pixar films not included. This one also has a male lead (no princesses). If you are looking for typical Disney fare, then you may not appreciate this one. We enjoyed it thoroughly--from 4 to 40 years of age, male and female.<br/><br/>As for all the criticism regarding the liberties Disney took with Greek mythology, get a grip. I love Greek mythology too but hey, IT'S FICTION! It's not historical fact. Even the ancient tales themselves are not consistent, containing contradictions. There were many authors. But the characters are interesting, and Disney used some of them to create a good story for kids about an outcast looking for his place in life. It also explores what makes a hero a true hero (perhaps the more useful lesson of the movie). Yes, it's a shame they took so many liberties with this picture but it still encourages interest in Greek myth. Don't believe me? The Teenage Mutant Ninja Turtles were not historically accurate either but they got kids interested in the Old Masters!<br/><br/>8 / 10"
"black_white_clouds_r_pre","10","60","87","18 July 2006"," The BEST Disney movie I have ever seen!!
","Oh my gosh I can't believe that people are complaining about this movie. It is amazing with great art, jazzy music and awesome characters. I am 14 and first saw this movie at 5. I liked the movie then and absolutely love it now.<br/><br/>I love the songs and even though it is not true to mythology, so what?? It's a movie so get over it!! Shesh!! This movie has got heaps of bad reviews but has anybody looked at the good ones?? The characters in this movie are great. Hercules is great and Phil adds some laughs. The villains in this story add soo much humor. Hades, Pain and Panic add soo many laughs and James Woods is perfect for Hades who is one of the best villains yet!! Megara (or Meg) has to be the best heroine from all the Disney movies. For one she is not looking for love, is independent (she can tie her own sandals and everything) and can stand up to her boss. She doesn't let anyone push her around. I think that Susan Egan did Meg's voice perfectly.<br/><br/>Honestly I just want to say that this movie is great for both adults and children and the songs are unforgettable.If you haven't seen go to the video shop and rent it! You wont be sorry!!"
"stebird","10","5","5","16 August 2017"," Herc is our hero, oh yeah he is!
","Part of my later childhood and I'll never forget Disney's Hercules, I also liked the video game of Hercules, used to play it on the original PlayStation.<br/><br/>Disney took a well known Ancient Greek tale and made it their own, Hercules never looked better than he does here in animation; the colour of the whole film is vibrant, striking and oh so pleasing..., perfect for kids and probably a secret pleasure for some adults too hehe! <br/><br/>Tate Donovan isn't exactly the most well-known film star out there, but he does a marvellous job of voicing the titular hero, he brings an innocent, childlike quality to the Greek warrior, making him more realistic and relatable compared to other portrayals of the same character.<br/><br/>Susan Egan has a wonderfully sweet voice making the character Meg seem vulnerable and generating an awful lot of empathy towards her, she is the ultimate damsel in distress and you just now she's going to end up with big Herc at the end of the film (well of course, durr...) <br/><br/>James Woods, an acclaimed actor toned it down considerably for his portrayal of Hades, the God of the underworld and the film's antagonist, it's probably the most camp and least threatening version of the character ever, oh but again perfect for kids!<br/><br/>My favourite though has to be Phil, voiced by the legendary Danny DeVito..., the little guy is like Herc's mentor, his guardian angel if you will, he provides a lot of comedy relief and elevates his portions of the film considerably. <br/><br/>Hercules contains a brilliant musical score, typical of Disney films, evoking the correct emotions and tying into the action appropriately, Herc is a hero is the defining song and sheds a perfect amount of light on the Hercules character. <br/><br/>The film was released during the period when Pixar was beginning to find its feet, Toy Story was released two years prior and A Bugs Life and Toy Story 2 released in the coming years, with classic animation in less of a demand and computer imagery starting to take over, Hercules did well to succeed and garner the critically great reception it did. <br/><br/>Disney always knows what it's doing and you can always count on them, and Hercules is no different, a lovely film albeit tame and you shouldn't let it slip through your fingers."
