"username","rating","helpful","total","date","title","review"
"MR_Heraclius","6","41","45","20 February 2020"," Taken
","The sequel which could have started off one of the best action franchises of all time but ultimately fell flat. The movie is poorly directed by Olivier Megaton who over used shaky cam, the writing is cliched and stupid but to be honest I can't help but like it for being so bad, there is some redeeming factors like Liam Neeson who always puts in a great performance but overall the film is stupid and that's why I like it."
"balikayak","3","214","273","8 October 2012"," Unfortunately Taken!
","I was unfortunately taken to see the movie, hoping the directors (art director, etc) would have done a better job since Midnight Express. The scenario is full of awkward, hard to be believe events like Kim bombing the whole covered bazaar area which is like one of the most crowded parts of the city. While she is doing that, the dad is kept by the kidnappers who were stupid enough to leave him alone for hours and let him speak on the phone. He escapes from the place just like that, and then is followed by Turkish police cars from 1970s. Kim who was not able to drive automatic car in US, right away makes all these car moves driving a stick Taxi in the most narrowed streets. I also have to mention that all the women appeared in the movie were dressed in black veils- I don't know why, someone should explain that, also Turkey does not have a border with Albenia. The list goes on, but I don't think its worth to spend money or time."
"bilge-erdogan","3","137","172","9 October 2012"," Complete and utter failure
","This film is just a poor attempt to combine all sorts of action movie clichés brought together with a hope that it will attract action movie fans to the film. I am afraid that was a false hope as I think this film was an utter failure. Its performance cannot even be compared with the first Taken film- which I loved. Liam Neeson is marvellous as always but the scenario is awful. There are many ridiculous points throughout the film: <br/><br/>1) How does the girl manage to use three grenades in Istanbul without getting caught by Turkish forces?<br/><br/>2) Are we expected to believe all Turkish police cars are from 1970's and 80's?<br/><br/>3) It is not even a whole day spent in the city and I think we heard more than five hundred calls for prayer... <br/><br/>4) Liam Neeson fights and shoots almost 10-15 guys and I cannot remember him receiving one fist on the chin. Are all bad guys idiots that they let Liam Neeson on his own for hours to let him make phone calls and arrange his escape. <br/><br/>5) Again the bad guys who are shown to be burning with the desire for revenge are not actually that bad as they treat the guy and his family pretty well. <br/><br/>6) The bad guys fire almost thousands of bullets and miss every single shot whereas our ex agent seems to be hitting the target every single time. <br/><br/>7) We see an exceptional (impossible!) driving performance of the girl in narrow and unfamiliar streets of Istanbul where she stepped her foot for the first time in less than 24 hours. Maybe we are expected to believe she inherited (!) those natural skills from her bionic father the day she was born. <br/><br/>8) We are expected to believe that one can consider barging into an embassy courtyard driving through the security and be allowed to walk free by just one call to a guy in the golf field. Seriously??? <br/><br/>9) Some of the fighting scenes are too fast, it is impossible to understand what's going on. You just have to sit patiently for two minutes to see who collapses and who is still on his foot to understand who was a better fighter. <br/><br/>10) I thought counting in the car for the turns and noises for boat, music instrument and something else that I do not remember now was so cheesy. The boat and the music guy being in the same place forever and ever is just a laugh. ..... <br/><br/>I think I can continue with the list and add 25-50 more ridiculous items. In short I am trying to tell is that this film is not worth going to the cinema and wasting time and money on that. If you had liked the first film and expecting this one to be similar, you will be very disappointed. The story is so poor that I think it is an insult to the audience's intelligence."
"ridvansenturk","3","57","71","10 October 2012"," Logical Errors
","I Liked the movie but they should know more details about Turkey! Even my girlfriend she is from Russia, she told the city doesn't seem like Istanbul . Albania doesn't have border between Turkey.Budget is $45,000,000 How come did you find 80's police cars , Even those cars not driving anymore for 20 years! I never seen before Covered Women in Turkey like a Arabian Countries. In the movie every women have black cover.Mostly people in USA drive Automatic cars and the girl didn't pass driving test 2 times but The girl drives a manual car perfectly in Turkey. How come ? If you didn't go Istanbul before you won't go to Istanbul after this movie.It is not fair!I think Taken 1 was better"
"whitesocks_1","6","225","312","3 October 2012"," Such a shame
","I am a big fan of the first taken movie, it not only had professional cinematography but great action, suspense and originality. Now this sequel i am ashamed to say was a money grab by the producers. Now Luc Besson and Robert wrote the original script without being pressured by their superiors to be limited to a marketable plot, unfortunately thats what has happened to Taken 2. <br/><br/>The plot follows Liam Neeson after the events of the original and well its the pretty much an identical situation. <br/><br/>The climax however is the main issue , it's rushed. It just happens and I was left wondering why it just ended so fast. <br/><br/>I cannot say this movie was terrible because it wasn't, it was just a movie that could not even close live up to its predecessor due to lack of depth and originality. <br/><br/>Don't waste your money at the cinemas Wait till its on DVD"
"dj_dothead","1","55","74","15 October 2012"," Totally avoid
","I fell for it, because I enjoyed taken even though I was told to avoid this I watched it. Whats wrong with this movie, the question should be whats right with it.<br/><br/>1. Villains are out for revenge manage to track neeson bribe their way past security yet when they face neesom they are totally incompetent.<br/><br/>2. Kim has her swimming session and the villains don't bother her at all until they have neeson and his ex wife.<br/><br/>3. Villains manage to kill hotel security very easily but not one of their bullets even scracth neeson.<br/><br/>4. Istanbul a popular tourist city is full of slums and women covered in burqas.<br/><br/>5. Taxi drivers in Istanbul have better cars than the police of turkey who have something that resembles ladas.<br/><br/>6. You can set off many grenades in a dense city but no military or police will look for you.<br/><br/>7. When villains catch you they will not pat you down for hidden weapons, or mobile phones they will just tie you with cheap plastic bands then leave you alone for you to escape.<br/><br/>8. While in a gun stand off and a baddie pointing a gun to your wives head will conveniently let you make a phone call and cant find your daughter even though you just told her in front of the baddies.<br/><br/>9. Albanians speak English with each other but some speak their native language.<br/><br/>10. You can drive a car into a US embassies courtyard, heavy artillery is fired at you but not a single bullet hits you nor does any bullet damage the engine or tires of the car.<br/><br/>11. A girl who fails her test many times is all of a sudden able to drive a car like transporter.<br/><br/>12. You hide in your fathers closet in a swimsuit and are asked to act casual and blend in yet you choose to steal clothes from hotel staffs lockers and attract all the attention.<br/><br/>13. You can count seconds on your watch blindfolded and work out the directions to the location you are kidnapped to.<br/><br/>14. You get slashed on your neck with a blade and are hung upside down to bleed to death yet later your wound automatically heals over a few hours and your fresh to go again.<br/><br/>15. While fighting camera angles and during car chases camera angles don't have to make sense you have to use your imagination.<br/><br/>16. Your typical action movie its justified to have Muslims as evil villains and they are so bad at it and so easy to kill.<br/><br/>I can go on and on with the terrible flaws in this movie which doesn't make sense and is a total waste of time."
"maurizio-mallia","5","176","258","7 October 2012"," Disappointing
","What an utter disappointment. Like many fans of the original Taken, I was looking forward to a sequel to see if it could match or in any way surpass the original. I am afraid that as as sequel I am left perplexed at the lack of any tension, real action and pace in the film. The villains were not as nasty as they should be- after all they were seeking revenge for the slaughter of friends and family and all appeared not all intimidating. There was no sharp dialogue and some scenes bordered on the risible especially when Liam Neeson was trying to give directions to his daughter on his whereabouts. The finale was rushed and overall the film lacked any bite or interest. Dull, unimaginative-only Liam Neeson kept what glimmer of hopes alive by his solid acting. However, a real shame the film could not even match or equal the original. Do not waste your time- see the original Taken and leave this sequel alone."
"melcovel","1","122","182","7 October 2012"," I'm going to pretend Taken 2 never happened!
","Terrible and a major disappointment to anyone that loved Taken like I did! Weak plot, terrible action and preposterous storyline make it laughable. I know the first one was far fetched but much more believable. Takes away from the first one!!! The fact that Kim couldn't get her license and then magically can drive a stick shift is ludicrous. The fight scenes were filmed too close up to see and the Albanians were made to look like total idiots by missing every shot and Liam landing everyone of them. The story was slow to start and seemed filled with fluff. The movie ends without a real build up leaving you wondering..... What just happened?!"
"Movie_Muse_Reviews","4","84","124","5 October 2012"," Uninspired and less exciting than the first, ""Taken 2"" is a barely passable sequel
","Liam Neeson's action-man renaissance in 2008's ""Taken"" was a most unheralded critical and box-office hit for a seemingly generic revenge flick. Writers Luc Besson and Robert Mark Kamen managed to captivate audiences with a streamlined story of a retired CIA operative using his skills to locate and rescue his kidnapped daughter. It was a simple concept in that it utilized family bonds as motivation, but it was made exciting through a mixture of intriguing resourcefulness and crafty violence. <br/><br/>Everything about the story of ""Taken"" was so concrete, that there didn't seem like any obvious direction for a sequel, but a gross of $226.8 million on a $25-million budget talks, and so we have ""Taken 2,"" but what Besson and Kamen have come up with this time fails to measure up to the original in almost every way.<br/><br/>This shouldn't surprise anyone considering, again, no justification existed in the original story for a sequel. Kim (Maggie Grace) couldn't just get taken again, and part of the intrigue was Mills (Neeson) having to find her despite being hours behind her captors with no idea of where they might take her. In ""Taken 2,"" it's not as complicated and the stakes don't feel nearly as high.<br/><br/>Simply, the Albanians that Mills killed en route to finding his daughter want revenge, so they track him to one of his private security jobs in Istanbul. As it happens, Kim and her mother, Lenore (Famke Janssen), decide to surprise him by flying to meet him there, though to be fair it's not that obnoxious of a coincidence, as Mills had invited them to come after hearing Lenore's current husband had canceled their family trip to China.<br/><br/>During their first full day together in Istanbul, Kim gets the idea to let Bryan and Lenore have some alone time in hopes of rekindling their relationship, but when they go into town they are followed by the Albanians, and despite Mills' best efforts, he and Lenore are taken.<br/><br/>The entire setup here is forced — really forced. It feels as though every single plot point or detail exists solely to create circumstances in which our main characters can get kidnapped, with ample occurrences both inconvenient and convenient to allow for problems and general suspense while also providing enough room for a solution.<br/><br/>We already know what Mills is willing to do for his family, so his motivation is identical to the first film, plus we know he's too skilled to stay kidnapped for long. What's required to compensate for not raising the stakes in terms of both motivation and danger is substantially more creativity, and that's where Besson and Kamen really come up dry.<br/><br/>There's one scene early on (as in once the film gets going early on) in which Mills uses Kim to help pinpoint his location in the city, instructing her to set off grenades so he can figure out how far away she is by how long it takes for him to hear the blast. It's just a tease that the film might reach its predecessor's level, however, as the ingenuity never gets any more exciting than that.<br/><br/>Director Olivier Megaton, a frequent Besson collaborator, takes over for Pierre Morel, and does nothing to help nor hurt the picture. His style is a bit more frenetic as he heavily edits the action sequences to the point where you don't get more than a second and a half at any one camera angle, but that's not a problem so much as the film's failure through and through to prevent the audience's indifference to what's going on. We were given plenty of reason to doubt Mills' success in""Taken,"" but this time around we haven't a shred. There's a moment in which we think something might take a surprisingly darker turn, but it's over in a flash.<br/><br/>The script also attempts to be a bit more theme-driven than the first film, whether just because or in effort to compensate for its pointlessness. The father of one of the Albanians Mills killed (the infamous Marco from Tripoja), the ""main bad guy"" played by Rade Serbedzija, has a few conversations with Mills about taking the lives of family members and when revenge is or isn't justified. It's legitimate notion, but a bit out of place; we're asked to consider the feelings of the random European thugs who we normally see as killing fodder for our action movies. We don't care if you're someone's son — you're a tattooed meathead who deserves to be offed if for nothing but our amusement.<br/><br/>""Taken 2″ isn't offensively bad, just uninspired and unable to make the case for its existence. At 91 minutes, it's a harmless exercise in generic action filmmaking aimed at placating the folks who clamored to see more of one man's particular set of skills, even if they're the exact same skills applied in a less-than-spectacular manner.<br/><br/>~Steven C<br/><br/>Thanks for reading! Visit moviemusereviews.com"
"liamnoble1","1","141","215","17 October 2012"," Taken 2: Don't go
","So, its a stinker!<br/><br/>If you came to see Liam Neeson kicking ass, my advice is turn back now and save your money. This is entirely due to the inability to actually see what the heck's going on in all of the films actions sequences and stunt co ordinations. The film looks like it was filmed on the site of a permanent earthquake with a camera dangling by a rope. If you have epilepsy this might be one to avoid considering how quick its been edited. Its almost like director Olivier Megaton said ""yeah we're going for the subliminal message type look, edit it like that"" And you want anything remotely reminiscent of the first films action? well forget about it because it hasn't been included. <br/><br/>What you will be treated to however is a cheap, watered down child friendly, completely unrealistic, trashy, knock off 'Rom Com with bullets' B reel, sold purely on the title of ""Taken"" alone.<br/><br/>Huge plot holes dominate the script from start to finish, in its purest form its basically an awful rehash of the first film but 1000 times worse, placing Maggie Grace (Bryan Mills daughter) as the heroine trying to rescue her parents from a load of bungling Albanians (yes they are literally that bad, think of Manuel from Faulty Towers and you have your starting point) . Liam Neeson does his best with what he's got, but there's only so much you can do with a turd script like this. Unfortunately its so laughable that Neesons character starts to look like a paranoid delusional psychopath that sees kidnappers everywhere. They must have forgotten to include the scene where Neeson gains his super power to spot evil doers just by looking at them, but hey that's what happens so get over it!<br/><br/>Not only that but did anybody even look at a map before this script was written? Had anybody even been to Turkey or Albania? Clearly its the best location in the world to magically learn how to drive a car, because that's what Maggie Grace does! However there's also a dire lack a qualified torturers because no one can do it, or interrogate or generally manage to do anything right! Alternatively, if you feel like throwing some hand grenades off rooftops without anybody batting an eyelid then this might just be the place for you. Don't worry about the police, they'll be to busy driving around in there 1970s bangers they hauled right off the scrap heap, where this movie also came from.<br/><br/>Unfortunately the worst news is that Taken 3 already seems to be on the horizon. Many of you will be asking 'how...why....who....???' but unfortunately money speaks louder than taste. I imagine the plot will be an all black screen and Liam Neesons voice over ""Your money has been taken"". The horror that it was a 12a should have sent alarm bells ringing before I even bought the ticket, alas my money and respect for the film industry is now gone forever. What's even more painful is the fact that Luc Besson is partly responsible for this mess, Luc Besson! director and producer of some truly awesome films. <br/><br/>Please don't see this film, please don't be 'Taken' in"
