"username","rating","helpful","total","date","title","review"
"vladymirror","Null","266","312","27 August 2003"," the ultimate nonsense comedy
","Well, this is unquestionably one of the funniest movies ever made. The first time a saw it I laughed to tears and this is the only time that counts. The first time you get the best experience. I really envy those who haven't seen it yet. <br/><br/>From the opening scene to the sudden ending this one won't let you leave the room. Especially the opening scene: ""Are you trying to say that coconuts migrate"" or when John Cleese trying to be Tarzan, hanging on the rope said: ""Can somebody give me a push."" An absolute masterpiece.<br/><br/>
Considering the low budget that the creators of the movie had at their disposal would probably make ""The Holy Grail"" the best movie in this genre-silly nonsense kind of stuff. It shows the great creativity and acting capabilities of the Monty Python crew. It comes to say that a movie can be made with a little bit of money - a great movie. 10 out of 10"
"Manthorpe","10","219","265","16 February 2004"," They could grab it by the husk.....
","King Arthur and his Knights of the Round Table set out on a quest to find the Holy Grail...as told to do so by a cartoon God that lives in the clouds... <br/><br/>Easily the most hilarious and original comedy ever made, Monty Python and the Holy Grail claims it's undisputed throne through insanely ridiculous situations and characters that will very likely never be duplicated. Pure comedic genius that doesn't go stale with age or decades of competition having been released. Simply seeing the way comedy films are made today, this film will very likely have a long reign before anything can even hold a candle to it. An absolute belly-laugh fest that never lets up.<br/><br/>Only the cast of Monty Python could have pulled this film off, with each actor playing many different characters...all hilarious! The genius in the actors' lines themselves are truly to be admired. The comedic style of talking in circles is one technique that most comedies do not try to do, simply because they can't compete with the genius of this film, which uses it flawlessly. Those that do try usually fall flat on their faces. Two particularly excellent examples of this can be seen in the beginning scene, in which the characters discuss the origins of coconuts.....and the other when Lancelot breaks into the swamp castle to save the ""damsel in distress."" This is merely one technique that the cast has perfected to conjure up laughs consistently throughout the entire film. The only way that I can imagine that someone might not like this film is if they simply do not enjoy it's type of humor. Too bad for them.<br/><br/>Another hilarious technique used in the film is the use of comedy in the background. From people slamming cats against poles for no apparent reason, to people filling up baskets with mud in the fields....all very strange and hilarious at the same time. It's also simply amazing that all of the characters are played by the same group of actors, which shows the great range all of them have. Some are simply unrecognizable from one character to the other and it sometimes takes a good eye to pick them out, which makes it fun. And I don't want to ruin it for anyone, but this film takes some turns that no sane person could see coming.<br/><br/>Ridiculous characters in ridiculous situations equals ridiculous laughter.<br/><br/>The epitome of all-star comedy that will no doubt continue to stand the test of time. Kudos to Gilliam and the rest of the Python crew. If you haven't seen it yet, make it your first priority in life!"
"uckpshh","10","322","401","3 October 2004"," The reason Robin Williams isn't in a nut house.
","This is perhaps one of the greatest, funniest parodies in the history of film. I think the greatest definition of irony is that to be believably stupid on screen, you have to be very intelligent. This is a rare occasion where something can be so stupid that it's funny, with the addition of feeling you got your money's worth at the end. Examples of failures would be anchorman, austin powers, scary movie etc. The gore and clich̩s of three headed, and goofy ""NI!"" yelling knights are what give this movie discreet beauty.<br/><br/>Did I mention that the acting is also very good for a movie of this sort. All of the main characters, as they do in the series, take on numerous characters, all of whom are well established and each have their quirks about them. This was a well written, well thought out, and perfectly directed, low budget comedy. The funniest of any monty python film, and amongst the top comedies of all time. I laughed from beginning to end and bruised one of my lungs. I highly recommend this film to anyone. This is living proof that all you need is a good script and good actors."
"MaxBorg89","10","80","97","28 March 2006"," WHAT is the capital of Assyria? I don't know that!
","I do know, however, that Monty Python and the Holy Grail is one of the funniest movies ever made. Let's face it, if the Python hadn't showed up in 1969, someone would have created them by now, or the world would be a much sadder place. Alongside Life of Brian, which is the sextet's masterpiece, Holy Grail is an excellent start if you want to get addicted to their surreal humor.<br/><br/>As suggested in the title, the film deals with the Arthurian stories, freely reinterpreted by the Python ensemble: after recruiting his knights, including Sir Lancelot (John Cleese), Sir Robin (Eric Idle), Sir Bedevere (Terry Jones) and Sir Galahad (Michael Palin), King Arthur (Graham Chapman) embarks on a mission from God (also Chapman, voice only though): to seek and find the Holy Grail. No need to say, the journey is going to be perilous, but also hilarious, our heroes doing their ""best"" to screw everything up.<br/><br/>As in Life of Brian, there are so many good bits choosing just one or two feels reductive and disrespectful, given the material. It's pure comedy gold from start to finish, a non-stop gag marathon: from the mock Scandinavian subtitles in the opening credits to the argument about swallows, from the Killer Rabbit to the Black Knight and the jaw-dropping epilogue, you will keep grinning like never before (if you're unfamiliar with these comedians, that is). Actually, after some serious thinking I can select two particular sequences as particularly memorable: the Knights who say ""Ni!"" and the Bridge of Death. The rest of the film is ace too, but those two scenes are the ones I can't stop thinking of fondly whenever the movie is mentioned.<br/><br/>Oh, and let's not forget Terry Gilliam's vital contribution: he doesn't appear that much as an actor (his Bridgekeeper is absolute genius, though), but he compensates that with the remarkable animations used to depict part of this epic adventure. Speaking of epic, this picture has one of the most brilliant tag-lines in comedy history, if not film history in general.<br/><br/>Oh yes, the world wouldn't be quite the same without the Monty Python. Even the most miserable person on the planet will laugh like a lunatic after viewing any of their films.<br/><br/>P.S. Ni!"
"lambiepie-2","10","117","160","18 May 2003"," The King of Comedies!
","The first time I saw this was on CBS at 11:30 on a Friday night. I had seen a few Monty Python shows on PBS, so I knew who they were, and I was very interested in seeing this.<br/><br/>This film shows you just what all around comedy is all about.<br/><br/>It starts during the opening credits and ends in a way you don't see coming. The songs are....memorable. The drawings/animation are imaginative for its time and the Monty Python troupe was at its shining best playing a host of characters from the days of King Arthur. If you don't laugh at this today, you have no funny bone! Many other reviewers here hit this film on the nose, there isn't much more to add to how brilliant this piece of work it.<br/><br/>This is one of my all time favorites and is one of the top 10 films of all time."
"mjw2305","9","77","106","22 January 2005"," Monty Python at their best
","In the Realm of King Arthur, the Monty Python team set out on a quest to recruit the best Knights in the kingdom and find the Holy Grail.<br/><br/>This is Classic Python Mayhem, where we encounter Killer rabbits, Knights who go Nee! and Horny Nuns who lure the unsuspecting in with there Grail Shaped Beacon.<br/><br/>The Cast all give Typically Hilarious Performances, bringing another must see to the Python Loving Audience.<br/><br/>If You Like Monty Python, you'll love it, if you don't then stay away.<br/><br/>If you've never seen Monty Python before then give it a try, yes it's dated but its still great fun.<br/><br/>9/10<br/><br/>Also see, The Life Of Brian and The Meaning of Life"
"marac-1","10","99","140","28 November 2004"," Wonderful movie!
","This is such a great film that a professor of mine actually used it in a Medieval Civilization class as extra credit. This was not because the movie was so historically accurate, but because the movie was so much funnier when we applied what we learned in her class to it! It was really hard to pick only 10 funny lines!<br/><br/>To anyone that watched it once and didn't quite get it or got frustrated the first time, here is a tip: Catch it on DVD with the subtitles or closed-captioning on. That way you will be sure to catch all of the French insults and the other one-liners that fly by so fast! I don't recommend doing that with kids in the room - my 7-year-old picked up a couple of words on the screen that he had missed previously...<br/><br/>Enjoy!"
"MovieAddict2016","10","68","99","27 October 2003"," The Silliest Film Ever Made...
","From a technical viewpoint, ""Monty Python and the Holy Grail"" could be called a seriously flawed and impaired film. Filmed on location in the UK with a minimal budget and regular ""Python"" cast members, I seriously doubt that anyone working on the project at the time had believed it would spark such a cultural phenomenon. And revisiting the movie now, post its release 28 years ago, is magical.<br/><br/>First-time viewers may be puzzled by the film's odd opening--in fact, stories of those who thought that they had entered into the wrong screening room come in abundance. But as soon as the voice of the coarse British man is audible the viewer realizes that he or she has been duped once again by the Python Troupe.<br/><br/>King Arthur and his Knights of the Round Table have been sent on a most glorious quest by God Himself--to seek and maintain the Holy Grail, the legendary cup that Christ drank from during The Last Supper, prior to His execution, and which later caught His blood as he was left danging upon the cross.<br/><br/>But the seriousness surrounding the Holy Grail is left wholly untouched by the members of Monty Python--instead, we follow King Arthur and his men as they come upon an odd assortment of characters, including The Black Knight, Dennis, The Knights Who Say ""Ni!"", and The Killer Rabbit, all of whom hinder the daring soldiers in their quest for the Holy Grail.<br/><br/>Many people will find the humor of ""Monty Python and the Holy Grail"" ingenious, while others will find the exact same jokes and stints repetitive and ridiculous. I myself did not enjoy the film the first time I saw it as a child, but over the years I have come to appreciate its humor a bit more. I still find the jokes a bit too stretched out at times, and certain gags, though hilarious the first ten times, get a bit humorless the twentieth time around (the coconuts, for example, which are amazingly silly when first introduced, soon become tiring when they are treated as the highlight of a joke repetitively). However, often enough the jokes introduced at certain points in the films are merely played in the background further into the film--for example, the fact that the men do not ride on horses is quite a major idea the first time it is revealed, and becomes the central subject of a conversation between Arthur and the man atop the castle battlements. But later on the notion of no horses is played smaller and in the background as so we can concentrate on the current jokes at hand, as well as the missing horses as an added bonus.<br/><br/>There is absolutely nothing to truthfully discuss about ""Monty Python and the Holy Grail,"" other than to say that at first it seems quite obnoxious, but it starts to grow on you. And this movie has definitely made a deep dig into our culture. In fact, on the commentary track for the newer DVD, John Cleese mentions that a pro American football player (or ""footballer"" as the English call them) and his buddy were thinking of a plan in the midst of a serious game. Their strategy was this on the field: Run away! Run away!<br/><br/>There are countless classic scenes, including the battle between The Black Knight and King Arthur (""I've had worse!""); the scene where Sir Lancelot the Brave (or Launcelot, as the script for the film names him) storms the Swamp Castle in hopes of rescuing a fair maiden and, in result, ends up destroying everything in his path (including the candle mounted along the wall leading to the spiralling staircase), saying that he gets a bit frantic and over-excited in this genre; Sir Robin and the Three-Headed Knight (""...when danger reared its ugly head he bravely turned his tail and fled...""); The Knights Who Say ""Ni!"" and their request for a shrubbery; the Killer Rabbit's attack on Arthur's merry men. That's just to name a few memorable scenes.<br/><br/>""Monty Python and the Holy Grail"" may be the silliest film ever put on celluloid. It rarely makes sense, sometimes falls a bit flat, but always puts a smile on your face. And that's an achievement."
"Infofreak","Null","19","25","25 March 2003"," I used to think this was the funniest movie ever made.
","Being brought up on Python going to see this movie on its original release was one of the highlights of my movie going childhood. For many years I thought 'Monty Python and the Holy Grail' was the funniest movie ever made. Now over twenty five years later repetition and familiarity may not have ruined the movie completely but they have spoiled my enjoyment somewhat. Even so it's still a comedy classic and I envy anyone who is watching it for the first time. Python (Cleese, Chapman, Palin, Jones, Idle and Gilliam) were on top form throughout, and apart from one or two less successful bits it's hilarious stuff, and arguably their most consistent movie. (I still think their TV work was their best, the non-linear sketch format suiting their style more than extended pieces). Python bores can quote this verbatim but don't let them put you off. This is one wacked out romp full of fun and surprises, and still has more laughs than 90% of today's so-called comedies. Highly recommended."
"zachpbeard","10","5","5","25 September 2019"," Wow!
","Wow! What a movie. Just a perfect Friday night film."
