"username","rating","helpful","total","date","title","review"
"hollingsworth76","8","564","626","19 November 2005"," worthy of its subject matter, truthful
","Whenever I see so much ""Oscar worthy"" tags/blurbs in an ad campaign I get nervous, see Cinderella Man. Usually you look closely at the fine print and see that the esteemed critic lauding the film is Joe Schmoe from the One Stop Light Bugle Press in Buttcreek, Illinois or a low level flunky who just happens to work for the media conglomerate that is distributing the film. So my heart sank a little when a film I have been eagerly awaiting was swaddled with such praise when the ads hit the air.<br/><br/>But they're right for once.<br/><br/>Joaquin Phoenix wears Johnny Cash like a suit. He isn't doing a Rich Little impersonation, you don't rub your eyes in disbelief, but he channels a man so distinct in appearance and voice to a level that is beyond admirable. One of the traits that made Johnny Cash a legend was that nobody sounded or looked like him. Short of a computer generated Cash walking around in his own bio-pic like one of those John Wayne beer commercials this is the definitive representation.<br/><br/>And yet Phoenix may not give the best performance in the film.<br/><br/>Reese Witherspoon more than holds up her end in a role that easily could have been reduced to a clichéd bumpkin. Witherspoon portrays the on-stage June in the way June portrayed her own ""character"", the stage persona that people adored, while giving her the resolve and inner strength to be the woman who tamed a hell-bent, grizzly bear of a man like John.<br/><br/>The chemistry of Phoenix and Witherspoon together in any scene, but their on-stage duets in particular, are truthful in a way that resonates long after the credits. I know that unless you have been living in a cave for the past week you have likely been bombarded with the word that the actors sing themselves without use of lip syncing. I have never been a fan of musicals, or even musical performances in a film. They generally seem forced and uncomfortable to me, the moment when I stop experiencing the story and feel reminded that I am watching a movie. I never felt that in this film. I never felt that their singing took the focus of the film, but the performances work with the story like no other music bio I have ever seen. I never felt as if I was being led through the catalog, the songs felt as organic and natural as any spoken dialog in a great narrative.<br/><br/>This film far exceeded my expectations and afforded me the first trip home from a theater with a true feeling of satisfaction in a very, very long time. Highly recommended."
"Snoopymichele","10","367","438","22 November 2005"," And The Oscar Goes To......
","Wow, what a film. I had been waiting to see this movie since I read that Joaquin Phoenix and Reese Witherspoon were cast in the lead roles. I was not sure what to expect when I heard they were going to do their own singing, but was I ever impressed. Their performances in this movie were brilliant, and I had chills down my spine. It was truly amazing how much Phoenix sounded like Johnny Cash-this was a role he was born to play, and he was mesmerizing. Totally sizzling. Witherspoon was positively radiant as June Carter, and talk about chemistry between the two actors. Talk about lightning striking! I only hope they are rewarded for their efforts come Oscar time. This was a truly amazing movie, filled with great music, a top-notch supporting cast and a terrific script which was wonderfully directed."
"radioriot","9","224","281","18 November 2005"," Great film
","Considering the formula junk coming out of Hollywood these days, I was blown away by how good this movie was. The direction was perfect. Using close ups to get us in under the skin of Johnny Cash. And since it was a period piece, he could have bored us with lots of cgi of Memphis and L.A. to take us back in time. Instead he used the actors and the music to take us there. Biopics naturally have a formula to them, but the director and screenwriter did not take us down the track of overly sentimental scenes. These were real and done with a bit of well placed humor. Just like real life. Afterall you still have to follow the real lives of Johnny and June. You can't make it up, just to be original! The movie was also a movie you can take most of the family to. No nudity and sex to SHOW how in love they are, just real dialog...it's nice to hear REAL dialog and not just another chase scene, or four letter word. Yes, some movies need that to tell the story, this one doesn't. This movie goes onto my short list of great biopics, with ""Ray"". Not much else comes close to Ray or Walk the Line. The true test of any biopics is: can you still understand the plot even if you never heard of the people the movie is about. This movie is a great love story even if you never heard of Johnny and June Cash. Oscars all around I say! Plus I loved the Rockabilly music through out the movie."
"hemphill-1","10","397","513","4 September 2005"," the best film of 2005
","I've long thought that James Mangold was one of the most underrated American directors; while other acclaimed auteurs like Wes Anderson and David Gordon Green have made names for themselves by essentially repeating themselves with each film, Mangold has attracted considerably less attention for actually having the gall to show some range. Like the great directors of the Hollywood studio system, Mangold shows visual and narrative skill across a wide array of genres: character-driven crime (COPLAND); horror (IDENTITY); issue-oriented drama (GIRL INTERRUPTED), etc. What each of these films shares in common is a stunningly elegant and expressive visual style, an attention to character reminiscent of Renoir, and an economy of storytelling that would make Howard Hawks envious.<br/><br/>Now Mangold has delivered his masterpiece, and it's the best studio release I've seen so far this year. WALK THE LINE, Mangold's story of the relationship between Johnny Cash and June Carter, is deliriously romantic, exhiliratingly entertaining (as a musical it invites and earns comparison with the best of Vincente Minelli), and profoundly moving--all set to a spectacular soundtrack. Joaquin Phoenix and Reese Witherspoon are both brilliant as Cash and Carter, but not only in the ways you would expect. Their most impressive achievement is to convincingly portray two people falling in love in a manner that's sincere and sweet but never cheaply sentimental. This is the most unabashedly romantic American movie since THE NOTEBOOK, but it's totally authentic and lacking in melodrama; the subtlety with which Mangold and his performers delineate the one step forward, two steps back nature of Cash and Carter's love affair is staggering. Phoenix is particularly brilliant, not only in the romantic scenes but in moments in which Cash discusses his brother's early death; in these scenes the major tragedies of both the character and the performer's lives merge in a way that is heartbreakingly real. And the movie gets across the intoxicating nature of creative collaboration between two people in love better than any film I've ever seen--perhaps no coincidence given that Mangold and his closest collaborator, producer Cathy Konrad, are married. I could (and will) go on about this movie for hours, but let's just say that it's the movie to beat for the rest of the year."
"lreilert","10","181","233","18 November 2005"," Excellent
","Walk the Line is a great movie. When you watch it, you feel as though you are watching Johny Cash in person. Juaqin Pheonix is amazing as Cash, a man with so many regrets and self doubts. Reese Witherspoon gives an Oscar performance as the love of his life June Carter. The film is long, but worth every minute. But what is great is that T Bone Burnett chose the right songs to play. When I saw it today people in the theater were singing along with the movie. And what is great, is that Pheonix and Witherspoon sand the songs themselves. This movie should win several Oscars this year. Go see it. It is an amazing film, and it perfectly protrays an amazing man."
"robinanng","10","280","368","19 November 2005"," Just saw W.T.L.
","I absolutely loved it. More my dad's music than mine (I was born in 1960-am a rock-n-roller), but tapped my feet the whole way thru. It is funny, I grew up with certain songs of Johnny Cash, and heard about the legend of the ""man in black"" for as long as I remember, but this movie adds a whole new dimension to the man, his music. I think it's great maybe a whole new generation might come to enjoy his contributions too.<br/><br/>J.Phoenix and R. Witherspoon were phenomenal and made this film a joy to watch. I have not enjoyed any movie so much in a long time. Judging by the applause and the grins on the movie goers faces on the way out-I was not alone in my whole-hearted enthusiasm for the movie.<br/><br/>Gonna order me a J.Cash CD!"
"lgran81","9","252","339","10 November 2005"," Joaquin Phoenix is brutally hot as Johnny Cash!!
","Forget North Country, Walk the Line directed by James Mangold (Girl Interrupted) and written by Mangold and Gill Dennis is the better 2005 Oscar contender.<br/><br/>This romantic tragedy, which is based on the autobiographies of Johnny Cash The Man in Black and Cash: the Autobiography was actually written and perfected alongside the famous duo Cash and June Carter Cash before their deaths in 2003.<br/><br/>The movie begins with a young, music obsessed ""J.R."" Cash growing up in a poor cotton farming family in Arkansas. Shortly afterwards, a family tragedy changes his life forever.<br/><br/>Cash (Joaquin Phoenix) leaves for the air force, where he is stationed in Germany, buys an old guitar and proceeds to write one of the most recorded songs in history along with many others.<br/><br/>Upon returning, Cash's obsession leads him to a recording studio and into the spotlight with June Carter (Reese Witherspoon) as well as Elvis Presley (Tyler Hilton) and the comical Jerry Lee Lewis (Waylon Payne.) The next emotional hour and 45 minutes is filled with great music, drug dependency, infidelity, and most of all love.<br/><br/>Joaquin Phoenix and Reese Witherspoon, who sang every song themselves, completely shined in this movie. There are no better actors that could have filled the shoes of the Carter-Cash duo. Phoenix and Witherspoon had such great chemistry, by the end of the movie you actually think they might really be in love.<br/><br/>However, if you tend to get restless in longer movies, the running time of 136 minutes can start to seem a little long towards the end, but it's well worth it.<br/><br/>Overall Walk the Line receives nine out of ten stars. The movie did an excellent job portraying the life of the ""man in black,"" his soul mate and their rocky path on the way to love. If Phoenix and Witherspoon are not nominated for their amazing voices and chilling performances, it will be a great disappointment."
"samseescinema","8","153","209","19 September 2005"," Walk the Line is everything Ray was not
","Walk the Line <br/><br/>reviewed by Sam Osborn of www.samseescinema.com <br/><br/>rating: 3.5 out of 4<br/><br/>Director: James Mangold Cast: Joaquin Phoenix, Reese Witherspoon Screenplay: James Mangold, Gill Dennis (based off the Johnny Cash autobiographies) MPAA Classification: PG-13 (language, drug content)<br/><br/>To be honest, I've never been a fan of Johnny Cash's music. I listened to it every now and then when flipping through the presets in my car, stopping to sing along to the few lyrics I knew, but I never gave the musician much thought. Until now. For me, Walk the Line is everything Ray was not. Ray was plagued by an uneven screenplay, but got enough sentimentality and acting points for people to look past its flaws, and managed to nab a Best Picture nomination. Walk the Line, however, is worth all the press it's likely to get. With acting work just as impressive as Ray's, music just as affecting, and a screenplay that hits all the right chords, Walk the Line is a fine, fair biopic for Mr. Cash. <br/><br/>The film faces the threat of what music critics call ""same-songiness"". A volley of biopics have been released in the past year making it only a matter of time before American audiences call it quits for the genre. Making matters worse, the story arcs for Ray and Walk the Line are essentially the same. A small time musician with tragic childhood memories goes on to become an international sensation, but finds himself wrapped up with extra-marital women and illegal drugs. Yes, it sounds like a re-hash of Ray, but believe me, Walk the Line's storytelling works much, much smoother. <br/><br/>Also, what Ray lacked was romance. Yeah, yeah, I know, there was that cute scene with the hummingbird; but that little tidbit will be soon forgotten when Reese Witherspoon hits the screen. Taking on the role of June Carter, Witherspoon takes a page from her role in Vanity Fair (and not Just Like Heaven), and completely inhabits her character. Her pairing with Joaquin Phoenix yields beautiful chemistry and makes their romance believably realistic, something I frankly didn't feel with Ray. <br/><br/>There's sure to be some trepidation over the fact that Director James Mangold used Phoenix and Witherspoon's real voices for Cash and Carter's songs. Again, I'm not really an authority on Johnny Cash music, but from what I've heard, Phoenix and Carter nail it. And Cash enthusiast Roger Ebert, who was in the same screening room as me and heard the same songs, stated afterwards that he was incredibly impressed by their mimicry. <br/><br/>To extend my comparison between Ray and Walk the Line, I found James Mangold's directing style for Cash's biopic to be very similar to the formula used by Taylor Hackford in Ray. Each put a strong visual emphasis on the musical scenes and neither busied themselves with distracting camera tricks or visual pizazz. There are beautiful shots to be found in both films, but this is no Fernando Meirelles (The Constant Gardener) behind the camera. Instead, where each director plays his cards is with the screenplay. And this is where Walk the Line truly shows its colors.<br/><br/>Biopics are difficult in that a coherent story must be told over a great span of chronology. Films often run into the problem of trying to fit too much into a two hour film, an issue Ray suffered from. For instance, when Ray starts his downward spiral with Heroin and begins poking himself with needles, there were often straight cuts to joyous scenes of his son being born, or him returning home to his wife from a tour. The story never let itself settle down with a mood and tell a coherent story. Instead, the film jumped around so much, it left audiences dazed and numb to the emotions on-screen. But Walk the Line avoids this problem with James Mangold and Gill Dennis' screenplay, which is based off of Cash's two autobiographies. The script gives Walk the Line a backbone for the story to follow, keeping a foundation for the sub-plots to wrap themselves around. This foundation is Cash's obsession with June Carter. His childhood story and even his music are motivated by this romance. She was the center of his life up until his death, and she's the center of this film. And with Witherspoon's performance as terrific as it is, the foundation is solid as rock.<br/><br/>If the American public is still willing to pay money for a musician's biopic, then Walk the Line's their film. Of the recent four I've seen (De-Lovely, Ray, Beyond the Sea), Walk the Line's the finest. <br/><br/>-www.samseescinema.com"
"filmfan75","7","172","239","14 September 2005"," Great performances make this worth checking out
","I don't know about ""Mangold the Auteur"", and might need a bit more proof that this is really a director worth paying attention to, but this is a pretty watchable film. I found the story and film-making a bit predictable, like the usual bio-pic formula that you might expect if you've seen, say, coal miner's daughter, or any other bio-pic of someone you love. What makes this movie stand out is the two lead performances. Reese is unbelievably convincing as June Carter Cash. She almost disappears into the role. And her singing! Who knew??? <br/><br/>And Joaquin! We've been waiting for him to deliver a really spectacular performance for some time, and this is finally it. I, for one, resisted the idea that ANYONE could portray the man in black, but he does a pretty fine job. Not just an impersonation, but actually a performance worth watching. Really fine. <br/><br/>Watch for the Jackson duet. Really awesome."
"comebackshane","8","89","125","13 September 2005"," Excellent, if conventional.
","Having just left the Press and Industry screening at the Toronto Fest I thought I'd pass along a few words on an Oscar contender.<br/><br/>First, this is an excellent film. Second, it is formulaic, but not to a fault. The film is two great performances. Luckily, they're the right two. Phoenix has done an excellent job capturing Cash, the man. Not the legend and not what everyone thought he would be. What made Johnny Cash such an icon was that he was an ""everyman"" and Phoenix gives his all to not only capture every subtle nuance but also to make him believable as a flawed human being. Watch, in particular, the performance sequences, and I'd argue that it's equal to Foxx's Ray Charles without nearly as much caricature.<br/><br/>There's no attempts on behalf of the filmmakers at the predestination of Cash as a superstar. They simply show how he learned to sing with a radio and a hymnal. The back story given before his career started is essential to the way his life unfolds and, for the most part, is kept in well-shot and brief sequences. There are few attempts to over-glamourize or over-dramatize the events that shaped Cash's life and career. Thankfully, as well, there are no attempts to recreate his drug use for the audience's benefit in cinematic terms.<br/><br/>Reese Witherspoon's performance, as well, is surprisingly good. There are precious few points in the film where you remember she was in Legally Blonde, and her vocals and live performances are stronger than many I've seen from Hollywood actresses in recent years.<br/><br/>So, with all this greatness, what could be wrong? Nothing, really. This is a solid film, but it is completely conventional. It doesn't go for the weepy Oscar moments that drown many films and it doesn't try to cover too much of the man's life focusing mostly on his years between his Sun Records contract and his ""At Folsom Prison"" album. If you have no love for the man himself, or his music, you may walk away underwhelmed, but otherwise you'll be pleased.<br/><br/>It is a fairly standard biopic. All a filmmaker needs to make one work is a loved (or hated) subject, a decent lead performance, and as few distractions outside of that as can be managed. That is its flaw, if you must find one.<br/><br/>""Walk the Line"" is a well-made movie. Mangold's direction is capable, and the script stays fairly true to the biographies upon which it was based. It does have excellent performances, but barring a groundswell of support for Cash's legacy (which could arise) I don't see it running away with any awards. It will contend for some due to excellent performances. Considering ""Ray"" was about a half-hour too long, I'd even go so far as to say it has an excellent shot at a Best Picture nomination. But a win may be difficult.<br/><br/>I'd highly recommend it, but don't say I didn't warn you if following the rules is, in fact, a bad thing."
