"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","206","226","31 October 2015"," ""The Thing"" is John Carpenter's masterpiece and one of the best classic horror films!
","A classic film. John Carpenter's ""The Thing"" is one of the most entertaining horror films ever made - fast, clever and purely exciting from start to finish. It is one of my personal favorite horror movies. This is how all movies of the genre should be made. Set on an isolated base in Antarctica, this version seems almost to pick up where the original version (The Thing From Another World) left off. The American scientists discover a decimated Norwegian base some miles distant. Everyone is dead, and only the half charred remains of some unidentifiable thing left to smolder outside the compound might offer any answers to what may have happened. The Thing is brought back to the American base and, too late, the scientists realize that it is alive and lethal. The Thing thaws out and is off, not only killing anyone and anything that crosses Its path, but also absorbing them, making Itself into whoever and whatever it wants. The film then turns into a brilliant paranoia piece. Everyone is suspect, anyone can be The Thing, and no one trusts anyone anymore. Gone is the strength and security found when human beings band together in spite of their differences to battle a monster. The group splinters and fear rules supreme. Who is the Thing?<br/><br/>Seriously I Love this movie I love it To Death. I love Escape From New York and I love Escape From L.A. but I also love The Thing so much better this is definitely the best Carpenter film a truly masterpiece classic I love R.J. MacReady - Kurt Russell I love everything about this film that is. Science Fiction, Horror and an Action Epic Film. A lot of the practical effects were left out but the it looked nice and the acting was good and it expanded upon the monsters background and showing you the inside of the ship. It must of been tough to bring across on screen the visual design. <br/><br/>In my opinion, nobody has topped this film in the 25-odd years since its release. I'll put any of ""The Thing's"" old-school effects up against any CGI-driven movie, or this cast against almost any other ensemble. If you haven't seen the film yet, I envy you because I WISH I could see ""The Thing"" again for the first time. WOW! Does more need to be said? How about this...there is no parallel. Who's your friend? Who's the Thing? Who do you trust? Who can you afford to trust? If you've never seen this movie...your in for a treat. The only other movie that had such an impact on me was The Matrix (the first movie)...where I left the theater touching the walls wondering if they were really real. This movie will leaving you wondering....is the guy/gal next to you really real?<br/><br/>""Trust is a tough thing to come by these days."" <br/><br/>John Carpenter's The Thing is a seminal piece of horror that is not only a fine specimen of its era, but it also serves as a shining example of horror done absolutely right in any era. Combining gross-out special effects reminiscent of Hellraiser, the nail-bitingly intense, claustrophobic filmmaking of Alien, offering a story that is very well-paced, such as George A. Romero's Dawn of the Dead, and presenting the idea that true terror can be found at any time, in any place, and inside anyone, much like Alfred Hitchcock's Psycho, The Thing works on every level, and represents the peak of each and every aspect that may be utilized to make horror films effective. Granted, this amalgamation of styles is not the only formula for winning horror.<br/><br/>The basic plot about this movie is Horror-moister John Carpenter (Halloween, Escape from New York) teams Kurt Russell's outstanding performance with incredible visuals to build this chilling version of the classic The Thing. In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Once unfrozen, the form-changing alien wreaks havoc, creates terror and becomes one of them.<br/><br/>It is one of the best favorite horror films of the 80's ever. I love this film to death. The Thing is the best classic horror film from master and genius John Carpenter! 'The Thing' is classic Carpenter and one of the few remakes that is better than the original. Kurt Russell's characters: Snake Plissken, R.J. MacReady and Jack Burton are Kurt's best favorite characters he ever played. I also love the music score from Ennio Morricone! Awesome!!! 10/10 Grade: Bad Ass Seal Of Approval"
"MovieAddict2016","10","410","460","26 July 2004"," A classic that still holds up to this very day
","""I know I'm human. And if you were all these things, then you'd just attack me right now, so some of you are still human. This thing doesn't want to show itself, it wants to hide inside an imitation. It'll fight if it has to, but it's vulnerable out in the open. If it takes us over, then it has no more enemies, nobody left to kill it. And then it's won.""<br/><br/>John Carpenter's ""The Thing"" is one of the most entertaining horror films ever made  fast, clever and purely exciting from start to finish. This is how all movies of the genre should be made.<br/><br/>Taking place in the Antarctic in 1982, the movie focuses specifically on a group of American scientists. We are given no introduction to their mission, but are thrust into their existence when a pair of seemingly crazy Norwegians appears at their base camp, chasing an escaped dog. The Norwegians are killed, and the dog finds its way into the colony, which is when things really start to get crazy.<br/><br/>It is soon made quite clear that the ""dog"" is actually a shape-shifting alien organism, which manifests itself upon the physical form of its victims  in other words, it begins to eat the Americans, and imitate them so well that the remaining humans cannot discern the difference between their friends and enemies<br/><br/>The pack of scientists, led by MacReady (Kurt Russell), begin to fight for their own survival, using wits instead of brawn. If the Thing is indeed amongst them, then how are they to go about revealing it? How many Things are there? How can the Thing be killed? (Or can it be destroyed at all?)<br/><br/>The creature's origins in the film are explained easily: Thirty thousand years ago a spacecraft plummeted to Earth, and was frozen in the Antarctic ice. The Thing tried to escape, and was discovered in the ice by the Norwegians, who unknowingly released it from its natural prison.<br/><br/>""The Thing,"" the movie itself, is similar to Ridley Scott's iconic ""Alien"" (1979). Many comparisons have been made  the protagonists are stranded in a desolate area, stalked by a seldom seen foe that manages to kill them off one-by-one. However, ""The Thing""  for all practical purposes  came first.<br/><br/>Based on the famous short story ""Who Goes There?"" by John W. Campbell, Jr. (writing under pseudonym as Don A. Stuart), the film was originally adapted as a feature production in 1951 by Howard Hawks and Christian Nyby. The result was ""The Thing From Another World,"" an unarguable classic. But to be fair, it bore little resemblance to the short story, and Carpenter's remake does it more justice.<br/><br/>The idea of the Thing being able to adapt the physicality of anyone is what essentially makes this movie so great, and is the most vital link to the short story. In 1951 the special effects were simply too poor to reasonably portray the shape-shifting organism, but thirty-one years brought many advances in SFX.<br/><br/>Creature effects artist Rob Bottin does an excellent job of turning what could have easily become a cheesy gore-fest into a startlingly frightening (and realistic) mess of blood and fear. The Thing, although never actually taking one specific form, is constantly seen in a morphing stage, and the effects are simply superb. They still pack a punch twenty-two years later.<br/><br/>Ennio Morricone's score (nominated for a Razzie Award at the time) is a bit too electronic and tinny, but nevertheless haunting when used correctly.<br/><br/>
From the fact that its cast consists entirely of males, to the fact that its ending is one of the most thought-provoking and untypical conclusions of all time, ""The Thing""  by any standards  is unconventional Hollywood at its best. It comes as no surprise that, at the time of its release, ""The Thing"" performed poorly in theaters, and ""E.T.""  released the same year and featuring a much kinder alien  became the higher-grossing picture of the two (by far).<br/><br/>In the long run, however, ""The Thing"" is superior in almost every conceivable way. Spielberg's tale is outdated and flopped during its 20th Anniversary Re-Release. ""The Thing,"" on the other hand, has gradually climbed a ladder of cult classics  it is one of the most famous non-famous movies ever made.<br/><br/>Carpenter is notorious for having a very uneven career  from his amazing ""Assault on Precinct 13"" (1976) to the magnificent ""Halloween"" (1978) to the disappointing and silly ""Escape from L.A."" (1996), ""The Thing"" remains his very best motion picture. Although its reputation over the years has never been honorary enough to land it a spot on most ""great movies"" lists, ""The Thing"" is still one of my favorite horror films, and  upon close inspection  masterfully crafted. It is a daring and ingenious thrill-ride that is simultaneously unique and chilling  a genuine relief for film buffs who are tired of the same old horror knock-offs. This one, at the very least, is genuinely unpredictable."
"Stibbert","9","237","263","11 July 2005"," Today it's still one of the best horror films
","Antarctica, winter 1982. The team on an American research base get surprised by a couple of mad Norwegians who is chasing a dog with a helicopter, trying to kill it. All the Norwegians are killed and the Americans are left with nothing, but a dog, a couple of bodies and questions. That's the beginning of the greatest horror/thriller film I've ever seen.<br/><br/>From the very beginning all to the end you feel the tense, paranoid mood. Helpless and alone out in no-mans land. Ennio Morricone was nominated for a Razzie Award for his score. Why I don't know 'cause as far as I can see his score is simple, creepy and very good. It really gets you in the right mood.<br/><br/>The acting is great! The best performance is probably given by the dog who's just amazing. As for Russell and the others on two legs I can say nothing less.<br/><br/>You may think 1982 and special effects are not the most impressive? Well, think again! You haven't seen it all until you've seen this. Bodyparts falling off and creatures changing forms... Rob Bottin has done a great job witch today stands as a milestone is special effects makeup.<br/><br/>The movie didn't get a big response when it first hit the big screen due to other alien films at the time and so it's not very well known. In fact you can almost consider it an unknown movie. Nobody I've asked have heard of it. However the movie has managed to survive for over twenty years as a cult film on video and DVD. Twenty years is a long time and except for the haircut the movie is still pretty much up to date. This movie is to be considered a classic.<br/><br/>The movie is without doubt one of my, if not my favorite. I've seen it several times, but it's just as good as the first time I saw it. As a Norwegian the only thing I don't like about this movie is that MacReady keeps calling the Norwegians swedes!"
"Rainfox","Null","399","448","27 May 2000"," Good things come to those who wait
","* * * * ½ (4½ out of 5)<br/><br/>
The Thing<br/><br/>
Directed by: John Carpenter, 1982<br/><br/>
Looking back on John Carpenter's The Thing  today a highly treasured cult favourite  one has to wonder why it was dismissed by both the audience and critics when it first came out in 1982.<br/><br/>
Steven Spielberg's extra terrestrial adventure about a sweet alien that phoned home (that stole the hearts of both children and adults world wide) had opened just two weeks before and was on its historic box office rampage. Bad scheduling may have had a greater impact than anything else on the fate of Carpenter's first big studio effort for Universal Pictures. Nobody was prepared  moreover wanted anything so dark, gory and scary as this genuine remake of the famous 1951 original. This was the time of E.T.: The Extra-Terrestrial.<br/><br/>
It then makes for great movie history trivia, that The Thing has gained such a remarkable afterlife on video, DVD and television. Both financially and critically. Carpenter's version is less a remake of the Howard Hawks' version than a more faithful adaptation of John W. Campbell's short story ""Who Goes There?' (on which both were based), and critics today point out how well Carpenter plays his characters against each other. Kurt Russell will never top this one, and he gets a brilliant sparring from the entire cast.<br/><br/>
It opens in Antarctica with a sled husky running from a pair of crazed and armed Norwegian men in a helicopter. The scene is long, slow and uneasy. It feels like the Apocalypse. It oozes doomsday.<br/><br/>
This scene comprises one of the greatest opening sequences in film history.<br/><br/>
Ennio Morricone's moody synth score (heavy on naked thumping bass lines in classic Carpenter style), the windswept massive white of the desolate polar ice and the majestic husky running across the tundra chased by the chopper, compromises a completely mesmerizing piece of scenery.<br/><br/>
A satisfying example of a movie that today  18 years after  looks downright muscular in its simplicity.<br/><br/>
The budget was big ($14 mill), yet it allowed Carpenter to visualize his ideas better than ever before. There's a brooding darkness to this film, making the whites and blues of the icy Antarctic claustrophobia seem poetic and almost angelic. Dean Cundey's extraordinary photography created a palpable chill to every shot. The careful preparation (the crew went into a record 11-month pre-production) paid off immensely.<br/><br/>
Horror specialist Rob Bottin was handpicked for the many gory and grotesque special effects. Be warned  there's a lot of splatter and gore here. The Thing is actually notorious for its creature morphing scenes. Some find them disgusting, some mere cult.<br/><br/>An argument could be made against The Thing being an Alien rip-off; it has its origins in an old sci-fi story and it creates tension by popping a crowd of people (note: all-male) on an isolated outpost (an Antarctic research facility) terrorized by an alien life form.<br/><br/>
Where Carpenter was clearly inspired by Ridley Scott's 1979 masterpiece, his own alien movie is original and intriguing in its own right. There's a rhythm and an environment that equals Scott's in every way.<br/><br/>
The husky was in fact half-wolf and half-dog, and it was noted that it never barked or growled on or off the set (Horror Takes Shape, the making of - DVD version).<br/><br/>
Watch in awe at the scene where it walks through the hallway and stares at a human shadow, slightly tilting its head forward in stalking position like a wild wolf. This is a fine piece of animal training, sure, but that's not the point. This is as spooky as anything ever made in a horror movie.<br/><br/>
Carpenter had all the right tools here, and he utilized them to perfection, making The Thing his best movie alongside Halloween."
"ChadKuhns","Null","373","433","5 August 2002"," A Timeless Look in Paranoia, a Horror Classic
","Just to put things in perspective for you before I get into my thoughts on this film, I am only 20 years old and have grown up in the era of CGI, blue screen effects...and this movie was made around the same time i was born.<br/><br/>With that said, WOW, I only recently saw John Carpenter's version of 'The Thing', and what a masterpiece it truly is. I have long since been a fan of John Carpenter, in particular his works from the late 70's and 80's. In 'The Thing' John Carpenter has truly crafted a paranoia inducing, perhaps gut wrenching classic.<br/><br/>The movie is an update of the classic 'The Thing From Outer Space', but only like it's predecessor, this film is in full color, and the characters of this film have much more to worry about than an alien veggie<br/><br/>The film centers around a group of Arctic Researchers you encounter an alien lifeform capable of taking the form of anything it comes into contact with, and out of for that matter. Kurt Russell stars as R.J. MacReady, an alcoholic Vietnam Vet, thrust into the role of leader of a group of relatively cold and callous men all of whom are readily plunging into manic paranoia and somewhat madness once they realize that they are up against a creature that can take any form, be any one of them.<br/><br/>John Carpenter, more than in any other of his films, manages to create a truly believable and incredible atmosphere. When watching this film you truly get the sense of the dark,sinister, desolate surroundings, you feel and realize that these characters have no where to go...never for one second do you not believe they are stuck on a polar ice cap. Also, this film has perhaps one of the greatest endings to any film of it's genre, or any genre for that matter. I'm not going to give it away here, but to say that it will leave you wondering would be an understatement.<br/><br/>Kurt Russell is superb as MacReady....truly conveying the emotions of a man thrust into a situation of unimaginable horror, forced to lead a group of men who cannot trust that the man next to them is not the creature that has driven them to the brink of paranoia and emotional meltdown.<br/><br/>I don't care if this movie is 20 years old by now, the special effects in this movie are gut wrenching, mind blowing, and absolutely awesome. They blow away any CGI pixel based crap out there today. The 'Thing' itself is a truly horrifying and disturbing creation...unlike any alien you have ever seen in a movie before. Those who have a low tolerance for gore and blood had best prepare themselves for watching this movie.<br/><br/>This movie does what any good horror/sci fi movie should do, it really thrusts you into it's character's world. It leaves you wondering, what would you do, who could you trust if anyone you knew could be the creature waiting to feed on you, and take you over as well.  The images, and ideals of this movie stayed with me long after i first saw it, and today as i write this review send a chill up my spine.<br/><br/>It is a true shame this movie is only now getting the proper recognition it deserves. A box office flop when released, now more then ever when movies are paper thin with plot, and one dimensional in effects, this film can be appreciated as a true masterpiece of sci/fi and horror.<br/><br/>
If possible, get the Collector's Edition DVD, and enjoy it in anamorphic widescreen..the way it is truly meant to be seen. Marvel at the incredible scenery, the taught direction, the excellent atmosphere, the sweat inducing, gag reflex activating, and everything else that makes this movie great.<br/><br/>
Watch it with the lights out, with a group of close friends...maybe even with a dog around...if you don't what i'm talking about...you will afterwards.<br/><br/>Don't let a classic pass you bye"
"mcseph","10","361","419","29 September 2001"," Finally getting recognition.
","I am ashamed to say it, but I have to admit, the first time I saw this film was only about a year ago.  After seeing it, I immediately rushed out and bought the DVD collectors' edition and have watched it many times since.<br/><br/>The film is terrific on many levels.  It works as your straight monster or action type film, as a horror/sci-fi and also as a very intriguing look into the human psyche.  The incredible sense of paranoia, mistrust and fear, lent not only by Carpenter's direction (which is stunning) but also by the incredible acting of the cast in general.  Kurt Russell (obviously) is spectacularly understated in the lead role of MacReady, and, as a direct result he ""feels"" like a real person, rather than a hollywood ""all american hero"".  The other cast members all carry off their roles with style, and the net result is an intensely believable atmosphere, and a truly fantastic film."
"hitchcockthelegend","10","161","185","4 March 2008"," Flips the scenario round from the original to great effect.
","John Carpenter shows how much he loves the 1951 original by giving it the utmost respect that he possibly could, the only difference here is that Carpenter chooses to stick to the paranoiac core of John W Campbell Jr's short story.<br/><br/>The secret to this version's success is the unbearable tension that builds up as the group of men become suspicious of each other, the strain of literally waiting to be taken over takes a fearful hold. Carpenter then manages to deliver the shocks as well as the mystery that's needed to keep the film heading in the right direction.<br/><br/>Be it an horrific scene or a ""what is in the shadow"" sequence, the film is the perfect fusion of horror and sci-fi. The dialogue is laced with potency and viability for a group of men trying to keep it together under such duress, while Ennio Morricone's score is a wonderful eerie pulse beat that further racks up the sense of doom and paranoia seaming throughout the film.<br/><br/>The cast are superb, a solid assembly line of actors led by Carpenter favourite Kurt Russell, whilst the effects used around the characters get the right amount of impact needed. But most of all it's the ending that is the crowning glory, an ending that doesn't pander to the norm and is incredibly fitting for what has gone on before it. Lets wait and see what happens indeed. 10/10"
"Gafke","10","331","393","28 December 2003"," Intelligent Splatter
","This is another one of those films that I remember staying up late to watch on TV, scaring the crap out of myself at the impressionable age of 12 or so and dooming myself thereafter to a life of horror movie obsession. This is a GREAT movie, and stands as living proof that there were indeed realistic effects before CGI.<br/><br/>Set on an isolated base in Antarctica, this version seems almost to pick up where the original version (The Thing From Another World) left off. The American scientists discover a decimated Norwegian base some miles distant. Everyone is dead, and only the half charred remains of some unidentifiable thing left to smolder outside the compound might offer any answers to what may have happened. The Thing is brought back to the American base and, too late, the scientists realize that it is alive and lethal. The Thing thaws out and is off, not only killing anyone and anything that crosses Its path, but also absorbing them, making Itself into whoever and whatever it wants. The film then turns into a brilliant paranoia piece. Everyone is suspect, anyone can be The Thing, and no one trusts anyone anymore. Gone is the strength and security found when human beings band together in spite of their differences to battle a monster. The group splinters and fear rules supreme. Who is the Thing?<br/><br/>The gore effects here are absolutely amazing and messily realistic. I could have done without the dogs head splitting open like a banana peel, but that's just the animal lover in me being picky: kill all the humans you want, but leave the kitties and puppies alone. Sanity and reason disintegrate rapidly as, one by one, the humans are taken over by the shapeshifting alien. The power of this film lies in its paranoia, and although I liked the original version, I prefer this one; the real threat lies within, and is scarier for the fact that it cannot be seen or easily detected. When it is forced out of hiding, it's wrath is huge and the results are horrific.<br/><br/>This is one of Carpenters best films, right up there with The Fog and Halloween. All of the actors give strong, realistic performances and the special effects are so powerful that they stand as their own main character. This film has something for any lover of the horror genre. Don't miss it."
"The_Wood","10","338","422","20 April 2002"," I worship this film. 10/10
","John Carpenter's The Thing is hands down the best horror film ever made. Not only that, but it is also on of my personal favorite films of all time. What makes the movie so great?  It's hard to put my finger on it. Everything just seems to work in The Thing, it's one of the rare occasions where everything just seems to fall in place.  The film is even superior to Alien in creating a type of moody atmospheric hell.  The fact that it's not only about the gore (which is wonderful btw), but it is able to create a paranoia that is unmatched in films.  A truly wonderful film that is worshiped by all horror buffs, and anyone who has good taste in films."
"PeachHamBeach","10","37","42","22 May 2008"," Still my all time favorite sci-fi/horror!!!
","The silly saying, ""You can't touch this"" surely applies here. With all the clone horror and sci-fi films coming out, along with all the inferior remakes, it's hard to find anything worthy of 2 hours of your time. That's why I always rely on the classics that scared the weewee out of me when I was a pre-teen.<br/><br/>THE THING is, without an ounce of doubt in my mind, the goriest, ickiest, screechiest sci-fi horror classic that John Carpenter, or any other director (sorry, even you Mr. Spielberg) ever made. What really gives it power, though, is not the gore (it OOOOOZES of slime and blood and God knows what other fluids), but rather the sense of dread, isolation, and distrust it fosters in the characters and the viewer.<br/><br/>You can't get more remote than Antarctica, and in this howling, freezing white setting is where the story takes place. Several Americans, researchers and military men, are stationed there. One day, they witness a Siberian Husky dog running for dear life from gun-wielding Norwegians. Before they know it, the American outpost is battling a mysterious creature that can imitate any creature it wants. It may morph into disgusting slimy bloody shapes before it's finished, but once it's finished, if you didn't see it in progress, you can't tell it among humans or other normal Earth animals.<br/><br/>Kurt Russell, Keith David, Wilford Brimley, Richard Masur, Donald Moffatt, TK Carter, Thomas Waites and Charles Hallahan are just a few of the fine cast. This film is the reason why horror CAN be a great genre. It actually STILL scares me. The alien blood ""jumping"" out of the petri dish when the hot wire touches it still makes ME jump!!!<br/><br/>Still the scariest of them all."
