"username","rating","helpful","total","date","title","review"
"MR_Heraclius","8","43","50","24 February 2020"," Thor
","Thor is a film that takes risks - and they pay off wonderfully. The movie grounds itself in reality while keeping a mythological and fantasy-esqe tone, and it never loses sight of the humanity within the characters, with elevates this above standard superhero fare."
"rparham","8","98","146","3 June 2011"," Thor proves a strong contender
","In the pantheon of Marvel Superheroes, from my vantage point, Thor is a second-tier player. Even amongst non-obsessive comic aficionados, such as myself, Thor doesn't quite have the readership draw or the common familiarity in the public that heroes such as Spider-Man, Batman, Superman, etc., have. However, that doesn't mean that Marvel Studios, the filmmaking wing of the company, feel inclined to give the filmic adaptation of Thor short shrift. The cinematic entry for this character, titled simply Thor, is among the better of the Marvel adaptations of recent years, mixing a good sense of fun, strong acting, and some Shakespearian level drama that makes for an especially entertaining time at the movies.<br/><br/>Liberally adapting portions of Thor comic book lore to fit in a more modern comic book film reality, Thor introduces us to a centuries old war between the Asgardians, beings that live for long periods of time and can travel through space from their home realm of Asgard to various other worlds, such as Earth, via the Bi-Frost bridge, and the conflict centric Frost Giants, whom the Asgardians conquered some time back. Odin (Anthony Hopkins), ruler of the Asgardians, is preparing to abdicate his throne to his son, Thor (Chris Hemsworth), but on the eve of Thor's inauguration, agents of the Frost Giants infiltrate Asgard and attempt to steal back a device that is the key to their power, which had been taken by Odin at the end of their long struggle. When Thor disagrees with his father's desire to not to retaliate in order to not disturb the peace that currently exists between the Asgardians and the Frost Giants, he takes matters into his own hands, traveling to the Frost Giant's realm with his brother Loki (Tom Hiddleston), and compatriots Sif (Jaimie Alexander), Volstagg (Ray Stevenson), Hogun (Tadanobu Asano) and Fandral (Josh Dallas) in tow. When the encounter with the Frost Giants ends with tensions re-ignited between the two factions, Odin decides that his son is not prepared to lead his people, and exiles Thor, sans his powers, to Earth.<br/><br/>When he arrives on Earth, he is discovered by astrophysicist Jane Foster (Natalie Portman) and her associates Professor Selvig (Stellan Skarsgaard) and Darcy Lewis (Kat Dennings), who are convinced that he isn't a random homeless vagabond that they found in the middle of the desert. Thor must attempt to locate his power hammer, Mjolnir, from the government agents that have captured it, and attempt to reclaim his place in Asgard. However, he finds that, without his super-human abilities, and surrounded by humans, perhaps some of his previous attitudes were incorrect, especially when he connects romantically with Jane. Meanwhile, Loki, who turns out to have some ulterior motives, seizes control of Asgard following the collapse of Odin from strain, and begins to hatch a grand scheme involving the Frost Giants.<br/><br/>Thor, much like Iron Man before it, proves that, in the right hands, a comic tale that appears silly on the surface can have hidden depths when properly plumbed. Sure, Thor has elements that, on the face of it, may lead a bit to some audience snickers (Thor's ability to pick himself up and fly and defeat attackers with little effort are a bit cheesy at times), but the creatives behind Thor, including director Kenneth Branagh, manage to develop a story for Thor that deals with elements of tragedy, pathos, selflessness and, perhaps even more surprisingly, involving character development. Thor is more about the lead characters at its core, again akin to Iron Man, than some other comic book films and this draws the audience into its tale.<br/><br/>When it was first announced that Kenneth Branagh would be taking the reins of Thor as a director, it seemed something of an unusual fit for someone best known for his cinematic adaptations of the works of Shakespeare, but the final results of Thor bare out that Branagh was just the right man for the job. Considering the larger-than-life origins of the Thor comic, involving beings with the power and appearance of Gods and the various machinations of their story, the material fits fairly well with Branagh's body of work to a great extent. Especially strong is the development of Loki, who proves to be less of a traditional mustache twirling villain, and more of a misguided soul, trapped between revelations he makes about himself and his past and his respect in his father, making him more of a tragic figure than a black and white comic book antagonist.<br/><br/>Thor benefits from strong acting from its leads, Hemsworth and Hiddleston. Hemsworth embodies Thor, first as the brash, acting-before- thinking hero, and later as a man faced with the reality that some of his choices and attitudes were not becoming of a king. Hemsworth really makes you empathize with Thor, and gives you a reason to root for the character throughout the film. Hiddleston, working with the somewhat subdued (at first) Loki eventually transforms him from a seeming weak, malleable person into one who's penchant for vengeance and control is revealed in layers, peeling back one by one through the development of the narrative.<br/><br/>Thor isn't without its weak points, however. The romance between Thor and Jane Foster is practically and afterthought, rushed into the narrative at light speed and then not given any room to breathe or develop, it plays more as a requirement of adapting the comic story than something that works organically in the film. Portman is fine in the role, but the screenplay doesn't give enough to this relationship for it to be more than a bump in the road of the film's story.<br/><br/>Once again, Marvel has managed to take one of their lesser known heroes and make them the subject of an entertaining film version, with energy and depth that is a bit unexpected. May they keep on making comic book films of this caliber."
"TopDawgCritic","10","18","23","19 June 2019"," One of the best MCU stories and productions
","Who knew Thor was the perfect drinking buddy and is domesticated lol? Perfect writing. Perfect directing. Perfect casting. Perfect cinematography. Perfect amount of S/VFX. Perfect score. Perfect comedy/drama/thrills. Etc... 10/10"
"sidfargas","Null","379","624","18 April 2011"," Intelligent and fun comic-book popcorn epic!
","Thor was much much better than I expected. I didn't know if they could pull of the balance between the Norse mythology stuff and the real world Marvel Universe. I should've known better because Marvel knows their characters and knows what we want to see. Spider-Man set a new standard for the superhero film genre back in the day. Iron Man upped the ante. Thor takes the ball and runs with it and places that bar even higher. I look forward to seeing it again and know it will do well enough to be worthy of a sequel because word of mouth is going to be great. Trust me when I say Thor REALLY IS as good as Iron Man and is most worthy to be called one of the greatest adaptations ever.<br/><br/>Chris Hemsworth as the Norse god Thor, and Tom Hiddleston as his villainous brother Loki show they have the acting ability and star quality to become mega-marquee names in the future. Marvel found two absolute diamonds in the rough. Both actors make a HUGE impression and are wonderful on screen. You knew Acedemy Award winners Anthony Hopkins and Natalie Portman would bring it but these relative unkowns more than hold their own on screen. I know the script is written mostly for them but they carry it in a big way. From what I've read, Hemsworth and Hiddleston were cast almost a year in advance of filming the story so, they had time to get into shape and do character research. They certain did these long-time Marvel greats proud. Intelligent comic-book popcorn epics are rare and this one is definitely a cut above the usual fare."
"BiiivAL","8","120","195","8 June 2018"," Thor: The Mighty Avenger
","It remains only to marvel at the company Marvel, which gives an impressive amount of money for the implementation of films on their comic books under the guidance of ""newcomers"" in the genre of ""summer blockbuster."" Four years ago they did this with John Favreau, who previously filmed family comedies and yet surprised many with his ""Iron Man"". Now, the honored actor and director of the dramatic cinema and theater Kenneth Brana demonstrated miracles by taking off a large-scale fantasy comics epic.<br/><br/>Actors<br/><br/>Chris Hamsworth<br/><br/>Taking advantage of the tested scheme (to take on the role of the protagonist of a little-known actor and surround him with ""loud names""), Brana did not lose. Chris Hamsworth is the perfect Thor! Possessing not only impressive physical training and memorable appearance, Hamsworth was able to convey the power and emotions of this character. In some places it is threatening, in places it's funny when it's necessary to be gallant. Yes, and in general, throughout the whole movie you penetrate to the Torah sympathy and you empathize with it.<br/><br/>Natalie Portman<br/><br/>As always, she is charming and charming. The first falls on the Torah and runs after him all the remaining time :)<br/><br/>Anthony Hopkins<br/><br/>Worthy performance of a worthy role. The first experience of Hopkins in the film kinomics was a success.<br/><br/>Tom Hiddleston<br/><br/>Sly, a jealous manipulator. Another one hundred percent hit in the role!<br/><br/>Jamie Alexander, Ray Stevenson, Joshua Dallos, Tadanobu Asana and Idris Elba<br/><br/>Well-written characters, which should still be given a little more time, because each is interesting in its own way.
Action<br/><br/>It is many, it is diverse, large-scale, beautiful, impressive and fascinating. The best episode is the battle of the top five warriors with the Ice Giants and a huge monster.<br/><br/>Special Effects<br/><br/>Looking at the trailers it seemed that the ""Thor"" would not be particularly pleased with the special effects, for both the monster's drawing and the Torah's hammer in action were not so impressive. But fortunately, the effects brought to shine and you can with full confidence to say that the ""Torah"" is the most grandiose special effects from all the films Marvel.<br/><br/>Locations<br/><br/>Ah, this Asgard! He is beautiful! Incredibly beautiful and the viewer is not satisfied with the monotonous views of the city. In each of Asgard's places shown, there is something unusual and unique. And the more interesting are the transitions from the deserted quiet town of New Mexico to the majestic palaces and structures of Asgard throughout the film.<br/><br/>Music<br/><br/>Patrick Doyle has proved since the time of ""Harry Potter and the Goblet of Fire"" that he is an excellent composer, skillfully combining different musical styles. The ""Torah"" is mostly dominated by pathos and heroic music, but in times of dramatic moments, sad compositions play.<br/><br/>Humor<br/><br/>Humor in the film is not as much as we would like. But he is funny and in no way slips into jokes below the belt. True, it would have been more ridiculous to beat the scenes of ""God Tor in the modern world among ordinary people.""<br/><br/>Plot<br/><br/>Enough fun and interesting without obvious stupidities and sagging. Although Torah's ""rebirth"" was worth paying more attention.<br/><br/>Surprises<br/><br/>In the film, a lot of Easter eggs for fans and attentive viewers. Starting from the most obvious (mentioning the Hulk and the Iron Man), ending with the hidden ones (Falcon eye). And at the end of the final credits, the audience expects another bridge to the upcoming ""Avengers"".<br/><br/>Undoubtedly, the most beautiful and grandiose film Marvel. Excellent entertaining summer movie. Satisfied should remain both the audience and the fans. I want to wish the studio to continue making films about my superheroes with the same love and warmth."
"theycallmemrglass","8","223","381","20 April 2011"," An immensely enjoyable Marvel entry that complements the tone of Iron Man films
","I watched this last night at a preview screening in London.<br/><br/>I prayed that Kenneth Branagh would learn from his mistakes with handling a big budget movie, namely his Frankeinstein. Thankfully, I am glad to say he learnt a great deal from those mistakes. Of course, this is no Henry V, this is just pure popcorn entertainment but a thoroughly enjoyable introduction to Thor for the big screen. Chris Hemsworth played the part with a lot of energy, charisma and I have to admit from a bloke's point of view, annoying good looks. Anthony Hopkins added much needed heavyweight presence as Odin but its a role he has quite frankly played a gazillion times but I never tire of it, so I'm not complaining. In a year long span of brilliantly playing vastly different roles from psychotic to swashbuckling heroine, Natalie Portman this time plays the sweet determined scientist girl who falls for the strangely mannered good looking guy. Nothing too taxing for any of them but they do give a re-assuring aura about them.<br/><br/>The visuals were quite spectacular, mainly, the sweeping canvas of Asgard. The action scenes were also good though I thought could have been executed better with lesser use of the fast cut edit style that is too often the norm in action film these days.<br/><br/>There is plenty of humour when Thor is on Earth but not in a put-off way as there is a suitable contrast of a serious tone with everything set in Asgard. Even though the storyline was somewhat predictable, it was still a riveting one.<br/><br/>For those like me, who were concerned about how Thor fits into the established Marvel connected universe set by the Iron Man films need not worry. That is just another thing that Branagh and crew pulls off very well. We can now fully embrace the forthcoming Avengers where a God, a man who transforms into a giant green beast, and a man who flies in a hi tech amour suit can share the same screen. So its all coming together nicely.<br/><br/>And make sure you stay for the end credit scenes. In case you did not know of this before, I urge you to go back to the previous films (Iron Man 1 & 2, Incredible Hulk) and watch the end of credit sequences if you haven't already. They tell a separate story strand that will culminate to a certain upcoming Marvel movie. The end credit sequence of Thor is the most fascinating yet as it actually takes a major plot development in the story strand ;) And it was the longest bloody end of credit sequence I've ever seen in any movie! One last thing, the film I saw was in 3d and once again, it practically nearly ruined all the action scenes for me. In the non action scenes, it was pretty useless and just simply made the film much darker."
"featheredsun","Null","30","44","8 September 2011"," Powerful Family Dynamic and Beautiful Landscape
","This is a throw-off piece of Marvel fiction that is packed full of cliché and predictability...to a point.<br/><br/>I found myself cringing at a lot of the scenes of heroism and there's a definite stink of pure cheetos-stained fanboyism in many of the scenes in general, with the usual over-the-top ""glory"" of this old four-color trope.<br/><br/>But certain things caught my attention as well-done.<br/><br/>First, Asgard is absolutely beautiful. They went all out in making a realm of metallic and elemental grandeur. I had no trouble in buying this as the realm of Asgard, the ultimate land of beautiful heroism. In particular, the rainbow bridge, the weaponry, and the interior scenes were very fitting in general style and specific detail. Very impressive visually and even thematically.<br/><br/>Second, Branagh's touch can be seen with Shakespearean flair in the family of Odin the AllFather. Odin himself is brimmed with both the rime of age and the wisdom that comes with it and yet his voice can instantly summon fearful authority. Hopkins does well with that balance, even through some cheesy scripting.<br/><br/>And the brothers... the sibling rivalry here is very very potent in that it is nuanced and fully realized by both actors. There is love there, but also a lack of understanding, envy, and hate. Loki is far from a cardboard villain, in that we see, all in one package - a fighter who protects his allies, an honest counselor, a liar, a cautious thinker, a smooth tongue, and an awkward one. He loves and reveres his father, but comes to almost fatally doubt him and even hate him...but it's all very real and very stirring. And even when it's clear that he's done very grim deeds, you can actually understand and accept his motives...and his last scene in the film brings all three of the family men together in a very poignant moment of utter loss.<br/><br/>I was pretty surprised how moving this all was, especially when put in the middle of some otherwise-uninspiring hero pablem.<br/><br/>So in summary, this movie both met my negative expectation of disappointment and surprised me with some purely moving content. See it to see if it surprises you at all as well, and forget the whole comic-book hero thing, since that's been done far better.<br/><br/>Thanks for reading."
"feelinesound","1","353","677","28 April 2011"," An insult to Marvel fans, movie goers, and human intelligence in general
","Honestly, seeing that Branagh directed and J. Michael Straczynski wrote the script is a large part of why I went to see the movie. Plus I'm generally a big fan of Marvel and their movies.<br/><br/>Unfortunately it's one of the dumbest things I've seen in years, and is completely full of moronic clichés and the most superficial faux morals. Please do yourself a favour and spend your money on things that are more deserving of it, especially if you've worked hard to earn it.<br/><br/>Just in case you want to know what you'll be missing ---<br/><br/>* spoiler alert * (though really I'm giving this film a massive compliment by suggesting you could 'spoil' anything in it)<br/><br/>Thor's father takes his hammer away and sends him to earth for punishment. While there Thor literally changes overnight from being an arrogant, rash and violent idiot to a wise, humble and pacifist purveyor of all things noble, and the only possible reason for this that's presented in the movie is that he met Natalie Portman and was then told that his father died while he was gone. Once Thor the god of thunder completes this astonishing and instant transformation and sacrifices his life for others, his hammer flies back to him, revives him and he beats the bad guys with it.<br/><br/>If you really, really love Marvel movies and viking folklore (to the point where you don't mind these things being made a joke out of) and have 2.5 hours in which you'd otherwise be causing harm to humanity or this planet, go see it. Otherwise you might as well spare yourself from this glorious waste of time and brain cells."
"ocacia","1","222","423","7 May 2011"," Utter garbage written around SFX
","Did professionals write this film? Did Antony really read the script or did he just see the figures in the contract? I think Nat and Tony need new agents, because you do not go from Silence of lamb and Black Swan *respectively* to this utter junk.<br/><br/>I do not know what other people saw but there is nothing good or unique in this film. The special effects actually made me tired. And lets talk about the story? My Lord, where was it and when did it begin. I got the feeling that the script was written after the action sequences were planned. They therefore said we want this effect and this effect now lets write a film around that. We need to use up Nat so lets force a romance into the script. We want jokes, so lets force a few of those in there. So much dead space in the film that doesn't arch into anything.scenes seem random and disconnected, like writing in junk to get it to a feature length time. drifting focus, drifting priorities. And no great moments that saved the film.<br/><br/>Also it is an overnight transformation from utter arrgoance to humility. Does anyone identify with any characters here? Did you understand the brothers motives? Makes no real sense in the real world. Did the film introduce anything for anyone to attach themselves to emotionally? No. Characters appear in odd order without any development. Actually while I am here typing I just realized something : This film is below the dignity of critique. It is so poor, so badly directed and written that to even point out the weak character development or random script turns give too much credit to it. I will therefore cease to add speak about it for fear of giving someone the illusion that there is anything to actually speak about in terms of artistic critique."
"janus-20","9","167","316","25 April 2011"," Thunderously good entertainment !
","Straight to the point, this was not only one of the better ones, its one of the few really good ones. I'm sure anyone reading this knows what i'm getting at, they either get these right or they get them wrong. Well this ones right, very right, from start to finish, epic, spectacular, warm, funny, action packed. <br/><br/>The story draws you in, the characters are likable, the pace is just right, doesn't race along, but doesn't plod either. Great cast, particularly Chris Hemsworth, if Captain America and Green Lantern can keep up this standard then it'll be a good summer season.<br/><br/>Ken's pulled it all together. Go and watch it, i cant imagine you wont enjoy it and if you think i'm being paid to say this then get stuffed !!"
