"username","rating","helpful","total","date","title","review"
"ldadvantageinc","10","129","150","22 August 2012"," A veteran's impression of ""The Deer Hunter""
","I will not repeat much of the comments in the previous positive reviews, but will stick mostly to how the movie affected me. First off, I am an Army veteran of the Vietnam War. Thus there is much in this picture that deeply moves me. I still can not listen to the theme music piece played by John Williams, ""Cavatina"", without choking up and weeping.<br/><br/>I identify much with the characters in this movie. I grew up in a very small town and come from a working class ( Norwegian, Scots-Irish, English) background. Two weeks out of high school and at the age of 17 I enlisted in the Army. Like the men in this movie I came from a tradition of serving one's country in the military. Both my brother, two cousins and my future brother-in-law also served in the Vietnam War.<br/><br/>I identify with Michael, played by Robert DeNiro in his sense of honor in going back to 'Nam and trying to bring back his buddy Nick. Additionally I admire Mike when he visits Steven in the VA hospital and brings him back home. Honor is, as mentioned in the movie ""Rob Roy"", a gift a man gives to himself. Michael (and the movie) doesn't waste time on whether the war in Vietnam is right or wrong. Michael just does what he thinks is right with respect to his buddies. Ask any one who has served in the military and they will tell you that you're sense of commitment to your comrades almost takes precedence over your commitment to your country.<br/><br/>I do not see this movie as either pro or anti-Vietnam War. To me the movie portrays how war affects three individuals. It is a movie about character, honor, loyalty------what you are when everything around you is falling apart. I will continue to see this movie many times as I hope that the values depicted in it will still be reflected (albeit weakly) in me.<br/><br/>In closing, I can not help to remember that the politically anti-Vietnam War movie ""Coming home"" starring Jane Fonda and Jon Voight was also up for the same Oscars. When Jane Fonda was asked what movie would win the Academy award that year, she sneeringly replied that she hoped it wasn't ""The Deer Hunter"". In the years since Jon Voght has transitioned from being a Liberal to a Conservative. Parenthetically, Jane Fonda has never apologized for her pro-Viet Cong actions. At the age of 66, I am still proud that I served my country and volunteered for the US Army and the Vietnam War."
"yawn-2","10","334","433","6 April 2006"," It was 1978 and everyone in the audience was about to wet their pants
","No, this is not the best film about the Vietnam War; it's hardly about Vietnam at all. The vets who don't like it have it wrong, as do the Vietnamese who found it racist. It could be any war, with any combatants. But because the (primary) victims here are recognizable American archetypes, Americans will feel this in their gut more than any other war film I know of. This is one of the very few post-war Hollywood films that shows a sincere reverence for the lives of small town Americans.<br/><br/>After seeing it in a very high quality theater on its initial release, I walked out thinking it was easily one of the best movies I had ever seen - and that I never wanted to see it again. But I looked at it today on cable and found that not much had changed about it, or me. I don't want to see it again...but I want you to see it.<br/><br/>Even now, the Russian Roulette scene (in context, people: watch all that comes before it first) is the single most intense sequence I've seen; it makes the end of ""Reservoir Dogs"" seem like a cartoon. Best Walken performance, period. Meryl Streep glows, DeNiro has seldom been more affecting. A unique classic...it is not surprising that Cimino didn't have another movie in him after something this wrenching."
"abelardo64","10","87","108","31 January 2010"," A War Like All Wars A Film Like No Other
","""The Deer Hunter"" is 32 years old. How extraordinary to sit through it now. Walking over the politics that divided , somehow, all of its admirers then. ""Great film but..."" How silly to think of it now. Michael (a sensational young Robert De Niro) is as extreme a character as Rocco was in ""Rocco And His Brothers"" His goodness, the one that was always there but that he discovers under the most horrendous circumstances, underlined by Stanley Mayers's ""Cavatina"" permeates the entire film. I remember thinking, when I saw the film for the first time, that I couldn't or wouldn't spend ten minutes with Michael and his friends, the ones we meet at the beginning of the film but by the end I thought of them as brothers and I loved them. I actually loved them. That in itself is a sort of film miracle. John Savage will break your heart, it certainly broke mine and Christopher Walken is absolutely riveting. How strange to tho think that Michael Cimino, still a young man, is nowhere to be seen. Is still a punishment for ""Heaven's Gate"" and ""Indecent Exposure"" or there is something else we don't know about. The Cimino behind ""The Deer Hunter"" is a true master."
"mikeand1-1","10","323","434","21 May 2005"," It's about character development
","A comment re the other comments: A lot of the comments criticize the first half hour as being too long. In my opinion, these comments miss the point of the movie.<br/><br/>Of course many of the scenes in the first hour don't advance the narrative. They're not supposed to; they're for character development.<br/><br/>The whole point of the movie is to show us how the various characters were affected by the war. It wouldn't have worked nearly as powerfully as it does had the first hour been trimmed down. We have to sense the careless and frat-boy-like immaturity of these young men. That's why the scenes all revolve around frivolity and seemingly senseless boyish behavior; it creates such a stark contrast to the devastated characters of the three who went to war (and the relatively unaffected personalities of those who stayed behind, like Stanley).<br/><br/>The strong points of the film are the outstanding performances of nearly every actor in the movie. Yes, there are technical deficiencies in the sound, but it hardly matters. This is nitpicking compared to the overall construction of the film."
"gab-14712","9","27","33","18 October 2017"," Hard to Watch At Times!
","1978's The Deer Hunter is one of the more polarizing movies to come out during the 1970's. It was the first movie with the deeply controversial subject of the Vietnam War to both become a critical and commercial success. However, there were several people who expressed dissent ranging from its portrayal of the Vietnam War to the controversial involvement of Russian roulette to the singing of ""God Bless America."" I remember not being too impressed with the film the first time I viewed it. I felt it was too long and violent. Years later, I am singing a different tune. It's a difficult film to sit through because of its violence and the effects of PTSD (post-trauma syndrome). But it is a highly engaging and effective film and I regard it as one of the more influential American movies of the 1970's. Not the best, but the most influential because there will be more successful films tackling the Vietnam War on the horizon.<br/><br/>You can call this movie a symphony of some sort. I sort this film into three major segments. The first segment is the longest because of its lengthy and effective characterization. We meet three Pennsylvania factory workers: Michael (Robert De Niro), Steven (John Savage), and Nick (Christopher Walken). They enlisted in the army to serve in Vietnam. Steven decides to marry before going off to war and this wedding also serves as the farewell party. This section is eerily reminiscent of the opening act of The Godfather. There is lots of partying and dancing. And we essentially get to know these characters. These men are hard workers who get drunk at the party because they deserve a night for themselves. After the party, the trio of friends along with another friend Stan (John Cazale) go into the mountains to hunt for deer for one last trip. Hence the title of the movie. I found this section to be incredibly effective in character-building. Director Michael Cimino took his time with his part because it was important to understand these men before they go into the horrors of war.<br/><br/>The second movement of our symphony is the actual war. Just like that with a loud noise, the film instantly changes its tone. From the foggy mountains of Pennsylvania to the tropical war zone of Vietnam we go. In one of the most terrifying sequences ever made, the three men are taken prisoner and are forced to play Russian roulette while their captors are betting who will win and who will die. Just seeing the men's faces as they are waiting their turn in the rat-infested cages are undeniably scary. One of the film's controversies is that roulette was not actually played in Vietnam. According to Cimino, he read articles saying they did play roulette although any of this has not been confirmed. But it's one hell of a way to add tension to the movie. You can also take this as a symbol for the war overall. Roger Ebert puts it perfectly in his review, ""Anything you can believe about the game, about it's deliberately random violence, about how it touches the sanity of men forced to play it, will apply it to the war as a whole."" Essentially, this violence stands for the war itself and what these men face. <br/><br/>Now our final act of the symphony is what happens after the horrors of the prison camp. Michael becomes a prominent character here as he returns home and is welcomed as a hero by his townsfolk and his girlfriend Linda (Meryl Streep). But Michael does not feel like a hero. Steven is in the hospital after losing his legs and Nick is somewhere in Vietnam still. Michael eventually goes back to find Nick who happened to take his roulette experiences to heart by playing this game professionally. This section is incredibly sad and moving as here we see what exactly war can do to strong-willed men. It was horrible to watch this transformation on screen. To see these characters we got to laugh with in the first part to seeing them play with death in the final act is sad to see. We also get to see an act of patriotism (or is it?) when the survivors join in a ragged rendition of ""God Bless America"" in the very end. <br/><br/>This movie has a very strong cast, although the only star at the time was Robert De Niro. De Niro instantly became the film's leader and he played Michael very well. He became a bona fide star after his work in The Godfather: Part Two, and he put that stardom to work here. Christopher Walken had some of the strongest scenes in the movie because of his involvement with the deadly game of Russian roulette. Meryl Streep is one of the greatest actresses ever to grace our screens, and this was one of her first big roles. We end this paragraph with a sad note. This would be the last movie John Cazale would play because he was suffering from terminal cancer and he died before the film was released. He was very good as Stan, but you can tell in the movie that he was really sick.<br/><br/>Michael Cimino's The Deer Hunter is a incredible movie about the horror of wars and it effective covers themes ranging from PTSD to male bonding and friendship. It was one of the first movies to successfully cover the Vietnam War, although I'd say this film may not be the most accurate regarding the actual war. I do commend its effort on conveying the themes of general war though. This film was nominated for nine Oscars and it won five of them including Best Picture. Walken took home the statue for his amazing and tense performance as Nick. The film may be controversial and it may be hard to watch, but it's one you'll remember forever. <br/><br/>My Grade: A-"
"richardratliff","10","11","12","20 October 2019"," War is a gamble.
","I am a combat veteran of Afghanistan.<br/><br/>We don't know why some of us come back and others do not. War is a gamble.<br/><br/>This film deeply touched my soul."
"Danherb","9","44","59","30 June 2005"," Touching drama about the ruin of a group of men's friendship by war
","""The Deer Hunter"" is not a film about the Vietnam war, as it is wrongly said in many cases.<br/><br/>""The Deer Hunter"" is a film tells the story of 3 friends within about 5-6 years, during which their friendship is repeatedly put to the test.<br/><br/>It is primarily a picture of the contemporary life of a group of people around 30 living in a small American town during the Vietnam war.<br/><br/>The first hour of the film portrays the every day life of three friends Mike (De Niro), Steven (Savage) and Nick (Walken), who look forward to Steve's wedding but at the same time have to prepare for their commitment in Vietnam. The main actors (above all De Niro and Walken) perfectly picture the character's inner conflict between their easygoing home town life and the forthcoming assignment in Vietnam. Despite this conflict the characters don't show their concerns to their environment.<br/><br/>Particularly Nick is worried about him and his friends leaving his home town and perhaps never coming back, but he only tells his best friend Mike of his thoughts, who is much more resolute and sees their engagement as a strong masculine act.<br/><br/>Cimino manages to show the simple irrationality of young men, going to a senseless war from which they might never return for the only purpose of glory and approval, and abandoning their settled and happy life for it. The spectator just can't understand why those young men voluntarily sign for the army and give up everything they have. The passage from the small-town-idyll to the war cruelty is greatly pictured. Cimino does not show the three friends' way to Vietnam or the training, he immediately switches from a happy get-together to the cruel war captivity of the Vietcong. This passage perfectly underlines the contrast and the inexplicability of the three men's actions.<br/><br/>Although the passage that is set in Vietnam is only about one third of the whole film long, the war is omnipresent at any time, which is probably the best benefit of the whole film, Cimino does not need to bomb the spectator with pictures of crying children, mutilated soldiers or desert battlefields in order to illustrate the cruelty of war. Far from it! The changed behavior of all characters after the friends' returns tell more about wars' capability of changing someone's life, than anything else.<br/><br/>And the fact that the many dreams that these three friends had before they went to Vietnam didn't come true, because of their longing for recognition by becoming an acclaimed veteran can even pluck your heartstrings.<br/><br/>Cimino's great directing and the cast's awesome acting provide for a touching and honest drama about the friendship of a group of young men, that is destroyed by the Vietnam war."
"MovieAddict2016","10","205","304","7 July 2004"," It's been given a fairly bad reputation over the years - undeservedly so, too. One of the greatest films ever made.
","""One shot is what it's all about. A deer has to be taken with one shot.""<br/><br/>There's that particularly infamous scene in ""The Deer Hunter"" that seems to remain more disturbing each time we view it, when Michael (Robert De Niro), a Vietnam veteran, tracks down a friend of his named Nicky (Christopher Walken), who never arrived home after the war and is eventually found in Saigon, playing Russian Roulette for money, his mind an utter mess. He is unable to fully remember Michael, and refuses to return home, and what proceeds in the following sequence is a haunting example of gut-wrenching film-making.<br/><br/>The Vietnam sequences take place midway through the movie, serving as a connection between the beginning and the end, both of which study the lives of the men and not the war around them. Michael, Nicky and Steven (John Savage) are young Pennsylvanian miners drafted into the war. Steven has just gotten married to the love of his life, but has little time to celebrate as he is shipped overseas with his friends. They eventually all find themselves taken hostage in a Vietnamese POW camp where their captors force them to play Russian Roulette. The rules of the game? Put a single bullet in a random chamber of a handgun, spin it, snap it, raise it to your head, squeeze the trigger, and repeat these steps until there's only one man left standing.<br/><br/>After a series of fortunate events Michael, Nicky and Steven escape and make their way downriver. All three men are eventually rescued, Nicky via helicopter and Michael and Steven later on. Steven's battered, infected legs are amputated and he is left helpless in a wheelchair. Michael returns home as well only to find that Nicky is still back in Vietnam. Nicky's girlfriend back home, Linda (Meryl Street), begins to fall in love with Michael, but Michael soon remembers his promise to Nicky (""If I don't make it back don't leave me over there"") and travels over 2,000 miles back into the middle of his own personal hell to find and rescue his best friend. It's hard for him to understand why Nicky doesn't recognize him when he finally tracks him down. ""It's me, Mike."" ""Mike who?""<br/><br/>Causing mass controversy upon its release because of its alleged ""racist"" content regarding the Vietnamese, a crowd of Vietnam veterans gathered around outside the Oscars ceremony and caused riots as well, claiming that the film was ""not accurate"" and somehow insulting to the veterans of the war. <br/><br/>However as many film historians, authors and critics have already pointed out, the film is never meant to be a 100% accurate depiction of the events in Vietnam. It is not really a Vietnam War picture at all. Instead, it is a focus on the aftermath of war, and how damaging it can be, both physically and mentally, to its participants. Because of the era that ""The Deer Hunter"" was released in, Vietnam was a recent event, the focus of the nation, and is therefore used as a more convenient -- and relative -- backdrop (much like ""Apocalypse Now""). Unlike ""Platoon"" this is not a movie relating specifically to the Vietnam War, in fact less than a half an hour is devoted to the war scenes. It is a character study, and accusations of racism -- although perhaps justified to some extent -- are hardly convincing as the film itself is not concerned with bashing the participants of the war as it is the war itself.<br/><br/>It is the film's necessary setup that is often called long and boring and, ironically, unnecessary, but this is essentially where the nature of each character is examined for the audience. To launch directly into the war sequences would be sloppy, and we would have a harder time caring for the characters. Instead, we are given scenes with weddings, discussions, and hunting trips -- normal events. Then, the end, a somber reflection upon the past, chronicles the aftermath of the damaging events in the lives of Michael, Steven, Nicky and their loved ones. Michael has a hard time adapting back to his normal life. It would be hard for anyone, after experiencing such damaging events and images. <br/><br/>De Niro made a few post-Vietnam films during the '70s and '80s, the most famous being ""Taxi Driver,"" in which Travis Bickle was totally unable to find his way in life again after the war and resorted to violence in order to justify his existence and release his anger. ""The Deer Hunter"" is similar in approach but reveals more background; this would be a suitable prequel of sorts if the names had been changed.<br/><br/>Over the years ""The Deer Hunter"" has surprisingly gained a fairly bad reputation -- most of which stems back to the controversy surroundings its release and protested accolades. Director Michael Cimino's follow-up (""Heaven's Gate"") was an enormous flop, bankrupting United Artists, and he had a hard time finding work afterwards. His first feature film, ""Thunderbolt and Lightfoot,"" which starred Clint Eastwood and Jeff Bridges, was a buddy road movie that was also a sign of things to come in Cimino' later features, most notably the process of male bonding, which is a huge primal element in this project. Cimino was an extremely talented and visionary director, and it's a shame that the ambition of ""Heaven's Gate"" cost him his career.<br/><br/>And furthermore, despite the negativity surrounding ""The Deer Hunter,"" it is still one of the finest works of American cinema, a touching, poignant and ultimately depressing film that asks us if the effects of war extend past the physical and into the realm of human mentality. Yes, I think they do."
"kevandeb","10","118","177","18 January 2006"," Immense poignancy
","I cannot fathom the absolute horror that war brings to a persons life, but never has a film depicted it more harrowing than The Deerhunter. At 182 minutes, it seemed to fly by, leaving me wanting more and wishing this would not end. all facets are explored, all people's emotions are laid bare, not just the combatants. If we obviously did not know better, one would have to say this was a British film, as it has all the best elements that British movie making displays. i can eulogise for hundreds of lines, but this really is the ONLY American movie i can think of (others? apart from taxi driver) that is RAW. A strange word i know but the movie oozes a raw edge to it. Immense performances from all concerned, and if i had to say, i believe i have not seen Christopher Walken in a better role. One of the very few films i deservedly give 10/10. A must for any collection and a stunning example of every aspect of film making coming together, albeit for a sombre depiction of life."
"vaneyck","10","107","165","12 June 2002"," As great as ever
","I've now seen this film three times with a decade or more between viewings, and every time I see it I come away feeling that movies can't get any better than this.  People always comment on the Viet Nam scenes, and it's true that they are as powerful and intense as any war scenes ever filmed.  The Russian-roulette betting game, in both its up-river and Saigon venues, may be the most riveting, shattering plot device ever invented, as measured by the pounding of the heart.<br/><br/> But it's the 'home front' scenes that stick with me through the years.  I think all the steel town scenes are nearly perfect, untoppable.  And that very much includes the Eastern Orthodox wedding and its sequel.  When anyone tells me they were bored I just shake my head.  There's no arguing with short and shallow attention spans.  You're either capable of appreciating art or you're not. <br/><br/>  I do have a quibble or two.  The deer-hunting scenes looked like nowhere I've ever seen in Pennsylvania, or anywhere else East of the Rockies.  I think Cimino deliberately picked an ethereal location above the clouds as a contrast to the steel town.  When John Cazale and the others get loaded and act like jerks it jars on Michael, because they have brought the stupid distractions of ordinary life to an extraordinary place.  This would matter less if the 'genius loci' were not so strongly present in the other home front scenes. I wish he had used the soft, green forested hills of Pennsylvania for the hunting.<br/><br/>  And some of the dialogue--Meryl Streep's in particular--wouldn't work on the page, and only first-rate acting by an inspired ensemble--has there ever been a better cast of young actors?--pulls it off.  But these are forgivable errors in one of the finest films ever made."
