"username","rating","helpful","total","date","title","review"
"BriGuy7783","8","532","648","16 September 2007"," Flawed movie, but nevertheless breathtaking
","I saw a sold-out opening night screening of ""Across the Universe"" last night with a group of my friends who had really been looking forward to it. Many of them were extremely disappointed, while in the critical world, Roger Ebert and the New York Times loved it. Because the film was so highly anticipated, and a number of people have asked me how I liked it, I'm writing this review in an attempt to express why the movie is so divisive. I'm not going to talk about plot, or describe any of the numbers. If you're interested in seeing the movie, they'll be more enjoyable if they're unexpected.<br/><br/>It's a bizarre and beautiful movie musical, almost a music video at times, that uses thirty- three of The Beatles' songs and director Julie Taymor's unique visual style to illustrate both a personal love story and the overall conflict in the sixties. The movie is incredibly original and ambitious, and therefore its failings are as dramatic as its successes. Both stem from the same source: Julie Taymor's self-indulgence. That's nothing new to her movies, ""Frida"" and ""Titus"" have the same problem, but in a movie stripped of traditional narrative, it's glaringly obvious. Some songs are impeccably chosen and staged with great creativity, but others are too obvious, or thematically forced so Taymor can cram in another song and stunning visual sequence.<br/><br/>For the first half of the movie, I was frequently divided. One innovative sequence would really pull me into the style, then a forced number or awkward staging would distance me again. When an obvious, recognizable number began, I was torn between a cynical impulse to roll my eyes and an almost exhilarated impulse to laugh and applaud.<br/><br/>""Across the Universe"" is a mess. There's no denying that. It is poorly paced and badly structured, and at times its feather-light plot and contrived or obligatory numbers become tedious. But at one point, about halfway through, I decided just to go along for the ride. I delighted in every brash, bold choice, whether it worked or not. I let the poignant moments move me, whether or not I intellectually felt that they were contrived.<br/><br/>The Beatles' music had a huge effect on me; from the fateful day that my friend accidentally copied the first three tracks of ""Revolver"" onto my computer, a love affair was born. Their songs are inexorably tied to memories beautiful and horrible scattered all over my life, and as I grow older, I'm constantly discovering new, deeper resonances in their familiar refrains. Even when the context was vague or stretched, the film's reinterpreting and revealing new facets of these songs seemed to serve as a tribute to their breadth and greatness. Taymor's damning depiction of the horrors of war, and lyrical portrait of young, idealistic love are both painfully expressive and unique, and simply took my breath away. By the film's shamelessly corny close, I realized that I had just had a genuine cinematic experience. For all the movies that I watch, that's incredibly rare.<br/><br/>In his review in the New York Times, Stephen Holden writes, ""I realized that falling in love with a movie is like falling in love with another person. Imperfections, however glaring, become endearing quirks once you've tumbled."" I could laughingly list this movie's flaws from now till next week, but I sort of fell in love with its sheer audacity. You might not. It's extremely naïve, and thematically simple, and you could find that endearing or irritating. You may love it, or you may hate it, but you're going to feel something. This movie will not change your life; don't expect it to. But if you let your criticism fade to the background, and abandon yourself to Taymor's passionate fervor, you may have a pretty amazing experience."
"tjackson","9","243","305","13 September 2006"," A masterpiece of video art,, design, music and dance
","After an intensely screened screening featuring nervous suits delivered in limousines and gentle but firm gentlemen controlling the ticket flow to assure a certain target group would be tested for their age, predilections, and proclivities, and wand wielding security guards frisking patrons for any signs of recording devices - including cellphones - I entered what we were told was the first-ever-in the-world test market screening of the Taymor/Beatles extravaganza ""Across the Universe"".<br/><br/>Thoughts of Peter Frampton in Sergeant Peppers' haunted me, but my admiration of Taymor, and, well, I was actually a kid IN the audience of the Sullivan Show on February 9, 1964. I was even in a band that appeared on MTV in their first hour (Robin Lane & the Chartbusters)! Iattended my share of protests, worked with Reverend Daniel Berrigan, got psychedelic and ... well... enough about my qualifications to review the movie - it seems I still don't fit the intended demographic - it's the first time I ever lied my age downward! So despite that the studio may change some things - here's what I saw at this stage of tweaking the film.<br/><br/>Without quibbling over loose plot points and misguided scenes as they seem to be still tinkering with those things (and there are there are several out of place and unexplained scenes) - I've rarely seen such a feverish work of persistent video art in the service of great music. These are NOT small music videos wrapped around a questionable plot. Taymor's vision as a director seems to borrow from everything. Her story ideally wants to conjure up the not just the frolic, but the frenzy and passion of the 60's. <br/><br/>There is what looks like Jan Svankmajer in a stunning industrial dance scene in a draft board as civilians are turned into soldiers. Another scene has giant puppet pageantry straight out of Peter Schumman's Bread and Puppet Theater and Resurrection Circus. There are joyous location street dancing scenes, and breathtaking Technicolor composites. One such scene is a dreamlike vision done entirely in the psychedelic solarised colors of Richard Avedon's Beatle portraits. Her set designs are at times so clever and colorful, you laugh at the unrestrained joy and daring. <br/><br/>She begins with a glorious reinvention of the fifties musical, and careens into pure psychedelic delirium. The cinematography is rich and varied to the purpose of each scene, and dance sequences explode into place. The film moves from the innocence of small town upper-middle class America, to the nascent hippy scene in the village, to a sort of hallucinatory Garden of Eden (with too much but amusing Bono as a Ken Kesey Merry Prankster guru type). It moves to romance, and onto the dangers and volatility of the anti war 60's. All this is rendered through a constant flow Beatles songs delivered amidst magnificent set designs and video composites.<br/><br/>For the most part the music is respectfully and tastefully rearranged. (and without the Pavlovian shamelessness of the Beatles as they were used in ""I Am Sam"") A ballad version of ""I Want to Hold Your Hand"" movingly reinvents the song. I don't know if the actors actually sing but you could have fooled me. It is all carefully synched up. Even the drummers and strummers are always in synch. The actors are charming, but once again, as she has done in ""Digging To China"" to ""Down In the Valley"", Evan Rachael Wood rivets the film. It would too much to believe she could also sing like the angel - but darn if her throat isn't in sych! The voice is beautiful. At times songs and sounds collide like the Beatles in ""Number Nine"". The collision of a war protest at Columbia University with Helter Skelter over Dear Prudence is brilliant. Taymor has edginess that matches the sixties zeitgeist, and avoids the vacuous cotton candy fluff of Luhrmann's ""Moulin Rouge"".<br/><br/>I think it would be wise to address Taymor's strength, which is the darker political vision. The film's intented audience ought to be as angry as they were in the 60s, marching in the streets and standing up to an arrogant and corrupt administration with their trillion dollar war. The parallels to today are obvious. The time is right for such a film with such politics. It shouldn't get comprised by too much gooey and gratuitous romance.<br/><br/>I overheard two young girls afterward say; ""I don't know why they have to redo those great songs?"" - whereas a much older couple were saying; ""This was great  very artistic, fun - it really caught the feeling of the era."" I hope the handlers in their infinite wisdom don't sell out the ability of this film to be politically relevant as well as beautiful.<br/><br/>Characters and situations that obviously echo Janis Joplin and Jimi Hendrix, the Weathermen, the Weather Underground, Abbie Hoffmann, Ken Kesey, draft card burning, 60's clubs in the East Village (Café Wha? becomes Café Huh?), and other sly references are fun to pick out, though I assume details are undergoing revision for clarity. I don't think this is just a film for 20 somethings. The kids I sat with remarked; ""This is important stuff for our generation to remember."" Taymor's darker sensibilities are what the film really needs to keep it from being perceived as so much razzle dazzle and romance. There's a subversive edge to this story.<br/><br/>Visually, it is unquestionably a masterpiece of video art. Its final judgment may be that it can speak across generations."
"ManicMuse","9","301","397","5 September 2007"," Let's say Hair and Moulin Rouge had a baby...
","... and it's nanny was Julie Taymor ...<br/><br/>This probably sounds like I hated the film, but I actually loved it. <br/><br/>It has the time line and self-consciously-culture-smart soundtrack of Hair, yet the campy fun and karaoke stylings of Moulin Rouge. Julie Taymor takes this combination and makes it fun, instead of extra cheesy, and it is visually fascinating instead of the obnoxious MTV-video nightmare it could have been.<br/><br/>I cared about the characters - and the cast of 'unknowns' have great star power and voices. Even though I knew exactly what would happen, the journey there was great. The cameos were fun. The lead was sufficiently hot. The soundtrack is stuck in my head as I write this (the new versions, not even the original songs) All corny jokes and references, and lapses in plot are forgiven, because Ms. Taymor manages to take a movie chock full of things that have been done a million times before and makes it as fresh and exciting as if it were all done for the first time. You may know exactly what's going to happen but you never know how. This is the director's movie!<br/><br/>Definitely a movie journey worth taking."
"DavidGunnar","10","303","401","17 September 2007"," I count myself lucky...
","... to have been able to see this film in the beautiful Elgin Theatre with Julie Taymor there to answer questions / talk about the film afterwards (at the Toronto International Film Festival).<br/><br/>Wow!!!<br/><br/>I was carried away, I was moved to tears, I stood up and cheered.<br/><br/>For those who commented about the singing - the actors sang all the songs themselves. What's more, though they did record the songs in studio first as part of the rehearsal process, most of the song performances used in the film were recorded live as they played out the scenes. Perhaps that's why - for me - the songs worked so well; it actually felt like the characters were just moved to sing. Amazing performances from - mainly - unknown actors.<br/><br/>And I felt the story had a strong narrative line, aided / supported by the songs. It used the background of history, not just as a painted backdrop, but to add meaning and depth to the characters and the story they were living. Made me wish I'd been there (born in '65, too young to remember the 60's); I'll have to content myself with living vicariously through Jude and Lucy and the others.<br/><br/>Add to everything else Julie Taymor's glorious visuals, and I was truly swept away. I saw 36 films at the festival, but this was head and shoulders my favourite.<br/><br/>I fell in love with this film, and look forward to sharing it with friends and family who didn't have the luck to see it as I did. It's a film that will, I'm sure, reward repeated viewings."
"johnny_mcdonalds","9","267","364","4 September 2007"," An incredible experience
","Pure emotion. No one can mix theater with film like Julie Taymor. From beginning to end the film takes you on a psychedelic beatle ride that grips you by the ears, the heart and the soul and never lets go. Even now. Hours after the projector was shut off. Every song adaptation interpretation and setting is spot on, fans of the Beatles will recognize that every detail in Taymor's images recall an instance, a photograph, a line or a quote from the band. Even the girl that comes in through the bathroom window. Nothing is left to chance, everything is on purpose. Amazing. Easily the best film of the year. And in regards to people saying it's a two hour music video.. well... yeah, what the heck were you expecting???"
"jcarter-21","10","199","269","28 September 2007"," Go see it with an open mind
","I have been anticipating this movie ever since I saw the trailer on IMDb like everyone else. When I first saw the trailer, I said to myself, I'm either going to consider this my favorite movies of all-time, or it's going to be trash. Being a huge Beatles fan and owning all their albums on CD, I had huge expectations about the covers of the songs. I saw it with my friend, who is also a huge Beatles fan but not a huge musical fan. Both of us saw it on opening night to the public and to our surprise it was really good! The covers of the songs were actually really good! Now don't get me wrong, the original Beatles songs will always be the best versions but for what they did, they did a pretty decent job. One of my favorite scenes was the ""I've Just Seen a Face"" bowling alley scene. So creative and fun! Also the ""I Want You (She So Heavy) scene wasinterestingbut fun to watch. Eddie Izzard's scene as Mr. Kite was hilarious! Both me and my friend where on the floor laughing. Also Bono's scene singing ""I Am the Walrus"" was great. Don't listen to the critics that say that ""it doesn't do the Beatles justice"". Actually, it's the opposite. Any hardcore Beatles fan will appreciate all the jokes that were thrown in there. Even if you're not a hardcore Beatles fan, you will appreciate the fantastic love story.<br/><br/>Just one word of advice, go to this with an open mind. Don't expect Oscar-worthy script and dialogue, expect clichés, not a whole lot of character development from the supporting cast but don't let that ruin the movie for you. Appreciate the artistic mind of the director. I mean who cares if they threw in a character like Prudence just to sing Dear Prudence? It's a great song! For all you ""I hate every movie that comes out"" critics don't see this. It's too artsy for you. Go see this with an open mind not expecting it to win Best Picture for the Oscar. This is one of the best experiences you will have watching a movie. I'm buying the DVD as soon as it comes out. See this movie Beatles fans!!! It does them justice!!! Please email me with any comments you have."
"dramaqueen817","10","168","244","7 September 2007"," Taymor does it again!
","I absolutely loved it.<br/><br/>It's very hard to describe, because I wouldn't classify it as a traditional musical. It's not set up so that there's a scene, then a song, then a scene again; everything just flows seamlessly. Wonderful acting from all of the cast,with some great improv from Bono and Eddie Izzard. Definitely standout performances from Dana Fuchs (who has the most AMAZING voice), Martin Luther, and TV Carpio. Also a nice cameo by Salma Hayek, who apparently asked Julie Taymor if there was a part for her in the movie, and when Julie told her that she could be one of the nurses, Salma replied ""ONE of the nurses, Julie?"" <br/><br/>Overall an excellent film. Taymor fans will definitely appreciate it (it has a lot of her traditional colorful imagery, masks, and puppets). I'm planning on seeing it a few more times just to take it all in. It's certainly going to be a film you have to see more than once to really appreciate."
"liberalgems","10","173","253","1 October 2007"," The 1960's Counterculture In All Its Glory!
","As someone who was literally a child of the mid - late 60's & and a student of the time period, I first want to thank everyone who had anything to do with the making of this film! Your timing could not of been better! You helped me to remember the fervor, passion and idealism that made up the mid-late 60's. It's been many years since I have burst out sobbing in a movie theater! Thanks for helping to lift the fog a bit! As an activist, you have collectively given me some badly needed renewed vigor! <br/><br/>I also feel so very, very sorry for all the critics of this movie who don't have a clue about what it all this means, or whose hearts have grown so hard with such bitterness, cynicism or despair; or have just simply sold-out; or plain no longer care! All your ranting and raving and nay saying won't do a thing to take away one moment of the adventure, creativity, experimentation, excitement or passion that made this time in history so great!<br/><br/>I also what to thank the brilliant filmmakers for paying homage to so many great cultural icons, organizations and events of the period: Walter Cronkite, the greatest broadcaster of the 20th century. Baba Olatunji, the Nigerian Drummer and social activist, his double looked like he came right off the Drums of Passion album cover! I can now see him smiling from heaven! The tremendous scene with Bread and Puppets, a living, breathing, direct link to 1960's radicalism, warmed my heart! You even went up to their stronghold in Glover, Vermont, to film part of the scene! Bravo! The SDS (Students for a Democratic Society), which did not advocate violence, and the much smaller splinter-group that morphed into an organization advocating extreme measures, called the Weather Underground. The brave Martin Luther King, Jr. and his intervention in a labor dispute, which cost him his life. The historic occupation of the Ivy League, Columbia University by its students protesting both the Vietnam war and the intense poverty that surrounded the school. Ken Kesey and his legendary bus. The Jimi Hendrix & Janice Jopplin characters who show such dignity, and a passion for music. And, of course, the Beatles! Their music reaches deep into my soul. You gave me insights into the meaning of their tunes that after all these years never crossed my mind! <br/><br/>I also enjoyed being bathed in all the very colorful special affects. The 60's and early 70's were a time of outrageously bold colors and design. Something brilliantly portrayed in Across the Universe! The only film I intend to purchase on DVD that has been released this year!"
"moveup-1","9","144","219","14 September 2007"," A 'Must See' Film Experience!!
","Across the Universe is a love story and musical with creative interpretations of Beatles classics. Critics looker for deeper meaning seem to forget this simple fact. Incredible cameos by Joe Cocker, Bono, and an earth-shattering Gospel version of 'Let it Be', are all in themselves reason enough to see the film. I was lucky enough to see this recently at the historic Elgin theater in Toronto. Julie Taymor is one of the most eloquent directors I've heard to date. Not only has this film advanced the art of film-based musicals, it will most certainly get the Oscar nod and introduce a legion of new young fans to the Beatles. I for one can't wait to see and experience it again!"
"albertocrienzi","7","69","109","21 December 2007"," All We Needed Was Love
","A phenomenal feature length video clip with the Beatles songs and Julie Taymor's eye at the helm. The story, of course, is wafer thin but who cares, right? We're not here for intellectual enlightenment but for the forceful, visionary, smart ass style of one of the female filmmakers that has already revolutionize the Broadway stage without, really, changing anything. I believe that's the kind of revolution that leaves a sign. The kind that reassures rather than confuse and ""Accross the Universe"" does just that. The Beatles are reassuring their message is reassuring. Little did that generation know that things were going to take a terrifying turn. Love! Love! Love! All You need is love. Still true but we've never been, as a society, so far apart. It was great to see teen agers humming the Beatles tunes coming out of the theater. The lyrics are like Gospel or lullabies. Was it only yesterday? It feels like centuries ago. The innocence seems foreign and at the same time so real. It will be nice to go back with the experience of hindsight. It doesn't work like that, does it? No, I'm afraid not. In the meantime the great Julie Taymor gives as a beautiful reminder. And a lovely evening out at the movies."
