"username","rating","helpful","total","date","title","review"
"Angel326","Null","295","321","3 November 1998"," From a Japanese girl
","This is the first time I commented on a film. I saw this yesterday night for the first time. And I just cried.<br/><br/>I cried for Jim. I cried for the pain our country caused in the innocent civilians. (Japan can be so stupid!) I cried for the pilots of the Zero-sen.<br/><br/>I've read and seen lots of movies of these pilots. They're called tokoutai in Japanese. They get on their planes knowing they will die. It's a suicide mission, and they were very proud of it. I know if you're on the winning side you may not sympathize these pilots, but they were just fighting for their country. In those days, the emperor was everything. They taught you to die for the emperor at school when you were only in 1st grade.<br/><br/>But I don't know the war. I've never experienced it. I can't understand the concept of dying for your emperor. So I sympathise with Jim. Jim is a symbol. A symbol of innocence, of the horrors of war. His singing proves that too. He's also the ray of light for these prisoners. His energy and vitality are important aspects. It brings out some human characteristics in the sergent as well.<br/><br/>Christian Bale was remarkable. He should be commemorated or something for this performance, cause it was just brilliant. So was John Malcovich.<br/><br/>Overall it was great. One of the best movies I ever saw. It made me think, a lot. About war, about Japan, about history, and about humans in general."
"wisewebwoman","8","119","147","31 May 2004"," Extraordinary performance from Christian Bale
","I had put off watching this until recently, I do not know why, I had not read reviews and for some reason imagined it to be a movie about a young Japanese prince(!!).<br/><br/>I was captivated by the performance of Christian Bale as a privileged young boy named Jim Graham, growing up in Shanghai, very far removed from the poverty and despair all around him. When war breaks out, this changes him forever and hence the story.<br/><br/>After some harrowing experiences he winds up in a prisoner of war camp where he befriends some interesting characters and quickly adapts to a life of conniving and subterfuge to survive.<br/><br/>The transformation of Jim is beautifully captured, Steven Spielberg is a gifted director of child actors and gets a maximum performance always.<br/><br/>I was enthralled from beginning to end, young Jim was forever changed by his experiences and this change is portrayed starkly here when he is finally reunited with his parents.<br/><br/>8 out of 10 for equally impressive performances from John Malkovich and Miranda Richardson, but Christian Bale's performance deserved an Oscar."
"artzau","8","188","238","19 August 2001"," Extraordinary film
","Reading through the reviews, there were a lot of people who didn't understand this film.  This is Spielberg's venture into the realm of art in cinematography.  This film is a visual masterpiece and you are swept along from beginning to end.  Yes, the tale gets a bit loose in spots and you never know what's going to happen next.  But, if you're willing to give up warm and fuzzy for lush visual images and startling leaps of character, you'll see what Spielberg's trying to accomplish.  This film makes use of the talents of Miranda Richardson and gives some early exposure to the likes of John Malkovich and Ben Stiller, but young Christian Bale steals the show. The reviewer that commented on the ""gothic"" effect of the Tai-Pan's going to the costume ball being driven through Shanghai was right on.  This film is rife with such scenes and does not disappoint.  It's wholly misleading to look for some kind of action story underlying this film.  The tale, taken from the book, is straightforward enough:  a young boy's boost into manhood through the second world war.  The film is full of memorable moments and visually very, very pleasing.  As art, it is excellent.  That's likely why it wasn't a blockbuster, as say, e.g., Poltergeist, Close Encounters and the Jurassic Park films, were.  But, hey.  That's the cost of creating art as opposed to crap. And, crap does draw a lot of flies..."
"gbavedas77","10","133","173","6 January 2005"," Survivng life when your world has been turned upside down.
","I saw this movie 17 years ago as a ten year old in the theater and saw it again for the first time since then last night on a TV movie channel. I have to say I'm almost ashamed that I forgot what a great movie this was...what a great movie it still is. The film contains parts very competently played by the then relatively un-knowns John Malkovic, Joey ""Pants"" and Ben Stiller. The lead was played, and very well done at that, by a then young actor Christian Bales (sp?). The acting in this movie is fantastic and the story line is is as rich as any other of the best movies I've seen. Following the trials and tribulations of a child from an affluent family separated from his parents in China after the Japanese invasion. This movie will make you angry, it will make you laugh, it will make you cry, it will frustrate the living daylights out of you and in the end you'll feel warm and fuzzy: but the hollow kind of warm and fuzzy that only comes after a very harrowing experience. If you don't like war movies don't worry!!! When you watch this film you'll see it's not as much of a war movie as it is a story of survival and the brutal realities of life when the world has been turned upside down. The movie really spoke to me partially b/c I was a young kid when I first saw it and the main character is also a young man. However, this movie also spoke to me on a much different, deeper level. Ever since I was child I was always fortunate/blessed enough to have my family along with everything I needed and most of what I wanted. This movie depicts what happens when all of those familiar things and creature comforts are taken away...it makes you ask yourself: What would I do in this situation? How would I react? A fantastic movie for almost all ages!!!"
"NeuroticMovieLover","Null","159","221","13 December 2004"," ASTOUNDING
","I came across this film while I was flipping through the channels on my t.v. This is truly an astounding film. The inimitable dialogue, the dazzling scenes, and most importantly the profundity of its premise make this film unforgettable and worthy of sycophantic obsession. I was completely enraptured by the brilliant acting. I believe this is Steven Spielberg's most noteworthy film. His other movies pale in comparison to this one. John Malkovich and Christian Bale are incredible as usual, but in this film they bring to life a story of a boy who loses everything due to a country trying to conquer everything. The physical and mental destruction of war and the injurious effects of loneliness are very clichéd themes, but this film conveys them in an incomparable way. This is undoubtedly one of my favorite films, and I suggest that everyone take the time to watch it. It would be exceedingly foolish of one to not watch it."
"carebear-7","Null","112","155","4 December 1998"," truly inspirational
","When I saw this movie for the first time I was a fifteen year old kid more interested in the fact that Christian Bale was in it than what it was about. I had no idea what it was about or how it would effect me.  From the opening frames of the film to the last scene of young Jim's eyes slowly closing, it is  a masterpiece in film making.  This film should be regarded as one of the most visually stunning films of all time.  Spielberg, in his infinite wisdom, has created a film of such beauty and sadness, that I can't compare it to anything else I have ever seen.  Bale's performance brought me to tears.  I had never seen anyone his age or older give such a performance. He has remained, not just a pretty face, but a true jewel in the craft of performing.  Entranced by each moment and each actor in the film, I was inspired to continue my own performing in hopes to move someone the way the actors in this film moved me. I also began to study more on the period and read the novel itself. Speilberg was so true to the novel that you can even pick up the most minute details in the film.  I recommend this film to anyone who hasn't seen it. It is my favorite film of all time and will continue to be an inspiration to me as a performer and as a person."
"thecohen","Null","88","128","30 November 2001"," This movie was a visual, character driven movie of superior quality,
","This movie was a visual, character driven movie of superior quality, even for Steven Speilberg. Some say that Speilberg has too much the eye of a child, but I tend to disagree. Too many filmmakers today are producing slick, throw away action flicks that at first seem promising but eventually fall into predictable, fluff and special effects laden, thinly plotted, dialogue-poor, characterless movies that are gone before the popcorn. Yes, this film has a lot of great Special Effects (So did Schindler's List.) Moreover, a lot of great action to keep the story pace from dragging. The idea of a movie is for the actors and directors to show their stuff (Hopefully around some good writing.) This movie did it for me. I have to agree with all those who praised Christian Bale for his performance in this movie. He was brilliant. In addition, I got to see Ben Stiller in an unusual role for him. I thought that John Malcovitch acted perfectly for this film and yes he was a Han Solo/Indiana Jones character, but with even less depth. His role was pivotal only in so far as it affected the boy. We were not as concerned with his character in so much as his shadow was cast on Jim through out the movie. The war was bigger than this little  boy was and it was exquisitely done. Steven Speilberg gives us wonder, mystery, action, adventure and history in everything he does. He's the consummate filmmaker."
"Ben Lankester","Null","80","116","3 January 2001"," A masterpiece in every sense of the word
","When I first saw the epic film 'Empire Of The Sun' by the inspirational director Steven Spielberg I became emotionally involved in the story and could not help but shed a tear for the truly remarkable piece of cinema. Christian Bale performs, without question, better than any other actor has in a Hollywood film that is twice his age. As he closes his eyes at the end of the film in one of the most moving scenes I can remember, you see what a simply fantastic job Spielberg has done to bring J. G Ballard's classic book to the screen. Not ever has a film been more inspirational to me whilst following my dream to become a director as this. At the end of it you feel you want to move people when making a film as much as you were moved by this one. Wonderfully acted, beautifully shot - no other film will ever compare to this."
"tegg96","10","96","143","27 January 2004"," Very emotional film, with brilliant young Christian Bale.
","Empire of the Sun, I have just revisited this film on DVD and was amazed the effect it left on me. This is almost an unknown film relative to most other Spielberg work. The DVD is not even available in Australia, so I had it 'Amazoned' from the US.<br/><br/>Christian Bales performance as the 12 year old Jim is mesmerizing. He is in virtually every scene of the 2.5 hour movie and gives us the full range of emotions. He also one of the best looking kids I've seen, which add tremendously to the viewing appeal of the movie. A true heart throb in the making.<br/><br/>As a history lesson Empire give us an insight to the happenings in China in WWII, and the ambitions of the Japanese Empire, which are never touched on in other WWII movies.<br/><br/>The most emotional part of the film for me: Jim is looking through the fence at the Japanese airbase, the sun is setting, he is dreaming of flying in those incredible machines, pilots are smartly uniformed and decorated, offices passing drinks to the young pilots, superb music playing, Zeros ready to go, Jim salutes the Japanese heroes as they are flying out. What we know is that the war is lost for Japan and these pilots are surely on Kamikaze suicide missions. We feel great empathy for these fellow human beings despite the fact that they are the enemy.<br/><br/>The images in Empire are beautiful to look at, the movie is thought provoking and provide some history lesson, if somewhat fantasy and sacrine sweet. A behind the scenes war movie with heart. My favourite Spielberg movie and in my top 15 of all time. Other favourites in no order. Titanic, Patton, Unforgiven, Airport, Terminator, Salaam Bombay, 2001, Bridge on River Kwai, Minority Report."
"DutchOompaLoompa","10","89","137","9 January 2005"," Brilliant and Amazing
","Empire of the Sun is about a wealthy British boy living in British controlled states of China during WW2. He is torn from his parents and placed in a camp for British citizens. He tries to find a way to connect the good of his old life to the good life in the camp and a life filled with war, but finds that no matter what there is no good out of war. This is an amazingly underrated film that should be watched by a mature, attentive person. This film is laced with compassion and power put in one. A must see for war buffs (or for Spielberg buffs). No matter what even if you hate this film, you will have a favorite part. One of Spielberg greatest films ever made (personally his greatest). 10/10"
"slayer_5_By_5","Null","78","119","13 November 2004"," Another Wonderful Spielberg Creation
","it was one of those movies i never expected to watch. it was late, i was bored, and i happened to stumble upon a channel i barely ever watch. and while i sat watching events unfold in front of me, i slowly forgot about my usual program of interest. there is something about this film that truly captivates you and leaves your eyes glued to it every second. Christian bale displays his talents wonderfully in this movie, and the most striking thing to me was his ability to give such a realistic, yet youthful performance. his subtle acts of defiance against authority, his brave expeditions that left older men in awe, the fact that a little boy could irritate a general so much. friendships were forged, even with the enemy and it was by far one of the most astounding movies i've ever seen. it's long, it's good, and if you haven't seen it - do so."
"Theo Robertson","7","54","87","22 July 2004"," A Movie Of Great Moments Without Being A Great Movie
","From Spring Of 1940 to the Summer of 1941 Britain experienced "" Its finest hour "" where an island people found itself fighting alone against Nazi Germany and fascist Italy . We experienced Dunkirk , the blitz , the battle of Britain and 36,000 British and commonwealth troops held back a force of 400,000 Italian troops in North Africa . If Britain had accepted the Nazi peace deal on offer the history of the human race would have been entirely different and not in a good way either . Ironically after this zenith of British courage we went onto lose the peace which is something we've been resentful about ever since <br/><br/>I'm being neither nostalgic nor nostalgic when I point out the above . It's just in the early scenes of EMPIRE OF THE SUN the Brits in China are shown as being arrogant , ignorant phillistines who all live in nice big houses . Maybe this might have been true of those Brits living in ivory towers running the empire but it's an atypical view of the average Brit during the second world war . I might have let it pass but seeing as the director's Steven Spielberg who insists on always casting British actors to play Nazis in all his movies and who put the boot into Monty in SAVING PRIVATE RYAN I can't help thinking he's somewhat Anglophobic . Read my opening paragraph and you'll learn more about Britain in the second world war than you will from seeing this movie <br/><br/>There's other flaws in the screenplay ( Written by Tom Stoppard who's not an American by the way ) which people have noticed . It is rather disjointed and episodic . The audience is shown the events of the Japanese Imperial Army invading Shanghai in 1941 where all the Westerners are put into a holding camp then events jump forward almost FOUR years later where the prisoners are held in an internment camp . What ? Nothing of any interest has happened in four years ? Some critics have also mentioned the rather clichéd characters and I agree . The Brits are all rather stiff upper lipped types while the Yanks have a cheeky extrovert attitude with plenty of scams going on . Did the Americans have a monopoly on scams during the war ? I also have serious reservations on the way the Japanese are portrayed in this movie . When Alexander Solzhenitsyn said "" The only difference between the Nazis and the communists is that the Nazis used gas "" it's a statement that could have been used to describe the Japanese occupation forces of the 1930s and 40s , but here they're shown as noble warriors ( I don't dispute the raw courage of the Japanese of the time but there's nothing noble about mass murder ) who salute the young James . If the author of the book JG Ballard said it this scene happened then it happened but I do have many reservations about the Japanese portrayal <br/><br/>There are many positive aspects to EMPIRE OF THE SUN . Technically it's very good with some fine scenes like the above saluting scene and the mustang flying over the internment camp with the pilot waving to young James in slow motion and the scene where the young protagonist believes he can resurrect his dead friend but for me the best scene is where Basie is allowed onto a truck where he turns his back on James who is left behind in a heart wrenching moment . It's these moments that linger long in the memory and certainly make EMPIRE OF THE SUN a far better regarded film than it certainly deserves to be <br/><br/>It's also a film with a very good cast who rise above the material . It's surprising to think this now but when the movie was released in 1987 both Nigel Havers and Miranda Richardson where only known for their sit com roles. Richardson ( So awful in BLACKADDER 2 ) is very good here and went onto to become more or less Britain's best actress in the early 1990s and there's early screen appearances by Joe Panoliano , Ben Stiller ( Yes that one ) and Paul McGann . Despite playing an irritating character ( And characters don't come anymore irritating than a 14 year old boy with a bi-polar disorder ) Christian Bale is excellent and it's nice to know he still gets regular employment as an adult actor . The only disappointment is John Malkovich but I've never been a fan of his "" Stoned Jack Nicolson "" type of acting and like I said he does appear in the movie's best scene <br/><br/>EMPIRE OF THE SUN has it's moments but that's all they are - moments . They stay in the mind making you believe that it's a far better movie than it actually is . It's not by any stretch of the imagination a bad or even average film but it's not a masterpiece either . Perhaps the fact that it was nominated for several Oscars ( None of which were for best film or director ) but failed to win any shows up it's true worth"
"JMichaelAtchue","8","6","7","21 November 2019"," An Underrated Classic
","In 1987 Steven Spielberg's ""Empire of the Sun"" opened to mixed reviews and disappointing box office returns. But the film's reputation has grown with time, and it's now rightfully considered an underrated Spielberg classic. ""Empire of the Sun"" tells the true story of Jim Ballard, an English boy who's separated from his parents in China during World War II. Featuring an excellent performance from the young Christian Bale, ""Empire of the Sun"" is an emotional and visually striking drama about loss, family, and the horror of war. Spielberg also uses Ballard's story to address thought-provoking questions about social privilege, militarism, and the lengths that humans will go to in order to survive. Spielberg doesn't provide easy answers to these questions, making this one of his more mature and contemplative works.<br/><br/>Having seen ""Empire of the Sun"" multiple times, I've grown to deeply appreciate it as both a sweeping historical epic and a powerful tale of a traumatic childhood. The movie isn't perfect - at two and a half hours it's too long. The second act in particular drags and this causes the movie to lose much of its dramatic momentum halfway through. But despite its length ""Empire of the Sun"" does more than enough to maintain your interest with compelling performances, amazing visuals, and of course John Williams' award winning score. 8/10."
"webmaster-49","3","46","86","28 October 2005"," Mind-bendingly stupid
","I read some of these comments and I'm totally floored. The acting was horrid and forced, mostly due to the director creating scenes and instructing his actors to respond in completely unrealistic ways, such as when the parents of the ""lost"" children simply stand around staring at the assembled children until, after an eternity, one parent recognizes their kid. Um, yeah, right. Nobody would shout out a name, right? None of the kids recognize their own freaking parents. And this movie is full of moments like this.<br/><br/>The Japanese come off almost like clownish figures, the Chinese as mere backdrops in their own country. The set pieces are ridiculous and none of this is even remotely close to actual history. I don't care if this is told from ""the boy's perspective."" That's not an excuse for lazy, unfocused, and completely unrealistic work. OK, so it's not supposed to be realism. It's ""surrealism."" Well, it fails on that level too as it doesn't produce a sense of wonder or fascination, but rather a sense of endless irritation and boredom as scenes go on and on, or simply cut to another unrelated scene. If Spielberg was shooting for some kind of ""war as seen from a kid's point of view"" he really blew it, unless we're to believe children are on a permanent happy acid trip.<br/><br/>Scored like a soaring Disney kid's flick and sanitized to the point of being an insult, this movie is worthless. Another example of Spielberg's total inability to cover serious subjects with anything other than the mentality of a semi-autistic child. Jim's transformations are completely phony, based on nothing more than the script. Annoying English boy turns into bad-acting English boy.<br/><br/>Don't let the high ratings fool you. You have been warned."
