"username","rating","helpful","total","date","title","review"
"Moonlyn","10","362","482","14 February 2005"," Oldman is the Best Dracula Ever!
","This is the best rendition of Dracula ever captured on film. Gary Oldman's dark and sensual personae outshines any other vampire who ever dare put on a cape. To me Gary Oldman is the most talented and underrated actor ever. He becomes who he is playing, however in this role... Dracula became him... Oldman set the bar so high it is untouchable even to Bela Lugosi. Winona Ryder's delicateness suited the role of Mina/Elisabeta nicely and Keanu Reeves played the unsuspecting and naive Jonathan with satisfaction. However the whole movie comes together because of Gary Oldman's intoxicating essence. He draws the viewers into his darkness and passion and guides them through until the end. This film is drastically romantic and hauntingly captivating- just like a real Dracula movie should be. The cinematography deserved Oldman's phenomenal performance and perfectly created a true vampire realm. Francis Ford Coppola is brilliant. This is the spirit of the vampire."
"MovieAddict2016","7","66","84","18 October 2005"," Visually striking, but Coppola's storytelling eccentricities are ill suited for the story itself
","""Apocalypse Now"" worked due to its hazy, surreal vision of a hellish world. Coppola returned thirteen years later and created a similarly haunting and poetic so-called ""masterpiece,"" a supposed truthful adaptation of Bram Stoker's Dracula tale - when, in fact, the truth is that this movie is no more faithful to Stoker than the (superior) Universal Pictures original.<br/><br/>The hazy film-making is visually satisfying, and some of the special effects are - simply put - amazing. Coppola's backlighting and use of shadows is creative and unique. But, unfortunately, after a while his emphasis on style over content begins to eat away at the film's other strengths - the relationship between the heroine (Winona Ryder) and Dracula (Gary Oldman) is weak. Many story links are completely nonsensical and people appear and disappear at whimsy. The heroine's fiancée (Keanu Reeves) writes to her from Transylvania, asking her to depart at once to marry him; in a matter of one or two scenes she has suddenly traveled a vast distance and is standing at the alter prepared to wed. It seems like Coppola loses a grip on his characters and plotting very early on.<br/><br/>Oldman gives a chilling performance but isn't given very much to do, because he's set aside and the special effects take over. The opening scenes of his battle and his motivation to become the King of the Undead is very enthralling - if Coppola had maintained this mixture of style and content the movie would have been far better.<br/><br/>The casting of the weak Keanu Reeves and Winona Ryder in leading roles harms the impact of the film as well. Reeves sounds like a Californian pothead imitating a Brit; Ryder treats the material as if it is a dramatic, over-the-top theatre rendition; every line she speaks is sickeningly cheesy.<br/><br/>Anthony Hopkins turns in a disappointing performance as the utterly forgettable Van Helsing, who is given very little to do in this particular film apart from show up when convenient and sprout fancy little one-liners, most of them dramatic closers to scenes (e.g. ""We are dealing with a demon!"", then a cut-away to another scene.) Overall, ""Dracula"" is a good film and is worth seeing for its visuals alone. It is not, however, the strongest adaptation of Bram Stoker's novel; given the hype surrounding its release in 1992, the completed effort is rather lackluster in the story department."
"gianlucabertani-77095","9","28","35","16 November 2017"," Stunning
","First of all, sorry for my English: I'm Italian and I don't know if I am able to express not in my language my thoughts with the proper terms. Anyway, I loved this movie, even if I agree that the title should have been F.F.Coppola's Dracula. In fact it is a very personal read of the original script. So, I can understand, but not agree, with all critics about important differences to Bram Stoker's masterpiece. It's a movie you can love or hate, there is no midway, as all comments prove. Personally, I loved the way Coppola reviewed the classic tale, giving Dracula a reason to be what he became after the loss of his wife e to search in England the reincarnation of his lost love. Gary Oldman is absolutely fantastic, lavish, romantic,chilling, in particular as he plays an old Dracula in the beginning of the movie. Definitely the best character of his career until now (let's see how he portrays Churchill in the Darkest Hour). Winona Ryder is so sweet and adorable that I forgive the fact she hasn't been the best choice to play Mina. The other actors (except for Keanu Reeves, completely outcast and unable to act) are all good choices. The music is wonderful, as cinematography, art/set direction, make up and costumes (who cares if Dracula wears John Lennon style sunglasses...). This Dracula is seductive as no other movies ever showed and as no other actor was able to portrait the dark prince. By the way, the choice of Keanu Reeves and some screenplay bad errors and holes don't allow to give a 10. But at the same time I can understand it's not a movie for all tastes. As I already written, you can love or hate it."
"nico-104","9","234","339","2 January 2005"," One of Coppola's Best
","Though I did not read the book and can't compare it to the movie, I found Bram Stoker's Dracula quiet excellent. The costume design, lighting, camera work, make-up-fx are all very good and make for a very atmospheric movie.<br/><br/>There are some truly outstanding things in this film.<br/><br/>1, the editing... excellent, I love the way they worked with dissolves, the hypnotic feel they created with the careful editing. Every frame flows in the other, the whole style grabs you and never lets you go... I simply could not turn my eyes off the screen.<br/><br/>2, the acting... Gary Oldman is THE Dracula, IMO. Seductive, strong, bad and scary in his own distinctive way, yet really romantic.<br/><br/>Hopkins is funny as Van Helsing and quiet ironic.<br/><br/>Winona is a great Mina. Beautiful, innocent. She looks great in these Victorian costumes.<br/><br/>Keanu Reeves is not as bad as many of you think. He makes the best of his underwritten character.<br/><br/>3, the Score... haunting, romantic, scary. It works beautiful with the pictures.<br/><br/>I think this movie is a great cinematic achievement and very underrated. It's a shame they don't make movies like that any more.<br/><br/>10/10"
"Smells_Like_Cheese","8","113","159","13 August 2001"," Francis takes on Dracula and makes it into a masterpiece
","One of the best known and most popular Dracula films is by Francis Ford Coppola. At the time he really hadn't made a hit film since The Godfather, he was going bankrupt. So what better way to get out of debt than to make something that is pretty much a guaranteed thing that audiences will love? We got the scares for the boys and the romance for the girls and it equals Dracula. Many people ask me what is with the appeal of vampires? My opinion; it all equals sex. The dashing handsome man coming into the young lady's room at night confessing his desire for her and her giving herself completely to him is not only romantic, but dangerous and filled with adventure. I always found it funny that Dracula was supposed to be the villain of the story, but he's offering to take the girl on this incredible adventure through the world and time yet her usually bland boyfriend doesn't want it that way so he rips her from that experience I don't know, maybe I just look at things too differently. However moving onto the film, Francis took on the classic tale claiming to be ""Bram Stoker's Dracula"", not really being 100% faithful to the novel and really over glamed it, however still made this into a very good movie.<br/><br/>In 1897, newly-qualified solicitor Jonathan Harker takes the Transylvanian Count Dracula as a client from his colleague R. M. Renfield, who has gone insane. Jonathan travels to Transylvania to arrange Dracula's real estate acquisition in London, including Carfax Abbey. Jonathan meets Dracula, who discovers a picture of Harker's fiancée, Mina, and believes that she is the reincarnation of Elisabeta, his long lost love. Dracula leaves Jonathan to be seduced by his brides and sails to England with boxes of his native soil, taking up residence at Carfax Abbey. In London, Dracula appearing young and handsome during daylight, meets and charms Mina. When Mina receives word from Jonathan, who has escaped the castle and recovered at a convent, she travels to Romania to marry him. In his fury, Dracula transforms Lucy, her best friend, into a vampire. The men: Van Helsing, Holmwood, Seward and Morris kill Lucy. After Jonathan and Mina return to London, Jonathan and Van Helsing lead the others to Carfax Abbey, where they destroy the Count's boxes of soil. Dracula confesses that he murdered Lucy and has been terrorizing Mina's friends, but a confused and angry Mina admits that she still loves him and remembers her previous life as Elisabeta. At her insistence, Dracula begins transforming her into a vampire. The men are now determined to save her before her transformation is complete by killing Dracula.<br/><br/>What makes this film so special compared to other Dracula movies? I think it was Gary Oldman's performance, he made a very memorable Dracula. Ranging from creepy and disturbing to romantic and charming. I think a lot of people connected with the love story, even if it was over romanticized, a lot of people would like to think that ""love never dies"" and someone would ""cross oceans of time to find them"". Does the film have flaws; oh yeah. Between the laugh fest that was the battle of the bad accents between Keanu Reeves and Winona Ryder. There are scenes that are very over the top and over acted, sometimes also equaling a little too MTV generation. However, you cannot deny that the style of the film is absolutely memorizing and very elegant. The costumes and sets are very stunning and who could forget Dracula's ""butt"" hair-do? This film has had so many parodies making fun of the lines and hair, but I think that goes to show the impact that the film had. It also started a stream of the Universal Studio remakes with ""Mary Shelley's Frankenstein"" and ""Wolf"" later on. The film may be flawed, but I still love it. It's not faithful to the novel, but gets more things correct compared to other films like Dracula's death and some lines directly taken from the novel like ""Yes, I too can love"". I think this will go down in the horror classics when it comes to vampire movies, it's got class, violence, blood, style and a lot of sex appeal.<br/><br/>8/10"
"ccthemovieman-1","9","121","175","22 April 2006"," A Treat For The Eyes And Ears
","As is the case with many of these latter-day horror movies, this is visually stunning. This one is particularly so, with beautiful colors, wild special effects, lavish sets and a handful of pretty women, led by Winona Ryder.<br/><br/>It isn't all beauty; there are some horrific, bloody moments in here. I've seen the film three times and the first two times was terrifying to me in parts. The last viewing wasn't as scary, but maybe I was distracted by seeing this on DVD for the first time, which enhanced the visuals and added some nice 5.1surround sound.<br/><br/>At two hours and 10 minutes, it's a bit long but there are very few lulls, if any. Gary Oldham gives his normal intense performance as Dracula and it never hurts to have Anthony Hopkins in the film. <br/><br/>The only negative I found was Keannu Reeves, who sounds a bit wooden in his lines. Is it my imagination, or is he a terrible actor? Maybe it's just his voice. Nonetheless, Cary Elwes, Richard Grant, Sadie Frost and Bill Campbell all give good support to this film which is a real feast for the senses."
"jhclues","9","107","156","24 March 2001"," An Artistically Rendered Tale Of Darkness
","The most famous vampire in the history of literature and film is brought graphically to life in `Bram Stoker's Dracula,' directed by Francis Ford Coppola, and starring Gary Oldman as the Count from Transylvania.  Working from a screenplay (by James Victor Hart) that is a faithful adaptation of the novel, Coppola takes an artistic approach to the material and creates some startling and effective images-- some quite intense and erotic-- to tell the story of Count Dracula and his world of the undead.  Unsettling at times, and often shocking, the film is mesmerizing and thoroughly engrossing, delivered with a full palette of colors and shadows that form a backdrop against which the characters so vividly emerge to play out the drama.  It's a visual and emotional feast that is satisfying in every respect, beginning with a brief history of Dracula and the circumstances of his life that ultimately allied him with the forces of darkness and evil. 	Initially, the casting of Gary Oldman as Dracula seemed inauspicious and ill advised; in retrospect, the choice of Oldman was inspired.  Though many actors have done the role before and since (Schreck, Lugosi and Lee, just to name a few), Oldman manages to make the character uniquely his own, with a nuanced performance infused with depth and acuity.  Even when delivering famous, oft quoted lines from previously filmed versions of the story (Lugosi's `Children of the night, what music they make,' for instance), Oldman makes them spontaneous and fresh, with a conversational tone that makes you feel as if you're hearing them for the first time.  His presence is self-assured and menacing, which makes the character strong and intimidating, and you sense his longevity and the dark wisdom afforded him by his many years of existence.  There is a fastidiousness about Oldman's methods of inhabiting a character that makes you wonder if there is anything as an actor that is beyond his grasp.  At this point, I would think not. 	As Van Helsing, Anthony Hopkins puts his personal stamp on a well known character as well.  His portrayal of the famous professor is zealous and lively, and touched with an eccentricity that makes him an interesting and welcome presence in the film.  Winona Ryder, too, gives a believable performance as Mina, a somewhat emotionally challenging role she addresses with the restraint demanded of her by the character.  With her dark, winsome looks and natural intensity she is perfect for the part, and displays a femininity that contrasts well with the overt sexuality of Dracula's three `brides.'  And Tom Waits gives a memorable performance as the mad, insect-eater, Renfield, as does Sadie Frost, as Lucy, Mina's young and nubile best friend who unwittingly falls prey to Dracula's dark powers.  The single member of the cast who seems to struggle a bit with characterization is Keanu Reeves, as Jonathan Harker; he gives a passable performance, but fails to ever get a firm grasp of the character.  Still, he has an engaging presence and, though lacking depth, his portrayal is at least credible enough to maintain the continuity of the film. 	The supporting cast includes Richard E. Grant (Dr. Seward), Cary Elwes (Lord Holmwood) and Bill Campbell (Quincey).  Exacting in detail and imaginatively rendered, Coppola's `Bram Stoker's Dracula,' is an impressive, memorable film.  By boldly juxtaposing images and shadows, embracing the innate sensuality of the vampire, and blending it all together so seamlessly, Coppola has taken his film, not only to the zenith of the horror genre, but beyond.  It's a journey into the regions beyond the known, wherein the forces of darkness thrive and survive; a cinematic experience you'll not soon forget, courtesy of Coppola, a superlative cast, and the magic of the movies.  I rate this one 9/10."
"Sleepin_Dragon","9","8","9","16 January 2020"," A visual feast.
","I have seen multiple versions of Dracula, but none compare to 1992's version starring Gary Oldman, the definitive Count Dracula in my opinion. This film is lavish, decadent and wonderfully vivid. It captured the gothic spirit of the novel, it's deep, romantic, and mixed with tender and violent moments. The visuals to this day are exquisite, the costumes, sets and scenes of Victorian England are superb.<br/><br/>Oldman is incredible, but the supporting cast of Reeves, Hopkins and Ryder are terrific, Winona Ryder's delicate character is superb. The accompanying soundtrack was also fantastic, great songs from Annie Lennox.<br/><br/>A true classic. 9/10"
"silicondoc","10","31","44","21 March 2006"," The best Dracula movie ever made.
","I have watched this movie probably ten times. It is no doubt the best Dracula movie ever made. The cinematography is superb, the sound effects are absolutely incredible. It is enchanting, haunting, endearing, and enthralling all at once. It is the type of movie that is done so well it seems there are endless stories within it, and you can certainly lose all sense of yourself when watching it. Absolutely tremendous. Top of the line. A classic for all time. It has a bit of a good western in it, some of the old style early movies, plenty of modern visual effects, a good amount of sexual flair without overdoing it, the enduring innocence of the several young ladies that lighten the screen. The first person storytelling aspect that fades in and out is also a very well done key effect, detaching you from the scenes in an observant listener fashion without danger of entering, allowing you to witness or imagine the coming horror unfolding, then drawing you in deep within the screen until you're lost in it's essence.<br/><br/>Tremendous film. Definitely recommend. Do not deprive yourself."
"tfrizzell","Null","122","195","18 April 2003"," Interesting and Mostly Accurate Take on the Horror Classic.
","""Bram Stoker's Dracula"" is one of those films that reeled people in by making its audience believe that it would be an intense horror film on par with productions like ""Rosemary's Baby"" or ""The Exorcist"". Instead, director Francis Ford Coppola stayed more true to Stoker's novel and put a focus on an intense love story that transcends time, the elements and even life and death. This naturally turned off many horror enthusiasts who would rather see a film that thrives on shock value rather than a movie that thrives on heart, brains and emotion. The film is naturally about the titled character, an immortal man (played superbly by the nearly always exceptional Gary Oldman) who has turned against God and now lives through the powers of darkness. By the late-19th Century, the titled character is trying to lure back a reincarnation of his one true love (Winona Ryder) and of course attempting to eliminate all those that might stand in his way (Ryder's fiance Keanu Reeves and professor Anthony Hopkins most notably). Overall ""Dracula"" is an amazingly good looking film that benefits from high production values and guaranteed performances (mainly from Oldman and Hopkins). Coppola's direction is strong, but a bit overbearing at times and sometimes it is unclear what the tone of the production truly is. Watch for Italian beauty Monica Bellucci as one of Oldman's beautiful, but deadly wives. 4 stars out of 5."
"ienge","10","151","248","16 December 2004"," After Gary Oldman as Dracula, there is no other Dracula
","This movie I feel has not gotten high enough vote in your system. Therefore I gave it 10 points despite a few details that would normally deprive it of one point.These are firstly that the character of Jonathan does not measure up to the standards of the rest of the actors. The second little detail is the scene with the party where Lucy joins together her worshipers. Quincy is holding his hat in front of the sofa when Lord Holmwood arrives. The next time we see him he is given his hat with apologies from the doctor Jack Seward who apparently has sat down on the hat. He already sat there in the former scene when Quincy is holding the hat. Very irritating with such a big blunder in a super movie like that. Now, what makes the movie a ""tenner"" is everything else, in particular Gary Oldmans interpretation of the count, and Anthony Hopkins as doctor van Helsing.The scene with Mina and Dracula in bed is one of the greatest romantic scenes ever, and sure to make any girl cry."
"Cheetah-6","10","122","198","14 January 2002"," Lush and Sensual
","This one really nails it.  Lush, sensual, sexy\gory, beautiful and creepy. With just the right touch of humor to keep it in perspective. Tom Waits as Renfield gone bonkers is great comic relief.  Nosferatu of 1922 or Werner Herzog's version of 1979 are also very good but they've got nothing on this one. It stands well with them and is a must for any Vampire story lover. This one pulls of Dracula's story in high style!  One of Coppola's Best works."
"stamper","9","107","173","29 October 2001"," One of the most romantic stories ever told
","The background of this story is the myth / legend of Count Vlad Dracula (son of count Dracul) nicknamed' Vlad Tepes (Vlad the impaler). Vlad was, as the film tells us a warlord in the 15th century who fought the Turks. According to the myth he drank the blood of his victims and impaled them. This is a real myth, as it was and maybe even is still believed in Rumania. A lot of information about Vlad Dracula was later gathered by Irish writer Bram Stoker, who, combined it with myths of vampires into this tale of the well known blood -sucking Vampire. Another thing that is real in this film are the pictures in the book Vampyr, which is read by van Helsing (Anthony Hopkins) in this movie. The pictures you find there are also to be found in history and school books, complete with ancient writings beside them.<br/><br/>
I will not reveal to you the nature of the plot, but I must say this bloody horror film is one of the most sad and romantic stories ever told. It is about a man who loses his wife and cannot rejoin her in another life. So he turns against anything people in the 15th century believed in and is punished by god to wander the earth as the undead. He is cursed to be feared and hunted, for he needs to drink the blood of man to keep alive. He is nosferatu (vamyr), he is Count Dracula.<br/><br/>
He lives miserably for about 400 years until he falls in love again. And by doing so we are dragged into the fortune and misery of a creature who lives eternally. He is alive, but lifeless on the inside. He is rich, gentle and loving, yet he must feast on humans to survive. He is damned forever, whilst he did not do anything wrong.<br/><br/>
The settings of this great story is late 19th century Europe (England and Karpathia). Karpathia is not well known to man, the wild side of Europe. All this bears with it the mysticism of this story and the epic and tragic background. As for Dracula (Gary Oldman) himself, he drags us into a world of blood, lust and erotica. He seems only to be driven by his great love for Mina (Winona Ryder) and the need of being together with her. TRUE LOVE<br/><br/>
There are some great (and famous) actors in this film: Anthony Hopkins, Winona Ryder, Gary Oldman, Cary Elwes and Keanu Reeves. They all contribute greatly to this film, although I must say that the best acting comes from Gary Oldman (Dracula), Sadie Frost (Lucy), Sir Anthony Hopkins (van Helsing) and music legend Tom Waits (Renfield). Do not get me wrong the rest is good to and do their job's well, but these four really put the dot on the i.<br/><br/>
Besides the actors there are a lot of things that stand out (look at the list of prizes and nominations at the Oscars), but I must say two people are left unaccounted for there. The director Francis Ford Copolla and the genius behind the haunting and touching music Wojciech Kilar. They both bring so much to the greatness of this film, I would have felt like an idiot if I had left them out.<br/><br/>
This does not  only make an excellent horror / epic / romantic film, but surely is (in my opinion) a great date flick, about love everlasting and the tragedy of a man who is cursed to live forever and roam the world alone, for he is feared and hunted.<br/><br/>
9 out of 10"
"night_hawk333-1","1","160","265","27 December 2004"," this movie is disgrace for Bram Stoker and his fans
","This movie have excellent cast, director, photography, atmosphere BUT writer is complete idiot. He butchered the beautiful story. It would be OK if movie don't have name: Bram Stocker's Dracula! STOKER TURN OVER IN HIS GRAVE after this film. All characters are disgusting: Dracula wasn't romantic pathetic Don Juan, he was tyrant and evil!!! Lucy wasn't whore, she was kind shy girl! Mina was never in love in Dracula!!!! She loved Jonathan more than everything in the world and their love defeated Dracula!!! And Dracula never transformed in ugly hairy monkey and raped Lucy on cemetery(that is the worst scene in movie) Story from book was very original and there weren't necessary to make it more pathetic and more stupid American to make great movie. I hope that some wise director make one real version of Dracula to correct Coppola's greatest error in his life!"
"rturner231","1","142","234","31 July 2006"," Coppola ruins a great novel by adding his own flavor.
","I was supremely disappointed by this, ""Bram Stoker's"" Dracula. I have read the classic novel by Bram Stoker, and I don't think this would have gained his approval. The only things common between the movie and the book are the names of the characters, and that Count Dracula is from Transylvania. I don't know why Francis Ford Coppola felt he had to spice up a story that has stood up for generations of scrutiny as a classic story of good vs. evil and dress it as a love story. There is a reason that other horrible characters have been created in literature, but there are only a few that endure. Dracula is one of them, and it is because of the chills a reader feels when in his presence in the world Stoker created. The novel has suspense, feeling, and good, noble characters throughout. The movie has none of these qualities. <br/><br/>Everyone in the book has their own vices and greatness. Dr. Seward: doubtful but brave. Dr. Van Helsing: brilliant and cunning. Quincey Morris: simple and impetuous. Arthur Holmwood: sophisticated and selfless. Jonathan Harker: loving and loyal. Coppola manages to remove all these qualities from the characters in this movie. But the worst tragedy of them all was the butchering of the character of Mina Harker. She is the heroine in Stoker's story, a great woman who was indispensable in their pursuit and ultimate destruction of the monster. In the movie, she is the reincarnation of Dracula's lost bride and loses all of her charm and any connection with the audience by pining for an undead demon. Who, by the way, Coppola manages to humanize by somehow justifying his thirst for blood by showing us how much he loved his bride hundreds of years ago. <br/><br/>If I had not read the book, I might be less disappointed with the movie. I did enjoy Anthony Hopkins' performance as Dr. Van Helsing, although he turned the doctor into a bit of a religious crackpot. I have never seen the ""Dracula"" starring Bela Lugosi, but I intend to, if for no other reason to go back to a time where movie makers developed plot lines and characters rather than just splashing blood and bared chests across the screen."
"petra_ste","6","11","14","6 August 2007"," I have offended you with my ignorance, forgive me
","This Dracula adaptation accomplishes a seemingly impossible task: it's both a quite faithful AND an astonishingly unfaithful adaptation of Stoker's novel. It's faithful because no other adaptation I know of keeps all the characters of Holmwood, Seward and Quincey Morris. Besides, apart for the prologue, the story is basically true to the Transylvania (first act)/London (second act) /Transylvania (ending) structure of the novel.<br/><br/>And yet Coppola's movie is, character-wise, very much unfaithful to the book: the Count is a tragic character rather than a soulless monster; Mina is the reincarnation of Dracula's lost wife, so the script actually develops a romance between the two. Now, when it comes to adaptations I am not against changes, AS LONG AS the final result is true to the spirit of the book: here, it's not.<br/><br/>The always awesome Oldman is a charismatic and chilling presence as Dracula, but other performances are either forgettable (Ryder, Elwes) or hammy (Grant, Frost, Hopkins). I was especially disappointed by the latter: his Van Helsing is turned into a comedic character, a sort of Grampa Simpson on drugs. Waits is an effective Reinfield, but the fact Dr. Seward is so absurdly over-the-top makes their scenes together ridiculous - the madman here does not seem weirder than his doctor.<br/><br/>The worst is by far a miserable Keanu Reeves, here the very portrait of hilarious miscasting, who appears to break the fourth wall while uttering the quote I put in the review title. With his repugnant English accent and laughable delivery - my favorite lines being ""if I may inquire"", ""blue inferno"" and especially ""Look! He's grown young!"", which had me howling with laughter - he gives the kind of performance which should be punishable by law.<br/><br/>At least Dracula is visually compelling: it's luscious, with interesting composition, odd colour palettes, memorable costumes - Coppola toying with every trick of the medium.<br/><br/>6,5/10"
