"username","rating","helpful","total","date","title","review"
"DJWinston","4","260","370","13 June 2020"," A Spike Lee Disjoint
","Much as I admire Spike Lee's talent and audacity, this film just didn't work for me. Too many preposterous plot points while the motivations (of everyone, it seemed) were never clear. The whole thing was just confusing.<br/><br/>And yes, disjointed."
"turicus","1","125","173","20 June 2020"," Had to reactivate my account to warn you about how terrible this is
","This film is an absolute mess. It starts out well, with 4 Viet Nam vets going back to find their dead buddy. And some gold that they hid. What gold? Never properly explained. But it's been buried just below the surface for 50 years, and no-one ever found it. One of the vets' son finds it when he goes to take a dump. I'm not making that up.<br/><br/>That's not the biggest coincidence though. They are found in the jungle by a group of mine-clearing activists they met in town before setting off. You know, after hiking through the jungle for days. And just as one of them steps on an old mine. Just, ""Oh hi!"" in the jungle. The mine clearers say that they can't clear mines, though.<br/><br/>One guy gets bit by a snake and sucks the lood out, then falls over, loses the gold, and just keeps walking without even picking up his rifle. Hardened vet with 3 tours under his belt.<br/><br/>Next up is one of the vets' ex-girlfriend who looks about 20 years too young to have been of age in the late 60s. And her daughter by said vet doesn't look close to 50 either. He also finds her house even though he hasn't been in touch. He doesn't even know he has a daughter. But walks right up, rings the doorbell and has dinner with her.<br/><br/>The firefights are some of the worst you have ever seen. Everyone is a terrible shot except the heroes. Even though they all fire on full auto with what seems to be 400 round magazines. And one of them shoots a guy in the head first round even though he just said he's never held a gun.<br/><br/>Then in the last 30 seconds a Black Lives Matter sequences gets tacked on, which sort of fits. But the film was shot in spring 2019, so it's obvious they just added a current events message to it. Which muddles the story about what the vets went through, their struggles and current lives.<br/><br/>In the end, nearly everyone is dead and the gold gets given away. By this point, you don't care, cause the characters have developed so little depth, and seem to be acting randomly.<br/><br/>What a disaster. Don't waste your time watching it! I thought Spike Lee was supposed to be good? How did this get a rating above 3/10 on any platform?"
"jamaisj-838-93732","6","43","56","21 June 2020"," So Much Promise....
","There's a lot of really cool stuff going on in this movie, but the directing and writing gets in the way. Ultimately, the movie tries to link the Viet Nam war and racism, and fails miserably. In trying to fight the two different wars, it loses a lot.<br/><br/>There's a lot of issues with the movie, but they come down to three issues:
1) It needs to decide which movie it's remaking. It basically tries to combine Treasure of the Sierra Madre, Apocalypse Now, and Three Kings and fails at it because of how different the three movies are.
2) The length; this movie could have been told much more effectively in almost half the time. I know it's trying to combine three movies, but that's no excuse for just taking too much time on things.
3) The over-the-top racism. I know this is a weird call, but the movie could have been a lot more effective had it toned down the racism. Also, some of the incidents involved contribute to the length of the movie without really adding anything.<br/><br/>The apparent lack of any military knowledge on the part of Lee (the sheer number of military gaffes, such as salutes and ammunition) as well as the obvious call-backs to movies involved keep throwing watchers out of the movie.<br/><br/>This had the potential to be an incredible movie, especially as the acting is incredible and the cinematography is gorgeous, but it's just too long and too many issues to be even a satisfactory movie."
"portermelissa","3","179","261","13 June 2020"," I wanted to like this movie
","I was so excited that a new Spike Lee movie was out and wanted to like it so badly, but at the end of the day, this movie is just bad. The plotline becomes as advanced as a Disney movie (but with more blood and gore) and some of the casting choices were absolutely awful. It was disjointed and the quality overall would be expected of an amateur, but not someone like Spike Lee. I still gave it 3 stars for its display of several mental issues that veterans suffer from, but I wouldn't spend the time watching this one."
"labolts","4","202","301","13 June 2020"," Disappointing
","The context and resources had great potential to make it a great movie but Spike Lee missed the mark completely. Even the great actors playing couldn't save this.<br/><br/>We wanted to like this and forced ourselves to finish this 2.5ht movie. What a waste.<br/><br/>This could've been a much better movie if Mr Lee wasn't surrounded by yes men and hired better editors and script writers."
"wangzunxin","2","115","169","13 June 2020"," This is a Spike Lee movie?
","No idea how the ratings are as high as they are on this one.<br/><br/>So many lame moments throughout the movie. Didn't even bother to cast younger versions of the main crew to match the flashbacks in the story"
"MIDDLEMYATT","1","173","262","13 June 2020"," ""Sloppy and all over the place"" ~ my Daughter/
","Spike has missed the boat again with this one! So, so bad. I write this as I'm two hours in, thoroughly convinced that it ain't getting any better. Poor script; in fact, an utterly empty script that does no justice to the real ""Bloods"" who lost their lives or left the best of their lives in the jungles of Vietnam. If I were to meet him, I'd ask, ""Why, Spike. Just why?"" The script is, again, so poorly written; it meanders and fails to ever find its focus and aim, engendering no reason to invest in the story nor the characters therein. The cast members are all great talents. However, they are tragically, criminally, wasted here. I was bored, my family too, by the thirty-minute mark, and it managed to even go further down hill from there. An utter waste of time. There is nothing, nothing redeeming about this disaster of a thrown-together film. Implausible and uninspired, it is, and I say all this as I true Spike Lee fan. Please, please, do yourself a favor and avoid this god-awful film! PLEASE! LIFE IS TOO SHORT!"
"simelemontolomeo-56461","3","165","255","13 June 2020"," Ok, WHAT?!?
","Perhaps I can understand the same old actors playing their selves in the war, but at least 40 years of Vietnam passed and Otis has a daughter of less than 30?
Too many political overtones and stereotypes, I just wanted to see a good movie, sorry."
"georgebyfordmuir","1","145","223","13 June 2020"," Too on the Nose with awful dialogue
","This films intro was the best bit. It all went downhill from there. Two and half hours of predictable plot and awful unnatural dialogue. The cinematography was jarring for the wrong reasons with a colour palette that didn't match within individual scenes. The changing aspect ratio was a nice touch but I feel like this was an after thought as much of the framing felt off and was awfully wide for what felt like no reason.<br/><br/>The editing was rather lacklustre and felt like a soap opera.<br/><br/>I can see why this film is being praised due to its messages of inequality and awful treatment of African Americans throughout all of americas history. I would've appreciated these messages if they weren't served to me with a spoon.<br/><br/>I feel like the filmmakers in the editing room said ""apocalypse now was a great Vietnam war film. We should pay homage to it"" and with this in mind they added flight of the valkyries to the soundtrack. Poor taste and craft."
"brian-ogrady","2","220","348","12 June 2020"," Huge disappointment
","Clumsy at best.
Watched this with my family and the moment with the battle scene at the beginning and the completely inappropriate music was the first time we all looked at each other with a wtf ??
Then the scene where one of them meets his old flame - again the music and script made us realize ahhh maybe this movie stinks.
I know the little history lessons show horned in is a Spike Lee staple but it makes you feel like you're watching a PowerPoint presentation.
Give it a miss"
