"username","rating","helpful","total","date","title","review"
"dakjets","8","212","255","16 May 2017"," Haunting and beautiful
","I have to admit that I had low expectations when I was going to see this movie. The negative reviews are why. Appearance that the film has gone bad, not earned enough, etc. But it does not make sense to listen to others. The best part is to find out yourself. And I have to admit that I enjoyed this movie well, even though I understand some of the criticisms. At the same time, I know that Morten Tyldum is an incredibly good director. One of the best Norwegian directors, without a doubt. I think it's strange that he made something directly bad. The film is not a featured sci fi movie, even if the action takes place on a spaceship. I enjoyed the movie for three reasons: 1) The story is unique, and something I've never seen before. It's always a good sign. 2) It's beautiful to watch, great movie, spectacular setups and scenes. It was impressive and 3) This movie works to switch between a love story and some action sequences. It seems like a thoughtful movie, and I appreciated the thought behind scenes and action. The few people we meet in the film give insight and one becomes familiar with the characters. It is also a strength, but perhaps also a weakness. The gallery is limited. But anyway, I recommend this and hope to see similar movies in the future."
"steen-mpi","9","775","1096","23 December 2016"," Eminent Science Fiction
","Professional film critics are stupid. That is the conclusion you must reach after watching this movie. I was not expecting much after reading the uniformly negative critical reviews. But I was surprised. The movie is plausible. It is more than plausible, it is realistic. And the acting is so eminent that you are there yourself trying to decide what you would do if you awoke on a fully autonomous spaceship trying to figure out what is going on.<br/><br/>Granted, there are no alien horror creatures, no protracted fast-action sequences, no superficial technical nonsense to cover a thin plot. Maybe this is what the critics were missing.<br/><br/>There is only beautiful scenes, eminent acting, a plausible plot and a surprising ending. But that was enough for me.<br/><br/>So go watch this movie and decide for yourself how implausibly stupid the film critics are."
"Sleepin_Dragon","9","68","89","2 December 2018"," Very original, beautifully made.
","Passengers is a truly brilliant movie, it's hard to place it into a genre, but it is very much a sci fi love story. The concept is a great one, and it poses a fabulous question, could you force someone to spend their life with you, or live a solitary life. The idea is very original and very clever, the special effects are breathtaking, and the cinematography is first class. The main trio of actors do a superb job, but it's the dazzling Jennifer Lawrence that stood out for me.<br/><br/>Attention to the detail to this film was first rate, huge credit to all those behind the scenes.<br/><br/>It's not often the case that I wish a film wouldn't end, but after fifteen minutes or so, I was captivated, and really didn't want it to end.<br/><br/>Fabulous film, 9/10"
"elementxo","10","806","1167","22 December 2016"," Ignore the critics- a great movie with lots of suspense
","I'm almost convinced film critics are paid off...I thoroughly enjoyed this movie more than most of the ""critically acclaimed"" films I've watched this year. This movie had everything- love, drama, philosophical/existential questions, and incredibly suspenseful moments (and not just action scenes!!). The acting was great, pacing was good (never was bored), and the visuals were amazing as well. Also the trailer didn't spoil the movie at all, which was nice. My only gripe would be about the ending, which was still fine.<br/><br/>Overall would really recommend watching over the holidays. Really enjoyed it."
"Samirsbureau","7","461","677","22 December 2016"," A highly enjoyable ride that unfortunately got rolled over by the Critics.
","After the trailer release of this movie it became one of this year's most anticipated movies, but some people were expecting something entirely different than what this movie aimed for, and the result was their disappointment. <br/><br/>People need to be aware that this movie is an ADVENTURE/ROMANCE and a bit SCI-FI. NOT A SCI-FI 2001:SPACE ODYSSEY KIND OF MOVIE.<br/><br/>I will start giving my own honest review of this movie. First of all, The acting in this movie is phenomenal, of course when you get 2 great actors like Chris Pratt and Jennifer Lawrence you know it would work in any kind of role, and it's true, the chemistry between both of them just works flawlessly and it's very gorgeous as they're both very handsome and it's just nice to see them on screen.<br/><br/>Then comes the VISUALS, which i consider to be this year's best ( Along with Dr.Strange ), The best way to watch this movie is at a theater with a huge screen and definitely better to catch the 3D version. I really don't know where to start with the visuals because the whole movie is just beautifully shot and the CINEMATOGRAPHY of this film is perfectly done, probably each scene in this movie is Iconic. <br/><br/>The Plot wasn't as good as the other factors but still it managed to keep the pacing of the movie going and I was definitely not bored, even though the ending wasn't spectacular but again this isn't Christopher Nolan's Interstellar, this is just a movie about 2 lovers surviving on a spaceship alone.<br/><br/>The best way to describe this film is to say that it's Titanic all over again but in space and it's beautifully shot, emotional, and overall an exciting experience.<br/><br/>It's really sad that people misunderstood the point of this film and were going for a complex space/time plot instead of a simple good-looking love story, but I know that moviegoers will definitely like this film. Give it a try and if not for the story then just for Wonderful scenes and for the link between the 2 main characters<br/><br/>Conclusion: Great, Simple, Gorgeous and Highly Entertaining are the four things you'll be saying after watching this movie."
"Ckpankratz","10","384","568","22 December 2016"," Very enjoyable indeed!
","I'm a forty-something male and I loved this movie. I didn't quite know what to expect, saw some less than glowing reviews, but decided to favor the more positive reviews and head to the theater. I'm glad I did. <br/><br/>If you like science fiction, this has it. If you like romance, this has it. If you like excellent special effects, this has it. If you like a good story, yes, this movie has that too. <br/><br/>This isn't a Star-Trek style high-octane Sci-Fi action movie. It's a solid blend of drama, romance, action, intrigue, stunning visuals, occasional suspense, human psychology, and for me was a winning combination."
"Avyrius","9","684","1033","23 December 2016"," I cannot understand all those bad reviews of Passengers
","The movie is definitely worth your time. Firstly, 10/10 for realism. I would absolutely have done all those things if I were in their shoes. Secondly, the acting is one of the best I've seen (I was pretty skeptical about J.Lawrence but not anymore after this movie; and Chris Pratt's acting keeps getting better and better since GotG). The plot is quite unique (I do not believe I've ever seen another plot that resemble this). Lastly, the visuals is BREATHTAKING (I absolutely adore the ship design).<br/><br/>The pacing was a little bit too fast at the end but not that noticeable. <br/><br/>Rating: 9/10 <br/><br/>Sometime a simple movie with simple plot is better than s**t like Batman vs Superman because there are less space for mistakes. Also, do not expect much action in this movie (I expected more action but in the end I was OK without it.)<br/><br/>Also, sleeping beauty is also named Aurora xD"
"patrickjames85","8","550","860","22 December 2016"," Passengers was fantastic!
","Passengers is yet another example as to why you should go see the movies professional critics hate & save your money on the ones they absolutely love. Going to see a movie at the theater is like $30 now for just 2 people & that's without visiting concessions. I don't know about everybody else but if I'm going to spend a few days worth of grocery money for a 2 hour movie experience I'm really hoping not to be bored to tears or looking at the time wondering how much longer it'll be until a movie is over. Passengers just ends up on my very long list, lately, of movies critics tried to bring down that were waves better than the ones they are directing people to see. This movie is visually stunning & the story telling is not only thought provoking but innovative while doing so! It was great to see a story like this one told in a way that didn't spend most of its time trying to dialogue it's way into Oscar nominations. If you are going to venture out to see a movie for the Holidays go see this one!"
"Damien_King86","6","93","136","7 April 2017"," A decent sci-fi rental that plays it too safe.
","I'm just going to list my takeaways from the movie in list format. Maybe it will be helpful to someone, maybe not. <br/><br/>Pros - The production is immaculate. The cinematography, set design, CGI, all of it is top notch, as expected from a movie starring two of the most popular current actors. - Although I'm not crazy about Jennifer Lawrence, and I only really like Chris Pratt as Starlord, I will go ahead and list them as a pro, since they did a good job with these characters. Michael Sheen is also welcome in any movie. <br/><br/>Cons - The science of the movie is a bit slinky at times, obviously to serve narrative motives. Other reviewers have detailed these inaccuracies, so I won't get into it, here. - The movie mostly leans toward a romantic drama vibe, and I personally think there should have been more of a sense of dread and danger throughout the movie, not just near the end. - Given the high profile status of the leads, the sex scenes are predictably tame and brief. Along with the lack of danger, the lack of eroticism is another way in which the movie plays it too safe. - The catharsis at the end that stems from the main moral dilemma (which I won't spoil) does not occur satisfactorily in my opinion. It didn't move me at all, and made it feel like it was never that important to begin with.<br/><br/>In summary, this is an entertaining, but light sci-fi romance. It feels like a 70's sci-thriller that has been thoroughly processed for a general audience. It makes a good rental, but I couldn't help but lament that it wasn't the riskier, edgier film that it wanted to be."
"angieholstad","9","210","333","28 December 2016"," Very enjoyable.
","If you want a very enjoyable, aesthetically pleasing and romantic movie to watch, I think this is absolutely perfect. I think critics are giving it bad reviews because it didn't have the best dialogue, so don't go if you're just looking for something negative in a movie. If you're emotional, I think this would be a good movie to watch during that time. It's beautiful, well done, heartbreaking in some moments, and has amazing actors. It's comedic and romantic, with some intense parts so it has a lot of complements and genres in it. This isn't a negative thing at all, this movie just has it all. The story line and the message are thought provoking, and it's an all around amazing movie."
