"username","rating","helpful","total","date","title","review"
"cardsrock","8","9","9","30 March 2020"," A fascinating story
","Aaron Sorkin's directorial debut is a solid, entertaining entry from 2017. His script is full of his trademark rapid-fire dialogue and keeps the film moving at a brisk pace. The voiceover can be a bit exhausting at times, but it adds a lot of context to the film. Chastain and Elba are both terrific and each get their moments to shine. The film is a tad long, but it's never dull. Molly's Game is a very interesting true story that lends itself well to cinema."
"sierralouie","10","82","104","13 May 2018"," Chastain is a knockout
","Molly's Game works as well as it does due to the sheer vitality of Jessica Chastain's performance. As an actor, she isn't the most overt emoter, and she doesn't need to be. She manages to draw an incredible amount of empathy out of her characters, always in control but willing to let the cracks in the armor show. She is one of the most remarkably restrained, yet emotionally potent, actors in Hollywood. She excels at taking these strong, resolute women through hell and back, coming out stronger and more complex while being very aware of the gender dynamics of her characters. Molly Bloom is by necessity steely and crafty, but she is also a human being in a world that oftentimes has no regard for humanity. As Bloom, Chastain is a scorching force of nature with a hell of a wardrobe. It's easy to praise her more dramatic moments later in the film, but watch her every move during her initial rise to power. You want to root for Molly as she begins to learn, as she faces disrespect from her boss, as she gains more and more confidence.<br/><br/>Chastain and Elba give fiery performances that help the film retain some of its shine as it moves toward its conclusion. Shoutout to Camp, d'Arcy James, and Cera for their small but solid roles. The film overall is a bit too long and does inspire some fatigue, but the story is engaging enough and Chastain is an absolute star. There's nothing particularly remarkable about the way the film is constructed, but it manages to keep you reasonably entertained."
"TopDawgCritic","9","100","132","18 January 2018"," Jessica Chastain nails her role
","I don't think Molly Bloom could have been cast any better than with Jessica Chastain... she nailed her role. Oddly enough, she looks similar to the actual Molly Bloom.<br/><br/>Great film, love the fact this is based on a true story, and what a great story it was. The rest of the cast were great and the directing was decent, although too much back and forth between many timelines.<br/><br/>8.5 rounded up to 9/10 from me for Chastain's excellent performance."
"borromeot","7","127","173","14 December 2017"," Clinically sharp
","The focus is clear and yet cold and distant unless Idris Elba is on the frame. He is a human with his complexities but without barriers. He is open, accessible. Jessica Chastain is a technical marvel to be admired but it is hard, very hard to warm up to her. I felt I needed to see in her what Idris Elba saw and I could do it with my head but not my heart. In any case, it is a brilliant performance. Aaron Sorkin writes and directs this time with remarkable self confidence. The film, like the script is clinically sharp, surgical actually. I bet it's also a great read. For Aaron Sorkin's fans and I count myself as one, this is a must."
"PotassiumMan","6","105","149","31 December 2017"," Chock full of Sorkinian glibness, biopic goes south in the end
","Aaron Sorkin's directorial debut about the Olympic skier Molly Bloom, a brilliant over-achiever who chose to forego law school to become a gambling entrepreneur, is a compelling film that starts out very strong. Even with its lengthy running time, it's never slow or uninvolving. It's gripping and fascinating throughout, thanks to Sorkin's master penmanship at keeping the dialogue and tempo of the film at a heady pace.<br/><br/>Jessica Chastain and Idris Elba both give dynamic performances here. Elba makes a great presence as the defense attorney who tries to grapple with the sheer size and scope of Bloom's considerable legal problems as her gambling operation becomes progressively more mired in the criminal world. Even if you find Chastain's character cold and detached, her performance here is strikingly realistic.<br/><br/>Alas, we have the film's ending. Where the film goes wrong is this highly far-fetched and phony attempt to humanize Bloom beginning with a chance encounter with her father at a skating rink in Central Park. A corny scene does not sink a film all by itself, but unfortunately this scene was followed up with an equally ridiculous courtroom sequence that struck me as unduly and comically political. It's always a shame for a film to look first-rate for most of the way only to collapse in the final act. Recommended mostly on the strength of the performances, even if the film as a whole misses the mark in the end."
"arifin-ade","8","10","11","21 October 2019"," Smart and Moving
","I don't know a thing about Molly before, so I don't know how much the truth is pictured in this movie, but I totally love how Jessica Chastain portrays her character in this movie.<br/><br/>A smart young woman, if not beause of a small branch of pine tree, she could have a whole another life. And even the immoral things around her: Gamble, Drugs, Alcohol and all other bad things.. she could still hold on her integrity and put up her 'goodness' above all.. money or even her freedom.<br/><br/>I love also how the daddy role plays a big part in this movie. That family matters has a big impact in this movie and how Molly could reconcile with his father after all those years (even though I am not really sure that the scene was a non fiction). Love how Kevin Costner portrays the dad also.<br/><br/>Idris Elba plays very well also.. love the chemistry between Jessica Chastain and Idris Elba.<br/><br/>If you like family drama with a lil bit suspense, fun but also serious (coz I'm sure the reality should be much more scary than it seems in the movie), this movie surely should be the movie you watch."
"gortx","Null","63","91","7 January 2018"," Less a dramatic movie than an illustrated Podcast
","If you ever wanted to know what a video illustrated Podcast would be like -- then MOLLY'S GAME is the movie for you. Jessica Chastain stars and narrates as Molly Bloom, a former Olympic skier who found herself as a Poker madam who ran ultra-high stakes underground gambling games in L.A. and New York. The high priced events attracted Hollywood celebrities, wealthy financiers, baseball players and the mob. Chastain/Bloom narrates and narrates and narrates. When not narrating, we are given picayune details on gambling, the law, what exact drinks are being served and the ins and out of skiing. Chastain is a wonderful actress, but, she doesn't possess the most proficient narration voice. But, of course, the real 'voice' here is not the actresses, but writer (and first time) director Aaron Sorkin's. It's all very much delivered in his trademark fast rhythms and idiosyncrasies. Sorkin should have just cut out the middle-man and done the narration himself. 
 
 Sorkin is obviously a gifted writer, but, Sorkingthe DIRECTOR fails him here. In the past, fine filmmakers like David Fincher, Danny Boyle and Mike Nichols knew that as good as the writing is, you also have to show the audience what is happened. Instead, we are told what has happened, what is happened and what will happen. We are told what the characters are not only thinking, but what they are about to do. The effect is suffocating. The viewer is given little to chance to take a breath, let alone enjoy the drama. <br/><br/> What makes the Direction so unfortunate, is that the true story of Molly Bloom is inherently interesting. Along with Chastain (who delivers a solid performance despite it all), there are fine actors like Idris Elba, Kevin Costner, Michael Cera, Graham Greene and many others in the cast. But, Sorkin's over-reliance on narration squelches the drama. Oddly, about 3/4 of the way through the 140 minute movie, the narration subsides substantially. Almost two hours in - and we suddenly shift into what resembles a normal motion picture. Those final scenes may not be great, but, at least one can appreciate what the actors are doing without being told in advance every nuance. 
 
 Finally, there's Sorkin's well known disdain for keeping to the facts of the true story. The central metaphor for the movie how Bloom had a tragic accident that ended her career sending her life into disorder. But, the real Molly Bloom never had a Wide World of Sports style ""agony of defeat"" fall. Sorkin pulled it out his ass. Nobody is dumb enough to believe that a Hollywood movie with big stars is going to tell the full unvarnished truth, but Sorkin is a serial abuser. Instead of the usual movie disclaimer: ""Although based on a true story, some events and characters have been changed for dramatic purposes"" - Sorkin's disclaimer should read: ""This is fiction, but, but some true events have been included to sell this to the public"". Also, Bloom did not have a tough but powerful black Attorney by her side with a cute precocious child (which just so happens to closely mirror the young Molly Bloom who - you guessed it! - was also a cute precocious child). <br/><br/> Much of this wouldn't matter so much if MOLLY'S GAME worked better as a movie. Unfortunately, it's all tell without much show."
"bhodso","10","79","117","28 January 2018"," One of my favorites of 2017
","I was absolutely mesmerized by this tale of Molly, a woman who was obsessed at being the best at anything she did whether that was Olympic skiing or controlling the seedy underworld of high stakes Poker.<br/><br/>Jessica Chastain is incredible as Molly Chastain. She makes the character feel real, holds the camera's attention, and helps us to understand the underlying motivations behind Molly's actions.<br/><br/>I particularly liked the chemistry between Idris Elba (who plays Molly's lawyer Jaffey). Their scenes are some of the most electric in the way they play off each other's emotions and spar with the great dialogue barbs Aaron Sorkin wrote so wonderfully.<br/><br/>Speaking of Aaron Sorkin, for a first time director, he absolutely knocks this out of the park. He conferred with his friend & director David Fincher on strategies for shooting this film along the way and he go great advice because the innovative camera angles, control of time (a key sign that a director knows what they are doing), and assured pacing make this one of the most enrapturing and compelling dramas of 2017."
"ianenderby","5","55","83","7 May 2018"," Look at all my words
","Let me start by saying that I absolutely LOVE Aaron Sorkin. I really enjoy the movies he's written and his television shows are among my all time favorites. In fact, I have even said on more than one occasion that I believe that his name will go down in the history of great American writers along with people like Mark Twain.<br/><br/>I am also a big fan of Jessica Chastain, of poker and of writer/directors. So, as you can imagine, I was very excited for this movie, especially when I heard that Mr. Sorkin would be making his directorial debut.<br/><br/>Unfortunately, it seems that not all directors can/should write and that, at least this writer, can't direct. I know that it is his first time in the chair, but he has been in the business for over 25 years and has had the opportunity and privilege to work with some true masters of the craft. Yet he managed to fall into what is possibly the biggest trap for someone in his position by ignoring one of the basic rules of the medium: ""Show, don't tell."".<br/><br/>This movie had more voice over narration that I've EVER heard in another film before. Don't get me wrong, when done properly I think this device can be extremely useful for both efficiently moving the story forward and effectively creating emotional investment and impact. This was not the case in Molly's Game. <br/><br/>Aaron's words didn't have any of their normal spark or edge. There was no music to the language. The voice over and the dialogue were both incredibly flat and unengaging. The words themselves weren't even that interesting, there were just so many of them and with every additional one it made the last that much less significant. I haven't read the book that this screenplay was adapted from, but at times I wondered if entire sections of the narration weren't just being read verbatim from it. <br/><br/>I really think I could have closed my eyes and just listened to this ""movie"" and got about 80-90% of the experience. Honestly, the only visual element Sorkin seemed willing or capable of paying any attention too were the lead actresses admittedly lovely curves that were so frequently highlighted in the vast array of expensive dresses she wore throughout the film. I'm certainly not opposed to a little female based visual stimulation, but it isn't really the type of ""smart"" content I've come to expect and adore from one of my favorite creators.<br/><br/>It seems that I am in the minority with these opinions and I hope that those of you who would disagree with me were able to take something meaningful from this film because I was just left wondering why I just spent nearly two and a half hours of my time enduring a film that barely grabbed by attention once. <br/><br/>Here's hoping that this was a minor glitch in an otherwise stellar career and not a sign of things to come."
"areatw","7","20","27","31 October 2018"," Fascinating and rewarding biographical drama
","There is a lot to like about 'Molly's Game' and the film gets a lot more right than it does wrong. I always enjoy films based on a true story, especially when they are as unique and interesting as this one. It's also always refreshing to see a biographical film without knowing anything about the story beforehand. I for one had never heard of Molly Bloom or her story, so it really made for fascinating viewing.<br/><br/>The film runs very smoothly and despite the rather long running length, it never goes through any lulls and always feels fast-paced and on the move. 'Molly's Game' is not only an entertaining film but it's also informative and educational. The story is approached well, digging beyond the surface and ensuring no detail is missed from the story.<br/><br/>'Molly's Game' is a strong biographical drama that does a very good job overall at telling a fascinating story."
