"username","rating","helpful","total","date","title","review"
"MR_Heraclius","6","44","48","23 February 2020"," Love theme, story, but execution falls flat
","Dark Shadows offers stunning visuals, a delightfully dark atmosphere, quirky humor, and a talented cast in spite of an inconsistent story and a lack of narrative focus"
"billygoat1071","6","260","362","10 May 2012"," Empty Darkness
","Tim Burton is probably one of the best choices to direct a Dark Shadows movie. He's always good at making Dark, Gothic films and everyone's expecting it to be something like Sweeney Todd and Sleepy Hollow. Instead, it has a hybrid of Corpse Bride and Beetlejuice. It begins with decent gloominess but the rest is scattered with groovy soundtrack and colorful images. But that may not be the problem. It's actually pretty good at recapturing the 70's. The main problem is the plot development. It's fun but also disappointing.<br/><br/>It looks promising in the beginning. Tim Burton uses his campy directing style which made the intro intriguing. It get silly when Barnabas returns from his grave. Exploring the changes of his town. It's quite funny and delightful. There's a good character development in this that made it entertaining. Johnny Depp gives a delightful performance as Barnabas Collins. Eva Green is quite menacing as Angelique. Jackie Earle Haley and Helena Bonham Carter are the extra comic relief. Chloë Moretz is always good at bad girl roles.<br/><br/>There's a lot of fun going on, but in the end, the experience feels like something's missing. It could have been an interesting story but it ends pretty lazy. There are couple of senseless twists that aren't consistent. At least there is something good in the filmmaking. The production design is quite decent and sometimes unlikely colorful. Postmodern music are played often which made Danny Elfman's music score hard to notice. But these merits can't fix the film's storytelling.<br/><br/>Dark Shadows is undeniably entertaining and nothing else. There are things that could have been better. I don't think the colorful groovy look is the problem. It just needs a better ending that gives consistency to the story. People can still give it a try for its camp. There's a true vampire here that is nothing like our modern vampires. Dark Shadows is not bad. It's just unsatisfying. It has the color, life, and all but what's missing is a proper plot development."
"melody23","4","133","193","11 May 2012"," Insults about half of the original fans
","With the admonition, ""I never liked the bitch anyway,"" the Willie character in the new DS dispatched my favorite Dark Shadows character, pretty much summing up Depp and Burton's apparent opinion of her. For me, Dark Shadows was about Julia and Barnabas. Their chemistry created the dynamic that made the show work for me. I'm not only a first- generation DS fan, I'm the co-author of the Dark Shadows Companion. <br/><br/>Johnny Depp, supposedly a first-generation fan, even though he's two years younger than I am and I'm supposedly very young for a first generation fan, apparently thinks Barnabas Collins is part moral icon, part victim of his crotch. I wonder if Depp was watching the same series I was. As much as I loved the original Barnabas, I see no trace of the character in his interpretation. Frankly, the minute he murdered Julia, the whole movie collapsed for me -- the implied oral sex scene was bad enough, but the killing finished it. In the House of Dark Shadows big-screen remake this was accepted by fans because the series was still on-going. Depp does not have that salvation.<br/><br/>I really don't care that she's alive for the sequel. I doubt there will be a sequel. If there is, it's still not the characters I grew up with. <br/><br/>However, we're supposed to be reviewing what the film is, not what it's not. What it is, is an overstuffed suitcase that somebody sat on in order to zip it shut. It spills out all over everywhere. The cohesiveness is forced. The characters are largely unrecognizable. As I watched the film, I was at first taken by the wonderful graphics, but Collinwood seemed to morph into Disneyland's Haunted Mansion.<br/><br/>There are some good performances, it's occasionally slightly funny, it's graphically intense and interesting, but Depp and Burton seem to have nothing but contempt for the original series. I'm sorry, but flawed and bad as it could be, Dark Shadows was still far more compelling on its tiny budget than this movie was with its huge one.<br/><br/>What a shame -- and a waste. I really wanted to like it."
"A_Different_Drummer","8","44","60","10 January 2017"," one of the best of the Hollywood re-imaginings...
","Lets be frank. If you had a dime for every time Hollywood took something dusty and old, and tried to turn it into something shiny and new, you could retire.<br/><br/>In fact, most of these attempts barely work. But (having seen this one front to back three times since its first release) I believe this is an exception and moreover I believe that viewers have become so jaded to these attempts that they instinctively rebelled against the film (hence the low rating) without even giving it a chance.<br/><br/>The script by Seth Grahame-Smith is witty and clever and engaging. And wonderfully demented. The cast is to die for. Eva Green and Johnny Depp are at the peak of their craft, delivering with a straight face bits of dialog that lesser actors would choke on. The supporting cast (almost all A-list with a young Chloë Grace Moretz) is rock solid.<br/><br/>Overall a delightfully deranged yet still entertaining exercise in being silly -- which is exactly what Hollywood aims for in these odd exercises.<br/><br/>The IMDb rating is much too low. Give it another chance."
"lance-pinto","3","155","251","9 May 2012"," One of the most boring films I've seen in a long time
","Just got back from an early screening of the movie. As someone who like Johnny Depp, I was excited to watch the movie, but nearly ended up walking out of the screening halfway through the movie. There are hardly any entertaining moments, an extremely weak plot, and some very average acting. Sure, Johnny Depp may be a brilliant actor, but there's only so much an actor can do to salvage an immensely boring film. The weak development of the love story, limited exploitation of what could have been some interesting time-travel anachronisms and absurd additions to the plot (like ghosts and werewolves who remain mute spectators throughout the movie only to appear at the very end) were insulting to the intelligent movie-goer.."
"rannynm","10","51","79","29 October 2012"," Surpassed My Expectations
","The film Dark Shadows opened to an eagerly awaiting audience of both Tim Burton and Johnny Depp fans. Based on the ABC daytime show which aired during the late 1960s which generated a cult following, what was taken seriously in the late 60s / early 70s comes across as comedy today. The majority of the movie is set in 1972 and incorporates music from the Moody Blues (Nights in White Satin) with appearances by Karen Carpenter in a TV scene, a cameo appearance by Alice Cooper and appearances by four of the original Dark Shadows actors including Jonathan Frid who passed away shortly after filming. Rated PG-13 for comic horror violence, sexual content , drug use, language and smoking, one of our 14-year-old critics, Raven Devanney rated it 6 out of 5 stars for ages 13 and up. Here's her take: Dark Shadows Reviewed by Raven Devanney http://www.youtube.com/watch?v=c2NE6UPSLcM Dark Shadows is a hilarious movie about a man named Barnibus Collins, who is cursed by an evil witch when he refuses to give her his love. Turned into a vampire, Barnibus is locked away in a coffin for two centuries. Now, freed by unsuspecting construction workers, Barnibus finds that his home town of Collins Port has drastically changed. He must learn to fit into the 70s while protecting his family, restoring Collins Port to its former glory and riding himself of the evil witch, Angelique, who cursed him to be a creature forced to hide in dark shadows. I absolutely loved this movie. Johnny Depp, who plays Barnibus Collins, did fantastic! Johnny is one of my all time favorite actors and when he teams up with director Tim Burton, you know it's a film worth seeing. The cinematography was great because of the gloominess that you will often find in Tim Burton's films, but they found a flawless way to thrown in the bright colors of the 70's. The special effects were great too, especially in the end when Angelique's skin started to crack; she really looked as if she was made out of porcelain. Something that did bother me about the visuals was that the blood in the film looked way to fake considering that it is a vampire movie. My favorite character would have to be that daughter of the Collins family played by Chloe Moretz. One; she is my favorite young actress, two; she played a moody, mellow dramatic, angsty teenager perfectly. The acting in this film was priceless because there was a lot of over- acting, but not in a cheesy way, it was done very purposefully and it gave a wonderful comedic feel to dramatic situations. I suggest this film for ages 13 and up because of sexual situations, mild drug use and language. I would give this film 6 out of 5 stars because it far surpassed my expectations!"
"cliffcarson-1","3","193","329","11 May 2012"," DULL with little bite. Depp is playing dress up
","Oh the possibilities that were missed here. Except for the character names and a similar architecture in the house this film bares very little resemblance to DARK SHADOWS. The movie starts out beautifully and then goes off in so many awkward directions that it never finds what kind of movie it's trying to be. A few scattered laughs here and there do not compensate for a poorly conceived story that meanders itself to the point of being dull and confusing. What can you say about a movie that only comes to life in it's montages set to a pop songs from the early 1970's? Depp doesn't even attempt to capture any of the guilt ridden angst of Barnabas Collins. His Barnabas is a trick or treat Pirates of the Caribbean, very much like a kid playing dress up on Halloween and with two emotions, upset and more upset. Film has some nice set pieces but Burton doesn't bring any true Gothic feeling or sense of dread to the surroundings. The script has that throw everything up against the wall and see what sticks feel to it. Burtons direction comes off in a conveyor belt ""okay, let's shoot this one"" tone with interest only in visuals, which are striking. He's really more of a visual artist than he is a film director. Indeed, one gets the feeling that this film would never have been made if not for Johnny Depp and his love for the original series which is evident here. It's unfortunate that he relies too heavily on make up to carry his performance. Helean Bonham Carter has no interest in being in the film and it shows, doing it only as a favor to her husband. Eva Green is the type of actress Tim Burton is attracted to and loves to cast in his films, but she possesses little of Angelique's spellbinding jealousy. The only one in the cast that has a hint of what these surroundings should be played like is Michelle Pfeiffer. She is the Grande dame of Dark Shadows capturing both the Gothic feel of the original story and the magnificence of the character."
"ElektraRawks","10","62","101","20 May 2012"," Classic Tim Burton - Awesome
","Time Burton scores again. This show is great and I will be getting it when it comes out on Blu-ray.<br/><br/>This is NOT a remake of Dark Shadows. It's a funny tongue-in-cheek spoof in the lines of Burton's Alice in Wonderland. As a die-hard fan of the TV series I can honestly say this is just a lot of fun. Depp is great and the rest of the cast was well chosen. Even the music, which is all of the 70's era, is perfect for the movie. Alice Cooper's appearance was a blast and fit in well. There are twists everywhere and it doesn't matter if you catch them or not. I bet you'll miss a few. LOL <br/><br/>Go see the movie. Don't over analyze it is, just enjoy it. Come back to IMDb and rate it. It deserves a 10."
"wewatchedamovie1","4","306","554","11 May 2012"," Tired formula and a disappointing movie
","Let's leave it all at the door here. I loved Beetlejuice, Edward Scissorhands, and Batman. Hated Batman Returns, Alice in Wonderland, and Willy Wonka. Could care less about Nightmare before Christmas and Sweeney Todd. Okay, so I'm not a Tim Burton hater. I'm not a huge Tim Burton fan. I think in this situation, I'm as close as you get to the average movie goer. No agenda, no attachments. That being said, this film is terrible. Burton spent so much effort and time worrying about making this film Gothic and off pace, stuffing his favorite actors into the film even though half of their parts were pointless, he forgot he was making a film. It's a simple and fun idea but it feels like ego and ""showiness"" kept them from making the plot even make sense. We get it Tim! You are weird! Don't ruin a good performance by Depp and a fun idea for a film because you have to live up to your own Gothic standards. Grow up. So much talent is wasted on these films having the same look, cast, and feel to them. Take that talent and make something fresh! Stretch yourself just a tad out of that Hot Topic comfort zone will ya? This movie was long, boring, and ruined. All of the funny scenes were in the trailer. By the way.... wasn't this supposed to be the 70's? Other than a shot or two of trees and a hippie van it was just like the set of Sweeney Todd. The whole film felt like London in the 40's. That's bad film making whether your name is Tim Burton or not."
"SnakesOnAnAfricanPlain","3","99","169","2 September 2012"," Dark Shadows (2012)
","I saw every Tim Burton film since Mars Attacks! at the cinema. Until this came along. I had had enough of Burton's subpar efforts over the years and Alice In Wonderland was his last chance as far as I was concerned. Finally saw this and I'm glad I waited. This is simply awful. Based on a soap opera, Burton doesn't seem to know what to do. It changes tone dramatically from obvious humour involving Depp's character waking up after 200 years of being buried and being confused by things such as television. To grisly kills where he takes out innocent victims. There are a whole cast of characters, each one is given their own story, but none of them are given enough time to develop. Miller, Carter, Heathcote are all wasted as are their stories. I didn't even get the point of Miller, which is a shame because he was great with what he had. Entire scenes have no place in the film, or are needlessly long and repetitive. The main plot seems to have Eva Green asking Depp to be hers and him rejecting her, over and over and over again. It really does feel like snippets from a soap opera condensed down. This is really just a clip show. By the end it starts pulling things out of its backside. Couldn't care for anybody in this film and think the original property should have just been left alone."
