"username","rating","helpful","total","date","title","review"
"inikim","8","323","372","2 January 2018"," Relevant movie
","Why relevant? Until I saw this movie, in my point of view Tonya Harding was a cheat and a lowlife and this was entirely based on the media coverage of the events in 1994. Having seen the movie I feel ashamed about how easily I judged her and I realised I have to be way more careful in forming my opinion about people."
"jehosaphet-58803","10","208","239","28 December 2017"," More than about tabloid trash, this movie should be watched
","Anyone who was old enough to be sucked in by the media circus that this scandal turned into should make it a point to take a look at this film, in my opinion.<br/><br/>The media seemed much more about the sensationalism of it all than it was about maintaining the kind of objective balance that'd presume Tonya's innocence until evidence proved otherwise. 
But being honest, even if evidence came along that absolved Harding of any wrongdoing in the Kerrigan attack, how happy would the media have been to report it? Or would we have been to hear it? Because we've got to admit that, although it might not seem very nice, there was quite a bit of fun to be had during the couple months we spent focusing on this Hillbilly girl and her bumbling husband, right? Well with that in mind, what would the thought of her innocence have brought, other than damage to the narrative we were having such fun with? Regardless of where you stand in regards to her innocence, its only fair to acknowledge that her role had been laid out for her pretty much from the get-go. Kerrigan was its hero the moment she became the victim, could we have honestly entertained the notion that maybe Harding wasn't as much the villain as seemed to befit the story? How fun would that have been? Really?<br/><br/>In the last couple months, the articles about this upcoming movie had comment sections riddled with people mostly bemoaning the current state of Hollywood. Not the scandals, but that it'd even stoop so low as to peddle this kind of white trash story. ""White trash"" came up repeatedly of course, and while comment sections generally aren't the place to find the best sampling of voices, I personally wasn't able to find a single comment that was anything other than damningly derivative of Hollywood and/or Tonya...certainly not one suggesting the possibility that maybe there was more to this story than what we already knew. But that was always a possibility, wasn't it? The telling of a side that we hadn't heard?<br/><br/>After seeing the flick last night, I passed along my recommendation of it to a friend, commenting that Tonya Harding's guilt might have to be re-thought. In response, I got a chuckling, ""Oh I have a hard time believing that!"" Which, sure that has to be the prevailing opinion, I'd imagine. 
But why? Do we really and truly think that we have the kind of information on the subject that'd allow for the most objective, fact-based decision on it? Have many of us ever stopped long enough to have wondered whether or not we did? The line of questioning isn't likely to be met with much more than scoffs by those who've yet to view the movie, but they're questions that end up being well begged and something that the same people may find themselves unwittingly exploring afterward. I sure have been.<br/><br/>In the meantime, this isn't just a great movie, but a great sports movie, detailing an ice skating prodigy who love for skating drove her life, and whose life ultimately served as a testament to just how influential a class system can be that many of us are barely cognizant of even existing. 
Based off interviews and testimony from the key players in the Kerrigan scandal, watching it brings a much needed sense of balance to the story and will likely leave you amazed at how easily the truth can be blurred when viewed through the lens of sensationalized media coverage. <br/><br/>10/10, great movie that grabs you from its opening scene and will have you entranced throughout."
"rockman182","8","133","154","7 December 2017"," I, Tonya (2017)
","I think this film may have had the best trailer of 2017. I saw it and knew instantly how badly I wanted to see it. I've never been a fan of Margot Robbie and her previous acting efforts but this looked like her awakening and where she would be proving me wrong. I believe it, she's quite sensational in this film. Her dedication to her role shows but really everyone involved has done very well. Craig Gillespie has his first real winner with I, Tonya.<br/><br/>I, Tonya is a biographical picture about famed and disgraced figure skater, Tonya Harding. Tonya was pushed onto the rink by her abusive mother at a very young age and despite the abuse becomes a very talented ice skater. The cycle of abuse continues with her abusive husband but she tries to bear through and succeed. Everyone seems to be against her but her talent is hard to deny. The film also goes into the famed attack on fellow ice skater Nancy Kerrigan and the aftermath of the incident.<br/><br/>The film is sort of told from a mockumentary perspective as if key characters are being interviewed. The film also utilizes breaking the fourth wall where characters in a scene would talk to the audience. I thought this was interesting and separates itself from being a standard biopic and gives this film a real comedic depth. The soundtrack is catchy and literally every performance in this film makes for a very engaging time. I didn't even recognize the chameleon Bobby Cannavale until the credits rolled.<br/><br/>Some wonder why the film was made but it kind of helps you identify with Tonya. She suffered physical and psychological abuse from both her foul mouthed mother and her rage filled husband. Her hands may not be completely clean in what happens to Nancy Kerrigan, but she is also just a victim of circumstances. Vastly talented, but just short of reaching her pinnacle due to outside factors and her image and attitude. The film isn't perfect but its vastly entertaining and could be giving Margot Robbie and Allison Janney Oscar nominations. I'm going to let this sink in and I'm sure its going to be something I go back to.<br/><br/>7.5/10"
"bob-the-movie-man","8","87","101","8 March 2018"," Some Darwin award winners
","Man, I personally found this one to be an exceedingly uncomfortable watch.<br/><br/>""I, Tonya"" is cleverly filmed as a pseudo-documentary, featuring re-enactments of the real-life interviews of most of the participants in this true-life drama. I recently bitterly criticised some film critics for spoiling the story of Donald Crowhurst, the subject of the recent ""The Mercy"". But I was about to do exactly the same here, *assuming* that you all know the lurid tale of the rivalry between Tonya Harding and Nancy Kerrigan that led up to an 'event' in 1994 that shocked the world. And of course, many of you younger folk don't know: case in point my 26 year old son who I went to see this with, and who went into the story blissfully blind of the drama about to unfold. So I will try to keep this review spoiler-free.<br/><br/>Playing Tonya from a (not very credible!) 15 years old to her mid-20's is Margot Robbie (""The Wolf of Wall Street"", ""Suicide Squad"") in what is a BAFTA and Oscar nominated performance. And for good reason: the performance is raw, visceral and disturbing in reflecting a victim who still thinks everything at heart is her own fault.<br/><br/>Also BAFTA and Oscar nominated is Allison Janney (""The Girl on the Train"") as Tonya's obnoxious chain-smoking mother LaVona. Janney is truly terrifying as the mother who abuses her daughter both physically and mentally in a driven attempt to make her the best ice-skater in the world.<br/><br/>Victims seem to attract abusers, and Tonya is surrounded by people who are just plain bad for her: notably her husband Jeff (Sebastian Stan, ""The Martian"", ""Captain America: Winter Soldier"") and his slimy and pitifully self-deluded friend Shawn (Paul Walter Hauser). The end credits video footage of the real-life players show just how well these parts were cast.<br/><br/>Why so uncomfortable to watch? There is a significant degree of domestic abuse featured in the film, both in terms of LaVona on her child and Jeff on his wife. This is something I abhor in general, having been brought up to believe it is never EVER acceptable to lay a hand on a woman. To have these cowardly individuals sensationalised in the movie I found to be really upsetting. I strongly feel, for this reason alone, that the film should have had an 18 certificate. Violence in film should be related to the context as well as the severity. (Note that this is in stark contrast to my comments of recent BBFC decisions to make ""Phantom Thread"" and ""Lady Bird"" 15-certificates when I believe they should have been 12A).<br/><br/>The film is executed extremely well, with 4:3 framing for the staged interviews, and ice skating scenes that seamlessly cut between the professional clearly doing the stunts and Robbie (who must also be a half decent skater too). The soundtrack is nicely littered - ""Guardians of the Galaxy"" style - with classic hits of the early 90's.<br/><br/>To think that this story actually unfolded in this way is nothing short of astounding... but it did! There is an astonishing video clip here (#spoilers) of the run up to, and the immediate aftermath of, the Kerrigan incident. I came out of the film with a deep feeling of sadness for Harding (at least, as portrayed) and utter disgust that the villains of this piece could be a) so cruel and out of control and b) so utterly stupid. These are individuals who really should have been sterilised to stop them polluting the gene pool any further.<br/><br/>Written by Steven Rogers (""Stepmom"") and directed by Australian Craig Gillespie, there is no doubting that this is a powerful film: played to an absolutely silent and gripped Saturday night cinema audience. And it has truly dynamite performances from Allison Janney and Margot Robbie. But be warned that you'll need a strong stomach to go and see it without being affected by it afterwards. It's a mental keeper."
"MartinHafer","8","138","174","19 October 2017"," The acting and direction were pretty amazing....
","Tonight I went to the opening night film at the Philadelphia Film Festival and it turned out to be ""I, Tonya"". I wasn't particularly thrilled about this, as I really didn't care much about seeing a biopic about Tonya Harding. In hindsight, I am glad I saw it as the film was exceptionally well directed and the acting was occasionally brilliant. In particular, Australian actress Margot Robbie was simply amazing as Harding—turning in the sort of performance that could mean an Oscar nomination. Likewise, Allison Janney was amazing as wellplaying Tonya's incredibly despicable mother. You really have to respect the great job both of them did in the filmas well as Robbie's learning to skate well in order to make this movie.<br/><br/>The film is about the life of Tonya Harding.yes, THAT Tonya Hardingthe one who gained infamy for her part in the attack on rival ice skater Nancy Kerrigan back in 1994. My daughter was only a small child at the time of the attack and I told her nothing about Harding because I wanted to see her perspective on the story. Both of us left very impressed. However, I must put in a warning about the film. It is very violent.filled with intense and very realistic domestic violenceamong the most realistic I have ever seen. With my background as a psychotherapist, this churned up a lot of memories for me and the film often had me in tears. If you have been a victim of domestic violence, then I strongly urge you to think twice before you see the pictureor at least see it with someone you love. Seeing Tonya being slugged, slapped and even shot was tough to watch. Interestingly, often the audience responded by laughingan inappropriate but thoroughly understandable coping mechanism for such ugliness.<br/><br/>Does the film excuse Harding's behaviors or paint her out to be a victim? Not reallyand if it had, the film would have been a waste of time. What it does do is help you at least understand who she was and why she did what she didas she was more than just an intense competitor who didn't come forward when she learned her husband and his friend had physically assaulted Tonya's competitor, Nancy Kerrigan. Overall, a fascinating look back to one of the most celebrated news stories of the 1990s.one that folks who are old fogies, like me, well remember!"
"Art Snob","10","163","208","18 September 2017"," A triple axel of a skating movie
","If I could have voted online for the best movie that I saw at TIFF 2017 (the voting was limited to iPhone and Android users), it would have been for this film, which wound up second in the People's Choice award competition. Director Craig Gillespie has tackled a difficult subject brilliantly without removing the considerable number of warts from the main characters. This film should garner a considerable number of Oscar nominations, including best picture and director.<br/><br/>Margot Robbie should be a lock for a Best Actress nod, completely burying her Australian background to deliver American white trash with complete credibility. (She won't win of course, because ... Tonya.) Her skating sequences are edited brilliantly - you really believe that it's her.<br/><br/>THE surest Oscar bet has to be Allison Janney as Tonya's acerbic, domineering, Swisher-chain-smoking mother LaVona Golden. She gives what I call a ""schizophrenia"" performance - there's no way that anyone seeing JUNO and this film back-to-back would ever notice that the mothers in both films are played by the same actress. Robbie got the loudest applause when the actors were introduced before the film, but when they came out afterwards, Janney's applause was equivalent to hers.<br/><br/>The story sticks to facts and places most of the blame for the Kerrigan incident on Sean Eckhardt, played with spot-on obnoxiousness by Paul Walter Hauser. The rest goes to hubby-at-times Jeff Gillooly, played by Sebastian Stan. He handles the husband-to-a-celebrity role with a charm not seen since Eric Roberts in STAR 80.<br/><br/>The subject matter may cost the film at awards time, but it's still an excellent movie that you should definitely check out if you have any interest at all in the story."
"ggallegosgroupuk","7","140","184","7 December 2017"," Tabloid Times
","I was going to make a list of people who made extraordinary things during the same period that Tonya Harding monopolized the headlines but then I thought it was a pointless exercise. Charles Manson will always be more famous, much more than Sharon Tate. That's the world we live in or maybe it always was. The sadness verging on horror of of the Tonya Harding story will win, fascination wise, than any kind of kindness from anyone anywhere. Now that out of my system let me say that I Tonya is an entertaining harrowing tale directed by Craig Gillespie and his extraordinary cinematographer Nicholas Karakatsanis with, clearly, Martin Scorsese in their minds and hearts. Margot Robbie is terrific and Sebastian Stan as the husband from hell, superb but it's Allison Janney that creates a character that is impossible to take and irresistible at the same time. She is spectacular. So, that's more than enough to recommend I Tonya but if the Tabloid Times is something you subscribe I will highly recommend Gus Van Sant's To Die For and Michael Ritchie's made for television The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom."
"jon.h.ochiai","10","74","97","15 January 2018"," Not a monster...
","""I, Tonya"" is amazing. Margot Robbie gifts a career defining performance. Margot plays disgraced 1994 US Olympic figure skater Tonya Harding. Her performance as Tonya is fearless, vulnerable, sad and poignantly flawed. Harding is notorious for knowing about the attack upon US figure skating Champion Nancy Kerrigan which led to her eventual ban from competitive skating which was her life. <br/><br/>Director Craig Gillespie neither vilifies nor justifies Tonya offering the experience of being her. That she wanted to be loved, to be gotten, and to be the best. At the time Tonya was the only women's figure skater in the world to land the impossible triple axel in competition. Robbie as Tonya in an interview in the movie acknowledged when she landed the triple axel in the trials she knew, ""I was the best!"" Tonya was driven, the figure skating phenom, but she was less than phenom in her life. I think that is the poignancy of Gillespie's direction and Steven Rogers's story. <br/><br/>""I, Tonya"" is not really dark comedy. ""I, Tonya"" is just dark with laughs in its irony and the stupidity of those closest to Tonya. The movie is the dichotomy that defines the tragedy of domestic violence and abuse. In one scene Tonya's husband Jeff, played by convincing Sebastian Stan, slams the freezer door in Tonya's face, because she questions why he didn't buy Dove ice cream bars. That is so wrong. That makes you so angry. <br/><br/>Gillespie depicts that pattern of abuse throughout of beating on screen. And Tonya takes it, and stays until she can no longer. The abuse originates with Mom LaVona, played by focused Allison Janney, who thinks she is tough love as she pushes her daughter in her skating career. No, Mom is an abuser. Janney's LaVona could have been comic caricature; instead she brilliantly nuances the single Mom working waitress raising her kid the way she was raised. Robbie is touching humanity as Tonya, who has the self awareness that she is uneducated, but she is smarter than she thinks and way smarter than those surrounding her. <br/><br/>""I, Tonya"" and Robbie in contrasts of edgy humor and human cruelty touchingly tells the story of how we are raised and the people we choose to spend life with either define or curse. Much about Tonya seems to be the in order to, to prove something. In the great scene before her competition her new Coach Doty, played by strong Bojana Novakovic, tells her ""You show them."" That I think becomes the conversation that dominates Tonya's life. <br/><br/>Needing her Mom's help after she leaves husband Jeff, Tonya sees her Mom. She asks her Mom that when she was a kid, ""Did you love me?"" Robbie's Tonya is in tears. That breaks your heart. Really Tonya just wanted to be loved, like we all do. That may be the point of Gillespie's ""I, Tonya"" with all its emotional extremes and uncomfortable laughs. Perhaps, most of the laughs come from the blatant stupidity of Jeff and his idiot friend Shawn, played by good Paul Walter Hauser. <br/><br/>Maybe ""I, Tonya"" works in its profound sadness as well. Toward the end Tonya says, ""I am not a monster."" No, she's not. She is just the little girl who wanted to be loved and never got it. She was driven and wanted to be the best. Tonya is just human. She is both lightness and darkness. Perhaps within ""I, Tonya"" are loud laughs and the subtle lesson of having compassion. ""I, Tonya"" is one of my favorite movies of the year."
"Semisonic","10","19","22","7 March 2018"," Pure pain on skates
","So, you have watched Three Billboards Outside Ebbing, Missouri and thought that story was tough and Frances McDormand was terrific and nothing could ever be more tough and more terrific. Especially something with that hot blonde chick from The Wolf of Wall Street. Right? Wrong! So get ready for a big fat kick in the nuts, because sh!t has just got real.<br/><br/>From the very beginning of the film you realize that it won't be pretty. An abusive ever-smoking and ever-cussing mother who would rather wipe the floor with her daughter than say a nice word to her. So destructive that even her rifle-shooting husband loses it and flees leaving a poor child completely unprotected. And when it turns from verbal abuse to the physical one, by her mother, by her boyfriend and later her husband, it's clear that it's not just not pretty - it's damn ugly, and that it's gonna get even uglier still.<br/><br/>The trio of Margot Robbie, Sebastian Stan and Allison Janney does an unbelievable job of focusing a huge amount of anger, hate and frustration onto the single character, Tonya Harding, making almost every second of her screen time a pure pain to watch. You see her going through things you'd be waking in cold sweat from if you saw them in your dream. But, then again, for someone it was not a dream but an everyday routine. A vicious circle of abuse and humiliation, and the only way to forget it, even just for a minute, was through that ice rink, doing the only thing that would make you feel like something more than a pathetic loser with no single bright perspective ahead.<br/><br/>And with that ugliness comes the true power of this film, of Robbie's performance, and of the real Tonya. The power that channels all the hate she received from all around into the thirst for skating, as if that ice rink is your arena where you fight for your life - or die trying. And when it's your life at stake, things are never chivalrous or graceful - so the way the Hollywood sex symbol dies and gives birth to a relentless competitive monster is a true miracle. And, just like a miracle of a real birth, it's full of pain for both the participant and for the ones witnessing it.<br/><br/>What makes I, Tonya an even more shattering experience is that it's not just a made-up story, it's something that a living human being once went through. When you see her husband beat her and threaten her and even shoot a gun at her, you wish you could simply tell yourself that it's just cinema - but this time it's not quite so. When you see her mother come to her, pretending to be offering a helping hand when she's the most vulnerable - to end up being yet another vulture that came to feast on the prey that looks done but still keeps twitching - you wish you could say that no real child has come through such pain and betrayal, but you can't once again. You see a girl whose story was simply meant to be a tragedy from the very beginning - and you just wish it to be over. But she takes another hit, falls, yet for some reason refuses to stay on the floor.<br/><br/>I guess I realize why this film missed the Best Picture Oscar, just like Margot Robbie missed the Best Leading Actress one. Just like the real world Tonya who outskates her rivals but fails to meet the expectations about her presentation, this film is technically the most riveting and intense story this year, with the leading performance being a big shiny diamond of a masterpiece, twice as precious because it wasn't an established Oscar winner who delivered it but a girl who till now was the most famous for doing a full frontal nude shot a few years ago.<br/><br/>I'm not saying that the scores are rigged and that the competition was flabby. On the contrary, Three Billboards was a great film that I loved, and McDormand's performance is 100% Oscar worthy. The point is that I, Tonya is just not the image the Western cinematographic establishment is ready to associate women with yet - ugly and abused and blood-spitting. But, if in the figure skating world you could at least say that such are the house rules, and a pretty dress and a smile are something that matters at least as much as - if not more than - a triple axel, then the film industry community screaming ""equal rights to women!"" at every corner and not acknowledging the most glaring case of one woman, fighting for her right for her skills to be valued and for herself to be treated as a human being, and another woman, incarnating all that fight and suffering that comes with it on the screen, is pure hypocrisy. Inclusion rider or not."
"mikelanke","Null","45","63","5 January 2018"," Dialog and acting had the entire theater hushed.
","I must have been at a different movie than those who did not like it. The story is well written, the acting was excellent and the twist in the way the story is delivered makes for a memorable event. At certain points when Tonya speaks to the audience she speaks right to you. A great story to get lost in and I was not really interested in seeing this when I went into the theater."
