"username","rating","helpful","total","date","title","review"
"bjones","10","90","104","6 July 1999"," Absolutely wonderful
","I thought this might be one of those films that would be ""good for me"" to see. I was mildly intrigued by descriptions of the story I had read and with the trailer, so I thought to take a chance. I took someone very close to me, an actual violin prodigy. Coincidently, her and I have recently been searching for a decent violin for her that is affordable by actual humans, so we could relate to parts of the plot first-hand. We arrived to a very thin theater in one of those mega-complex theaters, and while everyone was queuing up next-door to see the latest blockbuster from Hollywood I settled into an amazingly comfortable seat with an excellent view and prepared for whatever might come.<br/><br/>I was shocked. This film turned out to be clearly one of the best movie going experiences I have had in ages. We see this as the story unfolds and is creatively told through the reading of the violin makers wife's fortune with a deck of Tarot cards. It is the story of a part of the life of a violin; of the humans who would dare to possess her beauty. A masterpiece of a craftsman's art, it is desired by many for it's acoustic perfection. But, as Tolstoy said, ""how complete is the delusion that beauty is goodness."" Or more interestingly, from Saint Augustine: ""Beauty is indeed a good gift of God; but that the good may not think it a great good, God dispenses it even to the wicked."" There seems to be a curse on this instrument as it brings ill to those who manage to possess it. This makes the ending especially eerie.<br/><br/>An original, imaginative and thought provoking story that engaged one's mind as American films almost never do. I will not describe more of the plot, it's far too good to ruin. The memory of this film will be one long treasured.<br/><br/>Oh, as for my guest, the honest-to-God prodigy: she said the music was magnificent (it was) even though a real musician could tell the actors weren't playing, it was well done."
"Sandman-40","Null","71","84","19 June 1999"," Wow.
","I saw this film the same day it came highly recommended to me by a coffee shop friend who couldn't stop gushing about it.  While this guy is also a member of the Academy and has steered me to some pretty good picks in the past, I walked into the theater fearing the usual letdown that invariably follows going into a film with overly high expectations (i.e. The English Patient, The Truman Show, etc.) This film not only managed to exceed my expectations, it restored my faith in the magic and mystery of cinema altogether.<br/><br/>We start with a rather simple but cleverly structured story about a very unique red violin that emblematically (and quite literally for that matter) takes on the heart and fate of a 16th century Italian woman as it passes across several centuries and continents on its way to the auction block in present day Montreal.  The unfolding vignettes reveal more and more about the nature of this instrument and, when strung together in the bigger picture, play out like finely orchestrated movements of a great sonata; each movement plucking out its own stirring and poignant variation on theme.  I was so swept up in the majesty and spectacle of this film that it didn't even occur to me until much later that the violin is nothing less than a personification of beauty itself (okay, okay, maybe I'm starting to overly deconstruct things here in retrospect, but the parallels are too perfect to remain unexplored). It's fascinating to watch both the transformative and destructive power of this beauty as it's placed into the hands of a sensitive young boy, a self absorbed musical protege, and a remorseful ring leader of a totalitarian regime.  Much praise goes to director Francois Girard in how he refrained from overplaying the social and moral commentary, repeating this theme at mostly an emotional level rather than an intellectual one -- much in the same way that beauty itself, to some degree anyway, defies analytical discussion and belongs in the realm of pure and simple experience.  You obviously can't dissect it, as co-writer Don McKellar¹s onscreen character thought to do, and so it remains as it was in it's original form: timeless, magical, elusive.  The stuff that pompous nobility and rich collectors the world over will offer a king's ransom for and still never manage to posses in the end.<br/><br/>Performances were good to great all around.  It's hard to go wrong with Samuel L. Jackson in a leading role and I appreciated the fact that the actors actually appeared to be playing the violin on camera, as opposed to watching the typical hokey cutaways and cheat shots often associated with onscreen musical performances; nauseating contrivances that always tear down the wall of suspended disbelief with a resounding crash. The costuming, set design and cinematography were absolutely stunning (Oscar nominations soon to follow I'm sure) without taking center stage from the story. I especially loved the amazing period recreations of China and Austria.  I felt like I was fully transported in both space and time to these places and walking among people who really belonged there.<br/><br/>Overall I would rate this one as a true film classic on the level of masterpiece. Perhaps this is in part due to my love for music and the undeniable fact that, being the sentimental guy that I am, I'm always a sucker for haunting open-ended films like this where you leave the theater in a half daze, pondering all the implications, mesmerized by the lingering imagery. I'm still speculating about the future of Mr. Moritz and what will ultimately happen when beauty is placed into the hands of our modern world."
"rudat","Null","64","76","4 February 2001"," Unforgettable experience
","After watching too many would-be ""great pieces"" lately that are enticing you from TV commercials, leaving you (or me, I should say) disappointed most of the time, ""The Red Violin"" is a gem among all these fleeting flicks or time-wasters. Recommended by a good friend I went to see this piece and frankly, I came out of the theater speechless! I was overwhelmed, enriched as well as happy that I finally, in years, got to see something that's well worth while.<br/><br/>From the story, costumes, cinematography, acting and finally its greatest actor -the superb music- all absolutely flawless! S.L.Jackson acts at his best, his performance is unforgettable and I am sure one of his own most favourite; I can tell. I was estatic to see J.Corigliano win the Oscar for the best score, and saddened at the fact that the whole movie wasn't nominated for even more Oscars - are they blind in that Academy or what?! Now that's a shame but you know what I don't care what the Academy has to say, important is my subjective feeling and this movie made my day, and days to come.<br/><br/>I couldn't wait to get hold of both, the video and the sound track, and I never seem to get tired watching or hearing that beauty all over again. And believe it or not, that ingenious soundtrack can be so erotic at times that if I may give a little advice to all these men out there seeking to entice and seduce their partners - hey, this might be the way to go - worked for me (and her!)!!!<br/><br/>Anyways, I'd like to recommend this movie to everybody with an open heart and mind, I guarantee satisfaction and enrichment in every possible way. And lastly let me bestow my gratitude and thanks to the very director F.Girard for enlightening my spirit, my heart and my soul with his vision of a truly quality story that I can never forget."
"pooch-8","Null","34","41","6 August 1999"," Measured, thoughtful account of near-mystical instrument
","Literally spanning centuries to unfold its mesmerizing tale, The Red Violin traces the unbelievable history of an acoustically flawless masterpiece crafted in the late 1600s by an Italian master.  Co-screenwriters Francois Girard (who directed) and Don McKellar (who acts in the film) structure the movie around a wealth of richly detailed locales, including Vienna, China, and Oxford, and provide a unique modern-day Montreal framework which intertwines with the often tragic history of the instrument to provide the narrative with a rather unique element of mystery.  The late-19th century English section shows the film at its most baroque, but each of the finely tuned tales reaches for some truth about music, life, love, and passion -- and that is commendable.  Music lovers take note: the sounds that come out of the crimson treasure throughout the course of its journey are utterly thrilling and inspiring."
"david.farthing","Null","36","44","6 April 2000"," A wonderful journey
","I was captivated from the moment the film started. The music flowed effortlessly and the scene was set immediately.<br/><br/>Some people may be put off by the use of foreign language and subtitles early on in the film but I found this served to enhance the story and grab my attention even more. It reminds you of the true beauty of language and music  and no matter what your taste you cannot help but to be drawn into the story.<br/><br/>The story follows the journey of the Red Violin from its creation and you really feel that something special is happening from the way the red violin is revered. The different people who come into contact with the instrument all have there own stories and you find yourself trying to guess how the Violin will affect them. Sometimes you are right and sometimes not.<br/><br/>Francois Girard has produced a wonderful film and the original score enhances this. This film is one that I will watch again and again and one that should be highly recommended."
"mhmslm","Null","64","83","4 March 2000"," Take the journey
","The Red Violin is the saga of spirit and soul as they press onward through time.  The adventure begins with Anna, a young woman whose only child brings about her untimely death.  A gift of a violin to be given to the babe becomes host to Anna's spirit.  The Red Violin narrowly escapes the grips of greed, ignorance, and vengeful lust as she is passed from hand to hand of those who would have her.  She wanders about the globe until at last she is exonerated by the one man who knows the truth that she holds within her wooden belly.<br/><br/>In spite of the death and despair, the film is truly positive.  It teaches us to appreciate people from all walks of life.  From the violin maker of the 16th century who made the Red Violin for the bittersweet arrival of his baby son, we travel through time with the violin to the Chinese Communist Party who spelled out certain death to any instrument that may threaten the ideals of the collective.  In our travels, we learn the dark and sordid side to each person, but we also learn that to create a shadow there must be light.  That light, or hope, that the people shed is what gives the violin her vitality and will to survive.<br/><br/>A truly magnificent film, The Red Violin inspired me to recollect my own past I shared with my aged upright piano; the certain spiritual vibrations I felt while playing a ragtime melody.  Suddenly, memories came rushing back to me tenfold.  I recalled the times as a young girl I would listen as my father played his rendition of Scott Joplin's Maple Leaf Rag.  Wiping a tear from my eye, I remembered how long ago that truly was; how my piano shaped and molded me, as I shaped and molded it.  I am left wondering where my beloved piano is now.  Who is influencing his instrumental life?  In the end, what stories will he have to tell, and will they be of me<br/><br/>Take the journey of the Red Violin.  Visit other lands and other times. Feel the strings of life against your fingers; the bow of spirit in your palm.  Rest your chin against the weathered wood of wisdom.  Listen closely and hear the music that is the gentle rhythm of time and change.  See the film to learn about music; to learn about history; to learn the boundless raptures of the spirit.  Perhaps, as I, you will learn just a little more about yourself."
"T-10","9","21","25","6 September 1999"," An ambitious story that delivers
","What can you say about a film that covers three centuries, people from all stations of society, and several European countries and Canada. Ambitious is a good start.  This film was very well crafted and at about one hundred forty minutes was too short for me.  The story follows a red violin, an inanimate object, although at times it seemed alive to me, thru three centuries and the influences good and ill that it has on its possessors.  It does ever seem to be owned.  Each of its possessors lives a life of passion and turmoil.  The violin's birth is during turmoil and during its life it buried, shot, and almost burned.  The writing which includes this parallel between the violin and its possessor , five somewhat independent segments that mell and converge in the final scenes, and a story told by tarot cards make for an extremely unique experience.  Add to that the musical score, scenery, the varied languages and cultures and you have a great offering. The performances were all strong, but I thought Jason Flemyng as Lord Frederick Pope stood out.  To say his character was eccentric and maybe a little over the top is justifiable but I'm sure that was intended.  English nobility has always been known for its idiosyncrasies.  The ending has incongruous feel with     the remainder of the film but is satisfactory and I can not suggest a better one.  Great entertainment!  Three and a half stars!!!"
"NaplesMacMan","Null","10","11","2 October 2004"," Not perfect, but mighty close! This film forces you to pay attention!
","The mystique of violin making has always intrigued me so this film was a big attraction for me going in, and I wasn't disappointed for one second!<br/><br/>OK, first of all, the obvious things that make it special: reality, craft, acting, scoring, and cinematography! It takes only a few seconds to know that this gem did NOT emanate from the money grubbers in Hokeywood California as one more way to titillate teenagers with sex, violence, and computer generated special effects with a subliminal message that sells products. Nope! This film was made by film makers who understand the power of a story well told, and REAL cinema.<br/><br/>Cutting back and forth repeatedly between the present and various disparate periods and places from the past, THE RED VIOLIN forces the viewer to pay attention and most of all... THINK!<br/><br/>The Red Violin is NOT the subject here but a catalyst to stimulate thought about human behavior and how different societies have related to art as we move through the centuries.<br/><br/>The casting was (on the whole) excellent though the choice of Samuel L. Jackson as a learned expert in ancient instruments was not convincing for me personally. And, the NON-ending which is more of a comment on human habits of acquisition than human nobility, was just not what I considered a definitive ending. (Maybe that was the point! ""Everything continues endlessly..."")<br/><br/>If you go to movies as an excuse to nibble away on munchies and get titillation, well, this one's NOT for you. BUT, if you have the patience to watch and think simultaneously as a great story unfolds, then SEE this film immediately!"
"philip_vanderveken","9","6","6","25 March 2005"," A wonderful and very musical movie.
","Independent movies or Asian and European films (to make it easy, let's say all movies that haven't been produced by some big Hollywood studio), always seem to have a certain group of fans, not because they are good, but because they are ""different"". That so-called in-crowd believes that every movie that hasn't been made by a big studio is great art and that all other movies are bad. Never tell them that sometimes the opposite can be true, because they can't and won't believe you. Well, I'm not one of them and I watch all movies with a critical eye. And yes, I try to see as many of those ""alternative"" movies as well. But that's just because I'm a movie buff who is interested in all kinds of movies, not because I'm convinced that this kind of movies is automatically a lot better than the rest. <br/><br/>In this movie we don't follow some people, but a violin on its journey through time and the world. The movie starts in present day Montreal, where ""the red violin"", a famous Nicolo Bussotti violin, is being auctioned off. But instead of staying with the auction all the time, we flash back to the creation of the violin in 17th century Italy and then follow it as it makes its way through an 18th century Austrian monastery/orphanage, a violinist in 19th century Oxford and China during Mao's Cultural Revolution... Each time it brings the person who owns it a lot of fame, but also bad luck and despair, often resulting in the death of the owner or someone the owner really loves...<br/><br/>What I appreciated in this movie is that it wasn't just an ordinary drama or thriller. It actually tried to be original and it succeeded very well. Another thing that I also really liked was the fact that not every detail of the movie was clear until the end (for instance why the fortune teller's predictions come true, but not for the woman, but for the violin instead.). It sometimes seems that the creators of movies don't even bother about adding some mystery in their movies anymore and I really miss that. That's probably why I liked it so much in this one.<br/><br/>Once in a while you come across a movie that you might call a gem. Well, ""The Red Violin"" is one of those truly magnificent gems. It's beautiful in every possible way. The music is excellent (although you better love violin music, because that's all you'll here), the acting is very nice and the story really is very beautiful. I guess I could talk for hours about this movie, but it's better to watch it than to read about it, so I'll end my review by saying that this is a wonderful and very musical movie that doesn't deserve any less than an 8.5/10."
"LezPoolShark","Null","5","5","17 March 2001"," Absolutely amazing from start to finish
","I originally saw this movie for the sole purpose of seeing a movie about a violin.  Being a violinist myself, I must say that the music in this film is what first attracted me.  However, as I watched the story unfold before me, I realized that there is so much more to this film.  The story is enchanting.  It draws the audience into its powerful grip, keeping their attention from the very first second as the sordid life of the Red Violin is slowly revealed.  There is immensely remarkable work displayed in this film, and the music is just as enchanting as the story.  I think this is a true masterpiece, and should be seen by everyone at least once...."
