"username","rating","helpful","total","date","title","review"
"dr_foreman","8","137","157","22 June 2004"," secretly wonderful
","I'm going out on a limb here.  I've just bombed ""Joe Dirt,"" and now I'm going to do an about-face on modern comedies and argue that ""A Night at the Roxbury"" is brilliant.  Most critics didn't see a distinction between these two bombs, but I do.<br/><br/>Comedy oftentimes depends on suffering.  Comic protagonists always take a beating, and we either laugh with them, or at them, or maybe we laugh not at all because we couldn't care less.  The essential question is, are the protagonists of ""A Night at the Roxbury"" lovable losers or just totally annoying dweebs who deserve all the grief they get? <br/><br/>You know my answer already.  I love the Butabi brothers.  They have a strong fraternal bond, they're obsessed with Emilio Estevez, and they can't get any play.  What's not to love?  <br/><br/>Dan Hedaya is great as the brothers' disgruntled dad, and Chazz Palminteri does a hilarious cameo as an entrepreneur obsessed with ass-grabbing. Richard Grieco demonstrates a remarkable sense of humor about himself by allowing the Butabis to build him up as a big celebrity, when the joke is obviously that he's a total has-been.  What a sport, eh?<br/><br/>Nice song, too.  I like this stupid movie.  Really, I do."
"ice_smk","9","20","21","21 February 2002"," Awesome Comedy
","After watching this movie on television, I automatically went on the net to find out what other people thought about it...I was extremely surprised to see that Roxbury wasn't even given an average higher than 5, many people expressing their disgust for the movie...But, I Loved it. I have never laughed so much during a movie, and there was an actual point to the movie. Some of the gags has me laughing for at least 10 minutes, and I still laugh thinking of them (the ambulance noises, the Emilio story, LoL). I can't believe so many people don't like this movie, it's a great comedy, much better than horrible flicks like Dude where's my car, and Saving Silverman. At least this movie has a point, I came to like the characters of the Butabi brothers. Was this a Good Movie? Noooo....YES!"
"PQTaggart","10","99","120","3 December 2004"," Great and really funny movie.
","""What's up?"" - Either you love it or you hate it. Actually to me Roxbury is one of my favourites. Of course the two guys are hilarious - but that's what they're supposed to be. This movie is full of great innuendos to disco chicks (""Is this your first time?""), to stupid and bored upper class people (""Do you like my new chin? Is it better than last years?"") and to some movies (""You had me at hello!""). Even after watching it the 3rd or 4th time you still can discover some new hints and gags.<br/><br/>It's a funny movie but certainly not dumb!<br/><br/>Emilioooooh!"
"tunafish-2","8","21","23","7 February 2003"," Wasn't expecting much but...
","I haven't laughed this much since ""Something About Mary"". Funny how the critics raved about that one , and gave this this the flick. Also, much better  than the similar ""Dumb and Dumber""...and not a fart gag in sight In it's naive, good-natured way , it was more like ""Bill and Ted's Excellent Adventure"" or ""Wayne's World""  but out of all these films , ""Roxbury"" is my new favourite."
"lil_miss_duckey","Null","33","38","19 March 2003"," Did I Like This Movie? no.......YES!!!
","This was an awsome movie! Chris Kattan and Will Ferrell are awsome in this movie! It is amazing how they can do the head bob walking!! This movie had everything! Laughs, tears, head bobbing, clubs, romance...............SCORE! I would love to go to a club where the inside looks like the outside, and the outside looks like the inside. I recommend this movie to everyone! That's right.. everyone! 9.2/10"
"funkiie01","10","124","156","19 February 2005"," 10 thumbs up
","THIS MOVIE IS GREAAAAAAAAAT! i guarantee you'll be laughing throughout the movie. I'v read some reviews about this movie and i can't help but wonder why people say its horrible? Maybe your not the type who enjoy a good comedy once in a while. The two brothers are absolutely hysterical. They just keep the laughs coming. AND, what about the music? The music just happens to fit the movie so good that i think its a 'must see movie'. I'm a proud owner of this movie. When i'm in need of a good laugh this is the movie i watch. The story is wonderful, and the actors and actresses have done the greatest job on this movie. If i could i'd give it 100 OUT OF 100 :)"
"jtpaladin","10","14","15","14 June 2001"," The film that defined a generation!!
","I love this film!! It was funny, visually exciting, and the best soundtrack since ""Saturday Night Fever."" In fact this film is similar to ""Saturday Night Fever"" in the way that it helped define a part of popular culture.<br/><br/>Anyone that is not already going to dance clubs should, first, see this film, second, get to the nearest hot night club and dance to the sounds that were so well presented in this film. I promise, you won't regret it."
"sweetnessbabe_lol23","10","99","128","25 July 2005"," Great Movie!
","Yesterday, I watched ""A Night at the Roxbury"" for the first time and I absolutely loved it! I think Chris Kattan and Will Ferrell did a great job and were an awesome team. They were VERY funny and kept me laughing and cheering for them through the whole movie. The music in this movie was also great, it made me want to get up and dance (maybe even the head bop! lol)This movie also had the *perfect* ending. I enjoyed all the characters and liked the twists the movie took. I would definitely recommend this movie for a good laugh for anyone, even critical friends. Nomatter who you are, there is something for you to enjoy in this awesome comedy. ""A Night at the Roxbury"" is a must!"
"redstar7angel","Null","44","54","15 July 2004"," Wicked Awesome
","This is my all time favorite movie ever. If you are ready to laugh your head off then grab a bunch of friends and watch this movie together.<br/><br/>Doug and Steve Butabi come out with the funniest sayings that you'll be repeating with your friends for a long time. They have got tons of catch phrases you can use everyday. ""Are you two brothers?"" ""No... Yes! get em every time! yea Doug's hilarious!"" I've practically memorized the whole movie! You've got to see it! Chris Kattan and Will Ferrell work wonderfully together and provide non-stop laughter for people of all ages. If you haven't seen this movie then I suggest you see it and then spread the word on how good it is!"
"Margaux1","Null","21","24","1 March 2003"," Funny movie with a great storyline!
","I reluctantly rented this movie for my husband.  He wanted to see it at the theatre but I didn't want to - I had never seen SNL (which DOES make a difference.  If you don't know the skit, you don't really 'get it').  So one night I picked up some movies, including this one - and I became hooked!<br/><br/>
I could NOT stop laughing.  I thought it was so funny.  I loved their clothes and their hair looked great.  Since then I've seen this movie a million times!<br/><br/>One of the things I liked best about this movie is that it really WAS tastefully done.  There was virtually no swearing in it, and no sex scenes (which disgust me).  It almost seems like they were discouraging vulgarity...I had to respect Chris Kattan when his 'one night stand' (Eliza Donovan) said ""Yeah, yeah, yeah.  Joanie loves Chachi.  But does Chachi give a flying - f*** about Joanie?""  He kind of looked at her and made a face that showed he was turned off by her language.<br/><br/>I would actually feel comfortable enough to let my 2 year old see it (which she has and she's decided she has a crush on 'Crissattan'.)<br/><br/>The boys come from a close-knit family with money.  But somehow, they don't see any of it.  They look nice when they go out and it's cool to see brothers who are so close.  Will Ferrell is a tremendous talent. The music is AWESOME! :)<br/><br/>I cannot STAND Molly Shannon.  I don't even understand how she got on SNL in the first place.  She is just AWFUL.  She's unattractive, perverted, and all of her characters on SNL just seem to be the same.<br/><br/>In all, this was a terrific movie.  I loved it!  Just watch it with an open mind and remember that it's a SILLY COMEDY, not an Academy Award Winner!"
