"username","rating","helpful","total","date","title","review"
"ahammel-1","10","730","784","28 May 2006"," A stunning directorial debut which deserves to be seen everywhere
","Because this movie deals with recent German history, some German comments about it get sidetracked into minute historical discussions. Forget them; Das Leben der Anderen is an outstanding movie that should be seen everywhere.<br/><br/>The former East Germany, a relatively small country of 16 million people, was controlled by the most sophisticated, cunning, and thorough secret police the world has ever seen, the East German Ministerium für Staatsicherheit, or ""Stasi."" The Stasi had about 90,000 employees -- a staggering number for such a small population -- but even more importantly, recruited a network of hundreds of thousands of ""unofficial employees,"" who submitted secret reports on their co-workers, bosses, friends, neighbors, and even family members. Some did so voluntarily, but many were bribed or blackmailed into collaboration.<br/><br/>Das Leben der Anderen, (""The Life of Others"") German director Florian Henckel von Donnersmarck's debut, builds this painful legacy into a fascinating, moving film. In its moral seriousness, artistic refinement, and depth, Das Leben der Anderen simply towers over other recent German movies, and urgently deserves a wide international release. The fulcrum of the movie (but probably not its most important character) is Georg Dreyman, an up-and-coming East German playwright in his late 30s. Played by the square-jawed Sebastian Koch, Dreyman is an (apparently) convinced socialist who's made his peace with the regime. His plays are either ideologically neutral or acceptable, and he's even received State honors.<br/><br/>Although he is a collaborator, he is also a Mensch. He uses his ideological ""cleanliness"" to intervene on behalf of dissidents such as his journalist friend Paul Hauser (Hans-Uwe Bauer). These unfortunates must contend with every humiliation a totalitarian state can invent: their apartments are bugged, friends and family are recruited to inform on them, and chances to publish or perform can be extinguished by one stray comment from a Central Committee member. The most recalcitrant can be kicked out of the country and stripped of their citizenship, like the singer songwriter Wolf Biermann.<br/><br/>Dreyman lives in a shabby-genteel, book-filled apartment with his girlfriend Christa-Maria Sieland (Martina Gedeck), a renowned actress who often appears in his plays. At the beginning of the movie, Dreyman himself comes under the regime's suspicion, for reasons that become clear only later. The fearful machinery of the Stasi rumbles to life: his movements are recorded, and his apartment bugged. The Stasi had bugging down to a science: a team of meticulously-trained agents swoop into your apartment when you're not there, install miniscule, undetectable listening devices in every single room -- including the bathroom -- and vanish in less than an hour, leaving no trace. Agents set up an secret electronic command post nearby, keeping a written record of every joke, argument, or lovemaking session.<br/><br/>The ""operative process"" against Dreyman is overseen by Stasi captain Gerd Wiesler, played by Ulrich Mühe, an actor from the former East who was himself once in the Stasi's cross-hairs. Captain Wiesler starts the film as a colorless, icy, tight-lipped professional who shows no mercy in fighting the ""enemies of socialism"": if he needs to interrogate a suspect for 10 hours without sleep to get a confession, he will do so -- and then place the seat-cover the suspect sat on in a vacuum jar in case the miscreant should later need to be tracked by bloodhounds. At night, Captain Wiesler returns to his tiny apartment in an grubby, anonymous high-rise. He settles himself among his inexpressibly drab furniture, eats a meal squeezed out of a plastic tube while watching reports about agricultural production, and then goes to bed alone.<br/><br/>As Captain Wiesler listens to Dreyman and his girlfriend he begins to like them, or perhaps envy the richness and depth of their lives in comparison with his own. Perhaps he also begins to wonder why a stranger should have the right to become privy to Dreyman's most intimate secrets: his occasional impotence, his girlfriend's infidelities, his artistic crises. At the same time, though, Wiesler is under pressure: a Central Committee official has made it clear to Wiesler and his toadying supervisor Lieutenant Colonel Grubitz (Ulrich Tukur), that Dreyman has to go down. <br/><br/>I won't discuss more plot details, as there are unexpected twists. Each of the main characters is drawn deeper into the conflict between Dreyman and the State, and each is torqued by loyalty conflicts that intensify as the pressure increases. The cast is outstanding. Sebastian Koch finds the right combination of poetic detachment and watchful sophistication for Dreyman. Martina Gedeck, as his girlfriend, has the most challenging role, since she's buffeted from all sides: by her suspicious partner, by Stasi agents trying to turn her, and by a lecherous Culture Minister. Ulrich Mühe plays the Stasi agent's transformation with reserve, only hinting at the stages in his character's secret, but decisive, change of heart.<br/><br/>Director von Donnersmarck, a blue-blooded West German, has re-created the gray, drained look of the former East, and the nature of Stasi intimidation, with a fidelity that has earned the praise of East Germans. His pacing is relaxed, but doesn't drag; although there are a few longueurs, most scenes unfold at just the right pace, and there are several great set-pieces. One is a bone-rattling episode in the Stasi canteen in which a young recruit is caught telling a joke about East German premier Erich Honecker. Another is the penultimate scene, a masterstroke in which Dreyman gains access to his massive Stasi file, while reading it, suddenly understands episodes of his own life which had never made sense to him before. The ending is perfectly judged; bittersweet and moving without swelling strings or teary confessions.<br/><br/>Das Leben der Anderen is an outstanding movie, probably a great one. If it's not picked up for international distribution, it will be a bitter loss for thousands of potential moviegoers in other countries."
"wisewebwoman","10","341","374","8 March 2007"," Outstandingly great movie
","I wonder why there has been so little written and publicized about this movie. This should be seen in every country and its merits trumpeted from the skies.<br/><br/>It starts off slowly and the locale is the former East Germany, inhabited by 16 million people who are being spied upon relentlessly by their secret police. In this very real world of the Berlin Wall, there are many Stasi, 90,000, overseeing the populace, aided and abetted by hundreds of thousands of informants. Many of these snitches were blackmailed or other pressures exerted (threats to children and loved ones) and a few obliged voluntarily.<br/><br/>What is truly amazing is that this is Florian Henckel von Donnersmarck's directorial debut, and he maintains a masterful hand throughout and keeps the story and the tension rolling from the first scene of interrogation which is filmed back and forth between a tape educating new Stasi as to interview techniques and to the actual cell itself where it was recorded.<br/><br/>The movie circles around three main characters and there is a wider circle of the powerful who pull the puppet strings for a variety of reasons which become clear as the movie unfolds.<br/><br/>First is Georg Dreyman, a playwright on the verge of celebrating his 40th birthday. Sebastian Koch, a tall,handsome actor dressed in writerly rumple, shares an apartment with his actress girlfriend, Christa-Maria Sieland (Martina Gedeck), and exists within the strictures of the state-sponsored theatre. He is a decent man, and tries to win support for his blacklisted friends.<br/><br/>For reasons that become quite clear, Dreyman falls under suspicion and the whole sophisticated Stasi spying system comes into play in the era of 1984. His whole apartment is bugged and every sound is monitored.<br/><br/>The man in charge of all this is Captain Gerd Wiesler,(Ulrich Mühe). Ulrich's performance is nothing short of stunning. He starts as an almost robotic presence, dressed in gray, he almost disappears into every scene he's in. But one detects a clear intelligence in his bright eyes, the only part of him that's alive. Captain Wiesler lives in a non-descript arborited apartment, much like himself. He squeezes his food onto a plate from a tube.<br/><br/>But the captain starts to awaken slowly as he listens surreptitiously on the state of the art equipment secreted in the attic of Dreyman's building. He starts to fall in love with the couple and then pressure from above is brought to bear on him to dig for the dirt in Dreyman's life.<br/><br/>And he is in a dilemma now, as he is drawn further and further into the life of Dreman and his girlfriend.<br/><br/>I won't throw spoilers down. Suffice to say is that the story is enthralling right down to the very last frame. The acting is superb, the direction impeccable and the world of East Germany meticulously drawn with the viewer respected enough to find his or her own emotional path through the plot.<br/><br/>The ending is truly one of a kind. So right and true that I was left nodding, it was the only one possible.<br/><br/>A must see, I will sing the praises of this film to all I know. 10 out of 10 from me. Right up there in my top 50 of all time. I find it so disappointing that these movies don't get wider release AND compete for an Oscar in the best picture of the year and not just for best foreign film. Now there's a heretical thought!"
"hareck","10","514","573","20 May 2006"," Excellent
","I do agree with all the other positive comments, and just need to add that this is the very first movie about the former GDR I saw that is not something like a comedy. Flicks like ""Sonnenallee"" or ""Good bye Lenin"" definitely were great and funny, but unconsciously left myself (a West German) with the impression that the GDR has been a sort of ""Mickey Mouse State"" full of stupid but charming characters, not really to be taken seriously. After seeing ""Das Leben der Anderen"" this impression shifted quite a bit: there actually was suffering, killing desperation and a terribly claustrophobic atmosphere behind that wall. This might well be the most realistic depiction of the dark side of the former East Germany. Thanks to the Producers, actors and director for making this movie. 10 out of 10."
"anastasia_smile","10","410","458","24 March 2006"," Intelligent and moving dealing with GDR history
","East Berlin, November 1984. Five years before its downfall the GDR seeks to maintain its power with the help of a merciless system of control and observation. When Oberstleutnant Anton Grubitz puts loyal Stasi-Hauptmann Gerd Wiesler on to the famous writer Georg Dreymann and his girlfriend Christa Maria Sieland who is a famous actress herself, he expects career advancement for himself. For most important politicians are responsible for this ""operative act"".<br/><br/>What Wiesler did not expect: the intimate view on the world of the ones he's observing changes the snitch as well. Looking at ""the life of the others"" makes him aware of the beggarliness in his own life and enables access to a so far unknown world of love, free thinking and speaking he is hardly able to elude. But the system can't be stopped anymore and a dangerous game, which destroys the love of Christa Maria Sieland and Georg Dreymann and Wieslers present existence begins. <br/><br/>Until the fall of the wall each of them has paid a big price. After that a whole new world begins.<br/><br/>My personal opinion - though it doesn't count that much - is that this one a an absolute Must See. I can hardly remember such an intelligent and moving German movie especially not including the whole topic of GDR history and the dealing with it. I think this is the first German movie which shows this system as it used to be (which has been confirmed by several contemporary witnesses) and not turns it and its people into comedy though there have been several good ones, of course."
"drgyn2000","10","100","108","13 April 2007"," Best film in years
","After seeing the outstanding Pan's Labyrinth, I could not understand how anything could beat it to the Oscar for Best Film, let alone the accolade of Best Foreign Film. That was until I saw The Lives of Others.<br/><br/>Putting it simply, this is the best film released in years. The framework of the story surrounds a Stasi officer who is assigned to monitor a writer and his actress girlfriend considered loyal to East German regime. That is all I am prepared to reveal because this film operates on so many levels that I wouldn't know where to begin. On the surface this can be enjoyed as a taut drama but essentially it is a study of the human condition and the capacity for compassion and humanity exists in even the most inhumane people. All of this is shot against the backdrop of the greys and browns of communist East Germany.<br/><br/>As a film it is virtually flawless. The three central performances are nothing short of electric, with particularly Ulrich Muhe giving one of the greatest leading man performances since Al Pacino in The Godfather. None of this would be possible without a brilliant script and exemplary direction, that brings the characters to life extracting the best out of the actors. The result is no words are wasted, and every scene is relevant and expertly conceived. This manages to explore deep issues without being turgid, is moving without being draining and remains gripping and entertaining without being superficial.<br/><br/>In summary, this is film-making at its finest. It is the sort of movie that you'll go down on bended knee and pay homage to the inventor of cinema, because it is films like this that cinema was created for. You'll forgive a year of tedious sequels and cash cows, for the one day that films like this get released.<br/><br/>10 out of 10 is too modest."
"Hprog","10","138","155","11 March 2007"," The ghost of authoritarian regimes
","I've been taking German lessons for about 2 months now, and since movies were great in helping me learn English language I'm always looking for German films to watch (as well as German music to listen to) in order to educate my ears.<br/><br/>Anyway, I went to this place where I get all sort of rare movies and this one caught my attention... and I had no idea it got the Oscar for foreign language film this year! So I watched it without prejudice and... what did I find? A MASTERPIECE! This is the kind of movie that gets your attention from the first moment, and makes you interested in understanding the characters' psyche, which is very varied: you have the idealistic good guys, the idealistic bad guys, the people that broad their minds understanding that no political dogma is better than individual freedom, etc. And even though the movie has very tough moments it is all so well done and presented with such a good taste that in the end you feel some sort of relieved.<br/><br/>In this present day, when the ghost of authoritarian regimes still fly over our heads (in my country we're getting closer and closer to that reality), this movie will make you think about how important love, life and freedom are.<br/><br/>A must see!"
"nick-6","10","173","197","16 October 2007"," A German Expat Feels his first pang of forlorn German patriotism
","This film utterly blew me away. Full disclosure: I'm a German born (Munich born) German-American who left Germany in 1986, before the wall came down. I cannot describe the feeling I felt as the last few words were spoken on the screen. I could not look at the subtitles ( a habit of speaking two languages ) because my eyes were so full of tears. I cannot tell you how I was so sorry I did not experience the wall coming down. This film healed a wound that may have been left by the nightmare years of 1938-1945, my own great uncle being a Nazi war criminal, convicted in Nuremberg in 1946. Yes, we are mensch too. We have the potential for greatness (of character) in spite of our history. Thank you Florian Henckel von Donnersmarck, for giving me back half of my lost soul in this single ""es ist für mich"". I am reminded again that the difference between ourselves and beasts is that we have a choice."
"rkj-3","10","196","226","19 October 2006"," Brilliant movie
","Germany has produced some very good movies recently ... but this one is in a class of its own. The main power of a quality movie, for me, has always been two things, a good story and mood - and this film has both. The story keeps you interested through all 139 minutes. You actually feel yourself transported to the 1980s of the former German republic. They have carefully chosen locations that looks east-germanish ... lots of ""Trabant"" cars on the streets :-) and the general grayish mood is very well recreated. The ordinary peoples fear of the Stasi is realistically portrayed. And i just love the twist in the story in the last 20 minutes or so. A brilliant movie that anyone even remotely interested in non-mainstream movies should see."
"jesse3","10","728","878","17 January 2007"," The most underrated film of 2006.
","Holy cow! What a terrific movie! I am a voting member of the Academy (actor's branch) so I get all the films for free. I've seen everything---60 films. This was one of the last 3 films that I saw---because I was completely unfamiliar with the title. This film slowly gripped me, but by the end, the grip was merciless. The lead actor, who should be doing The Life Story Of Peter Jennings, was wonderful. Everybody was terrific. Congratulations to the writers for their perfect structure---and to the director for his flawless storytelling---and his eliciting of top performances from his actors. How well cast it was. <br/><br/>But now I'm totally bewildered. Why haven't I heard anything about this film? Where was this film at the Golden Globes? I haven't even seen any reviews about it. Nothing! What's going on? I'm very active in the film business. I follow this stuff. This film (that I never heard of) took me by surprise as no other film has ever done. <br/><br/>Note to the IMDb: This is not a spoiler. <br/><br/>Jesse Vint III"
"ronsig","10","107","123","25 February 2007"," I didn't fall for them.....
","Memories of the 70's and 80's visits in the German Democratic Republic (GDR) flood my mind while watching this film. Some are revolting, some comical and others are frightening. As a student of German, I visited the GDR several times to see pen pal friends. I remember one friend looking around and whispering to me in the S-Bahn - just in case one of the many ""IM's"" (unofficial workers of the Stasi) was listening in.<br/><br/>I visited a representative of a magazine for western countries about the GDR and spent one memorable weekend sightseeing with her. Near the end of my visit, she asked me if I would work for them regularly by writing my opinion of ""GDR Review"" and its suitability for readers in the West. I would be paid in GDR money to use during further visits. After politely refusing this ""offer"" (""The police at home might not like it!""), I always had a sneaking suspicion that that was an attempt by the Stasi to recruit me.<br/><br/>Years later I applied to see my ""Stasi File"". I will never forget the feeling deep inside me when I read in it: ""..is not suitable for our use due to his apparent connection to the police in his homeland."" The beautiful, friendly lady in Dresden had been a Stasi informer all the time! All of my visits to the GDR and the people I visited were listed in that file. For me ""The Lives of Others"" is an authentic representation of that totalitarian state. I am glad that those times have ended. <br/><br/>Congratulations on a well deserved Oscar!"
