"username","rating","helpful","total","date","title","review"
"kashtynandel","8","100","105","30 July 2019"," It Is Violent
","So i love it! Not the usual.
The story is complex and condensed for the sake of the movie and as such hard to understand. I recommend reading the source material first. Imagine how bad an American remake would be if they messed up Ghost In The Shell that much!!"
"landreeshahid","8","148","167","13 July 2019"," Scary.... American remakers That Is!
","Akira is great. I have been watching ot every years for 30 years or so and honestly it still holds up, One has to watch it more than once to get it. The ride is well worth it.
Scary part is the Hollywood remake machine has found it. I cannot wait for the toned down, dumbed down, gender switch, franchise standard one-liners and fat twerking tattooed American 'women' to make an Appearance. And I am an American!
Sigh!"
"roviovvsd","9","26","27","12 January 2020"," Neo Tokyo Is Out of This World
","Akira is fun, intriguing, violent and original. Beyond that this anime is famously the first, and a very early example, of an animation with completely matching and synchronous mouth movements for all the characters, which is an achievement for the fictitious and full-length feature.
They are remaking this in Hollywood. I have owned a DVD of Akira for two decades and watch it every year. I will not be attending the American 'Akira.'"
"jpt27","9","368","452","29 March 2005"," Landmark Japanese animation that opens boundaries and minds.
","'Akira' is an astonishingly influential film, easily as much so as cinema's touchstones Citizen Kane and Pulp Fiction. Its impact is made more difficult to judge, though, given that it was made more than sixteen years ago, and didn't make an initial impact outside of Japan. Oddly, this made its influence even more profound, benefiting from 'word of mouth' and the influx of cheap VHS at the end of the Eighties. It's also gained enough of a following to warrant being digitally remastered, at a cost of over US$1 million, as a 'Special Edition,' which I am basing these comments on.<br/><br/>Rather than suffering the humiliation of being advertised, Akira filtered, like a software virus, into the bedrooms of what would become Generation X. Hollywood began to sit up and pay attention after teens began abandoning the pap of the day like Last Action Hero, and started seeking out something different, dissident, and Akira finally had its audience. Japanese animation now has a firm presence in our media, and so many paths lead back to the cultural genesis of Akira. Finally, its role in the history of film was cemented with the release of last year's mega-hit, the Wachowski brothers' The Matrix. Without Akira, there is no Matrix, and with no Matrix, you have to wonder how very different Western cinema would be today.<br/><br/>So what is Akira? It's a Japanese animated film, an adaptation of 2,000 pages worth of graphic novel by Katsuhiro Otomo and set in the futuristic world of Neo-Tokyo. Rebuilt from the ashes of World War 3, it's a technological dream of neon, computers and soaring science, mated to the social nightmare of corrupt politicians, a rampant military and an oppressed working class. Add to this the rise of a powerful breed of psychics (or 'psionics') capable of various degrees of telepathy and telekinesis, and somehow linked to a top secret military project known as Akira, and Neo-Tokyo seems ready to explode. You can almost feel the heat, the sweat, and the grime, courtesy of the borderline-masochistic attention to detail in every frame of every scene of animation.<br/><br/>Akira is all about hyper-reality, which later became known as bullet time. Animation, and more importantly imagination, allows impossibly kinetic and 'free' camera movement. The style rams home every car crash, explosion and death defying stunt. It's not the easiest film to watch in one sitting, nor indeed, at all, but you'll come away knowing where the inspiration behind so many late Nineties blockbusters came from. More importantly, you'll appreciate how mediums come to influence other mediums, and barriers such as language and culture can be hurdled with ease.<br/><br/>It's not just an action-fest either. The main arc of the story is that of Tetsuo, who begins developing psychic powers but doesn't understand what is happening to him or the responsibilities that come with such godlike power. This opens the door to some genuinely moving scenes of film-making endeavour and artistic triumph, as Tetsuo wonders if he is losing his mind and eventually lashes out against anyone and everyone. The standout scene in the whole film, for me, should be mentioned about here. Whilst under observation in a hospital bed, Tetsuo hallucinates being attacked by childhood toys. Dreams and reality are folded into each other and so it remains for much of the rest of the film. Horizons peel away and reality itself seems to disintegrate, fragment after animated fragment, as Tetsuo battles his way to downtown Neo-Tokyo and prepares to face Akira, whatever that may mean.<br/><br/>The only other character developed to this level is his best friend Kaneda, who in a number of small, well-judged scenes, comes across as bright, breezy, confident and heroic, and on hand to reason with Tetsuo. No matter what point Tetsuo's powers escalate to, and no matter how much he is wanted by the police and the military, Kaneda just wants his old friend back, and it is this hope of redemption which gives the film its emotional backbone.<br/><br/>Other strengths include the intelligent use of sound. A minimum of scoring is used: mostly Japanese drums and percussion, and some voices during dramatic parts. More interesting is the use of silence, absolute flat silence, during key moments. It fits in very well with the themes of psychic/telepathic powers, and in a more general way, the vivid hyper-reality of the film's delivery. Put it this way - when you dream, you dream in a silence of implied words, and Akira knows this too.<br/><br/>I thought the dialogue was excellent too. The street kids have catchy and sardonic street lingo (""Tetsuo's our friend! If anyone's going to kill him, it should be us!"") The military are represented by a titanic general whose lines have gained a certain amount of hilarity during translation (""You hedonistic fools! Can't you see it is utterly pointless to fight each other!"") I found myself eagerly awaiting the next punchy exchange between players, which is something that Hollywood has been missing recently. In seven out of ten films I see, the dialogue is truly awful. How difficult can it be to get two people to talk naturally? <br/><br/>'Akira' is not for everyone. In the first twenty minutes we have strong language, an attempted rape and the kinetic carnage of a fight between rival biker gangs. Some will simply not tolerate this in an animated movie which is, despite all efforts, going to be viewed by younger children. Even if you can stomach the unsavoury content, you might be beaten by the sheer oddness of Japanese culture. (They certainly have an unhealthy obsession with seeing Tokyo laid to waste.) But if you can skip over these points and see the overall genius of Akira, you may just appreciate Akira's place on the pantheon of modern culture."
"kamaalstefano","Null","140","171","7 July 2019"," BOYCOTT!!!
","I love Akira. I have loved Akira's action and sense of anarchy ever since Is aw it on TV 20 years ago and bought the DVD soon after.
It is fantastic.
Like everything the hollywood bandits are remaking it. BOYCOTT that! Do not feed hollywood's stealing attempts from Japan. They will destroy it as always. they will not understand Akira, they will whitewash, they will get a Hollywood 'star' and it will SUCK of course.
DOWN with remakes"
"zznwaejv","8","23","25","22 December 2019"," Great Animation, But Not For Everybody
","Let me be frank that while I own this DVD and watch it often this is not something that is for the masses. It certainly takes some background reading and investigation and multiple viewing before it begins to make sense.<br/><br/>However, once one understands and given the visuals it is impressive.<br/><br/>I also know that a Hollywood studio is making a live action film out of this to take advantage of Akira's popularity. It will be a failure. I will not be there to watch it and I am a fan."
"rftlhaubu","8","17","19","26 January 2020"," This is a pretty interesting aniimation
","You will not make heads or tails from the movie about a story, but it is a historic achievement and certainlt fun to watch. I love violence and Akira delivers.
The fact that some Hollywood producer has decided to reshoot it shows Hollywood's arrogance.For heaven's sake Hollywood FOAD to your grubby hands."
"zacheriahbraven","Null","51","67","28 September 2019"," Good And Bad
","Good: violent and uncompromising.
Bad: the story makes no sense."
"Ryuji-2","Null","271","407","16 January 1999"," Be careful with this film.
","*Stereotype:  Akira is a gratuitous bloodbath.<br/><br/>Maybe, but it's also a hard-nosed societal critique.  Gore fans get what they want, but they have some morality shoved down their throats, as well. Most people who hate this movie watch it with a predetermined mindset. . . It takes thought and patience to piece together its sophisticated story.<br/><br/>*Stereotype:  Akira rocks!!<br/><br/>The animation equals or exceeds Disney's best, the music is awesome, and the characters are complex, but ""Akira"" has its flaws.  Chunked together from a long pre-existing storyline and filled with gritty violence, ""Akira"" draws fanatics too bloodthirsty to appreciate its message, and scares away critics intelligent enough to understand it.  It takes a very open mind to enjoy this movie.<br/><br/>All in all, be careful with this movie; it's not for everyone.  Just ignore the hype on BOTH sides and judge for yourself.  I recommend the subtitled version; the dub's voice actors suck and anyone who'll understand this movie is obviously smart enough to read."
"neoxman","10","190","291","11 September 2002"," A Masterpiece of Epic Proportion.
","Visually Astonishing, Dark and Original is what best describes Katshuiro Otomo's Masterpiece `AKIRA'. Now here is an animated film that is way ahead of his time, the film was released in 1988 even before Disney created computer FX's in their animated features. AKIRA is one of my favorite movies of all time it has beautiful visuals, great animation, an extraordinary story and a wicked soundtrack. I have read the entire AKIRA manga comics and yes it makes the movie that much easier to understand but with the new DVD edition which contains the correct dubbed version that allows the viewer to understand the film a little easier. I first saw AKIRA back in 1994 when I was 14 years old and ever since then I have collected great anime, at first I was confused but yet intrigued and consumed by the plot, I wanted to know what the story was about. Finally after 4 times viewing the film I understood the plot and the message Otomo wanted to deliver in this feature. The story is fascinating it takes place in the future in the city of NEO-TOKYO were citizens live in a constant chaos of an urban revolution, while the youth lives reckless on the dark streets gathering in bike gangs the government proceeds with the so called `akira project'; a mayor step in scientific discovery based on human energy.<br/><br/>AKIRA is a movie about betrayal, love, loyalty, anger, and fiction. For those who do not understand it is a movie about the universe and how us humans connect with it, we use about 11% of our brains but what if we were able to use 40% or even 100% of it, what then? And what if some of that percentage was damaged by hate, depression, or anger, this is the case of TETSUO who is the center character of this film. The possibilities are far from anything we can imagine, `AKIRA' provides a fictional possibility that self energy exists within all of us and that is just as delicate as it is powerful.<br/><br/>This is an epic proportion animated feature, the action sequences are creatively amazing, the plot is very intriguing, dark and character driven like no other film. It is one of a kind and even after 14 years we have yet to see anything like it whether is an animated or a feature film."
