"username","rating","helpful","total","date","title","review"
"henrycoles9","9","14","15","4 February 2020"," Ryan Gosling as a ragdoll
","This was an ecstatics spectacle. Ryan Gosling just keeps falling off and tumbling and walking out unscathed in search of the truth. And the beautiful vibe of 1970s Los Angeles is brought it to perfection."
"bob-the-movie-man","8","186","256","27 May 2016"," A raucous buddy comedy and stuff.
","I'm sure this film is going to divide audiences, in the same way that ""Kingsman"" did.<br/><br/>It's 1977 Los Angeles. Star Wars has premiered. Disco is in full swing. And porn star Misty Mountains has just died (spectacularly). It's pretty disturbing then that dodgy licensed private investigator Holland March (Ryan Gosling) has been hired two days later to find Misty by the slightly kooky Mrs Glenn (Lois Smith, the equally kooky doctor in ""Minority Report"") who saw her through the windows of Misty's home. Never one to turn down a pay check, Holland takes the case and the trail leads him to search for a missing girl called Amelia (Margaret Qualley). This leads him right into the substantial fists of the 'heavy for hire' Jackson Healey (Russell Crowe), who's been hired by Amelia NOT to be found. But it's clear that Amelia is at the centre of a tornado of intrigue, since her mother Judith (Kim Basinger) is head of the Justice department and there are some heavies from New York and Detroit looking for Amelia too.<br/><br/>As the film's tag-line admits ""The Nice Guys"" are ""far from nice"", and this is a sort of bromance buddy movie of the likes of ""Lethal Weapon"". (And that comparison is 100% valid since - and I honestly discovered this after I wrote that - director Shane Black (""Iron Man 3"") got into cinema by writing the screenplay for the original ""Lethal Weapon"" back in 1987). But ""The Nice Guys"" has an edge that those films of the 80's couldn't have got away with. Subtle it ain't. There is a lot of violence, a bit of 70's porn and some fruity language that sensitive viewers may find offensive. (All in all, it's a bit of a surprise that it got away with a '15' certificate in the UK).<br/><br/>But it's also insanely funny at times. Some of the sight gags are laugh out loud material (and I don't tend to act on that often in a packed cinema). You might recall in ""Diamond's Are Forever"" that a Vegas hood tosses Plenty O' Toole out of Bond's hotel window. ""Good Shot"" quips Bond. ""I didn't know there was a pool down there"" responds the hoodlum. The basics of this scene are given a fresh and wonderfully gory rework that is truly memorable.<br/><br/>Gosling and Crowe have great chemistry together (although the degree of acting required by Crowe is debatable: he looks and acts like he seems to in most media interviews!) Some of their dialogue appears distinctly ad-libbed, which shows how comfortable they were with the roles. And Matt Bomer and Beau Knapp make memorably crazed villains. A role that unfortunately does irritate is Qualley's: the character of Amelia is supposed to be a bit crazed, but her speaking part is 120% off the scale.<br/><br/>The acting star of the show though is young Australian Angourie Rice as Holland's morally-centred and bright daughter Holly, who steals just about every scene she's in. A young lady to watch for the future.<br/><br/>1970's LA is nicely realised, with nice little subliminal drop-in shots: a Jaws 2 poster; Tower Records; the original Hollywood Tower Hotel. And the film naturally attracts some banging' 70's tunes to the soundtrack, with Al Green peerless over the closing titles.<br/><br/>But it's not perfect. The plot is quite impenetrable (I'm still unclear exactly what the relationship between Misty and Amelia was). And Black's screenplay (written with Anthony Bagarozzi) over-eggs the pudding of the final showdown scene. But while it won't be to everyone's tastes, I thought it was a blast from beginning to end: a guilty pleasure of bad taste that begs for a sequel. I would go to see the Gosling/Crowe show again. One of the most entertaining films of the year so far.<br/><br/>Please visit http://bob-the-movie-man.com to see the graphical version of this review and provide feedback on your views. (Thanks)."
"rwicky19","9","195","288","15 May 2016"," Stupidity as an Art of Comedy
","The Nice Guys represents the buddy movie genre at its best. Shane Black is a excellent director and a brilliant writer. He knows how to create hilarious characters and how to put them in absurd scenes — absurd in a comic way. The gags are all unexpected; I was constantly asking myself ""What the hell is going on?"", and then burst into laughter. The plot could seem weird at the beginning, but it's not the main point in this movie, it is only used to create a context to the jokes. People in the theater couldn't stop laughing. There is a new and original joke every two minutes. Russell Crowe plays his part very well, but Ryan Gosling's performance is already cult. All is in the look in his eyes, and that stupid expression on his face. Two stupid and impulsive men in an outrageous world full of porn stars and guns, fighting for...money. And truth, of course. Always the old truth about some kind of conspiracy (the only weakness in the movie). Hopefully, Shane Black doesn't insist too much on that and concentrates himself on the constant jokes. I guarantee you, you will laugh a lot. I know I've just watched an excellent movie when I feel sad during the credits, because it's already over. And then, it's just pure happiness."
"PyroSikTh","8","88","126","7 June 2016"," A Laugh Out Loud Comedy
","The Nice Guys is pretty much a buddy cop comedy, except instead of cops, they're a private investigator and a contract tough guy who find themselves both looking for the same girl, who's gotten herself wrapped up in political and pornographic intrigue. While there are a number of action sequences, The Nice Guys is focused more on delivering humour and jokes based around a couple of reasonably well-developed characters and a mystery that's a little absurd and off- the-wall.<br/><br/>The comedy on offer here is quality stuff. The Nice Guys isn't just the latest Apatow or Rogen production that seems to just recycle jokes from other movies. Many of the jokes are well- thought out and some of them are actually clever. There's also a number of more slapstick moments, but none of them come as hammy, including the sight of Ryan Gosling fumbling with his gun and cigarette while sat in a cubicle. The comedy can be a little dark at times though, so if you like lighter laughs, The Nice Guys probably isn't your kind of movie. On that note, I was quite surprised at the amount of violence, gore, and nudity in play. Thankfully it's only gratuitous when it needs to be (which in this movie basically means for comedic effect). People do die, sometimes gruesomely, and there are a lot of boobs and constant talk of sex and pornography, sometimes from kids. Again if these kinds of things offend your soft heart, avoid The Nice Guys.<br/><br/>Talking of kids in this movie, one of the earliest lines refers to how kids these days know too much and act too grown up. This is a subtle theme of the entire movie. The line in question refers to a thirteen year old girl who chats up a guy three times her age for some weed, and another scene has a kid on a bike talking about his big dick, but more prominently is Angourie Rice who plays Holly, the PI's daughter, and shows a massive amount of maturity in every scene, often showing up her father in smarts. I would love to see a sequel set a number of years ahead where we follow a grown up Holly continuing her father's work.<br/><br/>The father himself, Holland March, is Ryan Gosling on top form. Most of the roles I'd seen him play were super serious ones, and his mumbling, tortured personas, while fantastic, started to grate. Here he is completely different. He's a silly, fumbling idiot a lot of the time, and provides the most laughs. His sense of comedy timing is perfect, and his slapstick antics are flat-out hilarious. That's not to mean that he plays the fool. In a lesser actors hands, that's exactly how March's character would have come across, but Gosling manages to balance all the over-the-top comedy with something a bit more grounded. While he shows a lot of signs of idiocy, he also shows some intelligence that helps us believe his role as a father and detective. Unfortunately I can't level the same praise on Russell Crowe who I can't decide whether he phoned it in for the paycheck, or tried too hard. When it comes to comedy, Crowe is Gosling's opposite; almost entirely unfunny, even when his lines do a lot of the legwork for him. He's not a complete failure, but he looks awkward and uncomfortable more times than he doesn't. Margaret Qualley as the missing girl is also a bit of a swing and a miss. Her hysteric lunacy comes off more as a hormonal teenager shouting things she doesn't really mean, than a girl who believes fully in her claims and is determined for the world to know what she does. Thankfully there's Keith David, Matt Bomer, and Beau Knapp who more than make up for her in the supporting side of things.<br/><br/>I never really laugh out loud when I'm by myself, especially in the cinema, but The Nice Guys had me chuckling heartily with alarming frequency. It's not a perfect movie, not even a perfect comedy, but it's right up there amongst the best comedies, for certain. I found it hilarious, and that's all that really mattered. I give it a solid 8/10 and would recommend."
"Lewis_Heather787","9","20","25","2 September 2016"," One of the most surprising films in years!
","For a start i can't believe that I missed this film in the cinema and am I now regretting that decision considering how unbelievably good this film is. The main reason for me to take a look at this film months after it had been in cinemas is the two main leads, Russell Crowe and Ryan Gosling. Both of which are amazing actors and are just fantastic in there respective roles in the film, they play of one another in the film so well it really shows that both actors genuinely get on with each other. As for other actors they are all great however there is one who in my opinion rises above even Crowe and Gosling and that is the character of Holly March played by Angourie Rice. She is brilliant in every scene she is in whether it be insulting her father or giving advice for a con, this actress has great potential to go on a do great things. Turning our attention away from the cast and to the story and director, both roles which where filled by Shane Black. Once again this very talented director has hit it out of the park, the script is absolutely brilliant and there is never a dull moment in this film. Whether it be the banter between Holland and his daughter or to Jackson the lines that the actors deliver are amazing and perfectly timed, especially Hollands random quotes about Adolf Hitler. As well as the script that Shane Black helped to write the directing in this film is simply unique and brilliantly stylised, it probably really helped Black to write and direct this film. I would like to mention that ""people"" these days say Hollywood isn't making original films anymore and that only franchise films will be made. However a film like The Nice Guys is original and was made and unfortunately from what the box office results are know body bothered to go and see it, I know I'm guilty of that as well. This really makes me sad and it is also sad for this film because it 100% deserves a sequel but will probably never get it. There are some films around that have conned their way to multiple sequels without any of them being any good...divergent..cough.....Finally I would like to say that this film in my opinion is the best of 2016 so far, this film is such a surprise you will not be disappointed if you see it."
"cougarfan-bridger","7","88","132","26 May 2016"," The Nice Guys
","I'll admit that I am unfamiliar with most of Shane Black's original works, watching The Nice Guys made me want to go back and take a look at his earlier films. The characters were well written, even better cast, and fit well with the theme of the film. There was rare a dull moment, it seemed I was either enjoying the dark comedic tone, or getting engaged in the plot. While the first two thirds of the film seemed excellent, the writers set themselves up for a fantastic finish, but were unable to capitalize on that potential. The script seemed to suddenly turn very basic, with things ""falling"" into place almost too miraculously to be true. I never felt like I had truly been given an ending worthy of a classic detective story, but the fast pace of the film and humor was enough to make it very enjoyable."
"WinterbornTM","9","129","203","4 June 2016"," Great Movie
","The Nice Guys is written and directed by Shane Black and stars Ryan Gosling and Russell Crowe as two detectives who try to solve a case regarding a missing girl and the death of a porn actress in Los Angeles during the 70s.<br/><br/>I'm a big Shane Black fan ever since my childhood, with Lethal Weapon being one of my all-time favorites. After that I followed his career, and I have to say, he is a really great writer/director. Kiss Kiss Bang Bang is another great movie which he wrote and directed which some might argue it brought Robert Downey Jr. back in the center of the attention, and before the whole Marvel business started. Black is great at writing buddy comedies with crime and mystery touches and The Nice Guys is one of his best works to date.<br/><br/>First of all, the two main actors, Russell Crowe and Ryan Gosling, have an amazing on-screen chemistry. Crowe plays Jackson Healy, a by-the-book though guy enforcer type who you call when want to have someone taken care of. Crowe is now over 50 in real life, his age is starting to show, but he embraces that completely in this film. He is a little overweight and some of the action scenes he pulls might not look that believable, but he is absolutely perfect in this role. Ryan Gosling took a break from the more silent type roles (Drive, Place Beyond the Bines) which were becoming a bit too much for me and instead takes a comedic turn in this movie. He has some of the funniest lines, he gets in the craziest situations and yet there's also a dark side to him, having some drinking problems and at the same time trying to raise his daughter (Angouire Rice), who is wise beyond her years.<br/><br/>The story itself is not the most original and unique, it doesn't really break new ground and you can solve the mystery on your own while watching the movie. As soon as one character was introduced, I immediately put the clues together. But that's okay, it doesn't really need to do all those things. We were not promised some original concept or never before seen plot, we were promised an action comedy that offers two great characters and a very clever script.<br/><br/>What I truly love about this movie is how simple it actually is. It's not part of a huge franchise, it's not a CGI fest, there are no superheroes, there are no flying cars, we just follow two guys trying to solve a mystery. It really goes back to the 80-90s era, when we had some great action-comedies like the Lethal Weapon franchise or Beverly Hills Cop. It's a nice breath of fresh air with some clever dialogue, noir elements, good action and two perfect stars in the main roles. The Nice Guys is a nice surprise and it deserves a 9 out of 10!"
"kosmasp","9","34","51","25 January 2017"," Not so nice
","But very good if you are into this kind of stuff. So this is not Kiss Kiss Bang Bang or Last Boy Scout, but it is a new movie by Shane Black, which is a reason to get excited about. If you like weird dialog and situations comedy that he seems to be able to write spot on, then you are in the right place.<br/><br/>Russel Crowe and Ryan Gosling hit the nails on their heads. Deadpan or outright funny, completely insane to just weird. One thing this is not: Predictable or tame. You only have to decide if this is your kind of movie. If your taste and the movies do either collide or are in the same ballpark. If the latter is the case, do watch it and you'll get something unique and really good. One of the Highlights of 2016 for sure"
"zetes","8","70","116","28 May 2016"," A tad disappointing given the fantastic trailers (which spoiled the film a little), but still a lot of fun
","'70s detective movie starring Ryan Gosling and Russell Crowe, directed by Kiss Kiss Bang Bang's Shane Black. It is a ton of fun. There's definitely something missing that I'm not quite able to put my finger on - it really feels like it should be an all-time classic, but ends up falling short. There's some weaknesses in the script, like Black isn't quite able to make his themes work entirely. It has so much great stuff in it, though. The two leads are ace, both giving near-career best performances. Angourie Rice is also excellent as Gosling's teenage daughter. They do fail to establish a great antagonist, though bad guys Matt Bomer, Keith David and Beau Knapp are all memorable. Others who will remain nameless aren't as good. The film is very funny, thankfully, with Crowe and Gosling bouncing off each other nicely. It is true most of the best bits were given away in the film's two trailers. If you haven't seen them, you might enjoy this even more than I did. I'd definitely recommend it either way."
"Holland_March","10","4","4","18 June 2020"," Gosling and Crowe star in one of the most underrated and hilarious
","The Nice Guys is an absolutely fantastic film from beginning to end! Every scene in the movie has at least 3 jokes that will make you belly laugh, and the action is well shot and choreographed. Additionally, Angourie Rice is also great in this flick, as she puts on one of the best performances any child actor has. Did I mention how funny the jokes are? The villains are great as well, even if they are extremely intentionally cliché making them so much better! That aside, the film provides the audience with a genuinely well thought out and well executed mystery. All in all, is this film fantastic? Yes. Is it funny? Absolutely. Should you watch it? DEFINATLY."
