"username","rating","helpful","total","date","title","review"
"emily37","9","92","112","27 August 2003"," a good teen movie that shows how bad today's teen movies have gotten
","with the recent release of the special edition dvd of this film, i'd suggest you go watch it.  yeah, this movie is a light, fluffy gen-x teen movie with its music video moments.  however, what was eight years ago just a normal teen movie has gained some semblance of social relevance --  compared to today's teen movies, this film can be seen as some sort of masterpiece. <br/><br/>
for one thing, you never see films anymore where teens are actually fighting for something except for a date to the prom.  the characters in empire records, yes, are submerged in their overdramatic romantic escapades, but their main prerogative in the film is to prevent a large corporation from buying out their independent record store.  are there films that spark that kind of activist spirit in middle- and high- schoolers today?  no.  we're going backwards.  <br/><br/>also, the humor in this film offers up some absurdist wit, which you never find in teen movies now.  a kid glues some quarters to the floor so he can laugh at the poor saps who later try desperately to pick them up.  a shoplifting teenager gives the fake name of 'warren beatty'.  do kids today even know who warren beatty is?  i doubt it.<br/><br/>this film was made in 1995, right before many of the laws allowing corporations to buy and control multiple media outlets were passed.  the years since '96 have shown us a homogenization of music and movies, especially in the teen sphere, and it is turning today's teens into a bunch of celebrity-obsessed idiots. <br/><br/>compared to your sons and daughters, the kids in empire records can be now seen as role models."
"Taggarttrains","Null","65","78","19 December 2001"," See it twice to appreciate it.....you'll be lukewarm the first time and love it the second time.
","I love this movie.  This movie is the kind of movie I watch movies for (um....did you follow that?).  I would make one suggestion, however....watch it twice before you decide if you like it or not.  If you're like me you'll probably be lukewarm the first time you see it but like it more each time you see it after that.<br/><br/>The reason for seeing it twice is because the film's strong points become more evident the second (and beyond) time around.  Each character is well-defined, with individual traits and idiosynchracies, but this can be lost the first time through because you're trying to follow the story. There is a very strong soundtrack for the movie, but you appreciate it more the second time through, because you better understand how the music applies to the scene.  The actors have great chemistry and the character interactions are great.  The movie never takes itself very seriously and it's just a lot of fun to watch.  You'll find yourself rewinding it to see certain scenes again and again.<br/><br/>I grant you the movie will never win any Academy nominations.  The plot is simplistic and the ""neat"" ending (all problems solved perfectly in just one day) is unrealistic (not that this bothered me....I personally loved the ending....if I want ""reality"" I'll watch the evening news).  Also, trying to follow the storyline tends to take away from the character interaction the first time you see it; hence, the suggestion to see it at least twice.  I actually didn't care for it the first time I saw it because I was looking at it strictly story-wise.  The second time I saw it I concentrated on the characters and the dialogue(which I loved), and that's when I realized the appeal.  If you're into serious movies that reflect real life and real suffering, you'll probably want to pass on this one.  However, if you watch movies to have fun and laugh, watch this one.  Also, if you like music- especially a moderately wide variety- you'll enjoy it.  It's worth your time, but save the beer for the second viewing.  ""Sugarhigh"" is awesome- Well done, Gina!  Hot voice....  Oh, and Damn the Man!  9 out of 10."
"po5mrk","10","60","83","11 August 2001"," Perfect...Well, not quite Perfect
","For me, Empire Records is a very conflicting movie.  On the one hand, it's hysterically funny.  On the other hand, it attempts to make great revelations about America's youth.  Somehow, though, it all works!  Sure, there are some ""sappy"" predictable parts that you're not sure whether to laugh or cry at, but the timing of these scenes is fantastic.  One thing that really struck me about this film is the amazing use of music.  Certain songs can be heard repeatedly throughout the movie which really help to distinguish parallel story lines.  All in all, I think it's great."
"hitchcockthelegend","8","20","25","2 May 2011"," I do not regret the things I've done, but those I did not do.
","Empire Records is directed by Allan Moyle and written by Carol Heikkinen. It stars, Anthony LaPaglia, Maxwell Caulfield, Debi Mazar, Johnny Whitworth, Liv Tyler, Renée Zellweger, Rory Cochrane, Robin Tunney & Ethan Embry. Plot centre's on one day at independent record store Empire Records. With the store under imminent threat of a take over by a corporate chain, this is no ordinary day. For on the day that the store will be visited by a fading pop star, they are forced to confront their personal issues, and maybe, just maybe, learn something about the people they work with.<br/><br/>The film was a box office failure and was met with mostly negative reviews from the professional critics. Coming as it does from the director of critical/cult darling Pump Up the Volume, many were expecting a better and more hard edged picture than what they got. It also had to compete with certain 80's favourites brought to the cinematic world by John Hughes. While coming fast on the heels of the immensely popular Clerks (94) didn't help its cause either. Was it a case of bad timing? Is the film really just poor? And or, as mooted at the time: a career killer for those involved? Personally I think it's a film that needs revisiting now some 15 odd years after its release. In fact time has actually been kind to it and it now appears to have a good solid cult following. So unless you are judging it against the superior, record shop set, High Fidelity, you may find it's a film that's hard to dislike.<br/><br/>Some of the complaints against it are fair, with the main one about it not having fully developed characters being as true as day is a day. While calling it one long stitched together music video has some substance when taking it at face value. Yet what is there is worthy of a second glance, they are interesting characters, and their respective hang-ups and pressures are evident enough for us to hang our hats on; even if it's set up to be accompanied by still more hipster indie rock music. There's also been much guff written about the film as regards calling it a teen angst film. Yes it is, but have these reviewers forgotten about the adults in the movie? LaPaglia's store owner, the father figure, trying to remain cool as his charges come under threat. Or Mazar, needing a wake up call from her job/career ignorance; and the big one, the delightful Caulfield (splendid bit of casting) as fading pop singer Rex Manning, imposter? Indeed. It's all relative as to why Empire Records deserves more than a once only viewing. As for the music, it does indeed rock, with each track carefully selected to be at one with the scene it accompanies. My favourite? AC/DC-If You Want Blood, a ball busting track for a vibrant and kicking scene.<br/><br/>As for it being a career killing movie? The ladies of the piece have done rather well for themselves, Zellweger, Tunney and Tyler have made their marks in the industry, while Mazar has never been without work prior or post Empire Records. The guys haven't hit the heights of Zellweger and Tyler, which in the case of the excellent Rory Cochrane is not only a surprise, but also sad. Cochrane's Lucas is the key character and the glue in the middle of it all, always on hand with a dry quip or some philosophy, he's also supremely cool. Cochrane can be seen in serious mode leading 2006 thriller Right at Your Door. LaPaglia has always worked since 95, playing a number of different supporting characters, and Embry has appeared in big release's such as Vacancy and Eagle Eye. Caulfield has turned into the go to guy for TV shows and Whitworth, who quit acting for a while, pops up from time to time in minor roles such as in 3:10 To Yuma and The Rainmaker. So, not a career killer then.<br/><br/>Stick it to the Man, Baby, Empire Records is a vibrant and funny movie. 7.5/10"
"AvidClimber","7","8","9","6 February 2013"," Empire Records — Mostly marginal kids working in a record shop as solace
","Empire Records is funny and slightly offbeat teen movie. A well built one, which each quirky character having a well defined personality, a set of problems, and realistic interactions with each other. Their personas all ring solidly true, each with deep emotional affects. However, not everybody will see themselves represented here, it is but a thin slice of society.<br/><br/>The music is good, the dialogs are interesting just like the story, and it keeps an overall positive tone, although it does talk about some serious issues. It touches each subjects lightly, and keep the focus on the what is happening, on the development of the situation.<br/><br/>You will be entertained, if you're looking for a good adolescent flick."
"mifamily6","10","54","83","1 March 2004"," One of my modern favorites. Wait... THE favorite.
","This movie is awesome.  The best thing is the music.  Excellent.  It's the greatest collection of songs put into a movie.  Even better than Pulp Fiction.  There should be a BEST COMPILATION Oscar given to a music supervisor.  That's hard but in this kick-ass movie, it seems so effortless. The acting is also top-notch.  Renee Zellweger, Liv Tyler, Anthony LaPaglia, Robin Tunney, Johnny Whitworth, Max Caulfield, Debi Mazur, and Rory Cochrane, one of the coolest people alive.  The script is really good. Directing, also good.  Everything was pretty invisible, and I absolutely mean that in a positive way.  Just like in the old days, when it was invisible, they put you in the movie.  I felt like I was with these characters the whole way.  The new ""Remix!  Special Fan Edition"" is probably better.  I can't decide.  They're both superb.<br/><br/>10/10"
"lilcutie18613","9","27","39","27 July 2005"," Empire Records
","This movie follows the stories of many people who work at Empire Records, a music store on the brink of closing. All the characters are memorable, even the boy who steals a CD and is caught and hit by the door of a car. The drama, comedy, and music work well together all around.<br/><br/>Liv Tyler really impressed me in her role. She was very convincing as an intelligent young lady on her way to Harvard. All the actors were great in their roles and I can't imagine anyone else taking their places. And the soundtrack is AWESOME!!!!! :) All-in-all a cute film that you can watch again and again."
"Johnny_Depp_Forever","8","31","46","7 July 2003"," Great movie, a sign of it's time
","I love this movie very much. I don't own a lot of movies but this is one that I do. Like any film, it has it's problems but in general it is great. The film was well casted, each actor fit and made the best of his or her role. Maxwell Caulfield played Rex Manning, the character you love to hate. Anthony LaPaglia played Joe who was one of the best managers that you could work for. The actor's attitude toward his role was very well displayed. Rory Cochrane played Lucas, who is my favorite character in this movie. Then there is Johnny Whitworth, now everybody sort of disinclueds him or doesn't like him but I think that he did a good job as AJ, I could not see anyone else there, maybe someone could have done a better job but he did well. The rest of the cast was fantastic. The plot of the film was a little non existent, it's more like a series of events that just go one after the other with no really flow. Anyways, take the movie for what it is: teenagers working at a record store, dealing with life issues with good music playing in the background. This is a great film."
"CyX","Null","27","40","3 May 2001"," Happy Days
","This is a films that you can easily watch over and over again and not get sick of. If you are a teenager and havent seen this.. where have you been. Go rent this baby today. This film reminds me of my days working in a certian franchise doing little as possible and slacking off at any time possible. AHHH those where the days..... The acting overall is quite good and along with the pumping soundtrack makes this a joy to watch. GO GET THIS NOW!!!"
"jleroy013","10","25","40","22 January 2006"," Great movie!
","I had heard a lot about this movie, that it was one of those really great but under-appreciated 90's movies, so I decided to watch it. It is now one of my favorite movies and I'm really glad that I saw it. Every actor does a great job - they make you feel like you've known them forever and you really go through the troubles that they are going through. I especially liked Ethan Embry as Mark and Johnny Whitworth as A.J. I was really surprised with how well Liv Tyler acted the part. The characters themselves are really relate able, and made me want to work at that store so badly. Also, it had one of the best soundtracks I have ever heard. I loved how they incorporated the music into each scene - it was part of what was going on, not just background noise. Overall, this was a really great movie - ***** out of 5."
