"username","rating","helpful","total","date","title","review"
"topz-1","10","146","153","20 February 2010"," An insight into the humanity of the inhumane
","Before I start reviewing, let me say something personal: As a German, one can hardly watch movies about the Holocaust, WWII or any related topic unbiased. As I have discovered myself, no German family is without a history related to the Third Reich, almost none are without grave guilt, or at least the fear thereof, and most who say otherwise either lie knowingly, or simply try to evade further inquiry. <br/><br/>Reading some of the other reviews, I realized that for me, the movie conveyed something slightly, but decisively different: It is not so much about understanding HOW people could ever do the things they did, but rather how it is possible, that people we love, and people that have been loved by people we love could be so guilty and so loving, so despicable and lovable at the same time. It is about how we expect the guilt to show up somehow, how we expect to know the killer, the monster, at first sight and say: how could anyone not have seen it? Yet we have to admit sooner or later, that we were wrong, or were we? The question really is: How could I have ever loved someone who did things as horrible and disgusting as Hannah did? And just as much: If I am unmerciful now, having learned of their guilt, is it because they did what they did, or because they disappointed my own belief in their innocence?<br/><br/>At one point, Hanna Schmitz asks the judge: ""What would you have done?"", and I think that therein lies an even more disturbing and unsettling question: What would I have done? What would you have done? How can anyone know for sure what WE would done? It is too easy to think of oneself as morally sound, with a firm belief in what is right and wrong. It's what Germans call the ""mercy of late birth"" - the luxury of not having been in the position to make that choice. <br/><br/>So, what made this movie worth giving the full 10 points out of 10? It is well-crafted, well-played, believable, at times even beautiful. It captures both the fascination Michael feels with Hannah, and his disbelief, even disgust while exploring the ugly truth about her past. It conveys the struggle between our compassion and the reluctance to show mercy against the ones who did not. It leaves the viewer with the same, disturbing questions that have not been answered sufficiently in the past 60 years (nor will they ever be). It does not provide simple answers, but rather raises more questions, left to be unanswered. As Lena Olin's Character says: ""If you want Catharsis, go to the theater!""<br/><br/>Other than providing beautiful, well-toned cinematography, a well-written script, love of detail and convincing performances even by the supporting cast - what more can you expect from a truly great movie?"
"ccthemovieman-1","9","123","135","3 May 2009"," Winslet Impressive In This Two-Movies-In-One Story
","Kate Winslet is just outstanding in this very interesting film that is almost two stories-in-one. The first part is a sexual story of an older woman having affairs with a teenage boy and the second part is her war crimes tale and what happens afterward. The first is a somewhat happy jaunt of a short story and the second is a very serious and depressing story. That's where Winslet really shines. Obviously, she's developed into an an outstanding actress.<br/><br/>The second part is what most people, I assume, will remember about this film. Can ""Hanna Schmitz,"" a Nazi employee (so to speak), who was part of concentration camps, be a sympathetic character? To me, that's what it looked like that's the question the story was asking. The answer may have come in the final minutes of the movie when her ex-lover ""Michael Berg,"" now grown up and played by Ralph Fiennes, confronts a survivor of the camp. That, too, was very intense and interesting scene. Lena Olin is riveting as ""Rose/Illana Mather."" <br/><br/>""The Reader"" was full of quiet, but intense scenes. This is a very thought-provoking film, especially for one that doesn't start off that way but look almost like some soft-porn flick to get our attention. It is anything but that.<br/><br/>For Germans, this film must bring out many emotions and thoughts. Guilt and forgiveness are just two of the issues that are dealt with in this unique film. ""Hanna Schmitz"" turns out to be an incredibly simple-yet-complex person, unlike any I've encountered on film in a long time. You see her in all kinds of light, both good and bad.<br/><br/>Kudos, too, to David Kross' acting as the young Michael Berg. It must be strange for someone his age (barely turned 18) to do the scenes he did with 30-something Winslet.<br/><br/>Overall, a very different and excellent film that stays with you and makes you ponder its main characters."
"The_Film_Addict","10","459","535","8 January 2009"," The Reader is a brilliant, sexually charged, and oddly heartbreaking tale about the complexity of human morality and the lifelong repercussions that result from our actions.
","There's an urgency in human nature to understand. When it comes to the Holocaust, history's bleak, unsettling period, it doesn't matter what book you've read, film you've seen or account you've heard; in the end, your response it halted by its incomprehensible conclusion. How could humanity course its way towards such a violent, destructive path? How could people knowingly send men, women, and children to their impending doom? Most puzzling, how could the world allow it? Even though its been 63 years since the blood-drenched annals of World War II, its aftermath today is still bone chilling.<br/><br/>After a six year celluloid dry spell, Stephen Daldry returns to the director's chair in a brilliant, sexually charged, and oddly heartbreaking tale about the complexity of human morality and the lifelong repercussions that result from our actions. Adapted from Bernhard Schlink's best-selling German novel, ""The Reader,"" Daldry's visual translation is a powerful, emotionally absorbing film that is one of the year's best. It's superbly crafted.<br/><br/>With World War II over, Germany, in 1958, is still recovering. Deep within Heidelberg, Germany, Michael (David Kross), a young pubescent teenager haven fallen ill, is comforted by Hanna (Kate Winslet), a hard working woman who is twice his age. Taken by her generosity, Michael revisits Hanna to offer his gratitude. What begins as an awkward reunion escalates into a seductive, forbidden affair that intensifies when Michael begins reading to the distant, empty Hanna, who is deeply awakened by Michael's spoken literature. Too young to understand love's complicated implications, Michael is emotionally devastated when Hanna suddenly disappears. Nearly a decade later, unable to forget his passionate summer while studying law, he attends a Nazi trail, and to his dismay, hears Hanna's distant voice.<br/><br/>""The Reader"" is a complex film; maybe a little too complex for some. Though the film pertains to Nazism and the ""sins of our fathers,"" in essence, ""The Reader"" is a film that reflects the emotions inside all of us. During a lecture, Michael's professor comments, ""Societies like to think they operate on morality but they don't."" In this cynical age, how far from reality is that statement? During Hanna's trial, she's questioned why she participated in the Nazi party's horrendous war crimes, broken she replies, ""It was my job."" Oddly enough, that seems to be the justification most people use. Surprisingly, though, ""The Reader"" isn't about her exposure as a war criminal, but an exposure on an individual who took the wrong path. She's not a bad person; she's simply made wrong choices. However, when it comes to having involvement in the Nazi's liquidation of the Jews, how ""wrong"" can you get? ""You ask us to think like lawyers,"" cries on student, ""what are we trying to do?"" A distraught Michael replies, ""We are trying to understand!"" But, just who exactly is trying to grasp a deeper understanding: the court or Michael? How can Hanna's past be forgiven? Director Stephen Daldry brings the much needed emotional layer that a character such as Hanna Schmitz desperately needs. Although her actions are beyond unforgivable, strangely, we sympathize with her. Maybe it's her other shameful secret. Maybe it's superb character development.<br/><br/>""The Reader"" is a film that is driven by it's raw performances. In one of her finest hours, Kate Winslet gives the performance of a lifetime. It's a haunting and heart-breaking. David Kross, who's only 18, is impressive as the teenager with raging hormones; it's such a daring performance. Winselt and Kross bring this picture together. Their performances are jaw-droppingly brilliant. Completing the role of Michael, as the tortured grown man, is Ralph Fiennes, who balances Michael's despair through his melancholic emotion when he encounters a grown Jewish woman, played by Lena Olin, who was also at Hanna's trail. Although her scenes clock in less than 10 minutes, Olin, too, is breathtaking.<br/><br/>When ""The Reader's"" credits rolled, I sat quietly shaken by what I had witnessed. It's a film that is impossible to forget. When a grown Michael asks Hanna, ""Have you spent much time thinking about the past?"" Heartbroken, she replies, ""It doesn't matter what I think. It doesn't matter what I feel. The dead are still dead."" She's right."
"Michael Fargo","10","312","368","4 January 2009"," A victim's guilt
","The film is a series of profound moral dilemmaswhile contrived by the author, they are fair questionsthat resonate deeply in the 21st Century: The role of guilt in victims, perpetrators, individuals and collectively, as well as justice, forgiveness, redemption, shame and, of course, literacy and its role in Western thought.<br/><br/>All this is a pretty heady mix for a film, but Stephen Daldry (as with ""The Hours"" ) makes literary conceit play very naturally here. David Hare's screenplay and the remarkable cinematography of the always remarkable Roger Deakins together with a sensitive score by Nico Muhly, this is indeed rarefied film-making. <br/><br/>But the actors are what drag the audience into this story. David Kross is amazing as the young Michael who has to play a range of virginal innocent to wizened and bitter. It's the key role in the film, and we're all lucky he was found to play this role. And the ever confounding Kate Winslet. What an amazing career for this young actress! Running through a list of her credits, she has some of the best performances of the last decade: ""Holy Smoke,"" ""Eternal Sunshine,"" ""Iris,"" ""Finding Neverland,"" ""Little Children."" But here she does something very different. Playing what amounts to a monster, we see that they too are human. Not many actresses could bring this off, but it may be her greatest accomplishment to date. <br/><br/>Ralph Fiennes brings a continuity to the work David Kross begins, and there's a brief appearance by Lena Olin who commands the dignity the role deserves. <br/><br/>I'm puzzled at the lukewarm reception to this film. I almost missed seeing it. And it turned out to be one of my favorite and the most heart-rending films of the year. All involved should be very proud."
"jaredmobarak","7","16","16","24 January 2009"," Only one thing can make a soul completeand that one thing is love  The Reader
","What is guilt? I believe this is the central question behind Stephen Daldry's new film The Reader. Based on the novel by Bernhard Schlink, the story asks its audience what a true monster is. If you know a secret, one that could exonerate someone from being found guilty of murder, should you help her even though you know she's accepted her guilt despite being unable to stop it? What if that person was someone you loved? There is some heavy material thrown about in the second half of this film, emotions run high and people must make decisions concerning some very dire situations. One thing is for sure, though, once that decision is made, no matter which side of the fence you fall on, some shred of guilt, some feeling of remorse, is inevitably going to follow you around for the rest of your life. This is what we call being human, because as Bruno Ganz's Professor Rohl says, ""our justice is governed by laws, not morals."" It doesn't matter whether something was right or wrong, it's whether it was legal or illegal. Unfortunately our souls don't work that way.<br/><br/>As said, these moral quandaries crop up in the brilliantly paced and constructed second half of the film. The power involved in the characters' actions all weigh heavy on those they touch. Perhaps the weight would not feel as palpable without the events of the first act, but either way, that portion of the film is too light and innocuous. We learn about young Michael Berg's, (a wonderful turn by David Kross, who is the true star of the film), affair with an older woman named Hanna Schmitz. This woman is very troubled and in a state of constant flux where her emotions are concerned. She loves Berg, but can never quite allow herself to fully commit to that feeling, her past continuously nagging at the back of her head, remembering what it was she used to do with those who read to her. Kate Winslet's performance as Hanna is quite good, but like the film itself, doesn't come into its own until the second act, when all the secrets finally become uncovered.<br/><br/>It is a good beginning, the unabashed love of a young 15 year old and his first sexual partner. He becomes her orator of stories and partner in romance, but they both know it could never last. School would be commencing and Berg would see the young girls his age, ever comparing them to Hanna, and her manifesting his feelings with her own jealousy, knowing that she must let him go  this time sending herself away rather than those she ""befriended"" of her past, those she sent off to whatever fate awaited them. Whether this violation became so deeply rooted in the boy, I'm not sure, but when he goes off to law school and crosses paths with his first love again, this time as she awaits charges of Nazi war crimes, he is torn on what is morally correct. It becomes his obligation to let the truth come out, despite the activities she partook in during the Holocaust. According to the law, he must divulge the information for justice, but his moral compass may not be able to do so.<br/><br/>The story truly is wonderfully acted and directed, pulling at the audience's emotions and engaging them throughout. However, while the second half is the most intriguing and resonant, it also contains the one activity that I found abhorrent. Now older, Michael Berg is played by Ralph Fiennes, a lawyer, recently divorced and with a daughter. His journey back home, to his mother that has all but given up on him as a distant figure unable to open up to those that love him, becomes one of returning memories. Discovering the books he once read to Hanna almost two decades earlier, the guilt of what he didn't do makes him set upon a mission to right that wrong. But the way in which he does so is really quite wrong to me. He seems to condemn her for what she did still and only creates cassettes of stories to send her to assuage his own selfish need for forgiveness. He never appears to care about her, because if he did, he would have made different choices in that courtroom years before. Berg shows the selfishness that followed him the entire story and really got me thinking that maybe he was a worse human being than Hanna. It's an interesting dynamic to be sure, one that subverts the somewhat ""touching"" conclusion the filmmakers seem to want to attempt.<br/><br/>The Reader is an interesting look at German guilt and the people's need to place blame on others for the Holocaust in order to somehow absolve their own indifference of doing nothing when they themselves knew what was going on. One of Berg's classmates gets the whole issue correct in a little tirade about the absurdity of the trial. Here they all were, guilty themselves of knowing what went on in the thousands of camps, yet putting on trial only six women because a survivor, (interesting to see Lena Olin play a mother and daughterthe beauty of a film spanning decades), wrote a book fingering them. Just as Germany needed to place blame, so did Michael Berg. Rather than put it on his own shoulders though, like Hanna eventually selflessly does, he decides to side with the masses, sitting back silently and then trying in earnest to deal with his eventual guilt, not to apologize to the person he let down, but to somehow forgive himself. It is quite the despicable act and I'm not sure if that was the filmmakers' intent, however, that is the lasting impression it left on me."
"hopek-1","10","206","243","9 January 2009"," A thoughtful and plausible examination of guilt.
","Very well acted and presented and a faithful representation of the main points of the novel on which it is based. This film encourages us to look closely at very difficult issues surrounding the atrocities of World War II. I am at a loss to understand why so many critics have been so damning of it. Perhaps it is too subtle for them to understand. It seeks to outlaw the false and intellectually lazy theory to explain the holocaust, namely that the horrors were committed by monsters. In its place we are offered contextualization, not as excuse but as explanation of how quite ordinary people were able to do extraordinarily dreadful things. We avoid these uncomfortable facts at our peril."
"Smells_Like_Cheese","10","96","111","17 June 2009"," Never underestimate the power of guilt
","Kate Winslet, I absolutely adore her, she's my favorite actress of all time. I still can't believe that she hadn't won an Oscar, her first nomination was in 1995 with Sense and Sensibility. Finally after 14 long years, she finally won the coveted award with the movie The Reader. I finally was able to see this movie the other day and it blew me away, I'm still debating if this really was my favorite Kate Winslet performance, but once again with a strong cast telling a powerful story, The Reader was definitely one of the best films out of 2008. So many holocaust films have been made, it's hard to make another that stands out, but we really haven't had a story where the Nazi guards were on trial. A lot of people debate if this movie is trying too hard to push sympathy on Kate Winslet's character, but my love for this film is to just show that they were human as well, hard to believe, but that our mothers, sisters, friends, whoever could have done something so shameful.<br/><br/>Michael Berg in 1995 Berlin watches an S-Bahn pass by, flashing back to a tram in 1958 Neustadt. A teenage Michael gets off because he is feeling sick and wanders around the streets afterwards, finally pausing in the entryway of a nearby apartment building where he vomits. Hanna Schmitz, the tram conductor, comes in and assists him in returning home. The 36 year old Hanna seduces and begins an affair with the 15 year old boy. During their liaisons, at her apartment, he reads to her literary works he is studying. After a bicycling trip, Hanna learns she is being promoted to a clerical job at the tram company. She abruptly moves without leaving a trace. The adult Michael, a lawyer, at Heidelberg University law school in 1966. As part of a special seminar taught by Professor Rohl, a camp survivor, he observes a trial of several women who were accused of letting 300 Jewish women die in a burning church when they were SS guards on the death march following the 1944 evacuation of Auschwitz. Hanna is one of the defendants. Stunned, Michael visits a former camp himself. The trial divides the seminar, with one student angrily saying there is nothing to be learned from it other than that evil acts occurred and that the older generation of Germans should kill themselves for their failure to act then. But Michael is conflicted on what to do, if to speak out on Hannah's behalf on some of her innocence in the murders or keep quiet. <br/><br/>This is one of the most powerful movies I have ever seen, it was so incredible and just heart breaking. One of the things I respected about the film was the way they handled the awkward ""love story"" between Michael and Hannah, she's older, he's younger, but it's not even a perverted thing, so strange to say that. I don't know how to put it exactly, but their connection was real and in some sense they both needed each other. If you have the chance to see this movie, I seriously suggest that you take it, the powerful performances really make this film captivating. The story is so heart wrenching and painful, but was told so well. Kate now finally has the award she's deserved for so long and pulls in a terrific performance with The Reader.<br/><br/>10/10"
"Buddy-51","9","17","18","23 May 2009"," Powerful Holocaust drama
","Like all works of art that endeavor to ""illuminate"" the Holocaust, ""The Reader"" ultimately finds itself looking for answers where none can be found. Yet, the beauty of the film is that it seems to acknowledge the impossibility of its task. Thus, rather than trying to resolve all the issues it raises, the movie simply lays them out before us, trusting that, in the final analysis, we will be able to come to our own conclusions about what, if anything, it all ""means.""<br/><br/>Though it is set in a number of different time periods, the story proper begins in 1958, when a 15-year-old German boy by the name of Michael Berg is seduced by a 38-year-old woman named Hanna Schmitz. For a summer, the two carry on a secret, illicit affair, wherein the woman introduces the boy to the joys of physical love, while he reciprocates by reading the classics to her between bouts of passionate lovemaking. Flash forward to 1966 when Michael, now a university law student, discovers, much to his horror, that this very same Hanna who meant so much to him in his youth is actually a former concentration camp guard currently standing trial for war crimes. The story goes even further ahead in time as a now middle-aged Michael keeps up the relationship by sending his personalized recordings of books to Hanna as she serves out her time in prison.<br/><br/>There has been some criticism leveled against the film that it aims to cast a Nazi mass murderer in a ""sympathetic"" light. Yet, what ultimately comes across in the story is not how ""likable"" a person Hanna is but how sadly tragic. Like all fine drama, ""The Reader"" goes beyond the two-dimensional stereotypes of heroes and villains to examine the complexity of human relationships and the messiness of the human condition. The movie keeps us emotionally off-balance throughout. Even in the early stages of the courtship, we are torn between our attraction to the characters as individuals and our revulsion at the difference in their ages. Hanna is particularly enigmatic as she embraces a child two decades her junior yet seems to find some strange fulfillment in him that goes beyond the obvious physicality of their relationship. Despite the touchy nature of these scenes, we get a feel for what brings these two very different characters together at this particular moment in time.<br/><br/>As the story moves on, the screenplay confronts many of the thornier issues surrounding what exactly happened in Germany in the middle of the Twentieth Century, questioning how so many ""average"" people could, at best, have turned a blind eye to the events that were occurring, and, at worst, have allowed themselves to become complicit in the mass atrocities. There's a beautifully incisive scene in which a young law student confronts his professor, demanding to know how the man has been able to live with himself for all these years, knowing that he did not do everything within his power to try and stop what was happening. In that brief, shining moment, we get a sense of what it must have been like for the people in Germany in the decades following the war when so many, Hanna included, simply turned their backs on the past in an effort to move on with their lives.<br/><br/>Perhaps the most complex character in the story is Michael, who, as he ages and learns more and more hidden truths about his first love, must come to terms with the fact that the woman he thought he knew on the most intimate of terms may, in fact, be an unrepentant mass murderer. Yet, love is not something that can be turned on and off at will, and it takes Michael decades to figure out just how best to deal with the moral dilemma raging in the very depths of his soul.<br/><br/>Michael is played first by David Kross in the period from 1958 to 1966, and then by Ralph Fiennes in the time thereafter. Both are superb, with Kross, in particular, delivering a performance of such delicacy and sensitivity that he sets the groundwork for what Fiennes is called on to do later in the film. And, of course, Kate Winslet, in the role that won her an Oscar, demonstrates yet again why she is one of the screen's great actresses.<br/><br/>Kudos must also go to screenwriter David Hare, who has adapted Bernhard Schlink's complexly structured novel with integrity and taste, and to director Stephen Daldry and cinematographers Chris Menges and Roger Deakins for the sumptuous look they have achieved with the film. Together, these fine artists have created a work that challenges the intellect and roils the emotions."
"alexkolokotronis","10","183","240","28 January 2009"," About As Unbiased and Objective As Any Form Of A Medium Can Get
","The Reader is one of my favorite movies from the year 2008. It is incredibly complex in the way you react to the characters of the movie. It carries many emotions from sensuality to anger all the way back to that of sympathy and resolution. Many moves advertise themselves as unbiased and fair but nothing gets close to that like The Reader which is able to build sympathy for a character you would never think you could feel towards.<br/><br/>The acting in the movie was phenomenal. Especially that of Kate Winslet who draws out many emotions from whoever is watching. She plays an ex-Nazi guard who has an affair with a 16 year old boy played very well by David Kross. Her bitter, cold attitude, random behavior as well as her past history seems unjustifiable and deplorable. Yet you can do nothing more than feel empathy and compassion towards the shame and humiliation she feels about her one well kept secret. In the course of her affair she ask for one thing, to be read to. From this do you see the humanity within her. Ralph Fiennes also gave quite a nice performance as an older Michael Berg who looks back on his life and then later finds a way to open himself up through his time of self reflection and sudden realizations towards life. David Kross plays the younger Michael Berg whose performance was undoubtedly a very good one, maintaining his presence in not letting himself being totally overshadowed. Overall the performances are very deep and will keep you thinking long after you have seen the movie.<br/><br/>The directing and writing also was very key to the emotions felt in this movie. Every scene had to be done precisely and consistently to feel genuinely touched rather than feeling falsely drawn in. Stephen Daldry did that under his great subtle direction. The writing by David Hare allowed actors such as Ralph Fiennes, David Kross and of course Kate Winslet to give such stunning and deep performances and take the film to another level.<br/><br/>I found this movie to be very compelling in many ways. The emotions felt here were not cheap gimmicks but that of feeling true sympathy and forgiveness towards what we would normally describe as something wrong, shameful and reprehensible. I can't remember another film that made me feel these emotions for a character especially after learning one startling secret after another. This film succeeded in ways that almost movie would likely fail in, it did not come off as generous or light but as remarkably fair as a film or any type of medium can get shedding light on both sides of the spectrum. This is a film that is amazingly thought provoking and will bring out the humanity within all of us and should not be missed."
"catmmo","9","14","15","15 May 2009"," A Good Film
","I read the book this movie is based on about 10 years ago, and as I watched the movie, it came back to me. I am not a Nazi sympathizer - very much NOT so - but at one point during the trials when Kate Winslet's character (Hanna) asks the judge, ""what would you have done"" kind of sums it up a lot. By reading the book beforehand, there is a lot more insight that perhaps the movie doesn't clearly give. From the beginning in the book it seems obvious that Hanna is illiterate and so later she on more apparent that she could never have possibly written the reports she was accused of. <br/><br/>Why she allowed it to happen that she got put in prison, one does not really know. Was it to help with the guilt she felt for what she knew she had done even if she did not write the reports? <br/><br/>Whether this story is really true or not, it's an interesting look on the other side to the Holocaust. Hitler did not just enact a huge amount of genocide, he also brainwashed even his own to a certain *ideal* and it was an obey or be killed. Orwell's 1984 is a fantasized yet so true of this way of thinking. <br/><br/>Please read the literature and books and everything you can find on the Holocaust. The brilliant minds we lost during that time will never be recovered."
