"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","109","124","30 October 2015"," The best vampire slaying movie ever my number one favorite Blade film
","Blade (1998) is the best action/horror vampire slaying movie ever made! I always have enjoyed watching Blade. My number one favorite Blade film I love this film to death. It is one of the best action sci-fi films of all time. Wesley Snipes best role till it's days ever! No one can play Blade like Wesley Snipes did! Blade is not an origin story, but it is a real world of darkness. Blade is just so bad and anti-hero which is perfect for the world he drives in. It is my favorite comic book Vampire movie. I love this film, I love the action and I love everything in it! I love Wesley Snipes and Kris Kris Kristofferson so much they have such a chemistry between each other. Wesley Snipes Kicks ass!!!!! This is the most super hero Vampire slayer film ever made! <br/><br/> It is been so long since I last watch this film. I kept watching it 11.year ago in 2004 when Blade: Trinity was been released I kept watching Blade 1 and 2 on my CD on my computer and on VHS tape that I had this film. Blade of trilogy was the only film I owned on VHS I did not owned Blade II or Blade: Trinity at that time, but I have now the whole trilogy on Blu-ray. The best dang vampire slaying movie ever (say that fast five times)! Its funny too, it shows him killing a bunch of vampires but then regular people are thinking that he is killing humans! I watch this film as a child and all the blood in it and the violence made me crunch. I grew up with this film, 11.years ago kept constantly watching this film over and over, till it's days it is my favorite best Vampire flick. Blood and the crunch in this movie is AWESOME!! Just awesome! <br/><br/>So In this movie Blade is a half human, half vampire, hybrid he protects the human race from other vampires and in this movie he has to stop Deacon Frost (Stephen Dorff). Deacon Frost wants to resurrect the blood god ""La Magra"", And he needs Blade's blood and he needs 12 volunteers. So that he can walk in the sunlight and declares extinction to human race. Blade is humanity's last hope!Wesley Snipes plays a half-mortal, half-immortal charged with ridding the earth of a race of vampires led by Stephen Dorff in this action-packed blockbuster.<br/><br/>This movie right here oh my god! is this movie AWESOME! Watching this as kid you really don't know much, other that Wesley Snipes is a Bad Ass!!!! But now when you are older you can really know how much of a bad ass Blade really was and he does making a point! Wesley Snipes is AWESOME! Yes awesome!<br/><br/>So yea... Wesley Snipes does a good job in this movie, everyone does a great job in this movie, so far, even Donal Logue as Quinn with a long hair and beard hi did a wonderful job. Stephen Dorff is actually pretty good, I haven't really seen much of Stephen Dorff's work yet, I'm pretty sure he is not even around today, I am not sure what happened today, I'm not sure if he just drop off the map or if he just quit acting all together, but yea. You would never guess this was MARVEL movie because MARVEL's name was nowhere near this property so far. So that was kind a odd to see this choice but yea, we all knew who he is anyways, so that become kind a cool, and yea violence, blood, the gore amazingly AWESOME!!!!! Yea, I brought the word amazingly back. It is crazy, over the top, sword fights, knives throwing's, all this wrapped in the one and you get that final fight between him and Deacon, dang that is good time! That is good awesome times you know. And it is just nothing like that right now and I am hoping that we get another sequel to Blade: Trinity. The actress Arly Jover who played Mercury, Deacon Frost's girlfriend was so sexy and hot and she is so awesome with her hair and changing her hair styles for 11.years I was confused with a thought that Deacon's girlfriend was played by Traci Lords because she is blonde. It took me so long to figure it that out, that it was Arly Jover played Deacon's girlfriend and not Tracy Lords. <br/><br/>What I like about the character Blade are his gadjets, the sharp ones in particular and his outfit and style! Bottom of line It is my favorite best film still I think Blade II is a little better than Blade, but I still love the trilogy. Movies like this don't exist today. The rating I give to Blade is 10/10"
"customX13","9","104","121","20 April 2003"," The way a comic book flick should be made
","I didn't see this movie until it appeared on television because I was doubtful about comic flicks. Ever since the ""Batman"" series, ""Spawn,"" ""Judge Dredd,"" and many other pitiful p.g.-13 bombs, I dodged everything at all cost. I would question in my mind, ""why can't someone make a movie that is rated R and stays true to the story, how difficult is that?"" And finally my prayers have been answered with Blade. This movie pops right out of the pages onto the screen with sheer violence, blood, martial arts, weapons, fire, the good against evil, etc. Yeah sure a lot of action flicks contain all these goodies, and most of them have bombed. But not Blade, the movie was filmed just right, not going overboard, delivering a good length and never a dull moment. Blade II is cool, but not as cool as the first. Blade is indeed one of the best real comic flicks I've seen in a long time."
"MinorityReporter","7","43","52","15 October 2005"," Very stylish and entertaining!
","It seems to me that a lot of people don't know that Blade is actually a superhero movie on par with X-Men, Daredevil, Punisher and the likes. What all these heroes (and in the case of X-Men hero group) have in common is that they were all conceived in the magical world of Marvel. Blade was originally a normal person (in a blue outfit) who chased vampires because of a personal grudge and eventually facing of with Dracula himself and he was for lack of a better word boring. So boring in fact that the character was shelved and in fact never used in the Marvel universe. At least until he was reinvented.<br/><br/>David Goyer did a stroke of genius when he took the character of Blade and turned him into a leather clad dark knight. He can't take all the credit though and much of this must go to Stephen Norrington as well who with his distinct visual style brings out the best of the character. The Blade character (Wesley Snipes) is pretty amazing in this film and mixes martial arts with Batman like darkness. Snipes is pretty good as the title character and is successful in bringing out the duality and inner demons of the character. He is, however, a pretty rigid actor both in voice and in posture and is only interesting enough for one film (which is clearly seen from the inferior sequels). Kris Kristofferson is good as well and really brings the tormented character of Whistler to life with energy and sense of timing. N'Bushe Wright, however, is fairly weak as a leading lady making her character relatively flat and lifeless. Donal Logue is pretty funny and manages to do a lot with a minor character. German, Udo Kier, should also be mentioned as he brings a lot of finesse and style to the vampire race, probably born of his experiences from playing Dracula. Stephen Dorf provides the best acting in the film and his chilling performance as Deacon Frost stands as one of the best screen villains I have perhaps ever seen.<br/><br/>The story is good and, I feel, renews the vampire genre (something that hasn't been done since Robert Rodrigues' From Dusk Till Dawn) by adding a lot of contemporary elements and maintaining the comic book feel. By saying that the film has a comic book feel does not mean that the film is unrealistic. Far from it. A lot of effort has been put in trying to make the film seem as real as possible. Including the effects which are pretty good for their time. I found the vampire ""dustings"" to be a very nice touch. In stead of adding a lot of blood when a vampire dies Norrington chose to let the vampires spontaneously com-bust which looks great. The fact that the overall effects were well done adds to the credibility of the film which would otherwise have fallen flat on its face.<br/><br/>As previously stated Norrington has a very distinct visual style that sets him apart from the directors of the following Blade movies. Del Toro is nearly as skilled but I prefer Norrington's style. His style gives the film a very special look and feel but most importantly it gives the film atmosphere. A very tense dark atmosphere which works great in tune with the main character and story. Along with the visual style the music which also works fine and adds a lot to the atmosphere of the movie.<br/><br/>All in all Blade is a very entertaining movie that should probably have had an 8 from me but a few annoying flaws (which cannot be revealed without spoiling the movie, suffice to say, many of them are located near the ending of the film) does that the film must settle with a high 7.<br/><br/>7/10"
"mjw2305","8","39","47","24 December 2006"," Great Vampire Flick
","Wesley Snipes is perfectly cast as Blade, a half human, half vampire known the daywalker. He has all their strengths and his only weakness is the thirst for blood. Since he teamed up with whistler (Kris Kristofferson) he has hunted down vampires who have lived amongst us unnoticed for centuries, but omnipotent overlord Deacon Frost (Stephen Dorff) is tired of living in harmony with the humans (Food as he calls them) and he plans to waken the blood god and take control of the world.<br/><br/>This movie is well cast, written and directed; ensuring the viewer has a thrilling ride from start to finish. Packed with great fight sequences and slick dialogue, Blade is certainly more action than horror, but it definitely delivers.<br/><br/>8/10"
"supertom-3","10","16","19","21 September 2001"," Style, Class and gallons of blood!!
","This film is superb! Wesley Snipes Plays Blade the vampire hunter with pure class, he kicks butt in such a fluid and violent way that would make Bruce Lee proud. The movie is a fast paced, thrill ride of action and superb stunts. The first action scene and last are outstanding and Wesley looks like a Terminator as he runs around wiping out all suck heads. The script is pretty good and there is sharp dialogue too. Wesley should have done more action films than he has, i know he is a very good actor and in this he is not streched as much as in his more comic or drama roles but as far as action stars go he is the best actor of them all, only Bruce Willis, Stallone and perhaps Tom Cruise (if he counts as an action star) come close. Also aswell as Wesley being quality, Steven Dorff is also very good as the bad guy. It was an unexpected surprise that someone of small stature compared to Snipes should come across as menacing, but he does. Overall the film is sharp, stylish and i hope the sequal is done with the same sort of pace."
"bob the moo","Null","33","44","20 January 2004"," Enjoyably stylish flick that gets the dark tone almost right
","Blade was only a foetus when his mother was attacked by vampires and left for dead.  When he is born he is born a half-breed.  As an adult he has been joined by Abraham Whistler, a vampire hunter, to fight the secret war against the vampire culture.  He hunts the impure-blood vampire Deacon Frost who plans to summon La Magra - the Blood God.<br/><br/>Now approaching it's second sequel, this film was a dark surprise to me as I didn't expect too much from it.  The plot sees Blade hunting a dangerous vampire seeing to unleash the power of La Magra and take vampires from their shadows into the real world; we also get a bit of back story as well. This plot gives all the best lines to the vampires and not enough good scenes with Blade himself.  I like Blade for the same reason as I like Batman - they are both messed up superheroes of a sort.  The film tells us how Blade was created but it doesn't delve deep enough for my tastes - only once or twice did I really get a feel for his cruel, darker nature (`Please, I only work for them').  I suppose this was to be expected and it certainly manages the darker tone much better than the Batman films did (in the long run).<br/><br/>The action is good although it never really gets to the peak of the opening nightclub scene but is good nonetheless.  Some of the effects in the final fight are a bit lacking and they make the usual horror movie mistake of showing too much and having it be less effective than the build up and suggestion of the monster was.<br/><br/>Snipes doesn't exactly display a great emotional range here but he is good in the title role nonetheless.  He is a commanding presence and physically good at the action stuff.  Dorff is pretty good as the main vampire - he is slick and plays it well to be a good representation of the `new breed' as the script requires.  Kristofferson is cool and Wright is sexy while still being a good actress!  The support cast contains no real standouts; Lathan is no more than a cameo and isn't really good while people like Lords only stick in the memory due to their name and not their performance.<br/><br/>Overall this is an enjoyably slick vampire/action movie.  The end product may be more style than substance but the character of Blade is darkly interesting, even if neither Snipes nor the film really give too much away in terms of his inner workings.  I have yet to see the sequel but I would hope that it keeps the same dark tone that makes this film stand out."
"BradleyUK","8","46","64","19 June 2003"," Dark, Dangerous & Pure Fun
","If you like horror or action watch this film ASAP. If the opening scene doesn't get your adrenaline pumping then someone should check your pulse. Great Action, excellent casting and top one-liners. This is the only film I have seen in a cinema where the crowd applauded each chop, kick & punch thrown. Not perfection but who cares when films can be this much fun. Its a pure rush of dark comic book action. 9/10"
"dennizman","9","65","99","2 December 1999"," Exhilarating and Exciting Action/Thriller Masterpiece!
","Blade is a fantastic action/thriller that keeps you captured for the whole duration and Wesley Snipes delivers what I would say to be his best performance yet.<br/><br/>This film has everything that you would ask for in an action/thriller, it has plenty of blood, guts and gore, a twisted, disturbed bad buy, moments of humour but most importantly a very good story line with plenty of twists.<br/><br/>Their is constant action throughout the film with breathtaking stunts and effects, Wesley Snipes fighting movement is fantastic.<br/><br/>This film is in my opinion a must see, Wesley Snipes cool, solid appearance makes this film and I can't wait for the sequel 'BLADE 2' being released next year.<br/><br/>My IMDB Rating - 9 out of 10"
"RowanMcBrowan","9","7","8","21 June 2016"," Brilliant vampire action thriller from the better half of the 90s
","Fantastically shot, well paced.. arguably Snipes' most impressive performance to date and lots of fun martial arts fight sequences involving swords and guns - not to mention the unique and timeless soundtrack. Blade is one of my favourite action movies of all time, up there with Die Hard and Predator.<br/><br/>Director Stephen Norrington is what Chris Cunningham (Aphex Twin videos) would have been if he dropped the weirdness and went into more conventional movies.. or if David Fincher stopped with the thrillers and did straight action. It is a massive shame we couldn't see more from Stephen, but at least we have Blade.<br/><br/>Certain special effects haven't aged well (and are in desperate need of a remaster!) but aside from that, this movie is great visually. Norrington's choice of shots, the way scenes are lit is masterful.<br/><br/>The performances he gets out of his actors are great too. It's not surprising Snipes loved the Blade character so much as to later method act and speak to cast/crew in character.. not surprising at all when the first movie of the trilogy this strong (though I pretend Blade 2 and 3 never happened) Watch this movie if you haven't already, especially if you love the 90s aesthetic or if you enjoy vampire-related movies/TV shows. The Blade character is iconic and Snipes was born to play him, and this movie is a 2 hour proof-of-concept for Norrington being the greatest director nobody ever talks about."
"MR_Heraclius","8","41","63","22 February 2020"," Blade
","Awesome action packed superhero movie starring Wesley snipes. When I found out that this movie is a superhero marvel movie, I was shocked because the dark tone, yes that's how marvel movies were back in the 90s early 2000s but the character of blade is not a superhero, he's more like a vigilante but they're the same thing but still, I was shocked when I found out. I really enjoyed and love this movie. Marvel movies back then weren't that good, they were really really bad. I loved the action, the connection between blade and the old man. The girl at the beginning that got bit, I wasn't a huge fan and she wss only there because every stereotypical Hollywood movie or I should say every movie needs to have a woman in the movie in a supporting role or leading role. I am looking forward to seeing the sequel and third movie in this good franchise."
