"username","rating","helpful","total","date","title","review"
"theboywhocouldfly","9","352","451","25 July 2009"," Finally a GOOD HORROR FILM. Good film period.
","Finally, a horror film about adults. Adults with complex issues and children that act like children and not hyper precocious sex models. The reason to see this film isn't to find out the over advertised "" Esther's secret"" of the film (a MAJOR misstep in marketing. Too many people now enter the film trying to figure out the ""secret"" before they normally would have been surprised), but rather to see a well-acted (extremely well acted by Vera F.)slow-building suspense story with excellent direction and cinematography. John Ottman's score also serves the film well, without becoming overpowering in signaling this is a ""creepy"" film. The actress who plays Esther shows a skill in performance that makes one think we may actually have another Jodie Foster to keep an eye on. This film works because we LIKE the characters (Rob Zombie please take note!) and fear for them and their survival. Dark Castle's best film, and it gives one hope that the horror/suspense genre still can be presented with intelligence and depth. Hollywood take note: we don't want a xerox of this film, but we do want more films that share this films strenghts: good script, likable real characters, excellent acting and nice, tension building direction."
"lork625","10","319","427","22 July 2009"," Well Made, Well Acted, Surprisingly Great Horror-Thriller!
","Orphan REALLY surprised me. I expected some stupid pg-13 movie that somehow got an R rating. That was not the case. Let me tell you, Orphan is very disturbing at parts, and pretty gruesome. The movie overall is excellent, has some great acting, an amazing script, and excellent execution. The movie really has a lot of suspense and the twist is pulled off very well and packs a big punch to the viewer.<br/><br/>The best thing the film has is the script. What Esther does to the family is brilliant. The movie also has several sub-plots that work very well in the movie and add some complexity to the whole thing. The sub-plots never feel like too much, because they are very subtly put in there.<br/><br/>Overall, if you are tired of bad horror films, and want to see a very intelligent and well made film, i would suggest this. Or if you just want to see a great movie see this! I was very surprised at how excellent this movie turned out, and everyone else will be too! Seriously, if you want great, check it out! 9.5/10"
"Craig_McPherson","8","164","216","25 July 2009"," One word - Impressive
","Every once in a while a film seems destined to slip under the radar either by poor promotion or a trailer that makes the viewer go ""meh"". Orphan is one of those flicks that, while benefiting from a decent studio push, simply didn't impart any compelling reason to check it out based on the trailer, which is too bad because this is actually one tight little thriller.<br/><br/>Directed by Spain's Jaume Collet-Serra (House of Wax), it tells the story of Esther (Isabelle Fuhrman), a 9-year old Russian orphan who is adopted by Kate and John Coleman (Vera Farmiga and Peter Sarsgaard) , a decision motivated in part by the stillborn birth of their third child.<br/><br/>An oddball from the start, Esther at first charms the Colemans with her personality, artistic flair, and independence, however it's apparent that there's more going on with Esther than meets the eye. She quickly forms a bond with Max (Aryana Engineer), the couple's deaf daughter, by learning sign language, but is resented by their son Daniel (Jimmy Bennett) who views her with contempt. All of which forms a basis for familial tension, further compounded by the skeletons of Kate's history of alcoholism and John's past infidelity.<br/><br/>Telling a surprisingly layered story that strays into uncomfortable territory given how it deals with children in peril, the shiniest gem in this entertaining nugget is that of Isabelle Fuhrman, upon whose performance the movie succeeds or fails. While acting is uniformly top notch throughout, Fuhrman spectacularly establishes herself as one of the most remarkable young talents currently working in cinema, and that's a statement not to be taken lightly. This 12-year-old, who had only one prior film credit on her resume, simply blazes her way across the screen in a performance that ranges from sweet to seductive to psychotic. This is her movie and she makes the most of it, and if she doesn't mature into one of Hollywood's premier stars, I'll be most surprised.<br/><br/>Orphan won't win any awards (despite Fuhrman's impressive performance) and might well get passed over by many based on the trailer, all of which is too bad because this is one stray that movie audiences would do well to adopt."
"yfguitarist","8","213","289","22 July 2009"," Remarkably well-acted, darkly humorous, and effectively disturbing
","Dark, edgy, twisted, effective, clever, intense, and blackly comic - one of the best ""evil child"" films I've seen. It's brilliantly cast - Vera Farmiga and Peter Sarsgaard are top-notch as usual, but what really stood out where the natural performances director Jaume Collet- Serra was able to get from the child actors. Usually child actors are painful to watch, but 12- year-old Isabelle Fuhrman gives a terrifying, chilling performance that is worthy of praise. Aryana Engineer in her screen debut as the deaf little sister Max is adorable and almost steals the show in every scene. The stylish cinematography, editing, and sound are fantastic as well. <br/><br/>I saw Orphan at a packed advance screening and the audience had a blast. Collet-Serra knows how to pull the strings and engage the audience, as they were screaming and laughing at all the right moments. There are plenty of fun and playful tension-relieving scenes, and several cathartic moments when the audience erupted into cheers. When the credits rolled the audience even applauded. <br/><br/>The second showing I went to was just as receptive - the audience went nuts. They were collectively screaming, cheering, yelling at the screen, cringing, applauding, and enthusiastically welcoming the comic relief. One guy commented afterwards: ""I never get scared by movies but that was the scariest movie I've ever seen."" Audience participation for both screenings I went to were very high. <br/><br/>The film improves upon second viewing, with the knowledge of the twist. I was able to focus more on details and clues, and the anticipation of my favorite scenes made for a much more rewarding experience. It's even more chilling and cathartic the second time around.<br/><br/>It's far from perfect though - there are way too many predictable jump/false scares, with the soundtrack blaring to try to startle the viewer. The last part of the movie becomes a slasher flick replete with clichés and a one-liner. There is a talky scene where Esther reveals herself to her adoptive mother that is totally unneeded, as well as a crucial line regarding Danny, the older son, which really should've been cut. It's also a bit long at 2 hours - for an exploitative ""B"" movie this is unusual, although time is devoted to character development. Esther is multi-dimensional and even sympathetic at times - I would love to see a prequel based on her character.<br/><br/>Orphan is definitely not for kids - aside from the ""anti-adoption"" angle, there is plenty of dangerous imitable behavior. The violence committed by and toward children is shocking, realistic, and brutal. This is a ballsy film that throws kids into horrific ordeals.<br/><br/>It may be a ""B"" movie, but it's a damn good one that knows its audience. The basic idea is nothing new (except for the unexpected twist), but you knew that from the trailer and synopsis. If you were still interested or if you're a horror fan that is able to look past some clichés and logical jumps in exchange for horrific chills, you'll have a fun time. The phenomenal child performances alone are enough to recommend Orphan."
"radchuck03","10","199","281","26 July 2009"," Excellet Horror Thriller
","I have not seen a decent horror film in a long time, but this one is definitely worth the money. Be sure to use the restrooms before the start of the movie, as it is very riveting and suspenseful. Except for one sex scene between the husband and wife, this film can be viewed by mature children accompanied by an adult. It is very well written, and well-balanced. Personally I found this film very entertaining, suspenseful, and the plot cleverly written. Without getting into too much detail and ruining it for everyone else, this movie is in a category in which the story could become true in the future. Isabel Furhman did a great job starring as an orphan adopted by a couple who was looking to fill a void in the family due to an earlier tragedy. Her ability to manipulate her siblings as well as her adoptive father, thoroughly frustrates the mother. As the movie progresses, her manipulative abilities become more apparent and deadly. This is a must-see movie and I said money well spent."
"A_Random_Guy_22","7","142","204","24 July 2009"," Esther is one bad Mother F!
","We've seen Orphan many times before (The Bad Seed, The Good Son and, of course, The Omen), yet, somehow, Jaume Collet Serra manages to squeeze something fresh out of an old tale.<br/><br/>There's plenty of shocks and also some laughs and Esther's ""secret"" is, surprisingly, original.<br/><br/>Orphan doesn't hold a candle to the aforementioned films, but its better than the more recent ones like Joshua (which, coincidentally, Vera Farmiga also starred in, as well as having the same role (mother)).<br/><br/>Don't let the trailer fool you into thinking this is just another ""evil kid"" movie. Its really much more than that. This is definitely one of the better horror films to come along these days.<br/><br/>My audience loved it, and so did I."
"wandeljw","8","114","162","24 July 2009"," Simply A Good Thriller
","I had been reading a lot about this film. Internet rumors made ""Orphan"" sound depraved. Advocacy groups protested that the film is offensive to adoption. ""Orphan"" is neither depraved nor offensive if you watch it as a thriller.<br/><br/>The plot development and character development are on the same level as most Hitchcock films. Vera Farmiga and Peter Sarsgaard are excellent as the parents. The three child actors also do a good job. Expert direction by Jaume Collet-Serra and first-rate production values also make this film worth seeing.<br/><br/>""Orphan"" is not a film where you can take your children. However, it is a decent film if you approach it as a thriller."
"capcanuk","6","32","42","31 October 2009"," Good idea, (some) good acting, poor execution
","I went into this film really wanting to love it. And I can honestly say that certain aspects of it I DID love. <br/><br/>First the good: The basic premise is interesting. Captivating, actually. And the ""twist"" ending certainly comes as a surprise, thanks in large part to an absolutely stunning performance by the titular child actress. She pulls of a VERY creepy blend of smothered maturity with a sort of innocence.<br/><br/>Most of the acting is more than passable, particularly on the part of the other children in the film.<br/><br/>Where the problems come in is with motivation and plot depth. The writers felt the need to include a ""troubled relationship"" as the basis for this particular family unit. However, they went overboard and in the end created a completely dysfunctional relationship between the parents.<br/><br/>Where this creates a serious problem is with the supposed adoption. This couple should, and would, have been refused as potential candidates for adoption. The previously lost child, the alcoholism issues in the past, and infidelity, were all serious stumbling blocks to this end.<br/><br/>The writers also felt the need to write the father character as a total jerk... hey, let's not mince words. What happens in the end, well, I almost felt it was well-deserved.<br/><br/>Another problem with the characterizations is that these two adults were so obviously NOT ideal parent material. How many parents could look their child in the eyes and say ""are you sure that no one did anything bad to you?"" and NOT recognize the look of sheer terror in that child's face?<br/><br/>There are people who WILL be very queasy and uncomfortable towards the end of this film. There is definitely material there that makes you question the sexualization of children in our society.<br/><br/>So a 6 out of 10."
"JamesHitchcock","6","21","27","7 June 2011"," Here Be Dragons
","""Orphan"" is sometimes regarded as a horror film, but in my view it is an example of that sub-genre of the thriller which I have come to regard as the "" from Hell"" movie, a type of film which enjoyed great popularity in the late eighties and early nineties following the success of ""Fatal Attraction"". The basic premise of such films is that the life of the protagonist is turned upside-down by the arrival of a stranger who initially seems friendly but who quickly turns out to be dangerous, generally a murderer or psychopath. In most films this stranger is an adult, but this film brings us the adopted-child-from-Hell. The expression ""from Hell"", incidentally, is not to be taken literally; ""Orphan"" might start out like an unacknowledged remake of ""The Omen"", but the child's evil is explained by a plot twist which has nothing to do with Satan or the supernatural.<br/><br/>Like a number of recent American films, this one was actually shot in Canada, presumably for financial reasons, but owing to the average American cinema-goer's lack of interest in anything that happens north of the forty-ninth parallel the film-makers were forced to pretend, through the use of Connecticut licence plates, that the action is taking place in New England. <br/><br/>After their third child is stillborn, John and Kate Coleman, adopt Esther a 9-year-old Russian girl, from the local orphanage. Unfortunately for them, Esther turns out to be a badly behaved little girl, one whose bad behaviour goes far beyond the normal bounds of childish mischief. By the time the film is over, she will have killed several people and attempted to kill several others. <br/><br/>The film has been criticised for a lack of realism, and it certainly seems strange that John and Kate are permitted to adopt a child in the first place, given their obviously unsuitable background. Kate is recovering from alcoholism, and we learn that she was at fault in an incident when her own daughter, Maxine, nearly drowned in the garden pond. It also seems strange how slow John is to accept that there is anything wrong with the behaviour of his adopted daughter; Kate grows suspicious at a much earlier stage. I was interested by the suggestion of another reviewer that John's reluctance could be explained by the fact that he is, at a subconscious level at least, sexually attracted to Esther, but idea this was, for obvious reasons, something the film-makers were unable to pursue. The idea that an otherwise respectable husband and father might harbour latent paedophile tendencies is something audiences would find extremely disturbing. The final twist (I won't say what it is) has also struck many as implausible, but at least it is a twist which, if one can accept it, helps to make sense of what has gone before. Too many films these days, especially thrillers, end in a surprise twist which makes everything which has preceded it seem like nonsense.<br/><br/>The film does have its good points. The 12-year-old Isabelle Fuhrman is excellent as Esther, in some ways wise beyond her years yet also strange, emotionless and creepy. Incidentally, most of the best villains in "".. from Hell"" movies are female, such as Glenn Close in ""Fatal Attraction"", Rebecca de Mornay in ""The Hand That Rocks the Cradle"" or Jennifer Jason Leigh in ""Single White Female"". There are films of this type with male villains, (""Pacific Heights"", ""Bad Influence"", ""Domestic Disturbance"") but they tend to be less memorable. Another good performance comes from another child-actress, eight-year-old Aryana Engineer as the deaf-mute Maxine; both girls, in fact, stand out more than any of the adults.<br/><br/>The film is also suitably atmospheric, being shot against a snowbound winter landscape, even if it does make it seem as though winter in Connecticut lasts all year. (At least it makes a change from all those films, ""Housesitter"" and The Cider House Rules"" being recent examples, which suggest that the New England climate consists of twelve months of permanent autumn). <br/><br/>My own criticism of the film would be of some of the social attitudes revealed in it. The Cold War may be over, but there is still a tendency in America, and to some extent in Britain and Western Europe as well, to regard Eastern Europe with suspicion. Anywhere east of the former Iron Curtain is regarded as a strange, mysterious land whose inhabitants pose some vague threat to the West, whether by stealing our jobs, dragging us into their internecine tribal quarrels or by exporting their criminal elements to us. The film taps into these fears; it is significant that the menacing Esther claims to be Russian and is actually from Estonia, a part of the map which, as far as most Westerners are concerned, might still have ""here be dragons"" marked on it. <br/><br/>The film also taps into some of our anxieties about adoption, specifically middle-class fears that adopted children, especially if originally from working-class stock, are likely to be contaminated by ""bad blood"", or inherited criminal propensities. Even if they do not actually suffer from any such genetic taint, there is always a fear that such children will never be able to bond with their adopted parents in the same way as they would with their biological parents. <br/><br/>Overall ""Orphan"" is a reasonably well-made film, a tense and gripping, if occasionally implausible, thriller, with a couple of good acting performances. The prejudices it reveals, however, are worrying. 6/10"
"ajs-10","6","10","12","30 May 2011"," A little too long, but very creepy!...
","I didn't know much about this film before seeing it, but the write-up did intrigue me slightly so I thought I'd give it a go. It's a little too long for my liking, but quite well made if a little cliché in places. I guess I should have done a little more research, but then again I have uncovered the odd 'gem' this way in the past. But I digress; let's have a look at what Orphan is all about.<br/><br/>Kate and John Coleman have just lost their baby, a daughter they were going to call Jessica. She was dead at birth. Needing something to fill the void, they decide to adopt. By the way, they already have two children, a boy, Daniel, and a girl, Max, who is partially deaf and uses sign language to communicate. The family are comfortably off and live in a big house in the countryside. Visiting an orphanage, John meets a nine year old girl called Esther. She is originally from Russia and is delightful. He convinces Kate that she's the one and they bring her home a few weeks later. Unfortunately Esther is not what she seems and the Coleman's are in for a very bumpy ride as she sets about her plan for them. I'm not going to say any more on the plot, I believe that should be enough to intrigue you.<br/><br/>Although it was very well made I did have a bit of a problem sympathising with the Coleman's. It seems they have everything going for them in terms of lifestyle, job, financial security etc., but somehow that isn't enough for them. It's not as if their characters come over as particularly nurturing either, Kate a recovering alcoholic and John has been known to have a roving eye in the past. But if you can get past all that there's a pretty creepy story behind it all.<br/><br/>Decent performances all round, particularly from; Vera Farmiga as Kate, Peter Sarsgaard as John and especially from Isabelle Fuhrman as Esther, she was particularly creepy. Also worth a mention were; CCH Pounder as Sister Abigail, Jimmy Bennett as Daniel and Aryana Engineer as Max.<br/><br/>Putting aside my incomprehension of the reasons for the Coleman's wanting to adopt, I did find the film quite disturbing. Esther particularly so, the way she manipulates situations and how she's always listening in is quite unnerving. As I said at the beginning, it is a little cliché in places and it is way too long but over all quite a sinister tale (glad I watched it in daylight!). Finally a mention for the guys who do the opening and closing credits, very cleverly done IMO, nice work. I guess over all it's recommended, but only just.<br/><br/>My Score: 6.1/10"
