"username","rating","helpful","total","date","title","review"
"diac228","9","78","83","11 July 2008"," With enough energy to generate an entire city, The Rock will absolutely blow you back into the 90s.
","The 90s was home to a slew of great raw, uncut, action flicks that shot straight for the rated ""R,"" despite the guarantee that it would make less money than the money-friendly PG-13 rating. While Die Hard and Lethal Weapon may have jump-started this craze, the peak of this was during the next decade, when we saw the likes of Terminator 2, Speed, Face-Off, Con Air, Die Hard: With a Vengeance, The Matrix, Bad Boys, Point Break, Under Siege, True Lies, Desperado, among others (Quite a list I accumulated, eh?). The 90s was certainly a good decade for action fans, but few movies of this genre can quite top the powerful, gripping, and edge-of-your seat action blockbuster The Rock. The name alone sounds powerful, and behind it is two hours of incredible special effects, superb acting, great action set pieces, and good dosage of writing, and Michael Bay on top of his game.<br/><br/>Few action movies carries as much morality and questionable circumstances as this one. In The Rock we follow a furious general (Ed Harris) leading a group of Marines to take control of Alcatraz Island (along with tourist hostages), a location that used to house criminals. Accompanying them are over a dozen missiles that can spell tens of thousands of innocent lives with every blast. However, he isn't just a trigger-happy man gone crazy, he is a man seeking justice for the dozens of lives he saw taken from warfare without compensation. A villain with a ""moral"" agenda, yikes. The only hope for the United States is the only man that has ever broken out of that prison (Sean Connery) and a chemical ""superfreak"" (Nicholas Cage). With the odds obviously against them, the Pentagon is one order away from destroying the entire location regardless of the innocent lives located in the island. Mindless this movie is not, as the stakes are high, there is always a risk of an innocent life going under, and our heroes rarely ever have the scenario under control. It's just enough to make you squeal in frustration.<br/><br/>With the tension remaining edgy and the solution never being oh-so-close, we can thank the writers for delivering a slam-bang storyline full of great one-liners, likable characters, and a villain that isn't as simple to figure out as the average evildoer. The writing staff ranges from the writer of the third Die Hard to even Tarantino. A major reason for the film's quality is the casting. Sean Connery and Ed Harris are excellent in their roles and Nicholas Cage albeit a few lines does a good job. The supporting staff helps as well, as we see the likes of David Morse, John Spencer, and Cage's love interest Vanessa Marcil.<br/><br/>Unlike Michael Bay's latest films, which run from mediocre to just plain bad, he blends plenty of drama and suspense along with action here. As a matter of fact, the first half of the movie is all suspense, as the situation is developed, and the risks are presented. Disregarding a superb car chase, there isn't much exploding in the first 80 minutes. However, once the protagonists enter the Rock, it all goes on the uphill action swing. We get brutal fights, brutal shootouts, near-misses, double-crosses, triple-crosses, chases, and enough explosions for action fans to sink their teeth into. The funny thing, the two main actors at the time weren't expected to be in such action. Connery was aging, and Nicholas Cage just didn't have the look or the attitude for it. Fortunately for us, they proved us dead wrong.<br/><br/>Bottom Line: If you want to see a true action classic, The Rock is a great example. Rising above the average action movie and above the decent ones as well, this is by far Michael Bay's best work and one of the signature flicks of the 90s. Combining tension you can cut with a steak knife with thrills, chills, and plenty of carnage, The Rock has aged well and continues to influence the work of modern action movies and the work of Michael Bay as well. Grab some popcorn and enjoy this ruthlessly clever movie. Recommend to the max, as long as you don't mind a bit of blood spewing onto the screen. They just don't make em' like they used to."
"F0RCE","10","287","342","21 March 2001"," Definitely underrated!
","""The Rock"" combined action, adventure, comedy, romance, special effects and a great plot into one of the biggest worldwide blockbuster action films in decades. Add to the mix, Sean Connery, Nicolas Cage, Ed Harris and a great supporting cast including John Spencer, William Forsythe and David Morse, and ""The Rock"" is one of the best ways to spend two hours. This film also devotes a great deal of time and effort to character development, something that most action movies neglect. This film is definitely underrated and is worth more praise than it has received."
"mstomaso","8","73","89","27 March 2005"," Adrenalized..... yikes
","The Rock is one of my all-time favorite suspense - thrillers. Believability - almost always a problem for this sort of film - is enhanced by a very compelling script, sets, and powerful performances by masters Sean Connery and Ed Harris. Like a good work of fiction, it's the quality of the telling that makes it believable, not the likelihood that it might happen. There are no problems with the way this story is told. The acting, editing, directing and visuals do not slip at all. Nick Cage - in a performance which approaches his best work - adds a bit of campiness and humor to this explosive mixture, and John Spencer, Tony Todd, David Morse, and Michael Biehn all contribute substantially to an exciting, fast-paced and emotionally draining film. Any avid movie-goer will be hard pressed to find a single actor in this sizable cast who has not either become a major star or a fine character actor over the last nine years.<br/><br/>The plot takes a number of twists and turns along the road, so to discuss almost any aspect of it in detail would require at least mild spoilers. None of the plot twists are unbelievable if you are willing to accept the basic premise. The story begins with Ed Harris - a Viet Nam war hero and field leader who is now a general and has become fed up with the abandonment of covert forces operatives by the US government. To get what he wants, he recruits some of the best officers under his command to take control of and hold Alcatraz Island, holding 70-some-odd civilians hostage and aiming four missiles loaded with deadly Sarin gas directly at the heart of San Francisco.<br/><br/>Biehn heads an elite Navy SEAL team assigned to infiltrate and disable Harris' capabilities. Cage joins him as the FBI biochemical specialist assigned the task of disarming the warheads, and the only man who can get them in to do their respective jobs is an aging British intelligence agent who has been incarcerated for 30 years or so by the government that now needs his help. Connery's John Mason escaped from Alcatraz during his incarceration, and for all intents and purpose - is a much rougher, more real James Bond character without the gadgets and the comic-book super-villains. All of the above is established in the first ten minutes of the film and the next two hours is a wild ride, with some very tense moments and some very intense performances.<br/><br/>I'm sure a lot of people will pick this film apart for the occasional unbelievable scene, etc, but it's worth while to remember - as my spouse is always telling me - ""its only a movie"".<br/><br/>If you want reality, take a walk outside or go to work! <br/><br/>There are no discernible powerful political messages in this film. While it must be acknowledged that the USA does sometimes treat members of its armed forces in an unappreciative and cavalier manner, this film does not really drive this point home in the way that, for example, Saving Private Ryan did. While it is also true that the US government does occasionally cover-up its own illegal activities, or soft-pedal them with propagandistic white lies, these issues are not really the subject of this film. This is made abundantly clear by the oddly out-of-place references to Roswell, New Mexico. The writers either did not want to dignify any perceived political messages by bringing up real-world transgressions and cover-ups - many of which are far more sinister than the secret development of stealth planes. This film is pure entertainment and - at that - a work of art. Treat it as such and you might just have a good time with it."
"charlie-303","10","140","184","31 January 2005"," An absolute classic
","What can I say other than Connery at his best as usual? It's good to see Hollywood remembers the best. It's also good to see an American film portray us little Brits in such high regard.<br/><br/>When else would you see a 60+ year old retired SAS agent who's been wrongfully banged up for 30 years and kept away from his daughter, break back into Alcatraz (after successfully breaking out all those years ago), take out an entire SEAL team almost empty handed, save 81 hostages held at gun point and a city of 5 Million held ransom with 15 deadly poisonous VX gas rockets?? Generally excellent acting by Ed Harris as you could expect and an almost convincing performance by Nicolas Cage.<br/><br/>...and thats just the half of it."
"clanger1977","9","114","150","1 May 2004"," Review
","The Rock was an awesome film to see in the cinema. Over the top action, amasing driving scenes, an all round enjoyable film. Excellent casting of Sean Connery and Nicholas Cage, interesting idea, ex-military take tour hostage and threaten chemical warfare. But it's all in a days work for the FBI. Scientist risks life and limb to rescue city while pregnant girlfriend looks on. Sean Connery' character is portrayed as a hard ex SAS spy and Nicholas Cage is the mild mannered Scientist/Chemical Expert. Good film, not too taxing on the brain and overall, very enjoyable! A must see for Action Fans."
"Dandaman6924","10","117","155","5 November 2004"," Classic Action Movie
","This movie is all a man could hope for in a movie these days. Action packed, but followed with a meaningful story that relates to today. The harsh reality is, what takes place within the movie is not too far off from what could happen in reality. I feel that if anyone fears domestic terrorism as well as foreign terrorism, this movie is a must see, while it bends the facts a tad for action and interest sake, its central story is compelling and thought-provoking.<br/><br/>The best quote of this movie: ""This isn't about terrorism, this about justice. It's about reminding you people of something you find politically convenient to forget.""<br/><br/>-General Hummel"
"Movie-12","8","72","104","20 March 2000"," An action packed, high octane thriller with great performances. ***1/2 out of ****.
","THE ROCK / (1996) ***1/2<br/><br/>Starring: Sean Connery, Nicolas Cage, Ed Harris, Jon Spencer, David Morse, William Forsythe, Bokeem Woodbine, and Vanessa Marcil. Directed by Michael Bay. Running time: 135 minutes. Rated R (for strong intense violence, language and brief sexuality)<br/><br/>Notes taken while screening The Rock:<br/><br/>· The film contains superior character development of both the antagonist and protagonist. Each is clear and well defined. We also learn the characters motives, reasoning, dramatic situation, and premise--all brilliantly introduced within the setup.<br/><br/>· Sean Connery provides us with strong character development through John Patrick Mason--although the character is somewhat a rip off of the Anthony Hokins' Hannibal from ""The Silence of the Lambs.""<br/><br/>· It is uncanny how well the movie's visual style works. It propels the film's suspense the extra mile, increasing the tension and enticement. Also contributing to the style is the fitting soundtrack.<br/><br/>· Some of the events are excessively coincidental. For example, during an exciting chase scene, Mason dashes out of a building, escaping the clutches of concealing police, discovering a Hum-V seemingly awaiting his arrival. Experienced chemist, Stanley Goodspeed (Nicolas Cage), chases after him, in a high speed Ferrari  sitting outside his position in a building. Another coincidence occurs in the high security prison, where Mason escapes a grenade blast by dashing at random into a room, where, of course, there just so happens to be a secure bathtub to climb in. <br/><br/>· There is a stolid, aggressively effective cast present. Each actor contributes a taut, penetrating performance, especially Ed Harris as the film's villain, General Francis X. Hummel who demands a moral purpose holding the lives of an urban area at stake.<br/><br/>* The character's motives and perfectly defined, especially General Francis X. Hummel.  Even as the film's bad guy, he serves an understandable position, thus we empathize with him, unlike most villains witnessed in modern day thrillers.<br/><br/>· The standard three act structure is flawless: each scene propels the plot forward. The sequences either create a new problem or complicate a previous conflict, favoring with the later concept. This raises the line of tension even further.<br/><br/>· Most of the production takes place in a high security prison, Alcatraz, crafted with a complex, awe-inspiring atmosphere towering over that of most action movies.<br/><br/>· Sean Connery handles the complicated role of John Mason with mere simplicity, yet easily torments the audience with a sense of omniscient knowledge of the plot.<br/><br/>· The picture is unpredictable and contains several inducing and unexpected twists proving this movie is imaginative and free to surprise us. The conclusion is not fomulatic. ""The Rock"" is filled with artful design and crafty performances. It is one of the year's best action films.<br/><br/>Brought to you by  Hollywood Pictures."
"ajohnwoofilm","Null","11","13","7 December 2001"," Michael Bay's masterpiece
","Although i have seen many of Bay's films and enjoyed most of them, nothing is in comparison to this 1996 bay area based action film. I am just curious why it is not as popular or well known as it should. Dont get me wrong, granted it is a familiar film amongst most people yet it never appears in their top ten? Currently this film sits at number 5 on mine. I felt this film carried the most wide range of cinema aspect that any action film can carry. There was a mixture of minor romance, drama, and comedy which is why i am pleased to see that the criterion collection values it. Apparently the AFI probably wont but what do they know, the most action based film they would even consider is Saving Private Ryan which was also a good film but it seemed to be more of a Drama than action even if i reconsider the opening seen. What I think Michael Bay does best it simply put, he makes his stuff cool. He chooses the right angles to show the right section of what every he is filming. You can shoot a navy seal rising from the water in many different ways but his straight on established shot as the seal so rises up and pans his weapon from left to right was amazing. It is the small things like that which eventually amounts to a great film. He doesnt only focus on the big action scenes but the minor ones as well and it work wonderfully because it keeps us all tuned for the duration of the film. It is a film that any action enthusiast would enjoy over and over again. If your considering on purchasing this on DVD, remember to shell out a few more bucks and get the Criterion Collection version, the extra money will be well spent once you see Ed Harris re-doing his takes. I must also give the writers  of this film some credit because or it's several directions they went with the script while keeping action the main subject. I mainly focus on action films (although currently in film school i am considering on doing dramas) and from all the ones i had ever seen i think this film is surely the best overall, not my number 1 favorite but the overall best pick for anyone to see and i truely believe that is someone doesnt enjoy this film regardless of age, gender, etc. you have problems and something is wrong with you. And for all the people who have seen this film, i would like to ask ou to reconsider this film's greatness for what it deserves. ENJOY THE ROCK!"
"RichT3","9","5","5","29 November 2001"," One of the BEST action movies ever made
","This was the first Michael Bay movie I had the privilege of watching on the big screen, and it is still his best (closely following by Armageddon and Pearl Harbour). It has everything you could want from a big-budget action film :- Great story, excellent cast (Sean Connery, Ed Harris, Nic Cage, Michael Bein, David Morse), amazing action sequences, well-integrated comedy moments, and SUPERB direction. The battle scene in the shower-room on Alcatraz is one of the most touching and poignant battle scenes ever filmed, and leaves you close to tears (especially as Mr Harris ""damns"" the Government powers responsible for causing the slaughter of the heroic Navy Seal Crack Insertion Team). Two-and-a-quarter hours of pure entertainment and adrenalin !!!"
"popsucksrapswallows","Null","75","115","5 July 2004"," Too watchable, only the music gets tiresome
","Fantastically made. Undoubtedly one of the best action films in the last 20 years, Bruckheimer had a fantastic effect on this as his oh so loud impact fashioned this movie into what it is, quite possibly one of the finest in its' genre. Connery puts in a sturdy performance as does Cage but the show is stolen by the one and only Edd harris. His commanding performance carried the movie through small snippets where boredom may have set in, his emotion in the delivery of his lines left nothing to be desired and the role seemed so fitting for such a man, although his height was comic in comparison with the other marines. <br/><br/>All round great film with good acting with just the right amount of comic relief when it was most required. thumbs up fellas"
