"username","rating","helpful","total","date","title","review"
"bertsaraco","10","393","538","4 December 2005"," Narnia thaws out frozen New Yorkers
","The audience at this afternoon's preview screening of The Lion, The Witch & The Wardrobe, at New York's AMC 25 theater in Times Square, broke out in spontaneous applause at least three or four times. It seems that director Andrew Adamson has brought a thaw to normally-jaded New Yorkers as well as to the 100-year winter of Narnia. The movie pulls the viewer into the story right from the opening scenes of war-ravaged England, where siblings Lucy, Susan, Peter and Edmund (wonderful performances by all) are sent from their homes to the relative safety of 'the professor's' country estate where, during a game of hide-and-go-seek, young Lucy hides in the wardrobe only to discover the passage to the land of Narnia. From this point, the multi-layered story of betrayal, courage, sacrifice, redemption and hope unfolds into a briskly paced 2 hour and ten minute adventure that leaves the viewer emotionally charged and thoroughly entertained. <br/><br/>The musical score is appropriately stirring and moody. The computer generated creatures are sophisticated to the point where the technology disappears and you begin to accept the performance, and not the special effect! This brings us to Aslan - if the talking lion didn't work, the movie would fold in on itself and go away. Aslan works,however, and works very well. Voiced by Liam Neeson, Alsan is both believable as a 'literal' lion and as Aslan, talking lion, King of Narnia. Aslan's face is expressive and noble, and Neeson's voice acting has strength and dignity. <br/><br/>This film succeeds on so many levels, it would be possible to discuss it in many different veins: the direction, the story's surface-level themes, the theological possibilities, the drama, the fantasy, the adventure.... Yes - it's an action film, a dramatic film, a fantasy, a somewhat-dark (yet hopeful) fairy-tale. It has humorous moments and frightening moments, like most truly great 'family' films always seem to have. <br/><br/>The bottom line is, this is a film that will leave you the better for having seen it. There's much to reflect on and much to simply enjoy - there's certainly enough to keep you thinking for a while, and that's always a good thing. Aslan, indeed, is on the move!"
"evawatches","8","484","669","29 November 2005"," The perfect Christmas movie
","To sum things up: I loved this movie.<br/><br/>I had been waiting for it ever since it was announced, so of course I couldn't pass up the chance to see a press preview this morning. And, while there were some definite weaknesses (mostly in the quality of the animations), overall I was completely convinced. Naturally it did not coincide 100% with my own vision of Narnia visually, but emotionally it rang absolutely true, choking me up several times and really touching me. I walked out of the theatre with a warm, contented feeling - just like I feel every time I read C.S. Lewis' book! <br/><br/>The stand-out performance was definitely Tilda Swinton's as the White Witch, but I liked all actors/voices, from cute little Lucy (newcomer Georgie Henley) to majestic Aslan (Liam Neeson). I thought the children did a great job, considering their relative inexperience and the amount of blue screen work involved.<br/><br/>Tip: Stay seated through the actor credits - afterwards there's another small scene."
"arabianardour","10","19","22","23 December 2005"," A Classic for all Time
","The Lion the Witch and the Wardrobe should go down in the history books right up there with the likes of Lord of the Rings. I went to see it expecting a very good movie. I came out stunned by the magnitude of the picture. Everything about it is so well done, the casting, the scenery, the score. Lord of the Rings is the only thing I can think of to compare it to. I experienced the same overwhelming sense of awe watching both of these phenomenal pictures. The CG images are very good, though not quite as startlingly realistic as those in LOTR. I cannot find fault with the casting in any way.<br/><br/>Though the voice of Liam Neeson is not as I would have imagined a lion's at first, it is smooth, confident, and effective. Aslan is given the presence so essential to the heart of the story. I must comment on the performance of James McAvoy as Mr. Tumnus, which I believe was the best in the film. Lucy was adorable, and surprisingly convincing, and Peter was given a very firm performance. I was a little nervous about how Edmund would turn out, but I needn't have worried; those large, startlingly dark eyes are perfect for the change from traitor to hero. <br/><br/>I commend the directors of the movie on their strict adherence to the book. Narnia isn't just ""based"" on the book. It IS the book. The scope, depth, and wonder of Lewis's world have been captured in a timeless manner that should be cherished for all ages. This is a movie for everyone, at a level for children to understand, yet with a fast plot and exciting battle sequences that will keep anyone interested. The last battle scene especially is as touching as any I have ever seen, including those in LOTR, putting tears in my eyes even while my heart soared. Go see Narnia for an exciting, well-done film, and a timeless message that our world so desperately needs.<br/><br/>Ten stars!!"
"lavatch","Null","90","123","29 December 2005"," Splendid!
","With an appeal to both adults and children, the British author C. S. Lewis wrote seven books in his Chronicles of Narnia series. The stories are rich in mythology and religious symbolism, drawing upon archetypes from the Norse, Greco-Roman, Persian, medieval chivalric, and Judeo-Christian traditions.<br/><br/>Now comes this wonderful film of the first chronicle, ""The Lion, the Witch, and the Wardrobe."" The beautiful cinematography and the terrific performances of the children make this film outstanding for family viewing. As integrated with the live actors, the colorful animal characters, especially the Lion (Jesus), reveal brilliant technical film-making as well.<br/><br/>Lewis's books are not overtly allegorical. Rather, the symbols and the messages are subtle. The four children in the story (Peter, Susan, Edmund, and Lucy) were inspired by the actual children evacuated from London during World War II, who spent time in Lewis's home. Lewis wanted his books to be enjoyed by young people who would later in their lives draw the spiritual meanings from the stories. In this area, the film is enormously faithful to the original book and would have made the author extremely proud."
"amanda01200","10","20","25","24 December 2005"," 10 out of 10 stars.
","The Chrinicles of Narnia, the lion the witch and the wardrobe, is now my favorite movie! this movie was FANTASTIC! the actors are amazing and the movie is just so exactly like the book. If you read the book and are going to see the movie, you will not be disappointed. The movie was better than i expected actually. It's such an amazing and imaginative movie it's just enchanting. I wouldn't normally give any movie 10 stars, but i gave this one 10 stars out of 10. When i was watching the movie, and seeing all the sets and the props, i felt like i had already seen them before. Like they had taken them right out of my imagination when i was reading the book. I know not everyone will have this feeling, but i did, and it was magical. Even if you don't want to see this movie, go because it really is a spectacular and magical movie."
"Nan17","9","435","693","29 November 2005"," A Very Satisfying Realization of C.S. Lewis' Creation
","What a fabulous movie! I just saw a screening of it (with a bunch of other actors and writers) and the whole place burst into applause at the end.<br/><br/>Tilda Swinton is amazing as the White Witch. Her cold, evil gaze could freeze anyone.<br/><br/>I loved the kids - especially the little Georgie Henley, who played Lucy. Liam Neeson as the voice of Aslan was suitably majestic and comforting and grand.<br/><br/>It was beautifully filmed, and I felt Narnia was perfectly realized.<br/><br/>Looking forward to the movies that will follow."
"nycritic","8","31","42","10 January 2006"," Jadis, Aslan, Four Humans, and Winter Hell
","After the massive success of LORD OF THE RINGS it would be only fitting to continue the exploration of other dimensions as created by equally talented authors, so when it was announced that C. S. Lewis' THE CHRONICLES OF NARNIA: THE LION, THE WITCH AND THE WARDBROBE would be given the film treatment I was more than anxious to see what would come of it. Early screenings gave it great reviews, and when I viewed I wasn't disappointed despite the Christ references.<br/><br/>Four children are sent away from their London home to a professor's estate in the countryside in order to escape the bombings from the Nazi invaders. What they find there, aside from a severe place not unlike what V. C. Andrews would depict in FLOWERS IN THE ATTIC, is a wardrobe that opens the doors to another world -- a parallel one if you may -- in which winter is ever present, but Christmas never takes place. This is Narnia, and it is under control of the White Witch Jadis who is aware of a prophecy that four humans will put an end to her wintry empire, and sets out her minions against the children who have entered her world while bribing one of them -- the rebellious Edmund -- to join her as she holds him prisoner much like the witch in Hansel and Gretel did. Her plans are to overthrow the Lion King, Aslan, and rule forever. Parallels to her world and the world as threatened by the Nazis are striking, and Tilda Swinton's transformation into the very Aryan looking Jadis is chilling, more so in her seductiveness. At times I was reminded of Cate Blanchett (they have very similar features), but I think Blanchett is to Galadriel as Swinton is to Jadis. Marvelous actresses both, but Swinton can claim her breakthrough with her role here.<br/><br/>With much less gravitas than the LORD OF THE RINGS trilogy, THE CHRONICLES OF NARNIA arrives much faster to its goal than the former does and the reason is that the books C. S. Lewis wrote are fairly slim volumes while J. R. R. Tolkien's book is a massive tome. Also, there is always the sense that the NARNIA books are more geared towards children and for much of the movie's duration there is little doubt that this is what it is: its four leads are children, many of the talking animals they meet are drawn in a way to appeal to children, and even the White Witch's castle has a storybook quality to it. Only in the appearance of Aslan does the story take a much more adult form, and its Messianic theme will not be lost on the older audience. Even so, the implications surrounding Aslan's self immolation can be interpreted in non-religious forms: if anything, it's also very similar to Gandalf's fall into the pit with the Balrog in tow in THE FELLOWSHIP OF THE RING. Both character's 'death' symbolize their own necessary transmogrification, only to arise more powerful than before and take their troops to victory.<br/><br/>NARNIA is a visually stunning film even in its quiet moments when the children, one by one, are entering its world through the wardrobe. I was reminded of Stephen King's DARK TOWER series: unless the characters believed in the world behind the wardrobe, it didn't exist, and this is true here. Narnia only exists if you believe hard enough in it, and time, of course, stops... or let's say, it marches at a totally different beat, also visible in Stephen King's DARK TOWER series.<br/><br/>Performances are quite remarkable, especially for a fantasy film. All of the actors doing the voice overs bring their characters to bubbling life, and Liam Neeson as Aslan is wise and all-knowing. The child actors are definitely comfortable in their roles and while I saw glimpses of the children of the aforementioned V. C. Andrews Gothic novel, they are real people: The younger ones fare better than the older ones, but then again they are on screen more and their stories are more crucial than the older ones although all four eventually converge into the climactic battle sequence.<br/><br/>All in all a great film, equally meant to be enjoyed by children and adults alike, and one which should spawn a very interesting following."
"tollini","10","329","529","5 December 2005"," A Truly Moving Picture
","I saw this film on November 30th in Indianapolis. I am one of the judges for the Heartland Film Festival that screens films for their Truly Moving Picture Award. A Truly Moving Picture ""explores the human journey by artistically expressing hope and respect for the positive values of life."" Heartland gave that award to this film.<br/><br/>Four young children enter the timeless world of Narnia through the door of a wardrobe piece of furniture while playing hide-and-seek. And what a world it is. There are talking animals, dwarfs, giants, beasts, centaurs, and indescribable half-human combinations. And, in this world of Narnia there is a titanic struggle between the White Witch and her evil army and the good lion Aslan and his noble army. <br/><br/>Although it doesn't seem possible, you can suspend disbelief and become engaged in the story because the artistry and technology are so outstanding. The art direction, special effects, cinematography, editing and sound will most likely and should be nominated for Academy Awards. The lion Aslan dominates your attention in every scene he appears in, and as the story unfolds, he becomes as human-like as any of the four children. <br/><br/>The four children seem normal enough with their constant teasing and fighting among themselves, but when events truly matter, they come together and exemplify the highest standards of sacrifice, courage, fidelity and heroism. Both children and adults will find inspiration and role models in these four children. <br/><br/>The lion Aslan is a mystical and almost biblical hero. There are many parallels between Aslan and Christianity, and you can watch this film anywhere in the religious-secular spectrum you care to. I suspect that over many years the other six books that make up The Chronicles of Narnia will be made into movies and they will have the same type of financial and artistic success as The Lord of the Rings film trilogy had. That is high praise indeed.<br/><br/>FYI  There is a Truly Moving Pictures web site where there is a listing of past Truly Moving Picture Award winners that are now either at the theater or available on video."
"becksy_8","10","255","413","5 December 2005"," beautiful
","The visuals for this film are absolutely stunning. Just breathtaking. The acting is done well, the voice-overs included. the CG animation on the creatures are marvelous. <br/><br/>I read this series over and over as a child and just re-read them recently in anticipation of the movie. Although as a purist-at-heart I was slightly disappointed to see even a second of the precious work edited, overall I am amazed at how well they adapted the tale to fit into a neat little 2 hour time frame. I feel that nothing important was omitted and the parts that were adjusted in the script were done so well that it still could have passed for C.S. Lewis' own hand. <br/><br/>I was lucky enough to preview this film (and to see it free, to boot), but I am certain that I will be trekking to the theatre to see it a few more times on the big screen. BRAVO!"
"yellowsubmarineman","9","233","380","4 December 2005"," a must see for all ages
","I was fortunate enough to attend an advanced screening and was magnificently surprised. The film was beautifully made. The acting/voices were all wonderful, including the young talent. I think all ages will be entertained. The story contains important lessons for children, but also relevant reminders for adults. I also think attempts to compare the film to Lord of the Rings and/or Harry Potter would be unfortunate for all parties. They are each uniquely wonderful. Make sure you see this!<br/><br/>By the way, make sure you stay through the end credits to hear a beautiful song Alanis Morisette wrote especially for the film."
