"username","rating","helpful","total","date","title","review"
"Java_Joe","4","17","18","13 November 2018"," Good movie but not really based on a true story.
","I'll put this out there right now. I'm no fan of Ben Affleck. I just never felt he was a good actor but I didn't let that keep me from seeing this movie everybody was talking about.<br/><br/>And yes, let me also put this right out there, the movie is loosely based on the ""Canadian Caper"" in which 6 American diplomats were safely hidden away in the Ambassador's home and then using faked Canadian passports were flown out of Tehran. I say loosely based because as everybody knows it was 90% Canada's involvement that these 6 people got out. It was Ambassador Ken Taylor who came up with the idea, the Canadian government that allowed these 6 to be issued passports and they were then returned home.<br/><br/>But that's not what this movie shows. No. It shows that Tony Mendez, played by Ben Affleck, was not only the mastermind of this but downplayed just about anything the Canadians did. Of course after a very Canadian, a.k.a. polite, dressing down by Ken Taylor Ben has since said that the Canadians did help much more than they did.<br/><br/>Having said that this is a good movie. There's some A-list actors in it. There's some great cinematography which shows that maybe Ben's skill lies behind the camera. There's some action scenes because you need action scenes today and there's a feeling of triumph when they finally get airborne and are off to freedom.<br/><br/>But that doesn't take away from the fact they played really fast and loose with the truth. It's like in U-571. It was the British that captured the Enigma machine but we need Americans to do it for an American audience because they don't like it when others are the heroes. And that's possibly the biggest flaw with this movie. Americans need to learn that they're not the greatest on the face of the planet and that other people have helped them along the way.<br/><br/>So thank you Canada for what you've done for us. I just wish this movie could have shown you in a better light."
"cheche1","Null","384","493","12 October 2012"," Good movie but took a lot of liberties
","This is a great movie. The story, acting, pacing, editing, etc. was just fantastic. Affleck's directing was solid, and the suspense will keep you entertained right through to the last seconds. I loved it. <br/><br/>It did have one irritating thing, though, kind of a big one. It pointed most of the accolades to Affleck's character and the CIA. This really was not true. It was Ken Taylor and the Canadians who really pulled 'the Canadian Caper' off so successfully.<br/><br/>""When Taylor heard a few years ago that Mendez had sold movie rights to his book (which, to be fair, is much more generous than the movie about Canada's role), ""I said, 'Well, that's going to be interesting.'....""The movie's fun, it's thrilling, it's pertinent, it's timely,"" he said. ""But look, Canada was not merely standing around watching events take place. The CIA was a junior partner.""<br/><br/>""The old postscript sent the message that, for political reasons, Canada took the credit. A sarcastic kicker noted that Taylor received 112 citations. The clear implication was that he did not deserve them.""(Sept/Oct., 2012, thestar.com)"".<br/><br/>So the USA does another revision on history here. I believe 'Argo' goes this far. Yes, it's based on a true story - the movie does it's best to allude that it sticks to technical accuracy. And it really does, in some ways. Historical pictures of flag burners, rioters, gate climbers, etc.. up against Argo film stills run by during the credits make it seem that the facts were adhered to down to the tiniest detail. In reality, it wasn't Tony Mendez or the CIA who were responsible for the success of this operation; actually they were barely there. <br/><br/>Since the movie premiered, Ben Affleck has added emphasis on the movie postscripts since then that gives kudos to the Canadians' role. This was after Ken Taylor politely complained, as a Canadian would tactfully do. But Affleck did this only after pressure from Taylor himself.<br/><br/>I can understand the need to spice up events to make them as exciting and entertaining as possible, don't get me wrong. But this film needs to let the audience know that more explicitly than it does, even after the changed postscripts.<br/><br/>Still, a really entertaining and riveting film, very well done, and easily worth seeing. As a matter of fact, don't miss it."
"jamesthealchemist","3","228","302","26 January 2013"," Based on the Truth?
","I am severely disappointed in this film for the main reason that we see US movie makers twisting the truth so that they come out looking like heroes. And I am not alone in this. The UK and French governments were quite rightly upset by the movie saying that their embassies had refused to help out the Americans in trouble. The UK embassy took the refugees in at great risk and kept them there until the Iranian guard was getting suspicious. Ben Affleck claims he had the refugees refused because he wanted them to appear to be isolated would be funny if it wasn't so clear that he actually wanted it to be the US who really saved them. At least the movie makers did have the Canadian embassy involved as it had been at the time. The movie should have said at the start that the facts had been changed in the name of drama. Movie makers have a responsibility when making movies based on the truth to let people know what really occurred. When they don't they are actually guilty of trying to change history and worse people believe what they see on the screen. And lastly seeing the guards at the airport chasing the jet in order to try and stop it was absurd. Why didn't they simply shoot at it or have the Iranian air-force force the jet to land. A joke of a movie so far removed from what actually happened and to say its 'based on the truth' really shows just how far the truth gets abused."
"woodiphora","2","301","405","9 December 2012"," Formulaic and historically inaccurate
","A reasonably competent movies from a technical point of view, but in other respects very misleading.<br/><br/>What I liked was Ben's restrained performance as the CIA field operative, and fun to see John Goodman in a straight role, but everything else was a bit lacking. Iran is an extraordinary, culturally rich and diverse country, but it is portrayed as populated entirely by thugs and fundamentalists, with the rest of the population invisible or cowering victims. I'm not being an apologist for a state with poor human rights and a dictatorial government - but it is not what is portrayed in this movie.<br/><br/>The basic fact that for a short period several American consulate workers were in hiding and were flown out under fake identities is true, but a lot is missed out. They first hid in the British consulate, but were moved to Canada House on British advice (as best as I can glean from various Internet sources), and the whole operation was a joint venture between at least three countries. What we get is a 'Yankwash.'<br/><br/>The film-makers have said that people forget that ""this is a movie"", and deliberate latitude and creativity is necessary for entertainment purposes to make it watchable and engaging. Okay, so if that is the case then what is left is formulaic: bad guys do something bad - maverick individual comes up with a daring plan - plan almost fails at the last minute - car chase - everyone alright now!<br/><br/>I'm sorry, but I just don't buy the excuses. This is a lazy way of film- making. The more accurate story could have been well told - with acceptable dramatic liberties such as condensing number of characters, timescales and even adding the (actually never happened) car-chasing-a- jumbo-jet-bit as they finally flee - without having to rewrite history t a degree that becomes offensive.<br/><br/>So, averagely enjoyable if it was fiction and a polished production from a acting and technical point of view, but a desperately inaccurate pastiche of what really happened - a great shame as the real story would have been just as good, if not better for being real."
"szezonmeister","2","563","833","25 November 2012"," Puzzling success for a disaster of a film
","I understand it may flatter US patriotism, or recall memories to those who remember the events and I don't even dispute Affleck's directorial and acting skills. However, this is a completely superfluous, empty and desperately predictable movie. The historical inaccuracy has been pointed out by several other reviews: no, things didn't happen that way, the Canadians deserve much more credit in that operation than this portrayal ever shows. Notwithstanding the role of the US in sustaining a puppet dictatorship during the Shah and actively interfering in a sovereign country's domestic politics for decades prior to the events. But this is only a secondary concern: historical accuracy is not the most important factor for a fiction, even when it's based on actual events. What I dispute is how incredibly shallow and predictable the storytelling is: cliché anonymous US CIA antihero agent with issues at home goes to a dangerous place, saves innocent lives, takes risks against orders, comes out victorious to reunite with his family. Who on Earth cares, seriously? And no, the fact that it's based on historical events - and therefore you can't argue with history - is not an answer precisely because the script takes so many liberties with the events. I don't care about the liberties taken with history but I care about the ability to portray convincingly the complexity of human emotions and relationships. There is none here. And make no mistake, a fictitious 2 min car chase at an airport is the closest you ll get to see some emotions (ie. anguish at being killed by the revolutionary guards). The characters come out of a cardboard factory, they have zero critical self-reflection about their own role in interfering with a foreign country's domestic affairs, total solidarity with each other and pure love for their partners. This is a Disney version of human psyche, a dishonest and partial historical account and a debauchery of time, energy and money ill spent. Affleck is an able actor and I hope will prove more convincing in his future efforts as a director, but what really baffles me is not the mediocrity of this film, it's the uncritical enthusiasm of so many for it."
"LordElrondd","4","84","119","12 February 2013"," Argo : PoliticalJust Political.
","This movie was so horrible that I can't even begin to describe it.<br/><br/>First, I'm going to break it down in 2 sections: the technical part and the historical aspect.<br/><br/>The Story was a mess and cliché. Such stories have been done so many times that 2 minutes within the movie you are able to guess every event and turnover that the story is going to take: An Unknown CIA agent who has troubles with his wife and family goes on a dangerous, life threatening mission to save the lives of Americans. In the process, he disobeys a direct order, accomplishes the mission, comes back home and gets a medal for it. And he is reunited with his family. And everyone lives happily ever after. The end.<br/><br/>That's the movie, summed up. And I can bet everyone can agree that it's a cliché and overdone story. <br/><br/>Other aspect is the historical aspect. I'm from Iran myself (but I don't live there now) so I know exactly what went down. Let me start by saying that the movie in fact IS a true story but it's not the WHOLE truth. They managed to ""forget"" some important notes that I'm sure lots of people noticed but chose to ignore it because of all the undeserved hype around the movie. First thing is that the U.S government could give up the Shah at any time and got the hostages back in a moment's notice. But they didn't. Why? Didn't the lives of 60 US citizens outweigh the life of a dictator who needed to be brought to justice? This was never mentioned. Secondly, the Canadians role; it's very popular among the people to call that mission ""Canadian Caper"". The Canadians had a HUGE role in this process. In fact they had the main role. They were the ones who issued REAL Canadian passports, they were the ones who arranged the flights and coordinated people within Iran. But we see their role cut down substantially to just the mere presents of the Canadian Ambassador. Thirdly, the movie fails to mention that the attack on the US embassy in Tehran was a result of decades of the US interference in Iran's politics and decision making; All the way from appointing prime ministers to staging coups. That's what drove the people to that point, and the film, once again fails to mention that. The film goes on to do what a typical Hollywood ""true story"" does. Dramatize actual events and make it into a Hollywood film. and a typical Hollywood ending scene (which never happened in real) <br/><br/>Once again, horrible, horrible movie. <br/><br/>Rating 4/10 : Only for the visual effects and production design which was adequate."
"nainfroid","2","233","348","28 November 2012"," Ben affleck can grow a beard
","I was watching this movie with 2 friends and none of us said anything until it was over. While I was watching it something was bothering me but I didn't say anything because I thought the other two were into it, Ben Affleck with a beard doing CIA stuff in 1980 Iran being a sort of archetype of what an cool movie should be these days...<br/><br/>Anyway I kept my mouth shut, and when the movie ended I looked at my two companions. They both seemed a little off, I couldn't tell if it was indifference or confusion or flat out boredom. One thing was clear though: this movie sucked.<br/><br/>First, at no point whatsover does one feel any connection and/or sympathy for the main character. Ben Affleck makes the SAME FACE during the entire movie, his eyes gazing in the distance and his mouth gaping ever so slightly, giving him an expression vaguely similar to what I imagine someone coming out of months of Electroshock Therapy would have. <br/><br/>I never saw how this 'acting' contributed to the 'character' in any way. In fact, there is almost no character to speak of, and you'd almost forget him if it weren't for the fact that he is in almost every scene of the movie.<br/><br/>Second (Spoiler I guess), even thought it started with a cool premise, the story unraveled poorly and I honestly didn't get the point. So what, they spent the whole movie training, all of it to get through a 5 minute scene at the customs where nothing really happens and another climatic 5 minute chase on the runway where clearly the car has no chance of stopping the plane, and in fact it doesn't, so there, the end? I mean, seriously?? <br/><br/>I can only imagine that this movie has such a good rating because most people haven't even bothered reviewing it. There was a bunch of other stuff I wanted to complain about but that movie was so bland that I forgot."
"doorsscorpywag","3","112","166","14 January 2013"," Argo F#ck Yourself
","Argo is not a particularly great film but tells an interesting story in a somewhat ironic fashion. Ironic because the central tenet of the tale is an imaginary movie and how Hollywood could create a lie to mask the rescue told in a way that is in itself as big a fantasy as the movie for that very rescue.<br/><br/>I am a big fan of Ben Affleck and enjoy his films and think he is a capable director. But sadly Argo is pretty dull and even the fake scenes made up to ratchet up any tension fall flat.<br/><br/>The acting is not particularly that good either. Not because the actors were at fault. Clea DuVall is a fine actress and Arkin and Goodman both excellent. But sadly the script does not give them a lot to work with. The fake scenes in the Canadian Ambassadors house are hardly riveting. Although we do get a bit of Led Zeppelin IV which showed they had some musical taste.<br/><br/>Afflecks character is pretty two dimensional with a bit of a sad family background thrown in to make us sympathetic. Sadly it does not work. The CIA look a bit more organised than Zero Dark Thirty but we do get the odd banging and shouting scenes at the climactic fake finale scene as they rush desperately to make the flight out of Iran.<br/><br/>That whole segment of the film was quite the worst part of the whole exercise and the shots of the Revolutionary Guard chasing the plane was frankly silly more than tense. Of course in reality they just turned up early in the morning and were waved with no fuss onto their escape flight and the movie cover was barely an aspect of the getaway.<br/><br/>Another aspect of the movie was how it makes a point that the British and New Zealand embassies turned away folks from the American embassy which was NOT remotely the case and both embassies played a part in keeping them safe. I understand that for the narrative and pace of the movie these facts were not addressed. But I don't understand why Affleck felt the need to lie about what these people did by saying they did NOT help. Why not just say nothing at all. I guess it is a sop to the uninformed American audience who like to think that their allies are so unreliable and it makes the American part in the rescue more important. <br/><br/>The Iranian's or Eyeranians as they have become known don't get much of a good deal either reduced to screaming lunatics rampaging around the streets hanging people from mobile cranes. But let's not forget how they ended up like this due to decades of Western interference. I am sure the vast majority of people there are decent enough folks. But America needs its boogie men and after all to be fair the hostage taking and probably rather frightening captivity of the other 50 odd Americans was not a fantasy. <br/><br/>Overall the lies and fantasy of Argo overwhelm the good parts of the tale and drag it into the realms of the nick of time Bourne type thriller without the car chases, shoot outs or cool martial arts fights.<br/><br/>Along with Zero dark Thirty and Lincoln another revisionist pap fest wrapped in red white and blue. Which is a shame as the real story was quite a decent tale on it's own but probably not as exciting."
"SampanMassacre","1","245","381","16 October 2012"," Dull and Overrated
","In a particular scene, one of the ""hostages"" (one of the escaped Americans from the taken-over Iranian Embassy) is looking outside the window of the safe house, and he sees, right on the street, a guy getting shot... The guy looking out the window has a blank expression, and this sums up the overall suspense and vibe of ARGO that, until the last twenty minutes when the characters are trying to silently escape through the airport, has little momentum and simply goes through the motions.<br/><br/>The aspect about the fake film, that will provide a cover to save the hostages, is rushed, and although Alan Arkin has funny lines, there are very few obstacles for the characters to get that fake movie going... One step to another, all the characters seem to sleepwalk through each scene where people sit behind desks and talk to each other.<br/><br/>Affleck's directing style is good, it looks good, but his performance is dull and listless... Much like those hostages that we are supposed to feel for but, with their horrendously distracting 1970's wigs and mustaches, they're just wallpaper in a wallpaper experience.<br/><br/>This is the most overrated movie of the last decade."
"CalRhys","Null","138","211","24 February 2013"," Intense Film Packed With Emotion
","Argo is the political thriller based on the 1979 Iranian hostage situation in which 6 Americans were left to fend for themselves in the centre of Tehran. CIA Operative Tony Mendez (played by Ben Affleck) is sent into Iran to evacuate the Americans out safely under the cover of being a film production crew working on a picture called 'Argo'.<br/><br/>The film is absolutely amazing and definitely one of the best films I've seen in a long time, throughout 2012 and 2013 so far we have been treated with some great films such as Skyfall, Django Unchained, Life of Pi, Les Miserables, Zero Dark Thirty and more, but in my own personal opinion Argo takes the bait as the best of them all. Proof is present as it won 3 BAFTA's for best picture, best director and best editing, also nominated for a further 8 Oscars in 85th Academy Awards.<br/><br/>The film is packed with a sense of threat, peril and intensity all portrayed exceptionally well through the ensemble cast including Ben Affleck (The Town), John Goodman (Big Lebowski), Bryan Cranston (Breaking Bad), Alan Arkin (Edward Scissorhands) and Victor Garber (Titanic). The ending is by far the most intense ending I have seen in a long time, visually presented in such an astounding way.<br/><br/>Director Ben Affleck started out his auteur career after his directional debut Gone Baby Gone became critically acclaimed, three years later The Town came out with an Oscar nomination. Now 2 years on we have Argo, Affleck's best film by far."
