"username","rating","helpful","total","date","title","review"
"deanmasters","9","420","518","28 December 2006"," Finally a film that doesn't assume you're an idiot
","After enduring trailer after trailer with endless stings of explosions, ridiculous CG-assisted stunts and mindless action, I felt very rewarded with an intelligent and intriguing film that defies the status quo of bigger and louder is better. <br/><br/>The Good Sheperd doesn't insult your intelligence, it stimulates it, sometimes confuses it, and forces you to look several layers beneath the surface. It feels like a throwback to another era of films when the complexity of a character was of greater importance than spectacle. <br/><br/>De Niro took a page from his producer's best work, Francis Ford Coppola, emulating films like The Godfather, The Conversation and Apacalypse Now. The drama rises not from the usual blatant conventional devices but rather by raising questions because of what we're not told and not shown. It requires a great deal of courage to use this style as films have gravitated more and more toward assuming the average moviegoer is of substandard intelligence. The scope of the film is enormous, yet the point of view is narrowly focused to be seen through the eyes of one man. There are a dozen of subplots, but all are carefully tied into the through-line of the story to match the main character's progression. <br/><br/>The film may require some understanding of American history from WWII through the Kennedy administration. It starts with the later years of the story, The Bay of Pigs debacle, and traces the steps that lead to it, one of the more embarrassing moments in the history of U.S. foreign policy. I found it a bit annoying that Matt Damon's character, Edward Wilson, barely seemed to age in the film while others around him did (the best way to determine his age is whether he's wearing wire-rimmed or horn-rimmed glasses), but it didn't ruin the film for me. <br/><br/>Overall though, definitely one of the best films of 2006. A rare film that makes you want to think and understand, rather than forget."
"Chris Knipp","9","337","440","22 December 2006"," The spook who stayed in the cold: an epic critique of the American espionage game
","A gray winter day was a fitting time to see one of the first public screenings of a film called ""The Good Shepherd,"" whose chilly hero Edward Wilson (Matt Damon, in a role modeled in part on CIA founder, James Jesus Angleton) is not so much all things to all men as nobody to anybody. A composite figure in a portrait of the birth, rise, and moral shriveling of the American CIA, Matt Damon's disturbingly shut-down Wilson would be one of recent film's most tragic figures if he were not such a hollow, unappealing man. Directing a long-contemplated project using a screenplay by Eric Roth (who penned ""Munich""), Robert De Niro has forged a ""Godfather"" of Yankee spy-craft, a heavy, solemn epic about betrayal and loyalty in the world of espionage and counter-espionage dominated not by Italians as in the original ""Godfather,"" though Coppola produced, De Niro directed, and Joe Pesci has one of the liveliest on screen moments, but by uptight, stony, patrician WASPs.<br/><br/>Indeed as seen here the world of American intelligence is a privileged and exclusive and deeply conflicted one where Irish, blacks, and Italians need not apply; fathers are absent; privilege grows out of Skull and Bones at Yale, wives are betrayed; sons labor desperately to measure up, and the leading practitioners are ridden with guilt and suspicion. There is no one to trust and nothing to believe in  not family or tradition, or even music  only America, which Edward Wilson says belongs to his class. All others are just visiting.<br/><br/>Into this demoralizing story, damning in its picture of the world of white privilege and of intelligence itself but nonetheless intricately involving and at times genuinely disturbing, are woven some of the major incidents and personalities of the period from from before the Second World War  after which OSS morphed into CIA till after the failure of the Bay of Pigs invasion under JFK, from hot war to cold war. You have Philbys and fake Russian turncoats, CIA execs siphoning off money to Switzerland in guise of chocolate boxes, and through it all you have a Cuba mole investigation that smashes Wilson's own family.<br/><br/>Wilson's true penchant was for a deaf girl named Laura (an excellent Tammy Blanchard); and with her is the only time Damon seems to develop human warmth. He is forced to marry the more elevated Margaret Russell (an uncomfortable Angelina Jolie) sister of one of his Skull and Bones colleagues who remains Wilson's Old Boy link to privilege ever after. Traumatic embarrassment, revelation of closest held secrets, and doubt of loyalty are seen as inborn elements of the espionage world. The very qualities that make a good spy, as seen here, also make a man untrustworthy.<br/><br/>Do spies ever have fun? Not much, as seen from the angle of Damon's character. Dr. Fredericks (Michael Gambon), a randy gay pseudo-intellectual who turns and turns again, is naughty, but he pays for it. Another Brit, Arch Cummings, played gamely by Billy Crudup, similarly wears a smile that turns to dust. A good professional of the lower ranks like Staff Sergeant Brocco (John Turturro), Wilson's OSS assistant in England, is a stern sadist whose use of LSD for an interrogation backfires fatally. Nasty sabotages are devised to spoil the left's Latin American agricultural schemes. Big foul-ups like the Bay of Pigs invasion lead to vicious internal purges. And through it all Wilson's son cringes and his wife pines; the marriage had dried up after his six-year absence during WWII; and his imploded selfhood is symbolized by his only hobby, building ships inside bottles. As the film bluntly puts it, the spy-master must choose either family or country; he can't have both. And is it all worth it? The Russian on LSD declares his country's armed might a myth perpetuated by America to justify its ongoing pursuit of world dominance. Is intelligence a needed quantity, or are its organizations self-perpetuating shams? The movie never gives a positive answer. This may be the cruelest picture of the spy game ever put on film.<br/><br/>Many fine actors play small unappealing roles as spy-masters or cold operatives. These include De Niro himself, Alec Baldwin, and William Hurt, all creditable, but unlikely to get Oscar nods for their tightly held back performances. Damon can be accused of the same limitation, though if his Wilson bothers you, he's done his job better than you may think. And young Eddie Redmayne, as Wilson's grown son, has one of the most gut-wrenching roles in a story notable for its devastating picture of the effects of career on family life.<br/><br/>Despite its epic scale and length (it's 160 minutes long), ""The Good Shepherd"" is more troubling than flashy, more thought-provoking than moving. Ultimately it may be somewhat an artistic failure. The criticism that it is either too long or too short, that it needed to be pared down or expanded to a mini-series, has some merit. But nonetheless as a work that considers big issues and asks big questions, it's one of the more serious and intellectually stimulating mainstream American films of the year."
"HhH43089","8","285","371","24 December 2006"," An incredibly complex work and one of 06's finest...
","The Good Shepherd 3.5/4 4/5<br/><br/>The Good Shepherd is an incredibly complex work and one of the finest films of a quality ripe 2006. Oscar winner Eric Roth continues his brilliant work with this original screenplay, named one of the best unproduced scripts in Hollywood in the late 90's. A film about one of the CIA's founding officers isn't a dream project commercially for a studio but thankfully, the quality of the script was too great to ignore.<br/><br/>Shepherd follows the life of Edward Wilson (Damon) through his college years at Yale to his ascension as one of the CIA's founding officers and trusted veterans. His extraordinary dedication to his work comes with an unbearable price as he must sacrifice his family to protect his country. At one point in the film, Wilson faces an enormous choice- does he abandon his ideals for what he believes is right? Would this abandonment render his life, almost solely devoted to his country, meaningless? This, as well as a depiction of the result of Wilson's decision, are just two of the moments of brilliance in The Good Shepherd.<br/><br/>Wilson inhabits a world of betrayal and secrecies only enhancing the irony of the biblical quote inscribed on the CIA's wall- ""And ye shall know the truth and the truth shall make you free"". While we are given a glimpse into the life of a younger, more vital Wilson, the world he occupies creates the characteristically stolid, humorless man we come to know.<br/><br/>With its vast emotional core, the film seemingly effortlessly navigates one of the most volatile periods in the history of American intelligence while remaining character based. At 165 minutes, it is overlong but remains engaging for the vast majority of its running time. Had a few relatively insignificant scenes been cut, Shepherd could have retained the thrilling and energetic pace it often possesses. However, the length is justifiable as the scope of the film is incredibly large and very few scenes can be deemed unnecessary or dull. <br/><br/>Robert DeNiro's direction far exceeds that in his debut, 1993's ""A Bronx Tale"". Normally portrayed as a brute, here, DeNiro assuredly handles every moment with an innate tenderness we rarely see in his work. He appropriately treats Shepherd with a precise attention to detail often attributed to some of the greatest directors of our time.<br/><br/>A silently haunting Matt Damon carries the film on his shoulders. Edward Wilson is completely introverted and while Damon internalizes his thoughts, some of the films greatest moments are when emotion unknowingly pours out of Wilson through a mere flicker in his eyes. Angelina Jolie and Michael Gambon deliver very strong turns amidst a one of a kind cast topped off by the return of Joe Pesci, whose last acting stint was 1998's ""Lethal Weapon 4"".<br/><br/>The Good Shepherd is a film that demands to be seen. It is surprisingly apolitical as Wilson's life and its disintegration are the true story of this epic. While some call it ""unsentimental"", exactly the opposite is true. It is a testament to Roth's script that a film with such an introverted protagonist provides such a visceral, affecting experience. Shepherd is an intelligent, poignant look at the cost of blind dedication and constant secrecy. The effect this has on Wilson's life is irrevocable as we are taken on a remarkable cinematic journey, one that should be remembered as one of 06's greatest."
"Rooster9","7","156","203","8 December 2006"," For the patient, a rewarding ride
","I can't vouch for how much truth can be found in ""The Good Shepherd."" After all, how much can you really know about an organization that deals in lies? But I do know that Edward Wilson (Matt Damon) is the perfect, duty-bound man of privilege -- born in the north east, bred in the Ivy League, lured into a secret society of cocky heirs to American industry, and made into a man feared by others only because he, himself, feared his superiors. <br/><br/>And even though Edward never truly existed, he managed to turn a cloak-and-dagger fraternity into a megalomaniacal arm of the government. And while the CIA was never intended to become the ""heart and soul"" of America, Edward helps to make it just that... while losing his own soul in the process. But the greatest irony of them all, is that Edward never wanted any of it. Like the heir to a dynasty, Edward was chosen from among the young elite, molded and coerced his entire life, as if the great machinary of America's powerful few knew he would be the perfect cog. And he was.<br/><br/>This is what ""The Good Shepherd"" does best. It creates an intriguing, tragic story worth telling, with no small help from the legacy of ""The Godfather"" series. Director Rober DeNiro channels Francs Ford Coppolla right down to the operatic, dual-story ending. The grave tone and slow escalation of this thriller may seem like a slow burn, but it's ultimately worth the fire, even if it does leave you craving a bit of Hitchcockian suspense (a couple of punch-ups from the oft-maligned Brian DePalma couldn't have hurt). But the subtle, dead-on acting from Damon will ground you. In the end, Edward is confronted by the responsibilities of duty and loyalty to family. And it's wonderful to see Damon take two ""Godfather""'s worth of psychological burden and prove that he has the talent and strength to shoulder it.<br/><br/>On the other hand, the film suffers from a few bouts of contrived and melodramatic dialogue (mostly heaped upon the film's two, underwritten, female leads and on DeNiro's mugging cameo). And it's easy to get lost in the second act, during several mysteries about Russian spies and the Bay of Pigs invasion. With some sharper editing, the story could have been tighter and more focused early on. The more we drift away from Damon's central character, the more the story wanders. As it is, much of the story's intensity falls on the film's final act. But what an act it is.<br/><br/>The final twenty minutes comprise ""The Good Shepherd""'s emotional and thematic backbone. For some audience members, it might come a little too late... after two hours of serpentine plotting, deliberate pacing and extensive backstory. But, for patient viewers, the slow burn will be worth it."
"Andre-148","8","182","239","2 January 2007"," Excellent
","Excellent.<br/><br/>The good shepherd is an excellent film. The reason this film was dubbed the ""Godfather of spy movies"" is because ala the ""Godfather"" De Niro uses real life situations involving the CIA and blends them together creating a story around the lead character played by Matt Damon. In addition,several great performances in character parts complement Damon's performance, notably Michael Gambon and John Turturro were both superb. You shouldn't view this film expecting to be blown out of your seats, it is deep, and requires strict attention to detail. My wife and I viewed this film in a packed movie house and we were very certain that half the people in the audience didn't understand or appreciate what they had just seen. I am not saying you need to be of great intellect to enjoy this film, but one of the things De Niro manages to do is bring back a thinking man's drama that is often not seen in today's attention deficit, shoot them up, bang  bang movies. This film makes it obvious that Directors Bertolucci and Leone have left a huge impression on De Niro and the result is a movie that both would be proud of."
"Whistler718","9","119","163","1 January 2007"," Remarkable
","I wasn't sure that a movie like this could or would still be made and released in this country.<br/><br/>No, it wasn't Mission Impossible 6. It didn't have the overwhelming special effects, chases, explosions and gunfights one might expect in a spy thriller. It didn't need them. Thrilling enough was the exposition of character (imagine that). Plot? Whose real life has ever had a tight plot line? Edward Wilson's life meandered along like many do. In fact, I found it even more interesting because the turns Wilson's life took seemed dictated by his character and not just by his chosen profession.<br/><br/>Courageous choices were made by DeNiro in making this film, by Damon in tackling the role with such coldness and stoicism, and by Jolie in passing on being a movie star in favor of being an actress."
"leftie_imw","9","105","144","1 January 2007"," An intelligent tale of duty and loyalty
","I went into the theatre with little knowledge but that I was going to be watching a film about a man who was one of the founders of the CIA. Expecting this, I thought this movie was outstanding and a mind game from start to finish.<br/><br/>What one has to understand about the movie itself is that it is as complicated as the storyline. It starts out with two different time lines, decades apart and slowly one reaches the other. That in itself can be difficult to follow, but it is well worth the effort to pay attention because if you can leave the theatre understanding what took place, you walk away with a little more knowledge about the human complex.<br/><br/>Because this is a story more about the soul and our humanity than it is about spies and country. Those are just the means by which De Niro uses.<br/><br/>Every actor is placed remarkably well and no more so than Matt Damon himself. It is his acting that gives us Edward Wilson; a man without airs who doesn't compromise. The movie spans over twenty years and fortunately we see those years reflected in most of the characters. Angelina Jolie does the neglected, alcoholic wife superbly. William Hurt and Lee Pace as Richard Hayes both give a wonderful performance taking their character's flaws from subtle to substantial by the end.<br/><br/>Some might wonder how so many actors could be recruited for such small roles, like Alec Baldwin, Michael Gambon, and Joe Pesci, but one only has to see as far as the director to get their answer. Don't let the big names and the anagram CIA get you. This movie is as edgy as it is intricate with twists and turns that take the viewer through the world of trust and the human element. A man like Edward Wilson is just the perfect vessel for the journey."
"Doylenf","7","140","198","24 December 2006"," The murky world of CIA deception as seen by one family man...
","Before I go on to praise the good points of THE GOOD SHEPHERD, I should mention at the start that the film badly needed some judicious editing. There are many scenes that go on for too long a time and are badly in need of some artful editing to get the point across just as well.<br/><br/>Aside from length, everything else about the film is on the plus side--the handsome cinematography, the vast amount of settings, the background score that adds to the drama, and the performances of the entire cast which are uniformly good. I'm not a great admirer of ANGELINA JOLIE as an actress, but here I think she demonstrated skill at suggesting the loneliness, frustrations and jealousies of a woman whose life has to remain outside the boundaries of her husband's job with the CIA. Through a series of detailed vignettes, the murky world of an agent's life of deception within the government is sharply observed.<br/><br/>More of a character study of Edward Wilson (played in stolid, very serious fashion by MATT DAMON) than a straightforward spy yarn, it manages to hold the interest even though it uses the flashback method of storytelling that is apt to confuse a viewer if it isn't done well. But here again, there is a flaw--it covers a span of twenty or more years but the aging of the central character is never quite convincing enough. Damon never looks that much older than his grown son--whereas a few gray hairs might have helped considerably. As his grown son, EDDIE REDMAYNE does reasonably well as the man seeking his father's approval.<br/><br/>As for the supporting players in this story about one man's experiences in the newly developing CIA, JOHN TURTURRO does an outstanding job as a tough inquisitor and MICHAEL GAMBON is outstanding as a security risk with homosexual tendencies. ALEC BALDWIN has little to do but is intense enough as one of the agency's top men and others in the cast maintain credibility all the way through.<br/><br/>The story itself is rather problematic in that nothing is what it seems and not all the information is readily given to the viewer in a way that makes sense. This is partly the fault of the script and partly the fault of director Robert De Niro who also assumes a small role effectively.<br/><br/>But still, despite the handicap of being too long (and a bit too involved at certain points), it makes for fascinating viewing and is the kind of film you dare not divert your attention from for a moment. If you do, you are liable to miss an essential plot point.<br/><br/>Summing up: Highly recommended for anyone with a keen interest in espionage dramas."
"tccandler","10","49","65","6 April 2007"," We are all boot-makers to kings.
","""The mental facility to detect conspiracies and betrayal are the same qualities most likely to corrode natural judgment."" Almost every year, there is one great film that slips under my radar. I usually wait for it to hit DVD because it keeps getting passed over for other films I'd rather watch. However, when I finally get around to seeing it, I wonder to myself how I ever let it pass me by.<br/><br/>In 2006, that film is Robert De Niro's ""The Good Shepherd"". Here is a cinematic gem that hits all the right notes. It is a study in detail. It is a master-class in mood and tone and style. This movie is a fascinating character study and a riveting story of trust, loyalty and betrayal -- both personally and politically.<br/><br/>Edward Wilson (Matt Damon) is a gifted young man whose keen intellect and sharp observational skills soon catch the attentions of some important people. While attending Yale University, Edward is recruited into the uber-secretive college society known as the Skull and Bones. During the initiation ritual, he is asked to recount a secret that he has never before revealed -- a pledge of trust and brotherhood. He describes his father's suicide as a result of being a disgraced naval officer.<br/><br/>The FBI becomes aware of Edward's abilities. His encounter with a poetry professor only serves to expedite his venture into the world of espionage.<br/><br/>Edward's ties to that secretive community cost him his first love, Laura, a beautiful young deaf girl with a heart of gold and a pure spirit. Instead, a relationship seems forced upon him with Clover (Angelina Jolie), sister to one of his fraternity colleagues. An unplanned pregnancy rushes along the marriage plans. It becomes a loveless relationship between strangers.<br/><br/>The film follows Edward's life, shifting between the 1940's and the 1960's, counterbalancing the eager early loyalty with the paranoid, lonely and resentful man he becomes later in life. ""The Good Shepherd"" is a finite analysis of a man who knows what the important things in life are (family, love, friendship, parenting), but substitutes them for patriotism and duty -- perhaps as a way of restoring his father's honor.<br/><br/>What De Niro does so well is to patiently, rather microscopically, dissect Edward's life in the world of intelligence. Every detail of this man's soul is laid bare for us to see. It allows the viewer to respect and pity him at the same time. It is probably the greatest cinematic exploration of espionage ever made. We are privy to this character's very core.<br/><br/>Consider the multiple virtuoso sequences in which the CIA lab technicians systematically analyze a fuzzy black & white photograph in conjunction with a low grade audio tape. It is a fascinating study in detail that serves as a microcosm to the entire movie. De Niro's legendary attention to the details of his portrayed characters has quite obviously transferred to his directing. Everything of value in ""The Good Shepherd"" lays in the subtle moments... the momentary glances... the uncomfortable silences... the verbal hints and clues.<br/><br/>Also note the fabulous exchange in a covert London counter-intelligence office between Matt Damon and John Turturro. It is a fantastic exercise in screen writing, rapid rhythmic delivery and understated, yet mesmerizing, acting. It was wonderful to watch the ""Rounders"" duo reunite and square off with some great dialogue once again.<br/><br/>This may be De Niro's epic creation, but in terms of acting, this is Matt Damon's film. What he achieves here is nothing short of... well, nothing short of De Niro at his very best. Damon picks the bones of his character clean. It is a performance that establishes him as one of the greats of a generation. None of his contemporary peers can carry the face of solemnity and gravitas quite as powerfully as he. This role is Damon's ""Raging Bull""... albeit a quiet rage. This is the best performance of 2006... from either sex.<br/><br/>There are many fine supporting roles on display. Most noteworthy are the turns by Alec Baldwin as the all-knowing FBI agent, Tammy Blanchard as Edward's regrettably lost first love, and Michael Gambon as the wise professor who has been in the game too long. It was also a welcome sight to see Joe Pesci in a feature film for the first time in a long while. The entire cast is first rate -- an obvious sign that De Niro knows how to cast a film with actors as precise as he.<br/><br/>This film truly captures how lonely it must be to work in the intelligence community, especially at that time. Half way through the film, Edward receives the news that his first son has been born. The resulting phone call to his wife is interrupted by air-raid sirens and horrible static. His wife asks if he is busy saving the world. He replies, ""Sometimes. What color are his eyes?"" When the line is cut off before she answers, we empathize with Edward's decision to sacrifice his own happiness for the good of his ungrateful government.<br/><br/>When Edward unexpectedly runs into Laura, some years after their college romance, she confesses that she often wonders what life would have been like had they stayed together. It is a poignant scene, filled with regrets of what might have been.<br/><br/>I watched two other films in the past week that were within touching distance of greatness. ""The Painted Veil"" and ""Goya's Ghosts"" were both in need of a little more patience -- maybe they were afraid to go much beyond the two hour mark for fear of being commercially unviable. At two hours and forty-five minutes, ""The Good Shepherd"" goes the extra mile, resulting in a complete filmgoing experience. Quite frankly, it is an unassailable masterpiece.<br/><br/>TC Candler IndependentCritics.com."
"jimojimo","4","21","26","29 May 2007"," This movie oversteps the 'dramatic license' allowance
","Coupla things (no pun on Francis-Ford intended) about this movie. (spoilersbelow) <br/><br/>First, some minor details that bugged me--things that really violated what I consider to be reasonable dramatic license in plot lines or scenes, (not in order of seriousness): 1. The photos of Wilson in the cab during his brief affair with the deaf woman. That fling was a completely spontaneous thing, and his meetings with the Ulysses guy (after which that fling followed) would have been scheduled in utter secrecy. So how would someone have been following him to get these photos? Even if it were the Russians--who would have known of the meeting through Ulysses--they would have gained little or nothing from trying to meddle in his personal dealings with his wife. They're not after that kind of dirt on him, and risking blowing their cover by giving her the photos would be like the FBI blowing their cover on a years-long sting operation by giving their quarry a traffic ticket. It made no sense. And Angelina Jolie's character wouldn't have had him followed--first, I don't think she really cared that much, and besides--he's the top spy--he wouldn't have been found out by some second-rate private-eye.<br/><br/>2. Her (Angelina Jolie's) reaction to his affair was way, way out of line with her character. She'd already admitted she had an affair, and he was basically an absentee husband and father, they both knew the marriage was utterly baseless. So why would she be so upset? She said she was 'humiliated'. How? Nobody else knew about the photos but her. Why make a scene like she did--that's the only thing that humiliated her.<br/><br/>3. The thing with the son and that girl was so far out of sync with any reality that it really ruined the whole movie for me. First, I'd guessed it at the moment his son asked to join the CIA. And that was really the central part of the movie--from beginning to end they were trying to figure out the tape and the sounds and all that. Back then, a transatlantic love-affair in the Congo would have been exceedingly difficult to both conduct and especially hide--even from an absentee father. There were several other things that were out of bounds but once a movie oversteps that 'dramatic license' boundary once or twice, the rest don't matter--the movie is ruined. <br/><br/>Also, this movie broke rule #1 (in my opinion): For a movie to be really likable, you need to have a central character that you either like, understand, or can at least relate to in some way or another. Wilson was like a piece of cardboard. Like the one line said ""There can't be two of you"". <br/><br/>Finally, for this to be interesting I think you'd have to have some prior knowledge on the subject, ie, have read at least a book or two on it to catch and/or follow some of the highly enigmatic dialog. I've read several non-fiction works on this, as well as some 'based on fact' fiction books, and fortunately *some* of the subject matter was familiar and semi-interesting. But this movie couldn't make up it's mind as to whether it wanted to be a 'based on fact' fictional movie, or a pure fantasy fiction piece. It mixed them and therefore sold itself short on each one.<br/><br/>--Jim"
