"username","rating","helpful","total","date","title","review"
"samyy_866","8","18","19","23 May 2010"," I found it quite difficult to watch
","I will start by saying I have never read the book so I'm basing my review solely on the film.<br/><br/>I actually found the film very hard to watch and cried most of the way through. It is a very beautiful film but I think what is unfortunately overlooked my many is that the strongest relationship in the film is that between John and his father and it is this relationship that made the film very emotional for me. In particular scene following his fathers stroke where John was reading the letter was beautifully done and very well acted and was the scene I found most upsetting.<br/><br/>I think the film explores a number of important aspects in particular having an autistic parent which I could only imagine would be exceptionally difficult for any child, particularly when said parent is their only carer. As seen with the characters of both Aaron and Johns father relationships are often quite difficult for those with some types of autism, routine is important and going against a routine can cause a lot of angst and distress. Its unfortunate that a number of people continue to see autism as an excuse for peoples bad behaviour and I think this film brings and important note to an often misunderstood illness. It also points out the issue of autism in parents which is another issue often overlooked.<br/><br/>The relationship between John and Savannah is only secondary to that of John and his father and I think its well acted by Channing Tatum and Amanda Seyfried. To me both actors seemed to really feel and understand their characters and the hurt between them and I did like how the ending between them was really left open to interpretation.<br/><br/>In all a very well done film which explores some important social issues but no review will ever truly do this film justice. I for one could not watch it again because it made me so upset but this just goes to show how emotive the film is. Its a film that needs to be watched, even if it is only once."
"kirahheffner","7","25","28","31 May 2010"," not gonna lie,..i cried
","For starters, i'm not a big critic of movies. And sure, this one wasn't very complex, the characters weren't surprising and there was no big twist at the end--but i thought it was compelling. I had just seen Amanda Seyfried star in letters to Juliet, and was surprised at the contrast in her two characters..so that has to say at least SOMETHING positive about her. plus i just think she's cute and likable.<br/><br/>and who knows, maybe i'm just a sap, or i watched it at the wrong time of day, but i did cry. It's the classic tragic love story. the relationship that everyone wants but no one really ever gets. and things just keep falling apart. Everyone knew the dad was gonna die and Savannah was gonna move on from John while he was gone..but something about seeing channing tatum cry broke my heart and i sniffled the rest of the movie through.<br/><br/>i certainly don't think you should buy it. i probably wouldn't watch it again. ( i rented it on 99 cent Monday at my local movie store) but my time wasn't wasted at all. you just have to be a girl in the right mood :)"
"misskirsty","8","56","70","5 March 2010"," A lovely story with great characters
","Not having read anything about the film (or book) beforehand, I went into the cinema with no expectations, (though I was worried it might be a soppy, pull-at-the-heartstrings epic like The Notebook).<br/><br/>This wasn't the case. There were so many times when I thought 'Oh, I hope this doesn't happen', or 'I hope they don't do what I think they're going to do', and they didn't. There are moments of sadness, but some of them could have been made a lot worse.<br/><br/>The story isn't unique, (neither is The Notebook) but it is executed in a way that makes you feel as though you're watching something new. Channing Tatum is the lovable beefcake reminiscent of Marky Mark, and Amanda Seyfried is cute, delivering well executed dialogue. And I did actually think they had good chemistry, despite what other reviewers have said. Channing's John is an army boy who had a lot of issues growing up, so you can't expect him to be overly forthcoming with his emotions.<br/><br/>Richard Jenkins gives a great performance as the father, and even Henry Thomas is likable as the neighbour (I must be the only person in the world who hasn't seen E.T. so I didn't recognize the name at first).<br/><br/>To me, this was acted out a lot better (and even structured better) than Twilight: New Moon, which I assume is meant to appeal to the same audience. I know to some that isn't saying much, but perhaps our expectations are a bit high these days. If you want to see a sweet love story with likable characters, then you might just enjoy this film."
"nicki9112","7","39","50","29 May 2010"," Not bad
","Wow...I was expecting this movie to be awful after all of the bad reviews I've read. Nothing is wrong with this movie! Nothing is wrong with the acting. It's actually a pretty good movie. I am not usually one for romantic movies...usually because I find them to be lame. There are definitely moments in this one that tug at your heart and get you teary eyed.<br/><br/>I really felt for John in this movie. His character had a tough life... and the relationship between him and his father...It made me really sad! That Nicholas Sparks! He knows how to stir up emotions...<br/><br/>I have not read the book, so I can't compare the two but I say the movie is worth watching."
"TheLittleSongbird","7","24","30","3 September 2010"," Touching and wonderfully filmed with some believable acting
","I have to admit I wasn't expecting to like this film. I don't hate this type of film, but I had heard mixed feelings on Dear John, there were those who said it was touching and others who said it was too clichéd. Well after been blown away by The Notebook(book and movie), I saw Dear John. After seeing it, I don't think it is as good as The Notebook, but it was surprisingly good in my opinion. The characters are clichéd, and the beginning was a tad too fluffy for my liking, while there are some pacing issues. But while the book is better, having more depth and emotional punch, I was surprised at how touching Dear John actually was. The story is nice and believable enough, and there is some decent scripting. The direction is good too, while the cinematography and scenery are breathtaking and the score beautiful. Channing Tatum(my sister kept raving at how hot he was) and Amanda Seyfried are great and are believable together, while Richard Jenkins is heart breaking as Tatum's autistic father(I immediately sympathised with him as I have real problems with communicating with people and feeling comfortable around people and places I am not familiar with). I also liked the ending, it was ambiguous but also clever and subtle, and I think an improvement over the ending of the book(the book's only weak link). In conclusion, touching and well made, definitely worth a peek. 7/10 Bethany Cox"
"rooprect","Null","6","6","2 May 2018"," Dammit, Lasse Hallström made me cry again
","Lasse Hallström, the Swedish director who gave us Chocolat (2001), Gilbert Grape (1993) and Hachi: A Dog's Tale (2009) is at it again - making chick flicks for guys. This means, unlike your stereotypical chick flick whose leading man is a hollow beefcakey stud with as much personality as the scenery, here we get a complex beefcakey stud whom the chicks can swoon over whilst the bros say ""duuuuude he's cool.""<br/><br/>In this case the protagonist is ""John"" (Channing Tatum) who plays an Army Special Forces character who can kill you with a toothpick but has total control over his emotions. Until, of couse, he meets ""Savannah"" (Amanda Seyfried) over his 2 week furlough before going back to war.<br/><br/>As you might guess, the story explores the ultimate long distance relationship as John completes his 1 year tour as a soldier while Savannah waits at home. Sounds boring? Well wait, there are complications. John's father is autistic and his mother abandoned them years ago. So John is forced to be the responsible one, but the whole war/love thing throws him out of whack.<br/><br/>Meanwhile Savannah has a few secrets of her own (and I gotta admit I totally didn't see it coming). And on top if it all, 9/11 hits and this forces John to make a decision whether to stay with his platoon and most likely get his butt blown off, or retire once his initial tour is over. Oh, and the movie begins with John getting blasted by gunfire, meaning the story unfolds in a huge flashback leaving us wondering the whole time if John dies or not.<br/><br/>This is a very sentimental flick, much like the other Hallström movies I mentioned, but it doesn't get sappy or predictable. In fact at least 3 plot twists took me by total surprise. And I'm talking like ""whoa duuuuude I never saw THAT coming"" surprise.<br/><br/>""Dear John"" focuses on interpersonal relationships when duty comes into play - and I'm not just talking about duty toward your country (a cleverly woven parallel), but duty to parents, children and those who need help. This is juxtaposed against selfish happiness, or the storybook love. Pay close attention to the characters' choices & sacrifices, and how these choices are based on duty/selflessness rather than ""getting the girl"". I think that's what makes this a unique romance. Whereas most Hollywood romance flicks focus on the problems of 2 lovers, ""Dear John"" presents us with an ideal love that is complicated by external loyalties.<br/><br/>The trademark of Hallström movies is some other issue (not just love) driving the characters, and that's why these films aren't sappy or predictable. Another trademark is is use of gorgeous scenery, in this case the beaches of Charleston SC. He achieves a very nostalgic beach feeling, even for those of us who have only been to the beach once or twice in our lives (see also his film ""Safe Haven"" filmed in Southport, NC).<br/><br/>""Dear John"" is a quiet, sentimental film, so don't expect action, car chases & robots. But it delivers a few tricky plot twists, so it's never boring. If you're not familiar with Hallström's style, I'd say it's artistic without being over-the-top artsy. Think of Kieslowsky (Blue, White, Red trilogy) or Wim Wenders (Paris Texas, Wings of Desire) or possibly even Steven Soderbergh (Sex Lies & Videotape, Solaris, Magic Mike) and you'll have a general idea of how this film feels."
"vampirekittieprincess","1","52","77","10 September 2010"," I absolutely hated this film.
","I'm not much of a critic but this film makes me dislike it so much with a passion. Not only was it not all that exciting and entertaining in the beginning and after in the first place, but when John finally got the letter from Savannah after waiting months (which was when I thought things were finally getting good) it turns out from then on ..nor John or Savannah try to get back in touch with each other after that. It turns out later on when he visits home to see his sick father on his death bed that she did go through with the marriage after all the feelings that were ""supposedly"" floating in the air and all around them. She didn't come to see his father while he was deathly ill, nor to comfort John for all the pain and mental suffering he's been going through with the war and now the only person that he really had all along is dying. And even after his father dies she didn't show up to the funeral. I mean my god.... it seemed where they lived was in a small area how COULD THINGS NOT SPREAD AROUND such things like someone dying? So that didn't even make sense. And then after all the bullshitting around they did when they finally spoke to each other after so long, she gives him a bullshit excuse as to why she dumped him in the first place, and even that didn't make much sense. She said she left him because Tim needed her, and so did his son...and she was lonely and not thinking... lol I'm sorry but if you really care and love someone and think about them every single freaking day then no way in hell can you go through that much torture successfully, unless you're emotionally messed up. She was being selfish and didn't know what she wanted, so let's just put it at that. So then, John takes his father's coin collection and sells it (ok ..good for him) but only to spend the money on Tim's expenses so he can have more time with Savannah lol ...that's about it as far the story itself goes ...we don't really know what happens between John and Savannah after that because the film was done poorly. I have never read the book and I'm sure as **** glad I didn't see Dear John in theatre's because I would of wasted my money."
"hanin84","4","84","134","6 February 2010"," Don't read the book if you want to see and/or like this movie...
","I'll try to make this short and sweet, like the two weeks the two characters spent together before all hell broke loose:<br/><br/>If you read the book, lower your expectations. If you haven't read the book,...well, you can raise your expectations just a bit higher.<br/><br/>I was one of those girls who squealed every time they saw a TV spot, or watched the trailer on YouTube a million times. I bawled my eyes out when I read the book- both times I read it. Last night, I went to see the movie knowing full well that it wasn't going to live up to the book. Unfortunately, I was right.<br/><br/>What made 'Dear John' different from all the other love stories we've read and seen was taken away in the movie. I don't know how I would have understood what was going on in the movie if I hadn't read the book. Scenes were rushed (especially the two weeks where the two main characters fall in love), and characters weren't well developed at all. Heck, one of the main characters barely resembles (both appearance- and personality-wise) the character in the book. *cough*Savannah Lynn Curtis*cough*. <br/><br/>That said, there were a couple of scenes where the dialogue was sweet and funny. I also enjoyed the music, but that may be because I'm a huge fan of acoustic. Also, the scenery was absolutely beautiful. Not to mention Channing Tatum's body (pretty much the only thing worth my money). <br/><br/>As far as acting goes, Channing Tatum was the stronger one in this film. While I'm still personally neutral about my opinion on Amanda Seyfried, I found she's done better. She may be better off with comedy or musicals. And Richard Jenkins was lovable, as always. <br/><br/>If you've read the book, don't expect anything similar to it. I can't point out a single scene that even resembled that of the book. Part II of the book, especially, was almost non-existent. You will definitely be able to pick out the noticeable differences between the book and the film. Hopefully, you won't be TOO disappointed.<br/><br/>But like I said, you're more likely to enjoy the film if you haven't read the book."
"Boe-mari","1","19","26","30 April 2014"," This film only made me angry.
","I have read many reviewers that say that they have never written a review before, but they had to because of some movie that they really loved or hated. I have hated a lot of movies, I do not hate this one, but I rally really really did not like it. In fact I disliked it so much that I had to write a review. <br/><br/>So. <br/><br/>(NB! This review contains SPOILERS, do not continue reading if you do not want to know what happens. )<br/><br/>This movie absolutely made no sense at all. <br/><br/>The only good part was the emotional scene with John and his father, otherwise this was just completely crap. I mean, what? What happened?!? <br/><br/>For starters, as a man who has worked in the military for several years, if you find yourself in a combat situation where someone is firing bullets at you, you NEVER just stand straight up like John did when he got shot! Yes he was hurt during a combat situation and that is sad, but did it have to happen like that? It was just so meaningless! <br/><br/>And WHY did she even break it off? I didn't understand it, the explanation was just so lame! I can understand that she wanted to be there for Tim and Allan, but we never got any indication that there were any romantic feelings there, so why marry the guy? Couldn't she just BE there, without the marriage? <br/><br/>Looking at the film as a whole, the character development was nearly non-existent and I never cared for any of the characters. The script was bad and the time jumps were even worse. It was hard to keep up with how many years had gone by, and the story just made no sense.<br/><br/>As a side note I also find it highly unlikely that she did not know what happened with Johns dad. I will say it again: none of this made any sense!<br/><br/>I have been in a long distance relationship where my man was employed in the army and shipped off to distant and terrifying places. I never knew what was happening and I was always scared for him. This was 4-5 years ago, and I was hoping that this film would touch upon some of the things that I felt, and that I know my honey felt. But ""Dear John"" just did not cut it! They did not capture any real emotions (except maybe the scene with John and his dad), and I am deeply disappointed. <br/><br/>I am a movie-crier, I cry a lot when I see emotional films, but THIS film only made me angry with all the lost potential. This was just not worth seeing. My review had more emotions than this film. <br/><br/>1/10, and really not recommended at all."
"claudio_carvalho","3","45","69","20 September 2010"," Disappointing Soap-Opera
","In the spring of 2001, the Sergeant of the Special Forces John Tyree (Channing Tatum) meets the medical student Savannah Curtis (Amanda Seyfried) while surfing in Charleston during his leave and they immediately fall in love for each other. They spend a couple of weeks together and Savannah meets John's autistic father Mr. Tyree (Richard Jenkins) and John befriends her friend Tim Wheddon (Henry Thomas). When the enlistment period of John and his platoon ends, there are the attacks on the World Trade Center and John and the other soldiers decide to reenlist for two more years. John corresponds with Savannah until she stops writing and two months later, Savannah tells that she will get married. <br/><br/>I had great expectations with ""Dear John"", based on the previous works of the Swedish director Lasse Hallström. The beginning is nice, with Amanda Seyfried and Channing Tatum showing great chemistry in a pleasant romance. The reenlistment of John Tyree is acceptable based on a troubled moment of his country. However, the attitude of Savannah getting married with an older guy without any motive is inconsistent with her conservative profile and incoherent with the whole plot, and destroys the so far good romance, turning into a silly and disappointing soap opera. The terrible commercial last scene is corny and awful. My vote is three.<br/><br/>Title (Brazil):""Querido John"" (""Dear John"")"
"The_Fifth_Echo","8","94","157","30 January 2010"," A True Pearl.
","I saw ""Dear John"" at a special screening and I wasn't expecting much. I thought it was going to be a decent romance film. I hoped this movie came halfway as good as ""The Notebook"". My very low expectations of this film were pretty cynical. But I said Hey, what could happen? And when the movie finished, I was fulfilled. I didn't think it was going to be one of the best romance movies ever and it definitely wasn't. This movie is definitely for couples. The girls will like it cause they can connect with it.I recommend for everyone to see this film. It is touching, okay acting, and it does stick to the book. This film doesn't come close to the ""Notebook"", but people will like it no matter what. So if you want to buy a sad, romantic film. Then I'd recommend this film.<br/><br/>7/10 A Pearl"
"xodramaQueen","6","90","153","6 February 2010"," Disappointing and not what I expected.
","I was really looking forward to watching this movie - although, my expectations were not very high - but it turned out to be worse than I expected. I knew Channing Tatum was not the greatest actor - although, he is gorgeous - so I wasn't expecting very good acting. It was decent but I just didn't feel the chemistry between the two actors. The ""twist"" which I won't mention was where I thought the movie went completely downhill. It was very poorly executed and if you've seen the movie, you'll probably agree. Throughout, the movie was very slow- moving and not very exciting but there were a couple emotional parts! So far, the only people I've asked that did like the movie, seem to be the younger ones (12-15). <br/><br/>This movie is definitely NOT comparable to ""The Notebook"" like some people have been saying. It was nothing special, so I wouldn't watch it again, but I'd say it's good for a chick flick night. Another one of those movies like that looked SO much better on the commercials."
