"username","rating","helpful","total","date","title","review"
"MR_Heraclius","7","40","43","15 February 2020"," Ted
","Really funny at at times really stupid, Ted is not only extremely well performed by its all-star cast and an extremely satirical and stupidly funny film, its script and direction is also impressive, the music and touch is perfect which all makes for a very watchable and humorous comedy, the movie does still repeat itself and does feel tiring and slow-moving at times."
"manbearpig2","Null","330","517","30 March 2012"," Ted (2012) review
","I just want to state off hand that this is my first movie review, well other than just telling someone what I thought. So if you are looking for a well written, witty review then.. you might want to stop reading now. But since this movie is still in production, this will probably be your best bet for the time being.<br/><br/>I just went to a free screening of Ted at the Greenback theater in Sacramento, CA. And I just have to say off the bat, I LOVED it. A movie hasn't made me laugh that hard in a long time. Now, I'm not going to give you any more information than the description because with the movie not even being released yet, I think that would be a spoiler of some sort. But I will tell you that was so much better than what I imagined it would be, granted that was before I knew it was directed and voiced over by Seth Macfarlane. So if you're a fan of his, you're definitely in for a treat, and even if you're not I still think you would enjoy the innovative comedy that comes from a snarky and crude teddy bear companion. The acting was very solid, from main characters to jerk bosses, and crazy.. well, crazy people.. the acting was very convincing and enjoyable. The story was great, while it might sound stupid to some, myself included, it's very well executed. Definitely not one of the movies that left me thinking ""the idea was good, but they could have done so much more with it"", it was actually quite the opposite. And this is certainly not a low budget film, the CGI animation reflects this. The furry bear voiced by Macfarlane is very realistic and believable. <br/><br/>The only drawback I could possibly see that would cause someone displeasure would be, like a lot of new comedies, this film pushes the envelope in raunchy, vulgar humor. Plus the different amount of drugs used. This movie will receive (most likely), and be very deserving of a R rating. It doesn't rely solely on shock humor though, there is plenty of good old fashioned clean comedy. But if your like me, and that type of subject matter doesn't bother you, then I HIGHLY recommend this film. And if you're a Seth Macfarlane fan, then that's just a perfectly gift wrapped little bonus for you."
"JeffTheBadger","8","226","363","3 July 2012"," A party of a film... not for the easily offended
","I really should start this with a warning: This film is not for everyone! If you are easily offended (by swearing, sexual references, casual racism and various stereotypes) then you should read no further and give this one a miss. However, if you are a fan of Seth MacFarlane's other projects (Family Guy, American Dad) and maybe you call yourself an ""80's child"" (so many pop culture references to this time) you are going to love this.<br/><br/>Sure some parts are a little disjointed, the story seems vaguely familiar and the ""moral"" of it kind of gets lost but quite frankly, it's just so darn funny none of that matters. The script is hilarious, the cameos are fantastic and the soundtrack is perfect.<br/><br/>Ted himself is well animated and Seth (apart from sounding a little like Peter Griffin) voices him with the usual competence. Mark Wahlberg delivers exactly what we have come to expect from him, and the rest of the cast seem to have had fun filming, which comes across in the various performances no matter how big or small. The acceptance and interaction of everyone with a living teddy-bear adds to the simple joy of this film, and you find yourself happy to watch and not question why nobody is fazed by this. TED is a laugh a minute, party of a film and I, for one, can't wait to see it again."
"chang-skeee","1","224","403","8 October 2012"," One of the most disappointing movie experiences I've ever sat through
","I like Family Guy. So much, that I've always said that if I were stuck on a desert island, Seth MacFarlane is one of the people I'd want to be stuck there with me. I found this movie horrible, loathsome, and lazy, so much so that it actually made me question Family Guy. That's how bad I thought it was. It made me rethink my entire conception of humor. <br/><br/>I did not find this movie funny at all. The style of comedy it uses is similar to that of Adam Sandler, whom I loathe. There's a lot of yelling, a lot of cursing, and overall, a lot stuff that's supposed to be funny. There are no clever jokes, no sense of set-up and reward. Instead, it's ""oh look, the man is dancing, that's hilarious!"". Not. Or ""haha, that guy just said the f-word'"". Isn't that funny? Kill me. I did find exactly one scene funny- the one in which Ted and Mark Whalberg have a fist fight in a hotel room. That reminded me of Family Guy and I found the idea so absurd that it made me chuckle. But this moment of hilarity is quickly diffused by a ""getting hit in the groin"" joke. Now, I realize that Family Guy uses exactly this type of humor, but somehow I always found it funnier. Maybe that's the problem here- live action is a different medium and the same things that work in the campy universe of cartoons don't work with real people. <br/><br/>I realize that this is a comedy, but I do believe that even low brow comedy movies should have a basic story or plot. This was supposed to be a character driven movie. The idea is simple- Mark Whalberg is a man-child who must learn to take responsibility and grow up. The script screws up this idea completely and instead, Mark Whalberg makes absolutely no change as a person. Neither does Ted. I realize it's supposed to be adorable that a teddy bear smokes weed, but the novelty wore off in 2 minutes. That, and I found the accent horribly annoying. <br/><br/>I was excited to see the supporting cast list on wikipedia. Whalberg is great, but like I said, his character was very poorly written. Mila Kunis does nothing in the whole movie but play a horribly clichéd romantic comedy girlfriend who also has no character arc in the movie. Joel McHale is another cliché in the movie and the fact that he's in the movie is a waste of a talented comedic actor. Laura Vandervoort literally does nothing. I mean, I at least expected her to be the seductress who tries to veer Mark Whalberg off the path of righteousness, but even that doesn't happen. So why even have this supporting cast in the movie if no one's going to do anything? <br/><br/>The plot of this movie was equally weak. MacFarlane uses all of these clichéd rom-com scenes and does nothing with them. Here's a small example. This movie has 2 or 3 restaurant scenes. Now ask yourself- why exactly were these scenes in the movie? Usually, restaurants are used in comedy movies to employ some kind of restaurant related humor. Maybe there's a maladjusted person in an uncomfortable environment, or maybe someone has an allergy and they cause a scene. At least someone falling or something. But the first restaurant scene of this movie simply has Mark Whalberg and Mila Kunis sitting and talking. That could have just as easily happened in a living room. So why was the restaurant scene necessary? Why even do that? It's completely pointless. <br/><br/>The ending to this movie accomplishes nothing. Mark Whalberg is supposed to change as a person. The death of Ted should have signified something, and having him come back to life s**ts on the character arc completely and nullifies it. We have no reason to believe that Mark Whalberg will grow up or make any kind of difference in life. <br/><br/>This movie had way too much product placement. Horribly obvious product placement. <br/><br/>Here's what I think. I think Seth MacFarlane is a perfectly competent individual who chose to be lazy. He wrote a horrible script, packed it with TV stars we might recognize, and collected the money. It's not just that this movie had no redeemable qualities. I actually feel like my intelligence was insulted and that I was fooled out of my money. Please don't let movies like this turn off your brain. Think about what you're watching and why you're laughing and don't settle for crap like this."
"jaxbubba","1","285","522","11 July 2012"," Gawd Awful!!!
","I just do not get it!!! This movie is just plain awful, and yet it is breaking box office records for ""R-rated"" comedies. With a running time of 98 mins, I could only manage to sit through the first 40 minutes before turning off this unfunny, quite boring, and quite disappointing film.<br/><br/>The premise of this film is quite simple. At the age of eight (8) years old and with no real friends of his own, little John Bennett (Mark Wahlberg) makes a Christmas wish for his teddy bear to come to life. Ted and John become life long friends (""thunder buddies""); however, after twenty-seven (27) years of friendship, John must decide on either staying with his girlfriend of four (4) years Lori (Mila Kunis) or Ted.<br/><br/>Ted is the brainchild of Seth MacFarlane (Family Guy / American Dad) and he voices Ted as well. Ted has no redeeming qualities, and is combination of the two characters Quagmire and Brian from the Family Guy TV series. He's a pot-smoking, hooker dating, grocery clerk humping, foul mouth Neanderthal, who Lori (Kunis) feels is preventing her and John from having the adult relationship that she so desires to have.<br/><br/>In the 40 minutes that I managed to sit through, I never laughed, smirked, grinned or even hinted to a gesture of happiness to any of the ""so-called"" comedy being presented on screen because there wasn't any there!!!! Unless you consider a foul-mouth, pot smoking teddy bear as being funny, which I did not. However, the scene in which I could take no more, is when Ted, while working as a clerk out clerk in a local grocery store gets caught ""bopping"" another check out clerk in the store room, and explains to his boss that, ""Last week he screwed her with a parsnip and sold the parsnip to a family of four""  so his boss promoted him. IS THAT FUNNY?????? REALLY??? God, I feel like my dad now, I must be getting old!!!! Anyways, the film is making money hand over fist, and has already crossed the $100 million, and expected to cross the $200 million mark by summer's end. I JUST DO NOT GET IT!!!!!! I cannot recommend this film, I cannot even finish watching this film. It's being marketed as this year's ""The Hangover"", and I can assure you it is nowhere as funny as the ""The Hangover"". I would say avoid at all costs but who am I???? SEE MORE OF MY REVIEWS ON FB @ ""THE FARIS REEL"""
"super_mario_crivellaro","2","170","304","20 July 2012"," Not for everyone
","I came into this movie expecting to be laughing almost the whole time, but I sat through the movie almost bored out of my mind! I was on the verge of getting up and leaving but that would of been rude. So instead I sat through the almost unbearable part of the movie where Ted and John (Mark Wahlberg)have a big fight (surprise surprise) and John's girlfriend dumps him (another surprise -_-) it's just a barrage of clichés to be honest. The humour of the film was well below mediocre. I didn't understand some the jokes because they were referencing a celebrity that I have never heard about. The other jokes are about drugs, swearing and getting drunk. The only time I managed a laugh was when Ted was pretending to be a retard . All in all If you're American you'd probably understand and enjoy this movie more than I did. If not, stay away!"
"lansingjim","8","120","214","20 June 2012"," Crude, lewd and rude = perfect! NOT a kid's movie!
","I got into a screening of this movie thanks to my daughter, after waiting what felt like forever. I saw the unrated trailer on YouTube and couldn't wait to see it. As another reviewer said, if you like Family Guy, you'll like this. In some ways, it IS Family Guy. Wahlberg basically plays a Peter Griffin type character,a likable, but somewhat dimwitted guy. Ted is essentially Brian, smart, witty and self-centered and Mila is sort of a Lois type, hot and the grown up in the story. Be warned, this is NOT a children's movie. Nudity, drug and alcohol use, plus heavy on the profanity. In other words, go see it! Just leave your (little) kids at home."
"aidanratesmovies","10","11","15","4 April 2020"," One of the Best Comedies I've Ever Seen
","A smart, crude, but lively and hilarious comedy, Ted makes the most of its premise unlike any comedy before it, and truly shines as one of the funniest films I have ever seen. Mark Wahlberg and Ted, voiced by Seth MacFarlane, make for a lovely pair, and the two have chemistry I haven't in quite some time for a comedy film. Simply said, the film has it all. Booze, drugs, action, comedy, drama, Flash Gordon, everything. The soundtrack is great, the jokes are hysterical, the script is surprisingly impressive and realistic (for this type of scenario), and the direction is good as well. The pacing never seems to let up, and the film is almost exciting to watch by simply the fact it goes all in on what it set out to do. It's a truly top notch work for MacFarlane and proves to quite possibly be his best work yet. His talent shows in the film like never before, and he makes something truly delightful out of it. Ted isn't just rude and obnoxious, the film is full of heart too. And though the film may have a hard time taking its own matters seriously from time to time, when it needs to get emotional it does, and the film takes the risks it needs and accomplishes them. As with Ted coming to life in the film, this comedy is nothing short of a cinematic miracle, and proves to be one of the best experiences I have ever had watching a movie in my life (and I've seen over 1,000).
My Rating: 10/10"
"glen2010","6","68","120","12 August 2012"," A standard comedy - but with a teddy bear
","Whilst I did not dislike 'Ted' I cannot say I was overly impressed by it. The hype and popularity that built up towards the film's release had me expecting something fresh, something that would keep me laughing days after. To my disappointment, 'Ted', to me, turned out to just another Rom-Com, its only real unique twist being Ted himself. <br/><br/>Having said that, 'Ted' did provide some good laughs, whilst they weren't exactly side-splitting the film was entertaining and I did watch the entire feature without getting bored or uninterested. The animations for Ted were of a good quality, doing a good job in making it seem like Ted was actually there with the actors, rather than just a computer-generated 3D image. <br/><br/>What I felt let 'Ted' down was it's predictability and lack of memorable or unique laughs. Being rated as a 15, 'Ted's plot didn't seem to suit it's targeted audience, I have seen similar story lines in films rated PG or even U but the explicit content of 'Ted' was clearly intended for more mature audiences, therefore I felt it deserved a more mature plot. <br/><br/>Overall, I'd recommend 'Ted' to those who are looking for a relatively light-hearted story with a few giggles added in and a cursing, yet somehow still lovable, teddy bear. It's good, but nothing overly special."
"Movie_Muse_Reviews","8","173","331","29 June 2012"," Consistently funny and a surprisingly cohesive effort from MacFarlane
","First there was Gollum, then Caesar the ape and now ... Ted? If you thought motion-capture animation was beyond the range of foul-mouthed R-rated comedy, here's your evidence to the contrary. ""Family Guy"" creator Seth MacFarlane has taken his love of characters who shouldn't behave like humans behaving like humans to the next level —and the big screen — with ""Ted,"" a story of growing up — at the age of 35.<br/><br/>Fans of MacFarlane and ""Family Guy"" will be the first to tell you that the comedy pioneer has been more cold than hot lately (I guess those manatees in the tank of idea balls have been worked too hard). It's not easy to keep scoring laughs using the same non-sequitur formula over and over again, but fortunately ""Ted"" is a more comically cohesive effort than you'd ever expect from the king of unexpected random jabs, references and political incorrectness.<br/><br/>If you haven't been curious enough to find out what the film is about already, ""Ted"" tells the story of how young John Bennett (who grows up to be Mark Wahlberg), who had trouble fitting in as a kid, made a wish on Christmas Day for his teddy bear to come to life. His wish comes true and Ted becomes world famous, even appearing on the Johnny Carson Show. But as Patrick Stewart lovingly and frankly reminds us in his role as narrator: like Corey Feldman and Frankie Muniz, eventually, people stop giving a ****.<br/><br/>Despite a serious relationship of four years with Lori (Mila Kunis), nearly middle-aged John is still ripping bongs and watching '80s ""Flash Gordon"" with his equally irresponsible teddy bear best friend. Eventually, John must start to make sacrifices if he wants to become the adult that Lori wants him to be, and Ted is arguably the chief reason for his inability to shape up.<br/><br/>There aren't exactly any curveballs in this story, but that's when you realize you're watching a film in which a man is trying to stop hanging out with his profane teddy bear. Despite the obvious outcomes, ""Ted"" has to be considered an original comedy.<br/><br/>It's also consistently funny. Sure, the nature of many of the jokes is that they exist in a vacuum and aren't necessarily related to what's going on or what matters, but much of the references actually tie into the plot later on (such as Flash Gordon ... it'll make sense when you see it) and it's far less random than skeptics will come in expecting. That said, some of its best jokes and references will resonate on a personal level, i.e. if you watch this with a group of people, you're bound to laugh really hard at times when they don't and vice-versa.<br/><br/>The only thing that feels a little out of place is a subplot involving Giovanni Ribisi as a creepy single father who has been a longtime admirer of Ted's and inquires about purchasing him for his overweight son. You've never seen Ribisi like this and that alone is amusing, but the focus of the film is on how John and Ted's mischief impacts his ability to grow up and get more serious with Lori, and this sort of butts into things.<br/><br/>Yet for all its shenanigans, the amount of heart and sincerity in some of the relationship drama between John and Lori is surprising. Wahlberg and Kunis are generally pretty convincing, even if it's a bit weird that John is mature enough to have a relationship last four years but not enough to not screw things up at his job or avoid giving in to Ted's peer pressure. (Bear pressure?)<br/><br/>The secret weapon is that Ted really is kind of adorable, and the mo-cap gives him an extra lifelike quality. The film hits some emotional notes early (who can't identify with loving a stuffed animal?) and this helps it to reconnect later on despite all the R-rated chaos in between. That ability alone assures ""Ted"" will be seen as better than a majority of foul- mouthed, dirty-minded comedies.<br/><br/>""Ridiculous"" comes to mind as the best descriptor for ""Ted,"" which one has to imagine MacFarlane aimed for in the first place. His performance as the titular bear is certainly reminiscent of Peter Griffin (there's a wink to the audience about that, by the way), but more importantly, Ted is treated as more than just an opportunity for a never-ending string of jokes that are simply funnier because ""it's a teddy bear.""<br/><br/>Maybe having to create a complete package in the form of a movie has helped MacFarlane learn how to tone down his shtick. Audiences will write you off if you deliver them something inconsistent and scatter-brained that goes beyond 30 inconsequential minutes of their lives, and MacFarlane and co-writers Alec Sulkin and Wellesley Wild make the majority of adjustments needed to honor that notion. ""Ted"" is as engaging as it is clever, funny and ridiculous. <br/><br/>~Steven C"
