"username","rating","helpful","total","date","title","review"
"madmaxmedia","8","388","474","24 April 2006"," My Ultimate Guilty Pleasure- how do you assign a rating to that?
","This movie is my ultimate guilty pleasure. It's inane, manipulative, has hyperactive cutting, a ton of glaring inaccuracies (pointless to even discuss or debate), and probably 29 other glaring faults. And why in every dramatic slow-mo emo shot are there 3 helicopters flying in unison overhead? What's the point of having 3 helicopters flying really close together? Who cares! It looks cool. If one day I am having a heartfelt talk with my daughter, I hope there are 3 helicopters flying overhead to really 'bring it home' (and Aerosmith performing in the background.)<br/><br/>Despite it all, I still love watching this movie. Anytime it is on TV I can watch it 'til the end. Bruce Willis does a great job doing his Bruce Willis 'thing' (smart alecky tough guy), and the supporting cast is really great. Steve Buschemi in particular gets the best lines. An awesome assortment of ragtag castoffs (spitting funny one-liners) must save the world- who would have thunk it?<br/><br/>I think Armageddon was actually conceived by suits in a studio office (no really, I read that in a magazine), which is I guess another strike against it. Yet only a bunch of suits could come up with a 'high concept' like this (so high it's basically a parody by itself.) And only a director like Michael Bay could make it. He's far more suited to these types of movies, rather than big historical epics like PEARL HARBOR (which I really, really disliked.)<br/><br/>I read somewhere once that this movie is as close as Hollywood gets to pure cinema, in that it is basically completely divorced from reality of any kind. Is that good or bad? I don't know. I do think if you're going to ditch convention and any semblance to reality, you may as well go all the way. It's better than having something that is a confused mess that tries to be different things (Pearl Harbor.) There will be no 'it could really happen!' here.<br/><br/>So after all this, believe it or not I am going to give this movie a big fat whopping 8. Why? Because IMO it unabashedly succeeds at what it tries to set out to be, whatever that is. That makes no sense, since I am basically saying by all logical accounts this movie may actually suck, yet I am giving it a 8. But hey I loved this movie."
"markokhoward-854-530441","7","9","9","13 April 2020"," Suspension of disbelief
","This film is unashamedly corny. Unrealistic with a cheesy end but it's entertaining. And when the people giving this 2's, 3's & 4's should politely remove their heads from their asses if their problem was lack of realism. It's pure cheesy entertainment so just enjoy it and don't over think it."
"michael-stenlund","10","34","41","17 May 2019"," Underrated even in the year 2019
","Sometimes IMDB group rating is wrong. And that is OK. I have learned my life that being wrong teachs me lessons in life.<br/><br/>However, in this film, my girl whispered to me that it was perfect, and I have to admit I agree. I have also spoken to many many friends and family members about this film and they all call it a ten.<br/><br/>So there you have it. Sorry the critics couldn't do their job well enough for us on this title. Even they make mistakes, from time to time. Its OK to be wrong.<br/><br/>Be sure to enjoy this with a glass of wine, or tea if that is your choice because it is so intense I nearly recieved a heart attack twice."
"gavin6942","7","17","19","13 June 2017"," One of Those Guilty Pleasures
","After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, NASA recruits a misfit team of deep core drillers to save the planet.<br/><br/>The real mystery surrounding this film is how it got released by the Criterion Collection. Both this film and Michael Bay's ""The Rock"" received the Criterion treatment at one time. And while both are very enjoyable films, do they really belong with Criterion? I feel that by merely being released by them, there is an added importance stamped on the film.<br/><br/>But as far as guilty pleasures go, this is a fun and entertaining film. I could do without the romance angle, but the idea of blowing up an asteroid before it hits earth (which assumes a lot of questionable science) is just classic science fiction, here given more legitimacy and budget than ever before."
"0w0","7","12","13","24 September 2019"," Incredibly unrealistic, but still a fun 2hrs20min
","Steam, wind, sound and gravity on an asteroid flying through space? Yeah the director didn't really think this whole 'space thing' through (or I think he simply didn't care... he was just like: ""Meh, let's just make it fun""). And the movie is pretty fun, if you ignore the obvious inconsistencies and plot holes. Just take it like this: It's a movie of Bruce Willis and his team of misfits attempting to save the world by going to outer-space and blowing up a giant asteroid that's hurtling towards earth. PS. Liv Tyler at 21 y/o was unbelievably beautiful... she's distractingly gorgeous in the movie."
"XJoey","8","230","328","15 May 2003"," Fun, Action-packed movie.
","This movie seems to be a movie that many people love to hate.  I don't see why it has such a bad reputation.  It is meant to be an Action/Adventure/Sci-Fi movie, and it definitely lives up to this.  It is what it is. Many people have tried to compare it to Apollo 13, but that's like comparing apples and oranges.  They are entirely different fruit. Apollo 13 is based on a true historical event (Docu-drama), while Armageddon is an Action/Adventure/Sci-Fi movie.  It has plenty of action and adventure, a lot of humor, and a bit of romance.  Is the story realistic? Not hardly, but name ANY Action/Adventure/Sci-Fi movie that is.  That's why they call it Science FICTION... For those who criticize this movie, nothing will change their minds. However, if you HAVEN'T seen Armageddon, take a chance, watch with an open mind and try not to let all these negative reviews spoil your enjoyment of a really fun movie.  Remember, a movie is meant to ENTERTAIN, and Armageddon does just that, if you let it!"
"mjw2305","8","244","370","15 January 2005"," I don't care if it is shallow, i love it
","What did everyone expect when this film was released, i expected exactly what i got, stunning visual effects, good surround sound and plenty of action (and yes i expected the traditional dose of sentiment too)<br/><br/>This movie is pure escapism fun, which has its place in my collection, movies like Independence Day and Armageddon are great fun to watch and as a bonus the characters weren't bad the script was reasonable and action was indeed plentiful. There were a great deal of laughs too (mostly intentional) anyone who hasn't seen this but just wants relax and enjoy a good (yet Shallow) action flick then this certainly fits the bill.<br/><br/>For pure entertainment value i score it 8/10<br/><br/>If this is for you then check out The Core and Independence Day, avoid the Day after Tomorrow and Deep Impact, there not really for action fans."
"NoArrow","Null","147","226","29 June 2003"," Has all the ingredients of a good action movie...
","...that's exactly what this is: an ACTION movie.  It's not supposed to sweep the Oscars, the acting isn't supposed to be perfect, and it's not supposed to make perfect sense.<br/><br/>The story follows a group of oil drillers sent by NASA to stop an asteroid that will strike the world in eighteen days.  The drillers are taught and trained to become astronauts (in a very comedic scene) and then sent to the asteroid to drop the nukes and blow it up.  After that, a whole lot goes wrong.<br/><br/>I loved this movie, and I hate how everyone's been calling it 'mindless action'.  It's not mindless, it's actually very dramatic.  The acting is great from pretty much all accounts, even Ben Affleck does a good job.<br/><br/>Bruce Willis captures the 'reluctant hero' role, and Liv Tyler does well as his daughter.  Steve Buscemi delivers a great comedic performance as the genius who goes insane once they land on the asteroid.<br/><br/>Great, funny, intense, dramatic movie.  8/10."
"bah_cacatule","10","127","200","19 June 2010"," Underrated
","this movie is arguably one of the best movies i have ever seen and to be honest i can NOT understand its current IMDb rating... it has everything in needs to be a movie worth remembering after tens of years! it can put a large smile on your face in its funny moments, and it WILL bring tears in your eyes in its most emotional moments... this movie is a reminder of why human life is worth cherishing, worth fighting for, worth DYING for... it features great human valors such as love, forgiveness, heroism, sacrifice, sturdiness.. i must have seen it at least 8 times by now and it never, NEVER ceases to impress me to the point of tears.. to conclude with, i am very disappointed in the viewers that voted on this movie here.. honestly it deserves 10/10"
"buzznzipp1995","8","64","100","25 October 2007"," Not Quite The End of The World...
","I'll be the first to tell you, special FX are not what I look for when I am hitting the movies, I love intelligence and acting, story, story, story, good directing at least. But from the opening scenes, 'ARMAGEDDON' explodes into emergency action. This sci-fi comedy-drama was a solid hit!! I have to fully disagree with critics who will praise a horrible movie and then say that a story like this is not bigger than life. This is a blockbuster entertainment giant, with a striking sense of humor, which 'Rockhound' (Bucsemi) provided many laughs, along with the rest of the multi-talented and troubled 'troup' of civilized maniacs. I truly think that the plot of the story is fun to think about, the world needs to be saved by a bunch of motley-ruff necks that can hardly obey the regular laws in their own city and now, they are going to work with the laws of gravity, science and all else to keep the planet from becoming a memory. Every movie mogul wants a block buster that is going to in essence save the world from total oblation and hit the box office with a vengeance. This one does it with he-man style and a wise-crack or two. They all ride together though, Harry Stamper, Grace the young in love daughter of Harry, Charles Chapple er, I mean 'Chick', A.J. also in love with Grace much to Harry's uneasiness, 'Rockhound' who just wants to have girls' who 'just want to have fun' the man who is a sky-scraper if anything else, Jayotis 'Bear' who is strong and a bit on the sensitive side, just to give us equilibrium, when they landed on the surface of the huge rock and he looks up and emotional and exclaims Thank you Jesus! The theater roared! He was right though. Then there is 'Oscar' who is a fun having not so fearless worker, and the comically sarcastic, but easy going Max, all under N.A.S.A Administrator Dan Truman who can't fly anymore. But he gets to watch these birds-of-a-feather, working together. With everyone up and going plus Lev Andropov the Russian Cosmonaut who works hard and gets a little too rowdy! They are able even with the adversity of Col. William Sharp they come together and pull it off and even with the last few moments when Harry Gives his life for A.J. in a very touching moment the story comes together and sets it right, the screw balls have a mature moment and a sobering lesson. But this crew is great!! They all mix together like a great drink. Bruce has the Juice, along with the rest of the motley crew, making this adventure a blast, even by today's standards it still comes across with strength, style, and comedic punch! <br/><br/>Recommended for action/adventure sci-fi junkies as well as regular Joe's' like me. (****)"
