"username","rating","helpful","total","date","title","review"
"alr126","7","36","38","27 November 2013"," Cliché'd, but entertaining
","While watching this movie, I was reminded of a couple of films and TV shows from my youth, first was any of the original Godzilla films, the second, a TV show Ultra Man. The FX were way better here, but, it just made me think of them. I found the film entertaining, no Oscar winner, but, it was good. Some parts kept you on the edge of your seat, of course, rooting for the good guys.<br/><br/>I also had to think that mankind would have or could have thought of a better defense/offense weapon than giant robots. To bring a fight into the city would have cost trillions of dollars, perhaps Quadrillions of dollars. Okay, I'm reading way to much into it. Watch the movie, you will enjoy it."
"drummer303","7","48","56","10 November 2013"," It's certainly not clever, but it is fun.
","To all the reviewers who gave this movie low ratings, I can only say this; What did you expect to see? Did you watch this expecting to see something deep and meaningful? The trailers and posters make it perfectly clear what kind of movie this is going to be. Heavy CGI, regular Hollywood 'save the planet' storyline re-run. Young eye candy super hot actors. You know the score. If you want to see something clever, this is not it and it was never going to be.<br/><br/>Question is, does it do the job it sets out to do? I think it does rather well, yeah OK, it's cheesy as hell and you know how it's going to end before it starts, ( the world will be saved right? ) considering it's being told in retrospect the clue to the inevitable ending is there in the first 10 seconds of the movie.<br/><br/>I liked the mind meld idea of the 2 pilots, and I thought they covered most bases explaining the technology behind the enormous robots (Jaegers) pretty well. It does have a few technical plot holes here and there, but the film does have a 'let's just get on with it' kind of feel. The alien creatures (Kaiju) are great and the robot v monster battles are superb. Towards the end the pace picks right up and the story starts to fall apart a bit, but by that point who cares? In general Pacific Rim is a fast paced, slick looking piece of techno-action that most Sci-Fi fans will enjoy. It's big, loud, dumb and very pretty, largely due to Guillermo Del Toro being at the helm.<br/><br/>It's Sunday afternoon on the sofa material I think. I know these kind of films are 'designed' for the big screen, but honestly I prefer them at home most of the time. Unless of course, you like feeling as though you are sitting the middle of a continuous explosion for and hour and half."
"land-840-861366","7","36","46","27 November 2013"," Not bad, not great
","Unlike some, I had no problem with the high concept of the piece: Transformers vs Godzilla. It had a lot of potential. And when the movie concentrates on what we are all here to see (giant creatures and robots beating on each others with oil tankers and smashing through skyscrapers) it is very successful. But when things get quiet... less so. Too much time spent on ""Top Gun"" like fighter pilot shenanigans. Not enough nuance in the characterizations. An ultra linear plot with few attempts to confound expectations. The acting isn't bad - and isn't required to be great in this sort of film - but it is nothing special either. Sort of universally ""meh"". Good for a Blu Ray rental."
"JPfanatic93","7","25","31","23 September 2013"," A Kaiju flick to end all Kaiju flicks
","Guillermo Del Toro's epic homage to the Japanese 'Kaiĵu' movies, produced on a bigger budget than all such giant monster movies of the last fifty years combined. Del Toro obviously has a great love and respect for the genre, resulting in a very catchy action flick, undoubtedly the best American counterpart to its Japanese predecessors. One might almost say Hollywood has redeemed itself for the 1998 version of Godzilla, but such a statement had better be held back for another year, until the next American reboot of Godzilla hits theatres in 2014. In the meantime, Pacific Rim works well as an appetizer to the big G's resurrection. An extra-dimensional rift opens on the bottom of the Pacific and huge beasts come pouring out, wreaking havoc on mankind as they lay waste to cities and obliterate our armed forces. Humanity quickly sets aside its internal differences and joins forces in creating big robots to fight the creatures on their own terms. Piloted by a pair of human Avatars, these so-called 'Jaëgers' effectively combat the beasts, but the life of a Jaëger pilot as Del Toro reveals is filled with personal loss. When the monsters emerge ever more rapidly from the Breach, as it is named, Jaëger command develops an intricate and dangerous plan to halt the Kaiĵu threat once and for all. Del Toro briefly explores the history of the first Kaiĵu assaults and the development of their robotic antagonists and afterwards spends more time getting us invested in the human characters than is usual for this type of film. It does make the movie feel like its dragging its feet for a while, until he unleashes the action the audience craves with a vengeance, resulting in over an hour of nigh endless monster bashing. Unfortunately he cannot help but inserting a few characters that are supposed to deliver some much needed comic relief to make sure we don't take it all too seriously, but sadly these characters – stereotypical geeky scientists as ever we've seen them – are so mind-boggingly annoying (Charlie Day particularly) they make you wish for a Kaiĵu to step on them to end their endless whining. Del Toro's talents are better suited in delving deeper into a world where Kaiĵus are not only a threat to world peace but also big business: toy companies produce action figures of them, creepy cults worship them and in Hong Kong, a 'Bone Town' is established, a black market for Kaiĵu products for shady purposes, similar to the disgusting existing South-East Asian trade in animal parts. Run by Ron Perlman (always a joy when paired with Del Toro), some of the funniest, wittiest and anatomically most unsettling scenes take place here. Though the dealings and the history of the Jaëgers are fleshed out to the fullest, their enormous alien adversaries, ever the most important ingredient in a Kaiĵu film, do remain somewhat underexposed by comparison. Unfortunately their motivations – they're really foot soldiers out to cause as much damage to mankind as possible, in order to pave the way for an invasion from their (smaller) intelligent overlords – remind us of the recent Shyamalan flop After Earth, a movie we'd rather forget entirely. Usually, Kaiĵu are more antiheroes than full-out villains, but Del Toro opts to keep them a simple threat to be wiped out instead of imbuing them with a more sympathetic character like their forebears Gojira, Gorgo and Rodan, who were always the victim of human (nuclear) folly, transforming them into avenging gods to remind us of our place in the world. The movie is dedicated to Ray Harryhausen and Ishiro Honda, two people who only too well understood the need to layer their creatures and make them charm you so you feel more for them, but in this instance, Del Toro decided not to go with such wisdom. As a result, Pacific Rim at best is a highly likable action flick, but not necessarily an apt lesson for western audiences into the true nature of the Kaiĵu genre. Then again, there's only so much you can do with the notion of giant robots bashing giant monsters. Let's say Guillermo gets as much out of that premise as we could hope for."
"thekarmicnomad","7","33","43","24 November 2013"," Epic in every proportion
","This film starts of with a monologue that explains in twenty seconds how big monsters start appearing from the sea and destroying everything. The only defence against them is to kick their heads in with massive robots. Cool! Starting so quickly out the blocks I expected this to be a fast paced action movie.<br/><br/>It really isn't. About every film element ever used, runs its course before the inevitable big battle. You get a fall from grace, a rivalry, a training period, a love story, forgiveness, reconciliation, etc. etc.<br/><br/>The battle sequences are epic, the monsters and robots are amazing, Kids especially will love them, and the action goes on and on.<br/><br/>The dialogue is cheesier and hammier than a 60 foot pizza monsters, and coupled with the extended scope of this film can make watching it gruelling if you are not instantly gripped.<br/><br/>This will keep any kids gripped for hours (nearly three of them) but if sci-fi isn't your thing get comfy and bring a pillow."
"sebasmendozacr","8","52","74","8 August 2013"," Beats from beginning to end
","Lately movies that claim to be monsters and action have proved a complete failure, and, to be honest I thought this was not going to be the exception.<br/><br/>Any change to see a real action movie with almost unstoppable battles monsters, and a dose of special effects so amazing you just leave you with your mouth open.<br/><br/>Of course, not everything is good, but entertaining plot is somewhat similar to that of other films: The hero gets a big pain that leaves the battle, then when the world needs the triumphant return finds the love of his life between the two due to the bad, the nearly died, and finally live happily ever after (like a soap opera).<br/><br/>We must clarify that thanks to special effects, battles, and good performances, the plot is not uncomfortable. I really think it's worth watching."
"mthessian","10","114","172","16 November 2013"," Loved this movie
","For the first time in many, many years with this movie I was taken away from the problems in my life and went to a place where those things didn't register anymore. It was almost magical. I had to keep reminding myself about the bad things in real life, but then a new robot vs monster battle happened and all the sudden that didn't matter any more. Total escapism done with excellent design attention and detail. Thank you GDT. You have to be an artist and a science fiction geek to appreciate this. I came out of the movie and realized all my problems were still there but I was also hearing the theme music in my head. Got the DVD now and I escape that way. Channel your inner six year old, lean back and enjoy."
"ersinkdotcom","2","537","873","17 July 2013"," ""Pacific Rim"" looks great but lacks everything else a movie needs to be good
","""Pacific Rim"" is going to be a hit with fanboys all over the planet. It's the type of movie that they feel obligated to love because of what it's about and who made it. In this case we have a movie about alien dinosaurs (Kaijus) fighting giant robots (Jaegers) directed by Guillermo del Toro (filmmaker who most Comi-Con attendees think can do no wrong). Sounds like it should work on every level doesn't it? Yeah, well it doesn't!<br/><br/>Alien monsters named Kaijus come up through a rift in the Pacific Ocean (Get it, ""PACIFIC Rim""). Giant robots steered by military officers are used to battle these ferocious extraterrestrials. Our military must join forces with the world's most annoying scientists to find a way to seal off the portal between our world and the dimension they come from.<br/><br/>Let's start out my review on a positive note. The CGI in ""Pacific Rim"" looks great. The aliens and robots blend very well with all their surroundings.<br/><br/>And that's the only thing I can come up with positive about ""Pacific Rim."" As a whole, the movie is absolutely unbearable to sit through. It escapes me how sequences of robots and aliens fighting each other could be so uninspiring that I literally dozed off at points.<br/><br/>The design of the Kaijus are completely unoriginal and nothing we haven't seen before in a dozen other sci-fi movies. The Jaegers are basically souped-up giant robots that resemble what we've seen in ""Power Rangers"" dressed in ""Halo"" armor. Booooring.<br/><br/>Now we move into character development. The entire middle of the movie is one big, long, drawn-out attempt at developing characters we will feel emotionally tied to. I completely understand the writer's motivation for doing this.<br/><br/>The problem is that every character in ""Pacific Rim"" is so annoying you actually want them to die or exit the screen as quickly as possible. Add to this the fact that not a single one of the actors seem to give a crap about their stereotypical role in the film and you have a serious problem. In a nutshell, the acting is absolutely horrid.<br/><br/>""Pacific Rim"" is a tired conglomeration of clichés we've already seen in way better movies in the past. There are so many recycled ideas mashed up in it that you could almost put them down on a call sheet as bullet points. Character who lost his brother in a past battle and retired? Check. He's being called back into duty by his old military leader? Check. Military leader gets a chance to be the hero and sacrifice himself in one last battle? Check. Military leader gets to give long rousing inspirational speech just like the one the President gives in ""Independence Day?"" Check. They're all here for your predictable enjoyment.<br/><br/>Let's just call ""Pacific Rim"" what it really is. It's Guillermo del Toro's failed attempt at making what he wished was his essential ""Ultraman vs. Godzilla"" homage. As I was running out of words to use in place of ""unoriginal,"" I came across several synonyms that describe this movie to a tee: dull, unoriginal, corny, heavy-handed, humdrum, ordinary, phoned in, stale, uncreative, unexciting, unimaginative, unimpressive, uninspiring, uninteresting, and uninventive.<br/><br/>I'm giving parents a warning in closing. There's no way any child under the age of 12 will sit through ""Pacific Rim."" Absolutely nothing exciting happens for 45 minutes in the middle, at which time they will get uncontrollably antsy and beg you to leave. This won't bother you because you'll be ready to run out of the theater screaming by then anyway."
"swp_1988","8","484","796","10 July 2013"," Pacific Rim goes berserk with a great sense of wonder, camp and old-school action.
","We all carry a great sense of wonder. It seems to hide away as we get older, but was always strong and persistent when we were children. We could sit down and really make something out of nothing physical, or tip our toy-box all over the floor and just go mad. Pacific Rim is Guillermo Del Toro at his most unleashed. He's been given the toys for his sandpit and has gone completely bonkers, but he has also created a sense of wonder from completely nothing.<br/><br/>The plot is simple. Kaiju (monsters) from another dimension break through to ours and wage war on the planet and us humans must do what we can to stop them. So we build giant machines called Jaegers. General audiences are doing the worst thing by comparing this to Transformers or Battleship simply because of some simple image traits. Well I'm here to tell you that you're way off and also working comparisons in the wrong league. Del Toro has crafted an insane amalgamation of Sci-Fi, old-school thrills, special effects and brilliantly entertaining set pieces that all meld together in beautiful harmony, with just enough satisfying human moments and arcs that carry a nice balance of emotion and camp. It all blends well with the loopiness of it all. Its Guillermo Del Toro's trademarks turned up to 11, all while going nuts and having fun with his toys.<br/><br/>There's just so much to love, that not even some minor pacing problems or a couple of sub-par performances can destroy the experience. Mainly its in the lesser background characters, but for me I'd say that Charlie Hunnam doesn't quite shine in the lead. He's certainly more than commendable, but he just doesn't break out here. Idris Elba steals the spotlight with a look and a bellowed delivery and its amusing to watch and Rinko Kikuchi has such an incredible skill with her mannerism and in her eyes, that's its a shock that she isn't in more films. Ron Perlman comes and goes and works his usual incredible moments.<br/><br/>Pacific Rim is triumphant above the rest of the blockbuster herd. It knows what is missing from the norm and just goes crazy with it. Its a big, giant load of awesome fun. Prepare your jaw muscles, because you'll be smiling throughout.<br/><br/>(Hint: Stay a couple of minutes into the end credits for an awesome additional scene)"
"jihun-lee0526","1","721","1207","16 July 2013"," Pacific Rim pays tribute to modern cinematic technology by proving to the world a blockbuster no longer requires decent actors and scripts
","I went into the theater expecting to see a cartoon for adults and that is exactly what I paid for.<br/><br/>Guillermo Del Toro is an extremely talented director, producer and above all an extraordinary artist. Pan's Labyrinth gave justice to his talents and ""The Strain trilogy"" exemplifies his talents as a creator and innovator of interesting mind-grabbing stories/plots.<br/><br/>However, Pacific Rim was a horrible movie not only because it lacked substance (a clear plot, climax, resolution), but because it proved to audiences everywhere that Hollywood no longer requires decent actors and plot-lines to create a blockbuster movie.<br/><br/>The only intricacies and attention to detail that could be found in this movie was in the CG design of the so called Jaegers (Robots). Yet, the movie served to ignore the basic human sense of sight when most of the movie took place in a dark setting. It was a metaphor of how the movie itself was a black hole of cash and talent with all the darkness sucking and robbing people of their investments and experiences.<br/><br/>An episode of Beast Wars that I watched as a young child had more substance and gave more satisfaction to its audience than this movie. Pacific Rim is a destruction to the art of cinematography in that its business model lies in providing the awe-factor, shocking the audience into believing the movie is great with bling. Expensive jewelry doesn't make a woman more beautiful, it just proves that she has the money to afford it, and that is exactly what Pacific Rim accomplished.<br/><br/>The movie is just a failure of epic proportions and the fact that it rates a 7.9 on IMDb just proves that we, the collective audience, have just stopped caring. Movies no longer provide us with mind-blowing catharsis, they are now just a means of blowing off steam."
