"username","rating","helpful","total","date","title","review"
"Tania_Chesala_R","8","449","474","27 February 2010"," Don't be side tracked by the obvious twist.......there is more than one
","I know there is already a spoiler warning up top but I am going to warn you again. Don't read this because I am going to give everything away.<br/><br/>I had this movie all wrong I will admit at the start I didn't get it and I was angry but after having a chat with my friend who went with me we both gasped when we realised what happened. The twist wasn't that he was the inpatient (seriously I think everyone saw that coming from a mile away!) the twist was the intervention actually worked. He was cured, he deliberately made it look like he relapsed because he did not want to live with the memory of what happened to his family. He blamed himself for ignoring that his wife was clearly unstable. The line ""would you rather die as a good man or live as a monster"" Depicted he wanted to die as a good man (lobotomized) then live with the memory of what happened. Also the symbolism of fire and water tells you when he is hallucinating (fire) and when he is lucid (water trickling through.) The delusion he concocts to save himself from accepting the truth is that his wife died in a fire. All the people he talks to surrounded by fire is a hallucination – the woman in the cave, the patient in the cell, the scarred faced man who he thinks killed his wife, the car blowing up – all a delusion. The water symbolizes reality trying to break through. He is afraid of water – ( and rightly so!His kids were drowned, they all died in front of the lake.) Also at the start he says he gets 'sea sick' – he is mortally afraid of water. He has to swim to get to the lighthouse.<br/><br/>To truly get the best affect of this movie you have to see it more than once. (I have only seen this once but I promise you I will see it again)<br/><br/>I think John Anderson from the Wall Street Journal got it right when he says the film - <br/><br/>""requires multiple viewings to be fully realized as a work of art. Its process is more important than its story, its structure more important than the almost perfunctory plot twists it perpetrates. It's a thriller, a crime story and a tortured psychological parable about collective guilt."""
"ruhsa","10","144","150","24 September 2017"," The movie is perfect psycho drama
","Shutter Island is the story of Teddy Daniels, A U.S. federal marshal sent to the island with his partner Chuck Aule to search for the disappearance of a patient. Each scene provides a turn against their leads and compels them to look for more whilst searching in places we couldn't comprehend, including their minds. Leonardo DiCaprio and Mark Ruffalo feed off each other and supply great performances for their characters as expected, but some of the other characters whose names are riveted on the posters or marquees are sensational as well. The two that stuck out to me most were Ben Kingsley (Dr. Cawley) and Michelle Williams (Dolores, Teddy's wife), each of whom brought so much dramatics and new questions to the movie, developing plot twists and controversy. I don't think this film would be the same without them.<br/><br/>This is also a film I would recommend seeing a second time. In fact, it is even better the second time. All those pieces of that puzzle you didn't catch the first time, you will the second. You see, we as the audience are first put in the shoes of Teddy. The second? Well, without giving too much away, lets just say you are put in someones else's shoes entirely during the second viewing. <br/><br/>Shutter Island. A film that will make you question your own sanity. A film that will leave you breathless. A film that has re-ignited the thriller genre. A film that will leave you, and the main character, searching for answers."
"MR_Heraclius","10","58","62","23 February 2020"," love this movie highly recommend.
","Visually beautiful, wonderfully acted, and relentlessly gripping, Shutter Island is a brilliantly unrestrained psychological thriller that keeps its audience riveted throughout its entire duration."
"stednitzrules250","10","926","1107","21 February 2010"," No one likes to be messed with.
","Shutter Island. A film that will divide the film community. A film that will leave many upset, and hating it. A film that has already completely split the critics. A movie that messes with you. And no one likes to be messed with. And that is exactly where it exceeds. Think I'm contradicting myself? <br/><br/>Shutter Island is one of the most well crafted psychological thrillers to come by since Silence Of The Lambs. And it is no coincidence both were brilliantly written novels. Shutter Island is adapted by a book written by Dennis Lehane (wrote gone baby, gone and mystic river). It is a book filled with twists and turns, that will leave the reader dizzy. And, that is what it's film counterpart does to the fullest. Martin Scorsese helms the director chair, in a movie where he is more free than any before. This is Scorsese at his most unrestrained. <br/><br/>Marty takes what he has learned from the great films of the past and puts it into his. The master of suspense Alfred Hitchcock's influence is everywhere you look in this film. And it is no wonder, considering Scorsese even showed one of his greatest works to the crew: Vertigo. And many of those ideas are present in Shutter Island; the cliff scenes scream Hitchcock. This is a film that creeps and crawls, and is filled with dark corners. And it is all heightened by the coming storm that looms over the island. This is classic film noir. <br/><br/>The story follows Teddy, a federal Marshall, and his partner Chuck (Played by DiCaprio and Ruffulo). They go to this mysterious island enveloped in fog to investigate an escape. From these opening scenes, Marty has set up a dark and creepy premise. <br/><br/>Almost the whole movie incorporates this story as Teddy desperately tries to find the truths he seeks. Teddy is shown as a scared man; a man of war and violence as portrayed in various flashbacks. These will go on to be increasingly important as the story progresses. We follow Teddy on his quest, through every dark corridor and perilous confrontations. Slowly, we are given pieces to the puzzle, but the audience does not even realize it. For we, like Teddy, are blind. For the moment at least. It is because of this that the thrilling conclusion will leave many blindsided. But, you see, that is where this thriller becomes something more. We as the audience are put in Teddy's shoes, and we feel all the things he feels. It is a complete assault on the senses, and it works beautifully. <br/><br/>This is a film you must watch carefully. That is another thing that sets this apart, it is a horror film that makes you actually think. In this day and age, I'm not surprised some found it terrible esp. after their brains have been turned to mush by these new gore filled horror films. Scorsese's ultimate goal here is to wake you up. And trust me, you probably wont like it. <br/><br/>This is also a film I would recommend seeing a second time. In fact, it is even better the second time. All those pieces of that puzzle you didn't catch the first time, you will the second. You see, we as the audience are first put in the shoes of Teddy. The second? Well, without giving too much away, lets just say you are put in someones else's shoes entirely during the second viewing. <br/><br/>Shutter Island. A film that will make you question your own sanity. A film that will leave you breathless. A film that has re-ignited the thriller genre. A film that will leave you, and the main character, searching for answers. <br/><br/>10 out of 10 <br/><br/>-CLS"
"NpMoviez","10","166","192","29 July 2018"," Movie of the decade.
","It is one of the best movies made by director Martin Scorsese. It is perhaps the best movie starring Leonardo DiCaprio. Honestly speaking, it is one of the greatest films of the decade. DiCaprio featured in two movies in 2010, the other one being ""Inception"". Both were excellent. To this day, they are some of the best cinematic experience I have ever had. That being said, I found ""Shutter Island"" to be much more superior, as ""Inception"" feels a little bit of a mumbo jumbo many times.<br/><br/>Good.
""Shutter Island"" is simply a masterpiece. The beginning of the movie suggests a very basic plot of a detective story, possibly a thriller. As the movie progresses, the plot becomes bigger and bigger with more and more complexity added to it. The way this happens is incredible. The pacing is really good. That is what makes the movie so interesting. And, even though the movie gets more complex, it is not difficult to keep up with the major plot points. And, the final twist is one of the best plot twists I have ever seen. I did not expect it at all. And, like the main character portrayed by DiCaprio, we are not ready to believe what is being told until a lot of reveals finally convince us. There are a lot of many things that might seem to be pointless before the final twist which are totally relevant with the story that is actually being told. The character of Edward Daniels is superbly written. We get to know where the character is coming from and we can get behind the character - yet another excellent thing about this movie. There are some dream sequences that seems like a filler, but is a major indication to the reveal. There are quite many ""illusions"" which feel very real, but carry no real meaning in the end. There are many additional things which may seem like a diversion from the story being told, but are actually enhancing it. Some dialogues between the main character and an imprisoned character get a very different interpretation after it's all set and done. So much of a complex story, yet no giant inconsistencies at all. It's just superbly written and directed and acted. It's totally different from ""Memento"" (2000) but still, has a lot of similarities. We get into the main character's head and we just get his interpretations, different types though. Towards the end, we don't want to step fully outside his head, but when we finally do, it's mind blowing. The ending moments were conceived by many to be confusing. But, if you keep up with the entire story, it's meaning is quite obvious. The movie is dark and psychologically engrossing. Yet it does have a short lived and very brief happy moment with the tiny plotline involving Dr. Cawley's motives. That's all I can say without getting into complete spoilers. Leonardo DiCaprio, Mark Ruffalo and Ben Kingsly have given some of the great performances till date. I don't have anything that bugged me. So no mixed or bad aspects of the film.<br/><br/>Conclusion.
On the whole, for me, it's the movie of the decade. The decade is almost over, and still I have not got any movie in the league of ""Shutter Island"". It's a very engaging and thrilling movie. It's one of those films I consider to be an all time great.<br/><br/>Rating.
Score : absolute 10/10
Grade : A+"
"TheDeadMayTasteBad","9","647","812","23 February 2010"," All it Takes is One Line of Dialogue to Make an Impact...
","There is one line of dialogue, right at the end of Shutter Island before the credits roll, that elevates the emotion of the film and makes it much more powerful. For those of you, like me, who read and enjoyed the novel before seeing the film and felt that the trailers and advertisements for this film were leading you to believe there wouldn't be any narrative surprises in store, think again! Scorsese's film features that one brief piece of dialogue at the films conclusion that results in an entirely different perception of the final act. The rest of the film, however, is very faithful to Dennis Lehane's already great story.<br/><br/>Shutter Island represents exactly what one should hope for when seeing a novel being interpreted to film. While it certainly does the source material justice, it also adds small changes that make for a distinctive experience. Even if you've read the novel multiple times, you'll feel like you're reading the book for the first time again while watching. Scorsese perfectly recreates the menacing atmosphere of the island on film. Every location is foreboding and drenched with hints of unseen danger in dark corners. The lighthouse, the caves, the civil war fort housing ""the most dangerous patients,"" and the island itself--every locale seems large yet claustrophobic and isolated at the same time.<br/><br/>I often experience claustrophobia myself and there are certain films that really capitalize on that personal fear and make it more relevant and eerie to me. Neil Marshall's The Descent was one such picture, and this is another. An confined island is a terrific horror location and it comes with its own type of fear. The utter desperation to escape from a persistent and confined nightmare is something Teddy (Dicaprio) is receiving in high doses, and so does the audience.<br/><br/>As with Scorsese and DiCaprio's previous collaborations, this is a movie that must be seen. Here they explore the horror/thriller genre with gravitas, with no small part played by Laeta Kalogridis in supplying the screenplay. While most modern pictures of its kind lack character or any real sense of suspense, Shutter Island doesn't go for cheap gags. I concur with Ebert when he says one of the key elements to this film is that it releases its tension through suspense instead of mindless action sequences. That's not to knock a well-deserved frenetic scene of violence every once in awhile--it works to the advantage of some films like Evil Dead II and Planet Terror--but had Teddy and Chuck gone running and gunning through the facility's faculty, the mood this movie keeps in check so well would have been lost.<br/><br/>However, that mood isn't sacrificed and ""spooky"" is punched up to full force. A considerable amount of that spooky is generated by a ""best of"" collection of actors that have mastered the art of creepy: Ben Kingsley, Jackie Earle Haley, Ted Levine, and Max Von Sydow just to name a few. Had Tom Noonan been thrown in the cast as well, my ""Top Five People I Would Not Want to Be Left in the Dark with, Especially in a Room with No Doors or Windows"" list would have been completely exhausted. On that note, is it just me or has Sydow mysteriously not aged since The Exorcist? Was there a secret pact made between Lucifer and Father Merrin? Whether he sold his soul or not, he's quite ominous in every single scene he is present in. All of this great talent in front of the camera doesn't mean anything though if you don't have a faithful orchestrator behind it. Luckily you have Scorsese leading the lens and he points the movie in the right direction, even if this isn't among his very best works. His style works amazingly with suspense laden projects and at times he even seems to channel Hitchcock and Kubrick, though there's always something distinctively Scorsese about the presentation. I found the editing in the opening scene, with Chuck and Teddy approaching Shutter Island, to be very odd and frantic, though I think the audience will know why Scorsese displayed the scene the way he did after completing the film.<br/><br/>With a body of work so impressive, Shutter Island is among captivating company. The good news is that Shutter Island carves out a place of its own in his resume. While no Goodfellas or Raging Bull or Taxi Driver, I have no problem placing Shutter side by side The Last Temptation of Christ and Bringing Out the Dead. The cinematography is bright and gorgeous. Scorsese doesn't rely on the over-grainy, ugly presentation that most modern horror or suspense-riddled thrillers rely on. He uses lush, bright color during daytime and dream sequences to flush out a distinct feeling of terror.<br/><br/>Shutter Island isn't just a pretty face, its also got a great story to boot and this is why I've been anticipating the film for so long. As mentioned earlier, I've been exposed and digested the source material myself before seeing the movie. I was worried the trailers for the film were giving away too much through their spots on television and on the silver screen, but Scorsese has added enough to the film for the story to feel fresh even for those ""in the know."" You are transferred in the films paranoia and phobia once the camera pans through the mental facilities open doors. Lehane is one of the luckiest authors on the planet to have his work adapted to the big screen by talents such as Eastwood and Scorsese, but his work is brilliant and deserving of such treatment.<br/><br/>At the risk of spoiling plot points for potential viewers who have not read the book, I'll leave a Related Recommendations section concealed in ""Spoiler"" tags. Discussing this story at any length can be quite revealing."
"napierslogs","9","158","199","22 May 2010"," Shutter Island is at the top of its genre
","Martin Scorsese has done it again. He pays attention to every detail in this film, making ""Shutter Island"" one of the best suspense thrillers of all time.<br/><br/>Visually intriguing, simplistic and absolutely phenomenal. The story is kept simplistic enough so it doesn't get absurd, but allows for an ending which you probably won't see coming. The film doesn't go for cheap thrills, so although you will be on the edge of your seat you won't get needlessly scared.<br/><br/>The film uses everything at its disposal from breathtaking scenery, to detailed laid-out shots, and to actors at their finest to completely engross you in the film. I loved every minute of it and highly recommend it to everyone. Even if you're not a usual fan of the genre, this film has so much more to it."
"jackgdemoss","9","32","37","22 July 2019"," One of the most memorable plot twists of this decade
","I originally saw this film when it came out but couldn't remember it well enough to give it a rating or write a review, so a rewatch was in order. I viewed the film through the lens of already knowing the plot twist, which made it a whole different experience. The ending will be remembered throughout film history as one that showed just how viciously a well written script can flip an audience over. This really is a film you should see twice."
"dvc5159","8","221","305","16 April 2010"," I can't look away...
","Finally, a horror/thriller that actually, genuinely scares the crap out of you. Not because it has fancy villains in masks or sadistic buckets of gore throughout. No, it scares you because it messes with your mind. Most will hate this movie, they don't like their brains being tampered with. I loved it. It's what we needed after all those gory R-rated and sometimes lame-duck PG-13 horror crap-fests.<br/><br/>The horror/thriller genre has been raped lately, with gore and scantily clad- women replacing the noir and terror that Alfred Hitchcock perfected in the '50s and '60's. Here director Martin Scorsese delivers in full blast, crafting a thriller in his own unique vision. The atmosphere throughout the movie is tense and unsettling. Slow as it may be, but it is crucial to the movie and it's genuinely gripping. Your attention WILL not be lost. The scenery is beautiful and finely done with no excessive lighting, grain or darkness. The editing by Thelma Schoonmaker is fluid and pitch-perfect, and never makes the film lose focus. The movie is based on a book by Dennis Lehane and is packed with twists and turns that will leave you breathless and uneasy. The movie cranks the breathlessness and uneasiness up to the power of 5. The music is also perfectly suited with the scenes. There is sometimes no music during suspenseful moments, and sometimes the music makes the scene even more disturbing and memorable. Alfred Hitchcock's noirish thriller style is back with a vengeance, here to teach today's moviegoers the REAL meaning of suspense and horror.<br/><br/>All the actors in the movie are in top-form. Once again, you can't go wrong with a Leonardo DiCaprio/Martin Scorsese collaboration. As the protagonist, we the audience are thrust into his shoes and we are about as confused and scared as his character is, we feel what he feels. It becomes a psychological trip that poses many, many questions about oneself, that to discuss them here would spoil the entire movie. There are some flashbacks in the movie, but all of them are important clues to DiCaprio's character. DiCaprio gives a stunning performance, once again tempting the Academy to give him another Best Actor nomination. DiCaprio gives a vivid portrayal of a vulnerable, haunted and ultimately terrified man. Apart from DiCaprio there's really not much I can say about the supporting cast, because they are all also terrific. Ben Kingsley; Mark Ruffalo; Michelle Williams; Max Von Sydow; Jackie Earle Haley; Emily Mortimer; Patricia Clarkson; Ted Levine; Elias Koteas; John Carroll Lynch. All of them.<br/><br/>In short, this is a psychological and frightening masterpiece that will make you scared, will make you think, and will make you seek psychological help. This is one of the best films of the year. See it, go in with an open mind and prepare to be blown away.<br/><br/>Overall value: 9/10."
"slothhead54","9","513","745","17 February 2010"," Of all the movies in theatres to see, this is worth your time
","I just saw Shutter Island this evening, just prior to its American release. I have to say this film was full of intrigue. Prior to viewing this film I had built a preconceived notion of what this thriller was going to be like because I was fooled yet again by good marketing when watching the trailer. This is probably not the movie for your average film-goer who wants an easy plot line to follow and little thought required. This movie does challenge the viewer physchologically and definitely holds your attention all the way through. For someone who was never much of a Leonardo fan, his performance is brilliant, so much range to his character. In fact all of the acting in this film is excellent. The directing is probably the best quality to this film. I always enjoy watching a film that is as unpredicatable as this film and where the director has turned the plot line on to his viewer."
"bain0038","10","376","563","19 February 2010"," Don't miss this one - review from a skeptic.
","From the look of the trailer, Martin Scorsese's ""Shutter Island"" looks more like a horror film This is a dangerous place where isolation rules under fascist control. A U.S Marshall is sent to an asylum to investigate a missing patient but discovers so much more. A demon? A ghost? Something more? Is this going to be as disappointing as I think it is?<br/><br/>I was skeptical walking into the theater, wondering if this twist could hold water. The film starts with Teddy Daniels and his new partner, Chuck, standing on a ferry. They talk about their assignment. What's suspect here is that there is no additional development. We are bam, smack right into the story without so much as an opening montage. All that we see is the men smoking a couple cigarettes. Though this is what begins as momentous development. As our hero smokes we that this isn't the glorified top lit smoking of a beauty or that of a sophisticated and confident gangster. We see that this is a harsher character with poor posture, someone who doesn't sleep well, someone with a deep past<br/><br/>They are greeted at the gate by guards whose attitudes' seem immediately suspect. Soon we meet Dr Crawley, a seemingly complex and modern man who runs the asylum. However, he soon turns uncooperative with the investigation. Inmates and staff are hiding something but what? Everyone here seems off. Evidence and clues begin to appear but not before our hero seems riddled by psychosis himself. ""You act like all this madness is contagious."" Daniels says to the guard. Is it? Soon we begin to wonder, too, but not before he uncovers the tip of the iceberg and it's not only painfully intimate with his own past but also a mass conspiracy. The Nazis had concentration camps and the Americans have Shutter Island.<br/><br/>Though, it doesn't stop here, but to say anything else would do the story injustice Kingsley is in his finest role in years. Similarly, DiCaprio reaches new levels. Amongst others Elias Koteas, Ted Levine, Michelle Williams, all play small but wonderful roles. Robert Richardson captures a world all of its own.<br/><br/>While Scorsese is a master of film I'd say that his specialty has been more character than story. This is a fresh balance of both. It's a mix of noir and thriller. It's only sort of a horror movie and could be compared to ""The Shining"" but it makes it look like it's a one trick pony. <br/><br/>All this praise being said it's not for everyone. The story is complex. It takes some attention. At times it's a bit bleak and dire. Of course it all makes a little less sense when you actually think about it but then again that's film. There are a couple of moments where the story gets lost within itself. Things become a bit too complicated. At this point you might begin to lose faith in its viscosity, but don't worry because the story has you right where its put you."
"czavaleta73","9","213","315","23 February 2010"," Great a must watch !!
","I saw this and I knew what to expect going in to the film as I had already read about half of the book but never got the chance to finish it. But I was surprised at how faithful the film was to the original material.The directing was also masterfully done and pretty cool I saw some cool camera tricks I hadn't seen since Martin Scorsese directed Bringing Out The Dead, Martin Scorsese did one great job and everyone was top notch especially Ben Kingsley and DiCaprio and I never though I would jump out of fright especially in a Scorsese film but I did. All in all a solid thriller with a good story and some great performances and for me it's the best film I've seen in 2010 so far."
"tsquared226","10","487","754","16 February 2010"," Another Excellent Film by Scorsese...
","Really, Scorsese should just give it away for anyone. The man is one of the most brilliant directors of our time. Anyway, let me get to the actual movie; I just saw it at a early screening and have to write this while I'm thinking about how stunning it was. Shutter Island is certainly not a typical film, not even for Scorsese. It is a different take for the director, and he does it, as he does every film, perfectly, so much as to be in his own league of film-making. I don't want to give anything away, but I will say this: Shutter Island was completely unexpected, and a great start to 2010. It had all the components of a great film, and then some. The acting is spot on from every character; none of it seems forged or out of place. The script is fantastic; it has one of the most intriguing plots I have seen in a while (exception being Tarantino's Basterds). Everything, down to the set's lighting, was perfectly executed. I will say that not everyone will like this; Shutter Island, again, isn't your typical movie. To those, though, who do choose to see this film, be ready for a compelling, gripping, thought-provoking experience, so much so that you might think to see it again for further clarity (I know I will; it was so entertaining and my mind was blown!). Don't be surprised if you see this at the next Oscars..."
"LeoCrow2002","10","51","72","10 April 2010"," Which Would Be Worse, To Live As A Monster Or To Die As A Good Man?
","If Paramount Pictures had released Martin Scorsese's Shutter Island last year – the original release date was October 2nd, 2009 – I would have considered the film the best movie of the year. As it stands, the rest of 2010 has a long way to go in terms of matching the quality and effectiveness of Scorsese's new picture. It's a fascinating character drama, an exciting and almost experimental exploration of the human mind, a reinvention of the horror genre and a dynamic acting showcase for its star, the incredible and still very underrated Leonardo DiCaprio.<br/><br/>Shutter Island is also an incredibly appropriate entry in the Scorsese canon – it's a film about an alienated man haunted by his past. Add Teddy Daniels to the list of Scorsese's tragic and multilayered antiheroes – Jake La Motta, Travis Bickle, Henry Hill, Howard Hughes, Billy Costigan, Rupert Pupkin, Jesus Christ. The film also continues Scorsese's fascination with our understanding of violence (it should be noted that our perception of the lead character's violent actions changes dramatically when watching the film for a second time).<br/><br/>Shutter Island is eerie from the very beginning. U.S. Marshal Teddy Daniels (DiCaprio) and his newly assigned partner Chuck Aule (Mark Ruffalo) steadily approach an island off the coast of Massachusetts known as Shutter Island, a mental hospital for the criminally insane. The year is 1954, and Scorsese and music supervisor Robbie Robertson subtly incorporate vintage (and sometimes downright disturbing) 1950s music into the sound mix. Once on the island, Daniels and his partner meet with Dr. Cawley (Ben Kingsley), who explains to the Marshals that one of the island's patients has mysteriously disappeared overnight. The investigation that ensues is a fascinating exploration of insanity.<br/><br/>Hovering over every scene is a paranoid, post-war anxiety shared explicitly by our protagonist and thoroughly felt and realized by Scorsese. Tensions rise as Teddy recalls horrific memories from liberating a concentration camp during the war, and his suspicions of Nazism and conspiracy by the House of Un-American Activities on the island become our suspicions. The best Scorsese films force the audience to live inside the minds of moderately-to-severely delusional characters weighed down by an enormous and overwhelming guilt. Shutter Island does just that. There is an unease throughout the entire film, deliberate disturbances in continuity that some audiences might mistake for sloppy editing. That's simply Oscar-winning editor Thelma Schoonmaker toying with the audience, making us question the reality we're watching and the reliability of our protagonist. <br/><br/>The film is a brilliant melding of film noir, detective mystery and psychological horror, at its very core an exploration of an emotionally disturbed human psyche, disguised as a Hitchcockian thriller that works as both a homage to Scorsese's favorite psychological thrillers from the 1940s and 1950s while simultaneously elevating itself into something larger and more complicated. When you watch Shutter Island, you're not just watching Scorsese's film – you're watching thousands of classic movies at once, assembled together in a picture conceived by a filmmaker whose encyclopedic knowledge of film history pours into every detail of every frame, so much so that an already-genuinely suspenseful scene of DiCaprio racing up a flight of winding stairs simultaneously serves as a homage to Michael Powell and Emeric Pressburger's The Red Shoes (1948).<br/><br/>Unfortunately, Shutter Island has come under attack from, as my good friend calls them, the pseudo-intellectual crowd. From what I can gather, the general complaint is that the movie takes itself too seriously dramatically, and that some of the dramatic shifts in the film are laughable. Perhaps this is because Scorsese refuses to compromise his vision by winking at the audience. When discussing The Best Films of the 1990s with Martin Scorsese in early 2000, film critic Roger Ebert notes that at some point in the 1990s, existentialism, ""the idea of what we do with our lives,"" was ""replaced by irony, so that everything has quotation marks around it."" He then adds, however, that Scorsese's ""films are not in quotation marks...they are meant.""<br/><br/>And he's absolutely right. Scorsese can't make an ironic film - a film too afraid to deal head- on with real, palpable human emotion, therefore putting the actions of its characters in huge quotation marks. My favorite films of the past few years don't have ironic quotation marks around their characters, either. I don't buy movies that do that – it's a cheap way of pleasing the cynical, highbrow crowd who only accept genuine human emotion in films if it comes from Pixar Animation or a foreign-language film. I love those movies, too, but I haven't given up on serious American films that aim for high character drama and succeed. I'm talking about Clint Eastwood's Mystic River (2003), Scorsese's The Aviator (2004), Ang Lee's Brokeback Mountain (2005) and now, Shutter Island. These are films that take their characters and their plights seriously.<br/><br/>Every negative review I've read doesn't seem to consider how effective the film is on a visceral level, how strong and forceful the performances are from top to bottom and the powerful manner in which screenwriter Laeta Kalogridis keeps the story grounded in the deep emotional turmoil of its characters. Shutter Island is a real film, the kind they don't make anymore, exceeding the supposed limitations of its genre and offering its audience something challenging and psychologically fascinating. Scorsese doesn't have to make movies anymore - he's already made more masterpieces than any other living filmmaker - but we're lucky that he's still exploring his obsessions in new and inventive ways. Shutter Island should be met with applause, not simply because the film marks the latest work from our finest living filmmaker, but because it's also the best damn movie you'll see this year."
"IamtheRegalTreatment","9","195","325","19 February 2010"," Counting down the days until I can add this to my DVD collection...
","Similar to my rating for this film, you can argue that 9 out of 10 people who watch this movie, it will not be their first Scorsese film. Most of us know the genius that he is and coming into this showing we should expect brilliance, and gladly he delivers a captivating storyline driven by great acting. Unfortunately with the release of Shutter Island was also a press release that Taxi Driver may be remade, so that news made me hesitant to care, but I'm glad I was wrong.<br/><br/>Shutter Island is the story of Teddy Daniels, A U.S. federal marshall sent to the island with his partner Chuck Aule to search for the disappearance of a patient. Each scene provides a turn against their leads and compels them to look for more whilst searching in places we couldn't comprehend, including their minds. Leonardo DiCaprio and Mark Ruffalo feed off each other and supply great performances for their characters as expected, but some of the other characters whose names are riveted on the posters or marquees are sensational as well. The two that stuck out to me most were Ben Kingsley (Dr. Cawley) and Michelle Williams (Dolores, Teddy's wife), each of whom brought so much dramatics and new questions to the movie, developing plot twists and controversy. I don't think this film would be the same without them.<br/><br/>Even to begin explaining details of the plot and how everything comes to fruition causes me to feel migraines alike the ones Teddy gets in the movie, therefore I won't ruin anything for you now. Take my honest word that if you enjoyed any Scorsese movie in the past or have enjoyed movies that include surrealism, Shutter Island combines the two into an intense thriller that boggles the mind and possibly even ""corrode it, rusts it"". Also, if you are hesitant to watch this film because the trailer perceives it as a horror film with a lot of ""jumpy"" scenes, ignore that. I had the same feeling entering it, and there was only one towards the very end, but it was worth the shock. You will miss so much detail trying to cover your eyes for a few minutes sporadically throughout that it's not worth it. Take the risk of jumping out of your seat for once, because it was the best scare I could ask for.<br/><br/>9/10. Not Martin's best work, but come on, could you make a better movie than him?"
