"username","rating","helpful","total","date","title","review"
"kmsairam","9","110","143","19 February 2001"," Unexpectedly Great Movie
","I wasn't going to comment, but after reading some of the negative comments, I felt I must. I ""waited for the video"" for this movie because a movie about boxing didn't seem interesting. But that's just the thing. It's not about boxing. So if you're thinking you're going to see Raging Bull, you're not. There are a few boxing scenes, but they only serve to move the story along.<br/><br/>I have seen this movie more than once. The first time I was touched by the underlying theme of the movie, which was in my opinion, love conquering hate and injustice. Then I watched it again. I realized Denzel did a superb job. It WAS NOT a ""typical Denzel role."" He convincingly played Rubin ""Hurricane"" Carter, raised full of hate for and distrust of white people. When he goes to prison for the murder, he does an excellent performance showing the different personalities in his head, as well as showing how his inner spiritual journey transformed him. Any good movie shows the hero growing and changing. And Denzel again does this well towards the end of the movie, after befriending Lazarus and the Canadians. My favorite line which to me sums up the entire movie is when they're waiting to hear the judge's verdict and Rubin tells Lazarus, ""Hate got me in here. But love's gonna bust me out.""<br/><br/>I don't know much about the real Rubin Carter or the details of the case. What I found compelling about the movie was the fact that some people - be they white or black - can harbor such hatred for another person (I'm referring to Della Pesca's hatred toward Rubin). Another thing that got me was the friendship and love between Rubin and Lesra and the whole message of examining the higher principle of truth for which the law was meant to serve. It's just one of those movies that makes you think. Yeah, some of the writing is ""just OK"" in places, but the theme of the movie is wonderful and I think Denzel gave an Oscar worthy performance.<br/><br/>I gave this a 9 out of 10."
"fiennes1","Null","57","78","16 January 2000"," good old-fashioned entertainment
","Jewison's film is an old-fashioned biopic, complete with pivotal backstory, voiceover narration, and a character who enters the protagonist's life and changes it immeasurably.  It's one of those stand-up-and-cheer movies where everyone seems to be against the hero, but above all odds (and with more than a little help from some of his friends), he rises above The System and gets his belated due.  It's an oft-used scenario, with many scenes that could easily have been taken from Jewison's other films A SOLDIER'S STORY or IN THE HEAT OF THE NIGHT.  Yet despite the familiarity of the storyline, I'll be damned if I wasn't choking back tears of elation at the movie's triumphant conclusion.  It's a masterful piece of filmmaking that proves Norman Jewison's skill as a director, as he transcends the cliche-bound script and, with the help of Washington and company, makes it a powerful entity all its own.<br/><br/>As the Hurricane, Denzel Washington proves he is one of the best actors (if not THE best) in the business today.  He can run the gamut from cold hatred to hearty laughter like few others can. He brings dignity and class to every one of his pictures (he was the only thing worth watching in THE BONE COLLECTOR).  Here, he makes you FEEL every single thing he's feeling.  In times of righteous indignation, you feel morally outraged alongside him.  When he's at his most vulnerable, you can feel your throat constricting and your eyes watering.  He has an uncanny knack for reaching into your soul and making you part of the picture itself; it's almost as if he's channelling the viewer while acting.  Other actors delight in wowing the audience with grand theatrics and histrionics, but neglect to make the audience care; Denzel is usually soft-spoken and low-key, but always holds your attention.<br/><br/>In summary, THE HURRICANE was one of the most exhilarating motion picture experiences I've had all year.  Norman Jewison directs with a deft surehandedness reminiscent of his late 1960s/early 1970s glory years, Denzel Washington delivers perhaps the most awe-inspiring performance of the year, and the audience goes home happy and feeling good about themselves and the world.  What more could be asked for?"
"rosie-54","10","78","119","26 January 2000"," An incredible film, with superb acting
","Denzel Washington is so convincing as Rubin Carter that one forgets that he is, indeed, an actor playing a role.  From the beginning to the end, Denzel is perfect. The film made me think about how poverty and prejudice can ruin a person's life when misfortune, such as being in the wrong place at the wrong time, visits.  I didn't think that I could possibly like a movie that I already knew so much about.  With boxing in it, yet!  But when Denzel received the Golden Globe Award, I felt I had to see it.  What a moving experience!  Anyone who enjoys superb acting and a story with a rewarding, emotional ending should not miss this film."
"les6969","Null","20","29","2 August 2011"," Denzel Deserved an Oscar
","I am not going to get into details regarding how true an account this is or not. I have read a lot that seems to indicate he was guilty and others that he was innocent, both accounts seeing to contradict themselves. I guess we may never really know, but as someone who believes that racism infects a lot of society including organisations like Sporting bodies and the police I can well believe that being black would not guarantee a fair trial. However I also find it hard to believe that Mr Carter was as peaceful a person as depicted in this film. But this is down to the way the film was written and directed and in no way detracts from a truly remarkable piece of acting by Mr Denzel Washington. It seems in every part he plays, you believe that he IS that character and this film was no exception. In the boxing scenes or the prison scenes and in every scene you believe that you are watching Rubin 'The Hurricane' Carter. A truly outstanding performance."
"prateek4261","9","21","33","18 April 2008"," Superb performance...
","I don't really know why people cannot talk without putting terms as ""he did it"" while thinking about this movie. How racially charged or challenged were those times has been clearly talked about, filmed and factually corrected. Literature, personalities and even a simple man can confirm to those facts and we can really put an end to who did it...or he did it!!! The movie marks the most stellar performance from Denzel Washington as he portrays the character ""Hurricane"". What surprised and confirmed my earlier thoughts about people rating this movie are that an awful lot of movies in here have better rating than this movie....and the confirmation is that ratings do not matter This movie stands out and lets you feel the passion and focus of a man...not born under normal circumstances but freed under great conditions. I think I am confident enough to say about this movie....if you haven't seen this movie then it doesn't really matter to you what cinema can be and what cinema possibly can create.<br/><br/>Forget the ratings....I think when you're done seeing it, you would decide for yourself what I am trying to say here. Where is the Oscar....ohh did we miss it??? Gladly so."
"Voikkari","6","25","41","3 June 2001"," There's another side to the story...
","There might be *SPOILERS* ahead...<br/><br/>The movie itself is a solid Hollywood picture, but after reading some comments and checking out info about the case, I felt confused. First of all, I'm still not sure if Carter and Artis committed these murders, but there seems to be a lot of documents and articles which proves they did. I'm not going to go to details here, but check out for starters www.graphicwitness.com/carter if you are interested. One example: In movie Carter is sent to jail as a boy for stabbing a man implied to be a pedophile. In reality, he stabbed somebody in the face with a beer bottle while robbing them.<br/><br/>One thing I don't understand is why they changed the facts so much in this movie and still this was marketed as based on true story. This might have been a good movie if they'd just make it completely fictional, but probably it wouldn't have sold as much. The championship fight scene seems also to be completely wrong, (from the Herald Sun) The Hurricane typically claims racist boxing judges robbed him, but every sportswriter who covered the fight agreed he was beaten by a better man. On the other hand, if they'd make this movie true to the facts, imo this movie would have been much more interesting.<br/><br/>I think it's a shame that Hollywood takes out a tragedy where 4 people were murdered and makes a disgrace towards them and their grieving friends and families by twisting the truth to make this movie better selling and getting more profit. <br/><br/>All in all, if ignoring this, the movie was pretty ok, although a bit too long (there was many scenes that could have been cut out) and some characters were just plain ridiculous, Canadians and of course Lt. Vincent Della Pesca, who was almost the opposite of the real detective). Denzel was good, maybe not Oscar nominee-good, but isn't the Oscars usually awarded to those who make most money, not those who have the most talent :)<br/><br/>One more quote from Herald Sun By ANDREW BOLT:<br/><br/>Of course, it's quite possible Carter is innocent. But is he still the right man to preach to us about reconciliation? While on bail for his second trial, he beat Carolyn Kelley, the (black) head of his Carter Defence Fund, so badly that she took a month to recover. ``He's Satan, and Satan can fool a lot of people,'' she says."
"desire_911","10","35","61","2 August 2008"," Absolutely Awesome !
","This is the greatest true story I've ever seen. I love the emotion in this movie. I really think that the delivery of the performances are what makes it great along with the direction. It's beautiful. I recommend it to any and everyone. The struggle that Ruben Carter endured just puts light on the way things used to be, and makes really grateful that things have improved. Denzel's great!<br/><br/>I completely felt in love with this movie, in which you can find extreme endurance, strong courage, ultimate love and a very realistic character starred by Washington. The character not only shows how powerful spirit a human being can be to survive in harsh situations, how persistent should a man in desperate circumstances, but also bring strong feeling to watchers, who wanna do something better, something higher than what he is currently doing. <br/><br/>The Hurricane is simply one of my best top10 movies of all time.<br/><br/>for Entertainment: 10/10<br/><br/>Overall Score: 10/10"
"goreilly40","5","11","16","19 June 2015"," Well why let the truth get in the way of a good story?
","People have asked why didn't Denzel get the Oscar for this performance? Well first off it wasn't because the acting was bad by any means, he gives a very strong performance, which is why he was nominated to begin with. So why the Oscar went somewhere else was because of the distortion of the events this movie was based on. Lets start with the main man himself, the movie depicts Ruben Carter as a noble person who was the victim of racism and injustice, were as the real Carter was an unstable violent character with an extensive criminal record. Now the events the movie got wrong, Carter did not stab a child molester as a juvenile, it was assault and robbery. Carter was dishonourably discharged from the army and declared unfit for service, he was not the highly decorated solider depicted here. Carter was not robbed of the middleweight crown, Joey Giardello won the fight fairly, even Carter himself admitted this. Carter's boxing career was in decline at the time of his arrest, he was not about to challenge for the title. The main detective was not the foul mouthed racist who was obsessed with getting Carter, in reality he never met Carter before the murders, he rarely swore and was a sensitive individual due to a facial wound received during WW2, he couldn't have been present at the Federal Court hearing, he died years before. The Canadians did not find new evidence, neither did anyone else and nobody tampered with their car. Carter WAS tried by an all white jury in his first trial, but the second jury had two black members. I could go on and on about what the movie got wrong but there isn't enough space, this movie butchers so many facts and ruins the reputations of people, some of whom are not around to defend themselves. As I said before it's not a bad movie to be sure, however this is not a true telling of the story, by all means watch it but don't accept of what you see as fact."
"pootc","1","36","64","11 March 2006"," A complete fabrication of the truth
","The Hurricane as emotionally gripping as the ""film"" is, is an outright a lie and a complete fabrication of the real events and occurrences that took place on that fateful night in Patterson, New Jersey. First off, I believe it is the job of a responsible filmmaker and a storyteller to educate the public, not mislead them and purposely cover up the true facts and evidence as Norman Jewison has in his film. I too was caught up in the Rubin Carter hysteria upon seeing this film, in fact I loved this film, but I dug a little deeper and what I found was both shocking and disgraceful. <br/><br/>Dramatic license is one thing but to falsify and ignore so many details pertaining to this case is unforgivable and deceptive. Here are some true facts of the Rubin Carter case, which somehow didn't make the final cut of the film. (I wonder why) for those who are interested here are just some of the many facts.<br/><br/><ul><li>Racist pig cop never existed. - Both Bello and Patty Valentine identified Carters car less than an hour after the crime. - The Police did not stop Carter and Artis because they were black, as the film would have you believe. They were rounded up because their car matched the description of the killer's getaway car. At first, just 14 blocks from the murder scene the cops let them go. When the same two cops got a description of the getaway car, they immediately recognized it as Carters car and were in pursuit. - When police searched Carter's car shortly after the murders, they found a live shotgun shell and a live .32 caliber bullet rolling around inside. The live rounds are significant because they fit the murder weapons and were found long before the caliber of the handgun used in the crime was determined. - No conspiracy was needed to frame Carter. On the day of the murders Bello told a friend ""Rubin Carter shot up the whole bar"". Months later he voluntarily (and reluctantly) names Carter as one of the two killers in two police interviews. Three days after Bello talked Bradley was interviewed, confirming Bello's story while he was incarcerated in a reformatory 75 miles away. Bello names Carter again in a tape-recorded interview, falsely depicted in the film. In actual fact Bello had already talked and didn't know he was being taped while Bradley was nowhere near the place. - In jail awaiting his first trial, Rubin Carter writes to his main alibi witness and tells her the story ""I want you to remember."" He runs through the alibi story point by point. - Contrary to the film, Rubin ""Hurricane"" Carter failed a lie detector test just hours after the Lafayette Grill triple murder in 1966, according to the man who gave him the test, John J. McGuire, a former police polygraph examiner. McGuire said the results showed that Carter lied when he denied being involved in the crime. He refused to take a second test. Artis also failed his lie detector test. - On the 8/3/76 the Prosecutor told Carter, ""Pass a lie test and go free"". Carter refused. - There was never any attempt to falsify the time of the murders and no evidence to claim it. - Hurricane Carter and his co-accused, John Artis, have never been found ""not guilty"" of the Lafayette Grill Murders. They were twice convicted, and twice the convictions were set-aside on the grounds that they didn't get a fair trial. The State of New Jersey decided not to re-try them a third time because so much time had passed, and withdrew the indictments against them.</li></ul><br/><br/>What a disgrace of a film. What an outright lie, I can't believe they got away with this propaganda."
"marie_baie_des_anges","4","26","45","16 October 2000"," biased account of a ""factual"" event
","When I saw this movie I heard all the hype, and I heard how people said that Denzel deserved the Oscar alongside his Golden Globe and I believed he must have done an outstanding job considering Kevin Spacey was excellent.  I was wrong.  I realize that people say this not to anger the African American community (if they are not African Americans themselves).  I always hear complaints on how African Americans are never nominated and how they should have won.  Sometimes this is true (not as much nowadays) because Whoppi Goldberg should have won best actress for The Color Purple and the movie should have won best picture.  The only reason this movie was so blown up the way it was, is because people see a movie about the (*SEMI-SPOILER*) hardships of an African American during a very racist time period and they automatically label it as a masterpiece.<br/><br/>Denzel Washington is an outstanding actor, but his role in this movie did not affect me whatsoever.  I was bored with him in the movie, and his acting here was quite similar to his role in Malcolm X but not as good. The audience is supposed to leave believing this man, Rubin Carter, is a saint. People left the movies worshipping this man, this hero, and they went out and bought his book, making this hero of a man rich.<br/><br/>*SPOILERS* This movie tells the tale of a man who spent the majority of his life in prison mainly for crimes he did not commit.  Of course the crimes he did commit (stealing mostly) was only to survive, nothing more.  People felt sorry for him, even though the drug dealers and thieves probably amounted to as much for the same reasons but are looked down upon in society. Everything in this movie tries to portray this man as a saint (except for the obvious infidelity he had towards his wife and the aggression he showed the other man when he met his wife) but why wouldn't it-after all, it is his point of view.  I do not like movies (especially Hollywood interpretations) that are based on ""true"" stories because they usually distort the ""true"" parts into something else, something not so true.  This was his point of view and a Hollywood construction, yet everyone believed it was the truth unquestionably.  Well I researched his past a bit before making any assumptions, and he was a very violent man.  Not only that, there is still a possibility that he did murder those people.  If you do not believe me, search for him on the internet, and read the articles some people have of him.  The boxing match he claimed to have won so easily, was actually won by his opponent Joey Giardello and there are tapes to prove it.  Besides that, there are many twisted and purposely left out facts in this movie.  The supporting cast were the nicest people I have ever seen on the face of the Earth and their ""nice and perfect"" persona looked difficult to keep up.<br/><br/>This movie was a Hollywood version of yet another unfortunate true story that is still left to be told truthfully.  Denzel's acting is stale, and the supporting cast's Mickey Mouse attitudes are annoying.  The movie also begins very slow paced and is boring."
