"username","rating","helpful","total","date","title","review"
"aharmas","10","365","450","30 May 2011"," Allen's Dreams are Magical
","There's something about the midnight hour, something special, mystical, and magical. In the case of this marvelous movie, its impact is fully realized, as we see our protagonist suddenly realize that he has the opportunity to face that which he truly admires, treasures, and dreams about. In the opening scenes, he expresses his desire to settle in the city of lights, and we know it's not going to be an easy thing to do. His girlfriend and he are quite different in their appreciation of what being in Paris means. She understands it's special, maybe from an aristocrat's point of view. He might be looking at it, as the dream place for an artist to find aspiration to fulfill his artistic goals.<br/><br/>One night, he wanders into the streets of Paris and finds himself lost, only to find himself rescue by a party of night socialites who turn out to be quite famous in some literary circles. Soon, the screenwriter/aspiring writer has an opportunity to see himself living one of his dreams as well as slowly come to some surprising epiphanies as he discovers more and more who his new acquaintances might truly be, and most important what their dreams really are.<br/><br/>The film is set in several time periods, and Paris glows intensely and seductively in everyone of those. From its overcast skies and reflective streets, showing lovely architectural details and its magnificent landmarks to the superb and lovely recreations of older time periods, one can't help being seduced, charmed, and inspired to find a way to show what a special place, and consequently what a truly magical film this might be.<br/><br/>Performances are outstanding all around, with Cotillard once again stealing every second she is on the screen. Through her eyes and carefully delivered lines, we understand what attracts us to this special time and place. She is a gorgeous and very talented performer, one who might be truly aware of her standing, yet she doesn't dwell on it. She attracts many types, but her philosophy is unique, move on, enjoy, live the moment. In a way, she is like the city that has inspired Allen, and many others before him. Paris as a place might not be aware of its magnetism, its beauty, and its power. Cotillard's muse is the perfect human equivalent, a dazzling and potent woman, who moves from man to man, place to place, time to time, and who surprises us with her own wishes near the end of the story.<br/><br/>Wilson inhabits the Allen persona, and he does a very good job, not creating a tired imitation, an annoying cliché that could have ruined the perfect balance of sight, sounds, and insightful dialog, keeping this masterpiece way ahead of the best Allen has offered before. For those of us who gasped during the fantasy sequences of ""The Purple Rose of Cairo"", the marvelous recreations of the stage in ""Bullets Over Broadway"", the dissection of relationships in many of his best films, get ready to see it all finally come together, as he picks from the best, and adds his personal touch, with many a funny and clever observation, uttered by Wilson with a honest and complete sense of wonder. Unlike many of his leading men, Wilson displays an innocence which allows him and us to see his adventures in a fresh light.<br/><br/>""Midnight in Paris"" is a beautiful display of what movie magic can truly create, a sense of wonder long gone from contemporary cinema; This is a movie that entertains, teaches, and wears each one of its elements, like Paris bewitches us with every light, every facade, and every heartbeat of its music."
"fandbnoir","9","262","342","12 May 2011"," Midnight in Paris
","Woody Allen's love affair with France, which goes back decades, finds its finality with ""Midnight in Paris,"" the latest of Allen's Parisian brochures, which recently opened at the Cannes Film Festival on Wednesday. The good news is that Allen seems to be paying attention in a way he hasn't always done in recent films, and has found a way to channel his often-caustic misanthropy, half-comic fear of death and anti-American bitterness into agreeable comic whimsy. The nominal point of ""Midnight in Paris"" is that we've all got to make the best of life in our own time while longing for a past that probably never existed. If anything, Allen seems to be rebuking himself, ever so mildly, for his compulsive romanticism, his obsession with the past and his disconnection from contemporary American life. Allen has baked us a sweet, airy Parisian dessert with just a sense of sentimental substance in the finish. One of his better films in his latter years."
"barry_mooney","8","23","26","21 October 2012"," Ah, they don't make them like this any more
","I'd been meaning to watch Midnight in Paris for ages but, I have to confess, I was put off by the presence of Owen Wilson, who I could not really envisage as the lead in a Woody Allen film. He was actually surprisingly good though and did a decent job as the vessel from which Allen's brilliant dialogue could be heard. However, this is not an actor-driven film or even a story-driven film; its beauty lies in the simple but clever script and the easy-going laid-back style that you'd expect from a Woody Allen film all about nostalgia. <br/><br/>To be fair, I can completely understand why there have been so many negative reviews of Midnight in Paris. There isn't a great deal going on superficially and the characters are all gloriously stereotypical. This doesn't matter though because, although the film is quite simple, it is at the same time wonderfully clever and thought-provoking. However, you do probably have to be in the right mood to watch it. I saw this film on a lazy Saturday afternoon and wasn't expecting too much, so when I was left both entertained and thinking about the past, the present and the future, it was a pleasant surprise. There are few films these days that still have you thinking about them several days later – this is definitely one of them. What do you want from life, with whom do you want to experience it, and why are we always so dissatisfied with where we are and what we've got? Like I say, quite thought-provoking!<br/><br/>It's incredibly ironic that some critics go on about how Woody Allen films aren't anywhere near as good as they were back in the seventies and that he's a has-been pseudo-intellectual, when here he is making a film about nostalgia and poking fun at pseudo-intellectuals in both an obvious and also a more subtle manner. Midnight in Paris is full of self-parody and interesting contradictions, but not everything is immediately apparent and I believe that some viewers of the film may have simply taken it at face value and consequently been left thinking ""is that it then?"". <br/><br/>On a slightly more negative side, I am perplexed that some people have praised the cinematography and the wonderful images of Paris in the light, in the dark and in the rain. To me, the use of colour and imagery are not too impressive and I would argue that Paris has looked far better in plenty of other films. The music can be a little annoying too – especially in the opening sequence, which seems to go on for ever! <br/><br/>As I said before though, Midnight in Paris is primarily about the dialogue and the interesting ideas that it throws out to the audience. Catch them if you like, and run with them. It's a great easy-going relaxing film that'll hopefully leave you both entertained and thought- provoked. <br/><br/>8/10"
"alexart-1","8","163","213","30 May 2011"," Parisian Holiday
","""Do you think it's possible to love two women at the same time?,"" asks our protagonist Gil Prender to a tour guide discussed Auguste Rodin's love for his mistress and his wife. Like that's the first time we've heard that question in a Woody Allen movie. Infidelity, gorgeous women, and neuroticism are some of Allen's favorite motifs, so it's really not too much of a surprise that they all appear in Midnight in Paris.<br/><br/>That said, Allen's rendition of those ideas feels fresh this time. Midnight in Paris is a sweet, fun romp through the art world of France. This light comedy may not have some of the heavier messages about adultery and art that previous Allen films have had, but Midnight in Paris is, nonetheless, an enjoyable exercise in allusion to the Lost Generation and artists of the 1920s.<br/><br/>Midnight in Paris begins with the same idea of a man, in this case a screenwriter named Gil played by Owen Wilson, searching for connection with the real world. The protagonist is clearly a projection of Allen's self, but no matter. Gil is engaged to the Inez, played by a blond Rachel McAdams who coincidentally (or is it?) looks like Scarlet Johansson from Vicky Cristina Barcelona. Inez bores Gil with her pretentious friends and spiteful parents, which ultimately causes Gil to seek inspiration on his own time by drunkenly wandering that streets of Paris. One night, he is invited into a car that takes him back to the 1920s where he meets his favorite writers and artists, something that eventually leads to a breakthrough in his work. A large supporting cast includes Kathy Bates, Allison Pill, Adrien Brody, Michael Sheen, and Marion Cotillard.<br/><br/>Allen's conception of Paris is just as romantic as the story itself. The film's physical look matches some of the complexities of the women in that it appears to be almost splashed in gold. It is, after all, the City of Lights. It's a beautiful movie that matches the pretty faces of its starring women.<br/><br/>Allen's screenplay leaps right off the page thanks to his cast, but this too is something that isn't unusual for a Woody Allen film. At his best, Allen picks actors that play their parts with a sense of realism that, when combined with some elements of the fantastic, charm the audience. Just about everyone here manages to do just this, with the exception of Rachel McAdams, who tries her hardest with an underdeveloped character. Marion Cotillard is the best of the cast (as per usual) in her role as Picasso's mistress. She's bursting with sexuality yet she's grounded in her ability to deliver her dialogue with her natural French accent.<br/><br/>Midnight in Paris is fantastique. In comparison to Woody Allen's previous tales of lust and spite, his newest film feels like a dessert rather than a filling entree, yet this is exactly how a good, highbrow summer movie should be. The cast shines just as bright as the lights at the top of the Eiffel Tower and Allen proves himself worthy of his place in society as a master director once again. By no means a classic, Midnight in Paris is a pretty little diversion, one that is grounded in a theatrical gimmick that totally works every time. This, along with The Tree of Life, will be one of a few summer movies that will dazzle visually (without explosions) and somehow manage not to insult the viewer's intelligence."
"GeneralUrsus","10","172","229","23 May 2011"," A Magical Mystery Tour De Force
","Woody Allen's latest is beautifully written and a charming story that belongs in the top ten of his all-time greats. From the opening montage of lush, picturesque Parisian scenes the film is a love letter to the city of lights. Owen Wilson is perfectly cast as Gil Pender a Hollywood writer who has penned his first novel about a man who owns a nostalgia shop. Throughout his stay in Paris he hearkens back to the iconic characters who once roamed its winding cobblestone streets.<br/><br/>For everyone who sometimes ponders how life would be in another time, this film through whimsical storytelling and pure fantasy transports us. Perhaps that elusive world does not really exist or we are never truly content in whatever station we reside. Gil is enraptured with discovering the bistros where Ernest Hemmingway once wrote or the idea of living in garret with a sky light.<br/><br/>His fiancé played by Rachel McAdams who adroitly depicts a character both shallow and blasé and content to listen to the pseudo-intellectual musings of her onetime flame. To discuss the plot much further and divulge the magic twist would be a shame.<br/><br/>Midnight in Paris is a gourmet meal of delectably charming and playful scenes. Adrian Brody is riotous as a surreal artist and Kathy Bates deftly evokes a wise and famous writer. A character in the film remarks of seeing a movie but, she cannot recall what it was about or who was in it, not so with Midnight in Paris. It is a sweet, endearing and thought provoking film that will whisk you away into a sublime magical world."
"littlemartinarocena","8","130","173","16 July 2011"," French Woody, at last!
","The love between the French and the Americans has always been mixed with an element of dismissal even contempt but the love is real. Woody Allen walks that fine line in truly inspired fashion. ""Midnight in Paris"" is a delight. This is he first time I actually loved Owen Wilson. He is terrific as Woody's alter ego. Rachel McAdams superb. Her mean American girl is hilarious and frighteningly recognizably, so are Kurt Fuller and Mimi Kennedy as her parents. What a chillingly awful, normal pair. I loved the moment in which Owen Wilson, in a great close up, comes to accept what's happening around him. I accepted it too. Happily. Another stand out moment: the meeting with Salvador Dali, played brilliantly over the top by Adrien Brody. Highly recommended."
"vouty","10","180","253","30 May 2011"," Terrific!
","I loved this movie! It blends film noir with Stardust Memories, The Purple Rose of Cairo, and a bit of Annie Hall. The scenes of Paris were enough to make one fall in love. The music was superb! Having all the artists and writers show up was the ultimate name dropping contest! Their caricatures were hysterical! Casting Adrien Brody as Salvatore Dali was mind blowing, along with the surreal discussion about a rhino. <br/><br/>I think Owen Wilson is the best Woody Allen by far. He has a kind of naivete that seems to fit perfectly with who Woody seems to be and the combination of Owen's good looks with Woody's humor is riveting! <br/><br/>Of course the ""nostalgia"" theme and the -I really want to be somewhere else because it's too boring here- give the story a whole other layer of meaning. For we artists and writers it's one of the things that sparks our creativity, so I loved this discussion and the never ending unraveling the story provokes. While he's entertaining you, getting you to laugh hysterically about it all, you're actually getting the point he's trying to make! There is no one who is so brilliant! Enjoy!"
"dancindiva-61-296948","Null","7","7","5 September 2011"," Speaking as an Allen virgin...
","As crazy as it may be, this is the first Allen film I have ever seen, and after watching this, I am definitely going to watch all of his others. This kind of film makes me wonder how we can be happy with rom coms where we know the films entire plot from the advert. I was completely caught by surprise at the romantic, clever, intriguing, funny, interesting and thoroughly well written script. I had no idea about the plot and was happily led by Wilson's character into the depths of Paris' magical midnight strike. Other actor's involved did a great job too. I was particularly impressed with McAdams as it just adds to her ability to play any role. I think overall I'm simply in awe at the film. It's a classic. A really refreshing idea, gently portrayed in an almost realistic way, like this French magic really does exist. The music and scenery adds to the charm of the film and the subtle humour is a nice touch too. I would definitely recommend this to anyone and will watch this over and over again for years to come. Along with Manhattan, Match Point, Annie Hall...."
"klassepige","8","109","156","20 May 2011"," You can do some thinking while laughing!
","Quite a lot of great lines carrying life's wisdom; Profound reflection and insight of living the precious present expressed in a light-hearted touch! If you have your own 'Golden Age' fantasy, you will likely enjoy it. This movie seems to be relatively more straightforward in communicating its message than some of Allen's other works, such as ""You Will Meet a Tall Dark Stranger."" As a plus, lovely cinematography of the city of Paris - Mr. Allen has apparently fallen in love with the 'good old (and charming)' European major cities; e.g., London, Paris, Barcelona and etc. Very likely, you will leave the movie theater with a big and warm smile on your face..."
"jdesando","Null","75","107","3 June 2011"," ""We'll always have Paris.""
","""Paris, France is exciting and peaceful."" Gertrude Stein<br/><br/>Welcome to the world of Woody Allen as he has always loved it: nostalgic, romantic, imperfect, and full of hope. Midnight in Paris is one of his finest treatises on the lure and delusions of the past: Like Zelig it depicts other times, like Purple Rose of Cairo it uses magic realism to deal squarely with the present. Allen has another of his surrogates, this time Gil (Owen Wilson),who virtually experiences the past (the twenties) while dealing with the troublesome present.<br/><br/>Gil, engaged to marry Inez (Rachel McAdams), is with her and her parents on business in Paris where he hopes to work on his novel while he is still a successful Hollywood writer. Although she is a materialist who would like him to become wealthy to enjoy the life his parents are used to, he dreams of escaping the hack work of LA and living in the City of Lights for inspiration, just as his idols Fitzgerald and Hemingway did in the roaring twenties.<br/><br/>Well, the twenties roar back to him as he experiences their friendship and the mentoring of Gertrude Stein, among just a few of the many expatriate luminaries he meets through the magic of nostalgia. Just one of the Allen signature touches that make him the equal of great European directors such as Rohmer and Godard is opening the film with music that reflects the allure of the twenties, the romance of Paris, and his abiding love for this city: ""Si Tu Vois Ma Mere"" by Sidney Bechet combines jazz, the clarinet, the twenties, and Allen with a romantic nostalgia.<br/><br/>Owen Wilson catches the halting diffidence of the typical Allen persona without slavishly imitating him. Yet whatever little duplication Wilson employs endears as he sweetly visits his heroes, falls in love, and comes to terms with his writer's voice and his mismatched engagement. But that engagement is the troublesome present; the past offers the chance to experience history on a human level that only someone who writes for now and reveres the past can do. <br/><br/>The magic and the realism, both requiring hard work from the protagonist, lead to surprising understanding of human nature, the delusion of nostalgia and Paris, and hope for a present that brings love and inspiration.<br/><br/>""For all we know, Paris might be the hottest place in the universe."" (Gil)<br/><br/>It's been at least a decade since I have enjoyed an Allen movie this much."
