"username","rating","helpful","total","date","title","review"
"krigler","8","376","467","3 March 2006"," an entertaining heist flick
","Note: I stay away from describing the plot in any detail because it would be very hard to do so without spoiling elements of it. ""Inside Man"" starts out as a no holds barred, high octane action-thriller, and by its midpoint fully transforms into a breezy, tongue-in-cheek heist movie, reminiscent of The Sting. I felt it to be a little over-plotted, but that comes with the genre - the expected twists and turns are all here, thankfully mostly in non-expected ways. Contrivances abound, and we don't really learn the background of the heist (ie. how the robbers learned about their target) but the story and the overall atmosphere more than make up for this. The meticulously designed plot also compensates for the lack of real 3D characterization - save for Denzel Washington's ambitious policeman hero, who at least achieves a level of humanity throughout the story. The character interaction between him and his sidekick (Chiwetel Ejiofor of ""Serenity"" fame) and the frustrated captain played by Willem Defoe is great with some sparkling dialog. Clive Owen is okay, most of the time convincing as the criminal mastermind, although he spends most of the film wearing a mask. I'd say this film is harmless fun, not your usual Spike Lee fare, which goes to prove his versatility. There is a hint in the back-story at some heavy issues of the past, but it's nothing more than a macguffin that only achieves some slight significance in the resolution of the movie. There is a neat structural trickery in the use of flash-forward scenes, hinting toward the aftermath of the heist without giving away the real ending. It's used sparingly and cleverly. I can highly recommend this movie, it is never boring for a moment, what's more, I was enjoying it so much that as events were progressing toward the climax, I was wishing it would go on. And that's very rare for me in the movies nowadays."
"PatrickRijnders","8","283","356","14 March 2006"," With Inside Man, Spike Lee has crafted a very original and exciting thriller.
","Spike Lee is one of the most consistent directors out there. Save for some more uneven pictures like She Hate Me and Girl 6, Lee's body of work is just plain impressive. And while Inside Man is not up there with Do The Right Thing, Clockers and 25th Hour, it is definitely an entertaining and intelligent thriller that does things a little differently than most cookie cutter thrillers you see in theaters nowadays.<br/><br/>A bank robbery in New York has gotten out of control, and it's up to police detective Keith Frazier (Denzel Washington) to act as hostage negotiator and get the bank personal and customers out safely before things turn even worse than they already are. This turns out to be a tough case, since the leader of the bank robbers, Dalton Russell (Clive Owen), turns out to be a very smart individual, who has everything planned to perfection, and who throws up surprise after surprise for Frazier and his men. But while the people around Frazier are slowly getting more and more nervous, he himself does not lose his mind, and begins a high stakes battle of wits with Russell. Things are further complicated, however, when the mayor of New York introduces a mysterious woman to Frazier. This woman (Jodie Foster) wants to protect something that is hidden in one of the safety deposit boxes inside the bank, and she will stop at nothing to force Frazier to let her inside the bank and make sure nothing happens to the contents.<br/><br/>This all sounds like an intriguing premise for a thriller, but the movie goes a few steps further than just having an interesting plot. Because while Inside Man does hit all the right notes when it comes to keeping you guessing about what is really going on, it is also very successful in mixing the grittier moments with comedy elements. At times, Inside Man is very funny, but in a way that does not deflate the tension. The dialogue is sharp, with the conversations between Frazier and Russell being especially fascinating, and both actors are at the top of their game in this new movie. Washington's Frazier is an intense but laconic individual, who has a permanent smirk on his face but who reads the bank robbers intentions better than anybody else, while Owen is charismatic and fascinating as the mastermind behind the bank robbery. I was a little disappointed however with Jodie Foster's role. While her part is potentially fascinating, she does not really get the chance to do anything with it other than look cool and act tough. Yes, we all know that she is very good at that, but with a bit more background story, and a bit more screen time, her part could have been even more interesting.<br/><br/>With Inside Man, Lee showcases an interesting way of directing thrillers. He ignores the usual build up that you see in thrillers, which consists of an introduction, a chronological development of the main intrigue, followed by a final act in which everything is wrapped up neatly (even flashing forward several times, thus revealing some important developments before they have happened), and this only serves to make Inside Man a movie that is more than your regular suspense movie. I enjoyed this original approach very much, even though he does take quite a long time to wrap things up at the end."
"El Gato-4","8","167","221","22 March 2006"," Intelligent thrills
","A pleasure from start to finish. An older Denzel Washington has begun to emerge, and his performance here suggests he has many good years left. Clive Owen is terrific as the mastermind. He, and the plot, keeps you guessing. And while there are plenty of clues, they are so well incorporated that very few viewers will see how this one comes together in the end.<br/><br/>One major quibble: Jodie Foster's character is more archetype than person so it's to her credit that she pulls it off as well as it does. However, don't let that deter you from enjoying one of the best movies of the year. I'm glad to see Spike Lee tackle another genre film. He brings a re-invigorating approach to what, in other hands, would be a tiresome rehash. That liveliness seems to have worked on him, too -- this is his best film in several years."
"shadowycat","9","159","230","24 March 2006"," High time the academy gives Spike Lee some respect!
","Whether I was into the subject or not, there's always a filmmaker at work in a Spike Lee film... he's one moviemaker who never loses sight of being a filmmaker first and foremost, and he's absolutely outdone himself with INSIDE MAN, a taut thriller which avoids the colloquialism that alienated mainstream audiences from some of his earlier work.<br/><br/>If you've seen the trailer or heard anything about this pic, you have been misled. Everything I heard left me feeling like yeah, OK, I'm going for Denzel. Denzel vs. Clive Owen will be interesting.<br/><br/>From the first shots and opening credits, you are submerged in artistic vision, and a finely honed piece of work the likes of which I haven't seen in years. I'd almost give this one a ten.. and I don't hand out tens freely. I do not want to spoil this. You have to walk in cold, and let this film grab you by the short and curlies.<br/><br/>This is one film where there isn't a spare frame or wasted cheap shot. Every zinger zings, and there are laughs too, laughs at merciful intervals to break the tension and remind an audience on the edges of its seats that movie-going's supposed to be entertaining, dammit. The cinematography is brilliant, and the music is fantastic - true cinematic score, true genius. I can't praise this one enough.<br/><br/>Christopher Plummer is superb, in what is (perhaps coincidentally) an ironic bit of casting. Jodie Foster rises to a challenging persona with aplomb and ease, and my only complaint of the entire exercise is that her character's name 'Madeline White' is perhaps a little cliché. Beyond that, there isn't a filmmaker alive who brings New York to the screen with anything approximating Spike Lee's vision.<br/><br/>It seems there hasn't been a lot of junket for this one, and that Spike Lee's presence has been downplayed... as if the studio downplayed the fact that this is a Spike Lee film slightly, until the word was out that this film is over and beyond what an audience might already expect from one of his films.<br/><br/>So... let me just say.. man o man this is a cinematic mind-blowing amazing one and a half hours... it's brilliant, tight, funny, articulate, intense, and high time the academy gives Spike Lee some respect."
"ma-cortes","7","19","23","15 May 2006"," Caper film with a very exciting storyline and surprising ending
","A carefully and neatly perfect crime about a bank robbery goes awry when a band (leader of the gang is Clive Owen)abducts and takes hostages to people of building interior. A Police Inspector(Denzel Washington)must save at whatever cost the hostages bank what's suddenly under siege and itself surrounded of heavily super-armed polices .The robbers have sworn kill if they attack.Psychosis and paranoia abound between the prisoners from all sides and they can see no way out and someone making desperate tryings to flee.Clive Owen as the mastermind,executes an intelligent scheme is both exciting and thrilling although with a twisted finale.<br/><br/>Film packs maximum tension,emotion,thriller and surprise from the subsequents attempts by the policemen to enter in the bank. This movie is a crowd-pleasing blend of intrigue,tense,action packed and fast movement .It's a good production values with several stars and a clever twist ending. Great producer Brian Grazer assembled a highly talented international cast(Denzel,Owen,Jodie Foster,Christopher Plummer).The casting is absolutely perfect tough Clive Owen is mostly hidden into a hood. Crisp acting by Denzel Washington who plays a policeman making a first rate interpretation.Magnificent cinematography by Matthew Libatique.Memorable score by Terence Blanchard,he is Spike Lee's habitual films. Taut direction makes this splendid caper a crackerjack entertainment. Spike lee's realization is razor sharp.This is one of the finest last years of the big heist genre and much better than Ocean's eleven,Ocean's twelve and Italian job. Rating : Above average and well worth watching."
"chungweikao","10","322","483","21 March 2006"," Don't miss this awesome movie!!
","This is a movie that you don't want to miss! Wonderful plot and keeps the audience guessing till the last second. Denzel is at his best playing the NYPD detective, his wonderful acting makes this story as believing as it can be. Clive Owen, what a superb actor! He is so clam, smooth, and elegant in this movie and he actually makes me root for the ""bad guy"" from the beginning till the end. Jodie was good, too. However, she doesn't shine as much as the other two actors, but she is still great. If you have seen the preview of this movie than think it might worth checking out, I'm telling you, this is 100 times better than you think! Get up from your chair and go see the movie, NOW!"
"deloudelouvain","8","6","6","22 April 2019"," My kind of movie in this genre.
","In the crime/mystery genre Inside Man is just a bit better than a normal good movie. It's not excellent though, for that the heist is just too far fetched and perfect. Everybody likes to watch the perfect heist but in this case it's a bit exaggerated. But other than that small detail the rest of the movie is suspenseful, or at least it keeps you attentive as you keep wondering what will happen. For that there was the excellent interaction between Denzel Washington and Clive Owen. Both did a great job with their characters. The whole cast was perfect for this story. Spike Lee made another entertaining movie, one that I will watch again in a few years."
"Sven76","9","159","239","14 March 2006"," Well made heist flick
","An unusual turn for director Spike Lee, the conventional heist movie 'Inside Man', starring Denzel Washington, Clive Owen, Jodie Foster & Chiwetel Ojiofor.<br/><br/>Even though the plot has twists, it's still pretty straight forward stuff for the usually controversial filmmaker. What is obvious though, is that good filmmakers turn this material into something more than it might have been by a 'lesser' director.<br/><br/>Solid performances by the cast, even though Jodie Foster is somewhat underused in this, but still, a solid heist movie with an interesting turn of events."
"Rick-34","8","133","205","19 March 2006"," some clever idea and great cast
","It's curious to see Spike Lee do a straight caper movie. The movie is absent Lee's usual politics, though there are occasional glimpses of his sensibilities. At one point a Sikh has his turban taken away and complains at ends how Sikhs are not Arabs and he's tired of getting harassed all the time.<br/><br/>Anyway, the cast is great - Denzel Washington, Clive Owen, Jodie Foster, and Christopher Plummer are all top-drawer actors. Willem Dafoe has a smaller part that doesn't use all of his talents, unfortunately. The clever twist the plot adds is that the bank robbers dress everybody up in the same masks and jump suits that they themselves are wearing. So if the police raid the bank, they'll have a difficult time figuring who the bad guys are. (This isn't a spoiler - it's in the trailers.) Clive Owen and the robbers are clearly up to something that becomes apparent during the course of the film. They are particularly interested in the safety deposit box of the bank CEO, played by Christopher Plummer. Jodie Foster is brought in by him to protect ""his interests"". Her existence is amusing in that it reveals a bit about what Spike Lee thinks the corridors of white power are like. (Here's a hint, Spike: rich white folks don't swear at each other quite as much as you make them do, and in particular the word used by the Mayor to describe Jodie Foster's character is way beyond the pale. A real woman with as much influence as her character had would retaliate massively after being so described. But Spike Lee has never quite managed to capture any female character correctly, dating all the way back to Nola Darling. I digress.) The good parts of the film involve the interactions between Washington and Owen. Also, the many small man-on-the-street conversations are great. This aspect of observing street life has always been one of Lee's strongest points.<br/><br/>It was interesting watching a Spike Lee caper film. I kinda like the idea. It's better than the formulaic caper films that are the rage, and features some of Lee's trademark shots, like when he puts an actor on a dolly to create non-walking walking movement. I recommend the film."
"theshadow908","7","45","65","10 August 2006"," A good bank robbery film.
","Inside Man tells the story of a man named Dalton Russel, who leads a daring bank robbery that turns into a hostage situation. Now he's dealing with disgraced hostage negotiator Keith Frazier, who is attempting to get to the bottom of things. When the shady CEO of the bank and a woman he's hired to help him protect certain interests arrive, he begins to discover that there's more to this bank robbery than it would seem. This is the only Spike Lee movie I've ever seen, but trust me, I'll see more, since this was a very intriguing film.<br/><br/>What I liked about Inside Man was the style it was made. It is choppy, but not so choppy that it's annoying (cough, Domino, cough, Man on Fire), so you get a sense of tension, and it seems very high paced. The plot is good, and very intriguing. There are some things you have to figure out throughout the film, which makes it more interesting. My only problem was that after the bank robbery was over, the film continued for another half hour, and it started to drag a bit. The dialogue in the movie is very cool. There's some humorous and some awesome lines that come out of the character's mouths.<br/><br/>The acting is very good. Denzel Washington is good as always as Det. Keith Frazier. Clive Owen gives a solid performance as Dalton Russell. I liked Willem Dafoe and Christopher Plummer. Jodie Foster wasn't as good as she usually is, but she's not in the movie a whole lot.<br/><br/>Overall, the movie lags toward the end, but it's intriguing and has an awesome plot.<br/><br/>7/10"
