"username","rating","helpful","total","date","title","review"
"ditkovich_rent","10","229","266","4 January 2019"," This movie has a criminally low rating
","7.3/10? Seriously? Most mediocre MCU films get a better rating than that. This movie is up there with The Dark Knight as one of the best superhero movies. This movie was loved when it came out, now it's cool to hate on the trilogy. Spider-Man 2 improved on all aspects of Spider-Man 1. Peter is struggling to be Spider-Man, and the movie illustrates that very well. The action is better than lots of movies today, most notably the train fight scene. Danny Elfman provides an unforgettable soundtrack. This movie and the trilogy shouldn't be overlooked as some cheesy 2000s movies, because they paved the way for the MCU as we know it today."
"MR_Heraclius","10","58","64","24 February 2020"," Another excellent superhero movie
","This is a movie that surpasses the original one on many different levels! It has a better villain, a better story and, most of all, a better message. The movie is about Peter Parker who loses faith in what he does, so he loses his powers. Tobey Maguire is magnificent in this movie and he plays so well off of all the other actors in the movie. Alfred Molina is great as the villain and, as always, J.K. Simmons steal every single scene in which he is present. This is really one of the best superhero movies that has ever been made."
"amazingkick","10","34","37","15 July 2019"," Bravo Sam Raimi & Sony
","This by far one of Sony's best work om the character of Spider-Man alongside Spider-Verse. A great interpretation of Spider-Man. It is a film that focuses on what matters. The character. Sam Raimi took everything that worked about the first Spider-Man movie and made it so much better. We see a Peter Parker with relatable problems. We see a man that never loses his will and never gives up ACTUALLY give up. He literally can't catch a break. And when he does catch a break and has his confidence boosted it feels so satisfying. This Peter Parker is probably one of the best if not the best character in the whole CB Genre. Doctor Octavius is man which Peter idolizes not only on his work in making the world a better place but also in his love life. Think about it Otto and his wife are a shadow reflection of what Peter wants. When Otto's wife dies and Otto goes insane all he wants is to rebuild the machine that made him proud, that made his wife proud. Harry's development in this movie is completely amazing he goes from being a best friend to absolutely hating Peter and being completely broken from the loss of his father who he so much wanted to impress. Bravo Sony. Bravo Sam. Thank you for giving us this masterpiece. Thank you for giving your soul into making this movie amazing. Thank you for making our childhood and adulthood amazing with this classic."
"RPruitt","10","353","448","30 June 2004"," A Fan's Dream Come True
","I went to the midnight show last night and was completely blown away !! I am 30 years old and had begun reading the Amazing Spider-Man back when I was 11 and leaving the theater last night, I felt like I was a kid again- I was amazed, I was in awe, I really felt... satisfied.<br/><br/>Every scene crackled. There was an energy, there was an effort put into every moment of the movie. No scene went on too long, no plot holes fell through. It was the comic, come alive.<br/><br/>Sam Raimi and Tobey Maguire did a great job of making Peter Parker sympathetic, you feel for him, you wince with him, he is the boy, becoming a man, and you watch it, and you keep watching it.<br/><br/>Even as a long-time fan who knew where some of the story lines were going- with MJ, with Harry Osborne- to see HOW the movie chose to play out these stories, provided great surprises for me, I almost wished I didn't know... I can't wait to see the reactions of my friends who haven't followed the Spider-man comics, the twist of the story and the hints at what is to come...<br/><br/>A great movie. Great fun. Great story. Great action. A blockbuster movie. You leave the theater, definitely feeling like you got your money's worth !"
"john_murdoch2002","10","285","391","30 June 2004"," A Flawless Super Hero Movie
","This is what a good summer movie should be.<br/><br/>Spider-Man 2 transcends the boundaries of being just another comic book movie to being a richly character driven movie with a very conflicted hero. Here, for the first time, we see the actual emotion behind the facade of the hero behind the mask. Gone is the richly colorful look of the first part, here in Spider-Man 2, we are plunged into a world of shadows and off colors.<br/><br/>Picking up two years after the first Spider-Man left off, Peter Parker (Tobey Maguire) has his hands full with three full-time jobs. He is going to school full time, he is working full time to pay off his rent, and he is a hero always on call whenever he hears a siren. Not to mention, we see the emotional toll that has been taken on him, his only surviving family member, his Aunt May (Rosemary Harris), has become consumed with grief and loss over the death of her husband (incidentally, creating Spider-Man in the first part), Peter's friend Norman Osborne (James Franco) is now at odds with him since he has become consumed with revenge over Spider-Man killing his father (the Green Goblin), and his love affair with Mary Jane-Watson (Kirsten Dunst) is slowly being extinguished because he is never there for her to return the feelings she has for him. And this is all in the first fifteen minutes of the film.<br/><br/>As Spider-Man, Parker is even in danger of losing his powers as his exhaustion slowly begins to take over. Is it medical or is it because he has stretched himself too thin? Eventually, Peter decides to give up being Spider-Man to finally bring peace into his life. There is a brilliant sequence in this film when we see Parker returning to his alter-ego from the first part before the mutated spider bite as he puts on his glasses again, clouding his vision to the world around him. When he sees someone being beaten up in an alley, he turns around to walk away. When the familiar sirens fly past him again, he just eats a hot dog. In short, Parker has finally succumbed to being a New Yorker.<br/><br/>In the midst of all of this, we see the creation of a new villain, this time in the form of a deranged scientist named Doctor Otto Octavius (Alfred Molina), who has four frighteningly powerful arms welded to his spine after a disaster with his life's work. This disaster not only turns the Doctor into Dr. Octopus (Doc Ock as the papers call him), but the artificially intelligent arms seemed fuse to his id, placating his desires to not want his life's work to be a failure. Doc Ock will try again at the expense of anyone around him.<br/><br/>The standout here is Tobey Maguire, who can convey the film's entire heart with a look or a gesture, but is most heart-wrenchingly done in his hesitations. For a man so used to having quick reflexes, when he has to slow down and realize what is going on around him, we are instantly in his head. Maguire also has to command the screen as Spider-Man and convince the audience that he can stand up to someone like Octavius and not seem fantastic.<br/><br/>Sam Raimi also does a knock-out job as well, knowing when to hold on a character's face long enough or swinging the camera along with Spider-Man to give the audience the exhilaration of flight. Raimi is more than competent enough to give this movie the look and feel of a moving comic book and by utilizing his most signature camera shot (zooming into and out of the character's eyes), the audience is invited to live for a moment in the tights of a superhero.<br/><br/>Spider-Man 2 has so many great messages to be heard in this film, the best of which seems to draw both Peter and Octavius together in the end: In order for the right thing to be done, does it mean that we have to put away what we want the most? In both cases, there are some strong arguments and that is what makes this movie such a surprise is the depth that it possesses. Seemingly, we have entered the bizarro world of sequels, where they seem to surpass the original (Harry Potter and the Prisoner of Azkaban, The Lord of the Rings: The Return of the King, Toy Story 2, etc) and Spider-Man 2 definitely joins these ranks. Perhaps in allowing a series to expand rather than compliment the original, we can expect more depth out of movies, which has been as equally absent in this day and age as heroes as Spider-Man 2 also suggests."
"kirk-246","10","56","72","15 July 2009"," Outstanding sequel.
","The first and third 'Spider-Man' movies were simply fantastic.But it gets even better with 'Spider-Man 2'. It's full of action, has plenty of adventure, and is full of award winning special effects.Like any other super hero sequel, there's always a new villain.The villains name in 'Spider-Man 2' is Dr. Octopus.AKA Doc Ock.He has 4 mechanical tentacles that can flip cars and throw people at great distances.Does he remind you of anything? Of course he does.What does he remind you of? An Octopus... Duh.It may sound kind of stupid, but Doc Ock's character actually helps the movie become a 2 hour roller-coaster ride of a movie.Just remember that Spider-Man can do whatever a spider can."
"Aysen08","9","161","221","6 January 2005"," ~ MORE Web-Slinging Fun ~
","Normally sequels are hugely disappointing in comparison to the original film. So it's hard to believe that they could even come close to topping this movies original, alas they do! <br/><br/>Picking up where the first movie starts off and introducing several new comic book regulars, we bypass the history establishing story of the original and head straight into what life is like for Peter Parker being a college student, Spiderman, and trying to hold down a job.<br/><br/>This time Spidey must face the likes of Doc Ock, portrayed by Alfred Molina (he's come a long way since Indiana Jones cameos) excellently. Once again they couldn't have picked a better actor to portray the villain Spiderman has to face.<br/><br/>Spiderman must take out Doc, save the city, save the girl, and still get good grades.<br/><br/>The action sequences once again are entrancing and the story is well written. Kudos once again to the actors involved and Sam Raimi on creating another hit. Looking very much forward to Spiderman 3. Another hit I'm sure if 1 & 2 are any indications."
"bilweeler","9","129","177","9 July 2005"," See this one.
","WOW.<br/><br/>I had low expectations after Spiderman 1. Spider Guy 2 is a blowout, take no prisoners, roller coaster ride of a film. It's got it all: great story line, edge of your seat action, romance, humor, fine acting, break neck pace,.well, you get the idea.<br/><br/>This film is for the whole family. Great chase scenes, crashes, and special effects for the guys. Romance, and a tender love story for the gals. Comic book touches for the kids. It just works so well on every level.<br/><br/>McGuire and Dunst have a chemistry that reminded me of Niles and Daphne in ""Frasier."" They loved each other from afar, and could not communicate their feelings to each other. The romantic tension was exquisite. So it is here with McGuire and Dunst. You know they have to get together at some point, but the long and difficult road is a journey we enjoy.<br/><br/>The villain is definitely top shelf. Without revealing too much, suffice it to say that he's bad enough, scary enough, and convincing enough to make the film work on the plot level.<br/><br/>The special effects are well done, especially where Spiderman has to save passengers on a speeding train.<br/><br/>Spiderman has self doubts, begins to lose his powers, and longs to be Peter Parker instead of a superhero. He struggles with his choices in life, as we all do. He makes difficult choices, and learns that truth and integrity are rewarded, even when the results are very painful for the aunt who has replaced his mother.<br/><br/>You might see films with a deeper message, but you won't see many films that combine action, romance, and meaning in one slick package. See this one. In fact, you may want to buy this one for your DVD library."
"mfoley84","10","133","185","30 June 2004"," Well worth the wait, what a movie!
","Spider-Man 2 picks up where the original film left off, this time showing the more difficult hardships of being a superhero. Standing in the way is Dr. Otto Octavius(Doc Ock) a brilliant scientist whose fusion experiment goes awry at a demonstration Peter attends.<br/><br/>The story, and characters are fleshed out more this time out, as well as the effects. Kirsten Dunst is more convincing as MJ, she seemed a little flat in the role last time. Here she, like the rest of the cast, do a convincing job. The top performance has to go to Alfred Molina. In the short screen time Otto has before he becomes a diabolical powerhouse supervillain, he is an endearing, likable person. Spider-Man 2 also offers more confidence in it's story telling. The ""raindrops"" sequence is an evident example. Not afraid to go full nine, this movie is the definitive comic book movie, possessing action, drama, comedy, and message(without being too preachy). Director Sam Raimi and crew really nailed it this time around. Be sure to check out comic artist Alex Ross' paintings spliced in the opening credits, entailing the events of the first film. A great opening to a great film."
"MinorityReporter","8","117","162","27 April 2005"," Takes every element from the first film and improves on it!
","It only happens very rarely that a sequel surpasses the original (Terminator 2, Star Wars Episode V - The Empire Strikes Back) and after the relative disappointment that was the original my expectations for the second film in the series had decreased. When I finally did sit down in the cinema to see this film I was a bit anxious. But my anxiety was quickly put to rest because Spider-Man 2 took the premises from the first film and improved upon them all. The first Spider-Man film a well meaning picture but quite as good as it could have been the second film is a good film for both hardcore fans like myself and the broader audience.<br/><br/>First off, the acting in the second film has improved tremendously. Tobey Maguire feels more right in the second film. I found him quite shallow in the first film but in the second one he seems to have developed more depth. More nuances have found their way into his acting in the second film making the character more believable and less of a square. Kirsten Dunst is never a good actress but I found her a little less annoying in this film than in the first and therefore I felt I could tolerate her presence. James Franco is decent but still has a problem with portraying nuances which basically means that in order for his performance to work he has exaggerate every emotion his character feels. As it is with most superhero movies the villain is the most interesting character and Sam Raimi couldn't have picked a better actor than Alfred Molina to play Otto Octavius aka Doc Ock. I'm a big fan of Willem Dafoe but I didn't like his performance in the first Spider-Man film very much and therefore I was delighted when Alfred Molina turned out to be a far better villain than Willem was. His performance was both menacing and nuanced and even though the character isn't always directly in control of his actions (making him somewhat misinterpreted) Molina's performance makes the character highly credible and undoubtedly the most interesting character in the film.<br/><br/>The effects have improved which is logical considering that it has been 2 years since the first film hit the cinemas. Also I found that Doc Ock was much better suited for flashy moves and cool fights than Green Goblin ever was so in that aspect the film is far superior to the first film as well. Especially the train fight will, I think, go into history as one of the best hero/villain showdowns in history if not the best. The computer effects have become slightly more subtle making the film seem more polished. There were still a few unfortunate scenes were the CGI was pretty obvious but overall the effects have improved dramatically and received a well earned Oscar.<br/><br/>The musical score continues in the same epic fashion from the first and Danny Elfman does an exceptional job as usual. The score is both thrilling and epic but it is also subtle when it has to be and that aspect of the score works wonderfully as well. Elfman has some experience in super hero scoring (having done both Batman and Hulk aside from Spider-Man) and it shows as the score is very appropriate and fitting. Two thumbs up on the music.<br/><br/>In terms of story telling the second film is also far better than the first. I found the first film to be very unoriginal in terms of its story. Anyone who has just an ounce of knowledge into the myth of Spider-Man knows the story beforehand and thus the film becomes very predictable and boring quite frankly. The second film did not have this problem. It was a breath of fresh air. The story seems to flow more from the heart this time around. Raimi proved in the first film that he could take a situation from the comics and translate it reasonably to the screen. In the second film he proves that he can make a highly original story as well and make it entertaining. It should also be added that Spider-Man 2 has a lot more of the humor like the kind that appears in the comics. J.K. Simmons who was one of the elements in the first film returns in his role and he is absolutely hilarious. He truly embodies the spirit of J. Jonah Jameson. There is also a very funny elevator scene which should be mentioned.<br/><br/>Some people complained that Raimi has turned mainstream with the Spider-Man films. That is a load of rubbish and Raimi proves it by adding some elements from his cult films, the Evil Dead series. He even lets Bruce Campbell tell Spider-Man off as if to symbolize that he hasn't forgotten where he came from.<br/><br/>All in all Spider-Man 2 surpasses the first film in the franchise in almost every way imaginable Spider-Man 2 is twice as engaging, entertaining and heartfelt than the first film in the series.<br/><br/>9/10"
