"username","rating","helpful","total","date","title","review"
"Platypuschow","9","57","78","25 March 2018"," Guardians of the Galaxy Vol. 2: Exceeds already high expectations
","Despite being a huge comic book nerd I was not familiar with the Guardians before the first movie came out. I did some googling and upon learning about this sci-fi superhero team consisting of a talking raccoon and tree man I was hardly impressed.<br/><br/>I finally got round to watching the first film and was blown away. It had a remarkable charm that even the other Marvel titles didn't have. It was filled with great humour, memorable moments and fit into the Marvel Universe long running story perfectly.<br/><br/>Because of this I pumped by expectations up high for the sequel to a degree where it was almost guaranteed to fail yet somehow, someway it didn't.<br/><br/>Not only did it meet my expectations but it exceeded them, GotG2 is amazing.<br/><br/>Full of the same five star humour, being a visual treat and once again with an excellent soundtrack the film gripped me from the outset and delivered that charm all over again.<br/><br/>This time including several industry veterans including Kurt Russell (Who has been on great form since his return) and Sylvester Stallone they fit in well and don't detract from the franchise as I feared they might.<br/><br/>With cameo appearances along the way from the likes of Farscape (1999) lead Ben Browder to industry legend Seth Green as Howard the Duck this is a fun rollercoaster ride than left me positively gagging for more.<br/><br/>This is one of those films I feel like I could rant about (In a positive way) for a while and so I'm going to resist the urge and merely say that Guardians 2 is a contender for the best Marvel movie, contested only by the first Avengers film.<br/><br/>Masterpiece.<br/><br/>The Good:<br/><br/>Cast are great again<br/><br/>Charm returns<br/><br/>Excellent nostalgic soundtrack<br/><br/>Looks amazing<br/><br/>The Bad:<br/><br/>Only one movie with Baby Groot? Noooo!<br/><br/>They seem to have dropped Drax's taking everything literal jokes away<br/><br/>Michael Rosenbaum was wasted<br/><br/>Things I Learnt From This Movie:<br/><br/>Batista should have skipped over wrestling and just been an actor"
"crberme","8","43","64","20 August 2017"," Great sequel overall
","Guardians of the Galaxy Vol. 2 is a great movie, and I would say better than the recent superhero movies. I'm afraid thought that the first movie set the expectations so high that is not crazy to doubt if this one was able to keep up.<br/><br/>Visually is as good as the first one, the acting is on point and the soundtrack is dope. The plot is fine, although it falls under the ""knowing better the characters and realizing their sad and deep feelings"" cliché. It leaves me with the feeling that the first one was innovative and fresh, wherever this one just reused the formula.<br/><br/>Apart from that, this is an entertaining and fun movie, and I would recommend it to anyone who is into superhero or science fiction movies. It doesn't disappoint."
"Harun_Karali","7","218","372","24 April 2017"," Almost as funny and charming as the first
","As someone who was floored by the first film, I was eager to see how the second installment in Gunn's trilogy(yes, it's a trilogy now) would pan out. To be honest, I was a bit anxious, as we are familiar with Hollywoods track record when it comes to sequels. However there are rare moments when the sequel lives up to it's predecessor. As is the case here, as Gunn delivers the same charm, humor and emotion as the first film. The big difference is the focus on Peter's story, As our heroin meets his long lost father Ego(brilliantly played by Kurt Russell), who shows up at the knick of time, as Rocket pisses off Ayesha(Elizabeth Debicki) who sends a space armada after them. To add the cherry on top of this pie is the soundtrack(Sam Cooke's Bring it on Home to Me), that was meticulously chosen. If you were a fan of the first, don't doubt, Gunn delivers a space opera that lives up to it's hype. I have high hopes for the future of the MCU, it's clear that the studio let Gunn's creativity speak for itself and boy did he have a lot to say."
"MichaelNontonMulu","9","182","310","27 April 2017"," The Sequel to Those Unusual Marvel Superhero in the Galaxy
","This movie was a very fun superhero film. It did not provide us with very heavy storyline, the premise was quite simple and best of it all, it was having lots and lots of funny moments. My wife and I truly enjoyed this movie as we had laughs all over the movie and there were even some emotional moments as well which was very lovely to see at the end (and made my wife very emotional). I love the chemistry among the Guardians, and I loved Baby Groot's very cute and adorable behavior. I also loved the opening scene which I think was very cool.<br/><br/>In addition to the good chemistry among the stars, I also felt that Mantis' character was fun to see, especially whenever she was interacting with Drax. In this sequel, it was also surprising to see Drax' very funny characterization and his comments. Both Yondu and Nebula also had larger important role in this movie compared to Volume 1. There was even a surprise new character played by Sylvester Stallone whom I understand would be having larger role in future Marvel movies.<br/><br/>Apart from those fun interactions and the nice light story, the movie itself was not the type of full of action scenes. Mostly it was done in the early stage, middle part and the ending part. The sound effects were good, the effects involving Baby Groot and Rocket were awesome, but I felt the CGI effects were not that nice, especially during the scenes in the Ego planet where it really looked computerized. However, it was not really a bothering scene. One thing that was quite curious for me is the trailer to this movie was already showing Kurt Russel portraying Peter's father, which I thought would be best kept hidden to avoid spoiler. But then as we continued watching it, I realized that it was more like a part that was supposed to intrigue us.<br/><br/>I personally felt that this movie was better than Volume 1, in term of the story and characterizations. And for those of you who knew that Marvel's movies would have some end credit scenes, better wait till the very end, since this film had got not 1, not 2 not even 3, but 5 post credit scenes altogether.<br/><br/>So if you enjoyed the first volume, you would enjoy this one even better. I would recommend you to watch the first one before seeing this one to have a better understanding on the movie. Though I am pretty sure that most likely you would have seen it. Now if you are a fan of a much heavier superhero movie, than this one may not suit your thirst, but I am confident that you would still be entertained watching this one."
"imdb2-5","5","247","432","28 May 2017"," Must disengage brain entirely to enjoy
","With so much talent in this film, it's so disappointing that the writers were right . Don't waste a dime on developing a sensible plot because the hordes of fans will eat this crap up like it was a 5 star meal. Hence the 8.1 star rating which reflects a demographic with time on their hands and a studio with plenty of marketing budget.<br/><br/>On the bright side - the CGI is great. The sets are beautiful. There are some very funny moments. The cast still has some chemistry with each other. And I've seen movies that were much worse and unwatchable than this one. But I wouldn't be honest if I didn't give this a very generous 5 because of the horrendous, deficient plot. And after this film I'd have to say that I've about had enough with this series. We've heard the story, had some fun with the characters and it's clear that what was fun, fresh and original is what it should have been - a one film wonder leaving Hollywood to develop another story. <br/><br/>Without giving away the big reveal or true spoilers, I'll explain the problem that are evident throughout the entire film:<br/><br/>(1) Repeated jokes as if we're supposed to be warmed to it, e.g. how dumb and oblivious baby Groot is (except when he needs not to be.) Funny at the opening moment and gets more difficult to stomach as we make our way through.<br/><br/>(2) The fact that our heroes are never really in danger. They are always somehow able to avoid dangers of the most extreme kind for prolonged periods while they joke during the encounter and then you know they will be saved by some unknown force to be named shortly.<br/><br/>(3) The abject stupidity of supremely smart characters. Because we need those whose level of intelligence is off the charts to continue to do some really stupid or missing the obvious for a prolonged period of time but just enough for our heroes to have the time to do something to save themselves and the galaxy from certain destruction.<br/><br/>(4) The explanation of the villain's plan made absolutely no sense. It was the usual pseudo-brilliant but amorphous hogwash that only made sense when you were 5 years old in the world of make believe without having to think about whether there was any logic.<br/><br/>(5) Occasional product placement. Fedex anyone? It's one thing to have a ""special moment"" and another to believe we're too stupid to understand why it happened. And then there is Baby Groot who exists and will continue to exist solely for merchandising... Too cute to kill off. ;)"
"rocketdog-74335","4","311","554","2 May 2017"," Very disappointing
","I have to start by saying the first film was my favourite film of the last few years and I'm a huge fan.<br/><br/>But let's be honest, this was a huuuge let down of a sequel after an amazing first film. The first had a good story, fleshed out characters, believable villains, genuine affection, drama, tension and a soundtrack that was original and used brilliantly.<br/><br/>This film had a weak, bloated story. Almost every scene filled with forced, cheap gags. Unbelievable and disappointing bad guys who tried to wise crack their through and lost any menace. Acting was poor apart from Yondu and Nebula who was woefully underused.<br/><br/>This was was like a comedy parody of the first film. A goofy, TV sequel that had none of the magic of the original blockbuster.<br/><br/>At one point Drax wisecracks that he does big turds. I'd venture none as big as this one.<br/><br/>Avoid"
"Reno-Rangan","8","29","44","13 October 2017"," Guardians' date with the creator.
","The first film was the most unexpected. That was one of the most colourfull space films I have ever seen. Youthful, energetic, fantastic visuals and so the same followed in this sequel as well. Not the same good, but stood to the expectation of the first film's success. This story does not have a great adventure in the galaxy. A simple quest, but a thrilling action-adventure. Now this accidental space gang is set to meet the creator.<br/><br/>It's time for Peter to meet his father, Ego. As he still upset with his mother's death, his encounter with his father was not as expectedly smooth. On the other side of the story, Rocket, Yandu, Baby Groot make their escape from the captivity. They all end up on the Ego's planet where the rest of the film going to take place. Being the guardians of the galaxy, their fight against the whoever threaten the safety of the universe once again tested with their strength as a team.<br/><br/>James Gunn did it again. And I'm confident that he's going to do the same for next as well. All the actors were fantastic like the previous film. This time, little fun with little Groot. Anybody who loved the first would love it too. Being a franchise from Marvel universe, it is yet to join the 'Avengers'. So far so good. I'm now expecting one of the best of best trilogies. Bring it on the volume 3.<br/><br/>8/10"
"immanuelwilliams1982","10","77","129","8 May 2017"," Open Mindedly Exploring the Chauvinistic Celestial Domain
","This story has a philosophically intriguing and imaginative theme. If a person lived forever and for millions of years, what would be his psychology. What if he is also able to manifest his physical body and his world through his thoughts. This movie presents a picture where this person becomes extremely egoistic. There is no 'she' to this 'him' and I think that's what went wrong with this guy.<br/><br/>He creates a wonderful planet and then to get rid of his loneliness goes around looking for other life in the universe. He finds many women, makes love to them and plants his seed on every planet he went so that he could take over the universe. He is able to destroy other beings and planets. This makes him think he could just destroy them whenever he wanted and walk away from the crime scene. But his son proves him wrong.<br/><br/>Although it is nowhere close, this story does remind of god the father and Jesus the son and another story where it all went biblical. So the son in the story realizes who is father is, and who his real daddy is, and the difference between the two.<br/><br/>Another interesting aspect of the story was the relationship between two sisters. Gamora and Nebula who were brought up by an abusive parent. Gamora remained beautiful because of her sister's sacrifices. I like the part where Gamora realizes this fact and starts appreciating her sister. Nebula was at the verge of killing her sister because she felt she had had enough. Love renders us weak and sacrifice has its limits. But in the end honest communication works its magic. The importance of role of communication in personal relationships comes to forefront altogether.<br/><br/>There are many other intriguing things like Yondu looking into Rocket's eyes and saying a magical phrase. Totally amazing movie. A must watch."
"drgrozozo","4","99","173","7 August 2017"," Here's how not to do a sequel
","OMG, what a terrible sequel to one of the best movies of the decade...<br/><br/>Shallow, unfunny, clichéd, predictable and often pathetic, in many places poorly acted and directed, with overabundance of cheesy fake-looking rainbow effects.<br/><br/>It's like writers read all viewer comments to Vol.1 then added whatever people liked 100 times over into Vol.2. So the lovely 80s music vignette now becomes massive bore shoveled into every scene, complex Yondu-Peter relationship gets butchered into cheesy pathos, Yondu's character gets reduced to repeating Vol.1 whistling scene over and over, Rocket goes boring with highlights being Vol.1 repeats, Gamora/Nebula relation - again repeats, Groot no development at all beyond Vol.1 ending cute cgi.<br/><br/>The only character that actually gets improved is Drax, his lines are written and get delivered in the best manner of the first movie, unfortunately that can't keep this wreck afloat."
"sthingsone","1","245","454","5 May 2017"," Disappointing.... this movie cares more about jokes than a good plot
","***Potential Spoilers***<br/><br/>+Visuals were okay but not that great at some point it kinda looked animated <br/><br/>+Acting was perfect <br/><br/>-but the plot was Horrible <br/><br/>-Some of the comedy sequences felt Forced<br/><br/>-Villian was underwhelming <br/><br/>-Overacting -Pacing issues<br/><br/>Marvel overused their formula in this one & it just felt Choppy & bloated there are jokes but by jokes i mean there are too many if you are fan of Forced ripoff jokes then this movie is for you there wasn't even much action You have a guy name Drax the Destroyer but you given him only one Action sequence Come'on **Spoilers* Nebula tries to kills herself to kill Gamora, and later on both of them forgive each other ? It just felt messy <br/><br/>The only thing i learned from GOTG 2 is that never go with high expectation while seeing a movie"
