"username","rating","helpful","total","date","title","review"
"MR_Heraclius","10","48","52","15 February 2020"," Frozen
","Believe the hype - Frozen is not just a fantastic Disney film, but a fantastic film in general thanks to it's catchy soundtrack, quirky script, realistic characters and important theme of acceptance."
"calgal84","8","108","160","10 August 2014"," Some People take things WAY too seriously!
","This is really a lovely, enjoyable cartoon. And it's just that a lovely, enjoyable cartoon. And basically a fairy tale. One that moms and dads can feel happy to take their children too. Let it be that. Is there anything truly remarkable about it? Probably not. Are the songs particularly inventive or that much different from all the countless other Disney movies? No, not really, but they are catchy and pretty and fit the movie. And the ""In Summer"" song with the snow man in summer is pretty cute, if not a little jarringly placed! But, catchy.<br/><br/>Having said that, some people on these reviews are taking this way too seriously. Why would you give it one star just because other people liked it enough to give it a 10? Is that too show how much smarter you are than everyone else? It really shows nothing but taking a carton movie too seriously instead of just going with the flow. It's not real. It's not a real story. It's a cartoon fairy tale.<br/><br/>I give it an 8. It's not perfect but I enjoyed it."
"CarrieJa","10","572","934","25 November 2013"," For the first time in forever a true Disney classic is realized
","When people speak of their favorite Disney movies, the big four of the Renaissance and films of the Golden Age of animation are likely to be mentioned. The past decade has seen Disney movies that were hit or miss. Some considered classics, some forgotten and some close to being classics but not there yet. Frozen changes this dynamic and creates a full fledged classic. Frozen IS not just a classic, it is THE Disney classic of the decade. It could position itself up there with the best of them. Disney returns to its roots with a vengeance. The best animated film of the past few years in my opinion. <br/><br/>The story is heart melting, filled with the pure feeling and heart that has become a staple with the best Disney movies. It is a moving story that has family at its center. It is unpretentious in what it is trying to portray. The comedy hits right on the mark and the action packed adventure and thrilling journey make this a tale with a little bit of everything in the exact right amounts. It is a daring movie that is laugh out loud at the some moments and stunning and provoking at others. All achieved in balance. A true triumph in story telling that proves exactly what Disney does best and again proving that they are back to producing top quality films. This is an affecting human story, one that is significant. <br/><br/>Startling and stunning, beautifully envisioned, emotionally powerful and relevant. Gorgeous visuals, stunning backdrops and intricacies like you have never seen before. The environments, the costumes, the character movements among other things make this film a gigantic step forward. The brilliant voice talents that breath life into this project need to be applauded and then some. The cast consisting of Kristen bell (Veronica Mars) and Idina Menzel(Wicked!)among many others bring winning charm, superior voice acting and magnificent vocals as well as heart to this tale. The sensational wit and humor, the arrays of different personalities, their emotions, their triumphs and falls make them some of the most interesting characters that people can relate to and some of the best i have seen in animation. The cast fully become the characters.<br/><br/>The score and music is perfect. The score is grand. The sound, the texture, the harmony, the melody is in a class of its own. Above and beyond anything attempted by the animation studio in the past decade. I would place the songs up there with those of the 90's movies and 2000's Enchanted. A true all round musical triumph. Songs that will be stuck in your mind and you will be humming them and you won't even know it. And some you will be belting out at the top of your lungs because they are that good. Songs that progress the story and an essential part of it.<br/><br/>So you have meticulously crafted breath taking animation, an affecting tale of the bond of family, romance, hilarious wit and humor courtesy of the characters especially sweet Olaf and heart stopping adventure. A true fairy tale that i would say could very well be The Little Mermaid or The Beauty and The Beast of this generation. <br/><br/>FROZEN has that Disney MAGIC that has been missing for so long and it comes in full force here."
"MartinHafer","7","91","147","9 January 2014"," I like it, but apparently not as much as most folks.
","Currently, ""Frozen"" has a very high IMDb score of 8.1. I was actually surprised by this, as I did enjoy the film but though it had some plot problems that prevented it from being among Disney's best in recent years. Apparently, other folks don't agree with me.<br/><br/>The film is supposedly based on Han Christian Andersen's story ""The Snow Queen"", however little of the finished film seems to be related to this story...very little. This isn't really a criticism--I am just trying to clarify the film a bit.<br/><br/>The story is about two sisters--one who eventually becomes queen and one who is her younger sister, a princess. However, the Queen, Elsa (Idina Menzel), has a huge problem that is never really explained in the film--she has magical powers to make things frozen as well as to create snow. While this seems great, it's also a dangerous power and one she cannot fully control--and she COULD accidentally kill someone. Once she becomes queen, the power is exposed--and she disappears into the mountains to live life apart from others.<br/><br/>The younger sister, Anna (Kristen Bell), decides to do what any responsible lady would do in this situation--abandon her kingdom and give control of it to an almost complete stranger! Why she didn't just send some of her people out to find Elsa is beyond me. Regardless, along the way she meets a guy who is to become an obvious love interest and together they seek out Elsa and try to bring her back to the kingdom. After all, since Elsa's departure, the place has been bathed in perpetual winter! <br/><br/>The film is glorious to watch--particularly on the big screen. The CGI is absolutely lovely as are the character designs. However, it's a film that looks great but whose story is less than stellar. Part of it is because the characters sometimes do inexplicable things (mentioned above), part of it is because parts of the plot are missing (such as explaining how everyone LOVED the interim leader yet hated him later--after he'd actually done a good job in regard to the people as well as why everyone suddenly hated the guy from Weaseltown) and part of it is because there were too many distractions when the main thrust SHOULD have been the relationship between the sisters (the reindeer and guys got in the way). Still, it is worth seeing--especially if you don't spend too much time thinking through the plot. Plus, many might enjoy the more Broadway style of the music, as Idina Menzel really pours it on when she sings (as do the rest, though she clearly overshadows them with her magnificent singing)."
"michael-burnard","3","256","440","3 February 2014"," I Don't Get Why Everyone Loves It
","Let me start this off by saying that I generally like Disney films, and that this is not some anti-kiddie flick internet geek writing this. Now that I have that out of the way, I would like to tell you how terrible this movie is. First of all, there is only one song that I think was actually good. The first song in the film is a fantastic number about the hardships of winter, with a great track, expert vocals and a grand, sweeping tone. The rest of the songs are not nearly so good, as they are all sung by the protagonists, which is fine the first few times but gets really monotonous by about halfway through. The movie also wasn't especially funny, which is a saving grace in some of Disney's other lackluster releases. The comic relief character was okay (in that he wasn't nearly as annoying as everyone else) but he was only there to provide some moderately executed slapstick comedy, and the only funny spoken line in the movie. While the script is fine for a TV special or maybe the first episode of a Nickelodeon series, it is definitely not right for a high-profile animated film. Let's just say, there are trolls. Singing, incredibly annoying trolls who show up basically just for the hell of it, and then disappear without a trace. And, while there was one character turn which was actually quite well executed, it is wasted almost immediately, because it changes absolutely nothing about the story. No events drastically alter because of it, there's no clever subtext, and the entire thing feels like it was just inserted so the screenwriter could show how clever he was. I mean, the trip to the cinemas wasn't completely pointless. There was a quite funny Mickey Mouse cartoon they played before the picture, and the trailer for the Lego movie looks like it could be worth something. Otherwise, this movie was terrible. Avoid it if you can, unless you have some kids you need to get out of the house. If so, make sure you bring a good book."
"ruth-music-1234","Null","507","893","31 March 2014"," Most Overrated Movie of 2013
","I'm an 18 year old girl, who is a HUGE Disney fan and loves watching what her friends deem ""little kid movies"". I was looking for a way to celebrate finishing my first semester at college(in December), so I went to see Frozen, which had gotten great reviews. <br/><br/>The beginning of the movie was decent. Do You Want to Build a Snowman made me tear up and Kristen Bell and Santino Fontana's voices sounded like they were made for each other in Love is an Open Door. However, the positivity stops there. At the end of Love is an Open Door, when Prince Hans asks Anna to marry him, I immediately KNEW that something was wrong and that this was an attempt to mock the Disney ""love-at- first-sight"" cliché. Now, before I continue, I'd just like to point out that I am ridiculously sick of people praising Elsa for being the first Disney princess to say ""You can't marry a man you just met"".<br/><br/>1) This is a result of people on the internet poking fun at Disney Princess movies. However, if those people even bothered to REALLY watch them, they'd realize that although this movie may be the first to explicitly state that girls shouldn't marry someone they just met, this is not a new concept in the Disney world. In fact, I don't recall Pocahontas, Mulan, Rapunzel, Tiana, Jasmine, or Belle marrying men that they just met. <br/><br/>2) Re-watch that scene. She only said that because she was worried about Hans' brothers staying over for the wedding and having yet another social event that she'd be required to attend. She panics and says ""No one's brothers are staying here. No one's getting married"". See her priorities? Elsa's reason for not blessing their marriage doesn't stem from their quick engagement. It's much more self-centered than that. <br/><br/>Next, let's not forget the plot holes, the most obvious one being the anti-climatic ending: ""Of course...Love!"" Sorry, what? Elsa trying to protect Anna from herself wasn't love? Besides, why does Elsa even have powers? Why are there trolls and where did they come from? Why did Prince Hans protect Elsa if he wanted her dead? He could have been ""distracted"" when the guard was trying to kill Elsa. Why does Olaf come to life and where has he been the entire time the girls were growing up? Maybe the directors should have paid less attention to casting *famous* people and more to making a good plot. (Casting complaint: Elsa looked like she was in her mid-twenties and sounded old enough to be Anna's mother.)<br/><br/>Anyways, moving on to my next complaint: Olaf, the snowman AKA my least favorite character in the entire movie. His awkward attempts at jokes and sheer stupidity were torturous to sit through. In Summer was one of the worst songs in the movie, right up there with Fixer Upper. What is Fixer Upper even promoting? Cheating?!?! Because that's what I thought as the trolls sang about getting Anna's fiancé out of the way. Also, I could not stand how Anna flirted with and almost MARRIED Kristoff while engaged to Hans. Luckily for her, Prince Hans just *happened* to be a villain. How very convenient (and completely unnecessary). Elsa, having been alone her entire life, could have used a love story and Kristoff would have been the perfect match for her. Elsa and Kristoff could have bonded over her powers and his love for ice. Instead, Kristoff and Anna ended up being an extremely weak, unlikeable rip-off of Flynn and Rapunzel. <br/><br/>Lastly, having watched Disney movies all my life, I have to say, this movie has the largest percentage of bad songs I've ever seen in a single movie. ""Let it Go"" is the most overrated song I have EVER heard and I was quite disappointed to hear that it had won the Oscar for Best Original Song. The rhymes were unoriginal and it was not memorable at all, although after hearing people sing it 24/7, it does get ingrained into your brain. Some of the other songs were catchy, but there was still a HUGE lack of originality in the rhymes. Even my nine-year-old sister criticized the Frozen songwriters' creativity, pointing out that they rhymed ""door"" and ""anymore"" in four songs (""Do You Want to Build a Snowman"", ""For the First Time in Forever"", ""Love is an Open Door"", and ""Let it Go""). <br/><br/>To summarize, this movie was not deserving of the Oscars it won. Then again, there was not much competition this year. This movie was basically a slap in the face to all the Classic Disney Princess movies and is tied for #1 with Brave on my Worst Disney Princess Movies list. If you REALLY want to see a movie worth watching, I recommend Tangled, which is as underrated as Frozen is overrated. The songs, plot, and characters are much better developed and the whole movie is absolutely delightful. The music was beautifully composed and don't even get me started on how amazing Donna Murphy, Zachary Levi, and Mandy Moore's performances were! Whereas I will never re-watch Frozen, I re-watch Tangled every couple of months even though I can quote the entire movie and sing every song. I know many Tangled fans went to see Frozen - expecting it to be as good as Tangled- and were very disappointed. Disney may be gaining new fans, but they're losing their loyal fans. Look at Frozen's percentage of 1/10 ratings compared to those of Tangled. Until Disney gets their act together, I will not be wasting any more of my time watching these movies in theaters. As Zazu said, ""If this is where the monarchy is headed, count me out"".<br/><br/>tl;dr- Plot holes galore. Lackluster songs. Terrible morals/lessons. Save your money and time.<br/><br/>(Apparently 0/10 is not an option, so I'll give it one point for the animation.)"
"brent_or","5","215","367","9 January 2014"," Great Visuals, Unremarkable Script
","First of all, I strongly disagree with any assertions that Frozen hearkens back to the great Disney films of the late 80s and early 90s. The music is nowhere near that level, and the storytelling is not nearly as sharp. Even suggesting that this is the best *since* The Lion King rings false with me. I have not seen every Disney film of the past twenty years, but offhand I can say that Tangled, Bolt and Meet the Robinsons are all far superior examples well-written stories than Frozen. In my personal opinion, of course.<br/><br/>Second of all, Frozen definitely skews towards the younger crowd, with little to none of the sophisticated touches or wittily mature humor that have come to be somewhat more commonplace in recent animated films. This one is aimed at the pre-teen crowd. Not that that is necessarily a bad thing, but it is worth noting.<br/><br/>The overall story is an interesting one, but the execution is rather sloppy and the narrative meanders a bit too much. The dialog, in particular, is not a strength. Unlike the best films, in which every line and every scene feels both essential and perfect, Frozen is more of a loose joyride. Again, there is nothing inherently wrong with that approach, but in my personal estimation, it earns lower marks as a storytelling method.<br/><br/>The songs are for the most part unremarkable, and some of the musical sequences suffer from not fully committing to dialog or singing. They just feel hastily-choreographed and not fully thought out. And do not even get me started on the troll song. Yikes.<br/><br/>Two of the songs, ""Do You Want to Build a Snowman"" and especially ""Let it Go,"" do work very well. The latter ties into what is unquestionably the best scene in the film on every level. It provides the one glimpse of true majesty, the sort of quality that would explain all of the extremely positive ""this is the greatest"" reviews that are being posted by others. Unfortunately, the film descends most of the way back into mediocrity after that scene.<br/><br/>On the positive front, however, Frozen offers a fantastic, gorgeous take on the visual elements of winter. Deep blue ice, snowflakes, white mountains contrasting with colored skies. It is an unspeakably lovely display of a subject matter than CGI animation has never (in my experience) turned its energies to before, at least not like this. Of course, it goes without saying that all of the animation in Frozen, characters and landscapes alike, is excellent.<br/><br/>For me, Tangled was much more satisfying than Frozen. I applaud Disney for honing their CGI skills, and for finally adapting The Snow Queen to screen. I just wish that they would have spent more time on the script.<br/><br/>With films like this one, a distinction needs to be made between loving it for the visceral takeaway (""it was sweet""/""it had a great message""/""it made me feel good"") and looking at it from a critical standpoint. Now, I understand that one needs to just ""forget about being critical"" and enjoy a film - for me, the best films take care of that themselves. It is the ones, like Frozen, that seem like they clearly could have been much better, that get me thinking about just that.<br/><br/>This film is a fun one for kids, and great to look at for adults, but it is far short of being great, or a masterpiece. More focus on an truly excellent story, and it might have been."
"merryantoinette","8","226","387","10 December 2013"," Frozen – Flawed Masterpiece
","Frozen is a legitimately great film but also a flawed one.<br/><br/>First, let's look at a few flaws, then admire its successes.<br/><br/>Frozen's biggest shortcoming is in not making Elsa, its most interesting character, the main protagonist and main heroine of the movie. As it is, she is a co-protagonist, but Anna is given far more screen time.<br/><br/>Yet Anna's story is nowhere near as interesting as is Elsa's. Where Anna merely seems bored and a little lonely at the beginning, we know that Elsa suffers terribly throughout her young life, in being forced to inhibit her emotions, live with the guilt of nearly killing her sister, and seclude herself, in order to protect Anna from the danger that her magic poses. Yet we barely see Elsa's side of the story.<br/><br/>But when Elsa transforms into the Snow Queen during her Let It Go sequence, that's when we especially wish and expect to see more of her. That feels like a great beginning, a launching point for the character, from which Elsa will go on to have an exciting storyline in her new identity.<br/><br/>But instead, the movie relentlessly keeps us down with Anna on what is a not very original or interesting road trip.<br/><br/>It would be as if, in Beauty and the Beast, the movie spent most of its time not in the Beast's castle, but with Belle and some villager on a road trip to and from the castle (and the castle would lack any magical objects, and Belle and the Beast would never fall in love).<br/><br/>Think of how much poorer a film that would have been, compared to the Beauty and the Beast movie that does exist, in which the very BEST moments are the moments in the Beast's castle and the scenes involving the Beast.<br/><br/>Frozen deprives itself of those very scenes, which would have been the best in the film, for no reason whatsoever.<br/><br/>But one could even forgive Frozen this, if it wasn't hindered by a second missed opportunity: It doesn't give Elsa a love interest, no prince to win her heart, no man to love, who would love her back.<br/><br/>This is baffling and unforgivable. Countless Disney princesses have been given stirring love stories when they didn't particularly need them. But in Elsa, Disney created a character of aching solitude and isolation, one for whom a love story actually would have mattered. It would have been as beautiful and rapturous to see as is the Beast's love story in Beauty and the Beast.<br/><br/>But it didn't.<br/><br/>The ending of the film feels very disappointing for that reason, giving Elsa at best a glass-half-full conclusion, showing Anna (the sister who has suffered less) blessed with both sisterly reconciliation and romantic love, while Elsa's reward for a lifetime of self-sacrifice and pain is...merely survival, and a touch of equilibrium.<br/><br/>On the other hand, the movie does a number of things very well.<br/><br/>It keeps the setting in Scandinavia and populates the story with actual Scandinavians, instead of making Arendelle look demographically like a modern American metropolis.<br/><br/>The animation is breathtakingly beautiful throughout. The depth of attention to detail, incorporating authentic Norwegian culture, is admirable, and one hopes that it might inspire Europeans and European-Americans to better appreciate their own heritages.<br/><br/>Making Elsa the heroine of the story rather than the villain was truly inspired. This is the film's one, true claim to greatness. In fact, throughout the movie, Elsa is actually the moral center of the story. Every one of her actions is selfless and noble, even as other characters make morally questionable choices. Added to that, she is traditionally feminine in appearance and demeanor, so this film redeems such essential feminine qualities (which are otherwise often vilified or erased in modern culture) by giving them to its most popular character.<br/><br/>Even more subversively, at many points in the story, the roles of the sisters reverse and it is actually Anna who becomes the antagonist to Elsa (as Elsa never is).<br/><br/>Anna is the one who causes the accident in the girls' youth by goading Elsa into playing the game and not stopping when Elsa told her to do so.<br/><br/>Anna takes Elsa's glove and refuses to give it back at a state function, throwing a tantrum in the middle of an important diplomatic affair, selfishly thinking only about her own wishes instead of how she is humiliating Arendelle itself. (It would be like the brother of the U.S. President throwing a tantrum toward the President on Inauguration Day.) And when Elsa tells Anna to leave the ice palace, Anna stubbornly refuses, agitating Elsa and causing the blast of magic.<br/><br/>Time and again, Anna is Elsa's antagonist, a situation that only changes at the end of the film, when Anna finally makes a selfless act – the kind of selfless act that Elsa has been making her whole life, in sacrificing her happiness for the safety and well-being of others. Finally, at the end, Anna learns the lesson that Elsa's example has provided to her.<br/><br/>Beyond that, the Hans twist is unnecessary, and the scene of his turn is incongruously melodramatic, his monologuing almost self-parodic.<br/><br/>Nevertheless, Elsa's ""Let It Go"" sequence is among the finest moments ever created in Disney history, and as a whole, the film is visually breathtaking.<br/><br/>Frozen is a magnificent move even as it is, but with a re-emphasis on its most captivating character, Elsa, it could have been a true masterpiece."
"fyeroledezma","10","473","836","24 November 2013"," Disney's Best in 20 years.
","A lot of people criticize Frozen for what it isn't. Their preferred setting, cast, etc. Not for what it is. It is an incredibly touching story with fantastic music, score, script and performances by Menzel and Bell we haven't heard in a long time. I took 117 nieces and nephews ages 18 months to 14 and not once did any of them get up to ' go to the bathroom' or get more snacks. Boys, girls were both drawn to the film the whole time. The younger kids responded more to Olaf than the thematics of it all. <br/><br/>The story centers more on the sisters relationship than a romantic one and has a great message. I would recommend this to any family or Disney fan.<br/><br/>You will be singing the songs over and over."
"The_Film_Cricket","6","115","191","12 December 2013"," A story that's all slush.
","It is sort of disheartening going into Disney's production of ""Frozen"" to report that this is a project that Walt himself had been tinkering with as far back as the 40s, disheartening because the result falls far short of spectacular. After all these years, after all this effort, what has come to the screen is a dull, lackluster and fairly canned story that Uncle Walt would have most certainly demanded be rewritten.<br/><br/>What comes to the screen looks terrific. The animation is crisp and colorful. The ice-flows glisten in a magical way, but the story is disastrously underwritten. It plays like one of Disney's quickly-made DVD releases, or one of those classic fairy tales starring Barbie. Worse, it has musical numbers that are not only forgettable; they slow down the film's forward momentum. They're bad, and that ain't good.<br/><br/>Loosely based on the Hans Christian Anderson 1845 tale ""The Snow Queen"", the story takes place in the Nordic kingdom of Arendelle where Elsa (Idina Menzel) is born with a superpower that she doesn't want: Everything she touches turns to ice. With this gift, her royal parents reasonably do what any Disney parent would do, by keeping her power a secret and locking her up in her bedroom for life. Who wouldn't? Elsa's cold-weather Midas Touch eventually gets her banished from the kingdom when a wintry temper tantrum leads to disaster. Cast out into the cold, she heads off into the mountains where she builds herself a lonely castle in which to stew in her misery. Meanwhile, the winter-wonderland that she has left in her wake is (unbeknownst to her) turning out to be permanent.<br/><br/>That sets her sister Anna (Kristen Bell) off into the frozen wilderness to bring her disgraced sibling back. Her sidekicks include a hunky guide named Kristoff who runs an ice business, and a living, breathing snow man named Olaf (Josh Gad).<br/><br/>Olaf would seem to be the film's chief selling point. He's a cute motor-mouth with a silly wish that, given his molecular configuration, might prove fatal - he's unaware that snow melts in summer. Olaf is not one of the great Disney sidekicks. Unlike Goofy or The Genie or Dug the Dog, Olaf just feels manufactured and underwritten. He's also pointless to the rest of the story. He shows up halfway through the movie, sings a song and then has nowhere to go.<br/><br/>That's pretty much the problem with the entire movie. For everything right with the movie – the beautiful wintry landscapes – there is something that goes wrong – all the characters look like a line of Barbie dolls. The music is dull, the characters are ill-defined and, while small children may enjoy it, their parents will be checking their watches.<br/><br/>If I sound a bit cold-hearted, it's only because I know that the quality of the Disney name deserves better. This is a professionally made, but lackluster musical fantasy that needed a better story, better characters and better music. After 70 years of toil and trouble, ""Frozen"" is all slush.<br/><br/>** (of four)"
