"username","rating","helpful","total","date","title","review"
"phayke","9","715","954","20 April 2006"," Finally, a good, accurate game/film crossover.
","First off, the downsides: Some parts of the movie seemed a little drawn out, the film was two hours, and at certain times, you could feel that. It's far-fetched, and I can imagine some people rolling their eyes at the storyline, and there WILL be some people walking out saying ""that was a stupid movie"". (As many people responded to Final Fantasy: The Spirits Within.) Of course, some of them will be saying that in response to the sheer amount of gore and violence, which brings me into the 'upsides': This movie certainly had it's 'wow' moments with shock, anticipation, and gore, especially near the climax. Scenes and even alleyways and monsters from the games were almost identical. If you've played the games you will get a lot of deja vu. (For example, the camera goes crooked at exactly the same time and place it does in one of the scenes in the game.) Also, a lot of the sounds and music tracks from the games are used, and so are the monsters. The entire feel of the games is preserved in the film, and you will have trouble keeping your feet on the floor the entire movie. The creepy presentation works, and if you haven't played any of the games, this movie will scare you in new ways."
"SadisticCaberet","10","869","1184","20 April 2006"," Best Game Movie Adaptation Yet!
","I'm not sure what the original comment leaver saw last night, but it certainly wasn't Silent Hill.<br/><br/>I saw a critic screening last night, and must say I was highly impressed. As a fan of the games, and anything related to them, my faith has been firmly established in Gans and Avery, and I can only wish for sequels.<br/><br/>The atmosphere was perfect, the acting was on point, the creatures were amazing, well, everything was amazing.<br/><br/>The town itself looks just like the town we love, and it's almost like coming home again. You'll see what I mean when you finally get to see the film.<br/><br/>Just be prepared for a disturbing, bloody (oh man, the blood), and genuinely creepy ride.<br/><br/>I'd say more, but giving spoilers would be like slapping you in the face.<br/><br/>Go see it!"
"recrimination","10","361","492","21 April 2006"," A very surprising, dark and gruesome movie!
","You have to approach any movie adaptation of a video game with extreme trepidation. Think of the other corkers we've all caught on TV in the past: Super Mario Bros., Mortal Kombat, Resident Evil. Stinkers, one and all. Doom was vapid, but at least got close to the source material.<br/><br/>So what about Silent Hill? The movie opens with music lifted straight from the game itself - in fact, the entire movie contains original tracks from the game as well as some remixed score. Just as it was a fantastic and brooding background when playing the game, it works very effectively on screen.<br/><br/>As for the film itself, the story is a composite of story elements from the first and second games, but the final act is a monstrous and highly original thirty minutes that kept me guessing (as well as being completely grossed out). Indeed, the violence is pretty gruesome.. clever mixtures of CGI and fully made-up monsters which really add to the foreboding atmosphere.<br/><br/>At first, I felt nervous watching this.. not because of the visuals (which are absolutely SPOT ON.. I've never seen ANY movie adaptation that is this close to the source material.. all the comic book movies from the past few years still stray furiously).. but because of the weak opening. After I'd resigned myself to the fact that the movie was going to be disappointing, I was pleasantly surprised as soon as the main character Rose gets to Silent Hill itself. If you're a fan of the game, you won't be disappointed. If you're a horror hound, you'll love the creatures and the visuals. If you're expecting a deep movie about the relationship between estranged mother and daughter.. you're in the wrong theatre.<br/><br/>Highly recommended. Best horror movie I've seen in a long time."
"nessa_tulcakelume","8","109","142","19 June 2006"," Horror? No. Psychological triller? Yes. Oh yes.
","Horror? Try psychological triller and you might be closer to understanding why is it that I found Silent Hill such an amazing piece of work.<br/><br/>With that in mind, the reason why Silent Hill worked for me was because it had a story to tell. Granted some of us are already familiar with the storyline and are frustrated with the pace of the film. Others may gripe at how much of a disappointment the movie was because of the lack of certain monsters, the lack of development in the characters they liked best, the lack of answers to puzzling questions, the fact that the storyline was too convoluted and confusing et cetera et cetera.<br/><br/>Yet, the heart of the film lies mainly on one simple idea - Silent Hill is first and foremost, a physical manifestation of a child's mind that is shattered, tainted and shackled by an abuse so terrible that one is unable to articulate it into words. (Ever wondered why Silent Hill is called ""Silent"" Hill in the first place? If you think along the lines of language being an ineffective medium in the expression of ""truth"", *cha-ching*! You're right!)<br/><br/>In this light, I cannot understand why so many people had a problem with the pacing of the movie because in the first place, such apparent ""meandering"" is necessary to the entire film. And why not? The inability for any one character to get to the heart of the problem is prevalent during the entire narrative framework of the film *No one* character dared to talk about it and those who sought the truth are met with an air of secrecy. The ""truth"" therefore, is oppressed by a *complete breakdown of words* and all that is left is to ""show"" and let the people ""experience"" what had happened themselves. (Such is the path that Rose must take because she ""chose"" to seek out the truth surrounding her daughter's psychological problem and since language fails in Silent Hill can the ""truth"" cannot be communicated through ""words"" it must be ""shown"".)<br/><br/>The same rule applies to Christopher. He tried to uncover the ""truth"" but was thwarted by people who are reluctant to talk about the town. Everyone who had prior knowledge of the town was unable or unwilling to describe what happened because they 1) are suppressing their guilt 2) are afraid of opening up a can of worms that is best left forgotten. Even Rose and Cybil are faced with a group of people who were so adamant into seeing things in their point of view that they have ""blinded"" themselves to the atrocity of what has taken place in Silent Hill. (Notice how most of the monsters i.e. Nurses, Pyramid Head, Janitor, are in a state of blindness? Coincidence? I think not.)<br/><br/>And still at the heart of all THAT, a child's horrifying story is desperately waiting to be told. The meanderings are not meant to be a flaw in the plot, in my opinion, but an attempt to show how the outside world tried to suppress and confine the deepest desire of a little girl - the desire for ""truth"" to be known. Therefore the ""truth"" cannot be ""told"" because words will ultimately fail in Silent Hill. It must be ""shown"". That was why Rose had to go through all the various stages of her journey to seek out the ""truth"". That was why it was crucial the narrative had to be mapped out thus and it reached its summit in the dramatic finale where the fanatics were reluctant to accept the ""spoken truth"" but was forced to accept it nevertheless through a physical manifestation of ""truth"" - the manifestation of their past deeds.<br/><br/>Hence in my opinion, this film isn't about monsters, busty characters, bloodshed, storyline or whatever it is that one normally looks out for in a film of this genre. This film is about a little girl's story that is struggling to surface in a world dominated by a viciousness she could not comprehend but fall victim to nevertheless. Think about it. To be thoroughly abused in a world that you never fit in and cannot comprehend. And later to want to seek vengeance for the wrongs that had been done to you but are unable to articulate it into words because there is no one out there who understands or listens to you. The intense hatred due to the complete lack of control that one is forced into, the desire to achieve ""satisfaction"" at any cost and the obsession with ""vengence"" - now that's a scary thought for a little girl of 10 to have, wouldn't you say?<br/><br/>So was it good? Heck yeah. And I'm going for another round of this when my next paycheque comes in."
"fox_hound1980","10","795","1159","20 April 2006"," Silent hill isn't a horror movie its a nightmare drama
","For everyone who has seen or is going to see or is thinking of seeing silent hill, do not go into it thinking ohhh its going to be a scary movie,,, because its not suppose to be. Its for intelligent drama based crowds who like good visuals, story line, acting, and mystery. This isn't doom and this isn't resident evil, this is a well written drama/mystery that happens to be very disturbing in its visual and story. People who have not played the game go see it with an open mind and not look at it as a video game movie because even without the game it could stand on its own as a great movie. So that said, if your looking for pop crap gore then don't see silent hill, if your looking for a memorable movie you well think about for years to come then do see silent hill. WELCOME TO SILENT HILL...."
"craig-252","10","483","705","22 April 2006"," WOW, I mean W O W!!!
","Agree 100% with agentmatheus: This is, hands down, the best VG adaption bar none! Seriously, it truly is like you are living the game. Granted, several characters have been changed, but that's to be expected. (Having a woman as the main protagonist, ensure's the main character is more vulnerable, than if it were a man). The set-pieces with the creatures are even more disturbing than their VG counterparts - I kid you not! The production design is truly superb and you get the feeling that Silent Hill really does exist. <br/><br/>If I had to nitpick, it would be that they didn't include any puzzle elements in the film, as per the game; it could have been cool to have Rose solving some mad brainteaser, but you can fully understand that they didn't include this sort of thing (well, apart from her memorizing the hospital floor-layout), otherwise it could have slowed down the whole pace of the film.<br/><br/>I was so skeptical about this movie, as traditionally, Game-To-Movie adaptations are, let's face it, crap! - But they have completely pulled it off, and I await a second installment with heavily baited breath.<br/><br/>Again, it really is the best horror movie in years! HIGHLY recommended.<br/><br/>Check this film out as soon as you can.<br/><br/>Craig"
"ehousden","8","227","328","21 April 2006"," Fans of the game will enjoy this film!
","Fans of the game will enjoy this film. Critics should be impressed with the set design, effects and cinematography; but I'm afraid most of them will miss the boat entirely. As far as a game to film translation, this is one of the best ever made.<br/><br/>There are scenes in the film that are direct recreations from the game. Sounds, music, colors and even meticulous set design that pays homage to the game series. In as far as a horror film, there were scenes in this movie that are incomparable. Really disturbing, solid moments of horror.<br/><br/>Pyramid Head is this decade's Pinhead. A new cultural icon to be feared, and loved.<br/><br/>Good movie. Keep an open mind, and enjoy. This is one of those films that actually deserves its R rating. Don't take the kids, unless you're into the whole ""terrible parent"" thing."
"LupinsGal2004","9","646","966","20 April 2006"," Excellent Video Game/Movie crossover
","Someone said worst movie ever- dude- ever see UltraViolet or Scary movie? Please easily those are the worst movies that should NEVER have been made.<br/><br/>However. this movie was excellent. I have a feeling the person who gave this movie one star was someone who did not play the video game, maybe even did not realize it was based on a video game. I can see how this movie could present a problem to those who are non-gamers. However Most of my friends never played the game either, and they still enjoyed the movie very much.<br/><br/>I wasn't as disturbed by the changing of the characters as I thought I'd be. (Harry Mason to Rose for Example.) I totally understand how Harry wouldn't cross over well. while he was a cool character (From a girl perspective) he was kind of a wuss. lol.<br/><br/>the actors they picked to portray the characters were superb. they did a very good job portraying the intensity, the scary and sometimes disturbing nature of the movie.<br/><br/>I saw a sneak peek where most of the movie goers did a lot of gasping and clutching of their friends or dates, covering of eyes... it was a pretty creepy film, and the only horror movie that actually got my pulse to race. Normally I hate horror movies because they're more ridiculous than scary.<br/><br/>but this movie was scary, well acting, well written, and I loved the monsters. It was much more realistic to use people rather than complete CGI characters. it made it more creepy. I liked that touch. Definitely proves that old school can be more scary than technology. Although they don't completely ignore the modern day novelties. Its a perfect combination of both.<br/><br/>Pretty much- I miss Harry- I can understand why they did away with him (I'm glad it wasn't for a stupid reason like them wanting a tough cigar smoking buff man chick thinking that's ""P.C."") but the character changes work, the actors in their parts work, the script works, its creepy, its scary, its a great movie. Some who have not played or haven't heard of the Silent hill games may not get it... but for the most part, I think most should enjoy this movie, gamers and non-gamers alike. This has to be one of my favorite movies this year."
"KrwlngNMieSkin","10","547","854","22 April 2006"," Amazingly Emotional
","This movie was amazing. Beginning to end it had me drawn in. This movie  breaks the rules and thinks outside the box...and gets away with it.  Maybe not a blockbuster, but definitely a cult classic :D To other  reviewers: Please, do a little research before you cut the movie off at  the knees. 1st off they're not Christian fanatics, they're another  cult. Secondly, not everything is movies are based on real things.  Certain things can be completely fictional. The movie was made to have  that dream/nightmare feel. It was an amazing movie if you actually paid  attention to it, and I'm sorry if your feeble mind cannot comprehend  what is going on. As for the part where they tell you the back-story,  it had nothing to do with anyone not knowing what was going on. Konami  as well as Sony loved it so much they didn't cut anything. That is why  the movie is so long. Not to mention this is a European FILM!!!!  Japanese horror, European writers and actors with few Americans (yeah  some of the actors were but they don't write the film). The movie is  supposed to make you sit back and go ""what the ****??"" when things  randomly happen...that's what Silent Hill is all about. This isn't your  run-of-the-mill horror ""horny teen"" slasher film (which unfortunately  is what's most popular in America). If you can, go to a matinée where  you can watch it without all of the people who think they're in MST3k  and all of the people who feel the need to talk to the screen. The  story is deep, really deep. The ending is tragic. And if you still  don't get it, it doesn't mean the movie sucked...it just means you  don't get it."
"I_is_smart18","8","344","531","20 April 2006"," Breathtaking. Simply Breathtaking.
","This movie was simply incredible. To all Silent Hill fans, I say, yes, PH was nothing more than a fanboy favorite and they changed the storyline a little from the first game, but I have never actually felt dread like I did in this movie when I heard the air-raid siren indicating that ""the darkness is coming"". I actually remember feeling the same dread while playing the game. The ending, while a bit of a letdown due to a lack of definite closure, was definitely very Silent-Hillesque in that it had a certain meaning that IS possible to find if you look closely enough into the clues.<br/><br/>Phenomenal movie, I suggest you see it ASAP."
