"username","rating","helpful","total","date","title","review"
"anto_capone","5","183","266","27 September 2017"," Superhero Movie Fatigue
","Please take my review with a grain of salt. I don't really write reviews, but I really felt compelled to say something about this movie and it's decaying genre.<br/><br/>I'm conflicted, because I know my opinion is getting more and more jaded with every new superhero flick- but I am quickly reaching the end of my rope here. All these movies feel so predictable and cliché anymore, and as much as I truly want to enjoy them it is becoming more and more difficult.<br/><br/>The main actors in this movie were pretty good, but what can you do with yet another weak story that has already been rehashed in other films. The writing felt subpar, and in the end it came off as being full of gimmicks and convenient sub plot.<br/><br/>It just doesn't feel real anymore, it doesn't feel believable. It feels like a fantasy world created for superfans who never take a step back and critique.<br/><br/>These superhero movies are becoming more and more uninspired, and while I try to give them all a chance I am just getting tired of it all. It feels like the quality is being diluted, all that matters anymore is the quantity. All that matters is the money.<br/><br/>I still hold out hope- just look at the 'zombie' genre. Just because there is dilution within the genre doesn't mean a sporadic gem can't be made. However, if you are of a similar mindset as me, you might want to keep looking elsewhere.<br/><br/>Thanks for reading!"
"craigearl","6","281","431","24 July 2017"," Hugely disappointing
","As a lifelong Spidey fan I was expecting good things of Homecoming. Sadly - and I appreciate that I seem to be in the minority - it did not deliver for me. <br/><br/>Let's start with the positives: Michael Keaton's Vulture was everything a villain should be with an added layer of charm and depth. The high school setting and our youngest Peter so far was definitely a step in the right direction (Tom Holland is a very capable actor although though his voice did grate after a while). Even the menacing Mac Gargan, a potential 'Scorpion', was a great addition.<br/><br/>Now the negatives. I think the casting for Flash Thompson, Liz Allen and Ned Leeds was absolutely ridiculous. Flash is supposed to be a jock who bullies Peter - not a smaller Asian guy who is also a member of the same quiz team! And that throwaway 'M J' comment at the end - unforgivable!!! <br/><br/>The costume AI also didn't work for me. I appreciate that this is a tool to integrate Spidey into the MCU - but for me he works better when he is on his own, a guy in a cloth suit overcoming the odds with a mixture of bravery and science. <br/><br/>I can appreciate that Homecoming had some issues to get over, especially as the other movie incarnations covered his unique origin in such depth. Was it brave to avoid the origin altogether - or did it detract from really getting us onside? Maybe a 20 minute opening section with Peter narrating, recapping his origin might have helped...<br/><br/>I've no doubt that younger viewers would have enjoyed this movie (and maybe that was the aim), but fans of the 60's, 70's or 80's Spidey might have wondered what had happened to their favourite wallcrawler.<br/><br/>For me, the first 45 minutes of Raimi's 'Spider-Man' nailed it and SM2 was equally as good. My GF, who has no knowledge of the Spider- Man lore, left the cinema with me and remarked 'that was the worst one'.<br/><br/>Though I don't necessarily agree with that comment, I certainly wasn't ready to hail SM:Homecoming as an all conquering triumph, instead a rather weak chapter in the MCU series.<br/><br/>Sorry Spidey, I so wanted to love this movie! Maybe better next time..."
"oublalelekaka","1","258","409","8 August 2017"," Worst spiderman movie ever
","Seriously the worst Spiderman movie I've watched. The first three movies in my opinion were the best. In this film Peter Parker is portrayed as a hyperactive, silly, and immature teenager. They make him seem very weak and unimportant compared to other avengers. Furthermore I disagree with the use of gadgets and high tech suit. This is not how Spiderman should be portrayed and remembered. Honestly Spiderman is my favourite superhero and I grew up with him, but with the original Spiderman not this silly version and I'm just sad that people will now have this view of Spiderman instead of how Spiderman used to be and SHOULD be."
"feliciaw-10927","4","99","150","22 July 2017"," Worst Spiderman movie
","1. Where's the Spidey Sense??? 2. Annoying and irrelevant characters with weak sense of humor 3. Villains are least intimidating out of all Spiderman movie villains 4. Spiderman identity exposed so easily! Why is he so careless? 5. What happened to Aunt May?? Why is she sexualized? 6. No connection/chemistry between Peter and love interest --> weak plot twist 7. Lame jokes everywhere! 8. Too teched up Spidey suit + too many gadgets!! Why is he like Iron Man all of the sudden?!? 9. Too little web-slinging<br/><br/>Weak story + weak characters = 4/10 movie"
"uworicher","5","772","1299","6 July 2017"," Spit in the face of spider man fans
","Spoilers and review coming from a Spider-Man fan. I want to say if I knew nothing about Spider-Man, this movie was good. But sadly I loved him and grew up with spidey. The movie was a typical marvel movie and funny at parts. But the rest, they hurt my inner child ruining spidey. <br/><br/>Tom Holland was a great Peter Parker and Spider-Man. But the producers and creative team behind this, ruined Spider-Man. I don't know how Stan lee could could happy with this. My god. They ruined Spider-Man. Spider-Man never needed a high tech suit, with all the gadgets and a damn voice helping him like batman and iron man. They made him look pathetic and took away his intelligence. Spider man relied on his abilities, not tech. This movie made iron man look responsible for the creation and power behind Spider-Man. Any kid could have been potentially Spider-Man with iron mans help then. Other than sticking to walls according to this movie. No spidey sense and no further explanation on his abilities. <br/><br/>Next, the flash. My god what were they thinking with him? A small Indian kid, smaller than tom Holland even?? Not a jock and hardly intimidating. That's not flash. He's suppose to be a dumb jock and bully. Not a hardly noticeable nerd bully on a math team picking on Peter. <br/><br/>Aunt may. What...why they make her a hot mom figure. She's suppose to be old, not long luscious hair and sexy. People hitting on her all the time. Why?? <br/><br/>Spider-Mans webbing was lame and made him look oblivious to using it. He barely created it, tony did all the work. Other than a moment in class we saw him making some and the end where he used his old webbing. <br/><br/>His love interest was lame and they made the vulture her dad??? Really? And then end put a nail in the coffin. The Michelle random character....calling herself MJ. Please no. She cannot be or replace Mary Jane. And can't even nod to Gwen Stacy. <br/><br/>There was so much political correct crap in this. I don't mind changing the characters into other races, but doing it just for the sake of doing it was lame. Making flash Indian, making his friend who also could be the hobgoblin Asian, and probably maybe getting rid of Mary Jane as Michelle who is black. Does Hollywood have something against red heads?? Every girl or hero who has red hair in the comics is never ginger. <br/><br/>The shocker was terrible. No custom and lame. And they needed two of him too? Stupid. <br/><br/>Just everything about this movie killed my inner child and spat in my face for making comic book and cartoons of my beloved Spider-Man a waste of time. <br/><br/>Oh and people figured out who Spider-Man was quickly. The vulture, his friend, iron man obviously, and drum roll....his aunt may. Already aunt may?? Unless they make another movie and add a dumb excuse like, oh I just like the costume and I made one. How stupid. <br/><br/>I'm sorry to tom Holland for being involved in this. This was not a true version of Spider- Man. If you know nothing of Spider-Man then you'll probably enjoy this movie. But if you know anything about him, his story and who he is, Hollywood shat on it. <br/><br/>RIP spidey in the movies. They can't get a simple concept down of him. They have to add a bunch of garbage. <br/><br/>This is my one big review of a movie and I never bothered to make one this in depth, but I couldn't keep it in. Plus the post credit scene was even lamer at the very end. To add to that, they brought back the ugliest captain America costume that made him look like a joke in the first avengers."
"rrmin437","1","106","165","27 September 2017"," Not even a good movie let alone good Spiderman
","The movie plot was so basic and they still had to explain through dialog what was happening, so you'd know...<br/><br/>Very little character development. Not even for this Parker... You cling to what you know of spiderman of past stories to fill in the gaps, but, then the new character disappoints.<br/><br/>Like all new movies, they can't seem to write things actually happening. They need to look at old movies and remember how to shoot and edit things so that actions happen. planking on top of a building shouldn't eat up 2 minutes of movie time...<br/><br/>Can you imagine what editing and shooting must have been like with real film ?? And they still can't even come close to older flicks in terms of content and story... What is this? Lazy? Cheap? No longer any talent in the industry? Maybe they should stop focusing on politics and learn how to make movies again.<br/><br/>Spoilers....<br/><br/>The suit thing is dumb, he becomes a ""soft"" version of iron man.. with webs.. What happened to spidey sense? Maybe I missed it.<br/><br/>Sorry, but, you need an actress for aunt May, not a body... just sayin.<br/><br/>For all that happens in this movie, he saves like 2 people. He has to be saved by iron man and his best friend. By the end of the movie, who doesn't know he's spiderman?"
"natalie-1024","1","155","250","8 October 2017"," Spider-Man The Parody
","I'd have given this film a rating no stars had it have let me. A lot of the reviews on here have said that this film is only enjoyable for 12 year olds. Well, as the mother of a nearly 10 year old who hero worships Spiderman and has done for most of his life, he certainly didn't find this enjoyable. He is annoyed at how feeble they have made Spider-Man in this film. A few minutes into the film, I asked my husband if this was a parody, and unfortunately it just got worse."
"Asuka-Fan","1","452","766","13 July 2017"," Worst movie adaptation of Spider-Man ever
","Did the Homecoming writers actually think that pushing together the 2 split halves of the ferry boat would stop the boat from sinking? And why did Iron Man just fly away after pushing the 2 split halves of the ferry boat together, without even checking if any of the passengers might be injured and need to be air-lifted to a hospital? And why were there cars on the Staten Island Ferry? Don't the writers know that cars haven't been allowed on the Staten Island Ferry after 9/11? And why doesn't Spider-Man have Spider-Sense in MCU? When Peter ditched Liz at the Homecoming dance and leaves the building, he gets ambushed outside by 1 of the bad guys. No way that should happen with Spider-Sense. So he definitely doesn't have Spider-Sense in MCU.<br/><br/>Also, the absurdity of the Washington Monument scene. The elevator of the Washington Monument gets blown up by a bomb that the fat kid had. DHS would've interrogated the fat kid about where he got the bomb and the fat kid would've been held in custody until he gave up Peter as the guy who gave him the bomb.<br/><br/>Then DHS would've investigated Peter and would've been suspicious as to why Peter at the last minute decided to re-join the Academic Decathlon after quitting the team earlier and travel with the team to Washington, D.C. only to skip out on the Decathlon competition and the skip out on the team's trip to the Washington Monument on the same day that his best friend blows up an elevator in the Washington Monument using a bomb that Peter gave him. And DHS would've gotten a warrant to search Aunt May's apartment.<br/><br/>Just more bad writing, as is usually the case in MCU movies.<br/><br/>In addition to the bad writing, SMH's shallow and uninspiring portrayal of Spider-Man's motivations make SMH the worst movie adaptation of Spider-Man ever. Without outright mentioning Uncle Ben's death, Peter being Spider-Man is reduced to a simple show-off. There's nothing driving him other than wanting to look cool and impress Tony Stark - and that's a shallow reason which betrays his true comic origins.<br/><br/>Superman is shown by Jor-El how he can unite the human and Kryptonian species and bring hope to Earth. Batman is driven by the death of his parents and vows to do everything in his power to stop crime in Gotham. Wonder Woman feels that it's her duty to end war and bring peace to Mankind.<br/><br/>Those are noble reasons which are inspiring. Spider-Man is in 1 of the 4 most iconic comic-book superheroes along with Superman, Batman, and Wonder Woman. But his motivation for being Spider-Man in Homecoming isn't because he believes he has a ""great responsibility"" to use his powers for good (as he learned from his failure to prevent Uncle Ben's death when he could've) but simply because he's hoping to get a reply from Happy Hogan."
"johnny_joko","2","196","323","7 October 2017"," Spiderman is now Iron Man 2.0
","This was straight garbage. I think that it probably was the worst superhero movie in the last 10 years. The only positives in it, were some special effects and The Vulture character, who was the only one with a compelling story in this film.<br/><br/>Now, before I get into the negatives, I want to point out that Spiderman is in my top 3 Marvel superheroes. So the fact that I hated this movie says a lot...<br/><br/>First of all, Peter Parker is supposed to be 15 in this movie and in reality he looks like he is 11. How am I supposed to take a superhero seriously if he looks and acts like an 11 year old? The second mistake that was made, is that they completely changed all characters in the Spidey universe. There is no Mary Jane here (except for that stupid MJ thing at the end which almost made me vomit), there is no Gwen Stacey, Flash Gordon is an Indian geek guy that for some reason Peter is so afraid of (he even backs out from him at at some point), Peter's best friend is absolutely worthless and is just a complete pain in the ass, we have almost no interest for Peter's love story cause the director fails to make us care, the battle scenes are average, almost every joke in the movie is juvenile and cringeworthy (I think I only laughed one or two times) and the most important thing of them all, Spiderman is made to look like he is worthless. That last thing is my biggest problem with this movie. They made Spiderman wear a high tech suit that talks to him and has all kinds of fancy gadgets and as a result they made him look like a less useful version of Iron Man. Tony designed his suit, his webs and essentially every other thing that this suit has. The only ability Spiderman has, is his ability to be able to climb walls since they also took away his spidey senses... So by that, anyone could have been Spiderman and that's just wrong since, for most people, Spiderman is Marvel's biggest hero and this one COMPLETELY fails to showcase that. Highly disappointing film and I recommend to avoid watching it since it will be a waste of your time..."
"thebosontheory","5","67","104","27 July 2017"," Very disappointed, not what Spider-man should be
","I walked into the cinema with really high hopes for this film. I fangirled over the Metacritic score of 73 and was ready to be amazed. Instead I was very disappointed.<br/><br/>Don't get me wrong, the film definitely is entertaining and I probably would recommend that you go watch it, but I'm just saying that you won't be missing much if you don't see it. Tom Holland did do a very good job with the role of Peter Parker and I praise him for that, it was the writers and the casting directors that did a bad job.<br/><br/>The casting choices for this film were absolutely ridiculous! I admit Tom Holland, although I was nervous at first, he did do a good job. However everyone else is an extremely poor choice. In the Amazing Spider-man with Andrew Garfield, the character of Flash was a butch jock who was very intimidating to Peter and was the school bully. However in Homecoming, he is an Asian science geek who is somehow popular and just awfully name calls Peter. I mean ""Penis Parker""? Who wrote that?! The casting choice of Peter's crush is interesting too. I'm not entirely against it but it was just a weird choice in my opinion. And Michael Keaton as the bad guy? Seriously?! Don't get me wrong, Keaton is a fantastic actor and is incredible! But he is way too old to play a role like this and does not belong here.<br/><br/>One of the things that really ticked me off was the Spider-man suit itself. Going back to Toby Maguire's Spider-man, his suit was original. It didn't have anything fancy, it was just a superhero costume with a good design. But in Homecoming, the suit comes with it's own ""Jarvis"" like Iron Man's suit, and it has gadgets as well which just isn't how Spider-man should be! Even though the most entertaining part of the film is when he is wearing this suit, most of the film he isn't even wearing it!! He wears a stupid hoodie and trousers and it just isn't fun.<br/><br/>I understand that I lot of people enjoyed this film but I just wasn't impressed."
