"username","rating","helpful","total","date","title","review"
"MR_Heraclius","7","44","49","29 February 2020"," Good
","I had no idea what was going on most of the time because I'm not particularly familiar with Warcraft's story. That being said, this is a decent movie, especially considering it's a video game franchise film...90% of the time video game films are very badly adapted to the screen."
"randywwe412","10","951","1334","19 May 2016"," A great Fantasy flick
","I didn't have any expectations for this film,and it completely blew me away!Visuals were stunning,acting really surprised me,action was incredible.I really can't wait for the sequel cause the ending set it up really well.Magic was also pretty damn cool.Orgrim was a ferocious bad ass.It was a damn fine film,best of the 2016 dare i say.Bring on more,and it finally broke the video game movie curse!Go see it,you won't regret it!10 out of 10 for me!I think that it will have a good reception from audiences and critics.Warcraft fans will love it.Direction was amazing,one of the best motion capture for a film i've seen,i really hope it does well in the box office and review department cause it was really amazing!"
"nju-16323","10","721","1042","21 May 2016"," My cheeks hurt...
","...but oh was I thankful for it!!! All through the movie I kept on having this big large smile sculpted into my face. For the record, I'm 25 years old, and I've played warcraft and wow for many years since when I was 13 or 14 years old. Ever since then, I haven't stopped playing. Therefore you can count me as a fan. Now onto the movie... Gosh, I saw it at a pre-screening, and I kept wanting more of it. It just never gets boring! I really enjoyed the little stuff that is found throughout the movie for the fans. I also incredibly enjoyed the intro sequence.<br/><br/>Those who argue the movie cuts too many parts or that it changes the story too much are totally wrong. This movie could not have shown the whole first time in its entirety - keep in mind that the lore lasts well over ten hours, making a movie this long would, well, make it way too long and besides, how would you financially sustain such a project? <br/><br/>OK, so there are changes in the movie - well, this is Duncan's vision of it. All of us have our own visions of the lore and books which may or may not be compatible with that of Duncan's, but I can safely assume that nobody can say they have a hundred percent the same vision of the story as Chris Metzen; that's the thing with story: each player / reader has a different vision of it. As for me, I was blown away. Never before have I felt so much at home in a movie, it is as if I had taken a walk in the town where I grew up, Stormwind, Goldshire, Ironforge, everything felt so much like home, I was moved. I cannot tell of another movie that had me shed tears just by seeing a landscape on screen.<br/><br/>As for the changes, well, I found good reasons behind all of them, and let me tell you right away, yes, maybe coming from a fan it will look like absolute heresy, but I enjoyed the story a lot. The actors were great, they were a lot into their characters, and for the first time, I had never seen orcs in such detail before, hulky, robust, terrifyingly but also relative.<br/><br/>Quite frankly, I can't wait for the next movie... In the meantime, I'll watch this one over and over again when I can. This movie has everything that a good movie needs to have, and more. Plus, it just might bring more people to actually play WoW. Parents, maybe some scenes will frighten your kids, but this movie has almost NO blood (even though it has a good share of battle) and the foes are undeniably evil, plus it has good values in it - friendship, courage, responsibility, sacrifice for a good cause, and the belief that anyone can help to change things. That will go down in history as being one of the best ever, for sure."
"israphel-53548","10","706","1056","22 May 2016"," WarCraft: The Beginning - Review
","I actually thought this film would be bad. Like most other video game movies I thought this was going to be a massive flop and just suck. This movie broke the video game movie curse with style. WarCraft surprised me even though I am a WarCraft fan.<br/><br/>If there are sequels WarCraft could easily be this generations equivalent of The Lord of the Rings. The acting was great, the effects were spot on and the action was epic. I was really impressed with the motion capture on the orcs, they looked amazing. Travis Fimmel as Anduin Lothar was a good choice. He did a really good job of portraying the lion of Stormwind. WarCraft has a lot of lore that could easily be made into a film series and I think this film did a good job of establishing the world of WarCraft for future sequels. Do I recommend watching WarCraft? Yes, WarCraft is a movie everyone can enjoy, although it may be too intense and violent for younger children. If you were a fan of the games there are Easter eggs for you. If you have never heard of WarCraft you will be amazed by the world and want more."
"dormesher-21565","9","6","6","10 April 2019"," Great film
","Warcraft a brillaint movie based on the video game universe of World Of Warcraft.
This movie is fantastic the action is amazing and the acting is great and the movie itself is a lot of fun.<br/><br/>The effects in this movie are out of the this world and are absolutely mind blowing. The story is really well handheld and I love how they handle the lore of the this universe there is alot of lore to use and I think they use it well and it's really effective.<br/><br/>I'm not a massive fan of the videogame but this film got me interested in the story of Warcraft and I can't wait to see the rest of the story.
There is alot of fan service in it seeing places like Stormwind and Ironforge is amazing and a real nerd moment.<br/><br/>They set up a sequel really well and I hope they get it the way they set up Thrall is incredible and seeing what could come up in the future is really cool.<br/><br/>Just a fun movie with a brilliant story and outstanding special effects and if you love the lore of Warcract you will love this movie and have a great time.<br/><br/>Verdict 9/10 great film and a wonderful movie to watch for anyone who is a fan of fantasy or a fan of Warcraft the character's are amazing and I really hope it gets a sequel."
"subxaero1989","10","266","405","21 May 2016"," A MUST watch for all the Fantasy genre lovers and not only.
","*** This review may contain spoilers ***<br/><br/>I was lucky enough to get an invite to watch the movie in LA 2 weeks ago, in a screening about press.I was the only one foreign guy there(Cyprus but got invited since i am making my after-master practise here).<br/><br/>I have to note to everyone here that i am aware of World of Warcraft and the Warcraft games as IPs but i've never played any of them.<br/><br/>I am a huge Fantasy genre lover and this movie exceeded my expectations. My biggest concern minutes before movie aired was the quality of the CGI.I Knew this movie uses a lot of CGI.Well the CGI is breathtaking easily equal or better to AVatar and Dawn of the Apes, equally to JUngle book(what a great movie!) BUT with the difference that it is used in massive scale, which makes it even more impressive. Watching Hundreads of Orcs with unique characteristics and facials is mind boggling(with the positive way of meaning).<br/><br/>Orcs are beautifully beautifully made, main character Durotan is just awesome he is my favourite character, HUmans are OK at start i had an issue with how armors looked but people told me it is exactly how in-game is.IN terms of acting Ben Foster is hands down the best performer also Paula Patton and Travis Fimmel are nice, rest of the cast its slightly above average not great, but serviceable. Orcs overall are better portrayed than Humans, BUT thats the important thing if CGI was bad in this movie i would be really turned off, but the CGI is perfect so i can easily bypass the fact that 2-3 human chars weren't the best.<br/><br/>I Loved the plot, it is so rich and u can easily understand why some people said that this movie isn't even the 15% of the whole Warcraft Lore.Duncan Jones has done a great job for non-fans like me to easily udnerstand the movie, even though there are a few times that let u hanging which proposes hinds for a sequel.<br/><br/>Visuals are stunning and we can see probably the best implementation of magic that has been made in a movie.<br/><br/>Summing up this is a MUST watch for every person that loves Fantasy genre, easily the best fantasy movie after the last LoTR release(IT would be at LOtr level with 2-3 more decent actors). ANd easily the best video-game adaptation that has been made. 1-- Breathtaking CGI 2-- It feels more like a movie(rather than a video game movie) 3-- Incredible and rich lore/plot, Warcraft universe is HUge and after this movie i really want to explore it.<br/><br/>Give this movie a chance i know many are sceptical to any video-game adaptation, but this one it wont disappoint u."
"JanskiT","7","41","56","3 June 2016"," Awesome!
","You know, there are films in which the first frame is clear that they will be so-so. Here the situation is reversed. After seeing the first frame, I immediately realized that it will be very cool.<br/><br/>Seriously, I'm all covered with goose bumps when I saw how much it is great. I was just literally shaking when I saw the gorgeous magic. However, better than in this movie magic effects have not been implemented in any fantasy films, it seems to me. I love Warcraft story so much and I think even if you don't know anything about the original story after that film you'll love it.<br/><br/>Would certainly recommend to both fans and non-fans alike."
"hayzerx","10","12","14","25 March 2019"," Deserving of multiple sequels.
","While perhaps hard to spot for the many, this movie does hold messages, even if for the few.
Messages that resonate through the world of fantasy. There aren't many movies like this,
chiseled to perfection. There is a S T O R Y told, even as I am unfamiliar with the lore of
World of Warcraft, I can see clearly that critics have been manipulative tools.
It is insane to think poorly of this movie.<br/><br/>I think I've watched it about 4 times now and I always get sucked in for the journey, almost
as if watching it for the first time again. Even though I can remember the next scene, I enjoy
the emotions, the pacing, the acting. Just impeccable acting, great choices with the cast.
The CGI leaves short for words. A quality movie.<br/><br/>One that will be rediscovered again and again."
"the_green_eye_t","10","682","1083","23 May 2016"," Warcraft fans, LOTR fans, Fantasy fans and even non fans, GO SEE THIS MOVIE ! You will love every second of it !
","Hello. <br/><br/>First of all i have to tell you, i am a Warcraft fan and i had no expectations from this movie at all. I am NOT a Blizzard fan boy and i know when they do something poor and when they do something good.<br/><br/>If you like the cinematics that they make and if you like LOTR like me and fantasy, you will absolutely love this movie. <br/><br/>I was really scared about this movie being another video game movie chaos. Not by a landslide.<br/><br/>Warcraft is astonishing. The visuals are ground breaking, the acting is very strong and the emotional involvement between the viewer and the movie is breath taking. The familiar zones from Warcraft universe are all and are built exactly how they are suppose to be built, every Warcraft fan will feel like home and on the brink of shedding tears. I will watch this movie again in 10 June and gather all my friends that were not lucky enough to see it yet and go again, maybe twice. I need more, there has to be more Warcraft movies. Dunca Jones working alongside with Blizzard was a genius move and it shows throughout the movie. Almost 2 hours of pure awesomeness. 10/10 from me. GO SEE THIS MOVIE, you will not regret it !"
"mb1456","7","17","21","21 August 2017"," Nice Fantasy Movie, Expected Better Action & Visuals
","The effects, the music and some of the characters like the orcs Durotan & Ogrim or even Garona(a half-orc) are what I like about the movie. The performances are good too but I feel there isn't any one act that I can single out because this movie is heavy on actors in body suits(the orcs) and also lot of effects. The action disappointed me however and it could be because all the fights seem to be happen within a very limited space or at least that's how it looked to me...they give out a visually cramped impression. Even the action choreography could have been better - nice but expected much more. The end hints a sequel so I hope that offers much more bang for the buck, both visually and the action or else, the part two or a three even could have a dismal run at the box office and compared unfairly with other fantasy movies like the hugely successful Hobbit or Lord of the Rings trilogies."
"christopherholich","8","440","703","21 May 2016"," Is The Video Game Curse Broken?
","First off, i would like to point out Duncan Jones has made another fantastic flick. Better than source code, but me personally i loved moon so.... Warcraft isn't good enough to beat it lol. So Everything about this movie felt right. And i would like to point out this movie is about the warcraft storyline (First game) Not World Of Warcraft. The acting was good, the pacing was great. The CGI was amazing! Gul'dan was an awesome villain. Never heard of Daniel Wu But i feel like he will be voice acting more characters soon. I love how they wear that ridiculous armor that a normal person can't stand up in. Lothar was an amazing main character, and I only know Travis Fimmel because he's in the show vikings but i feel like if the rest of the critics like this movie this could be his breakthrough movie. If there is a sequel then i would definitely go and see it. And lads, The Video game curse is broken! Hopefully Assassins Creed will live up to the hype! Fans will love it, people who like lord of the rings or the hobbit will love it, just regular people who has never played WoW will love it! All in all, i think that the hype was well worth it and it is definitely going to be a recommend for me! After you have seen Captain America go see Warcraft, you wont regret it."
"byount-28968","10","433","721","20 May 2016"," Amazing!
","I don't want to give away anything, but my god was this movie amazing! The motion capture was superb, the acting superb, and the plot itself was great. For the Warcraft fans you will see plenty of easter eggs that will make you grin or laugh. Over all it's what of my favorite movies I have seen this year.<br/><br/>I went to an early screening with my girlfriend and a friend of mine and even though they know nothing of the storyline or world of Azeroth, they absolutely enjoyed it. The characters were awesome (Duncan Jones did amazing) and so were the actors. From what I could gather, the entire crowd who went to see it enjoyed it."
"dularr1","10","385","647","22 May 2016"," Fans, bring your non-WoW playing family and friends.
","Watched this movie in a IMAX 3D theater. The sound makes it well worth seeing in a theater with a state of the art sound system. The Orcs are believable from the start. Well rounded characters with great motivation. The motion capture work by the actors was a work of passion.<br/><br/>Ben Foster and Ben Schnetzer did a wonderful job playing the magic wielding Mages. Perfect depth, effort and really showing the strain magic has on the human body.<br/><br/>Paula Patton did a fantastic job with Garona. Duncan Jones made a compelling ass kicking female character. <br/><br/>But more important for the fanboys, feel comfortable bring non-WoW playing friends and families to the movie. All non-WoW movie goers seem to enjoy the movie and really liked the CGI."
"dereksutton12","10","429","726","24 May 2016"," Movie is amazing!
","Just seen it with a bunch of friends and it was amazing. My friends who came with me aren't even Warcraft fans and they even said they can't wait for a sequel, they said it was nothing like they expected, which is another shitty fantasy movie. They were on the edge of their seats the whole time and wanting more! Whenever they'd show Easter eggs in the background i'd go nuts and they had no clue why but they were too busy being into the movie to care to ask. I CANNOT WAIT to see another one of these movies!!! I even noticed a lot of people outside the theater who have never played the games or know anything about it, loved it. I even talked with an older couple for a good 10 minutes who loved it but didn't understand a few things and i cleared it up for them, they were very thankful. They were excited for another movie too!"
