"username","rating","helpful","total","date","title","review"
"keiichi73","8","447","538","22 June 2007"," Surprisingly effective
","While doing some research before reviewing 1408, I was shocked to discover that this was the first time since 2004's Riding the Bullet that a film based on a Stephen King story had gotten the big screen treatment. 1408 marks somewhat of a comeback to the silver screen for the author after mainly working with television the past couple years. Director Mikael Hafstrom has created the most atmospheric and downright tense thriller I can think of so far this year. The premise may be thin, and yeah, it doesn't always make a lot of sense. But, is it ever effective.<br/><br/>Mike Enslin (John Cusack) used to be a promising author until the untimely death of his young daughter, Katie (Jasmine Jessica Anthony). He now spends his time writing trashy paranormal novels about the world's most haunted areas. He travels the world, doing research by staying overnight at places that are supposed to be haunted, gets some colorful background info that he can use for material, and then moves on to his next job. One day, Mike receives a postcard informing him of an old hotel in New York City called the Dolphin Hotel, which is supposed to have a room that has quite the history. Doing some private research, he learns that the Dolphin has had a long and tragic history of deaths, all of them surrounding the guests that have stayed in Room 1408. Mike books the room, despite the warnings of the hotel manager, Gerald Olin (Samuel L.Jackson). Entering the room, nothing seems ominous at first. But then, the room itself begins to take on a life of its own, and begins tormenting Mike with various ghostly apparitions, mind tricks, and even displaying his own painful past before him in various ways. <br/><br/>1408 is the second thriller set around a hotel released in less than two months (the other being April's Vacancy), and is by far the superior film. The film is actually quite subtle in its way of creeping us out and disturbing us, which is a nice change of pace from the recent Hostel: Part II. Rather than bombard the audience with ghostly special effects and gore, the movie gets under your skin and goes for a much more psychological approach. The screenplay by Matt Greenberg, Scott Alexander, and Larry Karaszewski, wisely does not even attempt to explain Room 1408. It's just a very evil presence that can somehow look deep within troubled souls, and torture them to death with their own personal demons. In the wrong hands, this material could have been laughable. Even though the movie frequently flies into the realm of the unbelievable, it manages to somehow stay grounded.<br/><br/>A lot of this has to do with the fact that the film never loses its way, and become an excuse to throw as many special effects and jump scares into the movie as it possibly can. The human element of Mike Enslin is always at the center of the story itself, and its scares. The movie is built around the fact that he is forced to face his personal demons the longer he stays in his room, as well as try to keep his mind in check as various nightmarish hallucinations are paraded before him. It's much more effective than the usual characters that have passed as villains in recent paranormal films (usually gray-skinned people with hair over their faces), and it never once becomes heavy-handed or preachy. This is also a tricky balance to pull off. When the room started showing him flashbacks of Mike's own past, I grew nervous, thinking that the movie was going to start hitting us over the head with morales. Fortunately, it never once loses its sense of the eerie, and remains appropriately unsettling throughout.<br/><br/>At the center of the movie is John Cusack, who literally has to carry the movie almost by himself. This is essentially a one-man show for most of its running time, with fleeting apparitions being his main companions. Cusack has long been a favorite of mine, and this is one of his stronger recent roles. He not only has to carry almost the entire film on his own, but he also has to convincingly act like he is slowly going insane without hamming it up, or losing his personality. Any actor can tell you that madness is a difficult thing to depict. He strikes a very good balance, and remains believable throughout. Samuel L. Jackson is also notable in his small, but no less important, role as the manager who tries to talk Mike out of his decision to stay in the room. And then, of course, there is Room 1408, which is a character itself. The way it is constantly changing itself, right down to the paintings on the wall, creates an effectively creepy atmosphere that is continuously bizarre, but never so much so that we lose our sense to believe.<br/><br/>1408 succeeds where so many other films have failed in that it is not about apparitions jumping out at the actors or lurking in dark shadows. It digs much deeper for its horror than simple jolt thrills, and becomes an effectively thrilling horror film. It could be argued that the whole thing loses some weight when we apply logic to the story. But seriously, who wants to apply logic to a movie about an evil hotel room that can read your mind? When all is said and done, 1408 is a reminder of what horror can do. It can do so much more than thrill us. It can also make us laugh and leave us captivated. Perhaps what's more surprising than the fact that the movie can accomplish all that is that so few other horror films can."
"Buddy-51","8","63","72","3 July 2007"," Top notch supernatural thriller
","If your horror movie tastes run less towards chainsaw-wielding maniacs and more towards things-that-go-bump-in-the-night, then this is the movie for you. Based on a short story by the great Stephen King, ""1408"" is one of the genuine movie sleepers of summer 2007.<br/><br/>John Cusack gives a tour-de-force performance as Mike Enslin, a successful writer who specializes in the investigation of paranormal activity with a particular emphasis on hotel rooms that have the reputation for being haunted. The twist is that Enslin is, essentially, a nonbeliever who spends most of his time and energy debunking the very subject off which he is making his living. The 1408 of the title refers to a room in a swanky, five-star Manhattan hotel in which, we are told, no fewer than fifty-six guests checked in but never checked out, having met their untimely demises there in the decades since the establishment opened. Determined to put an end to the ""foolishness,"" Enslin moves into the room convinced he will ride out the night in utter peace and safety. He has, of course, another think coming.<br/><br/>As adapted by Matt Greenberg, Scott Alexander and Larry Karaszewski, ""1408"" succeeds mainly by keeping it straight and simple and by focusing so intensely on the character of Enslin and his relevant back story. The multi-layered plotting keeps us guessing from first moment to last, so that we never quite know whether what Enslin is experiencing is really happening or whether he is suffering some form of mental breakdown brought on by the death of his young daughter and the subsequent breakup of his marriage a few years back. Along with director Mikael Hafstrom, the master craftsmen responsible for the film's phenomenal art direction and sound recording draw us into the strange world they've created where nothing is quite what it appears to be and where we spend most of our time nervously scanning the edges of the frame to see what surprise is next poised to jump out at us.<br/><br/>Cusack, who has long been underrated as a performer, gets the chance to really show us his acting chops in this role. He allows us to clearly see the fear and vulnerability hidden beneath his character's wisecracking, cynical exterior. Samuel L. Jackson and Mary McCormack also excel in the small but crucial roles of the wise hotel manager and Enslin's estranged but faithful wife, respectively.<br/><br/>For those who can remember a time when fright films had more on their minds than simple blood and gore, ""1408"" is like a refreshing, restorative tonic on a hot summer day."
"antonioiam","8","536","664","21 June 2007"," An innovative horror film
","I've never seen a horror film quite like 1408--can you even call this film a ""horror""? Well, it's not the horror movie we're used to seeing in this day and age. The films that are supposed to scare us nowadays are made from the same recycled junk we've been seeing for years now. Nonsensical plots are dreamed up just to make use of the exciting range of CGI. Underdeveloped characters we don't care about are tortured/murdered by a psycho for no apparent reason. Most of the intended audience for these movies isn't even scared anymore.<br/><br/>Let me tell you, 1408 is different. Its main intention is not to scare you (though it undoubtedly will); it wants to tell you a story. It doesn't start out as a scary movie. John Cusack plays cult writer Mike Enslin, a man who visits supposed haunted spots in order to debunk their reputations in the mildly-successful books he writes with titles such as ""10 Nights in Haunted Hotels"". When the room 1408 at the Dolphin Hotel in New York is brought to his attention, research tells him that the death tally in the room is in the double digits. He sees the room as a solid ending chapter for the new book he's working on.<br/><br/>The film is based on a Stephen King short story, which I had the pleasure of reading before I saw the film. While the film does take its creative liberties, it never forgets where it comes from. Writers Matt Greenberg, Scott Alexander, and Larry Karazewski seem to be very well-read on the author, and the movie always feels just like Stephen King--if you've ever read him, you know what I'm talking about. There have been times when I've been reading a novel of his and had to tell myself, ""Calm down, it's just a book."" There are moments in this film of such mind-gnawing anxiety, such high-adrenaline terror that I had to tell myself, ""Calm down, it's just a movie."" (Note: Stephen King does recommend the film.)<br/><br/>Director Mikael Håfström never takes his audience's intelligence for granted. We're never beaten over the head with the same thing; the film is always headed somewhere new and exciting. The innovative ideas here are just terrific.<br/><br/>John Cusack is brilliant as the cynical writer with a tragic past. He's never unbelievable, and he always nails the character down perfectly. There was never a time when I wasn't rooting for Mike Enslin in 1408. There was never a time when I did not want him to get out of the room. Cusack's emotional range is really put into play here, and the casting could not have been any more dead-on.<br/><br/>Samuel L. Jackson gives a chilling performance as a manager who is intent on not letting Mike enter room 1408. His determination to convince Mike not to enter the room only fuels Mike's determination to enter it. Through him, we pick up on the facts about the room Mike's research couldn't provide. His warnings give us chill bumps but leave enough open so that we still don't know what we're in for.<br/><br/>And with room 1408, you never really know what you're in for. Who am I to ruin it for you? Just know that this is not a mystery. We will not come to understand why the room is the way it is. There are, of course, those who will be disappointed by 1408--because when all is said and done, they will find it's not a movie about a freaky hotel room, but rather the man who's trapped in that hotel room and what he finds there."
"dglink","8","262","330","22 June 2007"," Effective Ghost Story
","Just when you thought it was safe to check into a New York City hotel, along comes Mikael Hafstrom's chilling ""1408."" Not since Norman Bates terrorized guests at his motel has a paying customer received such treatment during a night's lodging. Although somewhat more cerebral than viscerally frightening, ""1408"" delivers its share of shocks and frights, and viewers will stay in their seats not to miss the film's twists and swerves. In a cruel blow to fans of 1970's soft rock, listening to the Carpenters' hit ""We've Only Just Begun"" afterward may stimulate nightmares and certainly will never be the same again.<br/><br/>John Cusack, a cynical writer who has sunk from producing intimate novels to hack work about haunted inns, is lured to a Manhattan hotel where room 1408 is off limits to visitors, because of its long history of inhospitality. With only a knapsack, but tons of baggage from family misfortunes, Cusack insists on a night in room 1408, despite the management's objections. Cusack triumphs over the staff and settles into the chamber's banal decor, which he idly describes piece by piece into his pocket recorder for the intended article. The evening starts to look like a genuine snooze, when the room's unsettling turn-down service, a chorus from the Carpenters, and a radio that begins an ominous countdown unnerve both Cusack and viewers.<br/><br/>Although the ""night in a haunted house"" routine has been done endlessly since movies began, Hafstrom for the most part effectively plays his audience with an eerie, often jarring, soundtrack, clever cutting, and a minimum of effects. ""1408"" is a ghost story, not a horror or slasher flick, and, as effective haunting tales have shown (""The Haunting,"" ""The Uninvited""), the unknown, the unseen, and the unexplained are far more frightening than CGI effects. Although reminiscent of ""The Shining,"" another Stephen King adaptation, this film was evidently made on a modest budget. Thus, Hafstrom worked largely with a one hotel-suite set and one mid-level actor. Besides Cusack, Samuel L. Jackson also appears as the enigmatic hotel manager, who warns Cusack about the room, yet seems to know more that he shares. Cusack is fine as always and carries the film effortlessly and literally through Hell and high water. While perhaps not as scary as the premise suggests, ""1408"" nevertheless provides intelligent entertainment for lovers of old fashioned ghost stories."
"shilbrecht","10","21","23","3 January 2008"," scared the heck out of me!
","First, I love John Cusack. Next, I used to love Stephen King when I was a teenager (now he scares me too much!). But I decided to watch this today on my On Demand in the middle of the afternoon in my family room while folding clothes. By the middle of the film, at 1:30 p.m., I was too scared to go in my basement to get any more clothes, so I just sat there and watched! This isn't a slasher type of scary. This is a get in your head and make you look behind you in case someone is lurking back there kind of scary. Sort of like The Shining (what is it with King and big, old hotels?) but not quite as scary, although almost.<br/><br/>Cusack's acting is excellent! I LOVED this movie, even though it scared the s**t out of me!"
"snow0r","9","151","190","4 September 2007"," different, subtle, and very, very good
","Please note that this review refers to the theatrical version, and not the Director's Cut DVD release which features a completely different ending.<br/><br/>Mike Enslin is a cynic. He is the author of books that detail and debunk popular ghost stories and haunted hot-spots, and it quickly becomes obvious that he is somewhat disenchanted with the life that he leads. That is, of course, until he receives an invitation to Room 1408 at the Dolphin Hotel, a room in which lies his and arguably John Cusack's biggest challenge yet.<br/><br/>It soon becomes apparent that 1408 is not your standard horror movie, as what follows, after an enjoyably creepy encounter with hotel manager Gerald Olin (Samuel L Jackson), is essentially 90 minutes of John Cusack in a room. On his own. Save for, of course, whatever lurks inside 1408. It is a challenge that Cusack rises to expertly; we all know he's a good actor and a brilliant everyman (I don't remember a film in which I've wanted to see him crash and burn), but 1408 allows him to display his range to great effect as the room confronts him with the physical dangers of the present and the emotional tragedies of his past. <br/><br/>While it's relatively light on big scares, 1408 instead creates a powerful sense of unease that combines wonderfully with Cusack's portrayal of a man enduring his own private hell. Each challenge thrown up by the room takes the movie somewhere new and unexpected, ensuring that the movie never really gets tired or repetitive, and as a result each scene in the room is tense, surprising, and very, very creepy. However, that's not to say that it doesn't lose its way occasionally. Some of the CGI usage is quite ineffective, and about two-thirds through the movie it feels like it's about to go the wrong way, but it recovers well for the final act, and its haunting ending ensures that you'll remember it long after you leave the theatre.<br/><br/>A brilliantly acted, well developed version of King's short story, 1408 is a different type of horror movie, but in all the right ways. Very good!"
"adam-walker-328-355505","9","16","17","1 April 2012"," Frightening and Disturbing
","I'm not a person that gets scared by cheap horror stories, not even when the master Stephen king is at his worst, but I certainly remember 1408. I read this short story quite a while ago right before bed, and I remember it made it quite hard to fall asleep after reading it. When I found out they'd made a movie out of it, I decided to see it as soon as i could and was not disappointed one bit.<br/><br/>The movie has managed to be just as disturbing as the book. This isn't a story of ugly monsters jumping out from the dark corners of a room, and while it does have a few of those of those gratuitous moments, the true horror in this movie lies within the psychological torture that john cusack's character is put thru. Everyone in the theater was leaning forward in their seats at the same time, and the calls of ""oh my god"" came from most people present as the entity tortures him in ways that are ever more cruel and disturbing.<br/><br/>I no longer remember the story well enough to know if it follows the book to the letter, but it doesn't have to and you don't care when you watch it.<br/><br/>John Cusack is flawless in his role, and he has to be since the movie is mostly just him alone with The Room. I did appreciate Samuel L Jackson as well, even though they seemed to have cast him just so he could drop an F bomb at the right time, which is getting tiring.<br/><br/>This story, whether it be in movie or book form, is not for the feint of heart, but if you want to see what true horror is about, this is one you can't miss."
"quint777","9","400","545","31 May 2007"," One of the better Stephen King Movies in a long time
","Here's why. Stephen King's psychological horror rarely ever shows its face on the screen the way it appears in his writing. This movie captures a lot of the mental torture that Stephen King writes so well (embodied in room 1408). I typically always see Cusack as playing himself in every movie he's in. Fortunately, this role appeals to that character. I would say see it and judge for yourself. I specifically enjoyed the background music and director's choice of camera angles. I also appreciated the mix of surprise horror and psychological. All too often, a horror film loads up too much on one side and it just doesn't work out well!"
"aaronandaustin","9","238","327","22 June 2007"," Wow! Much better than expected!
","A truly great horror film, with outstanding performances by both Samuel L. Jackson and Cusack. Well worth your money and time. If you are a Stephen King fan, then you will love this movie. I also suggest that you pick up and read the short story Room 1408. The movie truly captures the essence of the story, and when watching it, you'll think ""Wow... this is definitely a Stephen King movie.""<br/><br/>The film is so convincing that I couldn't believe that King didn't write the screenplay himself. This is a wonderful way to spend a few hours; I'm definitely going to see this one again.<br/><br/>This film also breaks away from the (at least recent) standard of having a crummy, thrown together story with copious amounts of gore thrown in in place of plot. This movie has an excellent story that is sure to keep you on the edge of your seat."
"ma-cortes","7","12","13","22 July 2012"," Thrilling film dealing with a supernatural writer determined to check out a mysterious room
","A man named Mike Enslin (John Cusack ,though Keanu Reeves was attached for playing lead role in the movie) writes books evaluating supernatural phenomena in hotels, and other haunted locations , as he specializes in debunking paranormal occurrences . Shortly thereafter Mike meets the manager of the hotel Gerald Olin (Samuel L. Jackson) and he checks into the fabled room 1408 in the Dolphin Hotel . Soon after settling in , he confronts genuine terror and stays locked-up . Later on , he gets to communicate his wife (Kate Walsh was originally cast in this film, but was forced to drop out due to scheduling conflict and she was replaced by Mary McCormack) by means of a computer . <br/><br/>This exciting film based on the terrifying story by Stephen King contains chills , thrills , suspense , and supernatural situations . The picture succeeds because the thriller , tension , suspense , as well as a superbly written script delving into the human psyche in such extreme situation and ours instinctive urges for survival . The screenplay manages to be intelligent , intriguing and thrilling , the good thing about this film is that the director made it on an acceptable budget only having to do a few sets , yet the movie works on many levels but is constantly reconfigured . Extraordinary performance from John Cusack in his second appearance in a Stephen King film adaptation , the first was Stand by Me. The picture bears certain relation with ¨The Shining¨ both movies were also shot at the same studio - Elstree, in London . The story this film was based on was almost never written ,Stephen King originally created the first few pages of '1408' for his nonfiction book, ""On Writing,"" as an example of how to revise a first draft. The story, however, intrigued him, and he wound up not only finishing a complete draft, but adapting it for an audio-book compilation of short stories. Colorful and evocative cinematography by magnificent cameraman Benoît Delhomme . Thrilling and suspenseful musical score by Gabriel Yared who had formerly won an Academy Award for Anthony Minghella's The English patient . The motion picture was compellingly directed by Mikael Hafstrom , an expert on terror and sinister atmospheres as proved in ¨Drowning ghost¨, ¨Evil ¨, ¨The rite¨ , and of course ¨1408¨, he's now filming ¨The Tomb¨. Rating : Good , above average . The picture will appeal to Terror buffs and Joan Cusack fans .This is without a doubt a thought-provoking and mysterious film to be liked for terror fans , turning out to be one of the most original horror movies of the last years ."
