"username","rating","helpful","total","date","title","review"
"Chris Knipp","8","238","272","3 October 2007"," A film biography that's complex, like its subject
","Haynes' adventurous biopic of Bob Dylan, which uses six actors of both sexes and several races ranging in ages from 11 to 50, is both exhausting and fun to watch. It's also hard to describe. But let's start with those six and the characters or facets they portray. Arthur (Ben Whishaw) is the Dylan who incarnated Rimbaud and serves as a kind of narrator whom we see smoking and giving ironic answers to some kind of inquisition sporadically throughout the film. Woody (the wonderful young Marcus Carl Franklin, an amazing a singer and actor) is a precocious rail-hopper with a guitar (labeled like the real Woody's, THIS MACHINE KILLS FASCISTS) and tall tales that start with his claim that he's Woody Guthrie. Woody's scenes show him rescued by a black family and a white family and performing with country black musicals. He represents the early shape-shifting Dylan in search of an identity and telling a lot of lies along the way.<br/><br/>Jack (Christian Bale) is the Dylan who became a hit in Greenwich Village and went into the South and sang ""The Ballad of Hattie Carroll"" and other protest ""folk songs,""the high-profile ""political"" Dylan who spearheaded a movement and became famous with his brilliant early LP's. But Jack doesn't want to be typecast and ""betrays"" his adoring public and his lover and folksinging champion Alice (Julianne Moore), a Joan Baez stand-in seen in later ""interviews."" Jack disappears and his place is taken by Robbie (Heath Ledger), a young actor in New York who becomes famous for starring in a 1965 film depicting the vanished Jack. Robbie meets Claire (Charlotte Gainsbourg) in a Village coffee shop and falls in love, and a turbulent ten-year marriage follows, winding up painfully at the time of the Vietnam War's end.<br/><br/>If Jack represents the cast-off early style and Robbie represents Dylan's family life, Jude (Cate Blanchett) is Dylan the artist, quintessentially as seen in the mid-to-late Sixties when he toured England (an event notably chronicled by two Leacock-Pennebaker documentaries)and shocked his audiences, some of whose members felt betrayed and shouted ""Judas!"", when he shifted from solo guitar and harmonica to more personal songs with loud rock accompaniment. Jude's segments are partly borrowed from Pennebaker, but largely consist of gorgeous black and white scenes deliberately and ""churlishly"" (Haynes' word) imitative of Fellini's 8 ½.<br/><br/>Jude's new style is admired by Allen Ginsberg (David Cross) and underground groupie Coco Rivington (Michelle Williams) and he becomes internationally famous. But he continues to be misunderstood by the protest music old guard and conventional journalists like the British TV host Mr. Jones (Bruce Greenwood)who's incorporated into a music video for Highway 61 Revisited's ""Ballad of a Thin Man"": "". . .something is happening here /And you don't know what it is, do you, Mister Jones."" . .<br/><br/>Jude and Arthur articulate the early Dylan's challenging, ironic stance to the public, but Jude is exhausted on tour and his nihilism leads him to an existential crisis.<br/><br/>He's reborn symbolically in Pastor John (Christian Bale again), who's moved to Stockton twenty years later and become a born-again preacher, singing his own gospel songs. Finally the last version of Dylan appears in Billy (Richard Gere), in full retreat from the worldtill threats to destroy his town of Riddle cause him to enter public life again. This sequence evokes a Sixties historical western in which Pat Garrett (Bruce Greenwood) is a character.<br/><br/>This is only the barest outline of the two-and-a-quarter-hour film, in which various ""Dylan's"" are woven in and out. Maybe the reason why I found Woody's sequences delightful and Billy's colorful but wearying has to do with the latter's coming two hours later. But Gere and his sequences evoke Dylan less well and are puzzling to interpret. Blanchett's in contrast are, of course, the most conventionally straightforward. She's the only one who successfully mimics the physical appearance and the speaking voice of the artist (unless Whishaw does a better job with the voice). But Blanchett's mimicry is intentionally undercut (and the biopic conventionality of films like Ray avoided) by having Jude be played by a womanwhich was planned by Haynes in his screenplay before he even chose his actor.<br/><br/>The method Haynes has chosen avoids cliché. This is still a biopic, but it's a sophisticated one; and the fractured portrait is well justified by the nature of its subject. Dylan has always been a shape-shifter; some of his permutations were left out, such as the period of the orthodox Jew and JDL supporter. But it's intelligent to see Dylan the man, the husband, the artist, the political being, and the religious being as completely separate entities because no simple biopic sequence can really dramatize the complexity of such an artist and such a protean existence. Haynes' film makes you think about biography itself, as well as giving imaginative shape to aspects of Bob Dylan no non-fiction account can really provide.<br/><br/>Maybe it's the daringly experimental methodology that led Dylan himself, approached through his eldest son Jesse,to grant Haynes both the musical rights and the biographical rights. Haynes has chosen a multifaceted and original way of using Dylan's songs. Only Franklin actually performs them with his own voice. Otherwise the soundtrack mixes original Dylan recordings with existing covers, new ones by people as widely various as Ritche Havens, Iggy Pop, John Doe and Sonic Youth, and other music, including, appropriately for the 8 ½- esquire sequences, Nino Rota. There is a voice-over narration by Kris Kristofferson. Haynes worked on the screenplay for years, and then collaborated with Oren Moverman.<br/><br/>Not for mainstream audiences or be prime Oscar bait, but a challenging, fun watch. <br/><br/>Shown in the press screenings of the New York Film Festival at Lincoln Center 2007. Haynes was present fort a Q&A afterward with J. Hoberman of the Village Voice, which revealed that the director is an intelligent and articulate man and who knows his Dylan."
"billcr12","5","10","10","25 April 2012"," Disjointed mess
","First and foremost, Bob Dylan is a genius and a perfect subject for interpretation. A great idea with mixed results in I'm Not There. Cate Blanchett opens as Jude Quinn, a mid 1960s era Dylan getting on stage but quickly shown in a motorcycle accident. The British actress looks uncannily like the folk singer, especially in silhouette. <br/><br/>Marcus Carl Franklin portrays Woody Guthrie and the eleven year old boy proves to be a major talent. He travels the country by train and in a time shift travels to a hospital to perform a song for the real Woody Guthrie. <br/><br/>Christian Bale is in a documentary style portion as fans praise the great artist as the voice of a generation as he treats and reporters with contempt. Bobby does not come off to well as a human being.<br/><br/>Later on, Bale reappears as a born again pastor, which showcases Dylan's brief Christian period , preaching to a congregation and singing the gospel tune ""Pressing On"" from the album ""Saved.""<br/><br/>Heath Ledger is in a film within the film as an actor playing the Christian Bale character in the least interesting part of I'm Not There. <br/><br/>The second unnecessary segment is Richard Gere as Billy the Kid looking for his dog and meeting Pat Garrett and a convoluted storyline with a funeral, a jail break and back to the train once again. I found the whole experience a disjointed mess with some fine acting. I love Dylan's work, so this is a wasted effort."
"JediMoonShyne2","9","150","194","14 September 2007"," Multi-faceted Dylan
","'I'm Not There' Todd Haynes, 2007<br/><br/>The biopicture can be a difficult kind of picture to picture. Even more so when you have no intention of divulging the name of your subject. And dare I say it, yet further still when you insist on casting at least six people to play the lead role. This is the charm behind 'I'm Not There' - Todd Haynes' tribute to the life and times of Bob Dylan that recently lit up the Festival di Venezia. Biographic cinema is a frightening beast, some films are stuffed full of information while others attempt to exactly mimic their respective studies. There are however very few that play with their quarry, flitting from fact to fiction so quickly that in the end we know not what to believe. In reality, the life of Robert Dylan was exactly this mess of lies, grandeur, childishness, arrogance and genius. One of almost unbelievable occurrences that when whispered about long enough become carefully set in stone. Todd Haynes understands this fact and so goes after it with a stance of almost awed respect, yet as an onlooker - crafting a mockumentary that is so rich in character and love and attention to detail that we can't help but be drawn in. I've heard early reviews stating that 'I'm Not There' will make the Dylanites gush and the normal folk sleep. The fact is this couldn't be further from the truth - being a person that is indifferent to the music appears only to heighten the enjoyment.<br/><br/>Somewhere during the last five years, writer/director Haynes came upon the slightly trampled idea of conducting a Bob Dylan biography movie. Nothing original in itself, though with one idea to make it slightly different from what the likes of Scorsese had attempted a few years back. He would use multiple actors for 'I'm Not There', six in fact - to portray the iconic figure. And what an inspired decision it is. The unrecognisable and slender form of Cate Blanchett steals the show, melting into her eye-rubbing, nose-twitching, lip-conscious take that is only too quick to lash those in proximity with a witful tongue. Almost as idiosyncratic is Ben Whishaw's sarcasm-laced drawling poet Dylan. Who prompts guffaws when tiresomely declaring his name as ""R-I-M-B-A-U-D"" to an arresting police officer. The eccentric duo are displayed primarily in overexposed black and white, and complementing this in Technicolor are the equally impressive Christian Bale and Heath Ledger. Whom fall upon the unwashed, shaded rocker Dylan with equally strong performances. To complete the musical sextuplets are Richard Gere and the delightful Marcus Carl Franklin, these two are the tall-tale Dylans. A jaded western cowboy and a blues-singing black child respectively, both adding another more fictional dimension to the character. They are almost opposite ends of the Dylan-spectrum, and are introduced at the opening and closing of the film to further embolden this point. Franklin in particular impresses, tugging at the humor strings again with his dry recollections of a life on the musical road.<br/><br/>The host of supporting actors/actresses in 'I'm Not There' do well to further the films themes. With Charlotte Gainsbourg and Julianne Moore taking up the posts of drama and documentary accordingly. Each plays one of the two most important women in Dylan's life, with Gainsbourg (Sara Lownds) cooking up a memorable on-screen chemistry - or lack thereof - with Ledger's character. She is instantly attractive across a smoky diner, yet this attraction soon wanes as romance stagnates. Never-ending tours take their toll and the once exciteful, scooter-riding relationship crumbles. Moore's character (Joan Baez) is more reflective, playing her whole part as if interviewed enthusiastically many years on. My only problem is with the later segments of 'I'm Not There'. Particularly those featuring the bearded and bespectacled Richard Gere. Many know the story of Pat Garrett and Billy the Kid, and this part is essential when regarding the plot. My qualm is that it feels almost tacked on as an afterthought, trotting outside the clear themed borders that the film has laid out so meticulously. This only adds to the ballooning length of the film, and so did begin to drag during these Wild-western plot points. That said, this hardly takes away from an experience that is both visceral and enlightening. Comedic and pensive. Wild and tender. A life, in all possible senses of the word.<br/><br/>9/10"
"mickjongold","9","121","163","18 November 2007"," Amazing! (Dylan's not there)
","This film amazed me. One reason it worked for me is because it's drenched in Dylan's music. I wasn't expecting that. Most of the time, it's Dylan's voice when 'Blind Willie McTell' or 'Moonshiner' or 'Idiot Wind' (the slow, acoustic version) suddenly erupt on the sound track to huge emotional effect. Other times instrumental teasers from 'Man In The Long Black Coat' or 'Nashville Skyline Rag' are planted in the mix like fragments of dreams you can't quite focus on. All the pre-release publicity had revolved around Cate Blanchett is girl Dylan! and Marcus Carl Franklin is African American boy Dylan! but the film itself unfolds like a kaleidoscopic dream where the pieces never quite meet. A bit like me and all my friends scratching our heads in the 1960s and 1970s and earnestly wondering how John Wesley Harding related to Blonde On Blonde, or how Slow Train Coming related to Blood On the Tracks. Well they don't. In ""Chronicles, Volume One"" Dylan dwells on the moment when he stumbled across Rimbaud's declaration ""Je est un autre"" which translates into English: ""I is someone else"". Dylan writes: ""When I read those words the bells went off. It made perfect sense. I wish someone would have mentioned it to me earlier."" That insight has sustained Dylan thru all his multiple personalities, finger pointing folkie, rock & roll rebel, Nashville good ol' boy (Oh me oh my, love that country pie), tormented lover, Born Again Christian. When he performed on his first album, aged 21, he was trying to summon up the voice of a 60 year old blues singer. <br/><br/>That insight sustains this movie because Haynes and his team have been able to match a visual style to each image of Dylan's life. From the burnt out black & white textures of 'Fellini's 8½' which seem to lock Blanchett inside an amphetamine-fuelled bubble of superstardom to the mellow colour photography of 'McCabe and Mrs Miller' which frames Richard Gere. I was surprised by the long Gere sequence. He seems like a recluse in the backwoods but all these strange characters and circus animals roll past, capturing the mood of those bizarre Basement Tape songs: 'Please Mrs. Henry', 'Open The Door Homer'. It seems to be set in a realm that Greil Marcus called 'The Old, Weird America'. And there's a visionary flash where Gere peers into the landscape and has a glimpse of Vietnam. It made perfect sense to me. There's a moment in the Sing Out! interview with Dylan in 1968 (when Dylan was secluded in Woodstock) when Happy Traum asked Dylan ""Why don't you speak out against the Vietnam War?"" and Dylan replied: ""That really doesn't exist. It's not for or against the war. I'm speaking of a certain painter and he's all for the war. He's ready to go over there himself. And I can comprehend him. People just have their own views. Anyway, how do you know that I'm not, as you say, for the war?"" When Charlotte Gainsbourg (who seems to be playing a composite of Suze Rotolo and Sara Dylan) suddenly drops the divorce settlement into Heath Ledger's lap, the film cuts to newsreel shots of Henry Kissinger and Lo Duc Tho signing the Vietnam ceasefire accords in Paris. This film isn't a biopic, this film works in a free association surreal way, like Stuck Inside of Mobile with the Memphis Blues Again, or Highlands works. It's true to the spirit of one of Dylan's greatest songs, a song which goes places where no words can go, a song which gives this film its title: ""Now, when I keep believing I was born to love her /But she knows that the kingdom waits so high above her /And I run but I race, but it's not too fast or slow /But I don't deceive her. I'm not there, I'm gone..."
"xlr884","10","138","210","5 September 2007"," Essential for any Dylan fan
","I just saw I'm Not There at the Telluride Film Festival. It is AMAZING. The performances are nothing short of spectacular. Cate Blanchett really nails the role except that her voice obviously can't hit the same bass as the real Bob Dylan. She does, however, look creepily like Dylan in many instances and really gets the mannerisms right. Christian Bale is another standout. It should be mentioned that all of the performances are really top-notch, nobody falls short. The music was fantastic, too (obviously). My one complaint would be that the film goes on a bit longer than it probably needs to but not enough to affect my overall score. I floated out of the theater after seeing this one. It is definitely essential for all Dylan fans. Many of the people I saw the film with were not very familiar with Dylan's life or music but they said they enjoyed it as well. See it the day it comes out!"
"randyhndrsn","8","77","115","3 January 2008"," This movie is good but in a weird way.
","I recently watched I'm not there and this movie isn't done in a way that really makes sense sometimes or flows, but after the first 10 minutes you really understand what is happening.This movie has differen't stories from differen't characters that come in and differen't times, and they all have something to do with bob Dylan's life.I thought the movie was gonna show one story at a time, but they show one for like 5 minutes then another one and comeback to it later and sometimes only show a clip for it for a few seconds.This is done in a very art-house style and is for fans of the genre, it isn't abstract crap like some movies but actually has some great scenes that are visually wonderful.Some scenes play like Fellini's 81/2 and this movie feels like a foreign film a lot of the time but the characters speak English.This movie is far from perfect for my taste and I am not a huge Dylan fan but I respect him a lot, the movie pretty much does a good job at pulling you into it and you go for a ride.It's well made and the acting is good all around, don't watch the movie if you don't like art type films or movies that focus on characters and out of place scenes that are put there for a visual purpose.It's a cool flick and I think a lot of people can respect it, it's nice to see something original and not in some movie formula like a lot of Hollywood blockbusters we get these days."
"Movie-Jay","8","96","150","19 September 2007"," Saviors Grow Fast Asleep
","Saw this at the Toronto Film Festival. I really liked it, although maybe the Richard Gere scenes are the one's to skip, though it's not really his fault. Cate Blanchett is getting a lot of buzz for her performance, and she deserves it. The actors are all playing versions of Dylan, though their characters have different names. Blanchett plays an incarnation of Dylan that would be right around the time of ""Don't Look Back"".<br/><br/>Although I think Todd Haynes is mostly successful here, I fear that this will be a film that will really interest people who already know about Bob Dylan, and that it will sort of fly over the heads of everyone else. A good movie, and a nice place to start if you're a young movie lover who wants to expand and see something less conventional."
"barryjaylevine","1","26","36","17 August 2008"," He took too much LSD...not Dylan, the director.
","Cate Blanchett is wonderful. The parts of the film in which she acts are compelling. However, all of this could have been done (and has already been done) via documentary footage.<br/><br/>Okay, so you can't pigeonhole Bob Dylan. (Oops; was that a spoiler?) Do I care that he had groupies? Should I? The rest of this miserable excuse for a time-waster is filled with disparate visions of a director let loose with too much money and not enough discipline nor studio oversight. It's always a danger when the director is the writer and this film proves that warning. The last movie that was this bad was Heaven's Gate; and it bankrupted two studios.<br/><br/>This is a genuinely awful film barely rescued from the dung-heap by Cate Blanchett. Thankfully, we won't have to remember this film when we remember her distinguished career.<br/><br/>Rarely have I screamed at a film ""Get to the point!"" but, in this example of a director playing with himself, you find that there is no point. ""I'm Not There"" leaves you thinking that ""I Don't Care"" and so becomes ""There's Nothing Here"".<br/><br/>Pardon me while I now wash thoroughly."
"hhfarm-1","1","38","56","21 May 2009"," Warning. Warning. Danger ... it's horrible
","This is one of those creative theatre drama projects that would have gotten oohs and ahs in high school - or even a bad college - but should have been left there and never seen a larger light of day.<br/><br/>6 people play Bob Dylan. But none of the characters are named ""Bob Dylan"". And Joan Baez has a different name.<br/><br/>What's the point? Does it help us invert our own values and views by imploding the actual person with non-negative masks of his inner self being? Or is it just pretentious manufactured artsyness? There's montage; real footage; real fake footage; fake real footage. It moves forward and back in time. Various other tricks. It could have been an MTV video.<br/><br/>It's a good cast - for the most part - and there's nothing wrong with the acting. And it's super-inventive to use Blanchet. But it's soooooooo boring.<br/><br/>Haynes did the painfully bad but you-have-to-like-it-because-it's-so-topical ""Far from Heaven""."
"ice ruby red","6","12","15","12 March 2012"," Not For Everyone!
","If you are thinking about seeing this movie I would suggest that you research Dylan first; otherwise you will be lost from the get-go, like I was.<br/><br/>You need to know that the characters all represent different aspects of Dylan, and that even though they are ""Dylan"" they have different names. Some of the Dylan aspects are personified as a young black boy using the name Woody Guthrie, a woman, and a middle-aged Billy the Kidd, for example. And the film jumps from character to character and then back again, frequently.<br/><br/>Chances are, if you are not an art film aficionado, you won't care for this one. On the other hand, if you do your Dylan homework, you may very well enjoy it even though it isn't typical mainstream movie fare."
