"username","rating","helpful","total","date","title","review"
"jonathonmann","9","648","763","2 November 2019"," Probably the best Netflix movie release
","For this type of movie I thought the director got pretty much everything just right. The acting, the sets, the music, the storyline, everything worked to give us a thoroughly enjoyable film."
"LeftyMcLefterson","9","410","489","2 November 2019"," A dream for more Netflix films like this
","An incredible film from beginning to end, historically accurate set and costume design, performances of the actors was fantastic. I love love love the accuracy of the portrayal of combat in full metal plate armor and the violence of battle. I love that they blurr Henry V by Shakespeare and historical drama incredibly well."
"benjaminapplin","8","307","375","1 November 2019"," Gritty tale of Henry
","Not sure what to expect when watching this. Truley gritty film. The acting was superb.
The battle scenes were truly realistic. Nice change from Netflix terrible films they've put their name on."
"ascejim","10","355","436","1 November 2019"," It's hard to find a fault
","This was epic. The acting was amazing. Near perfect writing. The actor who played Henry (Timothee C) should be a big star. Great presence. Take the time to watch this. I'm glad I did. High quality stuff."
"MR_Heraclius","9","61","70","15 February 2020"," The King
","WHEN OPERA BECOMES REALITY / One of Netflix's strongest titles. The work simply becomes reality and it is like being in the theater all the time and time flies. A stellar cast that plays its part in a credible and passionate way. Timothée, once again, confirms to be one of the most promising stars of the current decade and Michod has only done what was not done since the days of Ridley Scott's Gladiator."
"ctphoto23","8","208","269","2 November 2019"," I love it!
","Beautiful cinematography with fantastic performances and direction. I understand why Chalamet is the next big thing now. The bloke from Twilight was good too."
"fbgillispie","9","84","109","16 November 2019"," WOW
","I went into the movie with modest expectations. I wasn't expecting a masterpiece, but I absolutely wasn't expecting this. I was blown away by this movie. It kept me interested from start to finish. Even though the movie contains a lot fewer battle scenes than previously expected, it was still intriguing and made any battle scene that much more rewarding. This could be the movie that helps Netflix win their first academy award for best picture. I highly recommend that anyone with a Netflix account watch this. You won't regret it."
"tonyk6289","9","20","23","5 January 2020"," EXCELLENT!
","Whether it was historically accurate or not, this was an excellent movie with great acting. The battle scenes were realistic and the story flowed well. I wish it was a series it was that good ."
"louis1011","8","246","339","2 September 2019"," Great movie but slow at times
","I'm grateful that Netflix are pumping money into films like this and is a great sign of things to come.<br/><br/>This movie has some great acting, a superb script and some great sets and costumes. This all adds to the authenticity of this 15th century English period piece. I do have a few problems with the film like some of the 15th century language can be hard to follow and I don't think this film will be as good on Netflix as it was when I just saw it at the Venice film festival.<br/><br/>Despite my issues with the film, I think it's great and would recommend it to any film lovers."
"blkopanski","5","79","105","4 November 2019"," Great entertainment but extremely historically inaccurate.
","Overall I enjoyed watching this movie. I like period pieces like this and Netflix delivered again. The acting, cinematography, and battle scenes were fantastic. Unfortunately the story line is interesting but completely false with its character depictions and timelines. Not only did Henry V's brother Thomas not die prior to his father as shown at the beginning of the film, but he actually served as a commander in the English Army and died 8 years later well after the battle of Agincourt which is shown at the end of the film. Sir John and the French Dauphin also don't historically die in the battle of Agincourt as depicted in the film. Sir John actually loses the battle of Patay a few years later against Joan of Arc and becomes the scapegoat that is blamed for the defeat. The Dauphin is actually crowned the King of France after Joan of Arc wins a few important battles 14 years after the battle of Agincourt. There are other historical inaccuracies as well but I've made my point. Like I originally said, I enjoyed the movie and applaud certain aspects about it, but ultimately the director/ writers should have done a little more research first."
"jlcdrama","5","212","298","4 November 2019"," Not a movie for historians or Shakespeare buffs
","Once I went to a medieval times restaurant with my father. The section we were seated in was the ""Green Knight"" section and the Green Knight turned out to be the villain of the play before us. My father got a bit excited by this. At one point the king declared that he was making peace with the Green Knight's country. My father then shouted ""No peace, war! War!"" I feel like almost everyone in this movie is doing the exact same thing for Hal.<br/><br/>Now, I'm quite a fan of Shakespeare as well as something of an amateur historian. I have a small library of books dedicated to British history and the monarchy. So I was excited by the announcement of this film as it touched two passions of mine. Needless to say, it wasn't quite what I thought it would be<br/><br/>It's very clear that this production is only minimally based on the famous Shakespeare plays. They borrow the characters and follow the same plot to a degree, but it bears very little resemblance to the plays beyond that. This isn't about the matter of language, but more the feel and actual story of the plays.<br/><br/>That's not always a bad thing. The character of Falstaff is not just a cowardly buffoon like in the plays, but an interesting man and capable warrior even. Still a drunk yes, but his character is richer and has more depth than in the plays.<br/><br/>No my main problem is Hal. Though acted well, Hal just feels so very out of place in this story. Like I said about my father, Hal is the king desiring peace while my father is everyone in England desiring war. Hal feels like a 21st century man in a medieval drama. It just doesn't fit, especially not in history.<br/><br/>The real Hal, or Henry V, was actually a man of his time: a brilliant warrior and quite the opposite of the pacifist he seems in this film. The fact of the times is that war was popular in medieval times, and war with France was very popular in England as they had quite the rivalry. There is a reason Henry V's son, Henry VI was deposed twice: peace, especially with France, was seen as weakness. Henry V would have been raised from the cradle to believe France was the enemy and England should defeat it. It just struck me as so completely out of step to have Hal be so against war. Perhaps they were afraid they would make him look like a warmonger, but that would have been easily enough to avoid. Rather they fail to grasp that this is a historical film, and the truth of the matter is war was the most effective means of diplomacy and brought about glory and popularity. There is a reason Richard the Lionheart has a better reputation than he probably deserves in England: war equaled strength and in that day a man wanted to be seen as strong.<br/><br/>It's not a bad movie. The acting is good, the story isn't bad either, but it clearly wasn't meant for people like me. If I didn't understand the tine period as well as I do, know the plays so well, nor have studied the true history as I have, I probably could have given this a higher score. It's a good drama, but Hal just stands out as out of place and nothing like a true medieval king."
"SafChaleur","9","196","279","25 September 2019"," Great movie - a touch long
","Just saw this film and it is captivating. What ever you do don't believe the low rating some others have given it because it is not accurate and you will need to question the motivations of those scoring this film so low when it is worthy of much more. Maybe a touch of jealously cause it is a Netflix film. The acting is superb with a great script, crisp cinematography and wonderful sound. The director transports us in the 15th century and we are captivated by the situation King Henry V finds himself in. Surrounded by corruption and men who are willing to kill each other for property and status.<br/><br/>All the cast was brilliant and the two lead actors were exceptional.<br/><br/>The only negative is that it is a touch long. I say that it was long but I can't see anything that could have been left out. I saw it at the cinema but I think if you were watching it at home you could pause it and still return to be immersed where you left off.<br/><br/>I hope we see more from this team as they did a great job."
"Lowcountry_Girl","4","379","553","4 November 2019"," 25% history, 75% pure fiction .. Transforms one of England's most martial kings into a pacifist with Daddy issues who got tricked into going to war
","Why do they do this? Who does Hollywood think it is exactly with this unadulterated fiction? To have the temerity to fictionalize major facts of the life of an historical figure takes some kind of elevated opinion of yourself.<br/><br/>Here's a newsflash: Henry V was the member of his family most keen for war with France; Henry IV and Thomas favored peace. For reasons known only to Netflix, precisely the opposite is portrayed in this film.<br/><br/>So Daddy disinherited Henry and made Thomas the heir, really?? (NOPE) So Thomas was green and got killed in battle before Henry IV died, really?? (Both sons were seasoned warriors, and Thomas died well after Agincourt.) So Falstaff (Sir John Oldcastle) heroically died at Agincourt, really?? (Henry executed him in 1417.) There's much more, but the point is made.<br/><br/>So sick of historical figures being transformed into someone they weren't to suit whatever message the screenwriter is pushing. Just. stop."
"mindoscp","6","253","368","3 November 2019"," Make historical movies historical again.
","I have mixed fillings about this movie. First of all it's a very nice piece of cinema with an epic and realistic medieval battle.<br/><br/>But ... bloody hell ... when you try to make a movie about an historical caracter why can't you get your facts straight.<br/><br/>The historical facts, as related in this movie, are all wrong.<br/><br/>I know that Americans don't really care about the worlds History and try to make it entertaining instead of relating true events as they actually were.<br/><br/>The battle of Agincourt was a military masterpiece, there is no need for stupid inaccuracies.<br/><br/>Even Shakespeare was more accurate than this.<br/><br/>Make historical movies historical again."
"fx-23112","5","138","200","3 November 2019"," historically inaccurate
","The battle of Agincourt as presented in the film has nothing to do with the actual events. And cause of this was a huge disappointment. It makes no sense to me why is it so difficult for so many movies to stay in the facts.
When it is a film about the battle of Agincourt I want to watch and learn what actually happened those hours, and not a fantasy story."
"nindave-movies","9","162","239","22 October 2019"," What a gem of a film..
","Had to track this down to a Curzon in Oxford to see this, well worth it. What a gem of a film. Absolutely excellent, top class acting by the whole cast. Although not totally historical accurate, it's not far off. Loved the rawness of the battlefield, very realistic to what I imagine it would have been. This I would hope should be considered as best film awards contender without a shadow of doubt."
"micheyns","5","46","63","7 November 2019"," Why bother with history?
","AS a swords and sorrow epic this is okay, good performances, pretty locations, but why bother to pretend that it's about Henry IV and V? Not to mention Falstaff? A straight fiction could have worked; but this half-assed gesture in the direction of historical accuracy is just irritating. And it sure drags."
"RoganShea","3","245","377","2 November 2019"," A wasted opportunity
","Henry V's Agincourt campaign was an important event, and very dramatic - excellent subject material for a feature film. Why would you take that riveting subject and spend a considerable amount of money making a film about it and then litter that film with gross historical inaccuracies? Henry IV did not try to disinherit Prince Henry. Prince Henry did not kill Henry Percy in a duel (Percy died in a pitched battle 10 years before Henry IV died). Prince Thomas was not killed by the Welsh shortly before Henry IV's death (he died fighting the French six years after the battle of Agincourt, eight years after the death of his father). Neither prince was an inexperienced soldier by the time of Henry IV's death - both were experienced captains with multiple campaigns behind them. All of these depictions in the film are major historical errors - and that's just the first 15 minutes of the film!"
