"username","rating","helpful","total","date","title","review"
"cdromse","8","73","82","2 December 2019"," Brilliant
","Completely brilliant. This film is amazing in its characterization, its pacing, its character development and its visuals.
The book is superb, but Stanley is a genius who has a midas touch.<br/><br/>Glory glory violence."
"anthemlove","9","74","84","6 December 2019"," The Good Old In And Out
","And some ultraviolence too.<br/><br/>Is this the world's most stylish and interesting and amazing movie?"
"FZ-FX","9","328","416","1 April 2005"," Brilliant, stunning and disturbingly entertaining
","Few films are as sensational or infamous as Stanley Kubrick's ""A Clockwork Orange"". It's impossible to sit through ACO and not have a reaction; whether it be shock, disgust or amazement. The savage tale of a brutal young droog and his subsequent ""reformation"" by the government is as shocking and thought-provoking as ever. <br/><br/>While the film's depictions of violence and sex are what it's most known for, ACO works on far deeper levels. The disturbing portrayal of youth and its satirical depiction of a government's attempts to create a better society are brilliant, but the most fascinating aspect of ACO is the questions it poses about good and evil. While the crimes Alex commits at the beginning of the film are atrocious, what the government does to him is worse. The film presents the absolute worst aspects of man, but shows that even these are still favorable to a man without the choice. People can denounce the film because of its brutal content, but the importance of the questions it poses can't be denied. <br/><br/>Equally excellent to the film's content is the effort by the crew. Kubrick's perfectionism pays off well, as ACO in one of his most visually striking films. Malcolm MacDowell is nothing short of amazing as Alex. Kubrick's use of surreal imagery and set pieces, as well as the ingenious use of music to compliment the on-screen action, creates a world that perfectly reflects the protagonist's behavior and the government's policies. <br/><br/>A Clockwork Orange is by no means an easy film to get through, as many will be turned off by the scenes of violence and rape. But this masterpiece is far more complex than a simple romp through a world of youthful violence. It's a rare example of film-making that demands that the viewer actually think. Real horrorshow all around, Oh my brothers."
"Agent10","10","646","854","28 April 2002"," One of those films you have to watch multiple times
","It's hard to judge a film such as this. Its cold and hard, yet can be exhilarating and sarcastic. It can be average, yet it can be visionary. Exploitive? Satirical? Too many questions to consider when one watches this film.<br/><br/>Even after 34 years, this film still speaks volumes about our current culture, which many ideals are ringing true today. The younger generations are out of control due to lack of parental control, junk culture is becoming commonplace, violence is desensitizing the masses, and we all seem to be enjoying the ride on the way down. It's very difficult to find movies which can make such startling commentary, yet hold on to such accusations for an extended period of time. Nowadays, films are focused-grouped to death, conformity is more powerful than artistry, and money is far more important than quality. Kubrick took a huge leap with this film, challenging society to take a hard look at itself. Unfortunately, society wasn't ready for this film, which is why it is revered now more than ever."
"ktykaxwr","9","41","50","28 December 2019"," He Is A Bad Boy
","So gets the chicks, a threesome, makes love when he wants and leads men.<br/><br/>And he listens to Beethoven and drinks milk!<br/><br/>Like all those who were raised Xians the self-hate and doubt creep up on him and he yields to religion.<br/><br/>Brilliant!"
"varun_iitian","Null","291","407","28 July 2004"," Great Piece of Art
","I would say that the movie is really a gem of an art piece. The use of excellent imagery coupled with pretty out-of-the-place background score tells us about the uniqueness of this movie. Stanley Kubrick has really applied a lot of thought into this.<br/><br/>The director wants the audience to feel something as bad not because he is showing it as bad but because it really is bad. The background music accompanying the ultra violent scenes is comical, and not dramatic or anything else that is commonly associated with such scenes. This gives the viewer an opportunity to feel the bitterness not because the music hints so but because he himself feels so. Viewer's emotions should arise irrespective of what the director is trying to show, and this is one of the greatest successes of the movie.<br/><br/>Another glorifying feature is the central idea of the movie. If a human is striped of the choice to choose from good and evil, he no longer remains a human, he becomes a clockwork. When Alex is brain-washed and ""programmed"" to choose only good, he wasn't accepted by the society and this shows the irony in the objectives of the British Government. The word Orange from the title presumably comes from the word ""Ourange"" that loosely means man. And hence the title is so appropriate to the movie.<br/><br/>The artificiality in dialogues and sets give the movie a unique feature and enhance the grip on it. This also means that the viewer has to get more involved. This is definitely one of the best technically shot movies, another masterpiece of Kubrick like the Space Oddessey.<br/><br/>For the uninitiated, set in near future Britain, the movie shows Malcom MacDowell as the head of a group of youngsters involved in sexual violence. Turn of the events leave the protagonist in the hands of the police. Worried by the growing number of prisoners the British Government devises a method of ""programming"" them so that they always choose the good. Alex is chosen as one of those on which the new system is to be tested. The rest unfolds as a saga of the very human characteristic.<br/><br/>Lastly, I would like to say that you may be compelled to leave the movie in between, but if you are watching it for art and cinematic experience, I recommend you to sit through."
"ryacecxr","9","31","38","19 January 2020"," Violence Is Art
","And the droogies do it in style!<br/><br/>The settings, cinematography and stylized violence are superlative. the attention to detail is such that this film earns a place of its own far above everything else.<br/><br/>He has his own style, makes love and takes what he wants until the state brainwashes him and robs his mind. Then he turns to Jesus."
"MovieAddict2016","10","197","274","25 February 2004"," One of Kubrick's best
","To say that the Alex character from Stanley Kubrick's ""A Clockwork Orange"" is unlikable is like saying the Manson family was sort of bad. He's not just unlikable; he's despicable, terrifying, sick, twisted, and ultimately a haunting embodiment of all our greatest realistic fears and worries. But Alex does not see himself as a sick person. The key to this is in his voice-over narrative.<br/><br/>Alex does not see himself as a pervert, just as we do not see our own flaws and Ramond Babbitt did not see his own autism. To us, we are all normal, which is a scary thought.<br/><br/>""A Clockwork Orange,"" which was originally released in 1973 after an appeal for an R rating (that was granted after originally being tagged as an X-rated motion picture), had been banned from Britain for close to thirty years. Most film fans in Europe will tell you that they had seen the movie on grainy bootleg videotapes years ago when they were young and curious.<br/><br/>But for those of us lucky enough to enjoy (or squirm through) ""A Clockwork Orange"" in its entire odd splendor, it is an experience you are likely to never forget. Its characters, its style, its subject matter, its explicit material--all of it combines to create a marvelous whole that will stay with you long after the credits stop rolling.<br/><br/>Essentially a tale focused on Alex's journeys in jail and his process of being re-submitted to the world after inhumane treatments to cure the evil out of him, ""A Clockwork Orange"" is indeed as offbeat as its title.<br/><br/>All tales of redemption involve characters that we gradually come to appreciate, or like, or--at the very least--learn to tolerate. Not ""A Clockwork Orange."" Our narrator remains the same throughout the movie, always an incarnation of everything wrong in today's modern world. He goes through no cleansing process and by the end of the film we like him less than we did at the beginning. That's daring."
"nycritic","10","99","136","6 November 2005"," Kubrick and the Art of Violence.
","Stanley Kubrick has a way of telling stories about violence without actually exploiting them, or going into exaggeration. In DR STRANGELOVE, OR HOW I STOPPED WORRYING AND LEARNED TO LOVE THE BOMB violence as war was discussed, overheard, never truly seen until the final reel when a flurry of atomic bombs exploded into bright mushrooms as the song ""We'll Meet Again"" lovingly played in the background. In 2001: A SPACE ODYSSEY Hal-9000 terminates an entire crew in a most chilling way and all we see is a computer screen indicating the termination of life. Now, in A CLOCKWORK ORANGE, Kubrick actually brings a story about violence, and even then it is art directed within an inch of its life.<br/><br/>Alex DeLarge is the leader of a band of 'droogs' who move from location to location terrorizing their victims, putting them under outrageous acts of violence. When two of his 'droogs' refuse to follow Alex's path of destruction, he turns on them and beats them, until an act of reversal turns against Alex and he is brought down by the medical industry who decides to ""reform"" his heretofore sociopathic tendencies. One he is cured, an interesting chain of humiliating events that bring Alex even farther down ensue: he is, for example, now attacked by his very ex-mates, now policemen, and his ex-victims. Sometimes the cure is far worse than the illness. Karma is a bitch.<br/><br/>Kubrick has a particular way of visualizing his films. A CLOCKWORK ORANGE has a look and feel completely out of its time, closer to sometime in the future, and its torture sequence in which Alex is regenerated also looks straight out of a science fiction movie. However, this is not a science fiction film. It's actually quite difficult to categorize CLOCKWORK because it's something of a social satire, something of a drama, has comedic moments and deconstructs a musical for a horrifying rape sequence; however, its approach to the material gives it the feel of a hybrid out of time, out of place, but visually arresting and impossible to take for granted. It's this approach that makes the work the product of a master of direction -- it can be seen multiple times and every time a different perspective arises, and all one can be left with is with the notion that this is pure, ultra-modern cinema."
"ickyptang","10","386","566","29 February 2000"," Kubrick's best
","Stanely Kubrick's ""A Clockwork Orange"" is one of the first movies that proved that cinema can be the most enlightening and amazing art form around. Movies have always been a true love for me, but it wasn't until this film challenged me that I fell deeply in love.  The first viewing left me speechless, unable to describe how weird and terrible I felt.  I thought it was the film that left me in this mood, so of course that was the easy target to blame.  It was just a bad movie, overrated and stupid and a waste of time.  But upon further thought, I realised the film did exactly what it was supposed to.  It showed how the world can be a weird and horrible place, and how this young man who goes around torturing people and being a wicked person ultimately doesn't have to pay for what he does.  And it's funny too. So this film brilliantly satirises this world, showcasing pure evil and people who ordinarily do not perform such evil are forced to laugh and observe what we all hate to admit is the truth.  It's sick, but at the same time brilliant.  And when one gets down to the core, you can't really explain it.  It just is what it is.  It's real.  No one really sees it very often, but it is out there and everyone knows.  And no one does anything about it.  In essence, ""A Clockwork Orange"" is the ultimate satire, and one of the ultimate film experiences.  It's art, it's life, and in a funky way, it's entertaining."
"sol-","Null","189","280","3 January 2005"," My brief review of the film
","A disturbing but yet very beautiful piece of film-making, Kubrick has created the ultimate study of mind manipulation in this film. It is a protest against reform programs that take away freedom of a choice, and the message of the film in terms of paying for one's sins in all eternity is inescapable, evident to a large extent in the sardonic nature of the tale. Although set in the future, it hardly feels like it is, this being because the message of the film is overwhelmingly powerful and capable of applying to any age. The film has a number of possible hidden meanings to it  a feat equaled on scale only by Kubrick's former film '2001: A Space Odyssey'. Besides for the meaning behind the film, there are still the marks of a masterpiece. Kubrick's direction is superb alongside the good photography, capturing shadows and angles needed to establish tone. The editing is excellent too, done in a flashy, brainwashing style at times to have relevance to the film. The choice of cast is again inspirational, however the film achieves the most in terms of music. Kubrick manages to use one of the earliest forms of art, classical music, and give it an unforgettable style and importance in the film. It is truly a difficult task to explain what is so great about a film such as 'A Clockwork Orange'  it is maybe best explained by watching the film itself."
"BitPartMozart","10","246","371","19 March 2005"," amazing, the greatest villain ever, nothing has scared me more
","i just saw this movie about a day ago, and it completely blew me away, namely the main character, protagonist, hero? Alex. we love, hate, and or just plain utterly confused about how we feel of Alex. Alex is the greatest villain ever because he is ourselves, he is the worst of ourselves. hes the deep dark place inside you that rises to the surface eventually, and then pushed down just as fast because it terrifies you. the way Alex stares into the camera in the first scene just freaks me out, he has a little smirk on his face that seems to say you may hate me, but you'll never be rid of me, because there can never be good without the bad, and i am the bad."
"teodorodontosaurus","10","32","43","15 April 2018"," Of course it's perfect!
","A masterpiece of a movie that contains one of the best introduction scenes in movie history and also one of the best ending scenes in movie history.
The satirical content is obvious.
The soundtrack is also a killer... especially the electronic synthetic music parts! Isn't that the darkest piece of music you've ever heard in a dystopian movie? Those synths sound so haunting and the psychedelic effects are awesome! No wonder it was a major influence for the early synth pop bands!"
"ChrJahnsen","10","596","951","27 June 2001"," Best movie ever made
","A Clockwork Orange is the finest film that has ever been made, in my view. Stanley Kubrick has made so many masterpieces, and is by far the best director that ever graced our world. A Clockwork Orange is simply his finest hour!<br/><br/>The film grabs you and glues you to your seat from start to finish. Malcolm McDowell gives us a shining example of superior acting, and the movie is as perverted as any of Kubrick's masterpieces (and then some!). It contains horrifying violence, extreme emotions, perversity and weirdness at it's very worst. It all boils down to serve you a plethora of thoughts for you to take with you and contemplate, after the film ends.<br/><br/>However, with all the perversity bursting out of this film, you will probably NOT like this film the first time you see it. I know I didn't. Fortunately, I gave it a second chance, and thought: Hey, it was actually not bad at all. After the third time, I was lost for words.<br/><br/>After the fourth time, there was little doubt in my mind, that this was the finest film ever made, and regardless of how many great masterpieces I see, A Clockwork Orange still towers above them. I'm sure you'll agree, if you give it the chance it deserves, although it may require for you to see it more than once."
"tyson-hunsaker","8","29","39","31 January 2017"," A controversial and offensive masterpiece.
","Anyone looking to watch A Clockwork Orange might be wanting to revisit some of Stanley Kubrik's work and might be interested in studying this film. Those who have already seen this film tend to already have strong opinions regarding this dark sci-fi movie but for me, I approached this film recently to obtain an opinion for myself and study one of the great masters of cinema. <br/><br/>The fact that this film was regarded as one of the most controversial films ever made (rightfully so) sparked genuine curiosity to give this flick a full viewing and while I have large issues with the film, the experience as a whole was both satisfying and a learning experience. <br/><br/>This story centers on ""Alex"" our main protagonist and his gang of hoodlums set in a not so distant, dystopian Great Britain. The beginning portion unfolds Alex's dark and twisted soul as we watch him and his gang fight, rape, and kill. When he's eventually caught, he undergoes controversial ""treatment"" to be cured of his dark soul.<br/><br/>I first appreciated the inmate concepts of this story and the type of questions the story attempted to raise to the audience. Furthermore, much of the psychological ideologies surrounding freedom, choice, good vs evil, and selfishness were extremely thought-provoking. It had a way of making me feel self-exploratory despite the character's complete inability to relate with (hopefully) any viewer. <br/><br/>Performances were top notch; especially from the lead: Malcom McDowell. His performance felt so authentic there's never a single moment that feels fake or forced with his dark character. As always, Stanley Kubrick directs the hell out of this. His commanding and authoritative shooting style is apparent in every frame of the picture and he does a wonderful job at sucking the viewer into this terrible world to the point of enthrallment. <br/><br/>While all these positives make for a great movie-going experience and when Kubrick is at the director's helm not much can go wrong, the film's biggest downfall is indeed its controversy. Disturbing subject matter in this piece is indeed vital to the essence of the story but taking off the gloves when it comes to fighting, rape, and killing (especially the rape) make this so incredibly disturbing that it's difficult to muscle through. I found that A Clockwork Orange was not only offense because of its disturbing content, it was personally offensive in so many ways. Frankly, these extremely rare and offensive movie experiences are not quite the reason I enjoy films in the first place; stories can still be thought-provoking while not morally offend and damage the viewer internally. In addition, a viewer looking to study the work of Stanley Kubrick can still experience some of cinema's greatest and transcendent experiences without feeling like their conscience has blackened.<br/><br/>It's understandable that not everyone feels this way; just as stated before, opinions about this film are all across the board. As time has passed however, A Clockwork Orange has stood out has one of Kubrick's finest and has been adored by die-hard fans so much its fan base has grown over the years. <br/><br/>The best advice to give is to see it for yourself. Much like all other Kubrick films, relying on anyone's opinion won't help one bit. Seeing it and deciding for yourself is the best course of action. That being said, despite it's strong artistic merit, I wouldn't recommend seeing it simply because of the morally offensive and sickening content that most don't appreciate. Overall, it's been the hardest one to review in a long time because it's not a simple: see it or don't see it. There's much more to this picture than that. If you do decide to see it though, be warned and well prepared. If not, that's probably just fine too."
"Movie-12","10","189","295","18 September 1999"," The number one film of all time. **** out of ****
","A CLOCKWORK ORANGE (1971) ****<br/><br/>Starring: Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, and Adrienne Corri Written and Directed by Stanley Kubrick   137 minutes    Rated R (for strong explicit sexual content and rape, perverse nudity, brutal violence, and some language)<br/><br/>By Blake French:<br/><br/>	Stanley Kubrick's ""A Clockwork Orange"" holds the recent record of being the number one film of all time on my charts. The film is everything that you'll never want to watch. The scenes are disturbing, gut wrenching, mind twisting, and way over the top. In result, ""A  Clockwork Orange"" has the most powerful and overwhelming dramatic impact that I have ever experienced in a mainstream film. <br/><br/>	""A Clockwork Orange"" is the story of a young man named Alex DeLarge, who is, by day, a regular student who lives with his parents at home, but, by night, a homicidal rapist/killer with his accomplices who dress up like demented clowns at a bleak freak show. He and his buddies weasel their way into the happy homes housing innocent people by chanting the same deceiving phrase every night: they scream that their friend has been critically wounded in an accident near by--and plead to use their telephone to call for help.<br/><br/>For a few unfortunate souls, this devious trick proves to be successful in nature. One night, however, a woman known as ""The Cat Lady,"" refuses their plead, and calls the police in suspicion. Alex, being both smart and sneaky, somehow manages to break into this perverted woman's home, while his accomplices wait outside. Once indoors, a fight begins. A struggle featuring a sex toy owned by ""Cat Lady,"" one that not only causes panicked arousal, but also is featured as the weapon of her graphic and disturbing murder. Alex quickly flees the scene once the police sirens reach his shaky ears, but when he gets back to his pal's waiting outside, they return their experiences with him by bashing him over the head with a hard object, allowing their jumbled escape, but his certain demise.<br/><br/>
After the process of being sent to prison, Alex grows to learn to tell offices and guards what they like to hear. He reads the bible, is never involved with any major fights or complications, and almost volunteers for a new kind of experiment. An experiment so probationary it is still being tested and held under wraps. What it does, though a series of ""sessions,"" is cure a violent individual from his sickness; he will feel terrible pain if involved in any sort of violence after the medicine takes place.<br/><br/>The scenes involving the ""cure"" of Alex's disturbances are truly emotionally troublesome. They are so explicit and detailed that I myself felt tempted to look away from the screen at points. This is not a film for those who are prone to walk out of movies, those who are easily offended, or especially for those with week stomachs. This is the most grizzly enumerated film I have even screened, but it happens to be one of the most perfect and precise in message.  I definitely don't recommend the production to everyone, though. <br/><br/>The soundtrack to ""A Clockwork Orange"" is one of the most inspirational and spirited ones I have ever heard; right up there with the turns to ""The Graduate"" (1967). Although the actual music is far from fitting each individual scene, the overall presence is not only worth listening to, but also worth the purchase price.<br/><br/>Here, a young Malcolm McDowell explores the character of a lifetime with vivid imagination and tremendous description. His character fits him very well as an actor. Even though the character is meant to be despised, I couldn't help but to be very convinced and interested in his sick, demented, psychotic mind. Most of this is because of the flawless point of view the film contains, one that both provokes empathy and involvement. It investigates the mind of a killer, rapist, and a confused, somewhat harmless, adolescent--all existing in the same character. This is no doubt the character, and the performance, that inspired a generation.<br/><br/>As well as being a movie of violent and sexual repulsion, Stanley Kubrick's direction to ""A Clockwork Orange"" also forces us to investigate deep down in ourselves and chew on the idea of us being in the character's shoes. There is a scene in this movie that forces two parents to make a decision of a lifetime. After receiving the treatments he volunteered for, Alex returns to his household only to discover that the only mom and dad he's even known have rented his old room out to some strange college kid, who is said to have been there for them during many hard times--like a real son. His parents must make a choice: to throw their only son, who has suffered for years in turn for making others suffer, out of the house for good, or allow him to return with open arms trusting that he is ""cured."" Well, dear reader, what would you do? Brought to you by Warner Bros."
"brahmjeetsinghnagpal","10","26","35","15 October 2019"," Brilliantly Uncompromising; Kubrick's Masterpiece
","'A Clockwork Orange' novel by Anthony Burgess has been beautifully and splendidly portrayed by Stanley Kubrick in his movie with the same name. It is a futuristic movie with Alex having the lead role, a gang-leader whose main interests are violence, rape and Beethoven.
The cinematography is brilliant, the acting superb, and the background score very much satisfying. The symmetrical and one-point perspective shots of Stanley Kubrick are on a whole new level. His photography and direction techniques are beyond comparison. The energetic Malcolm McDowell brings the character of Alex to life. At times, you hate him, at times you love him. At some point, you also feel pity for him. Malcolm's sophisticated and polite, and sometimes amusing manner is very much noticed and appreciated. The character development of Alex is very exciting and is also what makes this movie a success. The language which is used in this movie is called 'Nadsat'. It is difficult to understand this language (invented by Anthony Burgess) easily but that's what makes the movie more attractive.
Although being extremely violent and disturbing, this psychopathic thriller is absolutely a must watch for all fans of classical cinema. You should definitely watch this movie if you are looking for ""a bit of the old ultra-violence""."
"Ayatollah","10","119","189","11 June 2001"," My favorite movie
","Without a doubt, my absolute favorite film of all time. I first saw this movie three years ago and I have been in love with it (and Stanley Kubrick) ever since. I never get tired of seeing this movie. Why it remains so underappreciated (at least by ""casual"" movie viewers) is beyond me. Everything is great; acting, direction, cinematography, the sets, everything. <br/><br/>Something that I don't think anyone else commented on was the Russian motif. The names of the droogs (Alexander, George, Peter, and Dim...short for Dimitri) are decidedly Russian. The singer referenced in the record store, Johnny Zhivago, has obvious Russian overtones. The statement made by the Minister of the Interior about the ""peace-loving citizens"" is a direct reference to the name that Soviet government representatives applied to their people when talking about the Cold War. Red seems to stand out from other colors. And, of course, who could forget Nadsat, the Russian slang language? I wonder what Burgess and Kubrick were trying to suggest about the future of Ingsoc (those familiar with ""1984"" will understand)?"
"Nazi_Fighter_David","9","85","133","15 June 2000"," A film described as the sociological masterpiece of the decade and, often as dangerously vicious
","""A Clockwork Orange"" starts out with Alex and his gang of ""droogs"" sitting in the Kerova milk bar drinking the milk plus... Then the camera starts slowly to move back and we see naked female statues and drink machines which purl out the milk through their breasts...<br/><br/>McDowell is splendid as the star-child Alex... He is simply a vicious and amazing sadist monster, lethal in his sincerity, taking delight in rape and violence... Never such a vile character has been so charismatic and attractive... <br/><br/>His life is perplexing, questionable and terrifying... He doesn't show the slightest regard for other's rights or morality... He doesn't even regard his victims as human beings...<br/><br/>His paradoxical character is in nearly every scene... McDowell captures Alex's human and inhuman side with equal skill... Alex is a victim at the mercy of an uncaring society, condemned to the physically unbearable ""dislike therapy"" and preyed upon by his former targets...<br/><br/>Set in England in the near future a future which vaguely reflects our own, but it seems that society has started to crumble and at night the streets are driven with teenage gangs who run free of parental control...<br/><br/>""A Clockwork Orange"" is too strong for some people to accept and is still too powerful today... It is an extremely disturbing meditation on the violent nature of man... Kubrick emphasizes the human element by paradoxically dehumanizing the characters...<br/><br/>Viewers see images they may not have wanted to see, but will never be able to forget... He presents violence in a confusing and increasing fashion that makes it alarmingly attractive... He invites us to join Alex in raping and pillaging into London urban jungle to show that violence and power are invariably attractive... He makes good use of the camera, showing, in strange ways, the furious underworld of Alex... <br/><br/>Kubrick is the driving force behind ""A Clockwork Orange."" The film is without exception his picture... He took the novel of Anthony Burgess re-shaping it to fit his own vision... Images and sound pull in different directions, stimulating conflicting emotions... <br/><br/>In a bizarre juxtaposition of often classical music with violence, we see ourselves manipulated into cheering for Alex, despite his brutal and amoral nature... We are forced to really think about the implications of the events with no answer...<br/><br/>The film serves as a battleground for philosophical arguments making comments without forcing an opinion instead preferring that we ourselves decide what to make of the satire... Exposing themes to think about, significant prediction, liberalism of society, sexual acts gaining acceptance, violent films in higher degree, alcohol-currently legal, accounts for many acts of violence, crime out of control, violence in schools, television, illustrating the inconstant nature of public opinion, raising questions, themes and ideas that many people would prefer not to confront...<br/><br/>Style has always been one of Kubrick's strong points... He maintained a reputation for an obsessive attention to detail... He was known for getting the most out of his actors... Distinct images often play a significant part in his films...<br/><br/>With its dynamic bizarre sets and pulsating classical music score, and with a word of warning on how bad violence is and should be watched very closely, Kubrick's motion picture is unsurpassed with intellectual content... It is a film described often as the sociological masterpiece of the decade and, often as dangerously vicious a film with more violent sex and dangerous thugs than any other I can remember, a film which daringly brought to larger-than-life those areas of the unconscious mind which some people felt were best left hidden<br/><br/>It is also highly dramatic, extremely graphic, compelling and provoking... It is frightening and intriguing masterpiece with a powerful message about the reality of human nature..."
