"username","rating","helpful","total","date","title","review"
"epat","10","279","330","23 March 2004"," Moved me like no film I've seen in a long damn time!
","I watch a lot of movies & I can't remember the last time a film held me so spellbound. Not only are the characters engaging & vividly portrayed by an excellent cast, the subtle dynamics of their interactions are portrayed with inspired undertone & nuance. Star billing or even an Oscar should also have been awarded to the spectacularly beautiful scenery of Montana for the vast majesty it bestowed.<br/><br/>This complex saga of love, grief & loyalty is narrated with stark simplicity by old Stab, long-time friend to retired Colonel Ludlow & his 3 sons: staid Alfred, the eldest (""old even for his years""); idealistic Samuel, the youngest (""There was nothing these brothers would not do for him.""); & wild Tristan (""Such people become crazy or they become legends.""). The conflict between Ludlow's fiercely anti-government anti-war stance & his sons' determination to do what they see as their duty is but a small part of the story; the heart of the tale is the rift that threatens the mutual devotion of these 3 loyal brothers as they all come to love the same woman. ""She was not to blame,"" Stab tells us, ""She was like the ice that freezes in the rock and splits it apart.""<br/><br/>A tragic tale, yes; heartbreaking at times, but never boring. Every time I felt certain I knew what was coming next, the plot took another unexpected turn & I sat there riveted, softly breathing ""Wow!"" now & again into the darkness. This film immediately became one of my all-time favorites; I've watched it half a dozen times since then & its scope & power never fail to move me."
"jonas-adolfsson","9","215","264","11 August 2003"," I am a sucker...
","...but I must admit that I loved Legends of the fall. I understand that some people think it's corny and too romantic but if you like epic dramas this is the movie for you.<br/><br/>Reasons to see the movie: - Great acting. Anthony Hopkins makes a classic role as the US army officer gone anarchist father. Brad Pitt is perfect in the role as the wild one with an indian ""stepfather"". Aidan Quinn makes another great performance, and Julia Ormond is very good as the (tragic) woman they all long for. - The scenery. Magic. I want to have a farm in Montana! - The camera work. - The story. I guess I am a sucker for epic dramas. - A number of very, very good scenes. - The movie is a kick in the nuts to ""civilized life"" and state affairs. - The anarchistic attitude. - The character Tristan Ludlow. - The character William Ludlow. - The emotional ride.<br/><br/>Reasons to NOT see the movie: - You will be called a pathetic romantic if you like it. And you will most probably like it..."
"lmartinez82","10","222","279","5 July 2003"," My favorite movie of ALL TIME
","The raw passion of this movie is enough to make any serious movie enthusiast weep.  I honestly can't believe this movie was not nominated for about 8 or 10 Academy awards.  It also baffles me that some people think this was Anthony Hopkins worst portrayal. He was absolutely brilliant in this, as was Brad Pitt. THIS was the movie that made me take a look at Pitt and see that he's more than just a pretty face. After watching this, he became, and is still to this day, my favorite actor.  In this movie he was rustic, yet thoughtful.  He was strong and vulnerable.  He had a great love for family(especially his father) and for a woman he knew should not be his. This film a true epic with history, talent, superior cinematography,  and most of all(and what many movies of today lack)..  closure.<br/><br/>
Watch and wonder"
"maya-25","Null","162","204","23 June 1999"," wonderful movie
","I can't believe the bad reviews Legends of the Fall got when it was released. This would have to be one of the best movies around. Everything from the acting to the directing was brilliant and the scenery was breathtaking.<br/><br/>Anthony Hopkins gave another knockout performance as Colonel Ludlow and Brad Pitt was brilliant as Tristan.Aidan Quinn, Henry Thomas and Julia Ormond were perfectly cast as Alfred, Samuel and Susanna.<br/><br/>The one thing I liked most about this movie was the ending - which I won't spoil. It is rare when watching a movie, you cannot pick the ending. The ending to this movie was so amazing, and the fact that it wasn't obvious what was going to happen made this movie more enjoyable.<br/><br/>James Horner is a master. Just like he did with Titanic, the score for Legends of the Fall took the movie to another level."
"ashgirl23","Null","85","109","24 October 2003"," Well what can I say...
","I absolutely loved the movie, it's the second time I'm seeing it and I'm glad I did, because I love epic dramas...and this one well, not only did it have a great and an original storyline, it had a great cast also. But my favorite had to be Brad Pitt, his performance was engaging and I couldn't take my eyes off the screen, because I simply was fascinated by the way the story was constructed. I've read a few comments made here...and this film is everything but predictable. It has so many twists and turns that it just keeps you wondering until the end...where you feel like you've watched the film to its fullest and there's no more stories left untold, that's what I look for in a good film. Even though the story was tragic, it was a story of love, loyalty and family. I give it a 9/10...if you haven't seen this movie yet...SEE IT! You'll love it, even if you don't fancy Brad Pitt."
"TBJCSKCNRRQTreviews","8","97","127","19 May 2004"," Great drama taking place before, during and after World War I
","Normally love dramas don't interest me, since I find them boring and predictable. This film, while being more than ""just"" a good love drama, really impressed me. Many of the scenes are quite visually beautiful, some in cinematography, others in content. As a love drama, it's moving, and at times almost poetically beautiful. It involves three men, brothers, who are all in love with the same woman. She has a relationship with each of them, but ultimately realizes that she only loves one of them. The plot is very good, and evolves at the right pace for this type of story. Not terribly fast, but never stands still either. The actors all portray their respective characters well, nearly all of them giving a perfect performance. Anthony Hopkins is great, as always. There was not really anything in this movie that disappointed me. The ending scene involves some of the best cinematography I've ever seen. There is a very emotional scene near the end which is also one of the most visually beautiful I've ever seen in a movie. I recommend this to most fans of love dramas, and, to a lesser extent, fans of war dramas. 8/10"
"Aarseth1721","9","90","128","4 November 2005"," Epic journey through wonders of life
","There are many things you can say about this movie. Many people would say it's both full of clichés and too dramatic plot(s). But I have never caught the point in these kind of critics. If a story is a bit used up and filled with clichés, why does it have to be mocked? Such films as Pearl Harbor, Titanic etc., are a bit over the top, but I honestly think that Legends of the Fall contains so many qualities that it deserve the credit it deserves. All along the film, we follow the life and times of the Ludlow family living in Northern USA in the late 1800's and early 1900's. It is always well balanced between ingeniousness and cliché. Just a few times this line is crossed (thereby 9, not 10 points), and in the end, you're left with a good feeling, 'cause this is really a ""feel-good movie"". If romance, action and intrigues are your thing, I can absolutely recommend this, 'cause every time I see it I'm deeply touched."
"smatysia","9","77","111","21 April 2000"," A wonderful, emotional melodrama
","A really good film. Basically a melodrama. Repeat, MELOdrama. Hollywood used to churn out this sort of film all the time with no apologies. OK, many of them seem corny now, but why do people think that every movie made has to be stark realism? <br/><br/>I was tremendously impressed with Brad Pitt's performance. (I'm a guy, so I mean that, and am not swooning over his looks). I had never seen him in anything before, and had barely heard of him.  Anthony Hopkins was, as always, fantastic. In fact every single actor hit every single note with the possible exception of Henry Thomas. One of Aidan Quinn's best films, also. The photography of Alberta is magnificent, and I think no one can begrudge LOTF its cinematography Oscar.<br/><br/>The film makers have an excuse for the occasional credibility lapse, in that there is a story frame, the recollections of One Stab, the old Cree. This covers things like Susannah falling for Samuel, who seemed to be an empty suit, Tristan keeping his long hair while in the British Army, etc. Excellent performance by Gordon Tootoosis, by the way, although his manner of speaking is very reminiscent of Chief Dan George.<br/><br/>I highly recommend this film, if you can watch it without trying to dislike it."
"theladiesfan","10","124","185","22 April 2000"," The best film i have ever seen..
","Dispite some of the reviews, i think this film is one of the best ever made. i have seen it a hundred times. the sweeping score, the Montana backdrop and the plot are just some of the things that make this film great. i would recommend everyone to see, although not everyone will like what they see as it requires a certain taste. 11/10"
"smanuellawrence","Null","16","20","21 February 2019"," 26 years on and still relevant
","I'm writing this review as I'm listening to the awesome soundtrack playing between my ears. I saw this movie again after 26 years and yes it still moves me to tears. I cried when The Colonel said goodbye to the boys, I cried when Tristan came back and saw the Colonel for the first time after he had his stroke. Yes it's a melodrama and the way the actors played their part, I could resonate with each and everyone of them. I'm 52 and I've seen felt mostly what they have gone through in the 1920s. Watch this film for the sweeping cinematography and the emotions of it all. One Stab narration and his Red Indian chants added a bit of character. The way Tristan looks up to him is something the youngsters missing now. The lack of respect to the elders. Susanah, the woman caught in between is portrayed brilliantly by Ormond. Horner soundtrack is a masterclass. Brilliant."
"Doylenf","Null","39","63","5 May 2001"," Complex storyline has poorly motivated characters...
","Not having read the novella upon which this is based, I don't quite understand the quirky reasons for the characters to behave as they do in 'Legends of the Fall'--nor do I understand just what the title is supposed to imply. It's all a bit grandiose with some of the most breathtaking color photography of a western landscape ever seen in an American movie--richly deserving of an Oscar for its photography. But the story is another matter--a sprawling, epic kind of familial tale of the struggle for a father's affection, the love of two brothers for the same woman, etc., with all of the characters swept up in tumultuous emotional states without preparing the viewer for the reasons. <br/><br/>The overall effect is disappointing when, after spending a couple of hours with these characters, you have no better understanding of their nature or what makes them tick. And yet, despite poor motivation, all of the actors do outstanding jobs--from Brad Pitt to Henry Thomas to Aidan Quinn to Anthony Hopkins--hats off for some fine acting. But at the core of the movie is a hollow factor that fails to touch base or explain the events. The jumps in continuity are a bit baffling.<br/><br/>On the plus side, the war scenes are especially realistic--and it's nice to see Henry Thomas (the boy from E.T.) developing into a fine actor. The outdoor photography is awesome and the score by James Horner is an impressive one. Too bad the script was such a letdown.<br/><br/>Summing up: a picture that can be enjoyed on its own terms--beautiful to look at but hollow inside."
"Boba_Fett1138","6","29","46","3 September 2006"," Might very well be the most overdone drama out of cinematic history. Powerful but not always effective.
","Although certain good enough and beautiful looking ""Legends of the Fall"" is a drama that goes totally over-the-top and its story is filled with way too many dramatic elements and story lines to fill an only 2 hour long movie.<br/><br/>First of all I can understand how a person could love this movie. All of its sequences are well made, acted out and filmed. The movie is filled with some dramatic powerful moments. But however the movie as a whole is a completely overdone one. Edward Zwick movies always are over-the-top and overdone in its drama but normally this works for the good, like is the case in Zwick movies such as ""Glory"" and ""The Last Samurai"". ""Legends of the Fall"" however really pushes it. Let's just analyze for a moment what happens in this movie, just for the fun of it. The boys their mother left them, their father is a war veteran, the three of them all fall in love with the same woman, one gets engaged to her and the other marries her while her heart truly lies with the one brother she doesn't marry, the boys go to war, one dies, their father gets a stroke, one brother goes mad and becomes a hunter, the woman commits suicide, Tristan's wife gets killed, they have a fugitive on their land who has an interracial relationship, there also is a crazy Indian who gets discriminated and in the end Tristan manges to get killed by a bear. Oh the drama! Come on, there is way too much happening and going on in this movie. The movie is only just over 2 hours long but there is enough happening in this movie to fill a 12 part mini-series with.<br/><br/>Yet I can't help to still somewhat love this movie. It's mainly because its such a well made one, mainly in terms of its visual style and acting. The movie was nominated for three Oscar's- and won one for a good reason. ""Legends of the Fall"" is beautifully crafted. The John Toll cinematography is simply amazing and the musical score by James Horner is uplifting and effective. If you watch all the sequences on their own this movie is a perfect one. However when you put all of this sequences together the movie gets a disjointed, overdone and therefor also unlikely and even ridicules one. It's a movie to easily fall in love with but when you really start thinking about it and analyze it, you have to conclude that this movie is totally overdone. The movie tries to take epic proportions at times. A bit too much and too desperate really, for ""Legends of the Fall"" is a beautifully crafted movie but further more also a empty and distant one because too much is happening in a too short amount of time. <br/><br/>I have to admit that the movie and story gets a bit better when it finally starts to concentrate on one character (the Brad Pitt character), rather than the whole Ludlow family. But after a while the movie starts to go downhill again once the drama kicks in again big time. It doesn't help to make the movie a engaging or realistic one to watch.<br/><br/>All of the actors do a good job and the cast is impressive. Especially Anthony Hopkins and Julia Ormond give a fine dramatic performance. Whatever went wrong with Julia Ormond's career. Her career began really promising in the '90's but whatever movies does she play in now. Brad Pitt also gives a fine performance, from the period when he was still only cast in movies because of his pretty face. Something that ended after his performance in ""Se7en"". Other well known actors in this movie are Aidan Quinn and Henry Thomas, who both appear in far too few popular movies these days. Still the fine acting can't help to make the movie convincing enough. They still put some life in the characters but foremost the characters remain pretty shallow and distant, as is the rest of the movie.<br/><br/>Strangely enough still a perfectly watchable and good enough film to watch at least once. You'll be mostly still captivated by it but in the end the movie leaves a bad aftertaste. They simply overdid it. Too much good of something is bad in this case.<br/><br/>6/10<br/><br/>http://bobafett1138.blogspot.com/"
"prairiefire52","4","30","48","24 May 2009"," Susanna, the Human MacGuffin
","A MacGuffin is an object that the characters value and that drives the plot, but the specific nature of the object is not important. In some movies, the nature of the MacGuffin is never explained to the audience. In thrillers, that can work. In human-relationship dramas, not so much.<br/><br/>Writers Shilliday and Witliff create Susanna (Ormond) as a human MacGuffin. She is beautiful; end of story. No back story, no motivations, no personality, nothing.<br/><br/>The fact that a cardboard cutout could alter the courses of their lives made me lose interest in the characters of the three brothers, and when Susanna was finally removed from the story line, I was still wondering whether the audience was supposed to care.<br/><br/>20% visual delight; 80% irritating script."
"selenachaiyarach","10","9","12","8 April 2019"," Still brings me tear in 2019!
","One of my all time movies. Watched it more than 10 times and each time the pain and emotions from the movie is agonizing. Must watch!"
