"username","rating","helpful","total","date","title","review"
"David N.","9","94","101","30 July 1999"," Second time's a charm
","The first time I saw this film, I was suitably impressed but found I couldn't enjoy it completely.  In order to keep up with the relentless pace of the plot, I didn't pay as much attention to the writing and the performances as I should have.  When it was over, I felt the breakneck pace of the story overshadowed the screenplay and acting, rendering the film an accomplished reprisal of fact but not much else.<br/><br/>What a difference a second viewing made.  My familiarity with the plot allowed me to appreciate all the finer details of the film.   Watching Redford and Hoffman's disciplined performances as Woodward and Bernstein, for instance, is like watching two expert tennis players work in tandem with one another.  When they act together, there is a delightful give-and-take, two masters working their way into a wonderful groove.  While they appear steady and reserved on the surface, the two actors radiate a noticeable undercurrent of excitement and dread, as if underneath their stern countenances they're screaming, ""Holy sh*t!  I can't believe we're doing this!!""  Redford, not the strongest dramatic actor, finds his normal-guy niche here and gives one of his best performances.  Hoffman is equally strong, making even the simplest scene seem like a masterpiece (the ""count to 10"" phone scene comes to mind).<br/><br/>Throughout the film, Pakula communicates the idea of these two reporters being completely outnumbered by the people responsible for the Watergate break-in.  I loved the numerous overhead shots of Woodward and Bernstein that pull up, up, up, until they're nothing more than specks in the dirty streets of DC.  (This technique is also used in the classic scene where the two guys are searching through old records and the camera pulls up to the ceiling and shows them seated along the edge of a circular series of desks.)<br/><br/>The film rockets right along, leaving the viewers as excited over the reporters' discoveries as they are.  William Goldman's script helps in this regard, I think, sticking straight to the meat and cutting out any unnecessary roughage.  The dialogue gets right down to business while working in realistic vocal habits and the like.  Redford really captures this well (listen to his stammering and self-corrections when he talks on the phone to sources - great stuff!).<br/><br/>I can't recommend ""All the President's Men"" enough.  It's tightly-structured, fiercely-paced, and captivating as all get-out.  If necessary, watch it twice: once to find out who's who, the second time to savour the handiwork.  If you want to talk more about it, leave a red flag on the potted plant on your balcony."
"duffjerroldorg","10","76","84","22 June 2017"," A Powerful Reminder
","We're in June 2017 and ""All The Presiden's Men"" from 1976 reminds us that film, sometimes, is the strongest historical document we've got. The Washington Post raising alarm signs then and now. Alan J Pakula is one of the greatest directors of his generation. Jane Fonda during her AFI Lifetime Achievement Award told us that working with Alan J Pakula was like dancing with Fred Astaire. Here the chemistry between Robert Redford and Dustin Hoffman is such that, at times, it feels like a romantic comedy, warts and all. Astonishing. Hal Holbrook as Deep Throat gives the feeling of ""thriller"" to this incredible story. We know how the story ends but that doesn't diminish our nervousness that it's perhaps a bit of impatience, just like now in 2017, to see justice be done."
"MovieAddict2016","10","103","124","25 March 2004"," Required viewing.
","If you were to imagine yourself as a newspaper journalist, one of the best conspiracies you could ever find yourself stumbling upon would undoubtedly be the infamous Watergate Scandal. And reporters Bob Woodward (Robert Redford) and Carl Bernstein (Dustin Hoffman) were the two men who found themselves head-above-water in an elaborate cover-up that went all the way up the chain of command to the United States President himself.<br/><br/>On June 17th, 1972, Watergate hotel security guard Frank Wills spotted a possible break-in at the Democratic Party's National Committee. Some apparent CIA agents were arrested for breaking and entering, and later held at a trial, where Bob Woodward first found out that they were more than mere intruders. They worked for the government.<br/><br/>After researching into the matter, Woodward soon realized that one of the intruders had the name of a political figure scrawled in a notebook located within his shirt pocket. <br/><br/>And with the help of Carl Bernstein, a fellow Washington Post reporter (and a veteran of the field), Woodward followed the slight tracks, and the two men soon found themselves unearthing a shattering conspiracy that did indeed lead all the way up to President Richard Nixon, the 37th President of the United States of America, himself.<br/><br/>Based on Woodward and Bernstein's own memoirs, William Goldman's Oscar-winning script makes for a brilliant subtle mystery; a true-life story as amazingly honest and forthright as it is entertaining and engaging. It would always remain the late Alan J. Pakula's greatest film, and its standing as one of the top films of all time on many various ""great movies lists"" is certainly merited. <br/><br/>It's a shame that both Hoffman and Redford were snubbed by the Academy Awards for their performances here. As Woodward and Bernstein, the two are amazingly convincing and bounce dialogue off of each other with striking clarity and realistic quality. Hoffman, who is top billed, appears in the film less than Redford, but gives just a performance just as amazing. He would gain an Oscar twelve years later for his portrayal of Raymond Babbitt in ""Rain Man,"" his finest performance to date, but his role in ""All the President's Men"" is of a different caliber. Woodward and Bernstein are two complete opposites, and at first they rub each other the wrong way -- Bernstein, a veteran reporter, takes one of Woodward's articles and starts making revisions. ""I don't mind what you did,"" Woodward says, ""I just mind how you did it."" Even though it's not anything special, this if my favorite scene in the movie, and perhaps the best example of just how well these two actors are able to bring their characters to life.<br/><br/>The movie is a mystery but not in the traditional sense. Almost all of us watching the film already know how the story is going to turn out, but the way it makes its dynamic revelations seem surprising and its story tense and exciting is one of the greatest examples of compelling filmmaking.<br/><br/>
For the film's opening sequence, in which Woodward and Bernstein's condemning news is written on a typewriter, Pakula used sounds of gunshots to clarify each separate key of the device striking downwards. The 37th President of the United States of America was sentenced to a sort of death with the publishing of that article, and the bold gunshots add an extra depth and meaning to this fact.<br/><br/>""All the President's Men"" has no hidden morals, messages, meanings. It's just a true story about something that happened, brought to life on the big screen by a great director, an influential screenwriter and two of the best actors of all time. No, it's not going to have you thinking after it's over, but if anything, it's the type of movie that will generate a lot of talk instead. And more often than not, that's a good thing.<br/><br/>5/5 stars.<br/><br/><ul><li>John Ulmer</li></ul>"
"blanche-2","10","22","24","17 June 2017"," seen this many times, never reviewed
","In today's world, ""All the President's Men"" is as timely as ever. And it's a great look at the importance of journalistic integrity at a time when it was important to be right, not first.<br/><br/>A meticulously made film, and Redford and Hoffman were at the heights of their careers and both so adorable! The cast was perfect, with Hal Holbrook as Deep Throat, Jason Robards as Ben Bradlee, Jack Warden - all brilliant.<br/><br/>The break-in, as we see, was a mess. In preparation for the break-in, someone had gone around the Democratic headquarters and put tape on all the doors so they wouldn't lock automatically. One of the first things you see is a guard finding one of the taped doors - that was the actual guard, and he was considered the hero of the night. <br/><br/>One of the Republican plans was that during the convention, a yacht with prostitutes would be nearby; the Republicans would lure delegates onto the yacht and then blackmail them later. <br/><br/>The interesting thing is how all of the people involved had no problem committing actual felonies - blackmail, embezzling, perjury, and one of the most powerful moments in the documentary is the TAPE of Nixon saying he knew where he could get a million in cash to pay people off. It was all like something out of The Sopranos, with John Mitchell threatening to put Katherine Graham's tit in a wringer if anything was published about him. Astonishing. And this was The White House.<br/><br/>Woodward and Bernstein were like dogs with a bone, beautifully shown here as they continually pursue a story originally thought of as a waste, later called a witch hunt, and finally above-the-title news.<br/><br/>I'm older now, obviously, than when Nixon resigned. It was hard for me to see him as a person then. Later on, transcribing his speeches and an interview - I realized that he was an amazing speaker, and his career had been absolutely brilliant. I pity him that he felt he had to do what he did. And then I remember his comments about Jews and artists on those tapes. A very complicated man who let his dark side take over.<br/><br/>The film doesn't dwell on that, but on what Redford wanted - the mechanics of the investigation itself, the grunt work that went into getting the story.<br/><br/>Some trivia: After this film, there was a large increase in the number of applicants to journalism schools. I'd like to point out that this took place after the movie - not the book."
"paul2001sw-1","9","71","88","10 April 2005"," Truth is stranger...
","A central problem for all thrillers is that the need to find twist after clever twist means that stories escalate quickly into realms of implausibility; an apparently boring tale of low level corruption soon brings down the President of the United States. Which gives 'All the President's Men' a huge advantage over most thrillers, because this film (based on the Watergate incident in 1972) can tell such a story and support it on the basis that all of it is true. Director Alan Pakula, something of a conspiracy thriller specialist, here does a great job in adapting the book written by the journalists who broke the story: the film is never overly melodramatic, but is always tense, and although it has pair of heroes, we're left in no doubt of their selfish motivations as they work potential witnesses any way they can in their bid to nail the truth. Unlike most clichéd detective thrillers, the true nature of the crime is unknown (and arguably, remains unknown to this day), so even though we know what happened, there's an air of unpredictability to the story; reporters Woodward (played by Robert Redford) and Bernstein (Dustin Hoffman) don't know what they are looking for, even though they are certain that (somewhere) it is there. The plot is nicely paced, and even dares to skip lightly over the eventual vindication of the journalist's hunches, preferring to concentrate on how it felt for them, chasing this huge story, over a mere historical reconstruction of President Nixon's demise. Indeed, although Nixon appears in this film, it's only on television, and played by himself. This means that what we don't get is a wider analysis: a theory as to the true motive of Nixon's actions is hinted at but nothing more; nor does the film tell us whether it regards his behaviour as a disgrace to modern politics, or an mere symptom of them. In this respect, Oliver Stone's (more fanciful) 'Nixon' makes an interesting companion piece. But as a complex, gripping and understated thriller, 'All the President's Men' has few equals. Truth is stranger than fiction indeed."
"calinchiriac","8","17","19","25 June 2017"," Ever Heard of Watergate?
","""All the President's Men"" (1976) follows the investigation led by Washington Post journalists Bob Woodward (Robert Redford) and Carl Bernstein (Dustin Hoffman) on the Watergate scandal, running parallel with President Nixon's campaign for reelection. As the two lead characters see their investigation unfold, hardly, must I say, they get banged down by your usual, but not quite so, ""newspaper"" drama : missing sources, pettiness of the story, abstinence and denial by the witnesses, lack of hard evidence and, above all, threat to the survival of the Post itself.<br/><br/>This is a gripping time piece. Almost half of the story is spent at the newspaper's offices, overshadowed by the permanent key-tapping of ardent typewriters and the constant chatter of young secretaries, which add a great sense of urgency and authenticity to a typical 1970s Washington workplace, where Woodward and Bernstein, sitting face-to-face in an odd, diagonal line that becomes a subtle symbol for a head-butting professional relationship, learn to first tolerate each other (and each other's egos) before uniting to unveil the truth. The interactions between Hoffman and Redford throughout the movie are as delightful to watch as they are crucial to making William Goldman's Academy Award-winning script reach its climax. We, as spectators, pay attention to these two very powerful actors' every word with such care and eagerness without even seeing through their banter and mistakes, breathing sighs of relief when catching a loose second and setting the alarm as the next one arrives. In the meantime, we get glimpses of written notes swinging in every direction from Woodward, mainly, creating a true journalistic feel, and enthralling conversations over the phone from both characters, desperately attempting to connect with not only the people behind the scandal, but also with the obscure situation on which they vainly light their lamps on, to a point where the phone becomes a mere extension of the hand and the absence of voice on the other end of the wire provokes an expression of total indifference. The story hides behind this progressive and discreet line of events without ever declaring ""right"" or ""wrong"", and plays with the writers' heads, leading them to frustration, unaided by the pressure of their superiors, the Metro News' supervisor Harry Rosenfeld (Jack Warden) and the Post's Ben Bradlee (Jason Robards, in a sublime performance).<br/><br/>The remainder of the movie explores Woodward and Bernstein's (or ""Woodstein"", as Bradlee once cries out, interrupting the high-pitched noise of the office for more than two seconds) attempts to force the truth (or, at least, parcels of it) out of various mouths (White House bookkeepers, attorneys, lawmen, you name it) and shows with true excitement the abusive paraphrasing and deduction the two men make with a less-than-minimal amount of words or simple nods from the speakers (or non-speakers). In fact, the two are so convinced of the story's credibility that they unequivocally trade sentences for common sense, really. This is where the movie falters; its will and urgency to depict these moments rapidly makes them seem trivial and forgettable. For instance, an ""informant"" of Woodward's (""Deep Throat"", as they call him) only agrees to meet with him in a dark, underground parking, but the movie never truly gives his character the proper gravitas and importance that his name really bears, historically speaking.<br/><br/>Nevertheless, ""All the President's Men"" is the prototype of a solid and honest depiction of a historical event or, in this case, a more or less extended period of time marked by historical events. Alan J. Pakula's camera is turning around America's capital with remarkable ease, giving us the feeling that we have already been there, with Woodward and Bernstein, and capturing the charm of residential homes, the cacophony of midnight streets and the peacefulness of everyday places, such as libraries and diners. As already mentioned, the dynamics of the characters and of their relationships elevate the movie way above average, but the thoroughness to get the story ""just the right way"" makes it even greater. At some points during the movie, we are projected with real-time speeches from Nixon and his entourage or with journalistic coverage from 1972 and 1973 on a small television set in the office, further down the road from Woodward's small cabinet. As we exchange glances from the coverage on TV to Woodward's continuous typing, we take a step back and contemplate the successful effort of converting the broadcasted story into a much more intimate one."
"thinker1691","7","24","28","23 March 2009"," "" There is no greater weapon in a democracy, than a free press ""
","On June 17th, 1972 a security guard (Frank Willis) discovered a small piece of tape covering the latch on the basement door of the Headquarters of the National Democratic Committee in Florida. Calling for the police, they quickly arrested five well dressed burglars, one with $800 in his wallet. What few people knew was that these individuals would become the foundation of a massive conspiracy which involved the entire Federal community including the F.B.I, C.I.A. and other agencies working for the President of the United States. Attending the burglars at their court arraignment, rookie reporter Bob Woodward (Robert Redford) is astounded to learn one of the burglar's previously worked for the C.I.A. in the White House. The senior reporter who is later paired with him is 14 year veteran Carl Bernstein (Dustin Hoffman). What transpires in the next three years will illuminate the secret illegal activities, covert operations and deep paranoia of the Nixon Administration. In this movie, audiences are privy to the workings of The Washington Post and the enormous efforts of these two Pulitzer Prize winning journalists. Jack Warden plays Harry M. Rosenfeld the Metroploitan editor who despite his own doubts believes in the future of the promising investigative journalists. Martin Balsam is Howard Simons and Jason Robards plays stanch Ben Bradlee, the Executive Editor of the Post. Even though they realized the risks involved, they stood their ground and allow the citizens of America to see the importance of a free press. In retrospect, America also learns of the immense risk and hazardous undertaking assumed by Woodward's 'invisible' source by the then Assistant Director of the F.B.I. 'Mark Felt' who has come to be known as ""Deep Throat."" (Hal Holbrook) With his invaluable help, Americas' press reveals how even a man so powerful as a sitting President must not be allowed to believe he is above the law. The film is a great example and tribute to men of the Forth Estate. Today it stands as a Classic movie in it's own right. ****"
"phoeniks-1","10","11","12","12 December 2005"," Breathlessly entertaining movie!
","This could very well be the best political thriller ever made - in any event it is certainly the best of 1976! The account follows the painstakingly search for the truth behind the Watergate-scandal and the two relentless journalists Bernstein and Woodwards efforts to uncover the mystery. It is top-excitement from the first to the last frame, and it is my opinion that both Hoffmann and Redford do their very best work in this movie! The supporting cast is exceptionally good, including such solid actors as Martin Balsam, Jason Robards (he is fantastic!) and Jack Warden. The film is without any doubt the best work ever from acclaimed director Alan J. Pakula! You can watch this fabulous film again and again. It does not seem to date a bit!"
"ackstasis","8","7","7","16 February 2007"," ""It leads everywhere. Get out your notebook. There's more.""
","To be completely honest, coming into this film, I knew extremely little about the Watergate scandal, beyond knowing that Forrest Gump was responsible for the burglaries being discovered, because the flashlights were ""keeping him awake."" On June 17 1972, a break-in at the Democratic National Committee headquarters at the Watergate Hotel in Washington, D.C., by members of the Richard Nixon administration, resulted in a string of cover-ups and, ultimately, in Nixon's 1974 resignation. The two Washington Post journalists credited with uncovering the Watergate scandal are Bob Woodward and Carl Bernstein, later known collectively as ""Woodstein."" Their exploits are detailed in their 1974 non-fiction book, 'All The President's Men,' from which this film of the same name was adapted.<br/><br/>The scandal itself arose from humble beginnings. When a low-key court hearing for the five Watergate burglars piques the interest of Bob Woodward (Robert Redford), he and Carl Bernstein (Dustin Hoffman) are assigned to the story. At the time, it is deemed insignificant enough to involve these two secondary journalists, but Woodward and Bernstein soon discover that the scandal runs higher than they could ever have anticipated.<br/><br/>Redford and Hoffman are great in their respective roles, seamlessly stepping into the shoes of two reporters and never for a moment slipping up. Strong supporting roles also come from Jack Warden, Martin Balsam and Jason Robards as editors of the Washington Post, and they act their respective roles convincingly, as though they've been in the newspaper business their whole lives. Hal Holbrook is suitably mysterious as Deep Throat, Woodward's anonymous inside source, who arranges meetings in the eerie shadows of a deserted parking garage. Deep Throat's true identity was kept a secret until May 31 2005, when William Mark Felt, Sr stepped forward and publicly revealed the truth.<br/><br/>It would, no doubt, have been tempting for the filmmakers to exaggerate or overdramatise the two reporters' exploits, perhaps by ""fleshing out"" their characters by including their own troubling personal lives, or by throwing in a random car chase to get the adrenaline pumping. However, director Alan J. Pakula and screenwriter William Goldman have remained relatively loyal to the source material, and manage somehow keep a taut storytelling pace, despite the film consisting largely of inquiring phone calls and interviews with reluctant sources.<br/><br/>This is a stunning political thriller, the greatest triumph arising from the film's ability to keep the audience's attention, despite everybody already knowing how the story is going to end. Well, except for me"
"dgrahamwatson","10","83","121","9 July 2005"," All the presidents crooks!
","We now know that it was the FBI's number two man and J Edger Hoover loyalist W Mark Felt who fingered Nixon!<br/><br/>I'd recommend this movie, but with warnings attached to this! Firstly, Redford and Hoffman were at their best during the 1970's and their performances don't disappoint, I'm sure that they also depicted their respected characters Woodward and Bernstein very well too as they both come across as very believable as reporters or at least the stereotype version. The unkept tardy look, untidy apartments, smoking, corduroy trousers, fast food and neck ties hanging down with unbuttoned collar an shirt  you get the picture!<br/><br/>Also, For any foreigner who is interested in American political science, there are about six historical events that dominate US history. To most objective historians the declaration of independence, the US civil war and it's aftermath, the 'New Deal', the defeat of the axis powers in WWII, civil rights or even the collapse of the Soviet empire and the Berlin wall would be tops. However to the American baby-boomer generation, it is JFK's assassination, anti-Vietnam war movement, Woodstock, Richard Nixon's forced resignation and Bill Clinton's come from behind win against George Bush in 1992. Therefore 'All the president's men' is a nostalgic trip down memory lane!<br/><br/>Although the movie is clearly dated, (imagine being a journalist today without a desktop computer, a lap top computer, email, and a cell phone) it does entertain and the pacing I think is effective as it portrays the painstaking work required for investigate journalism. Redford and particularly Hoffman are believable as reporters and the movie is supported by some of the finest character actors about at the time. Hal Holbrook and Jason Robards jockey for the third spot honors with Holbrook probably edging it as the mysterious deep throat. He steals the scenes in the garage. I think there are three times he and Woodward meet and they are some of the most compelling scenes of the whole movie. Alan Pakulas style of directing certainly hit the sweet spot here. <br/><br/>Although it's well paced and it keeps your attention, the film flounders at various levels because the whole unraveling of events and the various connections between the burglars link to CREEP (campaign to reelect the president) and their link to members of Nixons inner circle is not clear. Consequently, the movie ends what appears to be in January of 1973 but Nixon resigned 18 months later? They should have jumped forward to that point before the movie finished. The viewer is left completely confused and frustrated. <br/><br/>Although having Knowledge of the Watergate break in and the Nixon resignation it's impossible to keep up with what is going on. Names such as Liddy, Hunt, Mitchell, Magruder and Dean are banded about and come up all the time but often you don't know who they are? Some narration would have been very helpful! <br/><br/>However, although Woodward and Bernstein deserve credit for keeping the story alive when nobody else was interested but it in reality was the tapes that finally buried Nixon. Once the special prosecutor and the public were able to hear is voice talking about the investigation his presidency was finished, without the tapes he probably would have survived.<br/><br/>How much of the facts portrayed in the film are fiction I suppose nobody will ever know? If I ever run into Woodward and Bernstein I'll ask them! Also for anybody who's curious on who Woodwards 'deep throat' character is they will be disappointed, as it is not revealed in any way, although that is academic now. Check the movie out!"
