"username","rating","helpful","total","date","title","review"
"donaldricco","8","13","15","2 September 2019"," Of course, my horse!
","This movie is soooo gross! The eye scene? Puke rising up to my mouth just thinking about it! Blech!!! So much excessive horror nastiness! Sick as heck, but just hard not to watch! Throw in the gorgeous women, and you've got a disgustingly beautiful horror flick!<br/><br/>I loved the Oli character - the king of swing - ""Of course my horse""! And the gang of young boys that want gum! So weird! I also liked the whole Europeaness of the film - the location, language, and overall feel of it! Lent a big piece of realism to it all.<br/><br/>My negative rant is that I wanted to know more about the town, and the people, and the ""why"" of it all. I know money is part/most of it. But I wanted to know why."
"bob the moo","Null","47","66","18 November 2008"," Deeply unpleasant on one level; thrilling on another  it works for what it sets out to do but is a very basic and cynical affair that will put many off
","Hostel was one of those films described as ""torture porn"" and, with my low tolerance for gore, I decided to give it a miss at the cinemas and dismiss it if anyone brought it up. However as it came on TV a month or so ago I decided that maybe I was being unfair by not giving it a try. It did sit on my HDD for a month though as somehow I never was in the mood until I forced myself to watch it. It does what you expect it to do and there should be no surprise that it is very gory throughout. What surprised me was how gripped I was by it as I squirmed in my seat and had the emotional ""flight"" response while sitting there. In that sense the film works because for all but the most hardened viewer it will have you feeling ill and get your heart beating. However while it did achieve this, it did it by simply going direct for being as sadistic and graphic as it possibly could.<br/><br/>In a way there is a ""build-up"" to the main gory bits but this is less of a decision so much as a necessary evil of having any sort of story. The first thirty minute or so are essentially the guys getting honey-trapped into this Eastern-European world of heartless torture and then from there we have gore for varying reasons (and here the makers give us nudity to prevent the male target audience getting bored). You never really care about the characters or the story because the tension is not about ""what is happening next"" as it is about the act you are watching. It is a cynical horror movie in this way as it has a very simple atmosphere and a very simple target or gore. While you are watching it the sheer cruel horror of it might stop you thinking but ultimately it is a soulless affair that reminds me of the viral ""2 girls 1 cup"" video. You see both are the type of thing you want to watch but also don't want to see, both also are entirely about seeing horrible things from the remote safety of your home and of course both generally get a ""hands over eyes, open-mouth but yet unable to look away"" response from viewers. This is all Hostel is going for and this is why I have real reservations recommending it because as a ""film"" it is pretty poor.<br/><br/>Those that love gore will love it though because in this area it excels. The effects are horrifically realistic and are delivered in clear, cruel shots. The actors do a great job of convincing in their pain, horror and fear and this is part of the gore voyeur aspect of the film. As characters though they are poor and can do nothing with the script other than be young and geeky/sexy/beefy/stoned* (delete as appropriate). Hoffman's portrayal of power is the only exception because, while a bit whacked out, he perfectly captures the sheer indifference to live that real evil has. Roth's direction doesn't show much in the way of subtlety but he knows what his audience want and how to give it to them. The lack of anything beyond this in his delivery or script can be easily seen in the way that the film doesn't even try to do something with the fact that we are getting entertainment from watching people torture/kill others for their entertainment. Normally in this sort of thing there would at least be some reference to this conflict but here Roth is part of his audience and sees nothing wrong at all with what he is doing  which is a problem for me, not that he needs to be ""ashamed"" but just that a film should not just be a load of filmed gore with no heart or reason to care.<br/><br/>Hostel is a gory horror movie that is entirely about being repulsed and thrilled by the graphic and sadistic acts portrayed with excellent special effects. Those looking for this will be pleased with it but the majority will be turned off. For some it will simply be too gory to watch and they will get no pleasure from witnessing hell on earth  I totally understand where they are coming from. However the majority of viewers will not be those that struggle with gore but just object to the cynical way that it is put on the screen without any real attempt at using it as part of the film or story  no, here the gore is the all and there is nothing else to watch it for. This factor alone makes me stronger in my decision to ignore this genre for what it is because being good at what you do doesn't mean that it is right for you to do it in the first place."
"requiem2872","3","237","376","6 January 2006"," Unrealistic and not scary.
","I didn't like Hostel. The premise is frightening. The idea of being drugged, kidnapped, tortured, and killed by people who are paying to do it, is a great concept for a film. It's just too bad that the movie couldn't decide what it wanted to be.<br/><br/>It starts off like ""Eurotrip"" or any number of cheesy teen sex comedies. Lots of fake boobs and characters acting idiotic, in a fake atmosphere. Scenes in dance clubs that don't look realistic. You know, the types of places where people are dancing to loud music, but somehow can talk to each other in a normal tone of voice and everything is brightly lit so you can see all the movie extras pretending to dance in the background. Just like all the clubs, I've ever been to, right? Anyway, this goes on and on until the bloodshed starts, giving us absolutely no reason to feel anything for the main characters.<br/><br/>Then it turns into the horror film it should be. The scenes of torture are effective and psychologically scary if you imagine yourself in the situation, but in the context of the rest of this movie it just becomes ineffective.<br/><br/>Then the end of the movie turns into an unrealistic revenge fantasy that's played out, for the most part, for laughs. Kids payed in bubble gum help the good guy get away by smashing the bad guys heads in with rocks as they chew away and blow bubbles. The two girls and guy who set them up are easily killed when they luckily appear in front of the getaway car. The man that killed his friends just happens to be on the train on the way home so he can kill him and somehow not get blood on himself, then continue on his way. So is the movie supposed to be realistic, scary, or funny? It's falls short of any of these things. Eli Roth needs to pick one and do it.<br/><br/>The music is terrible. Not in the fact that the music itself isn't good, but for the fact that, A: it doesn't fit the movie, and B: There's way to much of it. There's a scene where the Characters are merely walking across a courtyard, and the music sounds like it should be a fight scene in Harry Potter. Completely out of place and distracting, further telling you this is just a movie no need to feel anything for the characters or get scared.<br/><br/>You can do a good compare and contrast between this movie and ""Wolf Creek"" which came out a couple weeks ago. Everything that is wrong with ""Hostel"", was done right in ""Wolf Creek"". Both movies are about young travelers getting into horrifying situations, however in ""Wolf Creek"" the characters actually act like normal human beings therefore you feel disgusted when they get tortured and killed. It's genuinely frightening and realistic, and by all means not ""fun"" to watch. It makes you feel horrible inside. It's REALISTIC HORROR. To make a stupid analogy. If ""Hostel"" and ""Wolf Creek"" were movies about Viet Nam, ""Wolf Creek"" would be ""Platoon"", and ""Hostel"" would be ""Rambo: First Blood Part Two"". (Note how neither would be ""Full Metal Jacket"" cause it's to good to be used in this analogy).<br/><br/>I gave ""Hostel"" a 3 out of 10 for a frightening concept, and the puke was a nice touch. . . If you're about to get tortured and killed chances are you're gonna puke. . . Realism, Eli. More realism please."
"BigMez","9","547","899","20 December 2005"," Moral Choices and the Dark Side of Humanity
","I just got back from an L.A. screening of Hostel. I haven't seen an effective horror film like this in a long time. My stomach was still knotted up after we left the screening. The last time I felt like that was when I saw ALIENS for the first time about 19 years ago. Since then, no other horror film has ever made me feel like that. I certainly didn't expect it from this one. As much as I loved Cabin Fever, I'm not blind to the shortcomings of its script. As such,I was expecting more of the same from Hostel - dark humor, gore, and a sense of dread. I'm happy to see that director Eli Roth has taken a big step forward in becoming a better storyteller and filmmaker.<br/><br/>Admittedly my heart sank when the film began. The scenes introducing the main characters were blandly shot and edited. All I could think was, 'Oh no. Roth succumbed to some unseen studio pressure to make a normal-looking horror flick'. The style was typical of the what you'd see in crap like I know what you did last summer. But in very subtle ways, the blandness gets washed away and as our heroes enter the threshold of Hell, the style of the film changes as well. This, I learned during the Q&A afterwards with Roth, was intentional.<br/><br/>If you've read some of the other reviews posted here from people who saw it at the Toronto Film Festival, you get the general idea of the story. Contrary to what you might've heard, this is not a 90 minute film on torture. The torture scenes are brief and to the point. Roth doesn't wallow in pointless gore. And this is where I think it shows how he's improved as a filmmaker. He's more interested in scenes and ideas that move the story forward. Yes, there is plenty of gore, but it's relevant to the story and doesn't exist just for it's own sake.<br/><br/>One of the aspects of this film that made it so powerful was how Roth created a sense of helpless and inevitability. He provides the dark setup, throws in a sympathetic character, and begins twisting the screws and ratcheting up the suspense. This isn't a movie where you turn off your brain to enjoy it. On the contrary. The more you think about it, the more horrifying it becomes. You begin putting yourself into the character's situation and wondering what you'd do. When you realize that there is no hope for the character, no way to escape, no 'buddy' who's gonna turn up at the last minute to save the hero, and not a shred of humanity or compassion to the antagonists, real fear begins to set in.<br/><br/>Another great element in the script is how the 'survivor' makes moral choices that define their character. Instead of being merely reactive like the characters in Cabin Fever, the survivor makes several decisions which change the course of the story. It's a sign of well thought-out script and a filmmaker who cares about the fate of his characters.<br/><br/>For horror fans, this is an absolute must-see. It's so refreshing to see a horror movie that actually makes you feel uncomfortable and one in which you have no idea what's going to happen next. As for the gore, I was surprised by what they got away with. Although there were no credits at the end of the film, the cut I saw was rated R by the MPAA and according to Roth, he didn't cut anything out."
"ralph_2ndedition","3","278","458","6 March 2006"," Somewhat stylish, but very trite and predictable!
","The plot, in short: Three backpackers, two Americans and one Icelander, does Europe by train with two major goals: To get high and nail as many women as possible... In Amsterdam they accidentally learn of a hostel in Bratislava, Slovakia where sex-mad women thirst for men in general, and American men i particular. They of course decide to go there and at first it seems the rumors were true. But they soon learn that the hostel is nothing more than a front for a bizarre club, where people can pay a huge fee to get to perform unspeakable acts...<br/><br/>My 2 cents: The director and writer Eli Roths biggest accomplishment before Hostel is Cabin Fever (2002) - weather or not that is something good is a matter of personal judgment. That he got two Evil Dead'ers (Scott Spiegel and FX-genius Gregory Nicotero) interested in his script is not at all surprising. But how he got Quentin Tarantino to executive produce (and thereby act as ""posterboy"" for his flick) is, to me, a total and utter mystery.<br/><br/>Hostel has potential, I'm not going to take that away from it. The thought that a place exists where rich people pay money to torture and kill other people is interesting. And a story about a kidnapped person who finds himself locked in that very place, waiting for his assassin, should make for a great film! The film is wonderfully lit, specifically in the torture chamber-scenes. And the set-dressing in those scenes are marvelous. It really feels like Roth found these places - and just shot them as the were. But the lighting, set-dressing and potentially-rich story, unfortunately, ends the positive things I have to say about Hostel.<br/><br/>It is frustrating to see a story that could have been so exciting and horrific get so utterly fumbled up! The movie is an hour and a half long, and takes a whopping 50 minutes to get to the place that is supposed to be the scene of terror and creepiness. The nearly hour-long ""intro"" is spent observing the backpackers while they party, get high and watch naked ladies in Amsterdams Red Light-district. When the story finally starts to focus on whatever is wrong with the Slovakian hostel it points everything out to such an extensive degree that it feels like Roth wants to put a stupid-hat on every member in the audience. I sat, in vain, and waited for him to take the lid off, go ""ta-daa!"" and show me something intelligent that I had missed. But it never happens and when the lid, towards the end, slowly slides off on its own accord it turns out that the ones you suspected were bad guys were in fact...bad guys. The ones you suspected were dead...were dead. And the entire movie ends the way you suspected it would all along.<br/><br/>Jay Hernandez (Paxton) and Derek Richardson (Josh) doesn't do to shabby in the two leads. But Roth has stayed true to Hollywood formula and chosen picturesque before personality, and the bigger part has unfortunately been given to Hernandez - instead of Richardson who I thought were more likable, and more interesting to watch.<br/><br/>Spanish director Koldo Serra made El tren de la bruja in 2003. A short-film about a man who agrees to partake in an experiment and suddenly finds himself strapped to a chair in a dark room. He hears metal objects being handled and someone pacing back and forth in the room. When the light is turned on it dawns on him that he will probably be tortured to death. Serras short-film is fifteen minutes long. It was filmed in two days and is scary as hell! Hostel is both longer and has, as it first seems, more story to build on. But it still wants to base the horror in exactly the same sort of scenes as Serras short - and fails miserably! Hostel is, probably, made specifically for an American teen-audience, where drugs and naked women represent half of the movies pull. Blood and bodyparts make up the other half. If you watch this and expect anything more sophisticated than some blood and naked breasts you'll be disappointed."
"Charlotte_Kaye","1","118","187","9 July 2006"," Serves absolutely no purpose whatsoever.
","It's not scary. It's not funny. It's not stylish. It's not suspenseful, exciting, thrilling or chilling in any way. It's not intelligent enough to even be viewed as some warped social commentary. It's not ambitious enough to do anything other than present gratuitous T&A and gore in the dullest manner imaginable. Hell, it's not even entertaining. What it really is is an exercise in being completely and utterly pointless aside from presenting violent scenarios and nude women in third world countries with unlikely silicone enhanced bodies. The ""plot"" involves a trio of students (two Americans and a foreigner) vacationing in Eastern Europe who eventually stumble upon a pay-to-slay type business that specializes in making your sickest dreams come true (i.e. customers paying a high price to get to slaughter a real live person). And I am using the world ""eventually"" because it takes around an hour for this movie to get to the real horror content. First we have to sit through an excruciating hour dedicated to the juvenile frat boy antics of characters who stay wasted on booze and drugs and pay hookers for sex. A whole hour of this crap.<br/><br/>Our ""heroes"" are stupid, irritating, immature, one-dimensional and thoroughly unlikable. By the time their lives are in danger, you could care less what happens to them. I know I didn't. I was actually rooting for the generic, anonymous bad guys to tell you the truth. To make matters worse, this film has a tacked on ending that tries to let the sole survivor enact his vengeance. These scenes are absolutely ludicrous and riddled with coincidence. Certain characters just happen to be at a certain place at the right time. Hey, there's three of them now crossing the street right in front of me just as I'm trying to escape the town! Well what do you know? How bout I run 'em all over! There's another one who happens to be on the same train as me as I'm leaving the country! Well I'll follow him into the bathroom... etc. etc. etc. The end.<br/><br/>This movie is absolute garbage from start to finish. It's nothing new or interesting. There is some gore, but it's pretty much what's expected and nothing too shocking for anyone who has already sat through films like Texas Chainsaw Massacre or Dawn of the Dead. Director Eli Roth may be 35 years old, but his brain functions at the level of someone 20 years his junior based on his juvenile screenplay and uninspired direction. Roth himself later claimed he made this film ""to show Americans' ignorance of the world around them"" and in the process only ended up showing his own ignorance when it comes to film- making. Absolutely the pits!"
"olieclay","8","14","18","19 January 2007"," watch with open mind...
","Just watched Hostel for the second time and thoroughly enjoyed it again though it meanders towards the end and doesn't deliver the catharsis that the degree of vengeance could. I think this is intentional though as we aren't supposed to identify with the characters in a good way, but recognise that their ignorance and chauvinism could be our own. The feeling achieved at the end is liberating in a different sense as in we are still free to heed the main message of the film, and tuck that money back in our wallet before we spend it on an immoral enterprise, such as sleeping with prostitutes who were forced into it, despite the carefree dogma of the age. Barbara Nedeljakova and Prague both look great as well. I liked the nod to the Wickerman, and the more sinister reference of the big ovens (the other thing i got was the feeling of getting more than you bargain for when you delve into a country's history and dig up some nasty stuff. This is particularly true when travelling.)<br/><br/>One final important point is that I think although many viewers will be able to identify to a degree with the blokes in this film, they aren't supposed to be entirely sympathetic characters."
"imajestr","7","211","364","15 April 2006"," Good idea...turned to generic garbage.
","This movie really could have been so much more. The idea would have been much better off with someone who actually wanted to make a decent movie, instead of a porno gorefest. The first half of the movie consists almost entirely of sex, talk of sex, drugs, and talk of drugs. Instead of, hey, maybe develop the characters a little so the audience might care about them and make their plights a little more tense, the filmmakers decided to have a lot of party scenes and annoying main characters acting like idiots until, uh oh, we didn't plan on being tortured, oops! The sad thing is, there are hints of something more intelligent beneath the surface, but the surface is piled so high with garbage that it's lost. For example, while at a sex club (wow, original!) one of the characters mentions something along the lines of ""paying to do anything you want to a person,"" of course he means sexually, but we know the basic plot of the movie involves the same concept with death and torture instead of sex. One of the characters is supposed to seem like a nice guy, but still never really develops enough for us to care. The main character has absolutely no depth other than a childhood story and his shallow interaction with his friend. The last half or so of the movie actually starts to gain momentum, and the first half not been an entire waste of film, I could have walked away with more than a feeling that I'd just watched 15 minutes of an okay movie, and an hour and fifteen minutes of porn and senseless gore. Sadly enough, the idea of this movie was put into the wrong hands. A little less than halfway through, my friend turned to me and said, ""Maybe I picked up the wrong movie..."" to which I replied, ""Yeah, I think you got Eurotrip by accident."" I am baffled as to why they decided to write the first half like they did. I guess I was hoping for something deeper. Don't watch this expecting anything special, be ready for lots of nudity and lots of incredibly disturbing gore mixed randomly, the two not even seeming to fit like they would in a slasher flick."
"stiff5","6","41","63","15 October 2007"," Physiological Scares
","Recently I picked up Hostel at my local movie store and decided to give it a try. I finished watching it and had very mixed feelings. First off, this film is not nearly as gory and disgusting as advertised. It is although, very graphic, and NOT for the squeamish, I just expected more out of it. The pop-up scares aren't effective and the first half of the movie is all soft-core porn. So what makes this movie a decent horror movie? The physiological scares. That is what got to me. The overwhelming feeling of being tied and up and tortured to death. Having no escape. For that was very effective and stomach curdling. The sex and nudity was all not needed, but for people looking for that kind of stuff, it's all here. The acting was pretty good. No bad performances. Hostel is a kind of movie where you'll either love it or hate it. But overall, an OK horror film. Not my favorite, but not terrible."
"betterthanliz","1","178","309","6 January 2006"," Horrendous, with emphasis on the 'horror'
","I'm not sure if this is a spoiler, so I figured I should do that to be safe.<br/><br/>First of all, I didn't see this movie voluntarily. That being said, it was even stupider than I expected. Probably the worst thing I have ever seen or could even contemplate seeing. The characters were lame(I couldn't bring myself to feel any sympathy for them), the story line sucked(mostly because the story was ""see porn! meet creepy people! see more porn! watch people get their limbs hacked off by psychopaths for fun! escape! REVENGE REVENGE REVENGE!!""), the gore was over-the-top and completely sickening. I alternated between wanting to throw up and just wanting to cry, not because it was sad, or you felt extremely sorry for these poor people who were being mutilated to the tune of $25,000, but because I couldn't imagine any sane, semi-rational human being enjoying this movie.<br/><br/>I want my $7.50 back. And the hour and a half i spent with my hands over my ears waiting for it to be over."
