"username","rating","helpful","total","date","title","review"
"gogoschka-1","10","84","98","15 December 2013"," One of my favorite movies of all time
","When I first saw ""Catch-22"" I couldn't believe it was made in 1970; the structure of this film is so modern it could have been made yesterday. Frame for frame a masterpiece of storytelling unfolds before your eyes; a satire, a comedy, a tragedy: superb and unforgettable. The surreal humor captures the craziness of war in a way - I think - no other movie does.<br/><br/>The film was released at around the same time as the somewhat similarly themed ""M*A*S*H"", and while Altman's movie was a hit, ""Catch-22"" bombed at the box office. In retrospect I would say that both films have aged very well, but Catch-22 offers a much more cinematic experience and has a narrative that is as modern as anything that's being released today. One of my favorite movies of all time.<br/><br/>Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/<br/><br/>Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/<br/><br/>Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/<br/><br/>Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/"
"solojones","8","22","26","19 January 2003"," The Best Film Adaptation of the Book Possible
","The book Catch-22 is my favourite novel, and is extremely deep and intricate. It has great moments of comedy which slip quickly into tremendous moments of horror. That novel as it is could never feasibly be addapted into a live action anything.<br/><br/>However, upon viewing the film, I was quite impressed and happy with it. I'm not an unrealistic person, so I understand that they had to cut out scenes and characters and subplots to condense it for the film. Overall, of course, it lost some of its greatest moments which are in the ironic humor of the narrative style of the book. But it was not a bad film at all. In fact, I thought it was one of the best adaptations I have seen. I think almost everything you see on screen happens in the book.   <br/><br/>Apart from that, it was extremely well casted. The characters were just as I have envisioned them in my head while reading the novel (except that Major Major shrank about a foot... but that's not matter, because Bob Newhart was great anyway). The cinematography was beautiful, the acting was awesome (Alan Arkin was perfect), and the flashbacks to Snowden were done stylishly and surrealistically. <br/><br/>Basically, it's a good movie. But it's an even better movie if you've read the book, and you know exactly what is going on in some of the characters' heads and what is going on outside of the scenes we see in the film. Overall, I think this is the best anyone could have done with this adaptation, and I applaud the filmmakers for that."
"tedg","Null","222","327","19 June 2000"," We Hate This, That's the Catch
","This is great film-making. I have never experienced greater skill with sound editing. The acting is terrific, the writing crisp and intelligent. The conception deeply nested. Why has the viewing public discarded this film? Interesting question.<br/><br/>Usually the answer is that the film is a poor evocation of the book. It is, of course; films are fundamentally different beasts than books, so the closest one comes is to have congruence of story. But the story is the least important element of either fine books or movies. No intelligent viewer looks for sameness in an adaptation.<br/><br/>I think the reason is simple. We are happy to accept war as heroic. Deep down, that's what we believe; whether as an inescapable fact of evolution or of chauvanistic indoctrination. Against this backdrop, we apply the stuff of our apparent convictions: that war is funny (MASH, the escape movies) or grossly brutal and confusing (Platoon, the first part of Pvt Ryan-- which then reverts to the noble). We just cannot accept the view that war comes from stupidity and selfishness, because it convinces that we, all of us every one is at root stupid and selfish. <br/><br/>This movie is so good, it convinces of that fact, and that's why no one wants to watch it. So no one is convinced. That's the catch."
"longlivetheweekn","8","23","29","2 April 2011"," Bravo...Loved it
","I am in love with this book, so when I saw that there was a movie I flipped out and ordered it right away... and it was fantastic. I love the actors and I love how Nichols directed it. However, I was disappointed of the changes they made, where's Dunbar? He was like my 2nd favorite character. He was Yo-yo's best friend.... Also, they said it was Hungry Joe who was cut in half by McWatt, but it was really Kid Sampson, I could see how they didn't want to have too many characters to keep up with (in the book I felt like that was true) but still, Hungry Joe was...amazing, he was hilarious. Also, I'm not sure if I liked how Nately died, opposed to the books version. I suppose it made more since to kill him off when Milo's deal (the bombing thing), but it was when he died in combat mission that really broke Yossarian. I think Jon Voight did an fantastic job of Milo, he was really how I pictured Milo, I was really excited about that. The poignant walk through Rome that Yossarian takes, was so, perfect as well. But all in all, this was an excellent portrayal of the book, I totally imagined this movie (the settings, what Yossarian looked like, everything pretty much) as I was reading the book."
"Brooklynne","Null","158","236","24 December 2004"," Don't buy or rent the VHS or Laser editions of this movie!
","CATCH-22 was filmed using a widescreen aspect ratio of 2.35:1 (an image almost two-and-a-half times wider than it is high). Every inch of the picture area was used by the cinematographer for important information. If you watch the horrible, cropped pan-and-scan version, which is all you can get on either VHS or Laser Disc, you are missing close to 40% of the intended picture area and a great deal of important stuff! I've seen this desecrated version and, be warned, you will not even understand the final flashback revelation because it is not even in the frame!! People who can't stand those ""black bars"" on the top and bottom of the screen are going to miss the entire point of this movie!! Rent or buy the DVD, which is widescreen and restores all this critical image area. Do not judge this film if you can't see it all. I have to wonder how many of the previous reviews here are based upon the unbelievably butchered VHS version."
"bobshankjr-2","10","22","28","17 March 2012"," Sanity trying to make sense of the insanity of war
","Despite it's 42 years since initial release, still one of the best films ever made and directed about the insanity of 'creating' war - and the mindlessness and trauma suffered from its consequences of both those conscripted to engage in it and neither more nor less than the civilian victims of it's long-time aftermaths. Warfare's far-reaching ramifications touch us, individually and globally, even into the 21st Century and beyond. Being philosophically cogent of war's deep-seated egoistic, bizarre and greedy nature of those who foment it may not get you a Pulitzer, but perhaps you may garner a 'Catch 22' medal from those of us who've managed to live through them. Mike Nichols et al, within this film, remind us of war's senselessness and of it's bitter and long-effected remains. Superb, finely crafted, and in my sense, a must-see for 2nd and 3rd generation adults."
"scottydawg","10","38","53","14 July 2009"," Beyond perfect
","There are several films I consider perfect. Not all are brilliant.  There are quite a few I consider brilliant, and only a few of those are  perfect. Catch-22 is not only perfect, but if there is a stronger word  than brilliant, it's that too.  The camera shots, the editing, the sound, the pacing, the casting, the  flawless acting, the incredibly complex staging of many scenes: all  done to perfection. Mike Nichols directs films sparingly, but his list  of titles reads like a who's who of the greatest classics. Catch-22 is  his masterpiece, as far as I'm concerned. You may not know that he  earned an Oscar (not for this), a Tony and an Emmy all as best  director. He may be unique in this regard, but I don't know.  The book was absolutely wonderful. No movie can be an exact depiction  of the book--it just doesn't work that way. However, this movie  delivers the story, spirit and theme, not to mention the egregious  comedy of the book better than I ever would have imagined.  I could write a whole book on what I like about this film, and I won't,  but after all my sweeping superlatives I need to cite a few concrete  examples.  1. The mess hall conversation with Martin Sheen and others: very  complex, with overlapping dialog, wonderful facials and voice  characterization by Sheen and a few timely cuts, not to mention the  incredible rapid fire lines delivered by Arkin.  2. The runway scene with Doc and Yossarian in which the essence of  catch-22 is explained: the sound--the roar of the engines that almost  but not quite drown out the dialog in spots, the incredible inverted  shot of Doc handing Yossarian his hat and responding, ""it's (catch-22)  the best there is!"" Then, the incredible visual of the planes taking  off--staying with the shot, showing the sheer beauty of it and pausing  from the story for a minute, so we can catch out breath. I would say  Nichols is Hitchcock's equal at providing incredible visuals and being  innovative at doing it.  3. The scene about Nately's 60 shares of M&M Enterprises. The cut to  the close up delivery of, ""then they'll understand."" Exquisitely  chilling line.  4. The endless stream of priceless cameo scenes: Orson Welles - ""Take  that man out and shoot him."" The movie is outrageously funny, the  script and dialog are incredibly witty and intelligent, the acting is  inspired, the theme is clear without touting itself at all.  A final aside: for those of you who were not in the military, I  wouldn't be surprised if you thought the whole military depiction was  just silly beyond words, but I can assure you that it's only one or two  degrees of hyperbole. I had my share of Yossarian-like experiences in  the navy."
"VerbalK001","9","16","20","21 February 2002"," Extremely Underrated Adapation
","This film suffers from the fact that so many have already read the book and look to pick apart every scene that doesn't synch up.  I read the book and I think it helps to watch the movie if you are at least familiar with the themes of the book, but I still think the film stands alone in its genre, somewhere behind Stranglelove, MASH and Full Metal Jacket (all movies influenced by the book).  A lot of the acting comes out cartoonish, but I think they were cartoons in the book as well.  That was a theme of the book and the film; the artificiality of people playing roles in war.  I thought Voight was excellent as Milo and Perkins played a perfectly reserved Chaplin.  This was Arkin's film, and I though he carried it off.  I also found the Snowden flash backs as an interesting choice for the movies pivot. <br/><br/>I've seen the film with people who did not read the book, and some unaware of the book, and I think most had very positive impressions of it.  Yes the book is a more fulfilling experience, but that is almost always the case.  I understand that the film disappointed when it opened and all the stars ended up despising each other.  I think that reaction tainted the film for several years.  I think that the film has appreciated with age and really stands today as a great underrated piece of work.  I think at some point if will be rediscovered and be placed among the best black comedy/farce/war movies of its time."
"enddust","9","105","167","17 December 2000"," Funny yet disturbing. . .
","I recall hearing Catch 22 author Joseph Heller state that he started writing the book by writing the ending first and then working on the beginning and so on, back and forth. I'm not sure if he was telling the truth, but the book is certainly based on his own experiences as a bomber pilot in WWII and the book/movie's nonlinear, stream of consciousness structure is an obvious demonstration of the randomness and madness of war. An earlier post said that this movie reveals that at heart wars occur because people are selfish and stupid, and I think that is correct. Even though this movie is funny it reminds us of this unpleasant fact, so we avoid the movie altogether.<br/><br/>Made back in the early 70s during that brief period when Hollywood actually made intelligent and artistic first-run movies, the film is an excellent piece, from its all star ensemble cast to its writing and pacing. The movie is also a sad reminder of how shallow and simplistic and adolescent movies are today. Even fine films like Saving Private Ryan have much less complexity and trust their audience less to contemplate the possibility of an amoral and senseless universe. The mythic characters, comic book pacing, and sacred three act narrative structure and tight endings--even sad ones--that tie up all the loose ends and make us feel good about ourselves and our country are the order of the day. And with this new administration look for more movies that pat ourselves on the back rather than question. .."
"pontifikator","8","13","17","10 April 2011"," Brilliant screenplay
","Directed by Mike Nichols, the screenplay by Buck Henry is totally brilliant. The novel by Joseph Heller is itself brilliantly written, with nuances and subtleties many readers miss. Henry caught the gist of the novel and got it on screen, using the device of returning again and again to an airplane with a scene we don't fully see, showing us a little more each time, then fading to white as we get the voice over of the next scene. We get the circularity of the novel and the scattered sanity of Yossarian as he struggles to keep his shredded reality less tattered if not totally intact.<br/><br/>The cast is incredible. Nichols gives us an all-star cast without the drivel of such disasters as ""A Bridge Too Far"" and ""The Longest Day."" The cast includes Alan Arkin, Martin Balsam, Richard Benjamin, Buck Henry, Bob Newhart, Anthony Perkins, Paula Prentiss, Martin Sheen, John Voight, and Orson Welles, among many, many others.<br/><br/>Henry had to make a movie out of the novel, so he made some hard choices, excising characters and situations that some find disappointing. My suggestion is to see the movie as the movie without comparing it to the book; on the other hand, I'm astounded at how well Henry captured the essence of Heller and his work. Jon Voight is chilling as Minderbinder, who is in my very humble opinion the lynchpin of the movie. When Minderbinder tells Yossarian, ""Then they'll understand,"" the full impact of World War II (and who's the real enemy) shatters Yossarian's weakening sanity.<br/><br/>For me the end of the novel and the end of the movie are unsatisfying, but the ride is still worth it.<br/><br/>Trivial notes concerning the people involved in the movie. Mike Nichols also directed ""The Graduate,"" with Anne Bancroft and Dustin Hoffman. Charles Grodin (Arfy Aardvark) was supposed to play Benjamin, but couldn't agree on a salary with Nichols, so Bancroft suggest Dustin Hoffman to Nichols - she'd heard about Hoffman from her husband, Mel Brooks, who had just signed Hoffman for his movie ""The Producers."" Hoffman bailed on Brooks and did ""The Graduate"" instead. Norman Fell (Sgt. Towser) played Benjamin's landlord in a short scene (also involving Richard Dreyfus) in ""The Graduate."" Bob Balaban (Capt. Orr) was in ""Midnight Cowboy"" with Jon Voight (and Dustin Hoffman, of course). Buck Henry wrote a TV series for Richard Benjamin (Major Danby), who is married to Paula Prentiss (Nurse Duckett). Orson Welles (General Dreedle) did the voice-over narration for Mel Brooks's ""History of the World."" Mel Brooks and Buck Henry developed ""Get Smart."" Bob Newhart (Major Major Major) and Peter Bonerz (Capt. McWatt) were in The Bob Newhart Show together. And Susanne Benton (Dreedle's WAC) had a completely unrelated role in the totally unrelated ""A Boy and his Dog."" Hollywood is a small town."
"JASJ","10","11","14","29 April 2000"," Madness at its best.
","Brilliant, quirky, unpredictable amusement.  Thought provoking, shocking and hilarious.  A stellar cast carries the tone from serious to lunacy with astounding grace.  Cult Classic.  Not for everyone.<br/><br/>Possibly for fans of: Fear and Loathing in Las Vegas, Where the Buffalo Roam, Fargo, Trainspotting, Drugstore Cowboy, Bonnie and Clyde, Blue Velvet, Man Bites Dog, Kicking and Screaming."
"russellalancampbell","9","9","11","30 April 2017"," The ""Unfilmable"" Novel - Brilliantly Brought to Life
","My father was stationed on an island off Borneo during WWII from which air raids by American bombers supported by Aussie and American fighters were launched against enemy held islands. When I watched ""Catch 22"" with him, I expected he would be confused and slightly offended by the film's treatment of war. To my surprise, dad said that the film's depiction of war and those who fight them was not so exaggerated as one may think. The brass who send the men out on missions of no strategic importance to raise their own profile, the wheeler dealers, the earnest and ineffectual chaplains and all manner of crazies mixed with men whose only desire is to survive. My father also said that the mixture of comedy, drama, satire and surrealism reflected the strange dream of warfare very well. For my part, I can watch this film once a week for the rest of my life."
"john-3109","10","20","29","4 March 2006"," Heller on Earth
","Mike Nicholl's (1970) film of Joseph Heller's book 'Catch 22' - published 9 years earlier - is set in a US bomber unit during the latter part of the Second World War in Italy. Heller himself served in Corsica as a bombardier on B-25 Mitchell bombers, the aircraft which feature in the film. He flew 60 missions. Buck Henry, who plays Lieutenant Colonel Korn in the film, wrote the screenplay.<br/><br/>We find our hero, bombardier Captain John Yosarian (Alan Arkin), as entrenched and battle-crazed as the other confused and confusing members of this unusual army air force unit. <br/><br/>In conversation with Colonel Cathcart (Martin Balsam) and Lt. Col Korn (Buck Henry) as the film opens, the substance of his conversation is lost beneath the roar of aircraft taking off nearby. As he walks away from the conversation, he is murdered by a civilian who is apparently gardening, near to the base of the bombed out operations tower.<br/><br/>The course of the film takes us on the nightmarish journey leading up to this apparently motiveless crime. <br/><br/>It has to be understood that where human beings of any age or nationality are forced to remain in circumstances that are sufficiently challenging and unremittingly life-threatening, they evolve a series of unique and often incomprehensible strategies to protect what's left of their own sanity. <br/><br/>As the film develops, we begin to get a feel for how each individual in the unit fights their own personal battle to preserve their sanity in this intractible situation. <br/><br/>Among these people, Yosarian seems to be rather special. Not the sharpest tool in the box, yet he alone seems to keep some fragile sense of what is intrinsically absurd in his surroundings and what is simply the product of the confusion in the minds of the other members of his unit. Or maybe we just get sucked into Yosarian's own particular madness and see all the others from his own beguiling perspective.<br/><br/>Along the way, we get to know the company Doctor (Jack Gilford) who is the first to try and explain 'Catch 22' which turns out to be the meaningless apparent solution to a conundrum that seems to underpin everything the army thinks or does. It's as meaningless as the old rhyme <br/><br/>'Mother may I go out to swim ?' 'Yes, my darling daughter.. Hang your clothes on a hickory limb But don't go near the water !'<br/><br/>Doc Daneeka hates flying, so flies on paper as an absent passenger. But when the plane he is logged as flying in crashes, even the suggestible Sgt Towser (Norman Fell) is so switched off and tuned out that he can no longer believe the evidence of his own senses. He is no longer sure what he is permitted to acknowledge as real and happening.<br/><br/>Major Danby (Richard Benjamin), leads the flight briefings apparently under the impression that he is fronting in a TV commercial for soap-powder aimed at suburban housewives. While mess-officer Milo Minderbinder (Jon Voight) manages to avoid combat duty by bartering most of the operational equipment for contraband, returning later having cut a deal to bomb their own base.<br/><br/>This film is a tremendous portrait of ordinary people in really extraordinary circumstances. By the time we see Yosarian endearingly using the army's twisted logic to gently seduce an Italian girl who has become more accustomed to bartering intimacy for cigarettes and stockings, we realise that we too have somehow finally cracked."
"george-mejia","9","61","101","6 November 2004"," But wait, there's a catch....
","The first time I watched this movie, I was about 13 years old, and I loved it. Over the years I have watched this movie on more than one occasion and I still loved it. It inspired me to read the book, I watched it again, and guess what, I still loved it.<br/><br/>The movie like the book has a non-linear time line which may confuse some people, but if you concentrate you will have no problems following the story (even on the first viewing). The structure of the film is what gives it such a high re-watch value, each time you watch you'll find something new about it.<br/><br/>The stellar cast, give performances which vary in quality, with some of the smallest roles being extremely entertaining, but overall the ensemble delivers the goods. The direction is tight given the complex structure and the amount of material covered in the book.<br/><br/>This film always gets compared to *M*A*S*H*, which is also a good film, but I find Catch-22 provides more laughs while delivering, the more serious, anti-war message.<br/><br/>If you haven't watched this movie yet, I highly recommend it."
