"username","rating","helpful","total","date","title","review"
"La Gremlin","10","252","262","2 March 2001"," Nothing short of miraculous
","Stop and think about this movie for a minute, and you realize that we are unbelievably fortunate that it even exists.<br/><br/>Think about all the different cartoon characters who have cameos here. Think about how their respective owners had to put aside decades of competing against each other for gags that would last a few seconds of screen time.  Realise that, before this movie, the idea of combining fully rendered animated characters with live action footage was considered impossible.  And how the hell do you market a movie that includes both murder plots and fuzzy little cartoons?<br/><br/>This movie is a miracle.<br/><br/>I absolutely loved it as a kid, and although parts of it flew over my head I really did not care.  I did know that this is what animation can do when all the ""rules"" are totally ignored.  And why shouldn't they be?<br/><br/>Now, as an adult, I appreciate ""Roger Rabbit"" for its gutsyness.  There is absolutely *nothing* like this anywhere.  It gets a solid Ten."
"Smells_Like_Cheese","10","175","192","8 February 2004"," ""Who framed Roger Rabbit"" is a classic
","I was a little surprised that ""Who Framed Roger Rabbit"" wasn't on the top 250. Almost everyone loves this film. It was a major breakthrough for movies. The cartoon world meets reality.<br/><br/>Bob Haskins is to die for in this film, he plays such a great American detective and he didn't have much to work with. After all when he was talking to Roger, he wasn't really talking to anybody since it was a cartoon character. I love the way he develops his role so much, how he goes from this stick-to-the-book and all cartoons are bad to this lovable goofy guy due to Roger's insatiable love for life and cartoons. It's silly because it's a cartoon, but Roger and Bob clicked so well and are unforgettable.<br/><br/>Christopher Lloyd... shudder! This guy gave me so many nightmares as a kid from his character as the judge. The ending where he reveals his true form, he is just terrifying and effective. Jessica Rabbit is so cool and sexy for a cartoon. She's just too much fun for this movie and is wonderful as a cartoon. ""I'm not bad, I'm just drawn that way"". My favorite scene is without a doubt when Eddie(played by Bob) is looking for Jessica and meets the crazy look-a-like in Toon Town. Just great and hilarious. <br/><br/>Come on, fans! This is a terrific movie and deserves to be on the top 250 films of all time! It's a break through for cinema history and movies in general. It's a great one! I'd highly recommend this for the family and friends or just a Saturday with nothing to do.<br/><br/>10/10"
"klaypariah","10","68","74","12 November 2004"," One of the best of all time
","When this original movie was conceived and released in 1988, it was seen as a movie for the kids, but it soon found its way into the hearts of moviegoers everywhere. This was a landmark movie, cementing skills from all areas of Hollywood, from the budding special effects industry, to the acting skills of Bob Hoskins, to the SUPERB directing skills of Robert Zemeckis, to create one of the most impressive movies in Hollywood.<br/><br/>While this movie was not the first of it's kind, it was definitely the first to have cartoons and real actors interact so seamlessly, and it is impressive that it was made over 15 years ago. Another impressive part of this movie is the soundtrack, using the classic 20's jazz song ""Why Don't You Do Right?"" to bring back the old jazz club scene, to make for a truly authentic feel from a cartoon character, as well as the detective music used all originally composed. All around, this movie is one that I Grew up with, and children and adults will be enjoying for decades to come, because Who Framed Roger Rabbit will be a classic in the movie world for a long long time."
"Valeen_the_II","10","21","22","17 November 2006"," Smile Darn Ya Smile
","This movie is excellent! It's funny, suspenseful,& witty. The leads, Roger & Eddie are likable in their own unique ways and the FX are breathtaking! Bob Hoskins & Chris Lloyd deserved Oscar nods IMO.<br/><br/>WFRR is what most of today's CGI films ""pretend"" to be! A mature, family film that people of many generations can enjoy!<br/><br/>Anyone who hasn't seen this film I definitely recommend it! If you like quirky comedies,fantasies, suspenseful films, or are a cartoon geek watch WFRR!...<br/><br/>As a huge fan of all things comedic, I love the film's message about laughter! <br/><br/>When the film opens, detective Eddie Valiant (Bob Hoskins) is this disenchanted, cynical alkie who hasn't gotten over the murder of his brother who was killed by a toon...Because of this Eddie[ who was once known for his penchant for solving toon-related cases, getting the colorful playful creatures out of trouble] resents ALL toons now and refuses to work for or with them. <br/><br/>Too bad Roger Rabbit doesn't know this. He is a toon who is wanted for a murder he didn't commit and hounded by the creepy & corrupt judge/jury/executioner : Judge Doom. Thus he seeks Valiant's help. During their search for the true killer and their evasion of Judge Doom & his weasel cohorts, Eddie wonders how Roger can have such an exuberant clownlike spirit in the face of possible death. Roger tells Eddie ""a laugh can be a very powerful thing, why sometimes in life it's the only weapon we have.""<br/><br/>The tone of the film is a mixture of dark noir frenetic tooniness a sultry yet strong damsel (the one and only Jessica Rabbit) and social racial allegory.<br/><br/>The film's theme of minorities (the toons) vs. genocide & ""the man"" (Judge Doom)....And of Eddie's prejudices against toons (due to his brother's murder) disappearing at the end, thus he overcomes his alcoholism and grief or Roger's very motto of ""Laughter is a powerful weapon"" and how that helps Eddie in the final showdown (by killing the weasels with laughter and thwarting Judge Doom with a toon prop that malfunctions his diabolical machine). <br/><br/>American Pop-culture & escapism ARE powerful weapons against misery, hatred & life's hardships in general. And they help unite all different walks of life.<br/><br/>WFRR takes place in the WWII era towards the 50s...While the 40's were a time of American unity, escapism & pop-culture (what the ""toons"" represent) The 50's were more about cold hard, capitalism technology & being superior..I feel that the megalomaniac villain represents THAT as well as the racial/cultural insensitivity that came with the 50's.<br/><br/>But no matter how you interpret WFRR it's an American masterpiece! There seems to be some controversy on what age it is appropriate for....Be warned this film IS violent loud climatic and more likely than not, will scare a young child. But if you are a parent you have to know your kid and realize what will give him or her nightmares. Having said that, even if you won't let junior watch it, that doesn't mean you, yourself can't enjoy it, the next time it comes on Encore Mystery. <br/><br/>There are a lot of ""Judge Dooms"" these days...People who are perpetually serious & full of themselves & really have NO sense of humor at all...Don't be a Judge Doom...Watch this movie!"
"linkola","9","62","72","9 January 2000"," Great fun for kids and adults alike.
","I'm a fan of both cartoons and film noir movies, and so Who Framed Roger Rabbit was a great experience to me. Set in the 1940's, in a shadowy atmosphere reminiscent of Bogart classics such as The Maltese Falcon, the movie blends in cartoon characters and live actors almost seamlessly. For me, one of the most interesting aspects of the movie was seeing Disney and Warner Bros cartoon characters in the same scenes - for the first time in film history, I believe. Who could forget the piano duel of Donald and Daffy? The live actors were a bit theatrical and over-dramatic at times, but not to an extent that would have made the film unbearable or bad. The cartoon characters saved a lot, too.<br/><br/>Fast-paced, entertaining film that can be viewed by anyone. I liked it very much."
"au_law2001","10","48","57","7 January 2005"," Boy, this is something I'll treasure and remember always.
","Oh, this is the first movie I've seen to have live characters and cartoons come together, maybe not for the first time, I've seen Jerry dance with Gene Kelly once, but that's another movie! Anyways this was my childhood favorite and perhaps an all time, and will always be a favorite to me. Every time I watch there is a magic moment, that the cartoons we all loved as kids are still the best today, even though we are into computer animation, Batman, X-Men, or anime, we can never say we hate those old Looney Toons or Disney shows. And the antics and jokes and gags and gimmicks they did will always remain the funniest, even though we dig jokes from Saturday Night Live or sex jokes these days. This is also the first time I've seen Disney and Warner cartoons for the first time! And not to mention Betty Boop and Droopy! Overall, this is the best animated and live movie the whole family can enjoy, and fans of the old cartoons will love. Recommended to all fans of cartoons of the golden years of Disney and Warner. Thank you Disney, thank you Warner. And if liked this, I recommend you play the video game Kingdom Hearts, this time it's Final Fantasy/Squaresoft and Disney together! >>>> 10/10"
"rogerebert","Null","74","91","1 August 2001"," A film Classic like no other
","To make a great classic film i think it has to work on several different levels and this one not only plays on many different levels It scores tremendously.<br/><br/>It is a great childrens movie. With zany classic characters such as Roger, the Weasles, and Benny the Cab. They are original crazy and fun. Also it is a mystery. It plays perfectly as one of those Old 50's detective stories. It is a milestone in film making. The scenes of the ""toons"" and humans sharing a world is great. I think the best scene as special effects go, is the one where Eddie and Roger are handcuffed together in his office. It looks so real!!!!! This movie is fun and creative and will go down in movie history. I don't know what else to say it is simply the best.<br/><br/>Also do your self a favor and steer clear of the bad rip off Cool World."
"Quinoa1984","10","55","68","31 July 2000"," The best family film of the 80's
","I say this film is a family film because that is what it is.  Anyone in the family will like it.  It pitches it's animated rabbit to the kids, and for the teens and adults, they can look for humor in other things.  The plot is a complicated one (like most detective mysteries) that brings a drunken detective back to the detective game of cartoons.  Sometimes funny, sometimes compassionate, always entertaining.  With director Zemeckis bringing one of the best animated films in a film that is half live action/half animated. It is a landmark in visual effects and nothing like this will ever come around again.  A+"
"vidarandre-96341","10","8","8","26 December 2018"," An Absolute Gem
","Made in a time when everything didn't have to be PC. The fact that all the respectable cartoon ""owners"" came together and gave their accept to this movie is nothing short of a miracle.<br/><br/>The combination of playfull cartoons and a murder plot, drinking and smoking etc, is outstanding and I find it hard to imagine that this could've happend in today's ""perfect"" society, sadly.<br/><br/>Great movie, great animation, great actors and great plot. 10/10."
"goya-4","9","34","42","10 December 2000"," technical marvel and a great comedy
","Who Framed Roger Rabbit is one of the zaniest and smartest movies to come out in a long time..Directed by Robert Zemeckis who later did Forrest Gump and Castaway among others, it stars Bob Hoskins as a washed up private eye in the 50s who gets dragged into a murder investigation in Toonland to help unravel a mystery and prove the innocence of a toon Roger Rabbit.<br/><br/>One of the real treats of the movie is Kathleen Turner who does the voice of Jessica Rabbit..She is a perfect choice with that sexy sultry voice. The movie is great fun for the whole family..there is a little innuendo but like Jessica says..""I'm not bad..I'm just drawn that way""<br/><br/>A real treat! Holds the record for most credits at the end of a movie (937!) On a scale of one to ten... 9"
