"username","rating","helpful","total","date","title","review"
"slimjack","Null","197","261","30 January 2003"," Terrific Entertainment!
","Gangs of New York is just perfect entertainment. It is an enthralling, bloody, melodramatic epic that more than justifies its two and one half hour running time. In Gangs director Martin Scorsese spins another tale of the New York underworld but with a twist. Instead of the mid-twentieth century organized crime milieu of Goodfellas, Scorsese ventures back to the 19th century to show us the origin of the modern street gang.<br/><br/> It's the early 1860s and the notorious Five Points slum is ruled by the savage `Bill the Butcher'. The viciously nationalistic Bill terrorizes all the immigrant masses jammed into his slum but seems to harbor a particular hatred for the Irish population. Into this seething cauldron wanders mysterious young Amsterdam Vallon who soon works his way into the trust and affection of Bloody Bill. Amsterdam, however, has a past with the unsuspecting Butcher and sports an agenda not unlike a certain Prince of Denmark. Bloody vengeance and dark betrayal soon come to pass, all played against a backdrop of corruption and unrest that lead to up to the horrors of New York Civil War draft riots.<br/><br/> Daniel Day-Lewis is marvelous as Bill the Butcher. His Bill is both recognizably human and a full bore, moustache-twirling villain. Day-Lewis strides his savage and profane way across the screen and steals the whole of the movie. The only other actor to approach Day-Lewis' level is Jim Broadbent as William 'Boss' Tweed. Broadbent is Tweed's spitting image and he makes the grasping old pirate so winning we find ourselves rooting for Tweed against the gaggle of reformers that infest his domain.  Though Leonardo DiCaprio is the nominal lead of the picture he is overshadowed by his co-stars.  Large, slope shouldered and vaguely brutish looking, DiCaprio is physically perfect for Amsterdam.  While he could have used some of the fire and rage of a young James Cagney, DiCaprio's acting is superior throughout the movie. The problem is that Amsterdam just isn't as flashy a role as Bill or Tweed and, as good as DiCaprio is; Day-Lewis operates on a whole other level. Cameron Diaz as the beautiful pickpocket Jenny,  never convinces that she is a product of the slums. Despite having considerable screen time, Diaz fades into the background when compared to her more powerful co-stars.<br/><br/> Just as important as the actors are to Gangs is the period atmosphere that drips off the screen. The amazing old New York set has an air of lived in reality that you could cut with a knife. You can almost smell the vermin. Gangs is entirely free of the embalmed feeling you get from most modern period movies.  The cast handles the period argot as if it were their true speech and wear their costumes like lived-in clothing. You come away convinced that this is how the world looked and sounded in 1862.<br/><br/> Scorsese does eschew all nuance and subtlety in Gangs. Instead he tells his tale in wide, bold, exploitive and melodramatic strokes that make the movies two and a half hours fly by. Be warned that if you are waiting to see Gangs on DVD you are making a huge mistake. Gangs has to be seen at the theater. The detail and scope of the film cries out to be viewed in all its wide screen glory.  This movie is a fantastic achievement."
"Rosacrux","Null","225","307","12 February 2003"," He actually did it!
","You'd think Scorcese has bitten a bit more than he could possibly chew, this time. Well, he didn't. Gangs of new York is not an ""epic masterpiece"" and it ain't that because I seriously doubt the directors aim was that. It's a great movie in it's own account, but you have to watch it in the right way.<br/><br/>The plot: Tight enough and well paced, with a couple of lows (expected for a three-hour film) but generally it comes out pretty neat. Some may find it disturbing, as it contains extreme violence and it does not portray an America of happy workers, even happier slaves, benevolent rich and just authorities - instead, it portraits the true 1860 society. Definitely not for those who like their films with plenty of sugar on the top.<br/><br/>The epic and the drama: Well, basically the film is the story of two men. Around them things evolve and a brave new world comes forth - but we only get to watch snapshots of that world. Until the last sequence, that is when the whole city ""explodes"" (in some occasions literally...) and the streets are being covered in blood, and the two aspects (the main story and the events of the era) are being tied together in the same continuum.<br/><br/>At the same time, the director attempts to portrait the whole birth and growth of the United States, in a kind of parabole, but without loosing his focus on the main story and the surrounding. Scorsese dives deeply into the psychology of his heroes, without giving out any explanation of their acts other than the probable - he lets us figure it out ourselves, and that's a God-given gift.<br/><br/>The visuals: The film is disturbing, as it contains extreme violence. There are literally streams of blood, hacking, slashing, crushing - even some action movie fans (hey dude, look, he smashed his head with that thing... cool, man!"") might find some parts of the film interesting. The last sequence is visually astounding, and it's by it's own account a reason to watch this film over and over again... if you got the stomach to actually cope with the disturbing images, that is.<br/><br/>The actors: I didn't think it would come a day when I'd say that Leo Di Caprio can act, but ...here I go: The kid can act. And quite good too. Guess he needed a Scorsese to put him in the right path. Same with Cameron Diaz - she has got some potential, seems so. Too bad she wastes it in films like ""the sweetest thing"" and other throw-ups like that. And... Daniel Day Lewis. Truly, with this performance, they should give him the Academy award. He portrays the vile ""Butcher"" in a way few would be able of, and he adds depth to a character that could very easily end up ""two-dimensional"". He is stunningly good.<br/><br/>New York, New York: Scorsese gets involved in something that compares to his previous work the way a fancy little sports car compares to a huge truck: A grandioso film of epic proportions and of great ambition. He does deliver, I believe. But this film shall not be acknowledged universally, because there is too much violence, corruption, lack of the good old white vs black (good vs evil, I mean) concept and does not sweeten the pill in any way. It's disturbing and raw, and it's a great. It's not a political film - in such, the director usually picks a stance, a ""true"" hero, an opposing view, and builds upon those. In this case, the director is truly endistancemented and keeps that distance, even from his ""hero"". There are no ""good"" people in that movie, all are acting like chess pieces in a predetermined way, but at the same time they try to burst out and do their own.<br/><br/>The verdict: A fabulous film, which is going to be recognized for such in some years"
"Buddy-51","Null","112","150","26 January 2003"," great filmmaking overcomes banal story
","Finding yourself brooding over the sorry state of civilization lately? If so, I would strongly recommend you take a trip to `Gangs of New York' and see how much worse things USED to be in the not too distant past.  The film is Martin Scorcese's epic paean to the Lawlessness That Made America Great, a theme most often explored against a Far West backdrop, out on the open prairie or in two-bit towns like Tombstone, Arizona or Dodge City, Kansas. Here it's been transferred to 1860's New York City, which in Scorcese's vision, turns out to be a veritable Dickensian hellhole of vice and corruption, a place teeming with rival gangsters, pickpockets, corrupt politicians, lawbreaking policemen, and even firefighters so obsessed with matters of jurisdiction that they do physical battle with rival departments while an unattended building goes up in flames behind them.  This is a world where life has no value and where a man's existence can be snuffed out without so much as a by-your-leave or a single person left behind to mourn him.  The members of these rival gangs make the Sharks and the Jets - who would make their appearance on the same turf a full century later - look like mere pantywaists in comparison.<br/><br/>Visually, the film is a masterpiece, offering some of the best cinematography, art direction and costume design of any film released in 2002.  With the help of some master craftsmen, Scorcese has created a complete world unto itself, one that doesn't look quite like anything we have ever seen on film before.  The setting provides a stunning mixture of the real and the surreal, with everything from the clapboard buildings to the foot-tall hats deriving their style from extrapolated exaggeration. It is truly an astonishing, eye-popping achievement.<br/><br/>The same cannot necessarily be said for the rest of the film, however. Based on a story by former film critic Jay Cocks, the screenplay by Steven Zaillian, Kenneth Lonergan and Cocks himself never quite achieves the level of greatness promised by the setting.  The main drawback is the story itself, which is basically just a trite revenge melodrama all gussied up in fancy period clothes.  Leonardo DiCaprio takes center stage as Amsterdam Vallon, a young man who, as a boy, witnessed the murder of his father at the hands of Bill `the Butcher' Cutting, the meanest man ever to terrorize the streets of this fledgling metropolis.  Bill, who is an expert with knives and other cutting instruments, is the man all the denizens of the section of the city known as The Five Fingers fear, and he is able to use that fear to make himself undisputed king of the area.  After a 16-year absence, Amsterdam returns to the scene of the crime, determined to even the score and make Bill pay for his offense with his life.<br/><br/>Despite the glories of the setting, Scorcese is never able to bring the story itself to life.  Perhaps DiCaprio is just too weak and passive to make a very convincing foil for the hard-as-steel Bill Cutting (who seems heavily derived from Dickens' Bill Sikes character in `Oliver Twist,' a literary source that never seems too far from the minds of the movie's authors). Perhaps Daniel-Day Lewis is just too convincing in the role of villain to make it seem like anything even close to an even match.  Perhaps, too, the obligatory romantic plot strand involving DiCaprio with a miscast Cameron Diaz is simply too hokey to fit into the grim tale being told here. Whatever the reason, the core of the film turns out to be the weakest element of  `Gangs of New York.'  Moreover, the dialogue is utterly banal and uninspired, consisting mainly of syrupy platitudes and half-baked philosophizing.  Lucky for us, then, that the director has provided us with enough visual stimulation to keep us at least intrigued, if not quite fascinated, throughout.<br/><br/>What does fascinate us, however, is all the historical detail that permeates the outer fringes of the story.  These include the ever-present backdrop of the Civil War, which keeps encroaching into the world these people inhabit, and the anti-war riots that tore virtually all of New York City apart - both of which the filmmakers use as a kind of macrocosmic comment on the petty battles and rivalries taking place in this hellish part of town.  In moments like these, `Gangs of New York' almost touches greatness.  Also of interest is the way in which the film highlights the fervid anti-immigration attitude that has so completely permeated the history of a country that, in a bewildering paradox, has always prided itself (in theory, at least, if not always in practice) on being the great `melting pot' for the world's downtrodden and disenfranchised to flock to - and the film reminds us of how prevalent that anti-immigrant attitude still is today in many quarters. Truly, some things never change.<br/><br/>In some ways, this film might make an interesting companion piece to Scorcese's `Casino,' in that both films deal with the theme of lawlessness and corruption making way for legal conformity and respectability.  Each of these works, so distant from one another in time and place, manages to portray the kind of epic birth pangs that cities and countries often have to go through before they can call themselves truly `civilized.'  This theme is, undoubtedly, what led Scorcese to compose a kind of visual ode to New York City in his closing shot, his own personal valentine to a city that has suffered so much in the past few years.  It is his way of saying that, from such squalid beginnings, New York City has grown into the great cultural center that it is today and that it can be proud of its heritage and the people who helped make it.  After the events of 9/11, that is a very powerful and stirring sentiment indeed.<br/><br/>Yes, `Gangs of New York' is a severely flawed film in a lot of ways, but it is also a work of vision and of almost unparalleled technical accomplishment that deserves to be seen.  Even if there is not much here to engage the mind or the heart, you can always feast your eyes on the glorious visions unfolding up there on the screen."
"El_Guapo9","8","123","172","2 August 2004"," The Blood Stays on the Knife
","""Gangs of New York"" takes us back to a time when America was a young country and New York was divided.  Those who felt they were ""native"" Americans did not want immigrants to enter their great country, spawning hatred between groups all over the city where many of them landed.  In the story we see how much of the town is run by one man, with William Cutting (""Bill the Butcher,"" played marvelously by Daniel Day-Lewis) being the most feared and well-respected man of the ""five Points.""<br/><br/>Leonardo DiCaprio plays Amsterdam Vallon, who as a boy watched Bill the Butcher kill his father in one of the Points' great battles.  Now a grown man, he returns to the Points to find Bill pretty much running the show.  He gets on Bill's good side and eventually becomes his number one man, all the while still plotting for his father's revenge.<br/><br/>While there is a lot of gratuitous violence and gore, the film does an excellent job portraying life as it was in New York.  You can be sucked in to the time of the movie, and even though the setting is much before our time you don't need a textbook to understand how things were run and what life was like.<br/><br/>I've never been a big DiCaprio fan, but his effort here (along with his performance from ""Catch Me If You Can"") have made my opinion start to waver a little.  He is good as Amsterdam, and believable in his actions and expressions.  Daniel Day-Lewis is simply phenomenal as Bill the Butcher and really should have won the Best Actor Oscar.  Overall, I feel this was the best film of 2002 and really was robbed at the Academy Awards.<br/><br/>8 out of 10."
"DannyDisaster","8","18","22","18 March 2018"," Daniel Day-Lewis is just amazing
","It's so true what people say, that Daniel Day-Lewis doesn't act. He *becomes* the characters he portrays. It's simply astounding to see an interview with the soft-spoken, somewhat effeminate actor and then watch him as the terrifying, dominating Butcher in this, or Daniel Plainview in There Will Be Blood. Watch Gangs of New York for his performance alone and you won't be disappointed. That isn't to say the story isn't intriguing (it is) or Leo isn't good (he is) but really, Day-Lewis stole the show outright."
"anna2","8","94","135","27 December 2002"," A Great Movie, Worth The Wait
","For about three months now, I have (on an almost daily basis) passed a movie theatre not far from my home. On the side of this movie theatre is a huge poster advertising the movie ""Gangs of New York"". Meanwhile, all I heard about on television was the buzz about the upcoming ""Gangs of New York"". So, when this highly publicized movie finally opened, I went and saw it.<br/><br/>I went to the theatre, I bought my ticket, I found a seat in a very crowded theatre and I sat. For three hours I sat in that dark theatre and I watched what was one of the most amazing movies I have ever had privilege to see.<br/><br/>It is hard to even begin to explain why this movie was amazing, but it was. The way it was shot is brilliant. The cinematography is spectacular. The story is completely enthralling.<br/><br/>Although the movie was just shy of three hours long, it was not at all boring to watch. The story was captivating and although I knew how it was going to end (because, after all, it is a movie based on a true-ish story), it was incredible to watch how it got that end.<br/><br/>Above all, the movie was beautiful to watch. I have to admit to those who have not yet seen it that ""Gangs"" is quite violent. However, the violence was well shot and it was fairly necessary to the story.<br/><br/>All of the actors put in extremely good performances. Leonardo DiCaprio really proved that he's not just a pretty face and that he does actually have a great deal of talent (which can also be seen in his other movie of the season, ""Catch Me If You Can""). Cameron Diaz' performace also proves that she can do much more than the standard romantic comedy. Also, after hearing reports of Daniel Day Lewis' REALLY getting into his character, I admit that it was completely worth it. His character (William Cutting/Bill the Butcher) is so complex and although you know you hate him, you can't decide why (for there are so many reasons).<br/><br/>In conclusion, if you have not seen this movie yet, go. Go now. See it. This is one of the epic movies of our time. I heard that Scorcese has been conceptualizing this movie for over twenty years; I could tell. The story this movie tells is one  that I had never heard and the way in which it was told makes it seem very important for us to know. The message that is conveyed, although not an entirely wholesome one, is an important one to learn and, if considered, is very relevant to our time. However, my only message to you is this: see this movie."
"sauravjoshi85","8","6","6","1 April 2020"," Powerful performance by Daniel Day-Lewis
","Gangs of New York was is an epic historical crime movie directed by Martin Scorsese and stars Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, John C. Reilly, Henry Thomas, Brendon Gleeson, Stephen Graham and Liam Neeson in a special appearance.<br/><br/>The movie is a must watch classic which displays the birth of America and yes through bloody violence and brawls.<br/><br/>The movie displays the greatnesses of Martin Scorsese and his imagination and scope to take out the best from a simple revenge plot.<br/><br/>Acting should be appreciated by all the characters but Daniel Day-Lewis steals the show by his brutal violence in a gentle way.<br/><br/>The screenplay of the movie is slow but captivating and hold the viewers. Location of 1840 America is amazing and background music is good. It wouldn't be wrong to say that this is one of the finest piece of work by Martin Scorsese and a must watch for the viewers who like periodic movies."
"ccthemovieman-1","8","105","160","17 November 2005"," Daniel Day-Lewis: Spectacular Performance
","Daniel Day-Lewis elevates this film from just ""good"" to ""very good"" or even ""excellent."" He is absolutely riveting, one of the most interesting ""villains"" I have ever seen on film. I am sorry Day-Lewis didn't win the Academy Award for his performance. He was just outstanding to watch. His facial expressions alone cracked me up!<br/><br/>Day-Lewis played ""Bill 'The Butcher' Cutting"" he is one nasty dude. However, there are no real ""good guys"" in this story. The supposed hero, played by Leonardo DiCaprio, is a revenge-seeking man with a ton of flaws himself. The rest of the characters are either thieves, gang members, corrupt politicians or corrupt policeman. Ah yes, another family-oriented film from that kindly director Martin Scorcese.<br/><br/>What Scorcese lacks in family values, he comes close to making up for in style. This is another fascinating visual film with great sets, costumes, color and camera-work. Other typical Scorcese touches are in here: Catholic-bashing and brutal language. (I question whether the f-word was used back in the days this film takes place.)<br/><br/>All in all, a tough film that could be too unpleasant to watch but for Lewis' outstanding performance and the spectacular visuals."
"CubsandCulture","10","5","5","17 February 2020"," A sprawling American mess
","This is the first Scorsese film I managed to watch in the theater. I was pretty much the only person in my group that appreciated the film. The script and storyline is confused and includes a lot of things that end up being historical detail, i.e. most of the Boss Tweed stuff. Likewise the revenge story and pseudo-love triangle at the heart of the film is a bit too pat. Diaz gives a pretty slipshod performance in this as well. Even as I was blown away with the rest of the film I recognized these significant problems. Re-watching the film the other I was even more impressed with the film's ambition-despite some of that ambition being denied- and how much Bill's nativism feels like a dire warning for Trumpianism. The film is still quite messy but it struck me as a mess to get lost in.<br/><br/>As a ""character"" study of the social conditions of New York city c 1860's this is a very good film. Much of the historical milieu is vivid and the resulting ugly world is a good counterpoint of much of the sanitized history you get in school. The film's narrative shortcomings are worth the hit to get a fuller sense of the environment these characters exist in. While parts of the history could have been handled better-the riots at the end were race riots!-ultimately I think this is a good primer.<br/><br/>Day-Lewis is probably the best part; the semi-confessional scene when at night with the flag draped over Bill is the scene I think everyone should watch again. It is a dire warning of where we are heading. The film humanizes the know-nothings at the same time it is condemning them. This is a dark film that brings to light much of Americana's underbelly."
"coconutkungfu-30704","8","5","5","16 February 2020"," Another Good Scorsese Picture
","Very well-acted and shot film with a fascinating subject matter, makes for an interesting film that comes recommended for those looking for an interesting film that tells an engaging story.<br/><br/>8 out of 10."
