"username","rating","helpful","total","date","title","review"
"MR_Heraclius","10","54","57","24 February 2020"," Great
","Gladiator is a historical epic from director Ridley Scott. After being betrayed by the new Caesar, Roman general Maximus is sold into slavery as a gladiator where he rises to fame as a people's champion and finds an opportunity to exact his revenge. Russell Crowe, Joaquin Phoenix, and Connie Nielsen lead the cast and deliver strong performances. Additionally, the gladiator fights are especially dynamic and exciting, featuring several different styles of combat. The costumes and sets are also remarkably well-done, and create a vivid depiction of ancient Rome. And, Hans Zimmer's score does an excellent job at capturing the tone of the film. Thrilling and action-packed, Gladiator delivers a compelling tale. ""Are you not entertained?!"""
"hitchcockthelegend","10","93","103","6 August 2014"," They said you were a giant. They said you can crush a man's skull with one hand.
","Ridley Scott's Gladiator is not a perfect film, I would think that the hardiest of fans, of which I'm firmly one, know this deep down. Yet just like Commodus in the film is keen to point out that he himself has other virtues that are worthy, so does Gladiator the film. Enough in fact to make it an everlasting favourite of genre fans and worthy of the Academy Award acknowledgements it received.<br/><br/>In narrative terms the plot and story arc is simplicity supreme, something Scott and Russell Crowe have never shied away from. There has to my knowledge as well, never been a denial of the debt Gladiator owes to Anthony Mann's 1964 Epic, The Fall of the Roman Empire. Some folk seem very irritated by this, which is strange because the makers of Gladiator were not standing up bold as brass to proclaim they were unique with their movie, what they did do was reinvigorate a stagnant genre of film for a new generational audience. And it bloody worked, the influence and interest in all things Roman or historically swashbuckling of film that followed post Gladiator's success is there for all to see.<br/><br/>What we do in life echoes in eternity.<br/><br/>So no originality in story, then. While some of the CGI is hardly ""Grade A"" stuff, and there's a little over - mugging acting in support ranks as some of the cast struggle to grasp the period setting required, yet the way Gladiator can make the emotionally committed feel - overrides film making irks. Crowe's Maximus is the man men want to be and the man women want to be with. As he runs through the gamut of life's pains and emotionally fortified trials and tribulations, we are with him every step of the way, urging him towards his day of revenge splattered destiny; with Crowe superb in every pained frame, winning the Academy Award for Best Actor that he should have won for The Insider the previous year.<br/><br/>Backing Crowe up is Joaquin Phoenix giving Commodus preening villainy and Connie Nielsen graceful as Lucilla (pitch Nielsen's turn here against that of Diane Kruger's in Troy to see the class difference for historical period playing). Oliver Reed, leaving the mortal coil but leaving behind a spicy two fold performance as Proximo the Gladiator task master. Olly superb in both body and CGI soul. Richard Harris tugging the heart strings, Derek Jacobi classy, David Hemmings also, while Djimon Hounso gives Juba - Maximus right hand man and confidante - a level of character gravitas that's inspiring.<br/><br/>I didn't know man could build such things.<br/><br/>Dialogue is literate and poetic, resplendent with iconic speeches. Action is never far away, but never at the expense of wrought human characterisations. The flaming arrows and blood letting of the Germania conflict kicks things off with pulse raising clarity, and Scott and his team never sag from this standard. The gladiator arena fights are edge of the seat inducing, the recreation for the Battle of Carthage a stunning piece of action sequence construction. And then the finale, the culmination of two men's destinies, no soft soaping from Scott and Crowe, it lands in the heart with a resounding thunderclap. A great swords and sandals movie that tipped its helmet to past masters whilst simultaneously bringing the genre alive again. Bravo Maximus Decimus Meridius. 10/10"
"angelo-29","10","378","459","6 June 2000"," Breathtaking!
","Once again, Director Ridley Scott proves to be as professional as one can be. The recreation of ancient Rome is splendid, with all its magnificent buildings and atmosphere and he is able to show with all brightness the greatness of the Roman Empire, with its political problems and military discipline, and love and treason, of hate and jealousy, that still have a place in our world today. But the story has a glow of its own, to which all the beautiful scenery (believe me, it's awesome!!!) and great cinematography are just balancing factors. The plot is a rich one, that is as dynamic as it is present. He once again, after Blade Runner, 1492, and others helps us visit the depths of the human soul, which remains the same over all our historical and social experience. Even the fights, are displayed in such a way that all the blood is quite discrete, but still, making us feel like screaming and jumping out of our seats. I would also like to point out the performances of the cast, that is surprisingly good. We have some actors and actresses, who are not Hollywood icons, but are are greatly able to move the audience among screams and tears. All in all, we have guys like Russel Crowe, who are coming out to be part of a new and extremely promising harvest of people who are making each time more fans around the world. Well, you should see for yourself!"
"gregatory","10","379","476","3 May 2000"," A nail biting, intense modern epic!
","Most films require that the viewer identifies with the character to truly be engrossed with the film. If you can't feel something for the character, than the audience is lost.<br/><br/>Luckily, in Ridley Scott's case, Russel Crowe is so captivating and convincing as a general loved by his troops and as a slave loved by the people that the movie really works. Possibly one of the greatest actors today, Crowe carries this epic film on his very capable shoulders.<br/><br/>Not to say that he is the only reason this works. The supporting cast, most notably Connie Neilsen, buoy the film to new perspectives.<br/><br/>Jacquin Phoenix definitely captures the egotisitcal persona he should display, stealing every scene he's in. Phoenix will surely be put on the map with Gladiator.<br/><br/>But the real shining star in this film are the incredible action sequences which jolt the viewer right in with the opening sequences, as Maximus' true worth to the Roman Empire is displayed. Scott's camera work within these completed sequences takes a modern twist that really works for the gruesome scenes.<br/><br/>Crowe will now get the respect he deserves for this collosal performance. Gladiator makes the most of its 2 and a half hours, marking a triumphant comeback for the long forgotten epics of the classic days of film. ALL HAIL MAXIMUS!"
"jaredpahl","9","18","19","9 July 2017"," Both Old-Fashioned And Modern, Gladiator Is An Intoxicating Blend Of Action Spectacle and Intimate Drama
","Gladiator, 2000's Best Picture winner, was undoubtedly one of the biggest successes of the decade. It made tons of box-office cash, nearly swept the Oscars, and revitalized the sword-and-sandals genre for years to come. Does the movie warrant the massive success it received? For the most part, yes. Ridley Scott's Roman blockbuster doesn't have quite the overwhelming emotion of another Oscar-winning epic, Braveheart, but as a brawny action spectacle, Gladiator soars. With a strong story, a profound sense of character, and action and special effects that are suitably exciting, Gladiator is a special kind of sword-and-sandals picture; One with a true dramatic core.<br/><br/>Like the great epics of Hollywood's past, Gladiator is simple in its story. Russell Crowe stars as the Roman General, Maximus, whose life is thrown into chaos after the jealous Emperor Commodus (Joaquin Phoenix) arranges for his execution. Maximus is sold into slavery where he meets Proximo, a former gladiator played by Oliver Reed who shepherds him through life as a gladiator as Commodus scrambles to stop Maximus' influence among the people. <br/><br/>The story of Gladiator is a rock-solid tale of revenge, bolstered by well written characters, some sly political subtext, and a couple of stellar performances from Crowe and Phoenix. The two principle characters, Maximus and Commodus, are what separates Gladiator from the slew of sword-and-sandals epics that came after it. They are simply but elegantly written as characters; Maximus, a man singularly driven by a need to return to his family, Commodus, a confused young man singularly driven by a need to be loved. However, it is the performances from Russell Crowe and Joaquin Phoenix that really elevate this material. Phoenix gives a brilliant portrait of an emotionally frustrated young man. He is completely unpredictable, but he never becomes campy. He is a real person with real problems, and there is an underlying sadness to his character that makes him so much more interesting than your typical stock villain. As for Crowe, his performance is all about physical presence. Apart from a few big emotional scenes, Crowe's performance is one of quiet masculine stoicism. He adds a remarkable gravitas to this character that all but makes the movie. You feel for him, you relate to him, you root for him, and you become inspired by him. It is a perfect heroic performance. <br/><br/>The character stuff in Gladiator really works. Coming from a genre that made do with archetypal characters doing obligatory British accents for years, it is nothing short of a revelation that Gladiator is such a fulfilling dramatic experience. Here are characters you actually care about and not simply placeholders to string up the plot in between action scenes.<br/><br/>When it comes to general filmmaking, Gladiator is rarely pedestrian and often astounding. Apart from some strange quirks in the filmmaking like the seemingly digitized zooms or the moments when the frame rate seems to cause a weird flicker effect, Gladiator is a deep, rich, and meticulously detailed visual experience. Hollywood production values don't get much higher than this. The technical departments are tops in terms of production design and costuming. The movie looks expensive, but there is something else in Gladiator's visual style that keeps your eyes glued to the screen. The look of the film, with its mix of traditional, large- scale sets and CG enhancements, is almost dreamlike. The environments of Ridley Scott's version of ancient Rome, including a painstakingly crafted digital recreation of the famous Colosseum, seem untethered to any kind of physical reality. It's as if what Scott has created is an environment that reflects the feeling of Ancient Rome rather than the reality of it. Just as with the deep characters and eloquent script, there's a modern feeling to Ridley Scott's filmmaking in Gladiator. The reliance on CGI is sometimes overdone, but in conjunction with the costumes, sets, and impressively grandiose score from Hans Zimmer, it adds to the intoxicating atmosphere of Ridley Scott's world.<br/><br/>The main attraction of Gladiator is its scenes of gladiatorial combat, and on that front, Ridley Scott aptly gets the job done. There are a few moments when Scott falls back on to standard sword clashing and disorientating shaky cam, but for the most part, the action scenes are exciting, bloody, and imaginatively staged. The best action scenes are the opening Barbarian battle and a fantastic fight scene between Maximus, a veteran gladiator, and a Colosseum full of bloodthirsty tigers. In those scenes, Scott's emphasis on close-up, sweaty, brutal action is totally effective. I felt the cold of the forest mud, the heat of the flaming trees, the sharpness of the swords, and the dusty claustrophobia of the Arena. The action of Gladiator is visceral and bloody, and there is plenty of it. Those hungry for bloodsport will find more than enough manly derring-do to satiate their red-blooded desire.<br/><br/>For all its dramatic depth, I can't say I came out of Gladiator heavily affected by feeling. This is still, at its core, a visceral experience, but the small character moments and the textured performances are miraculously riveting. I was intrigued by every second of Gladiator. The action scenes are thrilling, the dramatic scenes are mesmerizing, and the $103 million budget is all up there on the screen in every frame. Ridley Scott's direction is superlative, especially in the third act, as the story, action, and emotions reach a fever pitch. The last few scenes, including the climactic final showdown and the closing 'Elysium' scene, exhibit a crescendo of the kind of daring artistry that permeates the film's best sections. Gladiator is a meaty Hollywood epic of the best kind. It's visually sumptuous and supremely thrilling, but there is a beating heart within this beast. Sure there are a couple of bumps along the way, but with Crowe as the sturdy hero and a simple story of returning home, Gladiator stays with you long after the credits roll.<br/><br/>92/100"
"shoktart","10","261","331","19 February 2001"," Edge of Your Seat Fun!
","Great Story!  Great Writing!  Great Acting!  Great Directing!  Great Score! This movie has it all.  I especially enjoyed the mood of the film.  Even though it has a lot of action, there is a subtle elegance throughout the picture that gives it great style.  The movie flows effortlessly from scene to scene, while at the same time creating wonderful intensity and nail-biting excitement.<br/><br/>The acting in the movie more than lives up to expectations.  Russell Crowe is brilliant in his role as Maximus, the ""general who became a slave, who became a gladiator, who defied an emperor.""  Crowe's intense style is perfect for the relentless determination and confidence of Maximus.  Joaquin Phoenix is equally wonderful in his role as Commodus, the corrupt emperor. He plays a great villain because he is able to give Commodus depth by showing certain vulnerable or fragile sides, while at the same time instantly transforming to let the ruthless nature of his volatile character shine.  It also helps that Joaquin has the classic Caesar look that works perfectly with his role.<br/><br/>Connie Nielsen is also very good as Lucilla.  However, perhaps the two finest performances in the movie were given by a couple of acting veterans in supporting roles.  Richard Harris and Oliver Reed were exceptional in what will be remembered as crowning achievements at the end of their careers.  Harris was perfect as Marcus Aurelius, the aging Caesar who reflects upon his life and contemplates how the world will remember him. And Reed, especially, gave my personal favorite performance in the movie as Proximo, the trainer for the gladiators.  The way he spoke about the life of a gladiator, the splendor of Rome, and the ""thrill of the Coliseum"" really added excitement and anticipation during the viewing of the movie.<br/><br/>Gladiator is filled with many memorable moments that one would need to see more than once to fully appreciate.  The excitement felt for me when Rome is first shown in all its wonder and marvel is my favorite scene.  But the whole movie is a rush!  Hans Zimmer provides the absolute perfect score to capture the different moods in the movie.  Ridley Scott sets the perfect tone with his artistic and creative directing.  I would recommend it to anyone who can stomach intensity and enjoy an epic story for the ages.  Next to Braveheart, this movie is the greatest of all-time!"
"Russell_","10","439","570","12 September 2005"," Can't be missed!
","""Gladiator"" definitely is a classic film as it combines a simple, but moving, story with beautiful scenery, filming, direction and score  it is truly a ""complete"" movie.<br/><br/>I am mostly compelled with the beautiful script which in a way reminds me of poetry, though it is still everyday language. I love the acting portrayed by the late Oliver Reed and also Richard Harris. Russell Crowe, Djimon Housou and Joaquin Phoenix are also superb and the parts suit them perfectly. There are also a number of less ""popular"" artists who also deserve a big ""bravo"". Amongst them I have to mention ex-Mr Universe Ralph Moeller who is mostly used as the comic relief of the movie. In Gladiator we can also the beautiful and popular Maltese TV Star and actress Ruth Frendo, who although has a small part, she is totally brilliant and outstanding.<br/><br/>Actually I got to IMDb while I was looking for her name on the internet, in fact on IMDb she has some very stunning photos. I was lucky to meet Ruth Frendo whilst she was filming in another Maltese production. Ruth Frendo is not only a gorgeous and talented actress but she is also amazingly intelligent and very down-to-earth. We will definitely be seeing more of her work in the future... <br/><br/>The scenery used for ""Gladiator"" is brilliant  and the opening battle scene is definitely one of my top favorite scenes. The modern camera technique contrasts sharply to the brutality of the gladiators actions and blood shed during the movie; and I love the light contrasts thanks to the lenses which most definitely have been used to create a surreal feel to the entire movie.<br/><br/>""Gladiator"" deserves all the awards and great reviews it has received, and for those of you who still haven't gone and watched it  I can assure you that it will be well worth your time and money. So go on and rent it now!"
"allicouldbe","10","23","26","18 February 2019"," Why don't they make films like this anymore
","Seriously the best fantasy film of the modern area with great acting and emotional rollercoastering all the way through. The soundtrack by Zimmer really propels this film"
"wideawakedreamer","10","241","325","4 June 2000"," Today I saw a movie become more powerful . . .
","The movie is the story of Maximus (Crowe), a general who leads the Roman army to victory over Germania in the beginning of the movie. The dying emperor of Rome, Marcus Aurelius, is watching this battle.<br/><br/>The emperor's son, Commodus, then arrives with his sister Lucilla, and it is discovered that Commodus fully expects to be announced the new emperor of Rome in a few days. Aurelius, however, has other plans--he wants to make Maximus emperor, and requests that of the general, who wants nothing more than to go home to his family.<br/><br/>I went into this movie having just watched Ben-Hur in my film studies class and having watched an episode of Xena only a couple of weeks earlier that featured the story of Marc Anthony and Cleopatra. So you could say I was in the perfect mindset to watch a ""sword-and-sandal"" movie. I wasn't sure what to expect, having somehow avoided all the hype that accompanied this movie. But I was not disappointed.<br/><br/>Gladiator features some wonderful cinematography by John Mathieson. The battle scenes are very graphic. (This movie is not for the squeamish, that's for sure.) There were some scenes in particular that really struck me, such as when Crowe appears to be floating over the ground very fast.  The use of color and color tones added a great deal to the mood of the movie. Excellent.<br/><br/>The script was being written and re-written as the filming was going on, yet it doesn't show that the actors had no idea how the movie was going to end when they began filming.  The acting is terrific. Russell Crowe is wonderfully cast as Maximus. Many reviewers agree that he is now officially a star. Joaquin Phoenix also proves his mettle as the emotionally troubled Commodus, whose behavior and emotion toward his sister could give anyone the creeps. Connie Nielsen makes you believe that, as Lucilla, she really is torn between natural loyalty to her brother and doing what she knows is right. Oliver Reed, in his last performance, is memorable in his role of Proximo, the former gladiator who is the owner of Maximus and brings him to Rome.  In short, the actors were brilliant in their roles, not over-acting, but giving subtle, strong performances.<br/><br/>The script itself is very good.  Although some elements are a little hard to believe--the fact that no one recognizes Maximus when he's a slave?--this film calls for a willing suspension of disbelief, which one would happily comply with.  (It's really no fun to nitpick such a movie.)<br/><br/>It's true that this movie does pretty much follow the Braveheart formula. However, this movie includes some elements, such as the cinematography and the incredibly graphic battle scenes (one reviewer likened it to Saving Private Ryan, ""only better""), that are spectacular in itself. Overall, a great movie that I highly recommend."
"paulyb","Null","173","233","2 May 2000"," Cecil B DeMille eat your heart out
","The epic blockbuster returns with the 21st Century's answer to Cecil B DeMille, Ridley Scott and his dramatic tale of courage and revenge, GLADIATOR - ""the general who became a slave, the slave who became a gladiator, the gladiator who defied an emperor"".<br/><br/>Once a great roman General, and as good as adopted son of Marcus Aurelius Caesar (Harris), Maximus (Crowe) is forced into exile by Commodus (Phoenix), heir to the throne, after the death of Marcus. Saved from death by slavers, he is purchased for use as a gladiator by Proximo (Reed) and ends up in the arena of all arena's, the Colloseum, where he proves unbeatable under his guise as ""The Spaniard"".<br/><br/>And with a budget of over $100m, Scott certainly delivers the goods. GLADIATOR transcends the notion of 'blockbuster' that we have become accustomed to in the age of electronic and special effects wizardry and instead offers a good old fashioned action film along the lines of Spartacus and and Ben Hur. Not only are we drawn into an archetypal story that contains all the classic elements a filmgoer could dream of (love, loss, courage, despair, good triumphing over evil etc etc) - also on offer is a visual feast of cinematic painting after painting - a rich tapestry of images that are breathtaking and ultimately visually satisfying. From the plains of Germania, to the desert stronghold of Zuchobar, and finally to great Rome herself, John Mathiesion, the cinematographer is to be commended highly for his general inventiveness and ability to capture so much on film. The opening  battle scene is superb as a cast of thousands erupt across the screen and provide an indication that we are about to see a film that pays incredible attention to detail throughout its entirety. In every way, Scott has created a world for us that scuttles films of similar epic undertakings (and budgets!) and sends them to their dooms at the bottom of the murky depths of film history where they belong.<br/><br/>The cast is generally very strong. Crowe proves himself very suitable to the task with a great emotional range and depth of character. His accent ocassionally bugged me (as did the mish mash of accents on offer - but that is I guess a legacy of 'internationally casted films'), but this aside, he was well and truly up to the task. Phoenix is also excellent as the disturbed Commodus, as is Nielson as Lucilla, the daughter of Marcus who ""should have been a son"" and finds herself torn between loyalty to her brother and doing what is 'right'. The old guard thesps of Harris, Reed and Jacobi (Grachus) are uniformly strong as supporting characters, and Spencer Treat Clark (Lucius) does a fine job as the young heir to the throne.<br/><br/>Add to this great cast excellent editing and post production work, and an intricate soundscape (including a magnificent Hans Zimmer score), and you have a film that, despite its length, was highly palatable and had me in there from beginning to end. A must see."
