"username","rating","helpful","total","date","title","review"
"MR_Heraclius","6","122","143","3 March 2020"," The Lion King
","Well...the visual effects are groundbreaking but it lacks heart and flare - and feels soulless compared to the original. Donald Glover and Beyoncé felt like miscasts - it feels like they're reading lines from a sheet. See this remake for the visual effects; but go back and watch the original animated masterpiece in all its glory."
"menzoderks","1","901","1225","21 July 2019"," No soul.
","The original Lion King is one of my favorite movies of all time and if you feel the same I'd recommend you to never watch this remake. Now let me explain how this movie is completely ruined.<br/><br/>1. Characters have no facial expressions - So in the original if you just turned off the sound you'd still be able to understand what's going on as the body language and facial expressions were a big part of what brought these characters to life. In the new film simba looks like a real lion and similar to a real lion he has zero facial emotion. This is true for all the characters.<br/><br/>2. The voice acting is horrible - everyone talks incredibly unemotional and SLOW. These actors have likely been told in production to do so as otherwise it would have looked weird for these animals to move their mouths so fast. Even Mufasa's voice is far slower and less emotional while it's still the same voice actor. They really talk half the speed and have odd pauses in their dialogue. Emotion is gone entirely.<br/><br/>3. Clever jokes and small exchanges are not in this movie - Because characters talk so slowly they can't say as much. Therefore all small jokes and clever exchanges are left out. A few are kept in, but fall flat as the timing is off now. For instance when in the original Simba and Nala go to the elephant graveyard the hyena have all these fun exchanges and they are left out in this movie, Instead we get 2 hyenas that are particularly unfunny...<br/><br/>4. The songs are ruined - In the original movie, songs bend real physics and reality to give an expressive montage that was visually stunning. Here they just walk or jog a bit.Then a few other animals might appear, but that's about it. Songs are also played at a slower tempo which in itself ruined all the momentum out of the song.<br/><br/>5. Simba is unlikable - Before simba flees away from pride rock you feel his character is a bit reckless and a bit cocky, but he is also brave and has the characteristics of a leader as he protects others. In the elephant graveyard he stands up for Zazu (while he does not even like zazu) saying the hyena's should pick on somebody their own size. When he and nala then have to run for their lives nala is falling behind. Simba then runs back and saves her by scratching Shenzi. These 2 things do not happen in the remake, which make simba a cocky guy only caring about the power he will get as a king. In the second half you'll start to wonder if he really should be king.<br/><br/>6. Filler scenes - There are a few additonal scenes or things that are dragged out that give zero character development and do not bring new information at all. You'll notice these scenes in the film, but to give 1 example I'll tell the one that's the least spoilery. Remember that mouse that scar grabs under his hand in the beginning? You see him run up to the camera, wash his nose and BAMN. Scar has him under his paws. In the remake we see this mouse crawl for a whole minute. Why?!? Later in this movie there is something that took the original 5 seconds too, but here takes 2 minutes! They're are really struggling to make the movie 1 hour and 50 minutes, whereas I do not think it's necessary at all and they could have just made a movie of 1 hour and 25 minutes as the original was.<br/><br/>This movie has no soul and leaves a bad taste towards the original.Disney has lost all it's credibility and respect it still had left by making this atrocious movie."
"terry-46096","3","1087","1491","20 July 2019"," Looks so good, has no heart.
","The movie is adequate, that's not good enough for this live action though. Lion King is a masterpiece story that has been celebrated for years for its emotional and timeless value. This version falls really short. The voice acting is flat the tone is wrong and there is little to no emotion felt during a very slow boring few hours.<br/><br/>The only highlight in my opinion is Seth Rohan and Billy Eisner. Past that? A very forgettable and hollow version of the story.<br/><br/>Oh and Beyoncé over sings everything."
"diana-steau","1","471","644","31 July 2019"," Disney, WHAT. HAVE. YOU. DONE
","Just to be clear, this is my all time favorite movie. I can't stress this enough. I love The Lion King (1994), but what I saw today was horror for me. The CGI was good, but everything else wasn't. I would recommend you to watch this movie only so you can appreciate the original at its true value.
They RUINED (and again, can't stress this enough) the songs (especially Be prepared). The actors were awful, plain, flat (except James Earl Jones, Seth Rogen and John Oliver).
Beyonce????? Really? ANYONE else could've done a better job, and I mean anyone.
Had NO EMOTION what so ever. None.<br/><br/>Missed important scenes from the first movie like:
1. Rafiki hitting Simba with the stick saying ""it's in the past"";
2. Smart-funny conversation between hyenas and Simba/Nala/Zazu.
... and many more.<br/><br/>I wanted to cry when Mufasa died, but I couldn't because it all happens in 20 seconds and it is FLAT.<br/><br/>Also I wanted to cry at the end of the movie because it was horrible."
"rupalikespie","1","758","1048","29 July 2019"," Shocking flat. Lacked any emotion. Completely overhyped
","The CGI in this is incredible, it's mesmerising and beautiful. But that's all it is, is beautiful cgi, they've completely lost sight of the story, the emotion and the magic. It's so boring, the focus has been so much on keeping this photo realistic, that everything else has been forgotten about. They've cut numbers, when Mufasa dies you feel nothing because the characters aren't showing any emotion and none of the acting is convincing. Really badly cast. The fur is so intricate, especially the attention to detail when it get's wet, it's very very telling where the money has gone from the get go."
"gries38","1","427","599","29 July 2019"," Ruined the music
","Felt like a corporate movie and they know people will go see it on name alone, and they ruined the music. Not sure they realized the music was the best part. Songs felt like when an artist oversings the national anthem. The songs were great originally and felt like they were trying too hard."
"kaydrelia","1","539","761","21 July 2019"," Overrated and way too much spotlight on beyonce
","Lion King was the only movie growing up that actually made me cry, the soundtrack alone was amazing, but there was a magic in the cartoon version. This new one is awful. They spent tons of money on the tech and actors, but forgot to add the magic. This isn't the Lion Queen, it's not about beyonce, but it's become all about her, when she didnt actually bring anything to the movie. James Earl Jones will never get a bad review in my book, he did his job. Everyone else was simply forgettable. The cartoon version I remember each actor, each song, each joke, etc and I havent watched it in years. My guess is that Disney is making all these worthless remakes to maintain the copyrights of those movies, but there's 0 intention to do it with the same magic and formula that captivated people from the beginning. The only remake I've enjoyed so far is Cinderella, we even bought it. The rest I don't even remember and my kids prefer the cartoon versions over the remakes now too, that should say something. Not that anyone at Disney will care, their goal is to take over everything to continue being in control and taking in heaps of money for their own exploits. I'll stick with the original Lion King, including the soundtrack and the Broadway show (also amazing), and never speak of this waste of money of a film again."
"whiskeyjack-17223","1","336","472","28 July 2019"," BLAH! Beyonce big mistake!
","Visually beautiful. & thank god for James Earl Jones as Mufasa. Other than that just BLAH!! Acting was flat & didnt even hold a candle to original!!! BUT THE WORST was Beyonce!!! Way too much of Nala & Beyonce's stupid singing!!!"
"simonemarcus-64227","2","809","1166","17 July 2019"," I felt nothing.
","For such an emotional original movie, I felt no emotions watching this version. Instead I found myself agitated and frustrated wanting to go home and watch the original. There was clearly something that was lost in the lifelike remake."
"nikkikthegreat","1","496","710","20 July 2019"," Terrible acting!! Doesn't compare to the original
","I LOVE the original. I wanted to love this movie. I was over the moon excited for it. They took out too many important parts of the original. Showing the strength of Mufasa but also his friendly side (his friendship with Zazu, how he respects and hugs Rafiki, that he taught Simba how to pounce). Even the opening scene wasn't the same. Why would you alter that? The huge rising sun in tune with the music that gives almost everyone goosebumps. The new one you see trees with a slightly lit up morning sky and then a small sun appears off to the side that isn't in sync with the music. Mufasas personality doesn't sound the same even though it's still James Earl Jones' voice. It's different somehow. The hyenas are not the same. They don't make jokes and laugh at themselves like ""make mine a cub sandwich"" then laugh hysterically at their own jokes. They eliminated Ed, the one who doesn't speak, just laughs. Timon isn't flamboyant or half as funny as the original. The hula scene in the original was fast paced and funny to distract the hyenas. The new one he slowly sings ""Be our Guest""?? No action and not as fun. In fact, ALL of the new characters (including Beyoncé) sound like they are just reading from a script and it's really mundane and forced. None of them are in character and flow like the original. There's no sass or wit. The music is boring. It's a huge disappointment. Rafiki catches Simbas hair and knows immediately it's him. In the original, he knows the scent, but it takes him a minute to figure it out and when he does, he's ecstatic. Not in the remake. There is no image of Mufasa in the clouds to guide Simba to remember who he is. Rafiki doesn't give him a lesson about how the past can hurt with his stick. Simba doesn't hug Rafiki like his father did which is also symbolic to how Simba is like his father. I don't understand why Disney would eliminate these bonds and characters that we all love and change it to make what is a visually stunning movie into something I will never want to see again."
