"username","rating","helpful","total","date","title","review"
"meshjoy","7","35","46","12 July 2016"," Cute Movie, But A Bit Over-hyped
","After hearing people praise this movie, and seeing how much it was advertised, I was curious to see this. Now, I've never loved Illumination's movies, but I've never hated them either. I don't mind any of their films, but I feel like they're not as innovative as certain other animation companies. Hearing how much people loved Secret Life of Pets gave me a bit of hope that perhaps this movie would be Illumination's breakthrough. The one that would have the best animation, story, characters, emotions, etc.<br/><br/>Unfortunately, Secret Life of Pets just ended up being another okay movie for me. Right when I saw the trailers, I was reminded of Toy Story with the plot. I feared that the plot would be predictable, and it definitely was. A few different things were thrown in, but as a whole, the story was pretty predictable. One of the different things that was thrown in had potential to be a really emotional scene. This is a spoiler, by the way. Anyway, Duke finds out that his original owner had died, which could've led into an emotional scene, like in Finding Dory when Dory was made to believe her parents were dead. But the whole scene failed. Firstly, it was told, not shown. A random cat just gives the news to Duke. Second, Duke barely reacts to this, despite the movie going out of its way to show us a montage of him with his owner. He just gets mad at the family that moved into the owner's home before getting caught by animal control. After that, it's never mentioned again. Duke is just fine with his owner being dead, and living with a new owner and Max. This really bothers me, since as I said, this scene had potential to be emotionally provoking. But it didn't take the chance.<br/><br/>Our main characters didn't interest me. Max is just another typical good guy that just wants a good life. Duke was just another lovable big guy who may be a bit slow. However, the only characters that made me laugh/I enjoyed were Gidget, Snowball, Tiberius, and Pops. Gidget and Snowball were the ones that really shined, though. Gidget was just plain adorable, and hilarious. As for Snowball, I'm not a big fan of Kevin Hart, but he really did a great job for his first animated film. I personally prefer him doing voice work than him in live action films. He managed to make me laugh multiple times as Snowball. That bunny may be cute, but he's totally psychotic. As for the rest of the characters, they didn't really interest me. I don't hate any of them, but they were pretty generic.<br/><br/>I also am sick of the Minions. They got old when their own movie was made. I won't mind seeing them in Despicable Me 3, since we'll only get small doses of them, but having them constantly shoved in our faces is getting annoying. The short that came on before Secret Life of Pets was just stupid. No experimentation with the animation or characters. Just plain stupidity. They also had one of the dogs in Secret Life wear a Minions costume, and I just rolled my eyes. Minions may make Illumination money, but not many people care about them anymore. I certainly don't.<br/><br/>I do have some positive things to say about this film. The animation was impressive. I was particularly impressed with how they animated water, and the mannerisms of the pets. Which leads into the next thing I liked about this. I admire how much the creators of the film did their research on not just dogs, but most pets people keep. They were spot on with how dogs, cats, birds, etc. act. As a dog and cat owner, I appreciate the humor/realism that went into the pets, and they reminded me of my own pets.<br/><br/>As a whole, this a cute, but flawed film. I wasn't impressed with most of the characters. The story was predictable. Nothing about this film was thought or emotionally provoking. However, I appreciated some of the film's humor, animation, and the research that went into the mannerisms of the pets. It's a shame that this wasn't Illumination's breakthrough. Sure, it's making a lot of money, but it's still just an alright movie. Hopefully one day, Illumination will make a film just as great as the likes of Zootopia or Inside Out. The Secret Life of Pets just isn't that film."
"preppy-3","8","25","34","13 July 2016"," Very silly but enjoyable
","Animated film that takes place in NYC. Two dogs named Max (voiced by Louis C.K.) and Duke (voiced by Eric Stonestreet) get separated from their owner when out for a walk. The film chronicles their journey back home.<br/><br/>This is clearly aimed at kids but has plenty of humor that adults will enjoy. I'm in my 50s and laughed long and loud at some of the antics. The script is good and moves quickly. I was never bored. With one exception the voices perfectly fit the characters. The one exception was Snowball. He's a psychotic rabbit voiced by Kevin Hart. Hart can be funny but not here. He YELLS every word out at the audience. It gets annoying quick. The animation is great--very fluid and pleasing to the eye. The backdrops of NYC are breath-taking. The only real debit is there are some glaring lapses in logic but it IS a kids film. Recommended."
"dave-mcclain","8","26","37","9 July 2016"," Don't keep it to yourself - ""The Secret Life of Pets"" is great family fun!
","When you see as many movies as I do (and you start writing reviews in your head while you're watching them), certain movies, parts of movies, plot points or characters remind you of other movies. In my reviews, I often note those parallels, using them to comment on the movie I'm reviewing. Sometimes I note similarities between movies to say that the more recent film is unoriginal. Other times, it's just to help explain what the new movie is like. The animated adventure comedy ""The Secret Life of Pets"" (PG, 1:30) reminds me very much of two other animated features but that's not necessarily a bad thing.<br/><br/>Tell me if this sounds familiar: Someone's possessions (as he or she views them) actually have secret lives of their own which are only really apparent when the owner is not around. These anthropomorphic possessions relate to each other and form friendships. When a newer version of the original is brought into the group, jealousy emerges and the original tries to get rid of the interloper. This struggle results in both of the rivals being thrust out of the comforts of home into the little-understood big, bad world, a situation which requires their compadres to venture out of their own comfort zones to mount a rescue.<br/><br/>That set-up fits Illumination Entertainment's 2016 ""The Secret Life of Pets"" as well as it does the 1995 Pixar/Disney classic film ""Toy Story"". (Think, ""Pet Story"", or ""The Secret Life of Toys"".) But considering that the 2016 film is about animals rather than toys, maybe the better comparison is to another 2016 animated feature (also from Disney) by the name of ""Zootopia"". In both of those 2016 films, a couple of anthropomorphic animals (among many others living in a big city) form a partnership which develops into a mutually beneficial friendship. I guess it's not unfair to think of ""The Secret Life of Pets"" as a mash-up of ""Toy Story"" and ""Zootopia"". Nevertheless, this one charts its own unique course and is as entertaining as those other two or the ""Despicable Me"" films, also from Illumination Entertainment.<br/><br/>Now that you know what ""The Secret Life of Pets"" is LIKE, here's what it's ABOUT: The movie focuses on a small brown and white terrier named Max (voiced by Louis C.K.) and his relationship with the other pets in his apartment building. Max lives in a small Manhattan apartment with his owner, a young woman named Katie (Ellie Kemper). When Katie goes to work each day, Max sits at the door wondering where she has gone and waiting for her to come back and play with him. Meanwhile, the pets in the building across the alley and above and below his apartment (and one guniea pig lost in the air ducts) are more active in their daily lives (and more mobile) than is readily apparent. (Thus, the title of the film.) Some of the neighborhood pets include an overweight white cat named Chloe (Lake Bell), a bulldog named Mel (Bobby Moynihan), a dachshund named Buddy (Hannibal Buress), a canary named Sweet Pea (Tara Strong), and Gidget (Jenny Slate), a white Pomeranian who has a secret crush on Max.<br/><br/>Except for missing Katie during the day, all is well in Max's little world until one not-so-fine day when Katie brings home another dog she rescued from a shelter. Duke (Eric Stonestreet) is a large, shaggy, dark brown dog who has no problem throwing his weight around to get the best place to sleep, or as much food as he wants, or anything else. Max starts scheming about how to get rid of Duke, but one such attempt while they're in the park with Katie's dog walker back-fires and sets both Max and Duke off on a wild and dangerous journey around the city. When Gidget realizes that Max has disappeared, she enlists their mutual pet friends, plus a caged hawk named Tiberius (Albert Brooks), and a few other neighborhood pets (including the Dana Carvey voiced ""Pops""), to help her find Max. Meanwhile, Max and Duke have to try escaping from animal control workers, a disfigured alley cat named Ozone (Steve Coogan) and a small, but crazed and bitter bunny named Snowball (Kevin Hart), who was discarded by the magician he worked for and now leads a sewer-dwelling group of radicals called The Flushed Pets, who are bent on wiping out all the humans – and who decide that Max and Duke are also their enemies.<br/><br/>""The Secret Life of Pets"" is every bit as entertaining as you'd hope, based on its theatrical trailers, or its movie posters, or just its title. Co-writers Cinco Paul, Ken Daurio and Brian Lynch exploit many of the well-known quirks of different kinds of pets, but give each character in the film its own personality. Then, once the script clearly establishes who each of these characters are, it gives them plenty to do, but without making the story unnecessarily complicated. Co-directors Chris Renaud (who also voices the aforementioned lost guinea pig) and Yarrow Cheney bring this promising concept and excellent script to realization by keeping the plot moving and not overdoing any of the film's big ideas or overplaying any of the gags. Finally, with the film's impressive voice cast and the filmmakers' ""Despicable"" history, the performances and the visuals are excellent across the board. On the critical side, I found a subplot involving Duke's backstory and a ""Grease""-inspired sausage-fueled dream sequence to be odd and unnecessary diversions, and I would've liked to see just a little more originality and inspiration sprinkled throughout the movie. However, there's no denying that ""The Secret Life of Pets"" is very well-done good, clean fun for the whole family. ""A-"""
"meganhinge","4","67","109","7 October 2016"," The best bits are all in the trailer
","The trailer was looking promising. Lots of laughs and clever humour. Hopes were high as the trailer for Zootopia was inciting and that film did not disappoint. However, Secret Life of Pets turned out to be a fizzer. Excessively violent for a children's film, not funny or clever and really rather odd. The characters are not developed which means that the audience doesn't particularly care what happens on their quest. The stand out of the film is the husky little white fluffball of a dog. I think this film is aimed at children, though the guy down the row from me was certainly laughing a lot (while I was taking power naps). Not the same caliber as Despicable Me."
"seancassidy-32550","8","23","34","3 July 2016"," A fun movie with a good plot.
","I enjoyed this movie more than Despicable Me. I liked the fact that there was more than one story going on at a time. At one point, there were three different stories that eventually came together.<br/><br/>I think the jokes in the movie would be funnier for adults than children, probably because I'm a fan of Louis C.K. and his delivery. I think the eventual happy ending that concludes the movie is suited to the kids and they will come out happy they saw it.<br/><br/>The characters aren't as compelling as Disney/Pixar characters but I think there were more jokes in this one than usual. I also don't think there were as much emotional obstacles for the characters to conquer in this one opposed to a Disney/Pixar movie. This movie was just fun almost all the way through. Even when the characters were about to die they were still making jokes. Some people might rather this type of animation.<br/><br/>The movie was easy and fun to watch, a good movie for the kids and the adults."
"rgkarim","8","20","30","9 July 2016"," Pets on the Run, Make for Silly, Family Fun
","Kids movies continue to swarm into the theaters, and Hollywood's trailer editors have been hard at work baiting us in. With Disney owning the box office this summer, Illumination Entertainment (the creators of Despicable Me) are taking a shot at the box office run. This weekend we got The Secret Life Of Pets, a movie that has been highly anticipated since it's trailer debut from so long ago. It was indeed a very entertaining trailer, but we all know how trailers can be deceptive now don't we? So I have headed into the trenches again to report on the latest film to hit the silver screen. <br/><br/>The GOOD  Cute/Kid Friendly  Funny  Good animation<br/><br/>When you watch, or for many rewatch, the trailers you most likely saw the characters as cute, cuddly animals doing hilarious things. Good news! The trailer is accurate this time and provides the cute factor you expected (including the very scenes you saw in the trailer). All of the characters are adorable, the main ones being bouncy, fluffy, high-spirited animals that will make you want to say Awwwwww. Our design team found a way to maximize all the cute features of an animal and sell it to the families that will lead to merchandising. Even animals you wouldn't think cute (like snakes, gators, and lizards) get the cuddly personifications. Hopefully you have gathered from this, that the design is kid friendly and will have your little ones enamored. <br/><br/>But cute is only the hook, what keeps the interest going in this film? The answer is the comedy of course. The stunts the animals pull are entertaining and the dialogue itself had me chuckling at many of the media references. Voice acting only helps sell the comedy more, especially Kevin Hart and all his high pitched screaming. Your kids though will be the ones to enjoy the comedy the most though, as it is slapstick, simplistic antics with digital pets. Running into walls, making funny faces, or going to the bathroom on the floor are just some of the things you will see that had toddlers chuckling in their seats. <br/><br/>And a small bonus, that really shouldn't be a surprise, is that the animation is good. Illumination Entertainment certainly has their anatomy and physiology down being able to superimpose human qualities while still maintaining there animal qualities. Glad to know that our animation studios are still able to produce great works. If only they could have put that effort into the next few qualities. <br/><br/>THE BAD  The Story  Lack of Uniqueness  Trailers showed you a lot of the movie<br/><br/>With the comedy and animation being the obvious focus, you have to wonder how the story fared in this movie. Unfortunatelyit didn't fare that well. Oh it's not that bad at all, but the problem is that it lacks anything memorable or emotionally driving for me. The writers crammed a lot of plots into a short 90 minutes run time, and the resulting production was a very rushed, shallow tale with little development. A split focus resulted in little emotional build-up, and there was no intriguing qualities to keep my attention on any of the cast. And the goal they were trying to achieve was very limited and didn't really set any time limit or urgency to the tale. <br/><br/>To add more fuel to that fire, The Secret Life of Pets wasn't really that unique of a movie. We've had talking pet movies before, where anthropomorphic animals traverse a city or town that often involves a very extreme villain (think Oliver and Company or Homeward Bound). Those tales stick home because they had edge, depth, and moments that stick out in your mind. Not the case with this movie, as again there was no drive to make our pets grow, develop, or even go through much struggle at all. It doesn't have any twists to mix things up either, and therefore leaves little to spoilt. In addition, much of the movie, including a lot of the funny parts, is revealed in the three trailers out and therefore you can save yourself some major bucks by just rewatching all of the trailers. Yeah, I know that is definitely a disappointing factor. <br/><br/>The Verdict<br/><br/>The Secret Life Of Pets is exactly what the trailer promises, fun, entertaining, and wildly adorable. Younger audience members, as well as those very young at heart, are the target group for this movie hands down. It has the laugh factor certainly, and the cast of characters are a motley crew that I certainly enjoyed. However, the story is very simplistic, the lack of emotional suspense, and that much of the movie is told in the trailers make this movie not the most memorable of the summer. I can't say it is worth a trip to the theater in comparison to some of the other kid movies, but it makes for a good family outing. <br/><br/>My scores are:<br/><br/>Animation/Comedy/Family: 7.5-8.0 Movie Overall: 7.0"
"valen060","9","34","55","3 August 2016"," Surprisingly Entertaining Illumination Flick
","Ever since the release of Despicable Me back in 2010, Illumination has really stepped up from their previous animated movies. Whether it be the aforementioned film, its sequel, its spin-off Minions, or the 2012 adaptation of Dr. Seuss' The Lorax, it was quite a change with their latest entry The Secret Life of Pets.<br/><br/>The plot centers around Max (Louis C.K.), a terrier living happily with his loving owner Katie (Ellie Kemper) in New York City, but when she adopts a bigger dog named Duke (Eric Stonestreet) to live with them, Max is overwhelmed by his new roommate. The two opposing dogs must then work together however, before Katie gets back when they are lost in the big city.<br/><br/>For an original story done by Illumination, it does creatively borrow off the concepts of both Toy Story as well as the 2008 film Bolt, yet it flows out well with the voice cast bringing these characters to life which include stand-up comic Louis C.K. voicing the leading dog Max, Jenny Slate (Saturday Night Live, Zootopia) as Max's potential love interest Gidget, and 'Modern Family' star Eric Stonestreet as Duke. With quick-witted, slapstick humor that feels reminiscent of Looney Tunes (even with a tendency to adlib lines in some scenes), the real scene stealer among this talented cast goes to comedian Kevin Hart voicing adorable, yet antagonistic rabbit Snowball.<br/><br/>While the littler ones will be kept engaged and entertained by the humorous animal characters as well as the obstacles they come across, to me personally the story feels rushed, especially the need for a little more emotional depth and better character development. I know there's a lot more to offer in this story's universe, so a sequel can't be far behind from this underrated animated flick. Nevertheless, it certainly kept me laughing nearly throughout the movie's 90-minute run time and it's something that shouldn't be taken for granted. I enjoyed it."
"wivavog","10","11","15","2 September 2016"," Fantastic movie for all ages! Everyone should watch this film!
","-Looking for a great movie, that's hilarious? This movie is heart warming,its a very fun watch that you can enjoy alone or with someone (turn off the light-close the blinds get your loved ones,treats and cuddle up for a great time!)- <br/><br/>I thought this was a great film! It was so very well done from the story line and brilliantly written and quite humorous script! To the gorgeous animation that is stunningly executed. Consistently complimenting the very creatively and carefully crafted characters that you will instantly fall in love with and keep you smiling and laughing through out the film! The cast and voicing worked well with the beautiful illustration to really brought the characters and movie to life! Ultimately bringing the whole movie home.It doesn't matter if your 5 or 50 just be happy and enjoy the simple things in life ( the things that actually matter ;) -Take Care World & God Bless!"
"Horst_In_Translation","4","32","53","11 September 2016"," Some fun moments, but ultimately not a good watch overall due to the lack of a plot really
","""The Secret Life of Pets"" is one of the most known animated films from the United States this year (2016). The two directors and four writers who made this include a couple names that worked on films from the Minions universe, so nobody should be surprised that a Minions short film runs before ""Pets"" and there is also another reference at the very end with one of the pets being dressed like a Minion. But back to this one here. I was as unimpressed by the outcome here as I was by the newest ""Minions"" movie. The film runs for approximately 90 minutes and gives us an insight into the life of pets and what they do when their owners are off to work and not in charge. Heard that before? That's right. The general idea here reminded me a lot of the Toy Story approach to things. And there are more references. For example, the two main characters (dogs) felt a lot like the protagonists from the ""Monsters Inc."" universe in terms of their size and interactions. So yeah, ""Pets"" definitely borrows a lot from other films, but what is the most disappointing thing is that it tries to be creative in its own right at times, but almost never succeeds and this is pretty shocking looking at how many filmmakers worked on this one.<br/><br/>""Pets"" is definitely not a failure and there are several parts where I enjoyed it from the comedic perspective. I also liked some minor references, for example early on about how the main character does not like to be alone at home. The comedy is not the problem here. It is the emotional impact. The only part where it is close to making one is when we find out about the new dog's owner and his journey back to his old owner's house. Other than that, the drama is entirely forgettable and good animation is just not enough anymore today on the level of Pixar quality. There are many flaws with the story in here. First of all, the makers threw in character after character without really elaborating on any of them. Honestly, counting all the (lost) pets, there are enough characters for three films in here. Another problem is their behavior. It felt a bit strange how they quickly stepped in for each other out of nowhere when moments before we still felt that they did not like each other at all and this refers to the two dogs as well as the fluffy white rabbit who turns out the main antagonist. We see all the time how evil and cold-hearted he is and then out of nowhere he risks his life for his enemies basically.<br/><br/>Another big problem I had with the film is that I had no idea what the characters' goals were throughout the film, at least for the two dogs. Enjoy a day out? Run from the lost pets? Run from the dog-catcher? They were just out there and it really had no purpose and then in the end they return home safely and it's all good with everybody being friends with everybody. I was not convinced at all. Also about the love interest of the main character, there was contradictory behavior. On one occasion she acts as if she wants nobody to know who she has a crush on and then she screams it out to everybody. It was pretty bizarre and the writing really lacked a lot on some occasions. This is also why my overall verdict for the film is negative. I give it a thumbs-down and if they ever make a sequel I must say I have very little interest in seeing it as this film was quite a disappointment and for me personally, it is nowhere near being a contender for best animated film of 2016, even with all the known voice actors in the German as well as English version. Not even for Louis C.K., everyone can be a winner."
"kendallvmead","9","36","62","10 July 2016"," Laugh Value, Character Value, Music Value.
","I saw the trailer for this movie last Summer and the first thing I said was ""I have to go see this movie."" So, needless to say I've been looking forward to this film since last summer and I had very high expectations for it. I am pleased to say it went above and beyond and met these expectations, I absolutely adored this movie and would recommend it to anybody of any age. <br/><br/>First things first is starting from the beginning and the introduction of the characters and I thought Illumination Entertainment did a fantastic job in presenting each individual. As an audience we knew after the first ten minutes who each character was, their relationships with each other, and the individual personalities. For an animation film I was really pleased with this because you normally don't get that character depth in the beginning and sometimes you never get it in the film. As the story went on the characters developed at an individual level as well as a relationship level with others which added to the plot line drastically. Not to mention the actors and actresses who portrayed each character were spot on with the voices. <br/><br/>However, the icing on the cake for the entire film for me was the soundtrack. The soundtrack is very important because it not only sets the pace for the film on screen but it also changes your emotions and tells you when you need to be sad, scared, happy, etc. That is exactly what this soundtrack did and it pleased me because without that human interaction happening on the screen, because it was animated, the music filled that gap and allowed your emotions to change. <br/><br/>One problem I did have with the movie, and this was more towards the end, was the humor. The humor made me laugh in the beginning quite a bit but by the end of the movie the humor was starting to become more outrageous. Almost as if they were trying to hard to make it funny. Now even though this humor was changing a bit as the film went on it was not enough for me not to suggest seeing this movie for its laugh value. <br/><br/>Overall, if you have a family, kids, husband, or just want to see this movie with friends I would definitely recommend. You'll laugh, you'll cry a little bit, but most importantly you will leave the theater happy."
