"username","rating","helpful","total","date","title","review"
"MR_Heraclius","7","40","45","22 February 2020"," Not the greatest sequel.
","After watching this movie I can say that no it is not as good as the original but that does mean that it is a bad movie. What I was really excited to see in this movie from the trailers was the scares and the demon nun Valak. The movie does not disappoint and can't wait to see the next entry in the conjuring series!"
"mungflesh","8","206","282","2 June 2016"," An uncommonly strong sequel
","The Conjuring 2 doesn't waste time in bringing the scares in. By that, I mean you're pretty much in the thick of it from the get-go, being given some background (via another very notorious haunting incident) for what is to follow.<br/><br/>The Warrens are sent on behalf of the church to investigate some paranormal activity which is whipping up a media storm in Enfield, England and, as per the first movie, they go and attempt to work their magic on the situation. Once again, a family is being haunted and they fear for their sanity and lives. There are a few new twists this time round, so all does not play out as before - but it's not a complete departure from the format, which might have made it a bit more gripping in places.<br/><br/>James Wan's trademark visual style is repeated in this movie - his bag of tricks sometimes yielding a sense of deja vu but generally working like a charm. When it's intended to scare, it really does. The scares come a bit more frequently than in the first movie and do manage to build a lot of tension, even if you've seen the original, so well done to Wan for that.<br/><br/>What's really enjoyable about this movie, is its nostalgic recreation of 70s England. Wan has really done a great job of this, which is surprising given that he's not from there. Also, the central support role of Janet Hodgson is pretty crucial to empathising with the Enfield family and Madison Wolfe gives a solid performance.<br/><br/>It's arguable this one is as strong as the first. I really enjoyed it and would recommend it to anyone who enjoyed part one, or indeed likes movies of a haunting or possession theme.<br/><br/>Some awesome, unsettling and creepy music in places too."
"lnvicta","8","64","85","14 October 2016"," A rare horror sequel that delivers the same quality scares as its predecessor, courtesy of returning puppeteer James Wan.
","The Conjuring was a shocking horror film. It combined every creepy trope you can think of (ghosts, dolls, music boxes, mirrors, you name it), and it actually worked thanks to a genre-savvy director behind the curtains. James Wan has proved himself a capable producer on projects such as Saw and Insidious, and with The Conjuring, he cemented himself as a master of the genre. It had the perfect amalgam of horror tropes crafted in such a way that felt as fresh and spine-tingling as classic haunted house movies did in the '80s. The Conjuring 2 is another ""based on true events"" tale that has us follow expert paranormal investigators, the Warrens, this time solving the mystery of the Enfield Haunting. <br/><br/>Similar to the Amityville Haunting, the Enfield Haunting sees an English family plagued with a poltergeist that doesn't seem to enjoy the presence of anyone in the house. What The Conjuring 2 succeeds at is giving us both character development and another great story, which is exactly what a good sequel should do. The acting is uniformly great, but the true star of the film is James Wan. His shots are designed in a way to imbue dread and stir it around our heads for a while before hitting us with the scare. That's what true horror lacks these days, patience. The longer the anticipation is built and the more atmosphere is created, the more unsettling the situation becomes until it's like a ticking time bomb that you anxiously wait to go off. It uses familiar tropes, such as self-starting children's toys, slamming doors, and smashing furniture, but they're used as tools to mask the truly frightening fact that this family is up against something utterly beyond their control - they're hopeless, and we can feel it.<br/><br/>Mind you, The Conjuring 2 isn't without its faults. The runtime is a blatant offender. Pushing the 2-hour mark is never a good idea for a horror film, and some fat definitely could have been trimmed. There are a handful of cheap scares, audio scares to be precise - when the music gets extremely loud all of a sudden and you find yourself more annoyed than scared, quickly reaching for the remote to turn the volume down at the risk of enduring another ear drum shattering noise. It also doesn't feel as unique as its predecessor, understandably due to the very nature of sequels, but there are moments that drag on long enough to remind you that the first Conjuring didn't have these plodding plot points. For example, it takes about an hour for the Warrens to even get to England. Also, while in the haunted house, they're able to sleep through some horrifying sounds that would snap a bear right out of hibernation. But these dull spots and plot inconsistencies are few and far between.<br/><br/>The Conjuring 2 is how a horror sequel should be done. It's slick, stylish, fun, and at times, quite terrifying. When a horror movie makes me want to turn on the lights as I go roaming around the house at night, I consider that a job well done. The Conjuring 2, well done."
"m-shellby","10","192","299","8 June 2016"," Wow!!
","Wow wow wow!! I've never been much of a fan of sequels but The Conjuring 2 was incredible. I'm never one to jump at everything 'scary' I see in movies as usually you've seen it all before & let's be honest, nothing really scares you much when your not a teenager anymore. However The Conjuring had me jumping all over the place. At one point I even yelped, much to my embarrassment, but that's why we go to horror movies! To be scared & the conjuring didn't disappoint. All actors gave amazing performances & the story had you never in a state of boredom. Walking out of the cinema I couldn't wait to see what The Conjuring 3 would bring! (Assuming we're lucky enough for another). Definitely a movie to see in the cinema. I give it 10/10!! Great movie!!"
"AgentDice","8","127","197","8 June 2016"," The Conjuring 2 is best when it sticks to the basics
","First, the all-important question: Is The Conjuring 2 scary? Like, jump out of your seat, watch through your outstretched fingers scary? The answer to that is ""yes."" Under James Wan's direction, even the most clichÃ©d haunted-house tropes (and this movie is bursting with them) are genuinely creepy, and although the movie isn't overly reliant on jump scares, the ones it does useâ€”well, they work. On a lizard-brain level, The Conjuring 2 taps into the universal childhood fear of the dark, and some of its simplest momentsâ€”like a little girl hiding under the covers with a flashlightâ€”are its most effective, bolstered by skillfully executed sound design and Don Burgess' gloomy cinematography.<br/><br/>Speaking of tropes, that's where the ""based on a true story"" bit comes in. The main plot of the film revolves around a real-life incident known as the Enfield Poltergeist, an extremely well-documented case of a supposed ghost who terrorized the Hodgson family of North London from 1977 to 1979 and was apparently a fan of the classics: knocking on walls, shaking beds, throwing furniture, and even the occasional haunted kid's toy. And as malevolent spirits often do, it picked on one of the children in particular, 11-year-old Janet Hodgson (Madison Wolfe). Call it a collective delusion, or a desperate cry for attention from a disturbed child. Or call it what the movie very explicitly calls it: The Devil.<br/><br/>With this installment, the Conjuring movies may have overtaken The Exorcist as the most Christian of horror franchises, taking place in a universe where the Catholic Church is the spiritual S.H.I.E.L.D. and demon hunters Ed (Patrick Wilson) and Lorraine Warren (Vera Farmiga) its holy roller super-agents. The film opens with the Warrens investigating the famous Amityville case, during the course of which Lorraine first encounters the hellish presence that will haunt her for the next few years. Fearing for his life, she begs her husband to suspend any future paranormal investigations, to which he reluctantly agrees. Until, that is, a priest arrives to give them their next mission: Travel to London and confirm the veracity of reports of a demonically tinged haunting.<br/><br/>Both Farmiga and Wilson are given their chance to shine in spooky set piecesâ€”Farmiga early on in the film, Wilson later. But while they're both convincing in spiritual warrior mode, Wan's decision to play up the romance between the two doesn't quite work. We knew that the Warrens were a happily married couple in the first movie, but having them each individually tell the story of their paranormal love and Ed make suggestive comments about the sleeping arrangements seems odd, maybe because they're flirting in front of a possessed pre-teen whose soul is currently in the process of being swallowed by the Pit. (On the other hand, this is just another day at the office for the Warrens.) The non-horror elements of the film are uneven in general: The score, so effective in the fright scenes, suddenly evokes eye rolls when things start to get sentimental, and there's one scene of unintentional comedy where the film's retro '70s settingâ€”another element downplayed in the first film but foregrounded hereâ€”collides with its demonic imagery in an honestly pretty silly way. (The Conjuring 2 shares its predecessor's eye for period details, some of which seem out-and-out ridiculous until they're juxtaposed with photos of their real-life counterparts in the end credits. The on-the-nose pop music gets no such redemption.) That being said, there are also some truly funny moments, like a shot of the Hodgson family running from their haunted house after a particularly intense bout of psychokinetic activity that riffs on smartasses' favorite retort, ""Why don't they just move?"" (And, for the record, they don't move because it's public housing, and the local council, which is naturally quite skeptical of the whole ""ghost"" thing, has to approve the relocation.) It's also worth noting that The Conjuring 2 is more than two hours long, allowing for lots of escalation. And while each individual haunting scene can be white-knuckle intense, by the dozenth or so such shock, the film starts to lose momentum. So the final confrontation, when it does come, is a relief in more ways than one. The long running time also allows Wan to overthink his demonology: The main villain, an infernal nun, is appropriately nightmarish, if reminiscent of the veiled ""Bride In Black"" from Wan's own Insidious. What's less compelling is the insertion of the ""Crooked Man,"" a storybook scarecrow monster that starts spreading Babadook-esque chaos about halfway through and is explained as the demon assuming a form that's familiar to the Hodgsons. Which would be fine, if it weren't for the two familiar forms that the spirit has taken already.<br/><br/>When The Conjuring 2 focuses its efforts on scaring the audience, it succeeds, wildly. And why wouldn't it? Wan's got his horror technique locked down at this point. It's the parts where it wanders away from the basics of creating and releasing tension that prevent it from outdoing its predecessor."
"sivretta","10","87","144","3 June 2016"," Great movie, better than the first one.
","I was really surprised about what an amazing job James Wan did with this sequel. From the very start it captures you and keeps you attached to the screen. There is no way you can get bored. I loved the suspense that goes increasing pretty quickly through the whole film, I could feel my heart in my ears beating faster as the atmosphere grew creeper and creeper. I enjoyed all the small details threw around such as the name of the demon that was showed in the Warren's house more than once in the background, leaving me with the question ""Why that word keeps being repeated? Nobody in that house has that name!"" only at the end I figured out what it meant. I absolutely adored the whole plot and the plot twist within. Make up and special effects were crazy, they made you get chills running down your spine. The soundtrack was impeccable, it played a big part in creating the right atmosphere. Few jump scares, very well situated, some of them very unpredictable. Didn't see a couple of them coming, at all. I found that Vera Farmiga was absolutely stunning with her performance in this movie. I loved the way Lorraine had her ""moment"" when stepping in to save her husband condemning the demonic entity back to hell. She was incredibly intense. Personally, I think Patrick Wilson did a better job in this movie compared to the first. I felt like Ed and his relationship with Lorraine was a lot more highlighted. I highly recommend this movie. If you are a fan of the paranormal you can't miss it."
"n-kefala","7","73","125","9 June 2016"," Clever enough to scare us
","""The Conjuring 2"" is an excellent example of what more sequels should aspire to be. It is a perfectly executed haunting movie from James Wan that dives deep below the surface to explore themes of vision, belief and faith. The family drama is still right at the center and is quite effective, and Vera Farmiga and Patrick Wilson are excellent to their roles. The film doesn't give anything new at the horror movie genre, but its set pieces are often impressive, even if sometimes rely a bit on jump scares. The truth is that ""The Conjuring 2"" has enough suspense and story to have appeal for all kinds of horror fans and is a film clever enough to scare us. nikisreviews.com"
"jdogkg","9","67","114","14 June 2016"," Definitely scarier than the first!
","I was really counting on this movie to raise my scare level to the top, and if you haven't seen this movie, you have no idea what I am talking about! Oh my gosh, this film was freaking terrifying! For three years I was plagued with nightmares of the first movie, and i didn't think any movie could be more scary. Conjuring 2 definitely proved me wrong! Not only were there jump scares but REAL horror, not just being startled by a loud noise but James Wan shows us what real horror is. There were many rising suspense scenes and you have no idea what will happen. That is what scary is! Demons are what true scariness are. What lurks in the darkness is something to be terrified about. And this movie shows us this perfectly. Like I said it does have jump scares, and I appreciated that, why? BECAUSE NONE IF THEM ARE FALSE, they were not a cat jumping out or a character popping out, every single one was real and lived up to the rising suspense that was built up. Not only is it scary but it is an awesome story. As a matter of fact a TRUR STORY. It was very well told and unlike most horror movies today it actually had a PLOT. The twist in the end is brilliant, unpredictable and pieced together the plot elements well. Also greatly shot, greatly acted and great character development. Unlike most horror movies this has Likable CHARACTERS. Unlike most horror movies it's not a gore fest or has countless swear words, it's rated R JUST because of how SCARY it is. I love James Wan he is terrific at what he does. Every horror director now days NEEDS to see the insidious trilogy and of course the 2 conjuring movies. This has restored my faith in horror movies! I definitely recommend it. See it with your spouse, friends, girlfriend or boyfriend (definitely do not bring your kids) and you will have the thrill of a lifetime! By the way you might want to look under your bed tonight! ðŸ˜‰"
"burnham-42353","9","73","127","12 June 2016"," The Conjuring 2 Review
","The Conjuring 2 is directed by James Wan and stars Vera Farmiga and Patrick Wilson. The Conjuring 2 is an excellent horror movie and just a flat out great movie in general. From the camera-work to the performances this movie delivers on all fronts. The plot follows a family in poverty in Einfield,England that start experiencing strange happenings in their home. After things become much worse over a period of time The Warrens are contacted to come and help. This is a very scary movie thanks to James Wan's direction from lingering and tracking shots he is truly a master behind the camera. The scares come quite often as scenes will linger and bring a huge sense of tension and get you when your not expecting it bringing some very frightening scenes. Vera Farmiga and Patrick Wilsons performances are excellent as you buy into their relationship and learn some lessons on marriage. The children actors have the be given credit too as they are great in this film. These kids are terrified of the haunting and you will feel their dread. I am so satisfied with this film generally people worry about horror sequels usually because they can turn out unsuccessful, but I am happy to report as a big fan of the first movie this is just as great."
"KhangNg19","10","99","182","8 June 2016"," Gerne-bending, ground-breaking and an absolute classic
","The thing about The Conjuring series is that it screams classic right at the first few scenes and just works its way up from there. While The Conjuring is definitely being remembered as one of the most excellent horror movies in decades, its sequel does even a better job by providing some extra well-done scenes that are not normally seen within the gerne. <br/><br/>But how about the scare part? Is it scary? Definitely yes. Don't bother comparing it to the first one. Just enjoy the movie and you will find yourself holding your breath until the very last moment. <br/><br/>Vera Farmiga was superb. Her presence was so strong, and powerful that she managed to pull the viewer through all kind of emotions. Patrick Wilson was also wonderful indeed. There are some subtle little hints about a sequel here and there in the movie. If those two continues to star (and also with James Wan), there is no doubt that it would be another masterpiece."
